漢字	音標	註釋
符	fu2	文，～合
浮	fu2	
俘	fu2	
孚	fu2	
莩	fu2	
扶	fu2	文，～助
芙	fu2	
鳧	fu2	
腐	fu2	文，～敗
普	fu2	
甫	fu2	
葡	fu2	
匍	fu2	
輔	fu2	
壺	fu2	
哺	fu2	文，～養
府	fu3	
俯	fu3	
腑	fu3	
譜	fu3	
釜	fu3	
富	fu5	
副	fu5	
賦	fu5	
傅	fu5	
咐	fu5	
附	fu6	
付	fu6	
婦	fu6	文
負	fu6	
父	fu6	
□	fu9	～小：罵
虎	fu9	馬～
無	vu2	～錫：地名
蕪	vu2	
撫	vu2	
侮	vu2	
憮	vu2	
武	vu3	
鵡	vu3	
舞	vu3	文
勿	vu6	
戊	vu6	
巫	mu2	
誣	mu2	
謨	mu2	
膜	mu2	
摹	mu2	
漠	mu2	～視
模	mu2	文，～範
母	mu3	文，父～
幕	mu5	
暮	mu5	
募	mu5	
霧	mu5	文
漠	mu5	沙～
騖	mu5	
驀	mu5	
墓	mu5	文
務	mu6	
慕	mu6	
目	mu9	文
書	tu1	
字	tu1	訓“書”
朱	tu1	
珠	tu1	文，～寶
蛛	tu1	
株	tu1	
銖	tu1	
邾	tu1	
輸	tu1	白，～贏
薯	tu2	
主	tu3	
煮	tu3	
注	tu5	
蛀	tu5	文
註	tu5	
住	tu5	文
駐	tu5	
鑄	tu5	
拄	tu6	～使：耐用
柱	tu6	文，～子
□	tu9	吸吮，～奶
豬	ɗu1	
箸	ɗu1	筷
都	ɗu1	～市
屠	ɗu2	
廚	ɗu2	
櫥	ɗu2	
堵	ɗu2	
賭	ɗu2	
睹	ɗu2	
杜	ɗu5	姓
妒	ɗu5	
度	ɗu5	文，～日
渡	ɗu5	文，～槽
鍍	ɗu5	
在	ɗu6	訓
杜	ɗu6	～絕
度	ɗu6	文，測～
拄	ɗu9	頂住
奴	nu2	文，匈～
孥	nu2	
弩	nu2	
努	nu2	
駑	nu2	
女	nu3	
怒	nu5	
□	lu1	～起：撈起
盧	lu2	
顱	lu2	文
轤	lu2	
臚	lu2	
廬	lu2	
驢	lu2	
蘆	lu2	
虜	lu2	
擄	lu2	
擼	lu2	用棍棒等嚮前擊
爐	lu2	文
汝	lu3	你
魯	lu3	
露	lu5	文，～水
□	lu5	低著頭走
鷺	lu5	
路	lu5	文，～津
露	lu6	暴～
滷	lu6	拍～麪：打滷麪
賂	lu9	
組	tsu3	
阻	tsu3	
覷	tsu5	近視貌
著	tsu5	
蘇	su1	文
酥	su1	
疏	su1	
蔬	su1	
樞	su1	文
雛	su1	
除	su2	
楚	su3	
曙	su3	
暑	su3	文
處	su3	～理
訴	su5	
次	su5	質量差
樹	su5	文，～立
恕	su5	
欶	su9	吸
儒	zu2	
蠕	zu2	
茹	zu2	
如	zu2	文，～意
舊	ku1	
龜	ku1	白
沽	ku1	
姑	ku1	文
酤	ku1	
菇	ku1	文
鴣	ku1	
蛄	ku1	
詁	ku1	
車	ku1	棋子
辜	ku1	
牛	ku2	
□	ku2	量詞，一～紙
久	ku3	
股	ku3	
估	ku3	文
古	ku3	文
鼓	ku3	文
矩	ku3	文，規～
故	ku5	
固	ku5	
顧	ku5	
句	ku5	
痼	ku5	
鋸	ku5	
舅	ku6	
吸	ku9	吸收，～乾
坵	xu1	白
苦	xu3	文
去	xu5	～街
臼	xu6	
灰	hu1	草～
虛	hu1	
墟	hu1	
圩	hu1	
乎	hu1	
呼	hu1	文
腐	hu1	白，豆～
趺	hu1	
魚	hu2	白
胡	hu2	
鬍	hu2	
湖	hu2	文
塗	hu2	文，～改
糊	hu2	文
葫	hu2	文
蝴	hu2	
徒	hu2	
圖	hu2	
狐	hu2	文
餬	hu2	
瑚	hu2	
弧	hu2	
許	hu3	文，允～
滸	hu3	
虎	hu3	文
去	hu5	～街
許	hu5	那
滬	hu5	
護	hu6	
互	hu6	
獲	hu6	
穫	hu6	
戶	hu6	文
凸	hu6	
吾	ŋu3	
梧	ŋu3	
伍	ŋu3	文，隊～
五	ŋu3	文
晤	ŋu6	
悟	ŋu6	
寤	ŋu6	
圬	u1	
烏	u1	文
塢	u1	
污	u1	
蜈	u1	文
惡	u5	可～
有	u6	
巴	ɓa1	～掌
疤	ɓa1	
芭	ɓa1	
巴	ɓa2	～黎
笆	ɓa2	
耙	ɓa2	文
爬	ɓa2	文
把	ɓa3	文，～握
靶	ɓa3	
飽	ɓa3	白，食～
爸	ɓa5	祖父
霸	ɓa5	
壩	ɓa5	
垻	ɓa5	
豹	ɓa5	
罷	ɓa6	
吧	ɓa6	
爸	ɓa9	阿～：稱父親
叭	ɓa9	喇～
拋	fa1	
葩	fa1	一～花：一朵花
脬	fa1	
□	fa2	涉水
琶	fa2	
杷	fa2	
冇	fa5	
疱	fa6	手上起～
拍	fa9	
打	fa9	訓“拍”
叭	va1	喇叭
貓	va2	
我	va3	白
巴	va9	下～
媽	ma1	祖母
麻	ma2	
蔴	ma2	文
痳	ma2	
螞	ma2	～蟻
馬	ma3	文
螞	ma3	～蟥
嘛	ma6	語氣詞
嗎	ma9	
媽	ma9	阿～：稱母親
□	ma9	抓著
□	ma9	凹入
馬	ma9	～虎：草率
三	ta1	白
衫	ta1	白
咋	ta1	～樣：怎樣
早	ta3	
嶄	ta3	白，齊～：整齊
□	ta5	魚餌
昨	ta6	～晡：昨天
煠	ta6	放在水裏煮
雜	ta6	文
閘	ta6	遮住
諸	ta6	替，～娝：女人
扎	ta9	
紥	ta9	
趿	ta9	鞋～：拖鞋
擔	ɗa1	白，挑
焦	ɗa1	白，樹～：樹枯萎了
當	ɗa1	白，～央：中間
膽	ɗa3	白
□	ɗa3	被線纏住
擔	ɗa5	白，一～
罩	ɗa5	白，雞～
大	ɗa5	文，～廈
踏	ɗa6	
蹈	ɗa6	訓“踏”，舞～
答	ɗa9	
搭	ɗa9	
褡	ɗa9	
但	na1	白
只	na1	訓，～一個
旦	na1	白，現～：現在
娜	na2	人名
拿	na2	～手
哪	na3	替，越加
□	na5	向上攀
那	na9	替，剛纔
□	na9	大口地咬
晾	la1	
籃	la2	白
□	la3	爛如糊狀
撓	la6	攪動
臘	la6	
蠟	la6	
啦	la6	
拉	la9	
喇	la9	～叭
吒	tsa1	
□	tsa3	tsi55～：神經失常
咱	tsa3	
乍	tsa5	
怎	tsa5	
炸	tsa5	
榨	tsa5	
詐	tsa5	
蚱	tsa5	
窄	tsa5	
昨	tsa5	文，～天
渣	tsa9	
怎	tsa9	
差	sa1	太～
裟	sa1	
叉	sa1	
釵	sa1	金～
紗	sa1	文，～窗
沙	sa1	文，～漠
鈔	sa1	～票
柴	sa2	
查	sa2	
楂	sa2	山～
炒	sa3	
□	sa5	頭向下降墜
插	sa9	
剎	sa9	古～
殺	sa9	文
也	za1	我～去
牙	za2	文，姜子～
鴉	za2	
雅	za3	
惹	za3	
訝	za5	
迓	za5	
柑	ka1	
鉸	ka1	
剪	ka1	訓“鉸”
橄	ka1	
胛	ka1	～脊：脊背
膠	ka1	白，牛皮～
尻	ka1	～脽：屁股
家	ka1	～己：自己
□	ka2	端著
銜	ka2	白，口銜
敢	ka3	
絞	ka3	白
教	ka5	
漖	ka5	稀，水分多
咬	ka6	
甲	ka9	
蓋	ka9	～被
胛	ka9	肩膀
夾	ka9	白，用東西從旁夾住使穩固
骹	xa1	
腳	xa1	訓“骹”
卡	xa2	
巧	xa3	
敲	xa5	白，～門
籗	xa9	魚簍
他	ha1	～儂
□	ha1	燒～：很熱
坦	ha3	白，平～
塌	ha5	崩～
榻	ha5	文
孝	ha5	白
哈	ha5	語氣詞，表示疑問
沓	ha6	
塔	ha9	
筪	ha9	張，量詞
合	ha9	鼎～：鍋蓋
□	ha9	氣味刺激
□	ŋa2	用刀口按著條狀物割斷
□	ŋa3	擔～：神志不清
□	ŋa5	孕婦愛吃某種食物
亞	a1	
阿	a1	～拉伯
含	a2	白，偏袒
拗	a3	折斷
詏	a5	爭辯
阿	a6	
啊	a6	
閘	a9	～門
押	a9	
鴨	a9	
兵	ɓia1	白
抨	ɓia1	擲
餅	ɓia3	白
丙	ɓia3	白
擗	ɓia5	用力拋
壁	ɓia9	白，～報
臂	ɓia9	～章
坪	fia2	白
僻	fia9	白，冷～
命	mia1	白，性～
名	mia2	白
射	tia1	
聲	tia1	白
賒	tia1	～數：賒賬
邪	tia2	
斜	tia2	
城	tia2	白
寫	tia3	
捨	tia3	～得
瀉	tia5	
舍	tia5	白，鄰～
赦	tia5	
謝	tia6	
席	tia6	
麝	tia6	～香
錫	tia9	～瓶：錫壺
削	tia9	
定	ɗia1	白，決～
庭	ɗia2	白，前～
鼎	ɗia3	白，鐵鍋
摘	ɗia9	
領	lia3	白
嶺	lia3	白
掠	lia6	捕捉
拿	lia6	訓“掠”
遮	tsia1	
正	tsia1	白，～月
成	tsia2	白，做～
情	tsia2	白，親～：親戚
飷	tsia3	味淡
淡	tsia3	訓“飷”，味淡
蔗	tsia5	
正	tsia5	白，真～
食	tsia6	白
蝕	tsia6	日～
跡	tsia9	
脊	tsia9	胛～：脊背
車	sia1	
□	sia1	推
請	sia3	白
勺	sia6	
赤	sia9	白
刺	sia9	白，～網
□	sia9	罵
睫	sia9	
亦	zia6	白
一	zia6	訓，～個
驚	kia1	白，害怕
家	kia1	文
嘉	kia1	
袈	kia1	
稼	kia1	
痂	kia1	
加	kia1	文，～拿大
佳	kia1	文
枷	kia1	文
行	kia2	白
囝	kia3	
仔	kia3	訓“囝”
寄	kia5	白，～信
寓	kia5	訓“寄”
鏡	kia5	
駕	kia5	文，～臨
屐	kia6	
揭	kia6	白，～旗：舉起棋子
夾	kia9	～菜
徛	xia1	豎立，～旗
騎	xia2	白
徛	xia6	站
兄	hia1	～弟
聽	hia1	白，～見
廳	hia1	
暇	hia2	
遐	hia2	
霞	hia2	
煆	hia2	燒火
痛	hia5	
夏	hia5	文，～朝
廈	hia5	大～
蟻	hia6	白
瓦	hia6	
額	hia6	白，～頭
下	hia6	文，～游
拆	hia9	
兄	hia9	阿～
嚇	hia9	～白：畏人
艾	ŋia1	白，植物
□	ŋia2	舉起
額	ŋia6	前～
敡	ia1	～種：撒種
贏	ia2	白，～球
營	ia2	白，軍～
芽	ia2	文
冶	ia3	白，妖～
野	ia3	白，～生
□	ia6	扇風
蝶	ia6	白
易	ia6	周～
般	ɓua1	白
搬	ɓua1	白
搬	ɓua2	白，～開
盤	ɓua2	白，菜～
粄	ɓua3	年糕
䬳	ɓua3	年糕
半	ɓua5	
簸	ɓua5	～米
跋	ɓua6	摔倒
鉢	ɓua9	
撥	ɓua9	
簸	ɓua9	～箕
潘	fua1	白，姓
破	fua5	白，～爛
伴	fua6	白，陪～
畔	fua6	白
販	fua6	白，買進貨物（賣出）
盤	fua6	白，胎～
胖	fua6	
潑	fua9	
撥	fua9	～糜：撥飯入口
磨	vua2	白，～刀
磨	vua9	～刀：把刀放在磨刀石上擦幾擦
披	mua1	白，披上
蔴	mua2	白
瞞	mua2	
鰻	mua2	
滿	mua3	白，盛～
毛	mua5	白，陰毛
山	tua1	白
沙	tua1	白，～粒；塗～：沙子
蛇	tua2	
泉	tua2	白，水～
殘	tua2	白，菜～：吃剩的菜
紙	tua3	
徙	tua3	
散	tua5	白，～開
傘	tua5	
線	tua5	白，拉～
續	tua5	手～
繼	tua5	訓“續”
嗣	tua5	
撒	tua6	～油：澆油
煞	tua9	
殺	tua9	白
大	ɗua1	白，～門
單	ɗua1	白，貨～
彈	ɗua2	白，～弦
帶	ɗua5	白，～領
惰	ɗua6	
舵	ɗua6	
爛	nua1	白，腐～
攤	nua3	～麪
旦	nua5	今～：今天
僆	nua5	雞～
瀾	nua6	替，口水
攔	lua2	白
辣	lua6	
辣	lua9	帶刺激性的氣味
抓	tsua1	
□	sua1	帶領
泄	sua1	～尿：遺尿
䉔	sua1	竹木的刺兒
□	sua2	說謊騙人
歪	sua3	訓
蔡	sua5	
□	sua5	螃蟹、蝦變質的氣味
閂	sua5	～門
鱔	sua6	
歪	sua6	訓，目～：斜眼
擦	sua9	
熱	zua6	白，天～
暑	zua6	訓“熱”，～假
官	kua1	白
汗	kua1	白
肝	kua1	白
瓜	kua1	文，～分
歌	kua1	白
棺	kua1	白
寒	kua2	白，～熱：寒暑
趕	kua3	
寡	kua3	文
果	kua3	文，如～
掛	kua5	文
卦	kua5	
孕	kua6	訓
貫	kua6	白，一～：一串
割	kua9	
葛	kua9	白，番～：甘薯
寬	xua1	白，慢
科	xua1	白
絝	xua1	
夸	xua1	
誇	xua1	
垮	xua1	
跨	xua1	文，～欄
胯	xua1	
畫	xua1	文，～屏
課	xua5	
裸	xua5	
話	xua5	文，～別
闊	xua9	
渴	xua9	口～
外	hua1	白
拖	hua1	
歡	hua1	白，～喜
花	hua1	人名
垾	hua1	塍～：田垾
華	hua1	
華	hua2	
鼾	hua2	
和	hua2	白，寬～：溫和
炭	hua5	
化	hua5	文，光天～日
禍	hua6	白，惹～
跨	hua6	白，～過
喝	hua9	大聲喊
獺	hua9	水～
娃	ua1	
蛙	ua1	
窪	ua1	
安	ua1	白，平～
鞍	ua1	白
換	ua1	白
話	ua2	無擔～：煩勞
碗	ua3	
倚	ua3	白
依	ua3	訓“倚”
晏	ua5	白，遲晚
案	ua5	白
旱	ua6	
偌	ua6	～多：多少
活	ua6	白，～動
病	ɓɛ1	白，生～
耙	ɓɛ2	白
平	ɓɛ2	白，放～
爬	ɓɛ2	白，～癢：瘙癢
把	ɓɛ3	白，一～刀
白	ɓɛ3	白，旦～：明天
柄	ɓɛ5	白
白	ɓɛ6	白
爸	ɓɛ6	白
父	ɓɛ6	
百	ɓɛ9	
伯	ɓɛ9	白
擘	ɓɛ9	～開
彭	fɛ2	白，姓
膨	fɛ2	白
帕	fɛ5	
巾	fɛ5	訓“帕”
□	fɛ6	氣～：喘氣
□	fɛ9	撲克牌
魄	fɛ9	
叭	vɛ1	喇叭
□	vɛ2	味～：味道
馬	vɛ3	白
碼	vɛ3	
麥	vɛ6	
脈	vɛ6	
啤	vɛ9	～酒
罵	mɛ1	
冥	mɛ2	夜
夜	mɛ2	訓“冥”
□	mɛ2	糊上
麻	mɛ2	菠蘿表面凸起的尖塊
明	mɛ2	白，～年
猛	mɛ3	白，快
□	mɛ5	爬起
□	mɛ5	把粒狀的東西用手聚攏拿起
擘	mɛ9	～目：張開眼
蜢	mɛ9	草～：蚱蜢
紗	tɛ1	白，一支～
咋	tɛ1	～樣
生	tɛ1	～芽
牲	tɛ1	畜～
姓	tɛ5	
性	tɛ5	
澤	tɛ5	光亮
爹	tɛ9	阿～：舊稱父親
紗	tɛ9	鐵～：鐵絲
爹	ɗɛ1	
茶	ɗɛ2	
捏	ɗɛ6	
壓	ɗɛ9	訓“笮”
笮	ɗɛ9	
□	nɛ5	使勁屙
冷	lɛ2	白，把熱的東西放一會使涼
顱	lɛ2	白，頭～
冷	lɛ3	白，天～
□	lɛ3	～舌：伸出舌頭
□	lɛ6	掏取
齋	tsɛ1	白，食～：吃素
爭	tsɛ1	白，～志氣
諍	tsɛ1	相～：吵架
晴	tsɛ2	白
□	tsɛ2	tsɔp5～：眼睛被眼眵粘住
者	tsɛ3	之乎～也
井	tsɛ3	白，水～
□	tsɛ5	否認
債	tsɛ5	白，欠～
靜	tsɛ6	白
責	tsɛ9	
□	tsɛ9	紙張粘在一塊
織	tsɛ9	白，～布
生	sɛ1	白，不熟
青	sɛ1	白
差	sɛ1	白，～使
星	sɛ1	白，星星
□	sɛ2	沾染上東西
醒	sɛ3	白，酒～
□	sɛ5	擠進
□	sɛ6	氣～：喘氣
冊	sɛ9	
策	sɛ9	白
□	sɛ9	si55～：殷勤
也	zɛ2	文言虛詞
□	zɛ3	用舌頭推出食物
□	zɛ6	小孩愛哭
家	kɛ1	白
加	kɛ1	白
耕	kɛ1	白
更	kɛ1	白，三～
枷	kɛ1	白，絆住
稼	kɛ1	白
枷	kɛ2	白，卡住
假	kɛ3	真～
鯁	kɛ3	魚刺～
假	kɛ5	放～
價	kɛ5	
嫁	kɛ5	
架	kɛ5	
駕	kɛ5	白，～駛
隔	kɛ9	
格	kɛ9	白，十～
枷	xɛ2	白，卡住
客	xɛ9	
夏	hɛ1	白，～季
推	hɛ1	白，～船
蝦	hɛ2	
嗄	hɛ2	是的，應詞
歇	hɛ5	半～：好一會兒
歇	hɛ6	放～：作罷，停止
諾	hɛ6	訓，～聲：答應
澈	hɛ9	白，乾淨
嚇	hɛ9	～儂：嚇人
椏	ŋɛ1	
枝	ŋɛ1	訓“椏”
牙	ŋɛ2	白
衙	ŋɛ2	
署	ŋɛ2	訓“衙”
芽	ŋɛ2	白
蜈	ŋɛ2	
硬	ŋɛ6	
額	ŋɛ6	名～；匾～
□	ŋɛ9	咕～囝：嬰兒
下	ɛ1	白，一～
桁	ɛ2	
椰	ɛ2	白，～子
啞	ɛ3	
下	ɛ6	白，～面
拔	ɓe6	白，～牙
屌	te2	訓，男陰
社	te6	白
舍	te6	白，歇～：宿舍
雪	te9	
說	te9	
代	ɗe1	白，兩～儂：兩代人
袋	ɗe1	
短	ɗe3	
帶	ɗe5	白，處
處	ɗe5	訓“帶”
奶	ne1	白，牛～
帶	ne5	即～：這兒
來	le2	行～
螺	le2	白，塍～：田螺
笠	le6	白
裏	le6	白，即～：這裏面
咧	le9	好～
姐	tse1	大～
者	tse3	替，這
此	tse3	訓，這
這	tse5	
坐	tse6	
截	tse6	～肉：切肉
姐	tse9	阿～
者	tse9	這，代詞
節	tse9	白，～氣
盛	se1	白，～糖
奢	se1	生活好
邪	se2	文，～惡
且	se3	
社	se5	文
舍	se5	文，房～
脆	se5	白，紗～：紗易斷
捨	se5	文
