#符號說明：-白=文/書*俗?待考
#調值	［1］³²⁴［2］³⁵［3］²¹³［5］⁵³［6］²¹［7］⁴［8］⁵
#ɿ
ʨʰ	［1］千扦阡/遷纖{～維}謙籤牽殲箋［2］前錢虔乾黔鉗潛撏撏{～毛（摘毛）}［3］淺遣譴［5］欠歉縴{背～}塹［6］踐賤濺件
ɕ	［1］先仙鮮1{新～}掀鍁纖/搧［2］賢弦嫌［3］顯險鮮2{～爲人知}癬=［5］線腺獻羨憲現={～在}［6］縣現-{～錢}
0	［1］醃咽{～喉}煙胭焉［2］延筵蜒嚴言研沿鹽閻炎然燃檐迎簷芫{～荽}［3］演掩染衍□{縫衣針：～線}冉［5］厭燕宴豔咽唁諺堰𬥺䞁{《集韻》於建切。比，量：你徠兩個人～下子哪個高}宴{頑皮}［6］硯驗雁=焰{火～山}
#ʊ̃
p	［1］般搬［5］半
pʰ	［1］潘拼［2］盤［5］判叛［6］伴拌畔
m	［2］瞞饅鞔{《廣韻》母官切。蒙：把鞋面子～起來}［3］滿［6］漫-幔-
t	［1］端{～水}㴷{蘸}瓭{《集韻》都含切。酒～子（舀酒器）}［3］短［5］鍛
tʰ	［1］貪-［2］潭-譚-團罈［6］斷段緞
l	［2］南-男-巒鸞𢺈{籠絡}［3］卵暖軟阮攬{抹試並附吸}［6］亂
ʦ	［1］專磚鑽1{動詞}肫{雞～}［3］轉1{～移}［5］傳1{～記}轉2{～動}鑽2{名詞}篆
ʦʰ	［1］川釧穿汆［2］傳2{遺～}船椽［3］喘舛穇{～子（稗子）}［5］串竄躥篡/［6］傳1-{～記}
s	［1］酸［5］蒜算
k	［1］官棺觀冠1{衣～；雞～花}甘-柑-泔-乾1-肝-□{麥～草（麥秸）}［3］管館感-敢-竿-杆-稈-趕-{～熱嘈（湊熱鬧）}擀-［5］貫灌罐冠2{～軍}幹2-
kʰ	［1］寬看1-堪-［3］款砍-坎-{河～子}侃-{陶～（人名）}□{覆蓋}□{打～（打瞌睡）}［5］看2-
x	［1］歡蚶{～子}獾［2］含-韓-寒-涵寒{～毛}［3］緩［5］喚渙煥瘓漢-{討～（罵女人偷漢子）}撼-［6］汗2{流～}換旱-{～煙}
0	［1］安-鞍-豌庵-［2］完丸紈玩-［3］宛婉碗腕惋皖揞{以手覆蓋}唵{《廣韻》烏感切。用手把食物塞進嘴裏}［5］暗-案-{～板}按-玩［6］岸-緩
#yʊ̃
ʨ	［1］娟鵑捐［3］卷1{～起來}［5］卷2{試～}眷券絹
