#备注：《如皋方言研究》 吴凤山			
#调值	[6]21 [2]35 [3]213 [5]44 [7]44 [8]35 [0]44/21		
#符号说明：-白=文			
#ɿ			
k	[6]咕{一饮而尽}沽{眼泪~~：饱含泪水}牯{公水牛}罟鸪{鹧~}姑□{~嫪}菇孤1菰箍□{以棒横击}□{砂~}[3]古估户3{石~：门框前一对石饰}股1{~东}鼓臌{胀}[5]故雇顾固锢		
kʰ	[6]枯□{连鞋入泥水中行走}□{喷气：~气}[2]□{1.平面的中心区鼓起来；2.丰满；3.膨胀；4.液体涌出}□{1.话语含混不清；2.训斥；3.糊涂}[3]苦[5]库裤□{小农具装柄处的套状结构}		
#yᶨ			
t	[6]堆-1堆{雷~}[3]怼-{~动：痉挛，本字不明}[5]对-碓1		
tʰ	[6]兑-1梯1推-1[3]腿-1[5]退-1褪2{~色}蜕3{~化}		
n	[6]内-2{~里}[3]女馁-		
l	[6]虑滤累-1{连~}类-泪-菮{~草，狼尾草}[2]雷-驴闾{姓}擂-□{擦割、拖拉}[3]儡-累-2{积~}垒-磊-2履捋吕旅缕屡		
tɕ	[6]居车1{~马炮}拘{~束；~礼}□{敬请：~客先享}驹={白~(地名)}距2{老~：老练}榉[3]举=嘴-[5]句=巨拒距1{~离}矩锯据具俱惧醉-碓2		
tɕʰ	[6]句-区驱蛆趋崔-催-罪-遂-1{顺~}聚穗-1{麦~~儿}[2]徐渠驹-{鲍~(人名)}随-1瞿□{皮枯瘠}[3]取娶[5]去悴2啐3{叹词}粹-翠-趣1脆-		
ɕ	[6]吁1{气喘~~}尿1{名词}虚嘘墟觑须需虽-绥-穗-2{五彩~子}[3]许1{姓}浒2{~澪(地名)}[5]岁-序绪叙婿碎-絮遂-2{~愿}隧-{~道}祟1{作~}𬘼{~管儿}		
Ø	[6]于1{~是}吁1{呼~}迂芋纡玉1淤御预豫遇裕喻{姓}[2]于2{姓}圩1{~田}盂鱼渔愚娱虞馀俞逾愉榆愈围-1{~腰儿}[3]与宇羽雨禹语寓誉喻{比~}预{~制，南乡音}[5]尉2{姓}□{搓绳~草}餧喂餵		
#ɑ			
p	[6]巴1芭疤钯1{铁~子}粑1{饼}䶕豝{长~猪：种母猪}鲃扒1{爬高}爸2{与通州邻界地区音}[2]粑2{~儿：饼，东北乡音}[3]把1{~握}靶㞎{大便}[5]爸1把2{~子：柄}罢=坝霸[0]□{那~：假设(只要是他送的，~是金子我也不要！)}		
pʰ	[6]扒2{~红蹄}汃{弱：病吖~呀；烂：肉煮啊~呀}趴{匍匐}䇑{矮~~儿}钯2{钉~}耙罢-{~市}[2]扒3{~儿手}朳筢{笊~、打丝线要传~}□{~~角儿：女童侧顶髻}杷{无齿衣具}爬琶牌2{靠~头}[5]怕		
m	[6]妈1骂马{瞇~、~虎}[2]麻蟆{蝦~}盲{另读。~目}忙{~烦}[3]马妈2{~祖(神名)；~~儿：妻子，女人}吗2{~啡}码□{略腌、略捆}蟆{蝦~}[5]妈3{大~：伯母}		
f	[6]花2{~生，下原乡某村音}		
v	[6]瓦1{~刀}画-1{动词：~画儿}划-1{~玻璃}蛙[2]□{~坎儿：河坡凹处}划-2{~船}□{向心拉、拨：~草、~饭}哇1{兒啼}[3]瓦2{砖~}□{割破}搲{~糖}蜗{~牛}我{见于夏堡、邓园、袁桥、磨头、大明等乡}[5]凹2洼我{见于马塘(兼)、勇敢、石北、高井、江安、葛市、黄市、搬经、加力、高明、常青、何庄、场南、场北等乡}		
t	[6]大[2]哒[3]打[5]大1{~~：伯父，当作爹}爹{~~：伯父，俗作大}□{lɑ²¹³~：不谨饰}		
tʰ	[6]他大5{~石桥：地名}		
n	[2]呐1{唢~}拿1[3]哪=1{~儿}[5]那1𦛐{网~儿：拖挂不成形的肥肉}[6]喏3{应答声，下河音}		
l	[6]拉垃{~圾}辣{另读。~蓼(草名)}[2]遗{排泄失控}来{排泄失控，本字疑为遗}拉{排泄失控，本字疑为遗}拿2{~宝儿：詈语}[3]哪-{~嗨：哪儿}□{~tɑ²¹³：不谨饰}		
ts	[6]拃{拇、中指张距}查1{姓}楂渣喳遮蔗挓{张开：~嘴}□{蛮横}[3]吒{哪~}渣{碎细}[5]乍1咋诈炸1{~弹}这2{多在双音词首：~嗨、~吖}柞榨柘奓{~腮：腮过宽}咤{怒声}		
