#符号说明：-白=文/书*俗?待考	
#调值	[1]³³⁴ [2]²¹ [3]⁵³ [5]³⁵
#ɿ	
tʃʰ	[1]钦掀欣卿轻磬倾顷[5]衅兴杏幸
Ø	[1]音阴荫因姻洇殷鹰蝇英婴缨[2]俨吟银寅迎盈赢萤[3]饮引隐允影映[5]印熨应
	
#yn	
s	[2]殉
tʃ	[1]均钧君军[3]准{正}[5]菌郡
tʃʰ	[1]春椿[2]群裙禽[3]蠢
ʃ	[1]熏勋薰荤[2]寻荀旬循巡纯莼醇绳[5]顺舜训
Ø	[1]晕[2]匀云营淫[3]尹永颖[5]润闰韵运孕泳咏
	
#an	
p	[1]班斑颁般搬[3]扳板版[5]扮瓣办伴半
pʰ	[1]攀潘[2]盘潘[3]拌[5]盼襻绊判叛
m	[2]蛮瞒馒[3]满[5]慢漫幔蔓
f	[1]欢翻番[2]凡帆桓丸还环烦藩繁[3]反[5]范犯泛唤焕换饭贩
v	[3]晚挽[5]万
t	[1]耽担{~任}丹单{~子}[3]胆[5]淡担{挑~}掸诞旦但弹蛋
tʰ	[1]贪坍滩摊[2]潭谭谈痰檀坛弹{~琴}[3]毯坦[5]探炭叹
l	[2]蓝篮难易兰拦栏南男[3]缆览榄缆懒[5]滥难{患~}烂
ts	[1]簪蘸[3]斩[5]暂站赞绽
tsʰ	[1]参搀衫渗餐[2]蚕惭馋谗残缠[3]惨[5]灿
s	[1]三珊[3]伞[5]散
tʃ	[1]粘沾瞻占毡[3]盏展{正}[5]栈战颤
tʃʰ	[2]蟾蝉禅[3]产
ʃ	[1]山疝[3]陕闪[5]膻扇善膳
ʒ	[2]然燃[3]染冉
k	[1]干甘柑泔尴肝竿杆[3]感敢橄减擀赶[5]幹
kʰ	[1]堪勘刊[3]龛坎砍[5]看
ŋ	[1]庵安鞍[5]暗揞岸按案
h	[1]憨酣鼾罕[2]含函咸衔寒韩还[3]喊[5]撼憾陷嵌旱汉焊翰限
	
#uan	
t	[1]端[3]短[5]断锻段缎椴
tʰ	[2]团
l	[2]鸾[5]乱
ts	[1]钻{动词}[3]攒[5]赚纂钻{名词}
tsʰ	[5]窜
s	[1]酸[5]算蒜
tʃ	[1]专砖堟[3]转[5]撰篆
tʃʰ	[1]川穿[2]传船[3]铲喘[5]篡串
ʃ	[1]删拴[5]闩
k	[1]官棺观冠{衣~}关颧[3]管馆[5]贯灌罐观{寺~}冠{~军}惯
kʰ	[1]宽[3]款
h	[5]宦
Ø	[1]豌弯湾[2]完玩顽[3]皖剜碗腕[5]幻
	
#ən	
p	[1]崩奔锛[3]本[5]笨
pʰ	[2]盆[5]烹喷{亮}
m	[2]门[5]闷
