韵母	音节	调类	字形	备注
	ɾi	[7]	力{又ɾin}粒{又ɾin}立敌历律率笛栗笠迪踢剔惕狄砾荔雳溧蛎莅栎荻	
	ni	[3]	你	
	ni	[6]	内	
	ȵi	[7]	日{~头}	
	ɕi	[1]	西稀希须需虽牺嬉熙曦浠兮犀樨熹烯嘻	
	ɕi	[2]	随隋	
	ɕi	[3]	洗喜徙髓玺铣禧	
	ɕi	[5]	岁细戏絮祟	
	ɕi	[6]	系序叙绪隧遂邃穗续{陆陆~~}袭{刺眼}	
	ɕi	[7]	息熄惜习席吸集昔析夕隙悉袭{刺眼}锡晰戌媳婿胥汐蜥淅蟋	
	ʑi	[1]	欺期妻溪催摧崔趋栖蛆凄萋蹊歧璀炊{~壶}	
	ʑi	[2]	其奇徐齐骑旗棋期随祈脐崎圻蕲祁琦琪鳍畸祺骐麒沂芪蛴	
	ʑi	[3]	起取启岂杞	
	ʑi	[5]	气汽弃器契趣脆翠娶碎砌沏粹萃悴瘁淬憩	
	ʑi	[6]	技罪聚忌伎妓企徛	
	ʑi	[7]	七及极疾集喫漆{又ʑin}乞籍亟戚寂嫉辑笈迄讫泣缉膝	
	tɕi	[1]	鸡机基挤{挤压}肌饥讥几奇羁姬稽箕矶	
	tɕi	[3]	己几纪嘴咀挤麂虮	
	tɕi	[5]	记寄计醉最季继祭济际剂系既冀暨髻悸骥	
	tɕi	[7]	急{又tɕin}级吉绩激积吸即击迹给脊瘠戟棘鲫稷汁{母乳}	
	i	[1]	衣依医倚伊	
	i	[2]	移遗怡姨夷胰贻彝颐饴	
	i	[3]	已以椅矣	
	i	[5]	意亿忆裔臆	
	i	[6]	异易{容易}	
	i	[7]	一乙益易{交易}译抑溢亦逸驿壹弈奕翼{又in}液绎翌羿腋揖弋缢轶佚肄邑诣翊怿屹	
	ŋi	[2]	泥疑仪宜尼昵妮霓凝倪	
	ŋi	[3]	议谊拟蚁尾{~巴}	
	ŋi	[6]	内义艺毅腻蚁{蚂~}	
	ŋi	[7]	逆匿溺	
	wi	[1]	亏威微薇巍魁馗岿悝	
	wi	[2]	为围违维危唯惟葵垂陲韦苇桅帷睽逵	
	wi	[3]	尾委萎娓跪	
	wi	[5]	愧慰畏喂溃馈尉蔚篑	
	wi	[6]	为位味未卫伟胃伪渭谓柜纬玮	
	kwi	[1]	规归闺龟追圭窥奎	
	kwi	[3]	鬼轨诡	
	kwi	[5]	贵桂癸瑰缀刽鳜	
#u	pu	[3]	补哺埔圃	
	pu	[5]	布怖	
	pu	[7]	瀑	
	βu	[1]	铺	
	βu	[2]	蒲葡菩匍莆潽{溢出；油炸}	
	βu	[3]	普谱脯浦	
	βu	[5]	铺埠	
	βu	[6]	部步簿捕埠	
	βu	[7]	卜扑朴仆蹼璞噗	
	fu	[1]	夫敷孵麸	
	fu	[2]	扶壶糊湖胡符呼芙肤弧狐乎俘孚葫蝴猢瑚蜉苻匐和{~牌}	
	fu	[3]	虎府俯斧腐辅抚腑甫釜琥唬浒脯	
	fu	[5]	付富副赋赴咐幅讣傅溥阜	
	fu	[6]	父户护互妇负附瓠驸沪	
	fu	[7]	复服福覆伏腹袱茯幅辐蝠	
	ku	[1]	孤姑估菇辜枯咕	
	ku	[3]	古股鼓贾鸪钴牯	
	ku	[5]	故固顾雇痼	
	ku	[7]	谷酷骷	
	u	[1]	乌污巫枯箍诬坞邬钨呜圬	
	u	[2]	无吴糊葫狐吾梧芜蜈跍	
	u	[3]	苦午武舞五{人名，一~一十}伍侮忤仵鹉	
	u	[5]	裤库恶	
	u	[6]	雾务误悟兀戊	
	u	[7]	哭屋	
#əu	təu	[1]	都	
	təu	[3]	肚堵赌睹□{尽可以}	
	təu	[5]	妒蠹嘟	
	təu	[7]	督笃㞘{底部；猛坐}	
	ɾəu	[2]	徒涂图途屠荼	
	ɾəu	[3]	土	
	ɾəu	[5]	吐兔	
	ɾəu	[6]	杜度肚渡镀窦	
	ɾəu	[7]	独毒读秃凸渎牍犊	
	nəu	[1]	搂□{低级}	
	nəu	[2]	农炉奴卢芦庐颅驴泸鸬鲈	
	nəu	[3]	努鲁弩虏掳橹卤	
	nəu	[5]	兔	
	nəu	[6]	路怒露鹭	
	nəu	[7]	绿录陆鹿禄碌漉麓辘氯	
	səu	[1]	收苏梳疏蔬酥搜	
	səu	[3]	手首守狩	
	səu	[5]	数素诉兽漱嗽	
	səu	[6]	寿受授售	
	səu	[7]	速簌	
	zəu	[1]	抽初粗	
	zəu	[2]	仇酬储筹稠绸惆畴	
	zəu	[3]	丑楚础	
	zəu	[5]	臭醋	
	zəu	[6]	助轴纣袖{领~}	
	zəu	[7]	族促簇	
	tsəu	[1]	周州洲舟租	
	tsəu	[3]	组祖肘阻诅走{~狗}帚	
	tsəu	[5]	做咒昼	
#iəu	tiəu	[1]	丢	
	ɾiəu	[1]	溜遛	
	ɾiəu	[2]	留刘流硫瘤馏榴浏琉	
	ɾiəu	[3]	柳	
	ɾiəu	[5]	绺	
	ɾiəu	[6]	溜{厉害}	
	ɾiəu	[7]	六绿陆{~~续续}	
	ȵiəu	[2]	牛	
	ȵiəu	[3]	扭纽钮	
	ȵiəu	[5]	扭	
	ȵiəu	[6]	谬缪	
	ȵiəu	[6]	肉狱	
	ɕiəu	[1]	休修羞咻	
	ɕiəu	[3]	朽	
	ɕiəu	[5]	秀锈绣嗅	
	ɕiəu	[7]	俗宿肃续蓄畜{六~}旭粟	
	ʑiəu	[1]	秋丘邱蚯	
	ʑiəu	[2]	求球囚裘泅酋俅逑虬{蜷缩}	
	ʑiəu	[6]	就旧舅臼袖{衫~}咎柩鳅桕	
	ʑiəu	[7]	曲局促	
	tɕiəu	[1]	纠灸鸠阄揪赳	
	tɕiəu	[3]	九久酒韭	
	tɕiəu	[5]	救究疚□{拧}	
	tɕiəu	[7]	足菊鞠掬	
	iəu	[1]	优忧幽悠攸	
	iəu	[2]	油游由尤揉柔犹邮糅蹂	
	iəu	[3]	有友酉诱	
	iəu	[5]	幼黝	
	iəu	[6]	又右佑柚釉铀鼬	
	iəu	[7]	育欲辱浴郁{繁盛}昱煜毓褥	
