繁體	简体	聲韻	聲調		1ː51	2ː31
拙	拙	tɕyɛʔ	5			
指	指	tɕiʔ	5			
捉	捉	tɕyoʔ	5			
接	接	tɕiɛʔ	5			
揭	揭	tɕiɛʔ	5			
摺	摺	tɕiɛʔ	5			
擊	击	tɕiʔ	5			
棘	棘	tɕiʔ	5			
橘	橘	tɕiʔ	5			
汁	汁	tɕiʔ	5			
汲	汲	tɕiʔ	5			
決	决	tɕyɛʔ	5			
浙	浙	tɕiɛʔ	5			
潔	洁	tɕiɛʔ	5			
激	激	tɕiʔ	5			
炙	炙	tɕiʔ	5			
燭	烛	tɕyoʔ	5			
爵	爵	tɕiaʔ	5			
祝	祝	tɕyoʔ	5			
稷	稷	tɕiʔ	5			
積	积	tɕiʔ	5			
節	节	tɕiɛʔ	5			
粥	粥	tɕyoʔ	5			
級	级	tɕiʔ	5			
結	结	tɕiɛʔ	5			
績	绩	tɕiʔ	5			
織	织	tɕiʔ	5			
職	职	tɕiʔ	5			
脊	脊	tɕiʔ	5			
腳	脚	tɕiaʔ	5			
觸	触	tɕyoʔ	5			
訣	诀	tɕyɛʔ	5			
詰	诘	tɕiʔ	5			
質	质	tɕiʔ	5			
足	足	tɕyoʔ	5			
跡	迹	tɕiʔ	5			
輟	辍	tɕyɛʔ	5			
酌	酌	tɕiaʔ	5			
鯽	鲫	tɕiʔ	5			
鱖	鳜	tɕyɛʔ	5			
七	七	tɕʰiʔ	5			
乞	乞	tɕʰiʔ	5			
促	促	tɕʰyoʔ	5			
出	出	tɕʰyɛʔ	5			
切	切	tɕʰiɛʔ	5			
刺	刺	tɕʰiʔ	5			
卻	却	tɕʰiaʔ	5			
吃	吃	tɕʰiʔ	5			
嗅	嗅	tɕʰyoʔ	5			
妾	妾	tɕʰiɛʔ	5			
尺	尺	tɕʰiʔ	5			
屈	屈	tɕʰyɛʔ	5			
徹	彻	tɕʰiɛʔ	5			
怯	怯	tɕʰiɛʔ	5			
戚	戚	tɕʰiʔ	5			
戳	戳	tɕʰyoʔ	5			
撤	撤	tɕʰiɛʔ	5			
斥	斥	tɕʰiʔ	5			
曲	曲	tɕʰyoʔ	5			
泣	泣	tɕʰiʔ	5			
漆	漆	tɕʰiʔ	5			
濕	湿	tɕʰiaʔ	5			
畜	畜	tɕʰyoʔ	5			
綽	绰	tɕʰiaʔ	5			
緝	缉	tɕʰiʔ	5			
缺	缺	tɕʰyɛʔ	5			
菊	菊	tɕʰyoʔ	5			
蓄	蓄	tɕʰyoʔ	5			
觸	触	tɕʰyoʔ	5			
訖	讫	tɕʰiʔ	5			
赤	赤	tɕʰiʔ	5			
輯	辑	tɕʰiʔ	5			
轍	辙	tɕʰiɛʔ	5			
迄	迄	tɕʰiʔ	5			
闕	阙	tɕʰyɛʔ	5			
雀	雀	tɕʰiaʔ	5			
飭	饬	tɕʰiʔ	5			
鵲	鹊	tɕʰiaʔ	5			
刷	刷	ɕyɛʔ	5			
削	削	ɕiaʔ	5			
叔	叔	ɕyoʔ	5			
吸	吸	ɕiʔ	5			
夙	夙	ɕyoʔ	5			
失	失	ɕiʔ	5			
媳	媳	ɕiʔ	5			
室	室	ɕiʔ	5			
宿	宿	ɕyoʔ	5			
屑	屑	ɕiɛʔ	5			
式	式	ɕiʔ	5			
恤	恤	ɕyɛʔ	5			
息	息	ɕiʔ	5			
悉	悉	ɕiʔ	5			
惜	惜	ɕiʔ	5			
戌	戌	ɕyʔ	5			
摔	摔	ɕyʔ	5			
攝	摄	ɕiɛʔ	5			
旭	旭	ɕyoʔ	5			
昔	昔	ɕiʔ	5			
朔	朔	ɕyoʔ	5			
束	束	ɕyoʔ	5			
析	析	ɕiʔ	5			
歇	歇	ɕiɛʔ	5			
泄	泄	ɕiɛʔ	5			
淑	淑	ɕyoʔ	5			
濕	湿	ɕiʔ	5			
熄	熄	ɕiʔ	5			
窒	窒	ɕiʔ	5			
粟	粟	ɕyoʔ	5			
縮	缩	ɕyoʔ	5			
脅	胁	ɕiɛʔ	5			
膝	膝	ɕiʔ	5			
薛	薛	ɕiɛʔ	5			
虱	虱	ɕiʔ	5			
蠍	蝎	ɕiɛʔ	5			
血	血	ɕyɛʔ	5			
褻	亵	ɕiɛʔ	5			
設	设	ɕiɛʔ	5			
說	说	ɕyɛʔ	5			
識	识	ɕiʔ	5			
適	适	ɕiʔ	5			
釋	释	ɕiʔ	5			
錫	锡	ɕiʔ	5			
隙	隙	ɕiʔ	5			
雪	雪	ɕyɛʔ	5			
飾	饰	ɕiʔ	5			
鵲	鹊	ɕiaʔ	5			
喝	喝	hɔʔ	5			
嚇	吓	haʔ	5			
壑	壑	hoʔ	5			
瞎	瞎	hɔʔ	5			
藿	藿	hoʔ	5			
赫	赫	haʔ	5			
郝	郝	haʔ	5			
霍	霍	hoʔ	5			
黑	黑	hɛʔ	5			
摸	摸	moʔ	5			
模	模	mɤʔ	5			
膜	膜	moʔ	5			
軛	轭	ŋaʔ	5			
粒	粒	lɛʔ	5			
一	一	iʔ	5			
乙	乙	iʔ	5			
厄	厄	aʔ	5			
噎	噎	iɛʔ	5			
壓	压	ɔʔ	5			
屋	屋	ɤʔ	5			
惡	恶	oʔ	5			
扼	扼	aʔ	5			
抑	抑	iʔ	5			
押	押	ɔʔ	5			
挖	挖	uɔʔ	5			
揖	揖	iʔ	5			
握	握	ɤʔ	5			
斡	斡	uɔʔ	5			
斲	斲	yoʔ	5			
沃	沃	ɤʔ	5			
益	益	iʔ	5			
約	约	iaʔ	5			
縊	缢	iʔ	5			
許	许	aʔ	5			
謁	谒	iɛʔ	5			
轄	辖	aʔ	5			
邑	邑	iʔ	5			
阿	阿	aʔ	5			
鬰	鬰	yʔ	5			
鴨	鸭	ɔʔ	5			
兵	兵	piŋ	51			
冰	冰	piŋ	51			
包	包	pɔ	51			
卑	卑	pei	51			
坡	坡	pu	51			
奔	奔	pɛ̃i	51			
幫	帮	poŋ	51			
彪	彪	piɜ	51			
彬	彬	piŋ	51			
悲	悲	pei	51			
播	播	pu	51			
斑	斑	pɔ̃	51			
杯	杯	pei	51			
標	标	piɜ	51			
檳	槟	piŋ	51			
殯	殡	piŋ	51			
波	波	pu	51			
浜	浜	piŋ	51			
玻	玻	pu	51			
班	班	pɔ̃	51			
疤	疤	pu	51			
碑	碑	pei	51			
編	编	piɛ̃	51			
胞	胞	pɔ	51			
芭	芭	puə	51			
菠	菠	pu	51			
褒	褒	pɜ	51			
賓	宾	piŋ	51			
邊	边	piɛ̃	51			
邦	邦	poŋ	51			
鞭	鞭	piɛ̃	51			
頒	颁	pɔ̃	51			
飈	飈	piɜ	51			
偏	偏	pʰiɛ̃	51			
匪	匪	pʰi	51			
坯	坯	pʰei	51			
妃	妃	pʰi	51			
姘	姘	pʰiŋ	51			
批	批	pʰiɛ	51			
披	披	pʰi	51			
拋	抛	pʰɔ	51			
拼	拼	pʰiŋ	51			
攀	攀	pʰɔ̃	51			
漂	漂	pʰiɜ	51			
潘	潘	pʰɛ̃	51			
烹	烹	pʰaŋ	51			
篇	篇	pʰiɛ̃	51			
胚	胚	pʰei	51			
脬	脬	pʰɔ	51			
菲	菲	pʰi	51			
跑	跑	pʰɔ	51			
鋪	铺	pʰuə	51			
非	非	pʰi	51			
頗	颇	pʰu	51			
飄	飘	pʰiɜ	51			
飛	飞	pʰi	51			
丁	丁	tiŋ	51			
丟	丢	tiəɯ	51			
中	中	təŋ	51			
丹	丹	tɔ̃	51			
低	低	tiɛ	51			
兜	兜	tei	51			
冬	冬	təŋ	51			
刀	刀	tɜ	51			
刁	刁	tiɔ	51			
叨	叨	tɜ	51			
叮	叮	tiŋ	51			
單	单	tɔ̃	51			
堆	堆	tei	51			
墩	墩	tɛ̃	51			
多	多	tu	51			
張	张	tiaŋ	51			
掂	掂	tiɛ̃	51			
擔	担	tɔ̃	51			
敦	敦	tɛ̃	51			
東	东	təŋ	51			
樁	桩	tioŋ	51			
燈	灯	tɛ̃	51			
當	当	toŋ	51			
疔	疔	tiŋ	51			
癲	癫	tiɛ̃	51			
登	登	tɛ̃	51			
瞪	瞪	tɛ̃i	51			
砧	砧	tiŋ	51			
端	端	tɛ̃	51			
耽	耽	tɔ̃	51			
豬	猪	tuə	51			
貂	貂	tiɔ	51			
蹲	蹲	tɛ̃	51			
躲	躲	tu	51			
都	都	tu	51			
釘	钉	tiŋ	51			
雕	雕	tiɔ	51			
顛	颠	tiɛ̃	51			
他	他	tʰuə	51			
偷	偷	tʰei	51			
吞	吞	tʰɛ̃	51			
坍	坍	tʰɔ̃	51			
天	天	tʰiɛ̃	51			
廳	厅	tʰiŋ	51			
拖	拖	tʰa	51			
拖	拖	tʰu	51			
挑	挑	tʰiɔ	51			
掏	掏	tʰɜ	51			
推	推	tʰei	51			
攤	摊	tʰɔ̃	51			
梯	梯	tʰiɛ	51			
梯	梯	tʰɛ	51			
汀	汀	tʰiŋ	51			
添	添	tʰiɛ̃	51			
湯	汤	tʰoŋ	51			
滔	滔	tʰɜ	51			
灘	滩	tʰɔ̃	51			
聽	听	tʰiŋ	51			
胎	胎	tʰɛ	51			
臺	台	tʰɛ	51			
貪	贪	tʰɛ̃	51			
通	通	tʰəŋ	51			
乖	乖	kua	51			
交	交	kɔ	51			
佳	佳	kuə	51			
光	光	koŋ	51			
公	公	kəŋ	51			
冠	冠	kuɔ̃	51			
剛	刚	koŋ	51			
功	功	kəŋ	51			
加	加	kuə	51			
勾	勾	kei	51			
哥	哥	ku	51			
嘉	嘉	kuə	51			
奸	奸	kɔ̃	51			
姑	姑	kuə	51			
孤	孤	ku	51			
官	官	kuɔ̃	51			
宮	宫	kəŋ	51			
家	家	kuə	51			
尷	尴	kɔ̃	51			
屆	届	ka	51			
岡	冈	koŋ	51			
工	工	kəŋ	51			
幹	干	kuɛ̃	51			
庚	庚	kaŋ	51			
弓	弓	kəŋ	51			
恭	恭	kəŋ	51			
戈	戈	ku	51			
扛	扛	koŋ	51			
更	更	kaŋ	51			
杆	杆	kuɛ̃i	51			
杠	杠	koŋ	51			
柑	柑	kɛ̃	51			
根	根	kɛ̃	51			
棺	棺	kuɔ̃	51			
歌	歌	ku	51			
歸	归	kuei	51			
江	江	koŋ	51			
泔	泔	kɛ̃	51			
溝	沟	kei	51			
瓜	瓜	kuə	51			
甘	甘	kɛ̃	51			
皆	皆	ka	51			
監	监	kɔ̃	51			
稼	稼	kuə	51			
篙	篙	kɜ	51			
糕	糕	kɜ	51			
綱	纲	koŋ	51			
缸	缸	koŋ	51			
羔	羔	kɜ	51			
羹	羹	kaŋ	51			
耕	耕	kaŋ	51			
肛	肛	koŋ	51			
肝	肝	kuɛ̃	51			
膏	膏	kɜ	51			
膠	胶	kɔ	51			
艱	艰	kɔ̃	51			
茭	茭	kɔ	51			
蚣	蚣	kəŋ	51			
蠱	蛊	kuə	51			
街	街	ka	51			
規	规	kuei	51			
觀	观	kuɔ̃	51			
該	该	kɛ	51			
豇	豇	koŋ	51			
跟	跟	kuɛ̃	51			
躬	躬	kəŋ	51			
辜	辜	kuə	51			
郊	郊	kɔ	51			
鉤	钩	kei	51			
鋼	钢	koŋ	51			
鍋	锅	ku	51			
間	间	kɔ̃	51			
關	关	kuɔ̃	51			
階	阶	ka	51			
驚	惊	kuŋ	51			
高	高	kɜ	51			
鬮	阄	kei	51			
鰥	鳏	kuɔ̃	51			
鳩	鸠	kei	51			
丘	丘	kʰei	51			
刊	刊	kʰuɛ̃	51			
匡	匡	kʰoŋ	51			
坑	坑	kʰaŋ	51			
坤	坤	kʰuɛ̃	51			
垮	垮	kʰua	51			
堪	堪	kʰɛ̃	51			
奎	奎	kʰuei	51			
寬	宽	kʰuɔ̃	51			
崑	崑	kʰuɛ̃	51			
康	康	kʰoŋ	51			
慷	慷	kʰoŋ	51			
揩	揩	kʰa	51			
敲	敲	kʰɔ	51			
昆	昆	kʰuɛ̃	51			
枯	枯	kʰuə	51			
棵	棵	kʰu	51			
盔	盔	kʰuei	51			
眶	眶	kʰoŋ	51			
科	科	kʰu	51			
空	空	kʰəŋ	51			
窠	窠	kʰu	51			
窺	窥	kʰuei	51			
筐	筐	kʰoŋ	51			
箍	箍	kʰuə	51			
糠	糠	kʰoŋ	51			
蒿	蒿	kʰɜ	51			
薧	薧	kʰɜ	51			
虧	亏	kʰuei	51			
誇	夸	kʰuə	51			
跨	跨	kʰua	51			
鉛	铅	kʰɔ̃	51			
開	开	kʰɛ	51			
骹	骹	kʰɔ	51			
魁	魁	kʰuei	51			
齦	龈	kʰɛ̃	51			
龕	龛	kʰɛ̃	51			
俘	俘	fuə	51			
分	分	fɛ̃i	51			
呼	呼	fuə	51			
夫	夫	fuə	51			
婚	婚	fɛ̃	51			
封	封	fəŋ	51			
峰	峰	fəŋ	51			
徽	徽	fei	51			
恢	恢	fei	51			
揮	挥	fei	51			
敷	敷	fuə	51			
方	方	foŋ	51			
昏	昏	fɛ̃	51			
楓	枫	fəŋ	51			
歡	欢	fɔ̃	51			
灰	灰	fei	51			
番	番	fɔ̃	51			
瘋	疯	fəŋ	51			
紛	纷	fɛ̃i	51			
翻	翻	fɔ̃	51			
肪	肪	foŋ	51			
膚	肤	fuə	51			
芬	芬	fɛ̃i	51			
芳	芳	foŋ	51			
葷	荤	fɛ̃	51			
蜂	蜂	fəŋ	51			
蝦	虾	fu	51			
詼	诙	fei	51			
豐	丰	fəŋ	51			
輝	辉	fei	51			
酣	酣	fɛ̃	51			
鋒	锋	fəŋ	51			
風	风	fəŋ	51			
麩	麸	fuə	51			
麾	麾	fei	51			
鼾	鼾	fɛ̃	51			
之	之	tsɿ	51			
咨	咨	tsɯə	51			
基	基	tsɿ	51			
增	增	tsɛ̃	51			
姬	姬	tsɿ	51			
姿	姿	tsɯə	51			
宗	宗	tsəŋ	51			
尊	尊	tsɛ̃	51			
幾	几	tsɿ	51			
憎	憎	tsɛ̃	51			
抓	抓	tsɔ	51			
支	支	tsɿɛ	51			
智	智	tsɿɛ	51			
曾	曾	tsɛ̃	51			
枝	枝	tsɿɛ	51			
栽	栽	tsɛ	51			
梓	梓	tsɯə	51			
棕	棕	tsəŋ	51			
楂	楂	tsuə	51			
機	机	tsɿ	51			
渣	渣	tsuə	51			
滋	滋	tsɯə	51			
災	灾	tsɛ	51			
爭	争	tsaŋ	51			
瓷	瓷	tsɯə	51			
睜	睁	tsaŋ	51			
知	知	tsɿɛ	51			
租	租	tsɯə	51			
箏	筝	tsaŋ	51			
簪	簪	tsɛ̃	51			
糟	糟	tsɜ	51			
紮	扎	tsɔʔ	51			
綜	综	tsəŋ	51			
縱	纵	tsəŋ	51			
羈	羁	tsɿɛ	51			
肌	肌	tsɿ	51			
肢	肢	tsɿɛ	51			
脂	脂	tsɿ	51			
臧	臧	tsoŋ	51			
芝	芝	tsɿ	51			
茲	兹	tsɯə	51			
譏	讥	tsɿ	51			
資	资	tsɯə	51			
贓	赃	tsoŋ	51			
蹤	踪	tsəŋ	51			
輜	辎	tsɯə	51			
遭	遭	tsɜ	51			
遵	遵	tsɛ̃	51			
錐	锥	tsei	51			
雞	鸡	tsɿɛ	51			
飢	飢	tsɿ	51			
饑	饥	tsɿ	51			
髒	脏	tsoŋ	51			
鬃	鬃	tsəŋ	51			
齋	斋	tsa	51			
倉	仓	tsʰoŋ	51			
催	催	tsʰɛ	51			
初	初	tsʰɯə	51			
叉	叉	tsʰuə	51			
嗤	嗤	tsʰɯə	51			
囪	囱	tsʰəŋ	51			
妻	妻	tsʰɿɛ	51			
岔	岔	tsʰuə	51			
差	差	tsʰa	51			
差	差	tsʰuə	51			
差	差	tsʰɿ	51			
慘	惨	tsʰɛ̃i	51			
抄	抄	tsʰɔ	51			
搓	搓	tsʰu	51			
撐	撑	tsʰaŋ	51			
撕	撕	tsʰɿ	51			
攙	搀	tsʰɔ̃	51			
杈	杈	tsʰuə	51			
村	村	tsʰɛ̃	51			
棲	栖	tsʰɿɛ	51			
汊	汊	tsʰuə	51			
淒	凄	tsʰɿɛ	51			
溪	溪	tsʰɿɛ	51			
猜	猜	tsʰɛ	51			
癡	痴	tsʰɿ	51			
粗	粗	tsʰɯə	51			
聰	聪	tsʰəŋ	51			
蒼	苍	tsʰoŋ	51			
蔥	葱	tsʰəŋ	51			
蛆	蛆	tsʰɿ	51			
釵	钗	tsʰa	51			
鈔	钞	tsʰɔ	51			
雌	雌	tsʰɯə	51			
餐	餐	tsʰɔ̃	51			
鴟	鸱	tsʰɯə	51			
三	三	sɔ̃	51			
僧	僧	sɛ̃	51			
刪	删	sɔ̃	51			
參	参	sɛ̃i	51			
司	司	sɯə	51			
唆	唆	su	51			
喪	丧	soŋ	51			
嘻	嘻	sɿ	51			
嬉	嬉	sɿ	51			
孫	孙	sɛ̃	51			
尿	尿	sɿ	51			
屍	尸	sɿ	51			
山	山	sɔ̃	51			
嵩	嵩	səŋ	51			
希	希	sɿ	51			
師	师	sɯə	51			
廝	厮	sɯə	51			
思	思	sɯə	51			
捎	捎	sɔ	51			
搜	搜	sei	51			
斯	斯	sɯə	51			
施	施	sɯə	51			
杉	杉	sɔ̃	51			
松	松	səŋ	51			
桑	桑	soŋ	51			
梢	梢	sɔ	51			
梭	梭	su	51			
梳	梳	suə	51			
森	森	sɛ̃i	51			
沙	沙	sa	51			
沙	沙	suə	51			
熙	熙	sɿɛ	51			
牲	牲	saŋ	51			
犀	犀	sɿɛ	51			
犧	牺	sɿ	51			
獅	狮	sɯə	51			
珊	珊	sɔ̃	51			
生	生	saŋ	51			
甥	甥	saŋ	51			
疏	疏	suə	51			
痧	痧	suə	51			
砂	砂	suə	51			
禧	禧	sɿ	51			
私	私	sɯə	51			
稀	稀	sɿ	51			
稍	稍	sɔ	51			
笙	笙	saŋ	51			
筲	筲	sɔ	51			
篩	筛	sɯə	51			
簑	簑	su	51			
紗	纱	suə	51			
絲	丝	sɯə	51			
腮	腮	sɛ	51			
臊	臊	sɜ	51			
蔬	蔬	suə	51			
蘇	苏	suə	51			
螄	蛳	sɯə	51			
衫	衫	sɔ̃	51			
衰	衰	sa	51			
西	西	sɿɛ	51			
酥	酥	suə	51			
酸	酸	sei	51			
颼	飕	sei	51			
餿	馊	sei	51			
騷	骚	sɜ	51			
中	中	tɕiəŋ	51			
京	京	tɕiŋ	51			
今	今	tɕiŋ	51			
偵	侦	tɕiŋ	51			
僵	僵	tɕiaŋ	51			
兢	兢	tɕiŋ	51			
兼	兼	tɕiɛ̃	51			
占	占	tɕiɛ̃	51			
君	君	tɕyeŋ	51			
周	周	tɕiəɯ	51			
圭	圭	tɕyɛ	51			
均	均	tɕyeŋ	51			
堅	坚	tɕiɛ̃	51			
妝	妆	tɕioŋ	51			
嬌	娇	tɕiɜ	51			
將	将	tɕiaŋ	51			
專	专	tɕyɛ̃	51			
尖	尖	tɕiɛ̃	51			
居	居	tɕyɛ	51			
州	州	tɕiəɯ	51			
巾	巾	tɕiŋ	51			
張	张	tɕiaŋ	51			
征	征	tɕiŋ	51			
忠	忠	tɕiəŋ	51			
拘	拘	tɕyɛ	51			
招	招	tɕiɜ	51			
捐	捐	tɕyɛ̃	51			
斟	斟	tɕiŋ	51			
斤	斤	tɕiŋ	51			
旌	旌	tɕiŋ	51			
昭	昭	tɕiɜ	51			
晶	晶	tɕiŋ	51			
朝	朝	tɕiɜ	51			
朱	朱	tɕyɛ	51			
株	株	tɕyɛ	51			
椒	椒	tɕiɜ	51			
榛	榛	tɕiŋ	51			
樟	樟	tɕiaŋ	51			
正	正	tɕiŋ	51			
津	津	tɕyeŋ	51			
洲	洲	tɕiəɯ	51			
涓	涓	tɕyɛ̃	51			
澆	浇	tɕiɜ	51			
焦	焦	tɕiɜ	51			
煎	煎	tɕiɛ̃	51			
獐	獐	tɕiaŋ	51			
珍	珍	tɕiŋ	51			
珠	珠	tɕyɛ	51			
疆	疆	tɕiaŋ	51			
真	真	tɕiŋ	51			
睛	睛	tɕiŋ	51			
瞻	瞻	tɕiɛ̃	51			
硃	硃	tɕyɛ	51			
磚	砖	tɕyɛ̃	51			
窘	窘	tɕyeŋ	51			
章	章	tɕiaŋ	51			
筋	筋	tɕiŋ	51			
簪	簪	tɕiɛ̃	51			
精	精	tɕiŋ	51			
終	终	tɕiəŋ	51			
絹	绢	tɕyɛ̃	51			
經	经	tɕiŋ	51			
臻	臻	tɕiŋ	51			
舟	舟	tɕiəɯ	51			
荊	荆	tɕiŋ	51			
莊	庄	tɕioŋ	51			
菌	菌	tɕyeŋ	51			
蒸	蒸	tɕiŋ	51			
蒹	蒹	tɕiɛ̃	51			
蕉	蕉	tɕiɜ	51			
薑	姜	tɕiaŋ	51			
蛛	蛛	tɕyɛ	51			
蟑	蟑	tɕiaŋ	51			
裝	装	tɕioŋ	51			
襟	襟	tɕiŋ	51			
誅	诛	tɕyɛ	51			
諸	诸	tɕyɛ	51			
貞	贞	tɕiŋ	51			
車	车	tɕyɛ	51			
軍	军	tɕyeŋ	51			
追	追	tɕy	51			
遮	遮	tɕyə	51			
金	金	tɕiŋ	51			
