来源：	1991《介休方言志》张益梅。Vinchi 录入增补。
Ø	［1］窝-倭{~寇：指日寇}［3］□{摘下树枝等的动作}［5］卧-窝-{专指窝窝头}
#yᴇ	
t	［1］朵-{耳~}□{摔}□{不用模型而塑造物件}［3］朵-{一~花}躲［5］剁{~肉}垛{麦~子}
tʰ	［5］唾-
l	［5］摞-{~成一~}
tɕ	［5］座-座-
ɕ	［1］靴梭［3］锁-琐-
#ə	
tʂ	［1］遮［3］这赭
tʂʰ	［1］车蛇奢［3］扯［5］憋
ʂ	［1］赊［3］舍{放弃}［5］社赦舍{宿~}射麝
ʐ	［3］惹
k	［1］哥歌［3］□{~溅：怂恿别人去做不理智的事情}［5］个{~体}
kʰ	［1］苛［3］可
ŋ	［1］鹅俄蛾讹屙［3］我［5］饿
x	［1］何荷河［5］贺
#uə	
p	［1］玻波播鄱［3］簸{动词}绑-［5］簸{~箕}棒-
pʰ	［1］颇坡婆［3］叵［5］破
m	［1］磨{动词}馍摩魔忙-［3］抹［5］磨{水~儿}
t	［1］多当-{~家}裆-朵{耳~}［3］躲朵{两次}党-{前~峪：介休村名}［5］惰堕驮{名词}剁垛棠-{义~}
tʰ	［1］拖驮驮舵鸵汤-［3］妥椭{~圆形}［5］唾烫-{~猪毛}
n	［1］挪［5］懦糯齉{~鼻：因受冷而鼻子不通}□{松软而难以嚼烂的白肉}
l	［1］罗锣箩萝螺骡凉-量-{动词}粮-梁-{上~}狼-［3］两-□{~动：轻轻接触}［5］亮-晾-摞量-{分~不足}
ts	［1］左佐［5］坐座
tsʰ	［1］搓磋［5］错措挫
s	［1］梭唆嗦［3］锁所琐
k	［1］锅光-［3］果裹戈［5］过
kʰ	［1］棵颗{量词}科糠-［3］颗{名词}［5］课阔{~人}磕炕-
x	［1］房-方-防-黄-磺-簧-和禾［3］火伙仿纺-幌-{~子}［5］货放-祸巷-{~~}
Ø	［1］窝倭王-［3］枉-网-{~肆：脚野；衣服穿的不规矩，可能是“放肆”的音}［5］芒-{麦~}忘-旺-望-{指~卧}
#yə	
tɕ	［1］墙-张-肠-庄-装-姜-{鲜~}强-{要~}场-缰-长-{形容词}僵-{~过去了：一种疾病，发病后，病人四肢僵硬，神志不清。}藏-{圪~}［3］长-{动词}涨-掌-{钉~子}［5］杖-丈-{~人}降-{姓~}酱-匠-浆-{刮~：做衣服时用浆糊刮在布料上以防脱线或走形}
tɕʰ	［1］搓-双-仓-枪-{土~}［3］抢-［5］错-{～了}呛-{~人}挫-
ȵ	［1］娘-{老~：接生婆}仰-{~得脖子疼}［3］□{推}
ɕ	［1］香-疮-窗-桑-床-{尿~}相-{~看}唆-蓑-梭-商-{~量}［3］想-响-琐-所-［5］象-{~他妈}上-{~学}绱-{~鞋}向-裳-
Ø	［1］瓤-秧-羊-杨-{~树}扬{~土}［3］养-{~孩儿：生小孩儿}［5］样-
#ɿ	
ts	［1］］资姿咨慈-滋兹孽支肢枝孜瓷-磁-辎梓吱之艺龇只{量词}［3］紫姊子仔籽址旨指{六～子}酯脂纸只{副词}［5］自字至志痣
tsʰ	［1］瓷慈辞词雌齿磁［3］此［5］剌赐次疵伺{~侯}翅侍□{绣}差{参~}
nᶻ	［1］□{研}［5］腻{油~住了}
s	［1］斯撕私司丝思诗时厮辞-施词-祠师狮尸嗜匙［3］死屎史使驶始［5］是示土视仕市柿事试四肆似已恃豕峙饲嗣伺{~机}祀氏谥寺矢舐
#ʮ	
ts	［1］猪诸朱诛株蛛珠侏厨-除-{~非}［3］煮翥阻主拄帚诅俎［5］住注柱驻炷{一~香}蛀助著铸
tsʰ	［1］初除储锄厨橱躇雏□{伸}□{由于风向或天气的关系，灶火不旺，只是往家里冒烟}［3］处{动词}楚褚□{头朝下载下去}［5］处{名词}矗搐
nᶻ	［3］女-{侄~，～子}
s	［1］梳疏蔬书舒锄-枢输殊姝抒［3］暑署薯曙鼠黍墅数{名词}杵庶［5］数{名词}竖戍树
z	［1］如茹［3］乳汝儒蠕孺濡
#ɐr	
Ø	［1］儿而［3］尔耳饵洱迩［5］二貳
#i	
p	［1］屄{女阴}［3］比秕妣彼譬鄙饼-□{去汁}［5］病-备币匕臂篦避闭毙蔽敝蓖陛
pʰ	［1］批琵砒枇皮披脾{~气}啤坯罴［3］痞疲脾{~胃}庇［5］屁
m	［1］迷糜靡咪眯弥蔑{席~~}眉明-名-［3］米美-{~国}拇＝｛大~指头｝［5］命-谜汨郿面-{这~}
tɕ	［1］鸡饥肌几{~乎}机讥讥玑基骑-箕嫉羁［3］几{~斤}己挤［5］计继妓技伎寄姬纪记忌蓟既季悸冀骥镜-际
tɕʰ	［1］奇骑琦崎企祁祈鳍其欺期棋旗琪麒箕杞岂畦歧唏［3］启起［5］气汽器弃契
ɕ	［1］奚蹊蹊希稀兮牺犀曦熙檄肥-［3］喜嘻嬉禧玺［5］系戏费-{~鞋}
Ø	［1］移夷姨咦医怡贻衣依蝇-遗猗漪彝裔宜应-{答~}［3］尾-影-{~户户：影子}已以椅溢{锅~了}［5］艺呓易义仪蚁议忆亿伊肄矣意臆异毅邑翼颐沂奕胰迤噫翌懿屹抑羿诣映-{~镜子}
#u	
p	［1］脯-{胸~}葡-{~桃}［3］补捕堡-［5］布部步薄怖抱-
̰̰̰̊pʰ	［1］铺菩葡匍脯{胸~}［3］普谱浦蒲圃［5］铺
m	［1］毛-谋{计~}模{~范}牟{~取}眸务-{不~正业}［3］某亩母拇姆模{~子}［5］暮墓慕募牧牟{姓}谋{热衷于：这孩子一天价就~了要啦}
t	［1］都嘟［3］堵赌肚{胃}［5］肚{腹}杜度渡镀踱妒蠧
tʰ	［1］徒屠途涂图荼［3］土吐［5］兔菟
n	［1］努{~唇拌嘴~撅着嘴表示不高兴}
k	［1］姑孤辜菇咕［3］古估{~计}贾{商~}股鼓蛊箍{戒~~：戒指；胁迫：~住我非说不行}［5］故固顾估{~衣}□{~儿：老鼠}
kʰ	［1］枯骷［3］苦［5］库裤
x	［1］胡湖葫蝴瑚糊{~涂}呼乎浮孚狐弧壶夫扶麸抚符孵滹［3］虎唬琥肤府俯甫斧釜腐辅否脯{~脯，杏~}［5］户沪互护浒扈父付副傅赴附妇负富埠糊{脑子发~}
Ø	［1］无吴乌呜钨屋蜈芜妩梧污坞巫诬侮毋［3］五午伍捂武舞鹉吾［5］恶{可~}误悟务雾寤晤戊骛
#y	
tɕ	［1］居车{~马炮}渠-拘驹瞿-［3］给-举［5］据锯剧巨拒矩柜-炬遽具俱惧飓句距犋{蓄力单位：一~牲口}
tɕʰ	［1］区驱岖躯趋渠瞿癯［5］去
ȵ	［1］鱼-渔-盂-{痰~}榆-{~次}［3］女语-［5］寓-遇-
ɕ	［1］兄-虚墟嘘徐［3］许栩诩［5］□{否认或骗取别人寄存的东西}
Ø	［1］鱼渔于余迂愚虞瑜榆愉愈竽谀欤围-{把脖子~住裕些}［3］雨禹羽裕屿语［5］遇与誉予御娱吁玉寓慰-尉-喂-{~饭}逾芋愈蔚-驭郁
#ɛi	
p	［1］白背赔-□{埋葬：~人}陪{~随：携带}牌{~~：围嘴儿}［3］摆［5］拜败稗倍辈背焙狈褙{把布或纸一层一层地粘在一起}
pʰ	［1］排培陪赔裴牌坯□{抢~人：枪毙人}［3］胚丕魄□{~炸：故意让人做某些不必要做的事情来惩罚人}［5］派配佩帔{风冠霞~}沛辔
m	［1］梅莓酶霉枚玫埋媒煤楣［3］买［5］卖迈妹昩寐
t	［1］呆台-苔-{蒜~}抬-□{~了：藏了}［3］歹逮［5］带代货袋黛岱大{~夫}待怠戴殆
tʰ	［1］胎台抬苔［3］□{~意：舒服（略有贬义）}［5］太汰泰态
n	［3］奶乃鼐［5］耐奈
l	［1］来莱［3］□{薄~：摆动}［5］赖癞
ts	［1］栽裁-灾哉材-{棺~}才{副词}［3］宰载崽［5］在再债寨
tsʰ	［1］猜才财豺材差{~事}裁柴□{面和的稀了，再~上些干面}［3］采彩踩睬［5］菜蔡
nᶻ	［3］奶-{乳房；哺乳}
s	［1］筛腮柴-塞□{~牙嘶嘴：龇牙咧嘴}［3］□{摇摆；~铭旌}［5］晒赛塞{边~}
tʂ	［3］这-
k	［1］该垓［3］改［5］盖丐钙
kʰ	［1］开{~门}［3］凯恺楷慨［5］开{~儿：主意，办法}
ŋ	［1］挨哀埃［3］矬蔼霭［5］爱艾碍隘
x	［1］鞋-孩骸［3］海□{人与人相挤撞}［5］害亥骇氦嗨解｛~不下：不懂｝澥｛~蘸的：调蘸料｝
Ø	［1］哎
#uɛi	
t	［1］堆兑［5］对队碓堆{拉下：我~下好几天的作业了}
tʰ	［1］推颓［3］腿［5］退褪蜕
n	［5］内
l	［1］雷擂{动词}蕾镭［5］擂{~台}
ts	［3］□{耍威风，摆阔气的样子：看人家多~}［5］罪拽{拉}□{拟声词：~地打了一下}
tsʰ	［1］崔催摧璀［3］揣{摸}［5］□{指人不卫生，无能：他妈太~了}
s	［1］衰摔□{浅浅地放下}［3］揣-甩［5］碎帅率{~领}
k	［1］乖□{磨刀或类似的动作}［3］拐［5］怪
kʰ	［1］盔{~甲；瓦~：瓦制盆状器皿；尿~子：便盆}［3］块□{哄或骗：快去~~孩儿}［5］快会{~计}刽侩{市~}脍筷蒯
x	［1］回茴蛔徊灰洃徽怀淮害-{~怕，~暖，~羞}和-{~子饭}［3］恢悔晦诲讳［5］坏汇惠蕙彗慧秽卉会{开~}桧绘烩贿
Ø	［1］歪［3］崴{扭伤}□{那：~是谁？}［5］外喂{叹词}磑{~儿：磨面的磨}
#ei	
p	［1］卑碑婢杯悲［5］贝狈
pʰ	［5］呸
m	［3］美镁
t	［1］低钉-{~子}蹄-□{~促：随意指派人做事}［3］底抵叛邸顶-{~针}［5］地弟第递帝蒂缔钉-{动词}疔-{~儿}定-{~省：思考，分辨}
tʰ	［1］听-堤梯题提啼蹄［3］体［5］替涕剃嚏屉
l	［1］梨黎犁藜离璃篱漓厘狸铃-零-{~钱}［3］李礼里理鲤娌俚领-{衣~子}［5］例厉励砺丽鹂隶荔吏利痢莉俐猁另-{~家}
ts	［1］脐贼精-{~明}晴-齐-{全；~来了}晴-［3］挤-井-虮{~子}［5］际祭济净-剂□{笼~~：笼屉}静{~升：灵石静升镇}
tsʰ	［1］青-齐-{形容词}清-{不稠}妻凄栖萋［3］□{~~叉叉：动作麻利}［5］砌{凑，拼合}
nᶻ	［3］挤-□{~~nᶻeng1nᶻeng说话或唱歌时声音很低，口齿又不清楚｝
s	［1］西星-惺-腥-饧-{糖稀}［3］洗擤-［5］细息-{出~}婿性-{变~了}
tʂ	［1］知蜘迟-蒸-［3］整{~数}［5］正-制智滞致稚痔治置桎窒陟灸掷-
tʂʰ	［1］池迟驰弛痴持侈魑踟［3］耻嗤
ʂ	［1］车＝｛扇~｝绳-声-盛-{~饭}升{一~米}承-{~不住：承受不了}成-{吃不~：不可以吃}城-{~寺，介休一村名}［5］世势誓逝剩-秤-
k	［3］给
kʰ	［1］□{批评，训斥：叫老师~了一顿}
 #uei	
l	［1］驴［3］吕侣闾铝榈旅缕屡履儡垒褛累{重叠，罪行~~}□{不~户：没注意}［5］泪虑滤累{过劳累}
ts	［1］堆{扫成一~~}追搥椎锥{~儿}锤-［3］嘴［5］最醉缀聚坠
tsʰ	［1］吹炊垂□{能力精神不及过去誓越活越~}蛆{~罐罐：生了虫的，如，这枣尽是~罐罐的}［3］取娶趣［5］脆翠粹悴
s	［1］须虽谁需随绥遂隧荽徐-{清~}［3］水［5］胥婿序绪絮岁税睡穗续{~姨姨}叙锐髓
z	［1］□{~~：一种野生植物，果实是红色小圆粒，可食}［5］瑞锐芮蕊
k	［1］龟归轨规闰硅［3］鬼癸诡［5］桂贵瑰柜
kʰ	［1］魁亏傀奎逵岿跬窥［5］跪愧溃馈
x	［1］飞妃肥淝非菲啡绯扉挥辉珲和-{~尚}［3］毁诽茹翡吠匪［5］肺废费
Ø	［1］危桅帷维唯微薇巍威围为{~人}［3］委伪违伟苇尾纬猬韦嵬韪娓猬[5]卫为｛~甚？｝位未味魏畏喂｛~饭｝谓渭胃
#ɔo	
p	［1］包咆苞刨{~地}雹-鲍［3］保宝饱褒捺葆褓鸨［5］抱报暴豹爆刨{~花、~刷：鞋刷}
pʰ	［1］袍胞庖炮{~制}抛剖［3］跑［5］泡炮{大~}疱□{滚}
m	［1］毛矛茅猫锚髦［3］卯牡{~丹}铆{卯~儿}趟［5］冒帽茂贸貌瑁
t	［1］刀叨桃-萄-□{抢}［3］岛捣祷蹈稻悼倒{跌~}［5］到倒{~水}道盗导
tʰ	［1］滔掏淘陶萄逃桃涛绦焘［3］讨稻-［5］套□{~黍：高粱}
n	［1］蛲挠饶［3］恼脑瑙［5］闹
l	［1］劳捞痨唠牢［3］老佬姥了-{吃~饭}［5］骆烙{~饼}涝落{~价}络{~~束发的网络}
ts	［1］遭糟槽-□{衣服等脏}［3］早枣爪蚤骚{~动}澡藻［5］造皂躁罩笊灶□{疲乏}
tsʰ	［1］曹嘈槽操抄钞巢［3］草吵炒［5］躁糙□{詈词}□{量词：洗涤的次数}
nᶻ	［1］挠
s	［1］捎稍梢骚{《离~》}［3］扫{~地}嫂［5］扫{~帚}臊燥-
tʂ	［1］朝{晨}召诏招昭肇钊着{~急}［3］找［5］赵照诏兆
tʂʰ	［1］超朝{~代}潮嘲晁［5］绰{宽~}
ʂ	［1］烧绍韶超-［3］少［5］少邵烧{早~：早晨}
ʐ	［1］饶娆［3］扰绕{围~}［5］绕{走弯路}
k	［1］高膏羔糕［3］稿搞缟搞睾［5］告诰郜
kʰ	［3］考烤拷［5］靠犒铐
ŋ	［1］熬嗷鏖翱［3］袄拗{折断}［5］傲敖遨鏊{~子}奥懊坳拗澳
x	［1］毫豪嚎蒿薅蚝{清~}［3］好{~坏}［5］好号浩孝-上-{房~，拿~}
Ø	［1］噢
#iɔo	
p	［1］标瞟骠镖镳彪［3］表裱婊［5］鳔{~胶}
pʰ	［1］飘瓢漂{~浮}嫖剽殍朴{姓~}［3］漂{~布}瞟［5］票漂{~亮}
m	［1］苗描瞄［3］藐渺秒杳□{极快的看一眼}［5］庙妙
t	［1］刀叨貂雕凋笤-调-{~和}条{柳~}［5］吊钓碉调{音~}
tʰ	［1］条挑调笤迢窕跳［3］挑{~灯}调{~换}［5］跳粜
l	［1］僚撩嘹燎膫廖聊疗［3］燎{不着火的烧：~了头发了}了{完结}［5］料撂
tɕ	［1］交郊胶教{~书}焦礁蕉骄娇浇椒缴皎［3］绞狡铰{~头发}校{~对}饺搅矫侥［5］教{~员}觉{睡~}较窖轿叫酵嚼{倒~：反刍}
tɕʰ	［1］敲瞧乔桥荞-侨悄跷{~腿}□{~猪}憔{~悴}［3］巧雀{~儿}［5］俏鞘翘窍峭撬
ȵ	［1］□{傲慢}［3］咬-鸟淆［5］尿
ɕ	［1］消宵霄硝销肖逍嚣萧箫哮绡［3］小晓［5］笑校{学~}效孝酵
Ø	［1］腰妖天邀摇谣窑瑶遥幺吆尧徭［3］舀［5］要耀曜跃-
#əu	
t	［1］头兜［3］斗{一~米}抖蚪陡□{把织物拆成线}［5］豆痘逗窦斗{~争}□{冒气、扬起灰尘}
tʰ	［1］偷投头［5］透
n	［1］奴驽弩［3］努［5］怒
l	［1］炉娄楼搂{搜刮（物体）}耧髅卢庐芦颅［3］鲁橹囟虏篓搂{用双臂把人或物抱在怀里}掳□{指人无能}
ts	［1］租揪-诌{随口编}［3］走祖组［5］奏皱绉邹骤做＝
tsʰ	［1］仇粗愁诌{搀扶}搊{提鞋、裤的动作}［5］醋凑措-
s	［1］愁-□{虫子蛀：这木头牛牛（虫子）～了}□{圪~：痒得感觉或使人感觉痒的动作}苏酥稣搜艘簌塑-□{通火，使火旺起来}［3］□{抖：把衣裳上的土~一~}［5］素瘦叟艘诉嗉{鸡~子}嗽漱擞
tʂ	［1］周稠-舟州洲□{~留：收拢在一起}粥［3］肘□{~住：控制住}［5］□{不灵便}咒昼纣宙
tʂʰ	［1］抽绸稠筹酬踌［3］丑瞅［5］臭
ɳ	［3］钮-纽-扭-忸-
ʂ	［1］收［3］手首守［5］受授兽寿售
ʐ	［1］柔揉［5］肉
k	［1］勾沟钩构苟媾［3］狗［5］够购
kʰ	［1］抠［3］口［5］扣叩寇
ŋ	［1］欧［3］偶藕殴讴呕［5］怄
x	［1］侯喉猴［3］吼［5］后厚候
#iəo	
t	［1］丢□{用手提}［3］□{溜~~：下垂的冰柱}
tʰ	［3］□{滑：刚下~雪：道上~得不行}□{斥责：老师~了我一顿}
l	［1］刘浏流琉硫留榴瘤［3］柳绺{一~头发}［5］六溜镏{金~子}馏{重新蒸食物}
tɕ	［1］纠赳揪㞗-{男性生殖器}［3］九酒久韭灸疚政［5］舅臼救究旧就
tɕʰ	［1］球求丘秋囚鳅蚯邱表裘泅［3］□{距离太近：~在我跟前做甚？}瞅-
ȵ	［1］牛［3］钮扭纽忸谬［5］拗{固执}
ɕ	［1］休羞修宿-{星~}［3］朽［5］秀绣锈袖嗅
Ø	［1］尤优忧犹由油邮蚰游黝幽攸莜悠［3］有友酉［5］又右佑秞幼诱
#æ̃	
p	［1］班扳斑般搬颁盘-邦帮梆浜［3］板版扁-榜绑膀婆｛~~：姥姥｝［5］半伴拌蚌办扮瓣傍旁-{~坡：旁边}谤磅棒畔-{楞~：梯田外侧}
pʰ	［1］旁谤庞潘攀蟠盘磐拼{舍身~名}［5］盼判叛畔袢胖
m	［1］忙芒茫盲瞒蛮馒［3］满莽蟒［5］妈慢漫幔谩曼蔓
t	［1］担单耽丹郸当裆弹-［3］胆掸挡档党［5］淡担{~子}旦但诞惮弹{子~}蛋石{几~}荡□{跨：一步就~过去了}
tʰ	［1］贪潭谭痰滩摊摊檀坛弹{动词}汤堂膛螳棠唐糖塘搪［3］毯坦袒躺倘［5］叹炭探趟烫
n	［1］男难{形容词}楠［3］囊□{勿~：口齿不清晰地说}攮［5］难{灾~}
l	［1］兰拦栏蓝篮婪岚郎廊螂琅狼［3］览揽榄缆懒［5］烂槛滥浪朗
ts	［1］脏{不洁}赃簮［3］斩盏攒［5］站𣏾暂蘸绽藏{西~}脏{心~}葬蚕-{~儿}
tsʰ	［1］参{~加}蚕惨残惭餐灿搀馋谗仓苍舱沦藏［5］产铲
nᶻ	［1］□{唠唠叨叨，使人生厌}［3］攮-□-{~炒面}［5］𩅠{陷入}
s	［1］三参馋-山衫杉珊删桑［3］散伞嗓［5］散丧
tʂ	［1］毡沾粘张章樟漳蟑瘴彰缠-［3］展瞻辗长{动词}涨掌［5］占战仗丈杖蛇{属相}颤帐胀障幛
tʂʰ	［1］长{形容词}婵蝉缠肠昌常尝嫦猖娼偿蟾
ɳ	［1］黏粘［3］碾{动词}［5］碾{~儿：碾子}
ʂ	［1］膻煽商伤殇{孩子死}［3］闪陕赏上{~声}［5］上善扇骟膳缮擅疝裳尚绱{~鞋}
ʐ	［1］冉髯然瓤［3］染燃嚷［5］壤让酿
k	［1］甘泔柑尴干肝竿抨冈刚岗纲钢缸肛港［3］敢感橄杆赶秆干赣杠
kʰ	［1］刊勘堪康糠［3］砍坎抗慷□{扔}［5］看龛亢抗炕
ŋ	［1］安鞍庵昂肮［3］俺掩{~住口：捂住口}［5］按暗岸案盎
x	［1］含-咸函邯酣寒韩行涎罕憨杭航夯巷{～道}还{副词} ［3］喊［5］汉汗撼撼鼾旱焊捍悍瀚
Ø	［1］□{叹词，表示不同意时使用：～，你说的不对}
#iɛ̃	
p	［1］边鞭编［3］贬蝙匾扁［5］变便辨辩辫遍汴弁{马~副兵}
pʰ	［1］偏翩便{~宜}［3］篇谝{显示，夸耀}［5］骗片
m	［1］棉绵眠腼［3］兔勉娩缅冕［5］面
t	［1］田-甜-填-惦颠滇癫巍掂玷［3］点典碘腆［5］店电殿奠垫佃淀甸
tʰ	［1］天舔甜填田［3］舔恬［5］垫{替人先付款}
l	［1］连莲涟帘怜廉镰联粮良凉量梁粱恋-［3］脸两俩魉［5］练炼殓敛辆亮量晾
tɕ	［1］尖兼间奸肩坚监疆将煎前-钳-僵缰刚-钱-［3］减碱缄检俭硷简柬拣剪翦茧蒋奖讲［5］见舰剑件谏渐践贱溅饯建健键腱毽荐浆将酱匠降
tɕʰ	［1］千鹐{鸟啄物}签歼迁谦钳钱潜虔乾{~坤}遣谴笺前牵铅黔墙枪腔强［3］浅强{~迫}抢见-［5］欠歉嵌倩呛茜
ȵ	［1］淹严-俨-颜-言-研娘年拈岩疹-［3］眼撵捻［5］念酽-{~茶}雁-燕-谚-砚-
ɕ	［1］先仙闲贤嫌弦鲜威涎掀相{~女婿}箱厢襄镶详香乡翔湘［3］险藓显享想响饷［5］线限陷宪献现县馅羡象相{将~和}向降橡巷
Ø	［1］盐阎炎腌烟沿{介词}胭颜言研芫{~荽}檐廷筵蜒缘焉蔫阉严俨央秧羊殃疡扬杨阳洋佯鸯咽{~喉}岩奄嫣［3］淹掩黡{黑痣}靥{笑~~：笑窝}氧漾养仰痒衍［5］厌验焰堰咽宴晏艳艳妍唁燕样谚雁沿{水边}恙{病}样
#uæ̃	
t	［1］端团-{一~头发}［3］短［5］断段锻缎
tʰ	［1］团
n	［3］暖［1］栾滦峦銮□{用毛把东西揉成一团}
l	［3］卵［5］乱
ts	［1］钻椽-专砖□{骂}庄装桩妆［3］转纂［5］转传篆钻撰赚壮状撞奘幢僮
tsʰ	［1］川传椽穿船氽钏床窗□{~凑：唆使人闹不团结}［3］闯创喘［5］串窜篡
s	［1］酸拴栓闩霜孀双［3］喘-爽［5］算蒜涮
z	［3］软阮
k	［1］官观光关冠鳏棺倌绾{~巾}胱［3］管馆光{副词}广犷［5］冠{~军}观{道教的庙宇}贯惯灌罐鹤盥逛
kʰ	［1］宽匡筐诓眶狂［3］款［5］矿邝旷况框
x	［1］还{动词}欢桓环凡矾蕃翻烦繁樊獾肓荒慌皇惶煌蝗徨凰隍黄磺潢蟥簧方坊芳防妨房肪［3］反返缓谎晃纺舫访仿［5］唤换焕痪患豢宦幻范泛贩饭放梵
Ø	［1］完丸纨豌玩顽弯湾剜汪亡王［3］碗婉惋蜿宛皖脘晚挽网往魍枉［5］万腕蔓{瓜~}忘妄旺望
#yɛ̃	
