kʰen	1	坑=		
	3	肯=恳=垦=啃=		
ŋen	1	恩=		
hen	1	亨		
	2	桓痕恒衡		
	3	很		
	6	恨限=		
pien	1	鞭边		
	3	扁贬		
	5	变		
pʰien	1	篇偏编		
	2	便		
	3	匾		
	5	骗遍片		
	6	辨辩便辫		
mien	2	棉绵眠		
	3	免勉娩缅渑		
	6	面		
tien	1	颠		
	3	典		
tʰien	1	天		
	2	田填		
	6	电殿奠		
lien	2	连联怜莲		
	6	恋练炼拣		
tɕien	1	煎娟绢捐笺肩坚跟-根-		
	3	剪		
	5	溅箭饯眷卷建见荐		
tɕʰien	1	迁圈棬千牵		
	2	乾虔钱拳权颧全泉前		
	3	浅践藓犬肯-垦-恳-啃-		
	5	劝		
	6	件贱倦健		
ȵien	1	蔫恩=		
	2	沿铅言元原源		
	3	碾辇软阮研		
	5	应-		
	6	谚愿砚		
ɕien	1	仙鲜渲轩掀喧先		
	2	涎旋贤弦玄悬		
	3	鲜选显		
	5	线宪献		
	6	羡旋现县眩		
ien	1	焉冤烟燕渊		
	2	丸延筵袁圆员缘辕园援		
	3	远演		
	5	怨燕		
	6	院		
kuen	1	官棺观冠		
	3	管馆		
	5	贯灌罐观冠		
kʰuen	1	宽欢		
	3	款		
huen	1	轰		
	2	弘横宏		
	5	唤焕		
	6	缓换=		
uen	1	豌剜		
	2	完		
	3	碗腕皖		
	6	换-		
pən	1	奔		
	3	本		
	5	□[拼命奔波]		
pʰən	2	盆		
	5	喷		
	6	笨		
mən	1	蚊-		
	2	门		
	3	□[以手探物]		
	6	闷		
tən	1	珍真敦蒸征贞征		
	3	诊疹准拯整		
	5	镇振震顿证症正政		
tʰən	1	春椿称		
	2	陈尘臣屯豚饨臀澄橙承丞呈程成城=诚		
	3	忖蠢逞		
	5	趁称秤		
	6	阵囤沌盾钝遁郑		
lən	2	人=仁		
	3	忍=		
	6	认=嫩论润闰		
tsən	1	尊遵		
tsʰən	1	村		
	2	存蹲		
	3	□[强人所难]		
	5	寸		
sən	1	身申伸孙升胜声		
	2	神辰晨唇纯醇乘绳塍		
	5	逊舜胜圣		
	6	肾慎顺剩=盛		
piən	1	彬宾槟冰兵		
	3	丙秉饼=禀		
	5	殡鬓柄=并		
pʰiən	1	姘拼		
	2	贫频凭平=坪=评瓶屏萍		
	3	品		
	5	聘		
	6	病=并		
miən	2	闽民鸣明=盟名=铭		
	3	悯敏抿皿		
	6	命=		
tiən	1	丁钉=疔		
	3	顶鼎		
	5	钉=订		
tʰiən	1	听=厅=		
	2	亭停=廷庭蜓		
	3	艇挺		
	5	听		
	6	定=		
liən	2	邻鳞磷伦沦轮陵凌菱宁零=灵铃伶		
	3	领=岭=		
	6	吝令佞		
tɕiən	1	津巾斤筋均钧君军京荆惊=精晶睛=经		
	3	尽紧仅谨景警井=颈=		
	5	进晋劲俊敬竟镜=境径		
tɕʰiən	1	亲卿清=轻=青=蜻		
	2	秦勤芹群裙擎=鲸情晴=		
	3	请=		
	5	庆磬=		
	6	尽近郡竞静靖净=		
ȵiən	2	银人-		
	3	忍-		
	6	认-		
ɕiən	1	辛新薪熏勋薰兴星=腥=馨		
	2	荀旬循巡殉行形型刑		
	3	榫笋省醒=		
	5	信讯衅迅训兴性=姓=		
	6	杏行幸		
iən	1	因姻氤殷应鹰英婴缨莺鹦樱		
	2	寅匀云仍蝇盈赢=		
	3	引隐允尹影=永颖		
	5	印熨应映		
	6	韵运晕孕泳咏		
kuən	3	滚		
	5	棍		
kʰuən	1	坤昆		
	3	捆		
	5	困		
huən	1	昏婚分芬纷荤		
	2	魂坟		
	3	粉		
	5	粪奋愤忿		
	6	馄浑混份		
uən	1	温瘟		
	2	文蚊=		
	3	稳		
	6	问		
ton	1	端专=砖=		
	3	短转=		
	5	断锻转=		
tʰon	1	川=穿=		
	2	团传=椽=		
	3	喘		
	5	串		
	6	断段缎篆=传=		
lon	2	鸾		
	3	暖卵		
	6	乱		
tson	1	钻		
	3	纂		
	5	钻		
tsʰon	1	汆		
	5	篡窜		
	6	爨赚		
son	1	酸闩拴		
	2	船=		
	5	算蒜		
kon	1	干肝竿		
	3	杆秆赶		
	5	干		
kʰon	1	看刊		
	5	看		
ŋon	1	安鞍		
	3	□[我们]□[碾也]		
	5	按案		
	6	岸玩		
hon	2	寒韩		
	3	罕		
	5	汉		
	6	鼾旱汗焊翰		
pɯŋ	1	绷		
pʰɯŋ	1	喷		
	2	篷蓬朋棚		
	3	捧		
	5	碰		
mɯŋ	1	蒙=		
	2	蒙		
	3	懵		
	6	梦		
tɯŋ	1	东中忠终冬钟锺盅舂		
	3	董懂冢种肿		
	5	冻栋中众种		
tʰɯŋ	1	通充冲		
	2	同铜桐筒童瞳虫重		
	3	桶统宠		
	5	痛铳		
	6	动洞仲重		
lɯŋ	1	聋		
	2	笼隆戎绒农脓侬浓龙-茸		
	3	陇垅垄冗		
	6	弄		
tsɯŋ	1	棕鬃宗踪		
	3	总		
	5	纵粽		
tsʰɯŋ	1	聪匆葱		
	2	丛崇从		
sɯŋ	1	松		
	3	耸		
	5	送宋		
kɯŋ	1	公蚣工攻功弓躬宫恭=供=		
	3	拱巩		
	5	贡汞供		
kʰɯŋ	1	空		
	3	孔恐		
	5	控空捧		
	6	共		
hɯŋ	1	风枫疯丰烘封峰蜂锋		
	2	冯红洪虹鸿逢缝		
	5	哄讽		
	6	奉凤缝讧		
ɯŋ	1	翁		
	5	瓮		
tɕiɯŋ	1	恭-供-		
	3	迥		
tɕʰiɯŋ	1	倾从		
	2	琼穷		
	3	顷		
ɕiɯŋ	1	兄松胸凶		
	2	熊雄		
	5	嗅-		
	6	颂诵讼		
liɯŋ	2	龙-		
iɯŋ	1	雍臃		
	2	荣营茔萤融容镕蓉庸		
	3	拥甬勇涌		
	5	壅		
	6	用		
pʰaŋ	2	彭-		
	6	甏		
maŋ	1	蒙-		
taŋ	3	整-		
	5	正-		
laŋ	3	冷-		
tsaŋ	1	争-		
tsʰaŋ	1	撑-		
	2	橙-		
	5	撑-		
	6	□[伸腿]		
saŋ	1	生-甥-声-		
	2	城-		
	3	省-		
	5	□[震动去物也]		
kaŋ	1	庚-羹-更-粳-耕-		
	5	□[排除障碍横渡]		
kʰaŋ	1	坑-		
	3	□[咳嗽]		
ŋaŋ	1	□[道不明也]		
	6	硬-雁		
piaŋ	3	饼-		
	5	柄-		
pʰiaŋ	2	平-		
	6	病-		
miaŋ	2	明-名-		
	6	命-		
tiaŋ	1	钉-疔-		
	5	钉-□[丢弃]		
tʰiaŋ	1	听-厅-		
	2	停-		
	6	定-		
liaŋ	2	零-		
	3	领-岭-		
tɕiaŋ	1	精-惊-		
	3	井-颈-		
	5	镜-□[故意]		
tɕʰiaŋ	1	轻-青-		
	2	晴-擎-		
	3	请-		
	6	净-磬-		
ɕiaŋ	1	兄-星-腥-		
	3	醒-		
	5	性-姓-		
iaŋ	1	□[绕线]		
	2	赢-		
	3	影-		
	5	暎		
	6	剩-		
kuaŋ	3	梗-		
uaŋ	2	横-		
poŋ	1	帮邦		
	3	榜		
	5	谤		
pʰoŋ	2	滂旁螃庞		
	5	胖		
	6	傍棒蚌		
moŋ	2	忙芒茫盲虻		
	3	莽蟒猛		
toŋ	1	当张章樟		
	3	党挡长掌		
	5	当账帐胀障瘴		
tʰoŋ	1	汤昌菖		
	2	堂棠螳唐糖塘长肠场		
	3	倘躺厂闯		
	5	烫趟畅唱倡		
	6	荡宕丈仗杖		
loŋ	1	□[游赏也]		
	2	囊郎廊狼螂瓤		
	3	曩朗壤攘嚷		
	6	浪让		
tsoŋ	1	赃庄装桩		
	5	葬壮状		
tsʰoŋ	1	仓苍疮窗		
	2	藏床		
	5	创		
	6	藏脏状撞		
soŋ	1	桑丧霜孀商伤双		
	2	常裳尝		
	3	磉爽赏		
	5	丧		
	6	尚上		
koŋ	1	冈岗刚纲缸江扛		
	3	讲港		
	5	降虹		
kʰoŋ	1	康糠		
	2	狂		
	3	慷		
	5	抗炕旷况矿		
ŋoŋ	1	肮		
	2	昂		
hoŋ	2	行航杭降		
	6	项巷		
lioŋ	2	良凉量粮梁粱		
	3	两		
	5	亮谅辆量		
tɕioŋ	1	将浆疆僵姜缰		
	3	蒋奖桨		
	5	酱将		
tɕʰioŋ	1	枪羌匡筐眶		
	2	墙强		
	3	抢强		
	5	呛		
	6	犟匠像-		
ȵioŋ	1	□[颠簸行貌]		
	2	娘		
	3	仰		
	6	让-		
ɕioŋ	1	相箱厢湘襄镶香乡		
	2	详祥		
	3	想享响饷		
	5	相向		
	6	象像=橡		
ioŋ	1	央秧殃		
	2	羊洋烊杨阳扬疡		
	3	养痒		
	6	样		
kuoŋ	1	光		
	3	广		
huoŋ	1	荒慌方芳		
	2	簧皇慌房防妨		
	3	慌晃仿纺访彷		
	5	放		
uoŋ	1	汪		
	2	亡王忘黄		
	3	网枉往		
	5	妄望旺		
tap	7	搭答=		
tʰap	7	塔		
	8	踏		
lap	7	蜡腊		
	8	□[胡说也]		
tsʰap	7	插		
	8	□[泡以开水]		
sap	7	□[果肉之一瓣]		
kap	7	夹甲胛钾袷		
kʰap	7	恰掐蛤		
ŋap	7	鸭		
hap	7	□[小量也]		
	8	狭峡		
tep	7	褶折		
sep	7	摄涩		
	8	涉		
tʰiep	7	贴帖		
	8	叠碟牒蝶谍		
tɕiep	7	接劫		
tɕʰiep	7	妾怯		
	8	捷		
ȵiep	7	业		
	8	□[胡言胡语]		
ɕiep	8	胁协洽穴		
iep	7	叶页		
təp	7	执汁		
ləp	7	入		
səp	7	湿		
	8	十什拾		
liəp	7	立笠粒		
tɕiəp	7	急级给吸		
tɕʰiəp	8	缉集辑及疾		
ɕiəp	7	泣		
	8	习袭		
iəp	7	揖		
top	7	答-		
tʰop	8	夺		
lop	7	纳		
tsop	7	撮		
tsʰop	8	杂		
kop	7	合鸽		
kʰop	7	磕		
	8	□[关上]		
ŋop	7	罯		
hop	7	□[菜饭]		
	8	合盒		
pat	7	八		
pʰat	8	拔		
tat	7	跌-		
tʰat	7	塌		
	8	达		
lat	7	捺		
	8	辣		
tsat	7	扎眨		
tsʰat	7	擦察		
sat	7	杀		
kat	7	戛		
ŋat	7	押压		
hat	7	瞎		
kuat	7	刮		
huat	7	法发		
	8	伐筏罚乏		
uat	7	挖袜		
	8	滑		
pet	7	钵拨		
pʰet	7	泼		
met	7	末沫抹		
tet	7	哲蜇折浙拙		
tʰet	7	策		
	8	撤辙彻		
let	7	热=		
set	7	说设		
	8	舌折		
het	7	□[遗憾也]		
	8	核		
pʰiet	7	别鳖撇		
	8	别		
miet	7	灭		
	8	篾		
tiet	7	跌=		
tʰiet	7	铁		
liet	7	列裂劣猎		
	8	□[歪也]		
tɕiet	7	节结洁诀决		
tɕʰiet	7	厥切缺		
	8	绝杰揭截		
ȵiet	7	孽月=捏聂镊		
	8	热-月-		
ɕiet	7	薛泄雪歇蝎屑血		
iet	7	悦阅越曰粤		
