piau	5	45	□(~你，~打:给，被)									
pʰiau	1	33	飘									
pʰiau	2	212	瓢嫖									
pʰiau	3	31	漂(~白)									
pʰiau	5	45	票漂(~亮)瘭									
miau	1	33	苗描									
miau	3	31	渺秒庙									
miau	5	45	妙藐猫									
tiau	1	33	刁叼貂雕碉凋鸟蜇(蜜蜂~人)									
tiau	2	212	调(~动)									
tiau	5	45	吊钓掉调(音~)									
tʰiau	1	33	挑									
tʰiau	2	212	条调(~和)									
tʰiau	3	31	调斢(打~:互相交换东西)									
tʰiau	5	45	粜跳									
liau	1	33	撩(~起来)燎(火~眉毛)									
liau	2	212	聊辽寥									
liau	5	45	了(~结)									
liau	3	31	缭疗嫽(玩耍)廖料									
ʨiau	1	33	郊焦蕉椒骄娇浇交=									
ʨiau	2	212	教(~有)									
ʨiau	3	31	缴矫剿饺									
ʨiau	5	45	叫较侥绞搅									
ʨʰiau	1	33	锹悄									
ʨʰiau	2	212	樵瞧乔侨荞桥									
ʨʰiau	3	31	巧绕轿嚼									
ʨʰiau	5	45	俏窍									
ȵiau	3	31	尿									
ɕiau	1	33	肖消宵销霄潇枭嚣萧箫									
ɕiau	2	212	淆效校酵									
ɕiau	3	31	小晓									
ɕiau	5	45	笑									
iau	1	33	妖邀腰要(~求)幺(老~)吆(~喝)									
iau	2	212	肴摇谣姚尧鹞要(重~)耀									
iau	3	31	舀绕(~线)									
iau	5	45	扰耀绕(围~)杳(~无音信)									
pʰou	1	33	剖									
pʰou	7	42	仆倒									
mou	1	33	某亩									
mou	2	212	谋									
mou	7	42	木									
fou	5	45	否服									
fou	7	42	福									
tou	1	33	些都(~是)兜株(棵)逗									
tou	3	31	斗(一~)抖陡									
tou	7	42	□(~湿:淋雨)									
tʰou	1	33	偷									
tʰou	2	212	头投									
tʰou	3	31	敨(~气)斗(~争)豆									
tʰou	5	45	透吐(呕~)读独毒									
nou	3	31	纽-									
lou	1	33	楼楼搂									
lou	3	31	漏陋									
lou	5	45	绿									
lou	7	42	六碌									
tsou	1	33	邹蹲									
tsou	5	45	奏皱									
tsou	7	42	卒烛菊足									
tsʰou	1	33	□(端,饭、菜等)搊(~尿:把尿)									
tsʰou	2	212	愁骤									
tsʰou	5	45	凑									
sou	1	33	叟搜艘馊飕									
