					调值 [1]211 [2]24 [3]213 [5]53 [7]5
品	pʰ	iɘn	213		
林	l	iɘn	24		
浸	tɕʰ	iɘn	211		
心	ɕ	iɘn	211		
寻	ɕ	yɘn	24		
沉	tsʰ	ɘn	24		
参	s	ɘn	211		
针	ts	ɘn	211		
深	s	ɘn	211		
任	ɹ	ɘn	53		
金	tɕ	iɘn	211		
琴	tɕʰ	iɘn	24		
音	Ǿ	iɘn	211		
立	l	ieʔ	5		
集	tɕ	ieʔ	5		
习	ɕ	ieʔ	5		
汁	ts	ɤʔ	5		
十	s	ɤʔ	5		
入	ɹ	uoʔ	5		
急	tɕ	ieʔ	5		
及	tɕ	ieʔ	5		
吸	ɕ	ieʔ	5		
单	t	ã	211		
炭	tʰ	ã	53		
弹	tʰ	ã	24		
难	l	ã	24		
兰	l	ã	24		
懒	l	ã	213		
烂	l	ã	53		
伞	s	ã	213		
肝	k	õ	211	白	
肝	k	ã	211	文	
看	kʰ	õ	53	白	
看	kʰ	ã	53	文	
岸	ɣ	ã	53		
汉	x	ã	53		
汗	x	õ	24	白	
汗	x	ã	53	文	
安	ɣ	ã	211		
达	t	aʔ	5		
辣	l	aʔ	5		
擦	tsʰ	aʔ	5		
割	k	ɤʔ	5		
渴	kʰ	ɤʔ	5		
扮	p	ã	24	白	
扮	p	ã	53	文	
办	p	ã	53		
铲	tsʰ	ã	213		
山	s	ã	211		
产	tsʰ	ã	213		
间	k	ã	211	白	
间	tɕ	ɪ̃	211	文	
眼	Ǿ	ã	213	白	
眼	Ǿ	ɪ̃	213	文	
限	ɕ	ɪ̃	53		
八	p	aʔ	5		
扎	ts	aʔ	5		
杀	s	aʔ	5		
班	p	ã	211		
板	p	ã	213		
慢	m	ã	211		
慢	m	ã	53		
奸	tɕ	ɪ̃	211		
颜	Ǿ	ɪ̃	24		
瞎	x	aʔ	5	白	
瞎	ɕ	iaʔ	5	文	
变	p	ɪ̃	53		
骗	pʰ	ɪ̃	53		
便	p	ɪ̃	53		
棉	m	ɪ̃	24		
面	m	ɪ̃	53		
连	l	ɪ̃	24		
剪	tɕ	ɪ̃	213		
浅	tɕʰ	ɪ̃	213		
钱	tɕʰ	ɪ̃	24		
鲜	ɕ	ɪ̃	211		
鲜	ɕ	yɘn	211		
线	ɕ	ɪ̃	53		
缠	tsʰ	ã	24		
战	ts	ã	53		
扇	s	õ	53		
善	s	ã	53		
件	tɕ	ɪ̃	24		
延	Ǿ	ɪ̃	24		
别	p	ieʔ	5		
灭	m	ieʔ	5		
列	l	ieʔ	5		
撤	tsʰ	ɤʔ	5		
舌	s	ɤʔ	5		
设	s	ɤʔ	5		
热	ɹ	ɤʔ	5		
杰	tɕ	ieʔ	5		
孽	l	ieʔ	5		
建	tɕ	ɪ̃	53		
健	tɕ	ɪ̃	53		
言	Ǿ	ɪ̃	24		
歇	ɕ	ieʔ	5		
扁	p	ɪ̃	213		
片	pʰ	ɪ̃	53		
面	m	ɪ̃	53		
典	t	ɪ̃	213		
天	tʰ	ɪ̃	211		
田	tʰ	ɪ̃	24		
垫	t	ɪ̃	24	白	
