	註釋：-白讀，=文讀												
kʰ	[1]坷苛柯軻[3]可[5]去[7]瞌渴磕{～頭}確[8]敲磕{～人：敲打人}												
ŋ	[3]俄蛾[5]峨訛娥[6]餓[7]鱷鄂萼愕{～然}臥噩[8]愕{驚～}												
x	[5]呵[6]盒賀合鶴[7]藿喝霍豁												
ts	[3]左佐{輔～}[5]佐{官～}[6]座矬{矮而結實}[7]鑿={確～}作濁[8]鑿{～栗爆：曲指敲頭}												
tsʰ	[1]搓蹉磋[5]錯銼挫[7]鑿={確～}矅{光亮刺眼}												
s	[1]梭唆[3]瑣鎖[5]□{陡滑}[6]鐲[7]縮嗦朔索												
∅	[1]荷漚阿[3]何河□{麥秸}[7]惡噁漚沃會{訓，會不會}握[8]學-{～喙：學舌}												
#iɔ													
p	[3]補-{～褲}[5]布-{花～}[6]哺-{～飯：嚼飯}嚼{訓“哺”}												
t	[6]朝-{今～}着{～火}路{訓}墿{路}[8]着{～重}												
tʰ	[6]掉-{去～}												
n	[8]箬葉{訓“箬”}												
l	[7]略掠												
k	[5]瘸茄[7]腳屩{草鞋}												
kʰ	[7]卻□{味濃嗆人}												
ŋ	[7]弱												
x	[1]靴[5]□{以巴掌打人}												
ts	[1]□{斜}[6]石-{沙～}[7]借藉{～口}酌勺炙[8]嚼												
tsʰ	[5]厝[8]尺灼妁婥{疼愛}勺爵戳雀鵲芍												
s	[6]蓆[7]削{俗}拾-{～撒：拾穀穗}												
∅	[7]約若鑰躍吁{呼～}[8]藥												
#o													
p	[1]杯悲卑[3]陪培[5]裴褙狽賠貝背{～脊}輩[6]焙[8]倍背{～書}												
pʰ	[1]坯[5]沛配佩[6]破{拼搏}												
m	[3]每[5]黴勿枚梅媒煤[6]魅昧寐[8]歿沒{又音，沉沒}												
t	[1]堆[3]苔台臺{～蒜}短[5]多{～謝}碓隊{又音}兌對[6]貸黛代袋岱[7]奪{轉讓}笜{剛出土的筍}												
tʰ	[1]推胎-{頭～}[3]腿[5]蛻垂頹退[6]□{小穿孔}[7]脫{訓“褪”}褪												
n	[3]□{男陰物}[6]內□{灌塞}												
l	[3]儡累磊壘蘂[5]擂{～鉢：擂藥碗}螺={～絲}雷={姓}[6]擂{～台}[8]䉪{魚簍}捋												
k	[1]階-{樓～：階梯}腂{嗦子}[3]裹={裝～}粿傀[5]髻{髮髻}[7]骨國[8]滑												
kʰ	[1]奎盔魁[3]顆棵[5]儈潰檜會劊獪愧繪[7]窟壑{俗}												
