繁体	简体	IPA	注释	来源			
譽	誉	ɦy6	①稱讚。②美好的名聲：名~	鄉音字類			
𤰩	𤰩	ɦy2	開墾過兩三年的田地	鄉音字類			
魚	鱼	ɦy2	文讀：~腸劍（古代名劍。春秋時刺客專諸用魚腸劍刺殺王僚）	鄉音字類			
漁	渔	ɦy2	~火（漁船上的燈火）|~舟（漁船）	鄉音字類			
於	于	ɦy2	~是	鄉音字類			
箊	箊	ɦy2	箖~：竹名。葉薄而大	鄉音字類			
愈	愈	ɦy4	①更加，越發：~加（越發）。②勝過，高明。③病情好轉：~合（傷口長好）	鄉音字類			
籲	吁	ɦy6	呼喊，請求：呼~	鄉音字類			
喻	喻	ɦy6	譬~	鄉音字類			
諭	谕	ɦy6	曉~	鄉音字類			
裕	裕	ɦy6	①富足；使富裕：富~|充~。②充滿。③寬容	鄉音字類			
預	预	ɦy6	~先	鄉音字類			
澦	滪	ɦy6	灩~堆：地名。在四川省奉節縣東十里瞿塘峽口。巉崖矗立江中，堆旁水勢湍急，湍成漩渦，往往爲舟行之患	鄉音字類			
豫	豫	ɦy6	猶~：拿不定主意	鄉音字類			
于	于	y1	《集韻》：邕俱切，音紆。廣大貌	鄉音字類			
雩	雩	y1	古代爲求雨而擧行的一種祭祀	鄉音字類			
迂	迂	y1	①心裏難受、覺得委屈。②指迂腐	鄉音字類			
竽	竽	y1	樂器名。古代一種吹奏樂器，形似笙而較大，三六管，後減至二三管	鄉音字類			
盂	盂	y1	缽~	鄉音字類			
杅	杅	y1	①盛漿湯的器具。②沐浴用的器具	鄉音字類			
玗	玗	y1	像玉的美石	鄉音字類			
紆	纡	y1	①曲折。②鬱結煩悶。③圍繞，纏繞。④繫戴，佩戴	鄉音字類			
羽	羽	y3	~毛|~紗|~絨。位於詞首一般變調爲55	鄉音字類			
瑀	瑀	y3	①質地似玉的石頭。②玉珮	鄉音字類			
禹	禹	y3	①傳說中的一種蟲。②人名，夏代開國之君。相傳因治水有功，得舜讓位，立國爲夏	鄉音字類			
宇	宇	y3	①屋簷。②房屋。③疆域，國境。④上下四方，爲整個空間的總稱：~宙。⑤人的儀表、風度	鄉音字類			
雨	雨	y3	讀書音	鄉音字類			
庾	庾	y3	①沒有頂蓋、露天的穀倉。②量詞。古代計算容量的單位，相當於十六斗	鄉音字類			
斞	斞	y3	中國古代容器，也是容量單位。又作庾	鄉音字類			
窳	窳	y3	①粗糙，不堅實。②衰弱；瘦弱。③怠惰的。④覆敗，敗壞	鄉音字類			
瘐	瘐	y3	~死：囚犯因饑寒而死於獄中。今亦泛稱因病死於獄中	鄉音字類			
與	与	y3	讀書音	鄉音字類			
飫	饫	y5	①宴食。②飽食，飽足。③滿，飽	鄉音字類			
棜	棜	y5	古代祭祀時放獸、饌或酒樽的長方形木盤，沒有足	鄉音字類			
芋	芋	y5	~艿|~艿頭（芋艿的塊莖。也戲稱頭髮稀疏且柔軟發黃的腦袋）|大頭~艿（芋頭）|洋~艿（馬鈴薯）	鄉音字類			
嫗	妪	y5	①母親。②年老的婦女	鄉音字類			
卑	卑	pɛ1	~人	鄉音字類			
庳	庳	pɛ1	①低下。②短小。③衆水聚集的地方	鄉音字類			
碑	碑	pɛ1	平江圖~	鄉音字類			
杯	杯	pɛ1	門面~：本義爲自己面前的一杯酒，這杯酒自然由自己喝完，這是常理。比喩爲常規定例	鄉音字類			
盃	盃	pɛ1	同“杯”	鄉音字類			
悲	悲	pɛ1	~切：形容傷心。同悲切切	鄉音字類			
揹	背	pɛ1	~牢俚	蘇州同音常用字彙			
彼	彼	pɛ3	~此（變調特殊，讀55-21）|~此~此（相互比較；相差無幾）	鄉音字類			
俾	俾	pɛ3	①使。②服從	鄉音字類			
擺	摆	pɛ3	文讀	鄉音字類			
捭	捭	pɛ3	①兩手橫開向外旁擊。②開：~闔	鄉音字類			
貝	贝	pɛ5	姓	鄉音字類			
狽	狈	pɛ5	傳說中的一種狼屬野獸。前脚很短，與狼相附而行：狼~	鄉音字類			
唄	呗	pɛ5	語氣詞	鄉音字類			
拜	拜	pɛ5	文讀	鄉音字類			
輩	辈	pɛ5	長~|平~	鄉音字類			
背	背	pɛ5	~心	鄉音字類			
褙	褙	pɛ5	裱~店	蘇州同音常用字彙			
呸	呸	pʰɛ1	表示憤怒或鄙斥的感歎詞	蘇州同音常用字彙			
丕	丕	pʰɛ1	①大。②遵奉，秉持。③乃。④姓	鄉音字類			
伾	伾	pʰɛ1	~~：衆多勢盛的樣子	鄉音字類			
邳	邳	pʰɛ1	①地名。商湯左相仲虺的封地，故址位於山東省滕縣以南。②~縣。③姓。④通“丕”，大	鄉音字類			
駓	駓	pʰɛ1	黃白雜毛的馬	鄉音字類			
秠	秠	pʰɛ1	一種殼中有二米的黑黍	鄉音字類			
岯	岯	pʰɛ1	兩重的山	鄉音字類			
胚	胚	pʰɛ1	身~：身體的質量或外觀。[例]兒子葛身胚比爺大|俚好身胚，冷一點熱一點儕弗關葛	鄉音字類			
坯	坯	pʰɛ1	~子	鄉音字類			
𥹂	𥹂	pʰɛ1	《集韻》：鋪枚切。𣺫粉麫爲劑	鄉音字類			
斾	斾	pʰɛ5	俗旆字	鄉音字類			
沛	沛	pʰɛ5	充~	鄉音字類			
霈	霈	pʰɛ5	①大魚或指及時雨。②比喩恩澤。③雨勢盛大	鄉音字類			
派	派	pʰɛ5	讀書音	鄉音字類			
配	配	pʰɛ5	分~	鄉音字類			
湃	湃	pʰɛ5	讀書音	鄉音字類			
賠	赔	bɛ2	~銅鈿：賠錢	鄉音字類			
培	培	bɛ2	~養	鄉音字類			
陪	陪	bɛ2	~~：陪伴	鄉音字類			
徘	徘	bɛ2	~徊	鄉音字類			
裴	裴	bɛ2	姓	鄉音字類			
排	排	bɛ2	文讀	鄉音字類			
俳	俳	bɛ2	①古代指雜戲、滑稽戲。②演雜戲的藝人。③詼諧，玩笑，滑稽，幽默	鄉音字類			
牌	牌	bɛ2	文讀	鄉音字類			
坏	坏	bɛ2	①未經燒成的磚瓦陶器。②低矮的山丘、土堆。③牆壁。④用土封塞空隙	鄉音字類			
醅	醅	bɛ2	疑誤記，應讀[pʰɛ⁴⁴]：沒過濾的酒	鄉音字類			
佩	佩	bɛ6	~服之至	鄉音字類			
悖	悖	bɛ6	①混亂，相衝突。②惑，違背道理，謬誤。《廣韻》：蒲昧切	鄉音字類			
誖	悖	bɛ6	①同“悖”，違背，乖謬。②惛惑，糊塗	鄉音字類			
焙	焙	bɛ6	用微火加熱使東西乾燥	鄉音字類			
偝	偝	bɛ6	①離棄，拋棄。②背向	鄉音字類			
被	被	bɛ6	文讀：~動|~告	鄉音字類			
敗	败	bɛ6	文讀	鄉音字類			
備	备	bɛ6	預~：準備	蘇州同音常用字彙			
僃	备	bɛ6	備本字	鄉音字類			
糒	糒	bɛ6	乾糧	鄉音字類			
憊	惫	bɛ6	疲~不堪	鄉音字類			
稗	稗	bɛ6	文讀：~子（稗草的籽）	鄉音字類			
琲	琲	bɛ6	貫珠，卽成串的珠子	鄉音字類			
粺	粺	bɛ6	文讀	鄉音字類			
倍	倍	bɛ6	~數	鄉音字類			
娒	娒	mɛ1	嘸~，指伯母	蘇州同音常用字彙			
眉	眉	mɛ2	文讀	鄉音字類			
眉	眉	mi2	白讀：~毛	蘇州同音常用字彙			
楣	楣	mɛ2	門~	鄉音字類			
湄	湄	mɛ2	水邊，岸邊	鄉音字類			
嵋	嵋	mɛ2	峨~山	鄉音字類			
梅	梅	mɛ2	入~：江南農曆五月爲黃梅季節，多陰雨。芒種後逢壬日爲入梅第一天。夏至後逢庚日爲“出~”。如果小暑那天打雷，則梅雨季節將延長，俗稱“倒黃~”	鄉音字類			
莓	莓	mɛ2	草~	鄉音字類			
鋂	鋂	mɛ2	以一大環貫二小環而成的金屬鎖鏈	鄉音字類			
脢	脢	mɛ2	里脊肉。指手、豬等背脊兩旁條狀的瘦肉	鄉音字類			
煤	煤	mɛ2	硬~	鄉音字類			
媒	媒	mɛ2	~人	鄉音字類			
禖	禖	mɛ2	①古代求子的祭祀。②求子所祭之神	鄉音字類			
楳	梅	mɛ2	與梅同	鄉音字類			
枚	枚	mɛ2	不勝~擧	鄉音字類			
玫	玫	mɛ2	~瑰花	鄉音字類			
埋	埋	mɛ2	文讀	鄉音字類			
霾	霾	mɛ2	陰~|霧~	鄉音字類			
霉	霉	mɛ2	觸~頭：倒霉	鄉音字類			
謎	谜	mɛ2	猜~~子	蘇州同音常用字彙			
每	每	mɛ3	~人|~年|~~|~日天。變調特殊，讀55-21、55-55-21	鄉音字類			
浼	浼	mɛ3	①玷汚。②請託，請求	鄉音字類			
美	美	mɛ3	~洲	鄉音字類			
媺	媺	mɛ3	同“美”，善	鄉音字類			
渼	渼	mɛ3	水的波紋	鄉音字類			
買	买	mɛ4	文讀	鄉音字類			
昧	昧	mɛ4	理論應讀陽去：曖~	鄉音字類			
瑁	瑁	mɛ6	玳~	蘇州同音常用字彙			
眛	眛	mɛ6	眼睛看不清楚的樣子	鄉音字類			
妹	妹	mɛ6	~子（妹妹）|~~|~丈（同“妹夫”）	鄉音字類			
韎	韎	mɛ6	①~韐：一種古代武士祭服，主要用以蔽膝。②赤黃色	鄉音字類			
寐	寐	mɛ6	睡，睡著	鄉音字類			
袂	袂	mɛ6	衣袖，袖口	鄉音字類			
勱	劢	mɛ6	努力，勉勵	鄉音字類			
痗	痗	mɛ6	①病。②憂傷	鄉音字類			
媚	媚	mɛ6	做~眼：用眼神向別人表示好感，挑撥。[例]俏媚眼做撥瞎子看——白搭	鄉音字類			
賣	卖	mɛ6	文讀	鄉音字類			
沫	沫	mɛ6	《廣韻》：莫貝切	鄉音字類			
堆	堆	tɛ1	一簇~：量詞。堆。[例]馬路浪聚仔一簇堆人，弗知啥事體	鄉音字類			
頧	頧	tɛ1	母~，冠名。亦作追	鄉音字類			
獃	呆	tɛ1	癡呆；不靈活。今作“呆”	鄉音字類			
槌	槌	tɛ1	《洪武正韻》：都回切。擲也	蘇州同音常用字彙			
戴	戴	tɛ5	文讀：姓	鄉音字類			
帶	带	tɛ5	文讀	鄉音字類			
碓	碓	tɛ5	舂米的用具	鄉音字類			
對	对	tɛ5	劈~：正對。[例]雙龍街劈對正山門	鄉音字類			
台	台	tʰɛ1	~州	鄉音字類			
邰	邰	tʰɛ1	①古地名。在今陝西省武功縣西南。②姓	鄉音字類			
胎	胎	tʰɛ1	頭~：第一胎生的。[例]俚弗是頭胎，上面還有個阿姐，朆領大（沒有長大）	鄉音字類			
鮐	鲐	tʰɛ1	~魚：身體呈紡錘形、背青藍色，頭頂淺黑色，生活在海中，爲中上層洄游性魚類。供食用，肝可制魚肝魚。亦稱“鮐巴魚”、鯖、“油筒魚”、“青花魚”	鄉音字類			
推	推	tʰɛ1	~扳：①差勁；質量差的。②相差：推板一滴滴。也說“推挽”	鄉音字類			
蓷	蓷	tʰɛ1	卽益母草	鄉音字類			
駘	骀	tʰɛ1	①劣馬，亦喻庸才。②馬銜脫落	鄉音字類			
咍	咍	tʰɛ1	姓	鄉音字類			
灘	滩	tʰɛ1	河~頭：河邊。也說河灘浪	鄉音字類			
腿	腿	tʰɛ3	火~	鄉音字類			
骽	腿	tʰɛ3	與腿同	鄉音字類			
太	太	tʰɛ5	文讀	鄉音字類			
汰	汰	tʰɛ5	淘~	鄉音字類			
泰	泰	tʰɛ5	文讀	鄉音字類			
退	退	tʰɛ5	一丈水~脫八尺：熱情急速下降	鄉音字類			
態	态	tʰɛ5	狀~	鄉音字類			
臺	台	dɛ2	戲~	鄉音字類			
薹	苔	dɛ2	蒜~，卽蒜苗	鄉音字類			
儓	儓	dɛ2	①古代對下層奴僕的稱謂。②古時對農夫輕視的稱呼	鄉音字類			
擡	抬	dɛ2	~手：把手擡起來。喩寬恕，放人一馬	鄉音字類			
苔	苔	dɛ2	青泥~：背陰潮濕的地方所生的苔蘚植物。也說“青煙苔”	鄉音字類			
隤	隤	dɛ2	①崩墜，墜落。②敗壞。③降臨。④疝氣	鄉音字類			
頽	颓	dɛ2	~廢	鄉音字類			
魋	魋	dɛ2	①動物名。狀似小熊，短毛，赤黃色，俗稱“赤熊”。②魁梧高大。③惡劣	鄉音字類			
㿗	㿗	dɛ2	隂病	鄉音字類			
穨	颓	dɛ2	①禿貌。②同頹。暴風也。③頹廢	鄉音字類			
尵	尵	dɛ2	虺~：①馬病。②病人坐著的樣子	鄉音字類			
代	代	dɛ4	本音陽去	鄉音字類			
黛	黛	dɛ4	本音陽去	鄉音字類			
袋	袋	dɛ4	本音陽去	鄉音字類			
袋	袋	dɛ6	叉~	蘇州同音常用字彙			
岱	岱	dɛ4	本音陽去	鄉音字類			
埭	埭	dɛ4	本音陽去	鄉音字類			
𡐡	埭	dɛ6	俗埭字：黃~	蘇州同音常用字彙			
瑇	瑇	dɛ4	本音陽去	鄉音字類			
兑	兑	dɛ4	本音陽去	鄉音字類			
逮	逮	dɛ4	《集韻》：蕩亥切。與迨同	鄉音字類			
懟	怼	dɛ4	本音陽去	鄉音字類			
憝	憝	dɛ4	本音陽去	鄉音字類			
隊	队	dɛ4	本音陽去	鄉音字類			
怠	怠	dɛ4	①鬆懈，懶惰：~惰。②輕慢不莊重：~慢。③疲倦，疲累	鄉音字類			
殆	殆	dɛ4	①危。②大概，幾乎。③同“怠”，懈怠	鄉音字類			
迨	迨	dɛ4	①及，等到。②趁，乘。表示時間	鄉音字類			
待	待	dɛ4	招~|款~	鄉音字類			
貸	贷	dɛ4	本音陽去	鄉音字類			
貸	贷	dɛ6	借~	蘇州同音常用字彙			
餒	馁	nɛ2	應讀陽上：氣~	鄉音字類			
餧	喂	nɛ2	應讀陽上：同“餒”，飢餓；魚腐爛	鄉音字類			
乃	乃	nɛ2	應讀陽上：~末	鄉音字類			
廼	廼	nɛ2	與乃同。語辭	鄉音字類			
奈	奈	nɛ6	~何橋	鄉音字類			
柰	柰	nɛ6	卽蘋果	鄉音字類			
內	内	nɛ6	~訌	蘇州同音字彙1892			
内	内	nɛ6	同“內”	鄉音字類			
耐	耐	nɛ6	忍~	鄉音字類			
鼐	鼐	nɛ6	大鼎	鄉音字類			
罍	罍	lɛ2	①古代一種盛酒的容器。小口、廣肩、深腹、圈足、有蓋，多用青銅或陶製成。②盥洗用的器皿	鄉音字類			
雷	雷	lɛ2	~響	鄉音字類			
縲	缧	lɛ2	繫綁人犯或物品的大繩	鄉音字類			
欙	欙	lɛ2	古代走山路所乘坐的交通工具	鄉音字類			
纍	累	lɛ2	①大繩索。②綑綁，囚繫。③纏繞。④~~：繁多、重積的樣子；瘦弱、疲憊的樣子；失意、不得志的樣子；屢屢。⑤姓	鄉音字類			
嫘	嫘	lɛ2	~祖	鄉音字類			
騋	騋	lɛ2	高七尺以上的馬	鄉音字類			
來	来	lɛ2	上上~（開始時。也說“一上來”）|一~（一下子）|弗~事|自~火（火柴）	鄉音字類			
萊	莱	lɛ2	①藜。②～菔：蘿蔔的別稱。③古代指郊外輪休的田，亦指田廢生草	鄉音字類			
崍	崃	lɛ2	~山：也稱邛崍山	鄉音字類			
羸	羸	lɛ2	~弱	鄉音字類			
樏	樏	lɛ2	古代走山路所乘坐的交通工具	鄉音字類			
徠	徕	lɛ2	招~	蘇州同音常用字彙			
耒	耒	lɛ4	①古代木製耕具上的曲柄。②需用手推耕的犁	鄉音字類			
誄	诔	lɛ4	①累述死者生前的功德以示哀悼並封以稱號。②禱述功德以求福。③文體名。一種哀祭文，是敘述死者生前德行、功業的韻文	鄉音字類			
壘	垒	lɛ3	~球	鄉音字類			
藟	藟	lɛ4	①藤葛類蔓生的草。②同“蕾”，含苞未開的花。③纏繞	鄉音字類			
櫐	櫐	lɛ4	同“蘽”，木質藤本植物	鄉音字類			
磊	磊	lɛ4	~落	鄉音字類			
礧	礧	lɛ4	大石	鄉音字類			
儡	儡	lɛ4	①敗壞，損毀。②清瘦，憔悴。③傀~	鄉音字類			
累	累	lɛ3	~堆（累贅）|~~不絕（屢屢不斷）	鄉音字類			
累	累	lɛ6	受~	蘇州同音常用字彙			
瘰	瘰	lɛ4	~癧：古代稱頸項間的淋巴結核症，患部會出現緩慢的化膿性膿包與瘻管	鄉音字類			
酹	酹	lɛ6	古人祭奠時把酒灑在地上祭神	鄉音字類			
淚	泪	lɛ6	文讀	鄉音字類			
睐	睐	lɛ6	①瞳人不正。②看，向旁邊看	鄉音字類			
徕	徕	lɛ6	慰勞	鄉音字類			
賚	赉	lɛ6	賞賜，賜予	鄉音字類			
賴	赖	lɛ6	文讀：依~|~齷齪（指東西的表面弄髒了不易看出來）	鄉音字類			
籟	籁	lɛ6	①古代的一種簫或一種三孔管樂器。②孔穴裏發出的聲音，泛指聲響：天~	鄉音字類			
癩	癞	lɛ6	文讀	鄉音字類			
瀨	濑	lɛ6	沙或石上淺而急的流水	鄉音字類			
纇	颣	lɛ6	①絲的纏結。②瑕疵，缺點。③花苞，蓓蕾。④乖戾	鄉音字類			
類	类	lɛ6	~型	鄉音字類			
追	追	ʦɛ1	~老虎上山：形容死盯住不放	鄉音字類			
齋	斋	ʦɛ1	文讀	鄉音字類			
椎	椎	ʦɛ1	頸~	鄉音字類			
錐	锥	ʦɛ1	文讀：圓~	鄉音字類			
鵻	鵻	ʦɛ1	古書上的一種鳥，指鵓鴣	鄉音字類			
隹	隹	ʦɛ1	短尾鳥的總稱	鄉音字類			
騅	骓	ʦɛ1	毛色蒼白相雜的馬	鄉音字類			
灾	灾	ʦɛ1	同“災”	鄉音字類			
哉	哉	ʦɛ1	表時態的語氣詞，相當於普通話“了”：死快~（要死了，用於責備不合情理的人或事）|忘記脫~（忘了）	鄉音字類			
栽	栽	ʦɛ1	~培	鄉音字類			
烖	灾	ʦɛ1	同“災”	鄉音字類			
災	灾	ʦɛ1	~難	鄉音字類			
檇	槜	ʦɛ1	~李，地名	鄉音字類			
再	再	ʦɛ5	~三|~三~四（一次又一次）|~接~厲。其他詞語中若該字位於詞首，一般變調爲55-21	鄉音字類			
載	载	ʦɛ5	①乘坐。②裝運：~重。③記錄：記~。④承受。⑤充滿：風雨~途。⑥且，又。同時做兩個動作：~歌~舞	鄉音字類			
最	最	ʦɛ5	~好	鄉音字類			
債	债	ʦɛ5	文讀	鄉音字類			
綴	缀	ʦɛ5	點~	鄉音字類			
醉	醉	ʦɛ5	吃~	鄉音字類			
瘵	瘵	ʦɛ5	①疾病。②肺結核：癆~。③災害。④痛苦	鄉音字類			
贅	赘	ʦɛ5	入~|~婿	鄉音字類			
惴	惴	ʦɛ5	憂慮，恐懼：~~不安	鄉音字類			
惙	惙	ʦɛ5	疑誤讀，應讀[ʧəʔ⁴]：①憂愁。②疲憊	鄉音字類			
吹	吹	ʦʰɛ1	文讀：~毛求疵	鄉音字類			
炊	炊	ʦʰɛ1	~子：燒水壺	鄉音字類			
催	催	ʦʰɛ1	~子	鄉音字類			
崔	崔	ʦʰɛ1	~巍	鄉音字類			
摧	摧	ʦʰɛ1	~殘	鄉音字類			
縗	缞	ʦʰɛ1	用粗麻布做成的喪服，服三年之喪所穿	鄉音字類			
榱	榱	ʦʰɛ1	屋椽	鄉音字類			
釵	钗	ʦʰɛ1	讀書音	鄉音字類			
猜	猜	ʦʰɛ1	~謎謎子：猜謎	鄉音字類			
璀	璀	ʦʰɛ1	理論上讀陰上	鄉音字類			
攙	搀	ʦʰɛ1	理論應讀[ʦʰæ̃⁴⁴]	鄉音字類			
采	采	ʦʰɛ3	出~：丟臉。[例]今朝王經理拿俚當場出采，阿要難杭（忍受）	鄉音字類			
彩	彩	ʦʰɛ3	五~	鄉音字類			
綵	綵	ʦʰɛ3	五彩的絲織品	鄉音字類			
採	采	ʦʰɛ3	~桑葉	鄉音字類			
宷	宷	ʦʰɛ3	《廣韻》：倉宰切。寮寀官也	鄉音字類			
揣	揣	ʦʰɛ3	~度|~摩。[注]於首字該詞一般變調爲55-21	鄉音字類			
菜	菜	ʦʰɛ5	金花~：①黃花苜蓿。農村中作爲綠肥，嫩葉也能食用。②撲克牌中的黑色梅花	鄉音字類			
嘬	嘬	ʦʰɛ5	①叮，咬。②~炙：一次就把烤肉吃盡	鄉音字類			
蠆	虿	ʦʰɛ5	①蠍子一類的毒蟲。②~芥：刺鯁。比喻心胸有所梗塞	鄉音字類			
蔡	蔡	ʦʰɛ5	文讀	鄉音字類			
毳	毳	ʦʰɛ5	①鳥獸的細毛。②通“脆”，脆弱，不堅韌；食物酥鬆	鄉音字類			
脆	脆	ʦʰɛ5	~梅	鄉音字類			
竁	竁	ʦʰɛ5	①掘地爲墓穴。②泛指挖地。③墓穴。④洞穴，孔洞	鄉音字類			
翠	翠	ʦʰɛ5	翡~	鄉音字類			
腮	腮	sɛ1	魚葛~	苏州同音常用字彙			
雖	虽	sɛ1	漢字~是難識，但是會拼仔音，就容易識哉	鄉音字類			
睢	睢	sɛ1	~~：仰慕而視的樣子	鄉音字類			
濉	濉	sɛ1	~河	鄉音字類			
綏	绥	sɛ1	~靖：安撫，平定	鄉音字類			
荽	荽	sɛ1	胡~，卽香菜、芫荽	鄉音字類			
顋	腮	sɛ1	頰~	鄉音字類			
䰄	䰄	sɛ1	䯱~：多須貌	鄉音字類			
衰	衰	sɛ1	~弱	鄉音字類			
緌	緌	sɛ1	理論應讀[zɛ²²³]：古時帽帶散垂下來的部分	鄉音字類			
蕤	蕤	sɛ1	理論應讀[zɛ²²³]：①繁花盛開下垂的樣子。②泛指草木所垂結的花。③帽上所繫的下垂狀飾物。④葳~：a. 形容枝葉繁密、草木茂盛的樣子。b. 形容萎靡不振，慵懶怠惰	鄉音字類			
挼	挼	sɛ1	①擊。②手摩	鄉音字類			
捼	捼	sɛ1	理論應讀[zɛ²²³]：搓揉	鄉音字類			
山	山	sɛ1	理論應讀[sæ̃⁴⁴]	鄉音字類			
刪	删	sɛ1	理論應讀[sæ̃⁴⁴]	鄉音字類			
澘	潸	sɛ1	理論應讀[sæ̃⁴⁴]：流淚的樣子	鄉音字類			
摻	摻	sɛ1	理論應讀[sæ̃⁴⁴]：~~（手纖細的樣子）	鄉音字類			
杉	杉	sɛ1	理論應讀[sæ̃⁴⁴]	鄉音字類			
珊	珊	sɛ1	理論應讀[sæ̃⁴⁴]	鄉音字類			
姗	姗	sɛ1	理論應讀[sæ̃⁴⁴]：~~（形容走路緩緩從容的樣子）	鄉音字類			
跚	跚	sɛ1	理論應讀[sæ̃⁴⁴]：①踩，踏。②蹣~：a. 形容步伐不穩、歪歪斜斜的樣子。b. 旋行的樣子	鄉音字類			
衫	衫	sɛ1	理論應讀[sæ̃⁴⁴]	鄉音字類			
芟	芟	sɛ1	理論應讀[sæ̃⁴⁴]：①除草。②通“刪”，削除。③大鐮刀	鄉音字類			
煔	煔	sɛ1	理論應讀[sæ̃⁴⁴]：木名。後作“杉”	鄉音字類			
三	三	sɛ1	理論應讀[sæ̃⁴⁴]	鄉音字類			
參	参	sɛ1	理論應讀[sæ̃⁴⁴]：同“叄”，三的大寫。	鄉音字類			
毿	毵	sɛ1	理論應讀[sæ̃⁴⁴]：~~（形容毛髮、枝條等細長的樣子）	鄉音字類			
鬖	鬖	sɛ1	理論應讀[sæ̃⁴⁴]：~~（①頭髮、植物枝葉下垂貌。②引申爲物下垂貌。③毛髮散亂貌）	鄉音字類			
灑	洒	sɛ3	文讀	鄉音字類			
洒	洒	sɛ3	文讀。同“灑”	鄉音字類			
水	水	sɛ3	文讀，今一般不用。評彈採用的中州韻讀作[ʃuɛ⁵¹]	鄉音字類			
髓	髓	sɛ3	文讀：骨~	鄉音字類			
瀡	瀡	sɛ3	滫~：用淅米汁浸食使柔滑，爲一種調和食物的方法	鄉音字類			
歲	岁	sɛ5	壓~鈿：除夕晩，長輩以紅紙包錢送給孩童名爲壓歲鈿	鄉音字類			
帨	帨	sɛ5	佩巾，卽手帕	鄉音字類			
稅	税	sɛ5	納~	鄉音字類			
銳	锐	sɛ5	~角	鄉音字類			
塞	塞	sɛ5	邊~	鄉音字類			
賽	赛	sɛ5	比~	鄉音字類			
寨	寨	sɛ5	理論應讀[zɛ³¹²]：①防禦盜匪的柵欄。②盜寇聚集的地方。③村莊	蘇州同音常用字彙			
祟	祟	sɛ5	鬼鬼~~	鄉音字類			
碎	碎	sɛ5	零~：①三餐以外的零星小吃：多吃零碎弗好，傷胃葛。②零星的食物，反義詞爲躉當：零碎銅鈿（幣值小的錢）	鄉音字類			
曬	晒	so5	白讀：日~夜露（日夜放在露天）|西~太陽（太陽落山時照射在身上或物體上的陽光）	蘇州同音常用字彙			
曬	晒	sɛ5	文讀	鄉音字類			
帥	帅	sɛ5	大元~	鄉音字類			
鎩	铩	sɛ5	①長矛。②摧殘	鄉音字類			
才	才	zɛ2	~調：才華和格調。《蘇州同音字彙1892》中的記音爲[ʣ]聲母	鄉音字類			
材	材	zɛ2	城頭浪出棺~——遠兜遠轉：在城墻上走，當然要兜圈子。意爲不直截了當。《蘇州同音字彙1892》中的記音爲[ʣ]聲母	鄉音字類			
財	财	zɛ2	~神菩薩。《蘇州同音字彙1892》中的記音爲[ʣ]聲母	鄉音字類			
裁	裁	zɛ2	~縫。《蘇州同音字彙1892》中的記音爲[ʣ]聲母	鄉音字類			
纔	才	zɛ2	~剛：剛才。[注]蘇州話一般不單用，單用說[ʦɛ⁴⁴]	鄉音字類			
豺	豺	zɛ2	~狼	鄉音字類			
儕	侪	zɛ2	副詞。都，全都：~勒海哉（①都在這裏了。②一共。③表示程度很深：笑得儕勒海哉）	鄉音字類			
垂	垂	zɛ2	~夜快：傍晩。《蘇州同音字彙1892》中的記音爲[ʣ]聲母	鄉音字類			
陲	陲	zɛ2	邊界，邊疆	鄉音字類			
倕	倕	zɛ2	重	鄉音字類			
箠	棰	zɛ2	竹名	鄉音字類			
錘	锤	zɛ2	文讀：~煉	鄉音字類			
誰	谁	zɛ2	蘇州話一般說“啥人”	鄉音字類			
饞	馋	zɛ2	理論應讀[zæ̃²²³]	鄉音字類			
儳	儳	zɛ2	理論應讀[zæ̃²²³]：不整齊	鄉音字類			
鎚	鎚	zɛ2	通“錘”	鄉音字類			
搥	搥	zɛ2	敲打	鄉音字類			
柴	柴	zɛ2	文讀	鄉音字類			
祡	祡	zɛ2	燒柴祭天	鄉音字類			
隨	随	zɛ2	~便末哉：①隨便好了。②豁出去了，聽任處置吧	蘇州同音常用字彙			
在	在	zɛ4	《蘇州同音字彙1892》中的記音爲[ʣ]聲母，陽去	鄉音字類			
罪	罪	zɛ4	~過人：可憐；可憐的人。《蘇州同音字彙1892》中的記音爲[ʣ]聲母，陽去	鄉音字類			
辠	罪	zɛ4	同“罪”	鄉音字類			
捶	捶	zɛ4	~胸頓足	鄉音字類			
搥	搥	zɛ4	通“捶”	鄉音字類			
遂	遂	zɛ6	功成名~。《蘇州同音字彙1892》中的記音爲[ʣ]聲母	鄉音字類			
繸	䍁	zɛ6	綬，用來繫佩玉的絲帶	鄉音字類			
襚	襚	zɛ6	①送給死人穿的衣服。②贈活人的衣服	鄉音字類			
璲	璲	zɛ6	一種瑞玉	鄉音字類			
旞	旞	zɛ6	繫在旌旗上的五彩羽毛	鄉音字類			
穟	穟	zɛ6	①通“穗”，植物成串聚生的花或果實。②禾實生長茂盛美好的樣子	鄉音字類			
燧	燧	zɛ6	①古代用以取火的器具。②古代邊防擧煙警示的訊號	鄉音字類			
隧	隧	zɛ6	~道	鄉音字類			
穗	穗	zɛ6	文讀。《蘇州同音字彙1892》中的記音爲[ʣ]聲母	鄉音字類			
墜	坠	zɛ6	①掉落，落下。②喪失。③垂懸的飾品	鄉音字類			
芮	芮	zɛ6	①草初生時柔嫩的樣子。②繫在楯後的絲帶。③水邊。④姓	鄉音字類			
