繁体	简体	IPA	注释	来源			
尷	尴	kæ̃1	~尬	墳派			
艱	艰	kæ̃1	白讀：~難	蘇州同音常用字彙			
艱	艰	ʨiɛ̃	文讀	蘇州同音常用字彙			
柬	柬	kæ̃3	白讀	墳派			
減	减	kæ̃3	白讀：~肥	墳派			
鹼	硷	kæ̃3	同“碱”。白讀	墳派			
揀	拣	kæ̃3	白讀：~好	墳派			
橄	橄	kæ̃3	~欖核墊台脚——活里活絡	墳派			
襇	裥	kæ̃3	褶~	墳派			
監	监	kæ̃5	白讀：吃煞太~弄（指蘇州太監弄經營飯店酒館特別多）	墳派			
澗	涧	kæ̃5	白讀：山~水	墳派			
嵌	嵌	kʰæ̃1	①疑因變調而誤判聲調爲陰平。該字在如“嵌牙子（食物碎屑嵌入牙縫）”“嵌脚痛（鞋小脚大，穿用時裹擦產生的脚痛）”“嵌寶戒石（鑲嵌寶石的指環）”中變調爲55。②山林深邃的樣子：~巖（山洞）。該種含義理應讀文讀[ʨʰiɛ̃⁴⁴]	鄉音字類			
鉛	铅	kʰæ̃1	~子	墳派			
檻	槛	kʰæ̃3	門~	墳派			
郭	郭	kuoʔ7	姓	鄉音字類			
戈	戈	ku1	姓	墳派			
哥	哥	ku1	阿~	墳派			
歌	歌	ku1	唱山~	墳派			
鍋	锅	ku1	砂~	墳派			
姑	姑	ku1	~歇：老派，現在，這時候。|~夫：姑母的丈夫	墳派			
沽	沽	ku1	①買；賣。②釣取、謀取	墳派			
蛄	蛄	ku1	螻~	墳派			
酤	酤	ku1	①酒。②買酒；賣酒	墳派			
孤	孤	ku1	~孀：寡婦	墳派			
苽	苽	ku1	同“菰”	墳派			
菰	菰	ku1	①多年生草本植物，生在淺水裏，嫰莖稱“茭白”“蔣”。果實稱“菰米”“雕胡米”，可煮食。②同“菇”	墳派			
呱	呱	ku1	~~：指小兒哭聲	墳派			
觚	觚	ku1	①古代盛酒的器具，具有八個棱角。②棱角。③古代書寫的木簡	墳派			
罛	罛	ku1	大漁網	墳派			
柧	柧	ku1	棱角	墳派			
胍	胍	ku1	~肫，大腹	墳派			
鼓	鼓	ku1	應讀陰上	墳派			
辜	辜	ku1	~負	墳派			
鴣	鸪	ku1	鷓~	墳派			
箍	箍	ku1	~桶匠	墳派			
古	古	ku3	千~餅	墳派			
估	估	ku3	~~價鈿	墳派			
詁	诂	ku3	訓~	墳派			
罟	罟	ku3	①網。②用網捕捉魚或鳥獸	墳派			
盬	盬	ku3	鹽池	墳派			
蠱	蛊	ku3	傳說中的一種人工培養的毒蟲，專用來害人	墳派			
瞽	瞽	ku3	瞎；眼瞎的人	墳派			
裹	裹	ku3	包~	墳派			
嘏	嘏	ku3	福：祝~（祝壽）	墳派			
股	股	ku3	~東	墳派			
羖	羖	ku3	黑色的公羊	墳派			
賈	贾	ku3	商~	墳派			
