單字	聲紐	呼	等	韻部	聲調	組	攝	聲母_定	介	韻母_定		22	备注							
廚	澄	合	三	虞	平	知	遇	ʦh		i		32								
躇	澄	開	三	魚	平	知	遇	ʦh		i		32								
櫥	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	ʦh		y										
杵	昌	開	三	魚	上	章	遇	ʦh		i		55								
儲	澄	開	三	魚	平	知	遇	ʦh		i		32								
處	昌	開	三	魚	去	章	遇	ʦh		i		33								
疵	從	開	三	支A	平	精	止	ʦh		y		32								
茨	從	開	三	脂A	平	精	止	ʦh		y		32								
祠	邪	開	三	之	平	精	止	ʦh		y		32								
瓷	從	開	三	脂A	平	精	止	ʦh		y		32								
詞	邪	開	三	之	平	精	止	ʦh		y		32								
慈	從	開	三	之	平	精	止	ʦh		i		32								
磁	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	ʦh		i										
雌	清	開	三	支A	平	精	止	ʦh		i		33								
雌	清	開	四	支A	平	精	止	ʦh		i		33								
辭	邪	開	三	之	平	精	止	ʦh		y		32								
此	清	開	三	支A	上	精	止	ʦh		i		55								
次	清	開	三	脂A	去	精	止	ʦh		y		33								
刺	清	開	三	支A	去	精	止	ʦh		y		33								
賜	心	開	三	支A	去	精	止	ʦh		i		33								
臍	從	開	四	齊	平	精	蟹	ʦh		y		32								
矢	書	開	三	脂A	上	章	止	ʦh		i		55								
始	書	開	三	之	上	章	止	ʦh		i		55								
似	邪	開	三	之	上	精	止	s		y		33								
柿	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	ʦh		i										
柿	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	ʦh		i										
恃	常	開	三	之	上	章	止	ʦh		y		33								
匙								ʦh		i	22									
署	常	開	三	魚	去	章	遇	ʦh		i		22								
姒	邪	開	三	之	上	精	止	ʦh		y		33								
幟	書	開	三	之	去	章	止	ʦh		i		33								
佇	澄	開	三	魚	上	知	遇	ʦh		y		33								
杼	澄	開	三	魚	上	知	遇	ʦh		y		33								
柱	澄	合	三	虞	上	知	遇	ʦh		y		33	有读21							
貯	知	開	三	魚	上	知	遇	ʦh		i		55								
茲								ʦh		i	22									
尺	昌	開	三	清A	入	章	梗	ʦh		εk		33								
赤	昌	開	三	清A	入	章	梗	ʦh		εk		33								
青	清	開	四	青	平	精	梗	th		εŋ		33								
晴	從	開	三	清A	平	精	梗	th		ɪŋ		32								
請	從	開	三	清A	平	精	梗	th		εŋ		32								
醒	心	開	四	青	平	精	梗	ʦh		εŋ		55								
斥	昌	開	三	麻	去	章	假	ʦh		ɪk		33								
敕	徹	開	三	蒸	入	知	曾	ʦh		ɪk		55								
戚	清	開	四	青	入	精	梗	th		ɪk		55								
諂	徹	開	三	鹽B	上	知	咸	ʦh		im		55								
簽	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	ʦh		im										
籤	清	開	三	鹽A	平	精	咸	th		im		33								
潛	從	開	三	鹽A	平	精	咸	th		im		32								
塹	清	開	三	鹽A	去	精	咸	th		im		33								
纖	心	開	三	鹽A	平	精	咸	ʦh		im		33								
纏	澄	開	三	仙B	平	知	山	ʦh		in		32								
揣	初	合	三	支B	上	莊	止	ʦh		in		55								
川	昌	合	三	仙A	平	章	山	ʦh		yn		33								
穿	昌	合	三	仙A	平	章	山	ʦh		yn		33								
傳	澄	合	三	仙B	平	知	山	ʦh		yn		32								
舛	昌	合	三	仙A	上	章	山	ʦh		yn		55								
喘	昌	合	三	仙A	上	章	山	ʦh		yn		55								
串	見	合	二	刪	去	見	山	ʦh		yn		33								
竄	清	合	一	寒	去	精	山	th		yn		33								
村	清	合	一	魂	平	精	臻	th		ɔn		33								
存	從	合	一	魂	平	精	臻	th		yn		32								
忖	清	合	一	魂	上	精	臻	th		yn		55								
寸	清	合	一	魂	去	精	臻	th		yn		33								
踐	從	開	三	仙A	上	精	山	ʦh		in		33								
千	清	開	四	先	平	精	山	th		in		33								
仟	清	開	四	先	平	精	山	th		in		33								
阡	清	開	四	先	平	精	山	th		in		33								
遷	清	開	三	仙A	平	精	山	th		in		33								
前	從	開	四	先	平	精	山	th		in		32								
錢	從	開	三	仙A	平	精	山	th		in		32								
淺	精	開	四	先	平	精	山	ʦh		in		33								
全	從	合	三	仙A	平	精	山	th		yn		32								
泉	從	合	三	仙A	平	精	山	th		yn		32								
痊	清	合	三	仙A	平	精	山	th		yn		32								
詮	清	合	三	仙A	平	精	山	th		yn		32								
銓	清	合	三	仙A	平	精	山	th		yn		32								
拴	清	合	三	仙A	平	精	山	th		yn		32								
湍	透	合	一	寒	平	端	山	ʦh		yn		33								
稱	昌	開	三	蒸	去	章	曾	ʦh		ɪŋ		33								
呈	澄	開	三	清B	平	知	梗	ʦh		ɪŋ		32								
