單字	聲紐	呼	等	韻部	聲調	組	攝	聲母_定	介	韻母_定		22	备注							
賄	曉	合	一	灰	上	影	蟹	kh		ui		55								
檜	見	合	一	泰	去	見	蟹	kh		ui		33								
繪	匣	合	一	泰	去	影	蟹	kh		ui		55								
拘	見	合	三	虞	平	見	遇	kh		y		33								
拒	群	開	三	魚	上	見	遇	kh		y		33								
俱	見	合	三	虞	平	見	遇	kh		y		33								
距	群	開	三	魚	上	見	遇	kh		y		33								
膾	見	合	一	泰	去	見	蟹	kh		ui		33								
潰	匣	合	一	灰	去	影	蟹	kh		ui		55								
區	溪	合	三	虞	平	見	遇	kh		y		33								
嶇	溪	合	三	虞	平	見	遇	kh		y		33								
軀	溪	合	三	虞	平	見	遇	kh		y		33								
驅	溪	合	三	虞	平	見	遇	kh		y		33								
渠	群	開	三	魚	平	見	遇	kh		y		32								
瞿	群	合	三	虞	平	見	遇	kh		y		32								
曲	溪	開	三	鍾	入	見	通	kh		ʊk		55								
麴	溪	開	三	東	入	見	通	kh		ʊk		55								
穹	溪	開	三	東	平	見	通	kh		ʊŋ		33								
窮	群	開	三	東	平	見	通	kh		ʊŋ		32								
聒	見	合	一	寒	入	見	山	kh		ut		33								
豁	曉	合	一	寒	入	影	山	kh		ut		33								
括	見	合	一	寒	入	見	山	kh		ut		33								
掛	見	合	二	佳	去	見	蟹	khw	u	a		33								
夸	溪	合	二	麻	平	見	假	khw	u	a		33								
誇	溪	合	二	麻	平	見	假	khw	u	a		33								
垮	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	khw	u	a										
跨	溪	合	二	麻	平	見	假	khw	u	a		33								
規	見	合	三	支A	平	見	止	khw	u	ɐi		33								
盔	溪	合	一	灰	平	見	蟹	khw	u	ɐi		33								
窺	溪	合	三	支A	平	見	止	khw	u	ɐi		33								
虧	溪	合	三	支B	平	見	止	khw	u	ɐi		33								
逵	群	合	三	脂B	平	見	止	khw	u	ɐi		32								
揆	群	合	三	脂A	上	見	止	khw	u	ɐi		22								
葵	群	合	三	脂A	平	見	止	khw	u	ɐi		32								
睽	溪	合	四	齊	平	見	蟹	khw	u	ɐi		33								
愧	見	合	三	脂B	去	見	止	khw	u	ɐi		33								
畦	匣	合	四	齊	平	影	蟹	khw	u	ɐi		32								
蠵	以	合	三	支A	平	以	止	khw	u	ɐi		32								
攜	匣	合	四	齊	平	影	蟹	khw	u	ɐi		32								
窘	群	合	三	真B	上	見	臻	khw	u	ɐn		33								
菌	群	合	三	真B	上	見	臻	khw	u	ɐn		55								
坤	溪	合	一	魂	平	見	臻	khw	u	ɐn		33								
昆	見	合	一	魂	平	見	臻	khw	u	ɐn		33								
崑	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	khw	u	ɐn										
捆	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	khw	u	ɐn										
壼	溪	合	一	魂	上	見	臻	khw	u	ɐn		55								
綑	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	khw	u	ɐn										
困	溪	合	一	魂	去	見	臻	khw	u	ɐn		33								
睏	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	khw	u	ɐn										
裙	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	khw	u	ɐn										
群	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	khw	u	ɐn										
眶	溪	合	三	陽	平	見	宕	khw	u	ɐŋ		33	也有读hœŋ							
喇	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l		a										
喇								l		a	33									
啦	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l		a										
拉	來	開	一	覃	入	來	咸	l		a		33								
賴	來	開	一	泰	去	來	蟹	l		a	22									
癩	來	開	一	泰	去	來	蟹	l		a	22									
籟	來	開	一	泰	去	來	蟹	l		a	22									
落								l		a	33									
艦	匣	開	二	銜	上	影	咸	l		am		22								
檻	匣	開	二	銜	上	影	咸	l		am		33								
婪	來	開	一	覃	平	來	咸	l		am		32								
嵐	來	開	一	覃	平	來	咸	l		am		32								
藍	來	開	一	談	平	來	咸	l		am		32								
籃	來	開	一	談	平	來	咸	l		am		32								
覽	來	開	一	談	上	來	咸	l		am	21									
攬	來	開	一	談	上	來	咸	l		am	55									
攬	來	開	一	談	上	來	咸	l		am	33									
欖	來	開	一	談	上	來	咸	l		am	55									
欖	來	開	一	談	上	來	咸	l		am	55									
纜	來	開	一	覃	上	來	咸	l		am	22									
濫	匣	開	二	銜	上	影	咸	l		am		22								
闌	來	開	一	寒	平	來	山	l		an		32								
攔	來	開	一	寒	平	來	山	l		an		32								
蘭	來	開	一	寒	平	來	山	l		an		32								
瀾	來	開	一	寒	平	來	山	l		an		32								
欄	來	開	一	寒	平	來	山	l		an		32								
斕	來	開	二	山	平	來	山	l		an		32								
懶	來	開	一	寒	上	來	山	l		an	33									
爛	來	開	一	寒	去	來	山	l		an	22									
垃	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l		ap										
臘	來	開	一	談	入	來	咸	l		ap		22								
蠟	來	開	一	談	入	來	咸	l		ap		22								
辣	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l		at										
撈	來	開	一	豪	平	來	效	l		a		32	也读33调							
犁	來	開	四	齊	平	來	蟹	l		ɐi		32								
黎	來	開	四	齊	平	來	蟹	l		ɐi		32								
嚟	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l		ɐi										
嚟	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l		ɐi										
驪	來	開	三	支A	平	來	止	l		ɐi		32								
鸝	來	開	三	支A	平	來	止	l		ɐi		32								
豊	來	開	四	齊	上	來	蟹	l		ɐi	21									
禮	來	開	四	齊	上	來	蟹	l		ɐi	21									
邐	來	開	三	支A	上	來	止	l		ɐi	21									
吏	來	開	三	之	去	來	止	l		ɐi	22									
利	來	開	三	脂A	去	來	止	l		ɐi	22									
例	來	開	三	祭A	去	來	蟹	l		ɐi	22									
俐	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l		ɐi										
莉	澄	開	三	脂B	平	知	止	l		ɐi		32								
痢	來	開	三	脂A	去	來	止	l		ɐi	22									
厲	來	開	三	祭A	去	來	蟹	l		ɐi	22									
勵	來	開	三	祭A	去	來	蟹	l		ɐi	22									
麗	來	開	三	支A	平	來	止	l		ɐi		32								
蠣	來	開	三	祭A	去	來	蟹	l		ɐi	22									
捩	來	開	四	齊	去	來	蟹	l		ɐi	22									
勒	來	開	一	登	入	來	曾	l		ɐk		22								
肋	來	開	一	登	入	來	曾	l		ɐk		22								
林	來	開	三	侵A	平	來	深	l		ɐm		32								
淋	來	開	三	侵A	平	來	深	l		ɐm		32								
琳	來	開	三	侵A	平	來	深	l		ɐm		32								
霖	來	開	三	侵A	平	來	深	l		ɐm		32								
臨	來	開	三	侵A	平	來	深	l		ɐm		32								
凜	群	開	三	侵B	平	見	深	l		ɐm		32								
懍								l		ɐm	21									
廩								l		ɐm	21									
鄰	來	開	三	真A	平	來	臻	l		ɔn		32								
遴	來	開	三	真A	去	來	臻	l		ɔn	22									
磷	來	開	三	真A	平	來	臻	l		ɔn		32								
鱗	來	開	三	真A	平	來	臻	l		ɔn		32								
麟	來	開	三	真A	平	來	臻	l		ɔn		32								
吝	來	開	三	真A	去	來	臻	l		ɔn	22									
藺	來	開	三	真A	去	來	臻	l		ɔn	22									
卵	來	合	一	寒	上	來	山	l		ɔn	55									
掄	來	合	三	真A	平	來	臻	l		ɔn		32								
倫	來	合	三	真A	平	來	臻	l		ɔn		32								
崙	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l		ɔn										
圇	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l		ɔn										
淪	來	合	三	真A	平	來	臻	l		ɔn		32								
綸	來	合	三	真A	平	來	臻	l		ɔn		32								
輪	來	合	三	真A	平	來	臻	l		ɔn		32								
論	來	合	一	魂	去	來	臻	l		ɔn	22									
論	來	合	一	魂	平	來	臻	l		ɔn		32								
唥	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l		εŋ										
唥	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l		εŋ										
冷	來	開	四	青	平	來	梗	l		εŋ		33								
立	來	開	三	侵A	入	來	深	l		ɐp		22								
苙	群	開	三	侵B	入	見	深	l		ɐp		22								
笠	來	開	三	侵A	入	來	深	l		ɐp		22								
壘								l		ɔt	22		lɔi							
栗	來	開	三	真A	入	來	臻	l		ɔt		22								
慄	來	開	三	真A	入	來	臻	l		ɔt		22								
律	來	合	三	真A	入	來	臻	l		ɔt		22								
率								l		ɔt	22									
甩	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l		ɐt										
溜	來	開	三	尤	去	來	流	l		ɐu	22									
留	來	開	三	尤	平	來	流	l		ɐu		32								
流	來	開	三	尤	平	來	流	l		ɐu		32								
琉	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l		ɐu										
硫	來	開	三	尤	平	來	流	l		ɐu		32								
榴	來	開	三	尤	平	來	流	l		ɐu		32								
劉	來	開	三	尤	平	來	流	l		ɐu		32								
瘤	來	開	三	尤	平	來	流	l		ɐu		32								
瀏	來	開	三	尤	平	來	流	l		ɐu		32								
柳	來	開	三	尤	上	來	流	l		ɐu	21									
嘍	來	開	一	侯	平	來	流	l		ɐu		32								
樓	來	開	一	侯	平	來	流	l		ɐu		32								
髏	來	開	一	侯	平	來	流	l		ɐu		32								
摟								l		ɐu	55									
摟	來	合	三	虞	平	來	遇	l		ɐu		32								
簍	來	開	一	侯	平	來	流	l		ɐu		32								
陋	來	開	一	侯	去	來	流	l		ɐu	22									
漏	來	開	一	侯	去	來	流	l		ɐu	22									
鏤	來	合	三	虞	平	來	遇	l		ɐu		32								
哩	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l		ɐi										
厘	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l		ɐi										
狸	來	開	三	之	平	來	止	l		ɐi		32								
梨	來	開	三	脂A	平	來	止	l		ɐi		32								
漓	來	開	三	支A	平	來	止	l		ɐi		32								
璃	來	開	三	支A	平	來	止	l		ɐi		32								
璃	來	開	三	支A	平	來	止	l		ɐi		32								
罹	來	開	三	支A	平	來	止	l		ɐi		32								
釐	來	開	三	之	平	來	止	l		ɐi		32								
釐	來	開	三	之	平	來	止	l		ɐi		32								
嚟	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l		ɐi										
離	來	開	三	支A	平	來	止	l		ɐi		32								
籬	來	開	三	支A	平	來	止	l		ɐi		32								
驪	來	開	三	支A	平	來	止	l		ɐi		32								
鸝	來	開	三	支A	平	來	止	l		ɐi		32								
李	來	開	三	之	上	來	止	l		ɐi	55									
里	來	開	三	之	上	來	止	l		ɐi	33									
理	來	開	三	之	上	來	止	l		ɐi	55									
裡								l		ɐi	32									
裏	來	開	三	之	上	來	止	l		ɔi	21		又音33							
鯉	來	開	三	之	上	來	止	l		ɐi	21									
吏	來	開	三	之	去	來	止	l		ɐi	22									
利	來	開	三	脂A	去	來	止	l		ɐi	22									
俐	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l		ɐi										
莉	澄	開	三	脂B	平	知	止	l		ɐi		32								
痢	來	開	三	脂A	去	來	止	l		ɐi	22									
哩								l		ɐi	55									
瀝								l		ɪk	55		沥青 lap2							
靈	來	開	四	青	平	來	梗	l		εŋ		32								
領	來	開	三	清A	上	來	梗	l		εŋ	33									
嶺	來	開	三	清A	上	來	梗	l		εŋ	33									
力	來	開	三	蒸	入	來	曾	l		ɪk		22								
歷	來	開	四	青	入	來	梗	l		ɪk		22								
曆	來	開	四	青	入	來	梗	l		ɪk		22								
瀝	來	開	四	青	入	來	梗	l		ɪk		22								
礫	來	開	四	青	入	來	梗	l		ɪk		55								
靂	來	開	四	青	入	來	梗	l		ɪk		55								
廉	來	開	三	鹽A	平	來	咸	l		im		32								
簾	來	開	三	鹽A	平	來	咸	l		im		32								
鐮	來	開	三	鹽A	平	來	咸	l		im		32	镰刀又读作lεm							
斂	來	開	三	鹽A	上	來	咸	l		im	33									
臉	清	開	三	鹽A	平	精	咸	l		im		33								
殮	來	開	三	鹽A	去	來	咸	l		im	22									
卵	來	合	一	寒	上	來	山	l		ɐn	55		睾丸义							
連	來	開	三	仙A	平	來	山	l		in		32								
蓮	來	開	四	先	平	來	山	l		in		32								
漣	來	開	三	仙A	平	來	山	l		in		32								
憐	來	開	四	先	平	來	山	l		in		32								
聯	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l		yn										
煉	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l		in										
練	來	開	四	先	去	來	山	l		in	22									
鍊	來	開	四	先	去	來	山	l		in	22									
鏈	徹	開	三	仙B	平	知	山	l		in		22	又音ɛn							
戀	來	合	三	仙A	去	來	山	l		yn	22									
巒	來	合	一	寒	平	來	山	l		yn		32								
亂	來	合	一	寒	去	來	山	l		ɔn	22									
楞	來	開	一	登	平	來	曾	l		ɪŋ		32								
楞								l		ɪŋ	22									
稜	來	開	一	登	平	來	曾	l		ɪŋ		32								
愣	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l		ɪŋ										
拎	來	開	四	青	平	來	梗	l		ɪŋ		32								
伶	來	開	四	青	平	來	梗	l		ɪŋ		32								
玲	來	開	四	青	平	來	梗	l		ɪŋ		32								
凌	來	開	三	蒸	平	來	曾	l		ɪŋ		32								
陵	來	開	三	蒸	平	來	曾	l		ɪŋ		32								
聆	來	開	四	青	平	來	梗	l		ɪŋ		32								
菱	來	開	三	蒸	平	來	曾	l		ɪŋ		32								
蛉	來	開	四	青	平	來	梗	l		ɪŋ		32								
羚	來	開	四	青	平	來	梗	l		ɪŋ		32								
零	來	開	四	先	平	來	山	l		ɪŋ		32								
鈴	來	開	四	青	平	來	梗	l		ɪŋ		32								
齡	來	開	四	青	平	來	梗	l		ɪŋ		32								
靈	來	開	四	青	平	來	梗	l		ɪŋ		32								
領	來	開	三	清A	上	來	梗	l		ɪŋ	21									
嶺	來	開	三	清A	上	來	梗	l		ɪŋ	33									
另	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l		ɪŋ										
令	來	開	三	仙A	平	來	山	l		ɪŋ		32								
令	來	開	四	青	平	來	梗	l		ɪŋ		32								
令								l		ɪŋ	22									
掠	來	開	三	陽	去	來	宕	l		œk	22									
略	來	開	三	陽	入	來	宕	l		œk		22								
良	來	開	三	陽	平	來	宕	l		œŋ		32								
涼	來	開	三	陽	平	來	宕	l		œŋ		32								
梁	來	開	三	陽	平	來	宕	l		œŋ		32								
粱	來	開	三	陽	平	來	宕	l		œŋ		32								
糧	來	開	三	陽	平	來	宕	l		œŋ		32								
兩	來	開	三	陽	上	來	宕	l		œŋ	55									
兩	來	開	三	陽	上	來	宕	l		œŋ	55									
倆	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l		œŋ										
亮	來	開	三	陽	去	來	宕	l		œŋ	22									
量	來	開	三	陽	平	來	宕	l		œŋ		32								
量	來	開	三	陽	去	來	宕	l		œŋ	22									
輛	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l		œŋ										
諒	來	開	三	陽	去	來	宕	l		œŋ	22									
獵	來	開	三	鹽A	入	來	咸	l		ip		22								
列	知	合	三	虞	平	知	遇	l		it		22								
劣	來	合	三	仙A	入	來	山	l		it		22								
冽	來	開	三	仙A	入	來	山	l		it		22								
烈	來	開	三	仙A	入	來	山	l		it		22								
捩	來	開	四	先	入	來	山	l		it		22								
裂	來	開	三	仙A	入	來	山	l		it		22								
了	來	開	四	蕭	上	來	效	l		εu	33		又音iu							
了	來	開	四	蕭	上	來	效	l		εu	21		又音iu							
撩	來	開	四	蕭	平	來	效	l		εu		32								
撩								l		iu	22		又音lεu							
聊	來	開	四	蕭	平	來	效	l		εu		32								
僚	來	開	四	蕭	平	來	效	l		εu		32								
寥	來	開	四	蕭	平	來	效	l		εu		32								
遼	來	開	四	蕭	平	來	效	l		εu		32	又音iu							
嘹	來	開	四	蕭	平	來	效	l		εu		32								
潦	來	開	一	豪	上	來	效	l		εu	21									
寮	來	開	四	蕭	平	來	效	l		εu		32								
燎	來	開	三	宵A	平	來	效	l		εu		32								
療	來	開	三	宵A	去	來	效	l		εu	22									
繚	來	開	四	蕭	平	來	效	l		εu		32								
料	來	開	四	蕭	平	來	效	l		iu		32								
廖	來	開	四	蕭	平	來	效	l		iu		32								
瞭	來	開	四	蕭	平	來	效	l		εu		32	又音iu							
瞭	來	開	四	蕭	上	來	效	l		iu	21									
瞭	來	開	四	蕭	上	來	效	l		iu	21									
咯	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l		ɔ										
螺	來	合	一	歌	平	來	果	l		ɔ		32								
羅	來	開	一	歌	平	來	果	l		ɔ		32								
騾	來	合	一	歌	平	來	果	l		ɔ		32								
儸	來	開	一	歌	平	來	果	l		ɔ		32								
蘿	來	開	一	歌	平	來	果	l		ɔ		32								
邏	來	開	一	歌	去	來	果	l		ɔ	22									
籮	來	開	一	歌	平	來	果	l		ɔ		32								
鑼	來	開	一	歌	平	來	果	l		ɔ		32								
裸	來	合	一	歌	上	來	果	l		ɔ	55									
囉	來	開	一	歌	平	來	果	l		ɔ		32								
囉								l		ɔ	22									
來	來	開	一	咍	平	來	蟹	l		ɔi		32								
萊	來	開	一	咍	平	來	蟹	l		ɔi		32								
睞	來	開	一	咍	去	來	蟹	l		ɔi	22									
駱	來	開	一	唐	入	來	宕	l		œk		22								
烙	來	開	一	唐	入	來	宕	l		œk		22								
酪	來	開	一	唐	入	來	宕	l		œk		22								
洛	來	開	一	唐	入	來	宕	l		œk		22								
落	來	開	一	唐	入	來	宕	l		œk		22								
落	來	開	二	唐	入	來	宕	l		œk		22								
絡	來	開	一	唐	入	來	宕	l		œk		22								
樂	來	開	一	唐	入	來	宕	l		œk		22								
郎	來	開	一	唐	平	來	宕	l		œŋ		32								
狼	來	開	一	唐	平	來	宕	l		œŋ		32								
琅	來	開	一	唐	平	來	宕	l		œŋ		32								
廊	來	開	一	唐	平	來	宕	l		œŋ		32								
瑯	來	開	一	唐	平	來	宕	l		œŋ		32								
榔	來	開	一	唐	平	來	宕	l		œŋ		32								
螂	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l		œŋ										
朗	來	開	一	唐	上	來	宕	l		œŋ	33									
浪	來	開	一	唐	去	來	宕	l		œŋ	22									
浪	來	開	一	唐	平	來	宕	l		œŋ		32								
蜋	來	開	三	陽	平	來	宕	l		œŋ		32								
晾	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l		œŋ										
牢	來	開	一	豪	平	來	效	l		a		32								
勞	來	開	一	豪	平	來	效	l		a		32								
勞	來	開	一	豪	去	來	效	l		a	22									
嘮	徹	開	二	肴	平	知	效	l		a		32								
老	來	開	一	豪	上	來	效	l		a	55									
硓	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l		a										
酪								l		œk	22									
嚕	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l		a										
盧	來	開	一	模	平	來	遇	l		ɐu		32								
蘆	來	開	三	魚	平	來	遇	l		ɐu		32								
廬	來	開	三	魚	平	來	遇	l		ɐu		32								
爐	來	開	一	模	平	來	遇	l		ɐu		32								
顱	來	開	一	模	平	來	遇	l		ɐu		32								
虜	來	開	一	模	上	來	遇	l		ɐu	21									
滷	來	開	一	模	上	來	遇	l		ɐu	21									
魯	來	開	一	模	上	來	遇	l		ɐu	21									
擄	來	開	一	模	上	來	遇	l		ɐu	21									
櫓	來	開	一	模	上	來	遇	l		ɐu	21									
賂	來	開	一	模	去	來	遇	l		ɐu	22									
路	來	開	一	模	去	來	遇	l		ɐu	22									
露	來	開	一	模	去	來	遇	l		ɐu	22									
鷺	來	開	一	模	去	來	遇	l		ɐu	22									
驢	來	開	三	魚	平	來	遇	l		ɐu		32								
雷	來	合	一	灰	平	來	蟹	l		ɔi		32								
擂	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l		ɔi										
鐳	來	合	一	灰	平	來	蟹	l		ɔi		32								
耒	來	合	三	脂A	上	來	止	l		ɔi	22									
蕾	來	合	一	灰	上	來	蟹	l		ɔi	22									
儡	來	合	一	灰	平	來	蟹	l		ɔi		32								
壘	來	合	三	脂A	上	來	止	l		ɔi	21									
纍	來	合	三	脂A	平	來	止	l		ɔi		32								
累	來	合	三	支A	上	來	止	l		ɔi	22									
累	來	合	三	支A	去	來	止	l		ɔi	22									
累	來	合	三	脂A	平	來	止	l		ɔi		32								
淚	來	合	三	脂A	去	來	止	l		ɔi	22									
類	來	合	三	脂A	去	來	止	l		ɔi	22									
裡	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l		ɔi										
裏	來	開	三	之	上	來	止	l		ɔi	33									
戾	來	開	四	齊	去	來	蟹	l		ɔi	22									
櫚	來	開	三	魚	平	來	遇	l		ɔi		32								
呂	來	開	三	魚	上	來	遇	l		ɔi	21									
呂	來	開	三	魚	上	來	遇	l		ɔi	21									
侶	來	開	三	魚	上	來	遇	l		ɔi	21									
旅	來	開	三	魚	上	來	遇	l		ɔi	21									
鋁	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l		ɔi										
屢	來	合	三	虞	去	來	遇	l		ɔi	22									
履	來	開	三	脂A	上	來	止	l		ɔi	21									
縷	來	合	三	虞	上	來	遇	l		ɔi	21									
慮	來	開	三	魚	去	來	遇	l		ɔi	22									
濾	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l		ɔi										
谷	來	開	一	東	入	來	通	l		ʊk		22								
六	來	開	三	東	入	來	通	l		ʊk		22								
陸	來	開	三	東	入	來	通	l		ʊk		22								
鹿	來	開	一	東	入	來	通	l		ʊk		22								
祿	來	開	一	東	入	來	通	l		ʊk		22								
碌	來	開	一	東	入	來	通	l		ʊk		22								
漉	來	開	一	東	入	來	通	l		ʊk		22								
錄	來	開	三	鍾	入	來	通	l		ʊk		22								
麓	來	開	一	東	入	來	通	l		ʊk		22								
氯	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l		ʊk										
綠	來	開	三	鍾	入	來	通	l		ʊk		22								
隆	來	開	三	東	平	來	通	l		ʊŋ		32								
龍	來	開	三	鍾	平	來	通	l		ʊŋ		32								
窿	來	開	三	東	平	來	通	l		ʊŋ		32								
嚨	來	開	一	東	平	來	通	l		ʊŋ		32								
瓏	來	開	一	東	平	來	通	l		ʊŋ		32								
朧	來	開	一	東	平	來	通	l		ʊŋ		32								
籠	來	開	一	東	平	來	通	l		ʊŋ		32								
聾	來	開	一	東	平	來	通	l		ʊŋ		32								
隴	來	開	三	鍾	上	來	通	l		ʊŋ	21									
攏	來	開	一	東	上	來	通	l		ʊŋ	21		又读55							
壟	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l		ʊŋ										
弄	來	開	一	東	去	來	通	l		ʊŋ	22									
唔	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	m												
蜈	疑	開	一	模	平	見	遇	ŋ				32								
五	疑	開	一	模	上	見	遇	ŋ			55									
午	疑	開	一	模	上	見	遇	ŋ			21									
伍	疑	開	一	模	上	見	遇	ŋ			55									
悟	疑	開	一	模	去	見	遇	ŋ			22									
媽	明	開	一	模	上	幫	遇	m		a	55									
媽	明	開	一	模	上	幫	遇	m		a	55									
麻	明	開	二	麻	平	幫	假	m		a		32								
嗎	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	m		a										
嗎								m		a	55									
痲	明	開	二	麻	平	幫	假	m		a		32								
蟆	明	開	二	麻	平	幫	假	m		a		32								
馬	明	開	二	麻	上	幫	假	m		a	21									
瑪	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	m		a										
碼	明	開	二	麻	上	幫	假	m		a	21									
螞	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	m		a										
螞								m		a	33									
螞								m		a	33									
罵	明	開	二	麻	上	幫	假	m		a	22									
嘛	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	m		a										
嬤	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	m		a										
埋	明	開	二	皆	平	幫	蟹	m		a		32								
霾	明	開	二	皆	平	幫	蟹	m		a		32								
買	明	開	二	佳	上	幫	蟹	m		ε	33									
買	明	開	二	佳	上	幫	蟹	m		ε	33									
賣	明	開	二	佳	去	幫	蟹	m		a	22									
邁	明	開	二	夬	去	幫	蟹	m		a	22									
饅	明	開	一	寒	平	幫	山	m		an		32								
鰻	明	開	一	寒	平	幫	山	m		an		32								
蠻	明	開	二	刪	平	幫	山	m		an		32								
曼	明	開	一	寒	平	幫	山	m		an		32								
蔓	明	合	三	元	去	幫	山	m		an	22									
蔓	明	開	一	寒	平	幫	山	m		an		32								
幔	明	開	一	寒	去	幫	山	m		an	22									
漫	明	開	一	寒	去	幫	山	m		an	22									
慢	明	開	二	刪	去	幫	山	m		an	22									
晚	明	合	三	元	上	幫	山	m		an	33									
萬	明	合	三	元	去	幫	山	m		an	22									
抹								m		ɐt	33									
貓	明	開	三	宵B	平	幫	效	m		εu		32								
矛	明	合	三	尤	平	幫	流	m		a		32	又音au							
茅	明	開	二	肴	平	幫	效	m		a		32	又音au							
錨	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	m		au										
卯	明	開	二	肴	上	幫	效	m		a	21		又音au							
貌	明	開	二	肴	去	幫	效	m		a	22		又音au							
牡	明	開	一	侯	上	幫	流	m		ɐu	21		又音au							
迷	明	開	四	齊	平	幫	蟹	m		ɐi		32								
謎	明	開	四	齊	去	幫	蟹	m		ɐi	22									
米	明	開	四	齊	上	幫	蟹	m		ɐi	55									
米								m		ɐi	55									
嘿								m		εk	32		hɐi55							
脈	明	開	二	耕	入	幫	梗	m		εk		22								
麥	明	開	二	耕	入	幫	梗	m		εk		22								
冒	明	開	一	登	入	幫	曾	m		a		22								
陌	明	開	二	庚	入	幫	梗	m		εk		22	又音ak							
墨	明	開	一	登	入	幫	曾	m		εk		22								
默	明	開	一	登	入	幫	曾	m		εk		22	又音ak							
驀	明	開	二	庚	入	幫	梗	m		εk		22								
民	明	開	三	真A	平	幫	臻	m		ɐn		32								
岷	明	開	三	真B	平	幫	臻	m		ɐn		32								
緡	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	m		ɐn										
敏	明	開	三	真B	上	幫	臻	m		ɐn	33									
閩	明	開	三	真B	平	幫	臻	m		ɐn		32								
憫	明	開	三	真B	上	幫	臻	m		ɐn	33									
憫	明	開	三	真B	上	幫	臻	m		ɐn	33									
文	明	合	三	文	平	幫	臻	m		ɐn		32								
蚊	明	合	三	文	平	幫	臻	m		ɐn		32								
蚊	明	合	三	文	平	幫	臻	m		ɐn		32								
紋	明	合	三	文	平	幫	臻	m		ɐn		32								
聞	明	合	三	文	平	幫	臻	m		ɐn		32								
刎	明	合	三	文	上	幫	臻	m		ɐn	33									
吻	明	合	三	文	上	幫	臻	m		ɐn	33									
紊	明	合	三	文	去	幫	臻	m		ɐn	33									
問	明	合	三	文	去	幫	臻	m		ɐn	22									
盲	明	開	二	庚	平	幫	梗	m		εŋ		32	又音ɐŋ							
萌	明	開	二	耕	平	幫	梗	m		εŋ		32	又音ɐŋ							
盟	明	開	三	庚	平	幫	梗	m		ɐŋ		32								
