音标	调类	调值	
dɔ	1	24	拖
dɔ	2	323	陀驼驮它砣
dɔ	3	31	妥椭
dɔ	6	33	舵惰
dɔ	7	5	托铎
nɔ	2	323	罗锣箩逻挪骡螺脶
nɔ	3	31	裸卵（文 以～击石）
nɔ	6	33	糯诺摞
nɔ	7	5	落烙骆酪赂洛络乐（白）
ʦo	3	31	左佐
ʦɔ	7	5	作酌捉桌卓琢啄
dzɔ	1	24	搓
dzɔ	2	323	矬
dzɔ	5	212	锉莝(一～甘蔗)错1
dzɔ	6	33	坐座
dzɔ	7	5	戳浊镯绰1（～号）凿昨
sɔ	1	24	蓑梭唆
sɔ	3	31	锁琐所
sɔ	7	5	塑率（～领）蟀索（绳子）朔欶（吮吸）
tʂɔ	0	0	□（......～：先等我......）
tʂɔ	7	5	斫着1
dʐɔ	7	5	焯着2（睏～：睡着了）
ʂɔ	2	323	傻（苕）
ʂɔ	7	5	绰2（～～有余）勺芍硕
kɔ	1	24	歌哥戈锅
kɔ	3	31	果裹
kɔ	5	212	个过
kɔ	7	5	合1（十～一升）各鸽割葛阁搁郭廓角（白）
gɔ	1	24	科蝌窠棵
gɔ	2	323	□（吆喝、叫）
gɔ	3	31	可颗
gɔ	5	212	课
gɔ	7	5	确壳磕渴
ŋɔ	2	323	蛾鹅俄娥硪（打～：夯实土地)讹
ŋɔ	3	31	我
ŋɔ	6	33	饿卧
ŋɔ	7	5	鄂恶□（久浸水中）
hɔ	1	24	呵（哦～)
hɔ	2	323	河何荷1（～花）和2（～平）
hɔ	3	31	火伙
hɔ	5	212	货戽2（～水）
hɔ	6	33	贺荷2（薄～）祸和（～面，又 fu33）
hɔ	7	5	合2盒㬦（扯～闪：闪电）豁喝（～水）郝鹤蠚（～人）霍藿缚学（白 上～）
ɔ	1	24	阿(～弥陀佛 ～胶）踒屙莴倭窝
ɔ	2	323	儿而和（白1 ～尚）禾1
ɔ	3	31	耳饵尔(文）
ɔ	6	33	二贰
ɔ	7	5	日龌1握1沃1
diɔ	7	5	略掠
ʨiɔ	3	31	饺
ʨiɔ	7	5	爵脚觉1角（文）
dʑiɔ	7	5	雀鹊却嚼1
ȵiɔ	7	5	虐疟
ɕiɔ	7	5	削学（文）
iɔ	1	24	哟
iɔ	7	5	约药钥跃岳乐（文）
uɔ	2	323	和（白2 ～尚）禾2
uɔ	7	5	龌2握2沃2□（～人：烫人）
pɛ	7	5	钵拨剥2北百柏伯(文）檗（黄～：药名）
bɛ	7	5	撇别泼钹泊2（停～）迫□（飞～哩：蝴蝶）
mɛ	7	5	灭篾蔑末沫墨默陌脉
fɛ	7	5	活或惑获
tɛ	7	5	跌得德
dɛ	7	5	列烈（拗～）裂铁脱夺忒（～好）特
nɛ	7	5	捋肋勒
ʦɛ	7	5	蜘(～蛛）撮1（一～米）则侧（白 ～着睡）责
dzɛ	7	5	撮2（～箕）贼侧（文 ～面）测厕（文）泽择（文)宅策册切1
sɛ	7	5	涩塞色啬瑟虱膝
tʂɛ	7	5	哲蜇折1浙
dʐɛ	7	5	彻撤辙
ʂɛ	7	5	摄涉舌设折2（～本）
kɛ	7	5	隔（文）格革（文）胳（文）
gɛ	7	5	刻（文）克（文）
ŋɛ	7	5	扼额（文）
hɛ	7	5	核（文）黑赫
biɛ	7	5	憋鳖
diɛ	7	5	劣猎帖贴迭叠碟牒蝶谍戾（骜～：性格固执强硬、不服管教）
ʨiɛ	7	5	接劫揭1节结洁□(中间～：中午)革(白)
dʑiɛ	7	5	妾捷怯杰揭2切2截克（白 相～）绝（白 ～根：无后代；品质极好的，仅限事物）刻(白 一～钟）
ȵiɛ	7	5	聂1镊1蹑1业孽捏
ɕiɛ	7	5	胁协薛歇蝎屑雪血
iɛ	7	5	聂2镊2蹑2叶页噎□（～谷哩：秕谷）
kuɛ	7	5	聒国
guɛ	7	5	阔扩
ɕyɛ	7	5	说穴
tɕyɛ	7	5	拙厥倔蕨掘决诀
dʑyɛ	7	5	绝（文）缺
ȵyɛ	7	5	月
yɛ	7	5	悦阅越曰粤热1（～天里：夏季）
tʂᴇ	3	31	者□（矫情、装可爱）
kᴇ	5	212	锯(白 ～木头)
gᴇ	6	33	□(～痒：蹭痒痒)
tiᴇ	2	323	□（=这）
tɕiᴇ	1	24	□（扎、刺）
dʑiᴇ	3	31	且
ɕiᴇ	5	212	泄
guᴇ	3	31	□(折断)
ɳuᴇ	7	5	热2（烫）
pai	1	24	跛（白 俗作“足拜”）
pai	3	31	摆
pai	5	212	拜
bai	2	323	排牌㵺
bai	5	212	派
bai	6	33	败
mai	2	323	埋霾
mai	3	31	买
mai	6	33	卖迈
fai	2	323	槐淮怀
fai	6	33	坏
tai	5	212	戴带
dai	5	212	太泰态
dai	6	33	大（白）贷待怠殆代袋
nai	2	323	来
nai	3	31	奶乃
nai	6	33	耐奈赖癞（文）
ʦai	1	24	灾栽斋
ʦai	3	31	宰载1
ʦai	5	212	再债载2
dzai	1	24	猜钗差2
dzai	2	323	纔材财裁才豺柴
dzai	3	31	彩采睬
dzai	5	212	菜蔡载3（满～）
dzai	6	33	在
sai	1	24	腮鳃筛衰
sai	2	323	□(发抖）
sai	5	212	赛寨晒帅率2（～领）
kai	1	24	该皆阶街
kai	3	31	改解1（～开）
kai	5	212	盖丐介（白）界芥疥届戒（白）械（白）解2（押～）
gai	1	24	开揩
gai	3	31	凯慨楷
gai	5	212	概溉
ŋai	1	24	哀挨埃娭
ŋai	2	323	呆捱岩（白）崖（白）
ŋai	3	31	矮蔼□(～热：想要)
ŋai	5	212	隘爱
ŋai	6	33	碍艾外（白）
hai	2	323	孩鞋（白）还
hai	3	31	海蟹1
hai	6	33	亥害懈蟹2
ɕiai	2	323	鞋（文）谐
tɕiai	3	31	解3（文 ～决）
tɕiai	5	212	介（文）戒（文）械（文）
iai	2	323	岩（文）崖（文）
kuai	1	24	乖
kuai	3	31	拐
kuai	5	212	怪桧
guai	3	31	傀块蒯
guai	5	212	会（～计）刽快筷
uai	1	24	歪
uai	6	33	外（文）
yai	3	31	摔甩
fei	1	24	恢灰麾非扉菲飞妃挥辉徽
fei	2	323	回茴蛔肥淝
fei	3	31	毁贿悔匪翡讳
fei	5	212	晦废肺慧痱(～子)费
fei	6	33	汇惠秽会绘
dzei	1	24	崔
kuei	1	24	圭闺规龟归
kuei	3	31	诡轨鬼晷
kuei	5	212	桂癸贵
guei	1	24	盔魁亏窥
guei	2	323	逵葵奎
guei	3	31	跪
guei	5	212	溃愧
guei	6	33	柜（文）
uei	1	24	威煨
uei	2	323	桅危伪为维惟唯微违围
uei	3	31	萎委尾伟苇纬
uei	5	212	餧（文）畏慰猬蔚尉
uei	6	33	卫位未味魏胃谓渭猬
tɕyei	1	24	追锥
tɕyei	5	212	赘坠
dʑyei	1	24	炊吹（文）
dʑyei	2	323	垂捶
ɕyei	2	323	谁
ɕyei	5	212	税睡（文）
ɕyei	6	33	瑞
yei	6	33	锐
pɑu	1	24	褒包胞苞
pɑu	3	31	保堡宝饱膊
pɑu	5	212	报豹
bɑu	1	24	拋泡1藨奅
bɑu	2	323	袍刨地狍
bɑu	3	31	跑
bɑu	5	212	爆炮泡2鳔
bɑu	6	33	抱暴菢鲍刨
mɑu	2	323	猫（白）毛矛（文）茅锚
mɑu	3	31	卯铆
mɑu	5	212	冒
mɑu	6	33	帽貌毋（沒有，俗作“冇”）
tɑu	1	24	刀叨
tɑu	3	31	祷岛倒1
tɑu	5	212	到倒2
dɑu	1	24	滔掏涛
dɑu	2	323	桃逃淘陶萄绹（系、捡）
dɑu	3	31	讨导
dɑu	5	212	套
dɑu	6	33	道稻盗
nɑu	1	24	□（偷）
nɑu	2	323	劳捞牢唠痨涝
nɑu	5	212	脑恼老佬
nɑu	6	33	闹
ʦɑu	1	24	糟遭
ʦɑu	3	31	早枣蚤澡爪找
ʦɑu	5	212	灶燥臊1罩
dzɑu	1	24	操抄钞
dzɑu	2	323	曹嘈槽糟巢
dzɑu	3	31	炒吵草騲（～狗：母狗）
dzɑu	5	212	糙造肇仯（半大不小的动物；～子：后生）
dzɑu	6	33	皂噪
sɑu	1	24	筲骚臊稍捎艄
sɑu	3	31	扫嫂
sɑu	5	212	臊2扫潲
tʂɑu	1	24	朝1昭招诏
tʂɑu	3	31	沼
tʂɑu	5	212	照
dʐɑu	1	24	超
dʐɑu	2	323	朝2潮
dʐɑu	6	33	赵兆
ʂɑu	1	24	烧
ʂɑu	2	323	□（蠢笨）韶
ʂɑu	3	31	少1
ʂɑu	5	212	少2
ʂɑu	6	33	召绍邵
ɳɑu	2	323	铙挠饶桡
ɳɑu	3	31	扰绕
kɑu	1	24	高膏篙羔糕茭跤
kɑu	3	31	稿搞犒1搅（白 俗作“搞”）
kɑu	5	212	告教（白）校1（白 ～秤）窖觉2（睏～：睡觉）珓（用于占卜的工具）□（～子豆腐：豆腐脑）
gɑu	1	24	敲（白）□（吠叫）
gɑu	3	31	考烤拷
gɑu	5	212	靠
ŋɑu	1	24	欧
ŋɑu	2	212	爊鳌骜（～戾：性格固执强硬、不服管教）
ŋɑu	3	31	袄咬
ŋɑu	5	212	懊奥懊坳□（冷，多指水冷）
ŋɑu	6	33	傲
hɑu	1	24	蒿
hɑu	2	323	豪壕毫嚎号1
hɑu	3	31	好1
hɑu	5	212	好2孝（白）
hɑu	6	33	犒2号2耗浩
piɑu	1	24	膘标飙彪□（青竹～：竹叶青蛇）
piɑu	3	31	表婊裱
biɑu	1	24	飄
biɑu	2	323	瓢嫖薸浮（白）
biɑu	3	31	瞟漂1
biɑu	5	212	票漂
miɑu	1	24	猫（文）
miɑu	2	323	苗描瞄谋
miɑu	3	31	藐渺秒杪（树枝的细梢）杳某亩牡矛（白）
miɑu	6	33	庙妙茂贸
tiɑu	1	24	刁□（～子：公牛）叼貂雕蔸兜（～细伢子：逗小孩子）
tiɑu	3	31	斗（白）抖(白）陡
tiɑu	5	212	钓吊掉调1
diɑu	1	24	挑
diɑu	2	323	头投燎疗条调2聊辽撩瞭楼箬
diɑu	3	31	了㪗（～气）篓斢（调换）
diɑu	5	212	跳粜
diɑu	6	33	寥料豆逗痘廖漏陋
ʨiɑu	1	24	交郊胶焦蕉椒醮骄娇矫浇勾（白）钩沟邹
ʨiɑu	3	31	绞狡搅（文）较剿缴侥走狗苟饺
ʨiɑu	5	212	教（文）叫奏（白）□（瓶～哩：瓶塞子）构（白 ～凌：结冰）校1（文）
dʑiɑu	1	24	锹缲悄搊
dʑiɑu	2	323	樵乔侨桥荞愁（发～：不悦）
dʑiɑu	3	31	巧口□（面～：面前）
dʑiɑu	5	212	俏鞘窍凑（白）叩扣寇
dʑiɑu	6	33	轿藠（～头）嚼2
dʑiɑu	0	0	□（闭～痧：中暑）
ȵiɑu	1	24	殴欧瓯抠1□（～：抠）
ȵiɑu	2	323	尧
ȵiɑu	3	31	鸟藕偶呕
ȵiɑu	5	212	怄
ȵiɑu	6	33	尿
ɕiɑu	1	24	消宵霄硝销枵（～薄：树中空）嚣萧箫搜馊
ɕiɑu	2	323	淆侯喉猴□（浮）
ɕiɑu	3	31	小晓筱
ɕiɑu	5	212	酵孝（文）笑瘦（白）哮
ɕiɑu	6	33	效校2后厚候
iɑu	1	24	妖邀腰要幺吆
iɑu	2	323	肴摇谣瑶窑姚
iɑu	3	31	舀
iɑu	5	212	要
iɑu	6	33	耀鹞
tou	1	24	都
tou	3	31	抖(文）堵赌肚褚（文）笃
tou	5	212	斗（文）妒1
tou	7	5	督妒2
dou	1	24	偷
dou	2	323	徒屠途涂图
