繁体	简体	聲韻	聲調	注釋
折	折	tsik	2|陰入	折扣
接	接	tsip	2|陰入	
摺	折	tsip	2|陰入	
汁	汁	tsɛp	2|陰入	
燭	烛	tsuk	2|陰入	
爵	爵	tsyk	2|陰入	
祝	祝	tsøk	2|陰入	
稷	稷	tsek	2|陰入	
窄	窄	tsak	2|陰入	異讀[ts][aʔ/ak][2]
窄	窄	tsaʔ	2|陰入	異讀[ts][aʔ/ak][2]
節	节	tsɛk	2|陰入	
粥	粥	tsøk	2|陰入	
綴	缀	tsok	2|陰入	
織	织	tsek	2|陰入	
職	职	tsek	2|陰入	
脊	脊	tsep	2|陰入	
責	责	tsɛk	2|陰入	
足	足	tsøk	2|陰入	
跡	迹	tsiɛʔ	2|陰入	
軋	轧	tsak	2|陰入	
酌	酌	tsyk	2|陰入	
七	七	tsʰek	2|陰入	
促	促	tsʰøk	2|陰入	
側	侧	tsʰɛk	2|陰入	
冊	册	tsʰaʔ	2|陰入	
切	切	tsʰip	2|陰入	
勺	勺	tsʰyk	2|陰入	
喫	吃	tsʰiʔ	2|陰入	異讀[tsʰ][iʔ/ik][2/5]
坼	坼	tsʰɛk	2|陰入	異讀[tʰ/tsʰ][ik/ɛk][2]
妾	妾	tsʰip	2|陰入	
察	察	tsʰak	2|陰入	
尺	尺	tsʰek	2|陰入	異讀[tsʰ][yøʔ/ek][2]
尺	尺	tsʰyøʔ	2|陰入	異讀[tsʰ][yøʔ/ek][2]
惻	恻	tsʰɛk	2|陰入	
戚	戚	tsʰek	2|陰入	
拭	拭	tsʰek	2|陰入	
插	插	tsʰap	2|陰入	
攃	攃	tsʰak	2|陰入	異讀[tsʰ][iɛk/ak][2]
攃	攃	tsʰiɛk	2|陰入	異讀[tsʰ][iɛk/ak][2]
測	测	tsʰɛk	2|陰入	
漆	漆	tsʰek	2|陰入	
竊	窃	tsʰip	2|陰入	
策	策	tsʰɛk	2|陰入	
粟	粟	tsʰuk	2|陰入	異讀[s/tsʰ][ok/uk][2]單字讀，穀子
綽	绰	tsʰyk	2|陰入	寬綽
膝	膝	tsʰek	2|陰入	
芍	芍	tsʰyk	2|陰入	
觸	触	tsʰøk	2|陰入	
赤	赤	tsʰiɛʔ	2|陰入	
錯	错	tsʰɔk	2|陰入	錯雜
雀	雀	tsʰyk	2|陰入	
鵲	鹊	tsʰyk	2|陰入	
刷	刷	sɔk	2|陰入	
削	削	suk	2|陰入	異讀[s][uk/yk][2]
削	削	syk	2|陰入	異讀[s][uk/yk][2]
叔	叔	søk	2|陰入	異讀[s/ts][øk][2]
嗇	啬	sɛk	2|陰入	
塞	塞	sɛk	2|陰入	
夙	夙	søk	2|陰入	
宿	宿	søk	2|陰入	
式	式	sek	2|陰入	
息	息	sek	2|陰入	
惜	惜	sek	2|陰入	
戌	戌	suk	2|陰入	
昔	昔	sek	2|陰入	
朔	朔	sɔk	2|陰入	
束	束	sok	2|陰入	
殺	杀	sak	2|陰入	
淑	淑	søk	2|陰入	
溼	湿	sɛp	2|陰入	
澀	涩	sɛp	2|陰入	
粟	粟	sok	2|陰入	異讀[s/tsʰ][ok/uk][2]單字讀，穀子
索	索	sɔk	2|陰入	異讀[s][ɔʔ/ɔk][2]索性，白讀
索	索	sɔʔ	2|陰入	異讀[s][ɔʔ/ɔk][2]索性，白讀
縮	缩	sɔk	2|陰入	
肅	肃	søk	2|陰入	
色	色	sɛk	2|陰入	
薛	薛	sik	2|陰入	
薩	萨	sak	2|陰入	
蝕	蚀	sek	2|陰入	
褻	亵	sik	2|陰入	
設	设	sik	2|陰入	
說	说	suk	2|陰入	異讀[s][ui/uk][35/2]單字讀，遊說
速	速	sok	2|陰入	
釋	释	sek	2|陰入	
錫	锡	sek	2|陰入	
雪	雪	suk	2|陰入	
飾	饰	sek	2|陰入	
佛	佛	xuk	2|陰入	
嚇	吓	xiɛʔ	2|陰入	
幅	幅	xok	2|陰入	
弗	弗	xuk	2|陰入	
拂	拂	xuk	2|陰入	
旭	旭	xøk	2|陰入	
歇	歇	xyk	2|陰入	
法	法	xuok	2|陰入	
熻	熻	xep	2|陰入	～飯：燜飯
發	发	xuk	2|陰入	頭髮
發	发	xuok	2|陰入	異讀[p/x][uk/uok][2]文讀，長出
瞎	瞎	xak	2|陰入	
福	福	xok	2|陰入	
脅	胁	xiɛk	2|陰入	異讀[x][ep/iɛk][5/2]
腹	腹	xok	2|陰入	異讀[p/x][ok][2]
蓄	蓄	xøk	2|陰入	
蝠	蝠	xok	2|陰入	
血	血	xɛk	2|陰入	
赫	赫	xɛk	2|陰入	
黑	黑	xɛk	2|陰入	
幕	幕	mɔk	2|陰入	
抹	抹	muok	2|陰入	
捏	捏	nep	2|陰入	
聶	聂	niɛp	2|陰入	
躡	蹑	niɛp	2|陰入	
鑷	镊	niɛp	2|陰入	
吸	吸	ŋep	2|陰入	
屹	屹	ŋøk	2|陰入	
級	级	ŋep	2|陰入	
訖	讫	ŋøk	2|陰入	
顎	颚	ŋɔk	2|陰入	
鱷	鳄	ŋɔk	2|陰入	
瘌	瘌	lak	2|陰入	
一	一	ek	2|陰入	
乙	乙	ek	2|陰入	
噎	噎	ek	2|陰入	
壓	压	ap	2|陰入	
屋	屋	ok	2|陰入	
惡	恶	ɔk	2|陰入	異讀[0][ɔʔ/ɔk][2]善惡，乖
惡	恶	ɔʔ	2|陰入	異讀[0][ɔʔ/ɔk][2]善惡，乖
抑	抑	ek	2|陰入	
押	押	ap	2|陰入	
握	握	ok	2|陰入	
沃	沃	ok	2|陰入	異讀[0][uk/ok][2]單字讀，澆水
沃	沃	uk	2|陰入	異讀[0][uk/ok][2]單字讀，澆水
益	益	ek	2|陰入	異讀[0][iɛʔ/ek][2]
益	益	iɛʔ	2|陰入	異讀[0][iɛʔ/ek][2]
約	约	yk	2|陰入	
聿	聿	øk	2|陰入	
謁	谒	yk	2|陰入	
軶	軶	ɛk	2|陰入	
遏	遏	yk	2|陰入	
邑	邑	ek	2|陰入	
鬱	郁	øk	2|陰入	
鴨	鸭	ap	2|陰入	
冰	冰	piŋ	44|陰平	
分	分	pɔŋ	44|陰平	異讀[p/x][ɔŋ/uŋ][44]
包	包	pau	44|陰平	
卑	卑	pi	44|陰平	
夫	夫	pu	44|陰平	異讀[p/x][u][44]文讀，丈夫
奔	奔	pɔŋ	44|陰平	
崩	崩	pɛŋ	44|陰平	
巴	巴	pa	44|陰平	
幫	帮	pɔŋ	44|陰平	
彪	彪	piɐu	44|陰平	
彬	彬	piŋ	44|陰平	
斌	斌	piŋ	44|陰平	
斑	斑	paŋ	44|陰平	
晡	晡	pu	44|陰平	
杯	杯	pøy	44|陰平	
枋	枋	puŋ	44|陰平	
標	标	piɐu	44|陰平	
檳	槟	piŋ	44|陰平	
殯	殡	piŋ	44|陰平	
玻	玻	pɔ	44|陰平	
班	班	paŋ	44|陰平	
碑	碑	pi	44|陰平	
胞	胞	pau	44|陰平	
臕	臕	piɐu	44|陰平	
芭	芭	pa	44|陰平	
葩	葩	pa	44|陰平	
裨	裨	pi	44|陰平	
褒	褒	pɔ	44|陰平	
賓	宾	piŋ	44|陰平	
賔	宾	piŋ	44|陰平	
邊	边	pɛŋ	44|陰平	
邦	邦	pɔŋ	44|陰平	
鞭	鞭	pɛŋ	44|陰平	
飛	飞	pøy	44|陰平	異讀[p/pʰ][øy/i][44]
鬢	鬓	piŋ	44|陰平	
丕	丕	pʰi	44|陰平	
亨	亨	pʰɛŋ	44|陰平	
偏	偏	pʰɛŋ	44|陰平	
噴	喷	pʰuŋ	44|陰平	
坡	坡	pʰɔ	44|陰平	
坯	坯	pʰøy	44|陰平	
壞	坏	pʰøy	44|陰平	
悲	悲	pʰi	44|陰平	
批	批	pʰi	44|陰平	
披	披	pʰi	44|陰平	
拋	抛	pʰau	44|陰平	
攀	攀	pʰaŋ	44|陰平	
波	波	pʰɔ	44|陰平	
潘	潘	pʰaŋ	44|陰平	異讀[pʰ][uŋ/aŋ][44]單字讀，潘水
潘	潘	pʰuŋ	44|陰平	異讀[pʰ][uŋ/aŋ][44]單字讀，潘水
篇	篇	pʰɛŋ	44|陰平	
肧	肧	pʰøy	44|陰平	
胚	胚	pʰøy	44|陰平	
藩	藩	pʰaŋ	44|陰平	
非	非	pʰi	44|陰平	
飛	飞	pʰi	44|陰平	異讀[p/pʰ][øy/i][44]
丁	丁	tiŋ	44|陰平	
中	中	tyŋ	44|陰平	異讀[t][ɔŋ/yŋ][44]
中	中	tɔŋ	44|陰平	異讀[t][ɔŋ/yŋ][44]
丹	丹	taŋ	44|陰平	
低	低	ti	44|陰平	異讀[t][ɛ/i][44]
低	低	tɛ	44|陰平	異讀[t][ɛ/i][44]
偵	侦	tiŋ	44|陰平	異讀[t][iaŋ/iŋ][42/44]單字讀，偵探
儲	储	ty	44|陰平	
兜	兜	tau	44|陰平	
冬	冬	tœŋ	44|陰平	
刀	刀	tɔ	44|陰平	
刁	刁	tiɐu	44|陰平	
單	单	taŋ	44|陰平	
堆	堆	tøy	44|陰平	
墩	墩	tœŋ	44|陰平	異讀[t][œŋ][42/44]單字讀，橋墩
多	多	tɔ	44|陰平	
巔	巅	tɛŋ	44|陰平	
張	张	tɔŋ	44|陰平	
彫	雕	tiɐu	44|陰平	
征	征	tiŋ	44|陰平	
忠	忠	tyŋ	44|陰平	
懛	懛	tai	44|陰平	書呆子
懲	惩	tiŋ	44|陰平	
擔	担	tam	44|陰平	負擔
朝	朝	tiɐu	44|陰平	
東	东	tuŋ	44|陰平	異讀[t][œŋ/uŋ][44]
東	东	tœŋ	44|陰平	異讀[t][œŋ/uŋ][44]
椹	椹	tɛm	44|陰平	
沾	沾	tɛm	44|陰平	
焦	焦	ta	44|陰平	異讀[t/ts][a/iɐu][44]文讀，乾：原書作「燋」。
燈	灯	tɛŋ	44|陰平	
爹	爹	tie	44|陰平	
獃	呆	tai	44|陰平	書呆子
珊	珊	taŋ	44|陰平	
珍	珍	tiŋ	44|陰平	
甜	甜	tɛm	44|陰平	
癲	癫	tɛŋ	44|陰平	
知	知	ti	44|陰平	
端	端	tuaŋ	44|陰平	
耽	耽	tam	44|陰平	
蜘	蜘	ti	44|陰平	
諄	谆	tuŋ	44|陰平	
豬	猪	ty	44|陰平	
貂	貂	tiɐu	44|陰平	
貞	贞	tiŋ	44|陰平	
貯	贮	ty	44|陰平	
追	追	tui	44|陰平	
都	都	tu	44|陰平	
釘	钉	tiŋ	44|陰平	
雕	雕	tiɐu	44|陰平	
霑	沾	tɛm	44|陰平	
飩	饨	tœŋ	44|陰平	
他	他	tʰa	44|陰平	
偷	偷	tʰau	44|陰平	
吞	吞	tʰœŋ	44|陰平	
唾	唾	tʰɔ	44|陰平	
天	天	tʰɛŋ	44|陰平	
廳	厅	tʰaŋ	44|陰平	異讀[tʰ][aŋ/iŋ][44]
廳	厅	tʰiŋ	44|陰平	異讀[tʰ][aŋ/iŋ][44]
抽	抽	tʰiu	44|陰平	
挑	挑	tʰiɐu	44|陰平	
攤	摊	tʰaŋ	44|陰平	
株	株	tʰy	44|陰平	
梯	梯	tʰai	44|陰平	
椿	椿	tʰuŋ	44|陰平	
樘	樘	tʰaŋ	44|陰平	異讀[tʰ/tsʰ][aŋ/ɛŋ][44]
橕	橕	tʰaŋ	44|陰平	異讀[tʰ/tsʰ][aŋ/ɛŋ][44]
汀	汀	tʰiŋ	44|陰平	
添	添	tʰɛm	44|陰平	
湯	汤	tʰɔŋ	44|陰平	
滔	滔	tʰɔ	44|陰平	
濤	涛	tʰɔ	44|陰平	
簁	簁	tʰai	44|陰平	原書作「颱」
聽	听	tʰaŋ	44|陰平	異讀[tʰ][aŋ/iŋ][44]
聽	听	tʰiŋ	44|陰平	異讀[tʰ][aŋ/iŋ][44]
胎	胎	tʰai	44|陰平	
苔	苔	tʰai	44|陰平	異讀[tʰ][ei/ai][22/44]舌苔，單字讀
蛛	蛛	tʰy	44|陰平	
蟶	蛏	tʰɛŋ	44|陰平	
誅	诛	tʰy	44|陰平	
貪	贪	tʰam	44|陰平	
超	超	tʰiɐu	44|陰平	
通	通	tʰuŋ	44|陰平	異讀[tʰ][œŋ/uŋ][44]
通	通	tʰœŋ	44|陰平	異讀[tʰ][œŋ/uŋ][44]
乖	乖	kuai	44|陰平	
交	交	kau	44|陰平	
京	京	kiŋ	44|陰平	
今	今	kim	44|陰平	
佳	佳	ka	44|陰平	
僵	僵	kyøŋ	44|陰平	
光	光	kɔŋ	44|陰平	
公	公	kuŋ	44|陰平	
兼	兼	kɛm	44|陰平	
剛	刚	kɔŋ	44|陰平	
功	功	kuŋ	44|陰平	
加	加	ka	44|陰平	
君	君	kuŋ	44|陰平	
哥	哥	kɔ	44|陰平	
嘉	嘉	ka	44|陰平	
圭	圭	ki	44|陰平	
均	均	kiŋ	44|陰平	
坩	坩	kam	44|陰平	
基	基	ki	44|陰平	
堅	坚	kɛŋ	44|陰平	
奎	奎	ki	44|陰平	
姑	姑	ku	44|陰平	
嬌	娇	kiɐu	44|陰平	
孤	孤	ku	44|陰平	
官	官	kuaŋ	44|陰平	
宮	宫	kyŋ	44|陰平	
家	家	ka	44|陰平	
居	居	ky	44|陰平	
岡	冈	kɔŋ	44|陰平	
崗	岗	kɔŋ	44|陰平	
工	工	kuŋ	44|陰平	異讀[k][œŋ/uŋ][44]
工	工	kœŋ	44|陰平	異讀[k][œŋ/uŋ][44]
干	干	kaŋ	44|陰平	
幾	几	ki	44|陰平	幾乎
庚	庚	kɛŋ	44|陰平	
弓	弓	kyŋ	44|陰平	
恭	恭	kyŋ	44|陰平	
扛	扛	kɔŋ	44|陰平	
拘	拘	ky	44|陰平	
捐	捐	kyøŋ	44|陰平	
擎	擎	kiŋ	44|陰平	
攻	攻	kuŋ	44|陰平	
斤	斤	kyŋ	44|陰平	
更	更	kaŋ	44|陰平	三更
枯	枯	ku	44|陰平	
柑	柑	kam	44|陰平	
根	根	kyŋ	44|陰平	異讀[k][ɛŋ/yŋ][44]
根	根	kɛŋ	44|陰平	異讀[k][ɛŋ/yŋ][44]
機	机	ki	44|陰平	
歌	歌	kɔ	44|陰平	
歸	归	kui	44|陰平	
江	江	kœŋ	44|陰平	異讀[k][œŋ/ɔŋ][44]
江	江	kɔŋ	44|陰平	異讀[k][œŋ/ɔŋ][44]
泔	泔	kam	44|陰平	
涓	涓	kyøŋ	44|陰平	
溝	沟	kau	44|陰平	
狡	狡	kau	44|陰平	
瓊	琼	keŋ	44|陰平	
瓜	瓜	kuo	44|陰平	
甘	甘	kam	44|陰平	
畦	畦	ki	44|陰平	
疆	疆	kyøŋ	44|陰平	
皆	皆	kai	44|陰平	
竿	竿	kaŋ	44|陰平	
筋	筋	kyŋ	44|陰平	
箕	箕	ki	44|陰平	
篙	篙	kɔ	44|陰平	
糕	糕	kɔ	44|陰平	
經	经	kaŋ	44|陰平	異讀[k][aŋ/iŋ][44]文讀，經網
經	经	kiŋ	44|陰平	異讀[k][aŋ/iŋ][44]文讀，經網
綱	纲	kɔŋ	44|陰平	
羌	羌	kyøŋ	44|陰平	
羔	羔	kɔ	44|陰平	
羹	羹	kɛŋ	44|陰平	
耕	耕	kɛŋ	44|陰平	
肌	肌	ki	44|陰平	
肛	肛	kɔŋ	44|陰平	
肝	肝	kaŋ	44|陰平	
肩	肩	kɛŋ	44|陰平	
膏	膏	kɔ	44|陰平	
膠	胶	kau	44|陰平	異讀[k][a/au][44]
膠	胶	ka	44|陰平	異讀[k][a/au][44]
艱	艰	kaŋ	44|陰平	
荊	荆	keŋ	44|陰平	
菰	菰	ku	44|陰平	
蒿	蒿	kɔ	44|陰平	
薑	姜	kyøŋ	44|陰平	
街	街	kɛ	44|陰平	
規	规	ki	44|陰平	
觀	观	kuaŋ	44|陰平	
該	该	kai	44|陰平	
譏	讥	ki	44|陰平	
豇	豇	kɔŋ	44|陰平	
跟	跟	kyŋ	44|陰平	
躬	躬	kyŋ	44|陰平	
車	车	ky	44|陰平	車馬砲
軍	军	kuŋ	44|陰平	
辜	辜	ku	44|陰平	
郊	郊	kau	44|陰平	
金	金	kim	44|陰平	
鈞	钧	kiŋ	44|陰平	
鉤	钩	kau	44|陰平	
鉸	铰	ka	44|陰平	
鍋	锅	ku	44|陰平	
鏗	铿	kɛŋ	44|陰平	
間	间	kaŋ	44|陰平	異讀[k][ɛŋ/aŋ][44]中間，白讀
間	间	kɛŋ	44|陰平	異讀[k][ɛŋ/aŋ][44]中間，白讀
閨	闺	ki	44|陰平	
關	关	kuaŋ	44|陰平	異讀[k][ɔŋ/uaŋ][44]
關	关	kɔŋ	44|陰平	異讀[k][ɔŋ/uaŋ][44]
階	阶	kai	44|陰平	
雞	鸡	ki	44|陰平	
飢	饥	ki	44|陰平	
餻	餻	kɔ	44|陰平	
饑	饥	kui	44|陰平	
驕	骄	kiɐu	44|陰平	
驚	惊	kiaŋ	44|陰平	異讀[k][iaŋ/iŋ][44]
驚	惊	kiŋ	44|陰平	異讀[k][iaŋ/iŋ][44]
高	高	kɔ	44|陰平	
鯨	鲸	kiŋ	44|陰平	
鰥	鳏	kuaŋ	44|陰平	
龜	龟	kui	44|陰平	
丘	丘	kʰiu	44|陰平	
傾	倾	kʰiŋ	44|陰平	
刊	刊	kʰaŋ	44|陰平	
勘	勘	kʰaŋ	44|陰平	
匡	匡	kʰɔŋ	44|陰平	
區	区	kʰy	44|陰平	
卿	卿	kʰiŋ	44|陰平	
呼	呼	kʰu	44|陰平	異讀[kʰ/x][u][44]文讀，呼雞
坑	坑	kʰaŋ	44|陰平	
坤	坤	kʰɔŋ	44|陰平	
堪	堪	kʰaŋ	44|陰平	
寬	宽	kʰuaŋ	44|陰平	
康	康	kʰɔŋ	44|陰平	
慷	慷	kʰɔŋ	44|陰平	
戈	戈	kʰu	44|陰平	
敲	敲	kʰiɐu	44|陰平	
昆	昆	kʰɔŋ	44|陰平	
柯	柯	kʰɔ	44|陰平	
樞	枢	kʰy	44|陰平	
欺	欺	kʰie	44|陰平	異讀[kʰ][ie/i][44]
欺	欺	kʰi	44|陰平	異讀[kʰ][ie/i][44]
欽	钦	kʰim	44|陰平	
溪	溪	kʰɛ	44|陰平	
牽	牵	kʰɛŋ	44|陰平	
盔	盔	kʰøy	44|陰平	
科	科	kʰu	44|陰平	
稽	稽	kʰi	44|陰平	
空	空	kʰuŋ	44|陰平	異讀[kʰ][œŋ/uŋ][44]空虛，白讀
空	空	kʰœŋ	44|陰平	異讀[kʰ][œŋ/uŋ][44]空虛，白讀
筐	筐	kʰɔŋ	44|陰平	
箍	箍	kʰu	44|陰平	
糠	糠	kʰɔŋ	44|陰平	
腔	腔	kʰyøŋ	44|陰平	
苛	苛	kʰɔ	44|陰平	
莖	茎	kʰɛŋ	44|陰平	
虧	亏	kʰui	44|陰平	
蚯	蚯	kʰiu	44|陰平	
襟	襟	kʰim	44|陰平	
軻	轲	kʰɔ	44|陰平	
輕	轻	kʰiŋ	44|陰平	
邱	邱	kʰiu	44|陰平	
開	开	kʰai	44|陰平	異讀[kʰ][ui/ai][44]
開	开	kʰui	44|陰平	異讀[kʰ][ui/ai][44]
駒	驹	kʰy	44|陰平	
驅	驱	kʰy	44|陰平	
骹	骹	kʰa	44|陰平	
鬮	阄	kʰau	44|陰平	
魁	魁	kʰøy	44|陰平	
龕	龛	kʰam	44|陰平	
之	之	tsi	44|陰平	
僧	僧	tsɛŋ	44|陰平	
咨	咨	tsu	44|陰平	
增	增	tsɛŋ	44|陰平	
姿	姿	tsu	44|陰平	
宗	宗	tsuŋ	44|陰平	
尊	尊	tsɔŋ	44|陰平	
尖	尖	tsɛm	44|陰平	
憎	憎	tsɛŋ	44|陰平	
抓	抓	tsuo	44|陰平	
招	招	tsiɐu	44|陰平	
支	支	tsi	44|陰平	
斟	斟	tsim	44|陰平	
旌	旌	tsiŋ	44|陰平	
昭	昭	tsiɐu	44|陰平	
晶	晶	tsiŋ	44|陰平	
書	书	tsy	44|陰平	異讀[s/ts][y][44]
曾	曾	tsɛŋ	44|陰平	
朱	朱	tsu	44|陰平	朱砂
枝	枝	tsi	44|陰平	異讀[ŋ/ts][i][44]
柤	柤	tsa	44|陰平	
椒	椒	tsiɐu	44|陰平	
椶	椶	tsœŋ	44|陰平	
榛	榛	tsɛŋ	44|陰平	異讀[s/ts][ɛŋ][22/44]榛油，單字讀
樟	樟	tsɔŋ	44|陰平	
氈	毡	tsɛm	44|陰平	
渣	渣	tsa	44|陰平	
滋	滋	tsou	44|陰平	
漿	浆	tsɔŋ	44|陰平	
災	灾	tsai	44|陰平	
焦	焦	tsiɐu	44|陰平	異讀[t/ts][a/iɐu][44]文讀，乾：原書作「燋」。
煎	煎	tsɛŋ	44|陰平	
爭	争	tsaŋ	44|陰平	異讀[ts][aŋ/ɛŋ][44]
爭	争	tsɛŋ	44|陰平	異讀[ts][aŋ/ɛŋ][44]
玆	兹	tsou	44|陰平	
珠	珠	tsiu	44|陰平	異讀[ts][iu/u][44]單字讀，目珠：眼睛
珠	珠	tsu	44|陰平	異讀[ts][iu/u][44]單字讀，目珠：眼睛
甎	砖	tsɔŋ	44|陰平	
盅	盅	tsyŋ	44|陰平	
真	真	tsiŋ	44|陰平	
睛	睛	tsiŋ	44|陰平	眼睛
租	租	tsu	44|陰平	
章	章	tsɔŋ	44|陰平	
箏	筝	tsɛŋ	44|陰平	
箴	箴	tsim	44|陰平	
精	精	tsaŋ	44|陰平	
糟	糟	tsau	44|陰平	
終	终	tsyŋ	44|陰平	
縱	纵	tsuŋ	44|陰平	縱橫
肢	肢	tsi	44|陰平	
脂	脂	tsi	44|陰平	
臻	臻	tsɛŋ	44|陰平	
舂	舂	tsyŋ	44|陰平	
芝	芝	tsi	44|陰平	
莊	庄	tsɔŋ	44|陰平	
蒸	蒸	tsiŋ	44|陰平	
裝	装	tsɔŋ	44|陰平	
諸	诸	tsy	44|陰平	
資	资	tsu	44|陰平	
贓	赃	tsɔŋ	44|陰平	
蹤	踪	tsuŋ	44|陰平	
蹲	蹲	tsɔŋ	44|陰平	
遭	遭	tsɔ	44|陰平	異讀[ts][ɔ][22/44]遭殃，遭遇
遮	遮	tsɛ	44|陰平	
鄒	邹	tsiɐu	44|陰平	姓
針	针	tsɛm	44|陰平	
錐	锥	tsui	44|陰平	
鐘	钟	tsyŋ	44|陰平	
騣	鬃	tsœŋ	44|陰平	
髒	脏	tsaŋ	44|陰平	
齋	斋	tsɛ	44|陰平	
侵	侵	tsʰim	44|陰平	
倉	仓	tsʰɔŋ	44|陰平	
