#汉字	音标	解释
#来源	/	林德威《Problems in Comparative Chinese Dialectology》
#声调	/	1阴平34 2阳平32 3阴上21ʔ 5阴去23 6阳去阴入455 8阳上阳入53ʔ
牶	kye5	牛鼻木
建	kye5	
磕	kʰieʔ3	训，用石头敲开
盖	kʰie5	训，盖住食物
缝	kʰie6	训，裂缝
穿	kʰye1	
传	kʰye2	
串	kʰye5	
劝	kʰye5	
眼	ɲiəʔ3	龙~
言	ŋye2	
源	ŋye2	赖~：地名
软	ŋyeʔ3	
闲	hie2	
还	hie2	
苋	hie5	
船	fie2	
献	fie5	训，摆动
编	peɲ1	名词
编	peɲʔ8	动词
变	peɲ5	
骗	pʰeɲ5	
棉	meɲ2	
面	meɲ6	麪
癫	teɲ1	
颠	teɲ1	
缠	teɲ2	
满	teɲʔ8	训，太满了
掂	teɲ5	
电	teɲ6	
天	tʰeɲ1	
添	tʰeɲ1	
□	tʰeɲ5	谷子的单位
拦	neɲ1	训，一种网
镰	ɲeɲ2	~铁：肝
链	neɲ6	
炼	neɲ6	
煎	tseɲ1	
□	tseɲ1	行贿，塞住瓶子
尖	tseɲ1	
钱	tseɲ2	
吮	tseɲʔ8	
箭	tseɲ5	
旋	tseɲ6	
贱	tseɲ6	
千	tsʰeɲ1	
浅	tsʰeɲʔ3	
蹭	tsʰeɲ5	训，刮下
鲜	tsʰeɲ1	
先	seɲ1	~生
线	seɲ5	
碱	keɲ1	草木灰
碱	keɲʔ3	
囝	keɲʔ3	
件	keɲʔ8	
□	pa1	用于忘记
饱	paʔ3	
豹	pa5	
泡	pʰa1	训，一~灯，一~花
刨	pa2	
泡	pʰa5	
鳔	pʰa5	
茅	ma2	
猫	ma1	
多	ta1	人称复数标记，几~：多少
打	taʔ3	普化说法中用
大	ta6	
拖	tʰia1	~鞋
脱	tʰue6	
凹	na5	训，凹陷
□	la2	用于蜘蛛
癞	la6	
焦	tsa1	训，干燥
爪	tsaʔ3	
笊	tsa5	
漈	tsia5	瀑布
寨	tsa6	
裁	tsʰa2	
炒	tsʰaʔ3	
𢲵	tsʰa5	搅拌
蔡	tsʰa5	姓，本地没有
铝	sa1	用于铝的传统名称
沙	sa1	
畲	sa2	人
阿	a1	亲属的前缀
拗	aʔ3	
铰	ka1	用剪刀剪，买布料
胶	ka1	
解	kaiʔ3	解毒
搅	kaʔ3	手臂的圆周运动
蚧	ka5	
筊	ka5	
个	ka6	
个	kai6	
教	ka5	
较	ka5	
跤	kʰa1	脚
敲	kʰa5	
