#符号说明：-白=文/书*俗?待考		
#调值	[1]44 [2]22 [3]213 [5]42 [0]轻声	
声韵	调	字
tʂʰuɑŋ	22	床幢
tʂʰuei	22	垂锤捶
tsʰɿ	22	词辞磁慈祠
tsʰuŋ	22	从丛
tsʰuən	22	存
tsʰuan	22	攒
pa	44	叭芭八巴
ku	44	咕沽姑箍菇
tɕi	44	讥叽畸机箕
kʰɤ	44	坷苛科磕棵
tɕʰi	44	七妻期欺漆
ʂu	44	书叔殊输舒
ɕi	44	西吸夕熄稀
iɑɤ	44	妖腰邀
iŋ	44	英应鹰樱
pɑɤ	213	宝保饱
piŋ	213	丙饼秉禀
tʂʰu	213	楚础储
tuŋ	213	懂董
fu	213	斧府釜腐
ku	213	古谷股鼓
tɕi	213	己挤济脊
tɕiɑŋ	213	讲奖桨
pa	42	爸霸坝罢
pei	42	贝备背倍被辈
pi	42	必毕币闭毙碧
tʂʰɑŋ	42	怅唱畅倡
tai	42	代带袋戴怠
tɑɤ	42	到道稻盗悼
fəŋ	42	奉凤缝
kuei	42	柜贵桂跪
tʂɑŋ	213	庄{张各~，常各~}
kuan	44	欢{~套}
ku	42	鼓{~楼庄}
tɕiɛn	22	甄{~家庄}
pəŋ	42	奔{~各庄}
tɕʰiɛ	22	屈{~庄}
ʂuei	213	帅{~甲河}
ɕia	22	夏{~庄}
xa	213	孩{~儿屯}
tʂən	22	郑{~各庄}
kuei	213	国-{~各庄}
lɤ	42	骆络
kʰɤ	42	阔括廓扩
niɛn	42	酽
kɑŋ	44	缰
ʐan	44	腌
ʐɑŋ	22	扬
nəŋ	44	扔
iɑɤ	22	淆
ɕiɑɤ	42	酵
tɕʰia	213	卡
lei	213	馁
piɛ	44	爹
ka	22	剌
kai	44	秸
ʂuɤ	213	所
pʰiŋ	42	聘
nəŋ	42	泞{~泥}
nan	213	奶{老~子}
liɛ	42	厉{~害}
lin	213	领
tei	213	逮
mei	22	靡糜
mi	42	昧墨
liɤu	213	缕
tɕʰiɤu	213	取
ɕiɛ	213	血
ka	44	疙
sei	44	塞{~结实}
tɕʰiɛ	213	起{~来}
tɕiɛ	213	隔-{~壁}
xɤ	44	或
xɤ	42	豁
xɑɤ	42	鹤
kɑɤ	44	搁
pɤ	22	菠
fu	22	敷
tuɤ	22	咄
tʂuɤ	22	卓
suei	22	虽
pʰei	22	胚
ni	22	妮
lɑɤ	22	捞
ʂu	22	蔬
su	22	速
i	22	医懿
mɑɤ	22	猫
fan	22	藩
tsʰuən	22	村
ʋa	22	挖
tsʰuŋ	44	丛
fu	44	辐芙
kɤ	44	隔=
tɕi	44	疾吉级
tʰuei	44	颓
i	44	宜
tʂu	44	竹
tʂʰɑɤ	44	巢
tɕia	44	夹
tɕiɛ	44	结
tɕʰiɛn	44	黔
ʐəŋ	44	仍
tsʰuɤ	44	挫
sa	44	萨
ʂu	44	束
su	44	簌
pʰɤ	213	颇
kɑɤ	213	睾
tʂʅ	213	汁脂职质
tʰuan	213	湍
fu	213	肤福幅匐符蝠附复腹覆
kuɤ	213	郭国=帼虢
ʋan	213	蜿
piɛ	213	蹩
tsʰan	213	惭残
tʂʰəŋ	213	惩
kɤ	213	阁
pʰi	213	脾
tɕʰi	213	祈
ɕi	213	袭媳
tɕi	213	瘠鲫
tɕia	213	夹
tɕiɛ	213	节
fɑŋ	213	防
iɑŋ	213	疡
ʐu	213	蠕
tɤ	213	得
pʰu	213	仆
ku	213	骨
tɑɤ	213	悼
tɕiɑɤ	213	较
ʂʅ	213	室
suei	213	隧
lɤ	213	勒
ka	213	嘎
tɑŋ	213	档
tsʰan	213	灿
fa	213	发
xuən	213	混
ia	213	亚
kʰai	213	忾
tsai	213	载
tʰei	44	忒{很}
tʂʰua	44	欻{~达：锻炼}
fən	42	氛
kuei	42	瑰
kʰuei	42	窥
ku	42	姑
tɕi	42	激稽棘嫉籍即
tɕʰi	42	戚
ɕi	42	惜昔悉
suɤ	42	缩
tʂʰʅ	42	持
fa	42	乏
tsɤ	42	则
tʂu	42	烛逐
niŋ	42	凝
tʂəŋ	42	乘
tu	42	牍读
liɤu	42	馏
tʂʅ	42	植殖
piɛ	42	别
ʂʅ	42	识
tʂuɤ	42	浊
