					#调值 [1]33 [2]213 [3]44 [5]45 [6]21 [7]24
牌	p	ɛ	213		
买	m	ɛ	44		
卖	m	ɛ	45		
柴	ts	ɛ	213		
晒	s	ɛ	45		
街	k	ɛ	33		
解	k	ɛ	44		
鞋	x	ɛ	213		
蟹	x	ɛ	44		
矮	ŋ	ɛ	44		
败	p	ɛ	21		
币	p	ei	45		
制	ts	ɿ	45		
世	s	ɿ	45		
艺	Ǿ	i	45		
米	m	i	44		
低	t	i	33		
梯	tʰ	ei	33		
剃	tʰ	i	45		
弟	t	i	21		
递	t	i	45		
泥	n	i	213		
犁	n	i	213		
西	ɕ	i	33		
洗	ɕ	i	44		
鸡	tɕ	i	33		
溪	tɕʰ	i	33		
契	tɕʰ	i	45		
系	ɕ	i	45		
杯	p	ei	33		
配	pʰ	ei	45		
赔	p	ei	213		
背	p	ei	21		
煤	m	ei	213		
妹	m	ei	21		
对	t	ei	45		
雷	n	ei	213		
罪	ts	ei	21		
碎	s	ei	45		
灰	x	ui	33		
回	x	ui	213		
外	Ǿ	uɛ	21		
会	x	ui	21		
怪	k	uɛ	45		
块	kʰ	uɛ	44		
怀	x	uɛ	213		
坏	x	uɛ	21		
拐	k	uɛ	44		
挂	k	ua	45		
歪	Ǿ	uɛ	33		
画	x	ua	21		
快	kʰ	uɛ	45		
话	x	ua	21		
岁	s	ei	45		
卫	Ǿ	ui	45		
肺	x	ui	45		
桂	k	ui	45		
碑	p	ei	33		
皮	p	i	213		
被	p	ei	21		
紫	ts	ɿ	44		
刺	tsʰ	ɿ	45		
知	ts	ɿ	33		
池	ts	ɿ	213		
纸	ts	ɿ	44		
儿	Ǿ	ᴇ	213		
寄	tɕ	i	45		
骑	tɕ	i	213		
蚁	Ǿ	i	21		
义	Ǿ	i	45		
戏	ɕ	i	45		
移	Ǿ	i	213		
比	p	i	44		
屁	pʰ	i	45		
鼻	p	i	24		
眉	m	ei	213		
地	t	i	21		
梨	n	i	213		
资	ts	ɿ	33		
死	s	ɿ	44		
四	s	ɿ	45		
迟	ts	ɿ	213		
师	s	ɿ	33		
指	ts	ɿ	44		
二	Ǿ	ᴇ	21		
饥	tɕ	i	33		
器	tɕʰ	i	45		
姨	Ǿ	i	213		
李	n	i	44		
子	ts	ɿ	44		
字	ts	ɿ	21		
丝	s	ɿ	33		
祠	ts	ɿ	213		
寺	ts	ɿ	21		
治	ts	ɿ	45		
柿	s	ɿ	21		
事	s	ɿ	21		
使	s	ɿ	44		
试	s	ɿ	45		
时	s	ɿ	213		
市	s	ɿ	21		
耳	Ǿ	ᴇ	44		
记	tɕ	i	45		
棋	tɕ	i	213		
喜	ɕ	i	44		
意	Ǿ	i	45		
几	tɕ	i	44		
气	tɕʰ	i	45		
希	ɕ	i	33		
衣	Ǿ	i	33		
嘴	ts	ui	44		
随	ts	ei	213	白	
随	s	ei	213	文	
吹	tsʰ	ui	33		
垂	ts	ui	213		
规	k	ui	33		
亏	kʰ	ui	33		
跪	kʰ	ui	44	白	
跪	k	ui	45	文	
危	Ǿ	ui	213		
类	n	ei	21		
醉	ts	ei	45		
追	ts	ui	33		
锤	ts	ui	213		
水	ɕ	y	44	白	
水	s	ui	44	文	
龟	k	ui	33		
季	tɕ	i	45		
柜	k	ui	21		
位	Ǿ	ui	21		
飞	x	ui	33		
费	x	ui	45		
肥	x	ui	213		
尾	Ǿ	ui	44		
味	Ǿ	ui	21		
鬼	k	ui	44		
贵	k	ui	45		
围	Ǿ	ui	213		
胃	Ǿ	ui	45		
宝	p	ɔ	44		
抱	p	ɔ	45		
毛	m	ɔ	213		
帽	m	ɔ	21		
刀	t	ɔ	33		
讨	tʰ	ɔ	44		
桃	t	ɔ	213		
道	t	ɔ	21	~理	
道	t	ɔ	45	一~桥	
脑	n	ɔ	44		
老	n	ɔ	44		
早	ts	ɔ	44		
灶	ts	ɔ	45		
草	tsʰ	ɔ	44		
糙	tsʰ	ɔ	45		
造	ts	ɔ	21		
嫂	s	ɔ	44		
高	k	ɔ	33		
靠	kʰ	ɔ	45		
熬	ŋ	ɔ	213		
好	x	ɔ	44		
号	x	ɔ	21		
包	p	ɔ	33		
饱	p	ɔ	44		
炮	pʰ	ɔ	45		
猫	m	ɔ	33		
闹	n	ɔ	21	热~	
闹	n	ɔ	45	闹~房	
罩	ts	ɔ	45		
抓	ts	ua	33		
找	ts	ɔ	44		
抄	tsʰ	ɔ	33		
交	tɕ	iɔ	33		
敲	kʰ	ɔ	33		
孝	ɕ	iɔ	45		
校	ɕ	iɔ	45		
表	p	iɔ	44		
票	pʰ	iɔ	45		
庙	m	iɔ	21		
焦	tɕ	iɔ	33		
小	ɕ	iɔ	44		
笑	ɕ	iɔ	45		
朝	ts	ɔ	213		
照	ts	ɔ	45		
烧	s	ɔ	33		
绕	z	ɔ	45		
桥	tɕ	iɔ	213		
轿	tɕ	iɔ	21		
腰	Ǿ	iɔ	33		
要	Ǿ	iɔ	45		
摇	Ǿ	iɔ	213		
鸟	n	iɔ	44		
钓	t	iɔ	45		
条	t	iɔ	213		
料	n	iɔ	21		
箫	ɕ	iɔ	33		
叫	tɕ	iɔ	45		
母	m	ʊ	44		
抖	t	əu	44		
偷	tʰ	əu	33		
头	t	əu	213		
豆	t	əu	21		
楼	n	əu	213		
走	ts	əu	44		
凑	tsʰ	əu	45		
钩	k	əu	33		
狗	k	əu	44		
够	k	əu	45		
口	kʰ	əu	44		
藕	ŋ	əu	44		
后	x	əu	21		
厚	x	əu	21		
富	x	u	45		
副	x	u	45		
浮	x	u	213		
妇	x	u	45		
流	n	iəu	213		
酒	tɕ	iəu	44		
修	ɕ	iəu	33		
袖	ɕ	iəu	45		
抽	tsʰ	əu	33		
绸	ts	əu	213		
愁	ts	əu	213		
瘦	s	əu	45		
州	ts	əu	33		
臭	tsʰ	əu	45		
手	s	əu	44		
寿	s	əu	21		
九	tɕ	iəu	44		
球	tɕ	iəu	213		
舅	tɕ	iəu	45		
旧	tɕ	iəu	21		
牛	n	iəu	213		
休	ɕ	iəu	33		
优	Ǿ	iəu	33		
有	Ǿ	iəu	44		
右	Ǿ	iəu	21	白	
右	Ǿ	iəu	45	文	
油	Ǿ	iəu	213		
丢	t	iəu	33		
幼	Ǿ	iəu	45		
贪	tʰ	æ̃	33		
潭	t	æ̃	213		
南	n	æ̃	213		
蚕	ts	æ̃	213		
感	k	æ̃	44		
含	x	æ̃	213		
暗	ŋ	æ̃	21		
搭	t	a	24		
踏	tʰ	a	24		
拉	n	a	33		
杂	ts	a	24		
鸽	k	o	24		
盒	x	o	24		
胆	t	æ̃	44		
毯	tʰ	æ̃	44		
淡	t	æ̃	21		
蓝	n	æ̃	213		
三	s	æ̃	33		
甘	k	æ̃	33		
敢	k	æ̃	44		
喊	x	æ̃	44		
塔	tʰ	a	24		
蜡	n	a	24		
赚	ts	uæ̃	21		
杉	s	a	33		
减	tɕ	iɪ̃	44		
咸	x	æ̃	213		
插	tsʰ	a	24		
闸	ts	a	24		
夹	k	a	24		
衫	s	æ̃	33		
监	tɕ	iɪ̃	33		
甲	tɕ	ia	24		
鸭	ŋ	a	24		
黏	n	iɪ̃	213		
尖	tɕ	iɪ̃	33		
签	tɕʰ	iɪ̃	33		
占	ts	æ̃	45		
染	Ǿ	yɪ̃	44		
钳	tɕ	iɪ̃	213		
验	n	iɪ̃	45		
险	ɕ	iɪ̃	44		
厌	Ǿ	iɪ̃	45		
炎	Ǿ	iɪ̃	213		
盐	Ǿ	iɪ̃	213		
接	tɕ	iᴇ	24		
折	ts	ᴇ	24		
叶	Ǿ	iᴇ	24		
剑	tɕ	iɪ̃	45		
欠	tɕʰ	iɪ̃	45		
严	n	iɪ̃	213		
业	n	iᴇ	24		
点	t	iæ̃	44	白	
点	t	iɪ̃	44	文	
店	t	iɪ̃	45		
添	tʰ	iɪ̃	33		
甜	t	iɪ̃	213		
念	n	iɪ̃	21	白	
念	n	iɪ̃	45	文	
嫌	ɕ	iɪ̃	213		
跌	t	iᴇ	24		
贴	tʰ	iᴇ	24		
碟	t	iᴇ	24		
协	ɕ	iᴇ	24		
犯	x	uæ̃	21		
法	x	ua	24		
品	pʰ	iən	44		
林	n	iən	213		
浸	tɕʰ	iən	45		
心	ɕ	iən	33		
寻	tɕ	iən	213		
沉	ts	ən	213		
参	s	ən	33		
针	ts	ən	33		
深	s	ən	33		
任	z	ən	45		
金	tɕ	iən	33		
琴	tɕ	iən	213		
音	Ǿ	iən	33		
立	n	i	24		
集	tɕ	i	24		
习	ɕ	i	24		
汁	ts	ɿ	24		
十	s	ɿ	24		
入	Ǿ	y	24		
急	tɕ	i	24		
及	tɕ	i	24		
吸	ɕ	i	24		
单	t	æ̃	33		
炭	tʰ	æ̃	45		
弹	t	æ̃	213		
难	n	æ̃	213		
兰	n	æ̃	213		
懒	n	æ̃	44		
烂	n	æ̃	21		
伞	s	æ̃	44		
肝	k	æ̃	33		
看	kʰ	æ̃	45		
岸	ŋ	æ̃	21		
汉	x	æ̃	45		
汗	x	æ̃	21		
安	ŋ	æ̃	33		
达	t	a	24		
辣	n	a	24		
擦	tsʰ	a	24		
割	k	ᴇ	24		
渴	kʰ	o	24		
扮	p	æ̃	45		
办	p	æ̃	21		
铲	tsʰ	æ̃	44		
山	s	æ̃	33		
产	tsʰ	æ̃	44		
间	k	æ̃	33		
眼	ŋ	æ̃	44		
限	ɕ	iɪ̃	45		
八	p	a	24		
扎	ts	a	24		
杀	s	a	24		
班	p	æ̃	33		
板	p	æ̃	44		
慢	m	æ̃	21		
奸	tɕ	iɪ̃	33		
颜	Ǿ	iɪ̃	213		
瞎	x	a	24		
变	p	iɪ̃	45		
骗	pʰ	iɪ̃	45		
便	p	iɪ̃	21		
棉	m	iɪ̃	213		
面	m	iɪ̃	21		
连	n	iɪ̃	213		
剪	tɕ	iɪ̃	44		
浅	tɕʰ	iɪ̃	44		
钱	tɕ	iɪ̃	213		
鲜	ɕ	iɪ̃	33		
线	ɕ	iɪ̃	45		
缠	ts	æ̃	213		
战	ts	æ̃	45		
扇	s	iɪ̃	45		
善	s	iɪ̃	45		
件	tɕ	iɪ̃	21	白	
件	tɕ	iɪ̃	45	文	
延	Ǿ	iɪ̃	213		
别	p	iᴇ	24		
灭	m	iᴇ	24		
列	n	iᴇ	24		
撤	tsʰ	ᴇ	24		
舌	s	ei	45		
设	s	ᴇ	24		
热	Ǿ	yᴇ	24		
杰	tɕ	iᴇ	24		
孽	n	iᴇ	24		
建	tɕ	iɪ̃	45		
健	tɕ	iɪ̃	45		
言	Ǿ	iɪ̃	213		
歇	ɕ	iᴇ	24		
扁	p	iɪ̃	44		
片	pʰ	iɪ̃	45		
面	m	iɪ̃	21		
典	t	iɪ̃	44		
天	tʰ	iɪ̃	33		
田	t	iɪ̃	213		
垫	t	iɪ̃	21		
年	n	iɪ̃	213		
莲	n	iɪ̃	213		
前	tɕ	iɪ̃	213		
先	ɕ	iɪ̃	33		
肩	tɕ	iɪ̃	33		
见	tɕ	iɪ̃	45		
牵	tɕʰ	iɪ̃	33		
显	ɕ	iɪ̃	44		
现	ɕ	iɪ̃	21		
烟	Ǿ	iɪ̃	33		
憋	p	iᴇ	24		
篾	m	iᴇ	24		
铁	tʰ	iᴇ	24		
捏	n	iᴇ	24		
节	tɕ	iᴇ	24		
切	tɕʰ	iᴇ	24		
截	tɕ	iᴇ	24		
结	tɕ	iᴇ	24		
搬	p	õ	33		
半	p	õ	45		
判	pʰ	õ	45		
盘	p	õ	213		
满	m	õ	44		
端	t	õ	33		
短	t	õ	44		
断	t	õ	21		
暖	n	õ	44		
乱	n	õ	21		
酸	s	õ	33		
算	s	õ	45		
官	k	õ	33		
宽	kʰ	õ	33		
欢	x	õ	33		
完	Ǿ	õ	213	白	
完	Ǿ	yɪ̃	213	文	
换	x	õ	21		
碗	Ǿ	õ	44		
拨	p	o	24		
泼	pʰ	ᴇ	24	白	
泼	pʰ	o	24	文	
末	m	ᴇ	24	白	
末	m	o	24	文	
脱	tʰ	o	24		
夺	t	o	24		
阔	kʰ	o	24		
活	x	o	24		
顽	Ǿ	uæ̃	213		
滑	x	ua	24		
挖	Ǿ	ua	24		
闩	s	uæ̃	33		
关	k	uæ̃	33		
惯	k	uæ̃	45		
还	x	uæ̃	213		
还	x	a	213		
弯	Ǿ	uæ̃	33		
刷	s	ua	24		
刮	k	ua	24		
全	tɕ	yɪ̃	213		
选	ɕ	yɪ̃	44		
转	tɕ	yɪ̃	44		
传	tɕ	yɪ̃	213		
传	tɕ	yɪ̃	45		
砖	tɕ	yɪ̃	33		
船	tɕ	yɪ̃	213		
软	Ǿ	yɪ̃	44		
卷	tɕ	yɪ̃	44		
圈	tɕʰ	yɪ̃	33		
权	tɕ	yɪ̃	213		
圆	Ǿ	yɪ̃	213		
院	Ǿ	yɪ̃	45		
铅	kʰ	æ̃	33		
绝	tɕ	yᴇ	24		
雪	ɕ	iᴇ	24		
反	f	æ̃	44		
翻	x	uæ̃	33		
饭	x	uæ̃	21		
晚	m	æ̃	44	白	
晚	Ǿ	uæ̃	44	文	
万	Ǿ	uæ̃	21		
劝	tɕʰ	yɪ̃	45		
原	Ǿ	yɪ̃	213		
冤	Ǿ	yɪ̃	33		
园	Ǿ	yɪ̃	213		
远	Ǿ	yɪ̃	44		
发	x	ua	24		
罚	x	ua	24		
袜	Ǿ	ua	24		
月	Ǿ	yᴇ	24		
越	Ǿ	yᴇ	24		
县	ɕ	iɪ̃	21		
决	tɕ	yᴇ	24		
缺	tɕʰ	yᴇ	24		
血	ɕ	iᴇ	24		
吞	tʰ	ən	33		
根	k	ən	33		
恨	x	ən	45		
恩	ŋ	ən	33		
贫	p	iən	213		
民	m	iən	213		
邻	n	iən	213		
进	tɕ	iən	45		
亲	tɕʰ	iən	33		
新	ɕ	iən	33		
镇	ts	ən	45		
陈	ts	ən	213		
震	ts	ən	45		
神	s	ən	213		
身	s	ən	33		
辰	ts	ən	213		
人	n	iən	213	白	
人	z	ən	213	文	
认	n	iən	21	白	
认	z	ən	21	文	
紧	tɕ	iən	44		
银	Ǿ	iən	213		
印	Ǿ	iən	45		
引	Ǿ	iən	44		
笔	p	i	24		
匹	pʰ	i	33		
密	m	i	24		
栗	n	i	24		
七	tɕʰ	i	24		
侄	ts	ɿ	24		
虱	s	ᴇ	24		
实	s	ɿ	24		
失	s	ɿ	24		
日	n	i	24	~头。白	
日	z	ɿ	24	~本。文	
吉	tɕ	i	24		
一	Ǿ	i	24		
筋	tɕ	iən	33		
劲	tɕ	iən	45		
勤	tɕ	iən	213		
近	tɕ	iən	21		
隐	Ǿ	iən	44		
本	p	ən	44		
盆	p	ən	213		
门	m	ən	213		
墩	t	ən	33		
嫩	n	ən	21		
村	tsʰ	ən	33		
寸	tsʰ	ən	45		
蹲	t	ən	33		
孙	s	ən	33		
滚	k	uən	44		
困	kʰ	uən	45		
婚	f	ən	33		
魂	x	uən	213		
温	Ǿ	ən	33		
卒	ts	ᴇ	24		
骨	k	u	24		
轮	n	ən	213		
俊	tɕ	yən	45		
笋	s	ən	44		
准	tɕ	yən	44		
春	tɕʰ	yən	33		
唇	ɕ	iən	213		
顺	ɕ	yən	21	白	
顺	ɕ	yən	45	文	
纯	ɕ	yən	213		
闰	Ǿ	yən	21		
均	tɕ	yən	33		
匀	Ǿ	yən	213		
律	n	i	24		
出	tɕʰ	y	24		
橘	tɕ	y	24		
分	f	ən	33		
粉	f	ən	44		
粪	f	ən	45		
坟	x	uən	213		
蚊	m	ən	33	白	
蚊	Ǿ	uən	213	文	
问	Ǿ	uən	21		
军	tɕ	yən	33		
裙	tɕ	yən	213		
熏	ɕ	yən	33		
云	Ǿ	yən	213		
运	Ǿ	yən	21	白	
运	Ǿ	yən	45	文	
佛	f	u	24		
物	Ǿ	u	24		
帮	p	ɑŋ	33		
忙	m	ɑŋ	213		
党	t	ɑŋ	44		
汤	tʰ	ɑŋ	33		
糖	t	ɑŋ	213		
浪	n	ɑŋ	45		
仓	tsʰ	ɑŋ	33		
钢	k	ɑŋ	33		
糠	kʰ	ɑŋ	33		
薄	p	o	24		
摸	m	ʊ	33		
托	tʰ	o	24		
落	n	o	24		
作	ts	o	24		
索	s	o	24		
各	k	o	24		
鹤	x	o	24		
恶	Ǿ	o	24		
娘	n	iɑŋ	213		
两	n	iɑŋ	44		
亮	n	iɑŋ	21		
浆	tɕ	iɑŋ	33		
抢	tɕʰ	iɑŋ	44		
匠	tɕ	iɑŋ	21		
想	ɕ	iɑŋ	44		
像	tɕ	iɑŋ	21	白	
像	ɕ	iɑŋ	45	文	
张	ts	ɑŋ	33		
长	ts	ɑŋ	213		
装	ts	ɑŋ	33		
壮	ts	uɑŋ	45		
疮	tsʰ	ɑŋ	33		
床	ts	ɑŋ	213		
霜	s	uɑŋ	33		
章	ts	ɑŋ	33		
厂	tsʰ	ɑŋ	44		
唱	tsʰ	ɑŋ	45		
伤	s	ɑŋ	33		
尝	ts	ɑŋ	213		
上	s	ɑŋ	21		
让	z	ɑŋ	21		
姜	tɕ	iɑŋ	33		
响	ɕ	iɑŋ	44		
向	ɕ	iɑŋ	45		
秧	Ǿ	iɑŋ	33		
痒	Ǿ	iɑŋ	44		
样	Ǿ	iɑŋ	21		
雀	tɕʰ	yo	24		
削	ɕ	yo	24		
着	ts	o	24		
弱	n	yo	24		
脚	tɕ	yo	24		
约	Ǿ	yo	24		
药	Ǿ	yo	24		
光	k	uɑŋ	33		
慌	x	uɑŋ	33		
黄	Ǿ	uɑŋ	213		
郭	k	o	24		
霍	x	o	24		
方	f	ɑŋ	33		
放	x	uɑŋ	45		
纺	f	ɑŋ	44		
房	x	uɑŋ	213		
防	x	uɑŋ	213		
网	Ǿ	uɑŋ	44		
筐	kʰ	uɑŋ	33		
狂	k	uɑŋ	213		
王	Ǿ	uɑŋ	213		
旺	Ǿ	uɑŋ	45		
缚	f	u	45		
绑	p	ɑŋ	44		
胖	pʰ	ɑŋ	45		
棒	p	ɑŋ	45		
桩	ts	ɑŋ	33		
撞	ts	ɑŋ	21		
窗	tsʰ	ɑŋ	33		
双	s	uɑŋ	33		
江	tɕ	iɑŋ	33		
讲	k	ɑŋ	44		
降	ɕ	iɑŋ	213		
项	x	ɑŋ	45		
剥	p	o	24		
桌	ts	o	24		
镯	ts	o	24		
角	k	o	24		
壳	kʰ	o	24		
学	ɕ	yo	24		
握	Ǿ	u	24		
朋	p	ən	213		
灯	t	ən	33		
等	t	ən	44		
凳	t	ən	45		
藤	t	ən	213		
能	n	ən	213		
层	ts	ən	213		
僧	s	ən	33		
肯	kʰ	ən	44		
北	p	ᴇ	24		
墨	m	ᴇ	24		
得	t	ᴇ	24		
特	tʰ	ᴇ	24		
贼	ts	ᴇ	24		
塞	s	ᴇ	24		
刻	kʰ	ᴇ	24		
黑	x	ᴇ	24		
冰	p	iən	33		
证	ts	ən	45		
秤	tsʰ	ən	45		
绳	s	ən	213		
剩	s	ən	21		
升	s	ən	33		
兴	ɕ	iən	45		
蝇	Ǿ	iən	213		
逼	p	i	24		
力	n	i	24		
息	ɕ	i	24		
直	ts	ɿ	24		
侧	ts	ᴇ	24		
测	tsʰ	ᴇ	24		
色	s	ᴇ	24		
织	ts	ɿ	24		
食	s	ɿ	24		
式	s	ɿ	45		
极	tɕ	i	24		
国	k	uᴇ	24		
或	x	o	24		
猛	m	ən	44		
打	t	a	44		
冷	n	ən	44		
生	s	ən	33		
省	s	ən	44		
更	k	ən	33		
梗	k	ən	44		
坑	kʰ	ən	33		
硬	ŋ	ən	21		
行	ɕ	iən	213		
百	p	ᴇ	24		
拍	pʰ	ᴇ	24		
白	p	ᴇ	24		
拆	tsʰ	ᴇ	24		
择	ts	ᴇ	24		
窄	ts	ᴇ	24		
格	k	ᴇ	24		
客	kʰ	ᴇ	24		
额	ŋ	ᴇ	24		
棚	p	ən	213		
争	ts	ən	33		
耕	k	ən	33		
麦	m	ᴇ	24		
摘	ts	ᴇ	24		
策	tsʰ	ᴇ	24		
隔	k	ᴇ	24		
兵	p	iən	33		
柄	p	iən	45		
平	p	iən	213		
病	p	iən	21		
明	m	ən	213	~朝	
明	m	iən	213	清~	
命	m	iən	21		
镜	tɕ	iən	45		
庆	tɕʰ	iən	45		
迎	Ǿ	iən	213		
影	Ǿ	iən	44		
剧	tɕ	y	45		
饼	p	iən	44		
名	m	iən	213		
领	n	iən	44		
井	tɕ	iən	44		
清	tɕʰ	iən	33		
静	tɕ	iən	21	白	
静	tɕ	iən	45	文	
姓	ɕ	iən	45		
贞	ts	ən	33		
程	ts	ən	213		
整	ts	ən	44		
正	ts	ən	45		
声	s	ən	33		
城	ts	ən	213		
轻	tɕʰ	iən	33		
赢	Ǿ	iən	213		
积	tɕ	i	24		
惜	ɕ	i	24		
席	ɕ	i	24		
尺	tsʰ	ɿ	24		
石	s	ɿ	24		
益	Ǿ	i	24		
瓶	p	iən	213		
钉	t	iən	33		
顶	t	iən	44		
厅	tʰ	iən	33		
听	tʰ	iən	45		
停	t	iən	213		
挺	tʰ	iən	44		
定	t	iən	21		
零	n	iən	213		
青	tɕʰ	iən	33		
星	ɕ	iən	33		
经	tɕ	iən	33		
形	ɕ	iən	213		
壁	p	ia	24		
劈	pʰ	iᴇ	24		
踢	tʰ	i	24		
笛	t	i	24		
历	n	i	24		
锡	ɕ	i	24		
击	tɕ	i	24		
吃	tɕʰ	ia	24		
横	x	õ	213	白	
横	f	ən	213	文	
划	x	ua	45		
兄	ɕ	iən	33		
荣	Ǿ	iən	213		
永	Ǿ	yən	44		
营	Ǿ	iən	213		
蓬	p	ən	213		
东	t	ən	33		
懂	t	ən	44		
冻	t	ən	45		
通	tʰ	ən	33		
桶	tʰ	ən	44		
痛	tʰ	ən	45		
铜	t	ən	213		
动	t	ən	21		
洞	t	ən	21		
聋	n	ən	33		
弄	n	ən	45		
粽	ts	ən	45		
葱	tsʰ	ən	33		
送	s	ən	45		
公	k	ən	33		
孔	kʰ	ən	44		
烘	x	ən	33		
红	x	ən	213		
翁	ŋ	ən	33		
木	m	o	24		
读	t	əo	24		
鹿	n	əo	24		
族	tsʰ	əo	24		
谷	k	u	24		
哭	kʰ	u	24		
屋	Ǿ	u	24		
冬	t	ən	33		
统	tʰ	ən	44		
脓	n	ən	213		
松	s	ən	33		
宋	s	ən	45		
毒	t	əo	24		
风	x	ən	33		
丰	f	ən	33		
凤	f	ən	45		
梦	m	ən	21		
中	ts	ən	33		
虫	ts	ən	213		
终	ts	ən	33		
充	tsʰ	ən	33		
宫	k	ən	33		
穷	tɕ	iən	213		
熊	ɕ	iən	213		
雄	ɕ	iən	213		
福	x	u	24		
服	x	u	24		
目	m	o	24		
六	n	əo	24		
宿	s	əo	24		
竹	ts	əo	24		
畜	tsʰ	əo	24		
缩	s	əo	24		
粥	ts	əo	24		
叔	s	əo	24		
熟	s	əo	24		
肉	n	iəo	24		
菊	tɕ	y	24		
育	Ǿ	y	24		
封	x	ən	33		
蜂	x	ən	33		
缝	x	ən	21		
浓	n	ən	213		
龙	n	ən	213		
松	ts	ən	213		
重	ts	ən	21		
肿	ts	ən	44		
种	ts	ən	45		
冲	tsʰ	ən	33		
恭	k	ən	33		
共	k	ən	21		
凶	ɕ	iən	33		
拥	Ǿ	iən	33		
容	Ǿ	iən	213		
用	Ǿ	iən	21		
绿	n	əo	24		
足	ts	əo	24		
烛	ts	əo	24		
赎	s	əo	24		
属	s	əo	24		
曲	tɕʰ	yo	24		
局	tɕ	y	24		
玉	Ǿ	y	45		
浴	Ǿ	y	45		
