	註釋：-白讀，=文讀																		
k	[1]歌哥高膏糕羔蒿皋篙[2]□{捉魚器}[3]稿搞縞皜[5]告筶{～杯}誥																		
kʰ	[1]軻柯苛坷舸[2]□{硬物撞身}[3]可考烤洘[5]靠銬烤魺																		
ŋ	[2]蛾俄鵝=熬娥峨敖遨聱嗷翱[3]我=[6]餓傲鏊鼇																		
h	[2]何荷毫豪嚎壕[3]好{～壞}[5]好{喜好}耗[6]號賀皓灝浩吳																		
∅	[1]阿{～膠}痾[2]河[3]襖媼[5]懊奧澳嶴																		
#o																			
p	[3]斧[5]簸																		
pʰ	[5]破																		
m	[2]魔摩磨{～刀}麻{油～：芝麻}痳{出～：出麻疹}嘛																		
w	[2]蛙哇窪[6]話畫瓦																		
t	[3]舵=朵-{耳～}[6]大-舵-																		
tʰ	[1]拖																		
n	[2]挪娜																		
l	[2]籮[5]瀨																		
ts	[1]抓																		
s	[1]沙-砂-鯊[3]耍																		
k	[1]瓜□{拿近}[3]寡剮[5]卦掛褂																		
kʰ	[1]誇跨[5]靠																		
ŋ	[3]我-																		
h	[1]花[2]華樺嘩鏵驊[5]化																		
#i																			
p	[1]□{另加}笓[2]枇琵啤{～酒}□{～βɔ22 βeik5：蝙蝠}[3]比彼妣匕□{用手指指}[5]蔽臂轡閉{～氣}秘[6]避{～難}																		
pʰ	[1]批{蜀～，～評}披菲邳丕砒[3]鄙匪-缶疕{痂}痞□{小氣}																		
m	[2]糜靡彌[3]米美																		
t	[2]池儲{～蓄}[3]抵=牴=裏-邸砥[5]□{滴}[6]弟-																		
tʰ	[2]啼-[3]恥扯[5]剃																		
n	[1]□{歪}[3]女汝{你}[5]呢																		
l	[2]離籬璃漓[3]呂李娌裏=理鯉旅履俚狸=侶縷膂[5]濾□{下來}[6]例離{～開}																		
ts	[1]支肢脂之芝吱梔[3]主水紫姊只禇旨指=止煮址咫枳芷子-恥祉黹止[5]制祭際掣瘵																		
tsʰ	[3]矢取齒=侈豕鼠杵[5]翅企刺熾幟霽																		
s	[1]施些[2]匙[3]死始黍署屎=暑舐[5]世勢[6]誓逝豉嗜噬																		
k	[1]雞羈{～帶}規稽{會～}健圭閨畦[2]茄{～子}[3]舉己幾紀矩麂杞[5]桂計繼季悸																		
kʰ	[1]稽窺[3]啟豈起齒-企[5]契憩																		
ŋ	[3]耳=語擬禦[6]藝義議囈羿詣誼毅																		
h	[1]嘻[2]奚兮兒攜[3]許喜栩詡[5]肺費戲廢[6]系惠慧蕙系																		
j	[3]與愈予[5]□{花萎}																		
∅	[1]儼[3]倚椅已綺以雨=宇羽禹[6]縊																		
#u																			
p	[1]晡鋪[2]葡蒲菩莆匍[3]補[5]布怖播{～田}[6]部簿步埠{～頭}鋪																		
pʰ	[1]捕鋪脯{胸～}埔哺[3]普甫脯{杏～}浦圃譜鋪殕[5]鋪{十華里}																		
m	[1]摸[2]模摹[3]某姥母=牳[5]墓[6]暮慕募戊瞙																		
w	[1]媧窩蝸渦[3]武舞撫憮侮鵡嫵廡[6]芋																		
t	[2]廚屠[3]躲賭睹堵朵=肚-垛覩[6]墿{路}																		
tʰ	[3]土=																		
l	[2]嚕[3]魯櫓裹虜擄鹵																		
ts	[1]珠朱硃銖[3]子=組阻主-齟徂沮殂祖梓俎[5]註注蛀-鑄[6]祚																		
tsʰ	[3]此楚=[5]厝																		
s	[1]輸[3]史使=駛=死=																		
k	[1]撾瘸咕鍋[3]古果估瞽股鼓詁䀇賈{商～}盅菓牯[5]過句																		
kʰ	[1]窠科戈蝌[3]苦顆[5]課髁																		
ŋ	[2]訛[3]伍午仵五=[6]臥誤悟晤寤																		
h	[1]靴麩[2]和禾[3]虎府俯腑斧釜琥滸[5]貨[6]禍雨-和{～詩}																		
#ai																			
p	[2]誹徘[3]擺=跛[5]拜湃[6]敗																		
pʰ	[5]派																		
m	[2]埋霾[5]□{不好}[6]邁																		
t	[1]呆[2]臺□{米蟲，米～}埋[5]戴=帶碓[6]大=貸怠殆代=埭玳待																		
tʰ	[1]梯胎颱篩-苔=抬[2]治{殺}[3]腿[5]太泰態汰																		
n	[3]乃迺[6]耐奈柰鼐																		
l	[2]來=雷-[5]□{磨}[6]賴籟癩																		
ts	[1]災哉栽[2]財才材裁豺臍-{腹～}[3]宰載{五～}[5]再債載[6]在寨																		
tsʰ	[1]猜釵[2]才{剛～}攙[3]彩睬采[5]菜蔡碎																		
s	[1]腮獅腮私-{～家}師-{～傅}崽[3]屎-使-駛-[5]曬灑使{大～}																		
k	[1]該皆階偕喈賅頦[3]改[5]界尬戒蓋丐芥誡屆溉																		
kʰ	[1]開=[3]楷凱愷覬揩皚[5]概慨溉																		
ŋ	[1]獃{～板}[2]歹{壞}涯崖[3]芥介艾=[6]礙																		
h	[1]唉[2]駭□{陶瓷器}瓷{訓}骸孩諧[3]海[6]害械懈亥邂																		
∅	[1]哀埃挨=哎[3]倚矮=藹靄[5]愛隘																		
#ei																			
p	[1]卑碑悲[2]脾枇琵毗[5]秘泌痺庇祕毖[6]弊蓖被=備婢篦陛幣憊																		
pʰ	[1]菲{～薄}[2]疲皮=裴肥=[3]呸[5]譬鼻-{～涕}屁=																		
m	[2]微薇迷=謎遺惟唯維眉楣[5]媚迷寐[6]未=味-																		
w	[6]味=																		
t	[1]知蜘[2]遲[5]寘智致蒂置戴-稚[6]地治痔雉稚莉																		
tʰ	[1]黐[2]提堤=持苔-																		
n	[2]呢[5]餌[6]二膩貳																		
l	[2]梨狸-來-[5]利[6]利{銳～}痢吏																		
ts	[5]志至痣誌[6]字																		
tsʰ	[1]雌癡嗤[3]鴟[5]飼{飼養}[6]市																		
s	[1]詩司絲屍[2]時糍[5]肆四試[6]是																		
k	[1]基饑枝-機譏幾{～乎}肌乩[2]旗奇其琦琪期棋祺麒祈[5]記既[6]妓技忌																		
kʰ	[1]欺欹[2]騎-䗁[5]器棄汽氣[6]柿																		
ŋ	[2]宜疑儀凝[6]耳-																		
h	[1]妃飛=犧希稀非姬菲{人名}[5]□{那裏}																		
∅	[1]醫衣依伊[2]移夷姨荑怡貽痍迤[5]意億蕙噫瞖懿憶臆[6]易{容～}異肆																		
#øi																			
p	[2]肥-[5]沸痱[6]吠-																		
pʰ	[5]屁-呸																		
w	[2]圍桅為違韋帷闈[6]位胃謂蝟為{因～}																		
t	[1]豬追誅蛛[2]除儲躇蜍貯搥捶[3]短-[5]著綴[6]隊縋箸墜																		
tʰ	[2]鋤槌錘[3]腿=[5]贅墜																		
n	[2]□{踩}[3]餒[5]□{伸手}[6]□{豐端}																		
l	[2]騾閭嫘[3]儡{傀～，小孩}[6]類淚累慮																		
ts	[1]書諸株錐侏鵻{斑～}[5]醉漬[6]柱=住-聚焠萃注粹																		
tsʰ	[1]趨芻[3]髓[5]處娶趣																		
s	[1]舒須需胥紓[2]徐隨隋誰垂薯殊陲[5]絮穗庶恕戍[6]序豎敘緒樹=暑嶼遂瑞																		
k	[1]居龜歸駒拘車=皈饑-[2]逵葵臒渠佢瞿衢鴝[5]貴鋸據倨裾踞=遽[6]跪巨距拒具櫃懼匱俱颶																		
kʰ	[1]開-區驅虧樞軀嶇[2]□{等一下}[5]愧瑰膭[6]潰{崩～}																		
ŋ	[2]危魚愚=虞娛漁禺隅巍喁嵬[6]遇寓偽魏禦馭																		
h	[1]虛噓墟暉輝揮籲[5]緯諱喟酗煦[6]卉																		
j	[2]餘如榆愉茹俞萸覦腴儒逾諛孺予[6]與{參～}譽預裕喻諭																		
∅	[1]威喂崴[5]畏慰尉蔚餵																		
#ɔi																			
t	[1]堆[2]頹[5]塊-兌[6]代-袋-兌																		
tʰ	[1]推[5]退[6]內																		
l	[2]腡螺-雷=蕾擂[6]擂錑																		
ts	[5]最晬{嬰兒周歲}[6]罪																		
tsʰ	[1]催崔摧璀[5]碎莝																		
s	[1]衰簑縗[5]賽帥塞{邊～}碎[6]坐-																		
kʰ	[1]奎魁盔																		
#au																			
p	[1]苞包[2]胞庖[5]豹鮑齙																		
pʰ	[1]枹{柚子}柚{訓}拋[2]跑脬=[5]泡炮砲[6]雹泡{燈～}																		
m	[2]茅矛錨蟊[6]貌																		
t	[1]兜橷[2]投骰[5]罩晝{日頭～}[6]豆-痘荳脰																		
tʰ	[1]偷-[2]頭-[5]透-																		
n	[3]撓[6]鬧□{端部}																		
l	[2]流-樓-劉留-[5]□{伸}[6]漏-老-																		
ts	[1]糟[2]巢剿[3]找=[5]灶																		
tsʰ	[1]操抄鈔[3]吵=[5]臭-																		
s	[1]捎梢艄[2]□{用手攏物}[3]稍[5]掃-哨嗽																		
k	[1]交郊勾-鉤-溝-鉸=[2]猴[5]教=較校{～對}夠-媾-窖攪[6]厚-																		
kʰ	[1]鬮[2]摳[5]號																		
ŋ	[2]肴淆爻聱[3]咬=[6]藕																		
h	[1]薅[5]酵孝=哮[6]校效																		
∅	[1]凹[2]□{哭}[5]拗[6]後-																		
#ɛu																			
p	[2]掊																		
pʰ	[2]浮=蜉																		
m	[2]謀眸牟[6]茂貿懋																		
t	[1]雕凋碉[2]條愁[5]吊鬥{～爭}[6]豆=竇																		
tʰ	[5]透=																		
l	[2]樓=摟撩-髏萎婁僂螻[5]遛[6]料=漏-廖陋蓼瘻																		
ts	[1]鄒諂諏[5]奏皺縐[6]驟																		
tsʰ	[1]搊[5]湊																		
s	[1]搜餿[2]稠{均勻}[3]艘[5]瘦臭=																		
k	[1]膠=溝=勾=艽{秦～}鉤=篝[5]彀夠=構購媾																		
kʰ	[1]摳剾[5]叩扣寇																		
h	[1]痚[2]侯喉猴=[6]厚=后=後=逅吼候																		
∅	[1]歐謳鷗甌區{姓}[5]嫗																		
#eu																			
pʰ	[3]否剖殍缶																		
m	[3]畝牡[6]繆																		
t	[1]丟啁[2]櫥[3]鬥=陡抖[5]晝=宙[6]紂住-稻胄																		
tʰ	[1]抽[2]調{～和}綢籌稠儔疇躊[5]抽{對～}[6]柱-																		
n	[2]揉																		
l	[1]溜餾[2]流=留=硫琉榴蜆{訓，～子}[3]簍																		
ts	[1]周舟州洲珠{目～}[3]走=[5]蛀=咒鷲[6]就																		
tsʰ	[1]秋鞦[5]樹-																		
s	[1]修收羞饈鬚{喙～}[2]售仇囚泅酬讎[3]叟瞍擻[5]獸宿{～夜}嘯秀繡鏽狩臭=岫[6]受壽授綬袖																		
k	[1]㽱跔[2]求球裘虯毬[3]苟狗枸[5]救究疚[6]舅=舊=臼=柩																		
kʰ	[1]丘邱蚯[3]口=[5]糗{飯硬}[6]咎																		
ŋ	[2]牛=[3]偶[5]宄																		
h	[1]休[5]嗅																		
∅	[1]優優幽攸悠[5]幼[6]嘔																		
#ou																			
p	[2]匏[3]飽=[5]富-[6]孵婦-腐-埠-																		
pʰ	[2]浮-[3]卯[6]霧-																		
w	[2]無=巫誣毋[5]吼{叫喚}[6]務鷲																		
t	[1]都[2]徒途塗圖荼[3]蚪鬥[5]蠹[6]肚=杜度渡鍍妒																		
tʰ	[2]塗{泥土}[3]橢敨{解開}[5]吐兔菟																		
n	[2]奴[3]努弩[6]怒																		
l	[2]盧爐蘆驢廬鱸轤顱艫[5]露鷺[6]路賂璐滷																		
ts	[1]姿茲滋租咨輜諮錙資孜疽孳[2]瓷磁慈雛[3]走-爪找-蚤[5]恣疵[6]自=																		
tsʰ	[1]粗趦[3]草[5]刺=次醋茨																		
s	[1]蘇思師=斯私=酥撕螄[2]辭祠詞嗣[5]賜素泗塑嗦數訴溯肆=[6]似祀事=士仕俟伺巳姒																		
k	[1]姑骷辜孤枯菇沽蛄[2]糊{漿～}糊狐-{～狸}[3]九-詬[5]故固雇錮痼顧[6]舅-舊-																		
kʰ	[1]箍呼{～豬}丘-䉐[3]口-[5]庫褲胯臼																		
ŋ	[2]牛-吳梧吾齬[5]五-																		
h	[1]夫=膚敷麩=孵=孚灰-俘[2]狐=芙葫蝴胡符糊=呼=鳧瑚[3]吼-呼-[5]付富=副傅戽訃赴賦[6]戶滬附互父輔鮒扈護婦=埠=負腐=駙																		
∅	[1]烏汙嗚鄔[2]湖-壺[5]惡{可～}塢瘀□{躲}[6]有-																		
#uai																			
tsʰ	[3]揣																		
k	[1]乖[3]拐[5]怪																		
kʰ	[2]蒯[5]快=塊=筷																		
h	[2]懷槐淮[6]壞																		
∅	[1]歪																		
#uoi																			
p	[1]飛-杯邳桮[2]培陪賠裴[5]輩貝沛褙背旆[6]倍背{～運}佩蓓悖誖焙珮狽邶																		
pʰ	[1]坯胚醅邳[2]皮-[5]配[6]被{棉～}																		
m	[2]梅枚媒黴玫煤莓[3]每尾娓[5]妹[6]未-昧魅																		
l	[3]蕊酹誄累{積～}屢磊																		
tsʰ	[1]吹炊[5]脆翠□{找}																		
s	[1]雖綏荽[5]稅歲=說{遊～}蛻帨																		
k	[3]幾-軌鬼粿詭[5]鱖繪髻劊癸會{～計}																		
kʰ	[3]傀=																		
ŋ	[2]嵬[6]外=																		
h	[1]灰=微詼恢麾[2]回茴蛔徊[3]火-夥夥匪=毀誹[5]悔晦誨歲-[6]會彙{詞～}聵																		
j	[6]銳睿																		
∅	[1]煨偎逶[3]賄委萎諉猥偉韙煒瑋[5]穢[6]衛																		
#ieu																			
p	[1]標彪鏢驃鑣飆摽[3]表裱婊																		
pʰ	[1]飄鰾[2]瓢嫖剽薸[5]漂票																		
m	[2]苗描貓=[3]秒杪杳藐邈渺眇[6]妙廟謬																		
t	[1]朝{～夕}刁[2]朝{～代}潮調{～和}迢佻[3]肘窕[5]釣吊掉[6]趙兆召肇調{～動}晁紂																		
tʰ	[1]挑超刟[3]醜笤[5]跳眺糶																		
n	[3]紐扭鳥妞鈕杻[5]□{縐}[6]尿																		
l	[2]聊遼療蹓{玩}燎繚僚寮撩=寥瞭嫽[3]柳綹蓼了-[5]餾[6]料-																		
ts	[1]椒昭招礁蕉焦[2]樵瞧憔[3]少-酒沼[5]照詔譙醮																		
tsʰ	[1]繰鍬釗[3]手醜=醜=[5]笑																		
s	[1]消燒霄宵硝銷蕭逍瀟悄[2]紹韶[3]首守小帚[5]肖少{年～}俏鞘嘯[6]邵																		
k	[1]嬌驕[2]喬僑橋蕎嶠[3]糾久玖=炙絞九=狡餃繳矯赳皎[5]叫[6]轎撟																		
kʰ	[1]敲枵鳩[2]瘸[3]朽巧[5]蹺																		
ŋ	[2]饒堯翹[3]繞																		
h	[1]僥梟囂[3]曉																		
j	[1]夭妖要{～求}么腰邀																		
j	[2]搖謠窯遙酋柔悠尤姚遊油蹂猶瑤徭由猷[3]有=友舀擾酉莠誘牖[5]要[6]又釉佑右鼬柚囿耀曜鷂																		
∅	[1]黝[2]郵繇[5]窈																		
#iau																			
l	[3]了=																		
#aŋ																			
p	[1]頒斑=[2]平-坪[3]版板=阪=扳=柄[6]病-																		
pʰ	[1]攀甏[2]彭膨評-蟛澎[5]冇																		
m	[1]鞔[2]盲蠻明龐[3]猛-[5]飯-[6]漫慢=幔蔓曼謾																		
t	[1]聃鄲酖擔{～任}丹單靪耽仱忱[2]談痰檀彈{～琴}壇殫[3]膽疸[5]擔[～子]旦誕[6]彈{子～}淡鄭啖憚氮但																		
tʰ	[1]坍灘灘攤癱貪撐[2]譚潭曇[3]毯坦袒忐躺[5]探炭																		
n	[2]難{～易}男南喃楠[3]赧[6]難{災～}																		
l	[2]嵐攔欄籃藍林-婪蘭襤闌瀾婪斕[3]覽欖纜懶攬[6]爛濫兩-																		
ts	[1]髒簪爭-[2]殘饞孱讒潺慚[3]盞井-斬嶄[5]贊[6]暫站棧鏨綻																		
tsʰ	[1]參青-生-攙摻[3]慘醒-[5]燦璨懺讖																		
s	[1]杉三跚生-刪舢潸甥-衫三山牲-珊[2]晴-[3]傘產散{丸～}省-[5]散訕姓-性-疝汕																		
k	[1]竿幹乾更{打～}綃菅杆肝間監艱奸甘柑經-羹[2]寒-含-啣銜[3]稈趕簡哽感敢[5]幹間{～斷}監{太～}澗淦鑒鍳鑑贛[6]汗																		
kʰ	[1]堪看{～守}刊炕坑龕湛[3]坎砍瞰侃艦[5]看勘嵌磡																		
ŋ	[2]顏癌[3]眼[6]雁岸=																		
h	[1]蚶[2]頷緘嫻咸鹹=鼾含=銜=寒=韓閑=閒函涵菡[3]喊撼捍罕悍[5]漢[6]翰瀚憾陷汗																		
∅	[1]安鞍按諳庵□{放}鵪[2]桁[3]飲{米湯}[5]按案晏-暗黯																		
#ɛiŋ																			
p	[1]斑[2]爿[3]辦扮瓣																		
m	[6]慢-																		
t	[1]□{刺人}[2]填[5]店[6]殿墊砧橂																		
tʰ	[1]蟶[2]沉-																		
n	[1]奶{乳}[6]念-																		
l	[2]蓮																		
ts	[1]榛臻針[5]薦{草～}																		
tsʰ	[1]千韆[2]蠶田{訓}																		
s	[1]參{人～}森先-[2]前																		
k	[2]鹹-懸-{高}[5]慣間[6]縣																		
kʰ	[1]牽																		
h	[2]還-{～錢}懸-[5]莧																		
∅	[1]陰[2]閑-[6]限																		
#eiŋ																			
p	[1]兵彬賓濱繽檳儐冰乒郴斌豳[2]頻平=瓶屏萍憑瀕蘋顰評{～話}[3]版板-阪[5]併=迸殯鬢[6]病=																		
pʰ	[1]拼=[5]聘娉姘																		
m	[2]名=泯銘眠民明鳴茗螢[3]憫[5]面[6]命=泳詠																		
w	[2]瑩榮塋																		
t	[1]疔丁徵懲叮珍貞釘酊偵[2]陳塵藤亭廷庭沉=螢縈停蜓霆[3]點-[5]鎮釘{～住}訂凳碇[6]陣定=朕澄碇																		
tʰ	[1]汀聽=[5]趁賺																		
n	[2]寧檸濘擰嚀獰仁-[6]認																		
l	[2]憐臨鱗磷霖零鄰靈齡羚囹瓴玲鈴伶陵聆翎蛉淩[5]楞拎[6]吝另令藺																		
ts	[1]斟升{一～}征甄津晶真旌睛精[2]秦情層晴=[3]剪[5]進證症政浸震晉甑[6]盡靜淨燼靖																		
tsʰ	[1]侵親稱{～呼}清青=菁深蜻[2]塍{田}堘[3]闡[5]秤凊趁																		
s	[1]呻紳娠芯惺星升{～高}心新身伸辛薪腥猩碑申紳昇[2]神辰臣丞誠成晨尋乘蠅承[3]省醒=[5]信勝聖迅訊性=姓=囟[6]甚腎慎剩盛蜃沁葚																		
k	[1]鯨京驚=兢今金均鈞經=擎黥荊[2]瓊虔[3]減檢堿揀筧[5]禁噤勁敬竟[6]脛剄胗腎{胗}妗徑競頸																		
kʰ	[1]衾輕氫襟欽卿傾矜衿[2]琴禽漀擒[3]犬啃[5]慶□{扼}罄磬																		
ŋ	[1]崟[2]迎=吟岑涔[3]眼{龍～}																		
h	[1]興馨歆鑫[2]形型邢刑懸=熊[5]興{高～}																		
j	[2]仁=人淫壬[6]任賃刃仞飪妊韌																		
∅	[1]罌膺鸚嬰櫻鶯嚶氤攖纓陰蔭因音應茵鷹煙湮[2]寅仍盈贏楹[5]應{答～}印蔭[6]孕胤媵																		
#œŋ																			
p	[1]崩=奔[2]朋棚硼鵬繃																		
pʰ	[1]烹[2]□{水聲}																		
m	[1]懵[2]盟萌[5]夢-[6]孟𦁧																		
t	[1]燈東-冬-登鐙瞪[2]騰謄銅桐=筒澄橙滕同-[5]凍-棟-[6]動-鄧瞪洞重{～量}峒																		
tʰ	[1]通-[2]蟲桐-重																		
n	[2]能膿=儂{人}人{訓“儂”}[5]膿-																		
l	[2]籠-聾-壠嚨礱[6]弄衖																		
ts	[1]錚增僧曾{姓}爭=箏棕鬃[2]曾{～經}[5]粽諍[6]贈																		
tsʰ	[1]蔥[5]襯																		
s	[1]生=雙甥=牲=笙=[5]送																		
k	[1]江-更{～改}庚羹耕工-蚣-賡-[3]哽=[5]更{～加}																		
kʰ	[1]空-鏗[5]空{～格}曠-																		
ŋ	[6]硬-																		
h	[1]亨哼烘-[2]恒衡行{～為}弘泓宏珩[5]巷[6]杏幸荇行={德～}																		
∅	[1]鶯翁[2]紅-[5]甕																		
#øŋ																			
m	[3]猛蟒蛀莽																		
t	[3]等=																		
tʰ	[3]桶																		
l	[3]冷																		
s	[3]搡[5]信-																		
k	[1]巾根弓躬宮恭供穹斤筋[2]窮邛[3]鞏港龔梗{桔～}耿炯[5]供{～品}覲靳[6]近共																		
kʰ	[2]勤芹[3]肯-啃																		
ŋ	[2]銀垠齦狺																		
h	[1]凶欣胸洶勳薰=[2]熊雄[3]很悻狠[5]釁[6]悻																		
∅	[1]殷																		
#ɔuŋ																			
p	[1]邦幫梆乓[2]旁滂彷傍膀螃魴蒡鰟[5]謗[6]蚌磅																		
pʰ	[6]碰蚌磅{又}[5]凸{訓}																		
m	[1]芒[2]忙邙芒茫龐[5]戇[6]望-																		
t	[1]屯當墩鈍{不利}鐺蹲-[2]堂唐塘搪長豚棠腸屯{～營}臀[5]擋當{典～}頓-[6]鍛斷-段丈緞蕩遁撞																		
tʰ	[1]吞湯[2]糖[5]燙盪褪																		
n	[2]瓤[6]嫩釀																		
l	[2]郎廊狼琅螂踉[5]晾[6]論浪亂-卵-																		
ts	[1]莊裝臧尊遵蹲=[2]存藏[5]葬壯鑽{～子}[6]藏{西～}狀																		
tsʰ	[1]倉村蒼瘡艙傖窗[2]床忖[3]愴[5]寸闖創{～作}閂																		
s	[1]孫猻桑酸霜栓喪宣孀[3]嗓[5]巽喪{～失}算蒜涮																		
k	[1]江跟根岡剛扛{兩人抬}缸肛綱崗[5]鋼降{～下}杠絳艮																		
kʰ	[1]坤康糠髡[5]慷抗炕伉囥{藏放}																		
ŋ	[2]昂[5]睏[6]戇{傻}																		
h	[1]煙{訓}薰熏{菸}[2]魂痕餛防航降{投～}杭[5]烘{火氣～}[6]恨項																		
∅	[1]恩秧盎翁[2]行{銀～}䀪{久}[5]□{盼}[6]溷{牛～}																		
#ouŋ																			
p	[1]崩枋[2]房[3]榜綁[5]糞放-[6]笨																		
pʰ	[1]峰鋒蜂烽[2]逢蓬縫{～衣}房[3]捧[5]噴縫{門～}□{汐，水～}																		
m	[2]蒙檬[5]夢=[6]問=悶燜懣																		
w	[2]聞文紋[6]韻																		
t	[1]敦墩東=中忠冬=[2]同=童睡憧重{～複}[3]黨盾漲-囤沌[5]頓-凍=中={射～}棟=[6]動仲重{～量}燉																		
tʰ	[1]通=椿[2]蟲=重[5]痛=																		
n	[2]農濃膿=[3]暖曩[5]潤-[6]閏韌																		
l	[2]侖倫圇龍聾籠冗[3]朗□{襯衫}攏[6]弄																		
ts	[1]鐘盅舂蹤宗終悛[2]從[5]俊雋縱種{～樹}眾竣																		
tsʰ	[1]春聰充沖囪[2]叢崇[5]銃甽																		
s	[1]嵩鬆恂[2]旬循諄馴旋船唇松{～樹}純蒓巡醇詢[3]選損爽悚慫[5]送=宋舜瞬殉[6]順頌訟穿{穿衣服}																		
k	[1]軍工=公=攻[2]群裙[5]貢棍杠汞[6]郡																		
kʰ	[1]昆焜崆腔空=[2]洪{～口，地名}[3]款懇墾菌窘[5]控空{虧～}[6]虹-																		
h	[1]諷芬吩分烘=豐葷紛昏封風瘋轟=楓[2]焚訌耘雲-惲馮哄紅=洪鴻虹=渾[5]訓奮俸[6]奉份混鳳																		
j	[2]溶容勻筠榕庸傭鏞熔戎顒茸融絨鎔[6]用潤																		
∅	[1]溫翁=瘟塕雍癰氳[3]影[5]慍蕹甕搵㤴																		
#iŋ																			
p	[1]邊鞭[2]便{～宜}[3]丙秉摒炳砭貶扁匾稟蝙[5]變[6]辨辯辮卞弁便緶																		
pʰ	[1]偏編翩[3]品[5]片遍騙																		
m	[2]綿棉□{～頭}螟冥瞑閩[3]閔憫永免勉敏皿緬勉冕[6]麵{～粉}																		
t	[1]顛甜巔掂沾[2]纏闐田恬廛滇填[3]展典碘點=戥頂輾鼎[5]澱[6]鈿電甸佃奠																		
tʰ	[1]天添[2]舔[3]挺艇[5]䋎{縫}																		
