列1	列2	列3	列4	湖州话字表	此列不需录入
舒	舒	sɿ⁴⁴	sy1		sɿ⁴⁴
輸	输	sɿ⁴⁴	sy1	贏~	sɿ⁴⁴
梳	梳	sɿ⁴⁴	sy1		sɿ⁴⁴
斯	斯	sɿ⁴⁴	sy1		sɿ⁴⁴
撕	撕	sɿ⁴⁴	sy1		sɿ⁴⁴
施	施	sɿ⁴⁴	sy1		sɿ⁴⁴
私	私	sɿ⁴⁴	sy1		sɿ⁴⁴
詩	诗	sɿ⁴⁴	sy1		sɿ⁴⁴
師	师	sɿ⁴⁴	sy1		sɿ⁴⁴
獅	狮	sɿ⁴⁴	sy1		sɿ⁴⁴
屍	尸	sɿ⁴⁴	sy1		sɿ⁴⁴
尿	尿	sɿ⁴⁴	sy1		sɿ⁴⁴
司	司	sɿ⁴⁴	sy1		sɿ⁴⁴
絲	丝	sɿ⁴⁴	sy1		sɿ⁴⁴
□	？	sɿ⁴⁴	sy1	/ɦiaŋ˩˨ ~ tʰaʔ˥/：音楊師塔：白綠色的蟬，體型小，黑色大蟬稱蟬di。	sɿ⁴⁴
暑	暑	sɿ⁴²	sy3	~假	sɿ⁴²
黍	黍	sɿ⁴²	sy3		sɿ⁴²
死	死	sɿ⁴²	sy3		sɿ⁴²
屎	屎	sɿ⁴²	sy3		sɿ⁴²
使	使	sɿ⁴²	sy3		sɿ⁴²
史	史	sɿ⁴²	sy3		sɿ⁴²
駛	驶	sɿ⁴²	sy3		sɿ⁴²
始	始	sɿ⁴²	sy3		sɿ⁴²
水	水	sɿ⁴²	sy3	白	sɿ⁴²
庶	庶	sɿ³⁵	sy5		sɿ³⁵
恕	恕	sɿ³⁵	sy5		sɿ³⁵
輸	输	sɿ³⁵	sy5	運~	sɿ³⁵
世	世	sɿ³⁵	sy5		sɿ³⁵
勢	势	sɿ³⁵	sy5		sɿ³⁵
賜	赐	sɿ³⁵	sy5		sɿ³⁵
四	四	sɿ³⁵	sy5		sɿ³⁵
肆	肆	sɿ³⁵	sy5		sɿ³⁵
試	试	sɿ³⁵	sy5		sɿ³⁵
矢	矢	sɿ³⁵	sy5		sɿ³⁵
如	如	zɿ¹²	zy2		zɿ¹²
匙	匙	zɿ¹²	zy2		zɿ¹²
似	似	zɿ¹²	zy2		zɿ¹²
時	时	zɿ¹²	zy2		zɿ¹²
鰣	鲥	zɿ¹²	zy2		zɿ¹²
儒	儒	zɿ¹²	zy2		zɿ¹²
馳	驰	zɿ¹²	zy2		zɿ¹²
穗	穗	zɿ¹²	zy2	麥~頭	zɿ¹²
餈	餈	zɿ¹²	zy2		zɿ¹²
汝	汝	zɿ²³¹	zy4		zɿ²³¹
乳	乳	zɿ²³¹	zy4		zɿ²³¹
豎	竖	zɿ²³¹	zy4		zɿ²³¹
是	是	zɿ²³¹	zy4		zɿ²³¹
巳	巳	zɿ²³¹	zy4		zɿ²³¹
仕	仕	zɿ²³¹	zy4		zɿ²³¹
士	士	zɿ²³¹	zy4		zɿ²³¹
市	市	zɿ²³¹	zy4		zɿ²³¹
持	持	zɿ²³¹	zy4		zɿ²³¹
恃	恃	zɿ²³¹	zy4		zɿ²³¹
樹	树	zɿ²⁴	zy6		zɿ²⁴
誓	誓	zɿ²⁴	zy6		zɿ²⁴
逝	逝	zɿ²⁴	zy6		zɿ²⁴
氏	氏	zɿ²⁴	zy6		zɿ²⁴
自	自	zɿ²⁴	zy6		zɿ²⁴
示	示	zɿ²⁴	zy6		zɿ²⁴
視	视	zɿ²⁴	zy6		zɿ²⁴
嗜	嗜	zɿ²⁴	zy6		zɿ²⁴
祀	祀	zɿ²⁴	zy6		zɿ²⁴
自	自	zɿ²⁴	zy6		zɿ²⁴
寺	寺	zɿ²⁴	zy6		zɿ²⁴
嗣	嗣	zɿ²⁴	zy6		zɿ²⁴
飼	饲	zɿ²⁴	zy6		zɿ²⁴
事	事	zɿ²⁴	zy6		zɿ²⁴
侍	侍	zɿ²⁴	zy6		zɿ²⁴
稚	稚	zɿ²⁴	zy6		zɿ²⁴
屄	屄	piᶽ⁴⁴	pi1		piᶽ⁴⁴
比	比	piᶽ⁴²	pi3		piᶽ⁴²
閉	闭	piᶽ³⁵	pi5		piᶽ³⁵
臂	臂	piᶽ³⁵	pi5		piᶽ³⁵
泌	泌	piᶽ³⁵	pi5		piᶽ³⁵
秘	秘	piᶽ³⁵	pi5		piᶽ³⁵
鄙	鄙	piᶽ³⁵	pi5		piᶽ³⁵
批	批	pʰiᶽ⁴⁴	phi1		pʰiᶽ⁴⁴
披	披	pʰiᶽ⁴⁴	phi1		pʰiᶽ⁴⁴
□	？	pʰiᶽ⁴²	phi3	~草：除草；可能是“㓟“或“𠜱”？	pʰiᶽ⁴²
屁	屁	pʰiᶽ³⁵	phi5		pʰiᶽ³⁵
譬	譬	pʰiᶽ³⁵	phi5	~喻	pʰiᶽ³⁵
皮	皮	biᶽ¹²	bi2		biᶽ¹²
疲	疲	biᶽ¹²	bi2		biᶽ¹²
脾	脾	biᶽ¹²	bi2		biᶽ¹²
痺	痺	biᶽ¹²	bi2		biᶽ¹²
琵	琵	biᶽ¹²	bi2		biᶽ¹²
敝	敝	biᶽ¹²	bi2		biᶽ¹²
幣	币	biᶽ¹²	bi2		biᶽ¹²
弊	弊	biᶽ¹²	bi2		biᶽ¹²
肥	肥	biᶽ¹²	bi2	白讀：~皂	biᶽ¹²
被	被	biᶽ²³¹	bi4	~頭	biᶽ²³¹
庇	庇	biᶽ²⁴	bi6		biᶽ²⁴
避	避	biᶽ²⁴	bi6		biᶽ²⁴
鐾	鐾	biᶽ²⁴	bi6	刀~兩~	biᶽ²⁴
渳	渳	miᶽ⁴⁴	mhi1	~點酒：喝一點酒	miᶽ⁴⁴
咪	咪	miᶽ⁴⁴	mhi1		miᶽ⁴⁴
米	米	miᶽ⁴²	mhi3		miᶽ⁴²
未	未	miᶽ³⁵	mhi5	白讀	miᶽ³⁵
□	？	miᶽ³⁵	mhi5	~米：玉米	miᶽ³⁵
味	味	miᶽ³⁵	mhi5	白讀	miᶽ³⁵
迷	迷	miᶽ¹²	mi2		mɦiᶽ¹²
彌	弥	miᶽ¹²	mi2		mɦiᶽ¹²
謎	谜	miᶽ¹²	mi2		mɦiᶽ¹²
非	非	fiᶽ⁴⁴	fi1		fiᶽ⁴⁴
飛	飞	fiᶽ⁴⁴	fi1		fiᶽ⁴⁴
妃	妃	fiᶽ⁴⁴	fi1		fiᶽ⁴⁴
匪	匪	fiᶽ⁴²	fi3		fiᶽ⁴²
榧	榧	fiᶽ⁴²	fi3		fiᶽ⁴²
翡	翡	fiᶽ⁴²	fi3		fiᶽ⁴²
廢	废	fiᶽ³⁵	fi5		fiᶽ³⁵
肺	肺	fiᶽ³⁵	fi5		fiᶽ³⁵
費	费	fiᶽ³⁵	fi5	~用	fiᶽ³⁵
疿	疿	fiᶽ³⁵	fi5		fiᶽ³⁵
維	维	viᶽ¹²	vi2		viᶽ¹²
唯	唯	viᶽ¹²	vi2		viᶽ¹²
惟	惟	viᶽ¹²	vi2		viᶽ¹²
肥	肥	viᶽ¹²	vi2	文	viᶽ¹²
微	微	viᶽ¹²	vi2		viᶽ¹²
尾	尾	viᶽ²³¹	vi4	文讀：結~	viᶽ²³¹
吠	吠	viᶽ²³¹	vi4		viᶽ²³¹
未	未	viᶽ²⁴	vi6		viᶽ²⁴
味	味	viᶽ²⁴	vi6		viᶽ²⁴
費	费	viᶽ²⁴	vi6	姓~	viᶽ²⁴
低	低	tiᶽ⁴⁴	ti1		tiᶽ⁴⁴
爹	爹	tiᶽ⁴⁴	ti1	文讀	tiᶽ⁴⁴
抵	抵	tiᶽ⁴²	ti3		tiᶽ⁴²
底	底	tiᶽ⁴²	ti3		tiᶽ⁴²
帝	帝	tiᶽ³⁵	ti5		tiᶽ³⁵
隸	隶	tiᶽ³⁵	ti5		tiᶽ³⁵
梯	梯	tʰiᶽ⁴⁴	thi1		tʰiᶽ⁴⁴
涕	涕	tʰiᶽ⁴⁴	thi1		tʰiᶽ⁴⁴
體	体	tʰiᶽ⁴²	thi3		tʰiᶽ⁴²
替	替	tʰiᶽ³⁵	thi5		tʰiᶽ³⁵
剃	剃	tʰiᶽ³⁵	thi5		tʰiᶽ³⁵
提	提	diᶽ¹²	di2		diᶽ¹²
題	题	diᶽ¹²	di2		diᶽ¹²
蹄	蹄	diᶽ¹²	di2		diᶽ¹²
啼	啼	diᶽ¹²	di2		diᶽ¹²
□	？	diᶽ¹²	di2	蟬~：蟬。黑色的蟬，體型大。可能為蟬啼/蟬蝶。白綠小蟬爲楊師太。（赤松祐子註：蟬在地中的幼蟲）	diᶽ¹²
弟	弟	diᶽ²³¹	di4		diᶽ²³¹
第	第	diᶽ²³¹	di4		diᶽ²³¹
遞	递	diᶽ²³¹	di4		diᶽ²³¹
地	地	diᶽ²⁴	di6		diᶽ²⁴
哩	哩	liᶽ⁴⁴	lhi1		liᶽ⁴⁴
鯉	鲤	liᶽ⁴²	lhi3		liᶽ⁴²
理	理	liᶽ⁴²	lhi3		liᶽ⁴²
里	里	liᶽ⁴²	lhi3		liᶽ⁴²
裏	里	liᶽ⁴²	lhi3		liᶽ⁴²
呂	吕	liᶽ⁴²	lhi3		liᶽ⁴²
禮	礼	liᶽ⁴²	lhi3		liᶽ⁴²
履	履	liᶽ⁴²	lhi3		liᶽ⁴²
李	李	liᶽ⁴²	lhi3		liᶽ⁴²
荔	荔	liᶽ³⁵	lhi5		liᶽ³⁵
麗	丽	liᶽ³⁵	lhi5		liᶽ³⁵
慮	虑	liᶽ³⁵	lhi5		liᶽ³⁵
濾	滤	liᶽ³⁵	lhi5		liᶽ³⁵
厲	厉	liᶽ³⁵	lhi5		liᶽ³⁵
勵	励	liᶽ³⁵	lhi5		liᶽ³⁵
利	利	liᶽ³⁵	lhi5		liᶽ³⁵
痢	痢	liᶽ³⁵	lhi5		liᶽ³⁵
吏	吏	liᶽ³⁵	lhi5		liᶽ³⁵
隸	隶	liᶽ³⁵	lhi5		liᶽ³⁵
離	离	liᶽ¹²	li2	~別	lɦiᶽ¹²
籬	篱	liᶽ¹²	li2		lɦiᶽ¹²
璃	璃	liᶽ¹²	li2		lɦiᶽ¹²
梨	梨	liᶽ¹²	li2		lɦiᶽ¹²
犂	犂	liᶽ¹²	li2		lɦiᶽ¹²
黎	黎	liᶽ¹²	li2		lɦiᶽ¹²
釐	厘	liᶽ¹²	li2		lɦiᶽ¹²
狸	狸	liᶽ¹²	li2		lɦiᶽ¹²
居	居	tɕiᶽ⁴⁴	ci1		tɕiᶽ⁴⁴
車	车	tɕiᶽ⁴⁴	ci1	~馬砲	tɕiᶽ⁴⁴
拘	拘	tɕiᶽ⁴⁴	ci1		tɕiᶽ⁴⁴
駒	驹	tɕiᶽ⁴⁴	ci1		tɕiᶽ⁴⁴
鷄	鸡	tɕiᶽ⁴⁴	ci1		tɕiᶽ⁴⁴
稽	稽	tɕiᶽ⁴⁴	ci1		tɕiᶽ⁴⁴
飢	飢	tɕiᶽ⁴⁴	ci1		tɕiᶽ⁴⁴
肌	肌	tɕiᶽ⁴⁴	ci1		tɕiᶽ⁴⁴
基	基	tɕiᶽ⁴⁴	ci1		tɕiᶽ⁴⁴
幾	几	tɕiᶽ⁴⁴	ci1	~乎	tɕiᶽ⁴⁴
機	机	tɕiᶽ⁴⁴	ci1		tɕiᶽ⁴⁴
譏	讥	tɕiᶽ⁴⁴	ci1		tɕiᶽ⁴⁴
虀	虀	tɕiᶽ⁴⁴	ci1	~糟：麻煩	tɕiᶽ⁴⁴
己	己	tɕiᶽ⁴²	ci3		tɕiᶽ⁴²
舉	举	tɕiᶽ⁴²	ci3		tɕiᶽ⁴²
姐	姐	tɕiᶽ⁴²	ci3		tɕiᶽ⁴²
幾	几	tɕiᶽ⁴²	ci3	~個	tɕiᶽ⁴²
几	几	tɕiᶽ⁴²	ci3	茶~	tɕiᶽ⁴²
據	据	tɕiᶽ³⁵	ci5		tɕiᶽ³⁵
鋸	锯	tɕiᶽ³⁵	ci5	文	tɕiᶽ³⁵
句	句	tɕiᶽ³⁵	ci5		tɕiᶽ³⁵
祭	祭	tɕiᶽ³⁵	ci5		tɕiᶽ³⁵
際	际	tɕiᶽ³⁵	ci5		tɕiᶽ³⁵
計	计	tɕiᶽ³⁵	ci5		tɕiᶽ³⁵
繼	继	tɕiᶽ³⁵	ci5		tɕiᶽ³⁵
濟	济	tɕiᶽ³⁵	ci5		tɕiᶽ³⁵
鱖	鳜	tɕiᶽ³⁵	ci5	花~魚：鱖魚	tɕiᶽ³⁵
寄	寄	tɕiᶽ³⁵	ci5		tɕiᶽ³⁵
冀	冀	tɕiᶽ³⁵	ci5		tɕiᶽ³⁵
記	记	tɕiᶽ³⁵	ci5		tɕiᶽ³⁵
既	既	tɕiᶽ³⁵	ci5		tɕiᶽ³⁵
季	季	tɕiᶽ³⁵	ci5		tɕiᶽ³⁵
紀	纪	tɕiᶽ³⁵	ci5		tɕiᶽ³⁵
蛆	蛆	tɕʰiᶽ⁴⁴	chi1		tɕʰiᶽ⁴⁴
區	区	tɕʰiᶽ⁴⁴	chi1		tɕʰiᶽ⁴⁴
驅	驱	tɕʰiᶽ⁴⁴	chi1		tɕʰiᶽ⁴⁴
趨	趋	tɕʰiᶽ⁴⁴	chi1		tɕʰiᶽ⁴⁴
溪	溪	tɕʰiᶽ⁴⁴	chi1		tɕʰiᶽ⁴⁴
凄	凄	tɕʰiᶽ⁴⁴	chi1		tɕʰiᶽ⁴⁴
棲	栖	tɕʰiᶽ⁴⁴	chi1		tɕʰiᶽ⁴⁴
妻	妻	tɕʰiᶽ⁴⁴	chi1		tɕʰiᶽ⁴⁴
欺	欺	tɕʰiᶽ⁴⁴	chi1		tɕʰiᶽ⁴⁴
取	取	tɕʰiᶽ⁴²	chi3		tɕʰiᶽ⁴²
娶	娶	tɕʰiᶽ⁴²	chi3		tɕʰiᶽ⁴²
啓	啓	tɕʰiᶽ⁴²	chi3		tɕʰiᶽ⁴²
企	企	tɕʰiᶽ⁴²	chi3		tɕʰiᶽ⁴²
起	起	tɕʰiᶽ⁴²	chi3		tɕʰiᶽ⁴²
杞	杞	tɕʰiᶽ⁴²	chi3		tɕʰiᶽ⁴²
豈	岂	tɕʰiᶽ⁴²	chi3		tɕʰiᶽ⁴²
去	去	tɕʰiᶽ³⁵	chi5		tɕʰiᶽ³⁵
契	契	tɕʰiᶽ³⁵	chi5		tɕʰiᶽ³⁵
砌	砌	tɕʰiᶽ³⁵	chi5		tɕʰiᶽ³⁵
器	器	tɕʰiᶽ³⁵	chi5		tɕʰiᶽ³⁵
棄	弃	tɕʰiᶽ³⁵	chi5		tɕʰiᶽ³⁵
趣	趣	tɕʰiᶽ³⁵	chi5		tɕʰiᶽ³⁵
氣	气	tɕʰiᶽ³⁵	chi5		tɕʰiᶽ³⁵
汽	汽	tɕʰiᶽ³⁵	chi5		tɕʰiᶽ³⁵
奇	奇	dʑiᶽ¹²	ji2		dʑiᶽ¹²
騎	骑	dʑiᶽ¹²	ji2		dʑiᶽ¹²
岐	岐	dʑiᶽ¹²	ji2		dʑiᶽ¹²
祁	祁	dʑiᶽ¹²	ji2		dʑiᶽ¹²
鰭	鳍	dʑiᶽ¹²	ji2		dʑiᶽ¹²
其	其	dʑiᶽ¹²	ji2		dʑiᶽ¹²
棋	棋	dʑiᶽ¹²	ji2		dʑiᶽ¹²
期	期	dʑiᶽ¹²	ji2		dʑiᶽ¹²
旗	旗	dʑiᶽ¹²	ji2		dʑiᶽ¹²
渠	渠	dʑiᶽ¹²	ji2		dʑiᶽ¹²
瞿	瞿	dʑiᶽ¹²	ji2		dʑiᶽ¹²
祈	祈	dʑiᶽ¹²	ji2		dʑiᶽ¹²
巨	巨	dʑiᶽ¹²	ji2		dʑiᶽ¹²
俱	俱	dʑiᶽ¹²	ji2		dʑiᶽ¹²
屐	屐	dʑiᶽ¹²	ji2		dʑiᶽ¹²
𠍲	𠍲	dʑiᶽ¹²	ji2	他。也作“渠”“佢”	dʑiᶽ¹²
跪	跪	dʑiᶽ²³¹	ji4	白讀	dʑiᶽ31
具	具	dʑiᶽ²⁴	ji6		dʑiᶽ²⁴
懼	惧	dʑiᶽ²⁴	ji6		dʑiᶽ²⁴
忌	忌	dʑiᶽ²⁴	ji6		dʑiᶽ²⁴
技	技	dʑiᶽ²⁴	ji6		dʑiᶽ²⁴
妓	妓	dʑiᶽ²⁴	ji6		dʑiᶽ²⁴
劑	剂	dʑiᶽ²⁴	ji6		dʑiᶽ²⁴
拒	拒	dʑiᶽ²⁴	ji6		dʑiᶽ²⁴
距	距	dʑiᶽ²⁴	ji6		dʑiᶽ²⁴
櫃	柜	dʑiᶽ²⁴	ji6	白讀	dʑiᶽ²⁴
虛	虚	ɕiᶽ⁴⁴	shi1		ɕiᶽ⁴⁴
噓	嘘	ɕiᶽ⁴⁴	shi1		ɕiᶽ⁴⁴
墟	墟	ɕiᶽ⁴⁴	shi1		ɕiᶽ⁴⁴
須	须	ɕiᶽ⁴⁴	shi1		ɕiᶽ⁴⁴
鬚	须	ɕiᶽ⁴⁴	shi1		ɕiᶽ⁴⁴
絮	絮	ɕiᶽ⁴⁴	shi1		ɕiᶽ⁴⁴
需	需	ɕiᶽ⁴⁴	shi1		ɕiᶽ⁴⁴
胥	胥	ɕiᶽ⁴⁴	shi1		ɕiᶽ⁴⁴
婿	婿	ɕiᶽ⁴⁴	shi1	女~	ɕiᶽ⁴⁴
西	西	ɕiᶽ⁴⁴	shi1		ɕiᶽ⁴⁴
犀	犀	ɕiᶽ⁴⁴	shi1		ɕiᶽ⁴⁴
犧	牺	ɕiᶽ⁴⁴	shi1		ɕiᶽ⁴⁴
系	系	ɕiᶽ⁴⁴	shi1		ɕiᶽ⁴⁴
係	系	ɕiᶽ⁴⁴	shi1		ɕiᶽ⁴⁴
熙	熙	ɕiᶽ⁴⁴	shi1		ɕiᶽ⁴⁴
希	希	ɕiᶽ⁴⁴	shi1		ɕiᶽ⁴⁴
稀	稀	ɕiᶽ⁴⁴	shi1		ɕiᶽ⁴⁴
許	许	ɕiᶽ⁴²	shi3		ɕiᶽ⁴²
洗	洗	ɕiᶽ⁴²	shi3		ɕiᶽ⁴²
璽	玺	ɕiᶽ⁴²	shi3		ɕiᶽ⁴²
徙	徙	ɕiᶽ⁴²	shi3		ɕiᶽ⁴²
喜	喜	ɕiᶽ⁴²	shi3		ɕiᶽ⁴²
蟢	蟢	ɕiᶽ⁴²	shi3		ɕiᶽ⁴²
戲	戏	ɕiᶽ³⁵	shi5		ɕiᶽ³⁵
細	细	ɕiᶽ³⁵	shi5		ɕiᶽ³⁵
徐	徐	ʑiᶽ¹²	zhi2		ʑiᶽ¹²
齊	齐	ʑiᶽ¹²	zhi2		ʑiᶽ¹²
臍	脐	ʑiᶽ¹²	zhi2		ʑiᶽ¹²
薺	荠	ʑiᶽ²³¹	zhi4		ʑiᶽ31
序	序	ʑiᶽ²³¹	zhi4		ʑiᶽ31
敍	叙	ʑiᶽ²³¹	zhi4		ʑiᶽ31
緒	绪	ʑiᶽ²³¹	zhi4		ʑiᶽ31
聚	聚	ʑiᶽ²³¹	zhi4		ʑiᶽ31
你	你	ȵiᶽ²³¹	nhi3	文	ȵiᶽ²³¹
女	女	ȵiᶽ²³¹	nhi3		ȵiᶽ²³¹
語	语	ȵiᶽ²³¹	nhi3		ȵiᶽ²³¹
蕊	蕊	ȵiᶽ²³¹	nhi3	花~頭：花骨頭	ȵiᶽ²³¹
二	二	ȵiᶽ³⁵	nhi5	白	ȵiᶽ³⁵
貳	贰	ȵiᶽ³⁵	nhi5		ȵiᶽ³⁵
膩	腻	ȵiᶽ³⁵	nhi5		ȵiᶽ³⁵
議	议	ȵiᶽ³⁵	nhi5		ȵiᶽ³⁵
誼	谊	ȵiᶽ³⁵	nhi5		ȵiᶽ³⁵
義	义	ȵiᶽ³⁵	nhi5		ȵiᶽ³⁵
御	御	ȵiᶽ³⁵	nhi5		ȵiᶽ³⁵
禦	御	ȵiᶽ³⁵	nhi5		ȵiᶽ³⁵
遇	遇	ȵiᶽ³⁵	nhi5		ȵiᶽ³⁵
寓	寓	ȵiᶽ³⁵	nhi5		ȵiᶽ³⁵
儀	仪	ȵiᶽ³⁵	nhi5		ȵiᶽ³⁵
毅	毅	ȵiᶽ³⁵	nhi5		ȵiᶽ³⁵
藝	艺	ȵiᶽ³⁵	nhi5		ȵiᶽ³⁵
蟻	蚁	ȵiᶽ³⁵	nhi5		ȵiᶽ³⁵
宜	宜	ȵiᶽ¹²	ni2		ȵɦiᶽ¹²
沂	沂	ȵiᶽ¹²	ni2		ȵɦiᶽ¹²
疑	疑	ȵiᶽ¹²	ni2		ȵɦiᶽ¹²
擬	拟	ȵiᶽ¹²	ni2		ȵɦiᶽ¹²
愚	愚	ȵiᶽ¹²	ni2		ȵɦiᶽ¹²
虞	虞	ȵiᶽ¹²	ni2		ȵɦiᶽ¹²
娛	娱	ȵiᶽ¹²	ni2		ȵɦiᶽ¹²
倪	倪	ȵiᶽ¹²	ni2		ȵɦiᶽ¹²
泥	泥	ȵiᶽ¹²	ni2		ȵɦiᶽ¹²
尼	尼	ȵiᶽ¹²	ni2		ȵɦiᶽ¹²
兒	儿	ȵiᶽ¹²	ni2	白	ȵɦiᶽ¹²
於	于	iᶽ⁴⁴	i1		ʔiᶽ⁴⁴
伊	伊	iᶽ⁴⁴	i1		ʔiᶽ⁴⁴
醫	医	iᶽ⁴⁴	i1		ʔiᶽ⁴⁴
衣	衣	iᶽ⁴⁴	i1		ʔiᶽ⁴⁴
依	依	iᶽ⁴⁴	i1		ʔiᶽ⁴⁴
倚	倚	iᶽ⁴⁴	i1		ʔiᶽ⁴⁴
□	？	iᶽ⁴⁴	i1	火光渐滅	ʔiᶽ⁴⁴
與	与	iᶽ⁴²	i3		ʔiᶽ⁴²
異	异	iᶽ⁴²	i3		ʔiᶽ⁴²
雨	雨	iᶽ⁴²	i3		ʔiᶽ⁴²
