#調值	[1]33 [2]213 [3]53 [5]445 [6]13 [7]5 [8]2			
279	tʰæ̃	陰上53	倘, 躺	2
280	tʰæ̃	陰去445	趟, 燙	2
281	tʰoŋ	陰平33	通	1
282	tʰoŋ	陰上53	統, 桶	2
283	tʰoŋ	陰去445	痛	1
284	tʰɑʔ	陰入5	榻, 獺, 塔, 拓, 塌	5
285	tʰəʔ	陰入5	忒	1
286	tʰiəʔ	陰入5	帖, 貼, 踢, 剔	4
287	tʰoʔ	陰入5	拓, 蛻, 禿, 脫, 託, 托	6
288	di	陽平213	蹄, 提, 題, 啼, 堤	5
289	di	陽去13	地, 隸, 弟, 遞, 第	5
290	du	陽平213	圖, 途, 塗, 徒	4
291	du	陽去13	屠, 杜, 肚, 度, 鍍, 渡	6
292	dɑ	陽去13	大	1
293	dᴇ	陽平213	臺, 苔, 抬	3
294	dᴇ	陽去13	怠, 待, 殆, 袋, 貸, 代	6
295	dɔ	陽平213	洮, 燾, 掏, 桃, 陶, 萄, 淘, 逃	8
296	dɔ	陽去13	盜, 導, 道, 稻	4
297	diɔ	陽平213	調, 條	2
298	diɔ	陽去13	掉, 調	2
299	doᵘ	陽平213	馱, 駝	2
300	doᵘ	陽去13	舵, 惰, 大	3
301	dei	陽平213	頭, 投	2
302	dei	陽去13	豆, 逗	2
303	dui	陽去13	隊, 兌	2
304	dᴇ̃	陽平213	潭, 談, 譚, 罈, 檀, 彈, 誕, 痰, 壇	9
305	dᴇ̃	陽去13	蛋, 但, 彈, 淡	4
306	diᴇ̃	陽平213	塡, 甜, 田	3
307	diᴇ̃	陽去13	簟, 電, 奠, 墊, 佃, 殿	6
308	duõ	陽平213	糰, 團	2
309	duõ	陽去13	斷, 鍛, 段, 緞	4
310	den	陽平213	飩, 謄, 臀, 疼, 藤, 騰, 屯, 豚	8
311	den	陽去13	囤, 盾, 沌, 鈍, 鄧, 遁	6
312	dæ̃	陽平213	螳, 唐, 塘, 棠, 糖, 堂	6
313	dæ̃	陽去13	蕩, 宕	2
314	doŋ	陽平213	瞳, 童, 銅, 桐, 筒, 同	6
315	doŋ	陽去13	洞, 動	2
316	dɑʔ	陽入2	達, 踏, 沓	3
317	dəʔ	陽入2	突, 特	2
318	diəʔ	陽入2	蝶, 諜, 牒, 迭, 笛, 敵, 碟, 狄, 糴	9
319	doʔ	陽入2	犢, 讀, 牘, 毒, 獨, 踱, 奪, 鐸	8
320	ni	陰上53	你	1
321	nʮ	陰上53	女	1
322	nɑ	陰平33	挪	1
323	nɑ	陽平213	拿	1
324	nɑ	陰上53	哪	1
325	nɑ	陰去445	那	1
326	nᴇ	陰平33	奶	1
327	nᴇ	陰上53	乃, 奶	2
328	nᴇ	陽去13	奈, 耐	2
329	nɔ	陰平33	撓	1
330	nɔ	陰上53	腦, 惱	2
331	nɔ	陽去13	鬧	1
332	noᵘ	陽平213	奴	1
333	noᵘ	陰上53	努	1
334	noᵘ	陽去13	糯, 怒	2
335	ny	陽平213	牛	1
336	ny	陰上53	鈕, 紐, 扭	3
337	nei	陽去13	內	1
338	nᴇ̃	陽平213	難, 南, 男	3
339	nᴇ̃	陽去13	難	1
340	nuõ	陰上53	暖, 軟	2
341	nen	陽平213	能	1
342	nen	陽去13	嫩	1
343	næ̃	陽平213	囊	1
344	noŋ	陽平213	農, 齈, 膿, 濃, 儂	5
345	nɑʔ	陽入2	衲, 捺, 納	3
346	niɑʔ	陽入2	瘧, 虐	2
347	noʔ	陽入2	諾	1
348	li	陽平213	犁, 梨, 璃, 籬, 黎, 釐, 狸	7
349	li	陰上53	裏, 理, 里, 李, 禮, 鯉	6
350	li	陽去13	例, 痢, 麗, 勵, 厲, 利, 離, 吏	8
351	lu	陽平213	蘆, 爐, 廬, 盧, 鸕	5
352	lu	陰上53	魯, 虜, 滷, 櫓	4
353	lu	陽去13	鷺, 路, 露, 賂	4
354	lʮ	陰上53	呂, 旅, 稆	3
355	lʮ	陽去13	慮, 濾	2
356	lɑ	陰平33	拉	1
357	lᴇ	陽平213	來	1
358	lᴇ	陽去13	癩, 賴	2
359	lɔ	陰平33	撈	1
360	lɔ	陽平213	嘮, 澇, 牢, 勞	4
361	lɔ	陰上53	老	1
362	lɔ	陽去13	老	1
363	liɔ	陽平213	潦, 寥, 聊, 僚, 燎, 遼, 療, 撩	8
364	liɔ	陰上53	了	1
365	liɔ	陽去13	廖, 料, 尥	3
366	loᵘ	陰平33	囉	1
367	loᵘ	陽平213	騾, 羅, 腡, 鑼, 籮, 螺	6
368	loᵘ	陰上53	裸	1
369	ly	陽平213	硫, 榴, 劉, 琉, 流, 留	6
370	ly	陰上53	柳	1
371	ly	陽去13	溜	1
372	lei	陽平213	樓, 雷	2
373	lei	陰上53	屢, 淚, 簍, 摟, 縷	5
374	lei	陽去13	漏, 陋, 類, 累	4
375	lᴇ̃	陽平213	蘭, 欄, 攔	3
376	lᴇ̃	陰上53	懶	1
377	lᴇ̃	陽去13	攬, 纜, 濫, 欖, 爛, 覽	6
378	liᴇ̃	陽平213	聯, 廉, 簾, 鐮, 憐, 連, 戀, 蓮	8
379	liᴇ̃	陰上53	臉, 輦	2
380	liᴇ̃	陽去13	斂, 殮, 楝, 鏈, 鍊, 練	6
381	luõ	陽平213	鸞	1
382	luõ	陰上53	卵	1
383	luõ	陽去13	亂	1
384	len	陽平213	輪, 淪, 崙, 倫, 論, 楞	6
385	len	陰上53	冷	1
386	len	陽去13	論	1
387	lin	陰平33	拎	1
388	lin	陽平213	零, 靈, 鄰, 鈴, 臨, 鱗, 林, 淋, 琳, 伶, 翎, 菱, 燐, 凌, 陵	15
389	lin	陰上53	檁, 領, 嶺	3
390	lin	陽去13	令, 吝, 另	3
391	læ̃	陽平213	螂, 郎, 狼, 廊	4
392	læ̃	陽去13	浪, 朗	2
393	liæ̃	陽平213	量, 糧, 涼, 良, 梁, 粱	6
394	liæ̃	陰上53	兩, 輛	2
395	liæ̃	陽去13	量, 諒, 亮	3
396	loŋ	陽平213	籠, 龍, 隆, 聾	4
397	loŋ	陰上53	隴, 壠, 攏	3
398	loŋ	陽去13	弄	1
399	lɑʔ	陽入2	辣, 癩, 劣, 蠟, 鑞, 臘, 垃	6
400	liɑʔ	陽入2	掠, 略	2
401	ləʔ	陽入2	肋, 勒	2
402	liəʔ	陽入2	笠, 立, 烈, 裂, 力, 歷, 曆, 列, 粒, 栗, 率, 律	12
403	loʔ	陽入2	駱, 洛, 六, 綠, 絡, 烙, 錄, 鹿, 祿, 樂, 酪, 落, 陸	13
404	ʦɿ	陰平33	芝, 梔, 之, 脂, 咨, 茲, 資, 姿, 滋, 肢, 蜘, 輜, 知, 眵, 枝, 支	16
405	ʦɿ	陰上53	紙, 紫, 梓, 指, 旨, 子, 止, 趾, 址	9
406	ʦɿ	陰去445	置, 至, 致, 志, 誌, 痣, 製, 制, 蔗, 智	10
407	ʦu	陰平33	租	1
408	ʦu	陰上53	祖, 組, 阻	3
409	ʦʮ	陰平33	硃, 車, 豬, 朱, 珠, 株, 拘, 諸, 蛛, 居, 誅	11
410	ʦʮ	陰上53	矩, 註, 舉, 注, 主, 煑	6
411	ʦʮ	陰去445	鑄, 著, 蛀, 炷, 駐, 據, 鋸, 句, 拄	9
412	ʦɑ	陰平33	查, 蔗, 渣	3
413	ʦɑ	陰去445	炸, 詐, 榨	3
414	ʦʮa	陰平33	抓	1
415	ʦᴇ	陰平33	齋, 栽, 災	3
416	ʦᴇ	陰上53	載, 宰, 者	3
417	ʦᴇ	陰去445	再, 債, 載	3
418	ʦɔ	陰平33	昭, 朝, 遭, 招, 沼, 抓	6
