字	IPA 聲	IPA 韻	IPA 調	粵拼 聲	粵拼 韻	粵拼 調	注
襯	ʦʰ	an	32	c	aan	6	
疹	ʦʰ	an	23	c	aan	1	
山	s	an	23	s	aan	1	
刪	s	an	23	s	aan	1	
神	s	an	12	s	aan	4	
身	s	an	23	s	aan	1	
晨	s	an	12	s	aan	4	
腎	s	an	21	s	aan	5	
新	ɬ	an	23	sl	aan	1	
散	ɬ	an	55	sl	aan	2	
根	k	an	23	g	aan	1	
巾	k	an	23	g	aan	1	
僅	k	an	23	g	aan	1	
斤	k	an	23	g	aan	1	
懇	k	an	55	g	aan	2	
近	kʰ	an	23	k	aan	1	
芹	kʰ	an	12	k	aan	4	
慢	m	an	32	m	aan	6	
晚	m	an	21	m	aan	5	
萬	m	an	32	m	aan	6	
民	m	an	12	m	aan	4	
文	ᵐb	an	12	mb	aan	4	
蚊	ᵐb	an	12	mb	aan	4	
難	n	an	12	n	aan	4	難易
雁	nk	an	32	ng	aan	6	
碾	nk	an	21	ng	aan	5	
銀	nk	an	12	ng	aan	4	
欄	l	an	12	l	aan	4	
人	j	an	12	j	aan	4	
忍	j	an	21	j	aan	5	
因	j	an	23	j	aan	1	
引	j	an	23	j	aan	1	
欣	j	an	23	j	aan	1	
孕	j	an	32	j	aan	6	
達		at	22		aat	6+	
突		at	22		aat	6+	
壓		at	55		aat	2+	
筆	v	at	55	v	aat	2+	
匹	h	at	55	h	aat	2+	一匹布
乞	h	at	55	h	aat	2+	
發	f	at	55	f	aat	2+	
罰	f	at	22	f	aat	6+	
忽	f	at	55	f	aat	2+	
佛	f	at	55	f	aat	2+	彷佛
法	f	at	55	f	aat	2+	方法
乏	f	at	22	f	aat	6+	
擦	tʰ	at	55	t	aat	2+	
膝	tʰ	at	55	t	aat	2+	
紮	ʦ	at	23	z	aat	1+	
侄	ʦ	at	22	z	aat	6+	
質	ʦ	at	55	z	aat	2+	
察	ʦʰ	at	23	c	aat	1+	
刷	ʦʰ	at	23	c	aat	1+	
殺	s	at	23	s	aat	1+	
蝨	s	at	55	s	aat	2+	
失	s	at	55	s	aat	2+	
室	s	at	55	s	aat	2+	
薩	ɬ	at	23	sl	aat	1+	
吉	kʰ	at	55	k	aat	2+	
襪	ᵐb	at	22	mb	aat	6+	
密	ᵐb	at	22	mb	aat	6+	
物	m	at	22	m	aat	6+	
覓	m	at	22	m	aat	6+	
捺	n	at	22	n	aat	6+	
辣	l	at	22	l	aat	6+	
曰	j	at	22	j	aat	6+	
燈		aŋ	23		aang	1	
凳		aŋ	21		aang	5	
鄧		aŋ	23		aang	1	
瞪		aŋ	23		aang	1	
崩	v	aŋ	23	v	aang	1	
橫	v	aŋ	12	v	aang	4	
宏	v	aŋ	12	v	aang	4	
朋	h	aŋ	12	h	aang	4	
憑	h	aŋ	12	h	aang	4	
膨	h	aŋ	12	h	aang	4	膨脹
藤	h	aŋ	12	h	aang	4	
肯	h	aŋ	55	h	aang	2	
坑	h	aŋ	23	h	aang	1	
恆	h	aŋ	12	h	aang	4	
杏	h	aŋ	21	h	aang	5	
行	h	aŋ	32	h	aang	6	品行
贈	t	aŋ	23	d	aang	1	
層	tʰ	aŋ	12	t	aang	4	
僧	ʦ	aŋ	23	z	aang	1	
盲	ᵐb	aŋ	12	mb	aang	4	
猛	ᵐb	aŋ	21	mb	aang	5	
萌	ᵐb	aŋ	12	mb	aang	4	
囊	n	aŋ	12	n	aang	4	
能	n	aŋ	12	n	aang	4	
硬	j	aŋ	32	j	aang	6	
得		ak	55		aak	2+	
特		ak	22		aak	6+	
握		ak	55		aak	2+	
北	v	ak	55	v	aak	2+	
或	v	ak	22	v	aak	6+	
劃	v	ak	22	v	aak	6+	
繪	v	ak	22	v	aak	6+	
刻	h	ak	55	h	aak	2+	
黑	h	ak	55	h	aak	2+	
七	tʰ	ak	55	t	aak	2+	
賊	tʰ	ak	22	t	aak	6+	
疾	ʦ	ak	22	z	aak	6+	
責	ʦ	ak	55	z	aak	2+	
塞	ɬ	ak	55	sl	aak	2+	阻塞
墨	m	ak	22	m	aak	6+	
陌	ᵐb	ak	22	mb	aak	6+	
脈	ᵐb	ak	22	mb	aak	6+	
扼	nk	ak	55	ng	aak	2+	
肋	l	ak	22	l	aak	6+	
額	j	ak	22	j	aak	6+	
暗		am	23		aam	1	
譚	h	am	12	h	aam	4	
痰	h	am	21	h	aam	5	
含	h	am	12	h	aam	4	
蠶	tʰ	am	12	t	aam	4	
尋	tʰ	am	12	t	aam	4	
浸	ʦ	am	23	z	aam	1	
站	ʦ	am	32	z	aam	6	站立
斬	ʦ	am	55	z	aam	2	
眨	ʦ	am	55	z	aam	2	眨眼
簪	ʦ	am	23	z	aam	1	
針	ʦ	am	23	z	aam	1	
蠶	ʦʰ	am	12	c	aam	4	古蠶村（鄰村村名）
侵	ʦʰ	am	23	c	aam	1	
杉	ʦʰ	am	23	c	aam	1	
沈	ʦʰ	am	12	c	aam	4	
銜	s	am	12	s	aam	4	
岑	s	am	12	s	aam	4	
森	s	am	23	s	aam	1	
深	s	am	23	s	aam	1	
嬸	s	am	55	s	aam	2	
甚	s	am	21	s	aam	5	
三	ɬ	am	23	sl	aam	1	
心	ɬ	am	23	sl	aam	1	
感	k	am	55	g	aam	2	
敢	k	am	55	g	aam	2	
橄	k	am	55	g	aam	2	橄欖
鑒	k	am	23	g	aam	1	
今	k	am	23	g	aam	1	
琴	kʰ	am	12	k	aam	4	
男	n	am	12	n	aam	4	
藍	l	am	12	l	aam	4	
林	l	am	12	l	aam	4	
任	j	am	32	j	aam	6	責任
吟	j	am	12	j	aam	4	
音	j	am	23	j	aam	1	
飲	j	am	55	j	aam	2	
淫	j	am	12	j	aam	4	
汁	ʦ	ap	55	z	aap	2+	
輯	ʦʰ	ap	55	c	aap	2+	編輯
十	s	ap	22	s	aap	6+	
急	k	ap	55	g	aap	2+	
及	k	ap	22	g	aap	6+	
給	kʰ	ap	55	k	aap	2+	供給
吸	kʰ	ap	55	k	aap	2+	
臘	l	ap	22	l	aap	6+	
粒	l	ap	55	l	aap	2+	
踏	j	ap	22	j	aap	6+	
揖	j	ap	55	j	aap	2+	作揖
煨	v	i	23	v	i	1	
衛	v	i	32	v	i	6	
委	v	i	55	v	i	2	
爲	v	i	12	v	i	4	作爲
爲	v	i	32	v	i	6	爲甚麼
位	v	i	23	v	i	1	
遺	v	i	12	v	i	4	
諱	v	i	32	v	i	6	
威	v	i	23	v	i	1	
違	v	i	12	v	i	4	
葦	v	i	21	v	i	5	蘆葦
胃	v	i	23	v	i	1	
器	h	i	23	h	i	1	
氣	h	i	23	h	i	1	
戲	h	i	23	h	i	1	
自	t	i	23	d	i	1	
賜	tʰ	i	23	t	i	1	
劑	ʦ	i	55	z	i	2	一劑藥
紫	ʦ	i	21	z	i	5	
著	ʦ	i	23	z	i	1	
住	ʦ	i	32	z	i	6	
知	ʦ	i	23	z	i	1	
枝	ʦ	i	23	z	i	1	
紙	ʦ	i	55	z	i	2	
衹	ʦ	i	55	z	i	2	衹有
致	ʦ	i	23	z	i	1	
稚	ʦ	i	23	z	i	1	
指	ʦ	i	55	z	i	2	
寺	ʦ	i	32	z	i	6	
置	ʦ	i	23	z	i	1	
痔	ʦ	i	21	z	i	5	
治	ʦ	i	32	z	i	6	
之	ʦ	i	23	z	i	1	
趾	ʦ	i	55	z	i	2	
痣	ʦ	i	32	z	i	6	
刺	ʦʰ	i	23	c	i	1	
慈	ʦʰ	i	12	c	i	4	
侈	ʦʰ	i	12	c	i	4	奢侈
匙	ʦʰ	i	23	c	i	1	湯匙
遲	ʦʰ	i	12	c	i	4	
似	ʦʰ	i	21	c	i	5	
癡	ʦʰ	i	23	c	i	1	
恥	ʦʰ	i	55	c	i	2	
持	ʦʰ	i	12	c	i	4	
廁	ʦʰ	i	23	c	i	1	
齒	ʦʰ	i	55	c	i	2	
始	ʦʰ	i	55	c	i	2	
恃	ʦʰ	i	21	c	i	5	
黏	ʦʰ	i	23	c	i	1	
施	s	i	23	s	i	1	
豉	s	i	32	s	i	6	
屍	s	i	23	s	i	1	
屎	s	i	55	s	i	2	
視	s	i	32	s	i	6	
時	s	i	12	s	i	4	
市	s	i	21	s	i	5	
龜	k	i	23	g	i	1	
倪	j	i	12	j	i	4	
兒	j	i	32	j	i	6	
椅	j	i	55	j	i	2	
易	j	i	32	j	i	6	難易
二	j	i	32	j	i	6	
伊	j	i	23	j	i	1	
姨	j	i	12	j	i	4	
耳	j	i	55	j	i	2	
疑	j	i	12	j	i	4	
醫	j	i	23	j	i	1	
已	j	i	21	j	i	5	
衣	j	i	23	j	i	1	
於	j	i	12	j	i	4	
雨	j	i	21	j	i	5	
羽	j	i	21	j	i	5	
愉	j	i	12	j	i	4	
喻	j	i	32	j	i	6	
袍	h	ia	12	h	iaa	4	
刨	h	ia	23	h	iaa	1	
坳		ie	23		iee	1	山坳
飄	h	ie	23	h	iee	1	
嫖	h	ie	12	h	iee	4	
囂	h	ie	23	h	iee	1	
曉	h	ie	55	h	iee	2	
雕	t	ie	23	d	iee	1	
罩	ʦ	ie	23	z	iee	1	
爪	ʦ	ie	55	z	iee	2	
趙	ʦ	ie	32	z	iee	6	
召	ʦ	ie	23	z	iee	1	
照	ʦ	ie	23	z	iee	1	
車	ʦʰ	ie	23	c	iee	1	
朝	ʦʰ	ie	23	c	iee	1	今朝
超	ʦʰ	ie	23	c	iee	1	
朝	ʦʰ	ie	12	c	iee	4	朝代
蠍	s	ie	23	s	iee	1	
蛇	s	ie	12	s	iee	4	
賒	s	ie	23	s	iee	1	
舍	s	ie	23	s	iee	1	
社	s	ie	21	s	iee	5	
燒	s	ie	23	s	iee	1	
韶	s	ie	12	s	iee	4	韶關
寫	ɬ	ie	55	sl	iee	2	
宵	ɬ	ie	23	sl	iee	1	
笑	ɬ	ie	23	sl	iee	1	
少	ɬ	ie	55	sl	iee	2	多少
少	ɬ	ie	23	sl	iee	1	少年
簫	ɬ	ie	23	sl	iee	1	
苗	m	ie	12	m	iee	4	
廟	m	ie	23	m	iee	1	
杳	m	ie	23	m	iee	1	杳無音信
謬	m	ie	32	m	iee	6	
尿	n	ie	32	n	iee	6	
燎	l	ie	12	l	iee	4	
聊	l	ie	12	l	iee	4	
了	l	ie	21	l	iee	5	了結
惹	j	ie	21	j	iee	5	
爺	j	ie	12	j	iee	4	
夜	j	ie	32	j	iee	6	
擾	j	ie	23	j	iee	1	
腰	j	ie	23	j	iee	1	
要	j	ie	23	j	iee	1	重要
搖	j	ie	12	j	iee	4	
耀	j	ie	32	j	iee	6	
怠	h	iə	21	h	iea	5	
靴	h	iɔ	23	h	io	1	
丘		iau	23		iaau	1	
憂		iau	23		iaau	1	
有		iau	21		iaau	5	
油		iau	12		iaau	4	
幼		iau	23		iaau	1	
定		in	32		in	6	
涎		in	12		in	4	
應		in	23		in	1	應對
蠅		in	12		in	4	
鶯		in	23		in	1	
鸚		in	23		in	1	鸚鵡
貶	v	in	55	v	in	2	
變	v	in	23	v	in	1	
辨	v	in	21	v	in	5	
便	v	in	32	v	in	6	方便
邊	v	in	23	v	in	1	
鬢	v	in	32	v	in	6	
冰	v	in	23	v	in	1	
並	v	in	21	v	in	5	
永	v	in	21	v	in	5	
蝙	h	in	55	h	in	2	
片	h	in	23	h	in	1	
頻	h	in	12	h	in	4	
平	h	in	12	h	in	4	
篇	h	in	23	h	in	1	
騙	h	in	23	h	in	1	
便	h	in	12	h	in	4	便宜
天	h	in	23	h	in	1	
田	h	in	55	h	in	2	
牽	h	in	23	h	in	1	
謙	h	in	23	h	in	1	
勸	h	in	23	h	in	1	
慶	h	in	23	h	in	1	
輕	h	in	23	h	in	1	
軒	h	in	23	h	in	1	
獻	h	in	23	h	in	1	
顯	h	in	55	h	in	2	
煙	h	in	23	h	in	1	
完	h	in	12	h	in	4	
剪	t	in	55	d	in	2	
賤	t	in	32	d	in	6	
箋	t	in	23	d	in	1	
淺	tʰ	in	55	t	in	2	
錢	tʰ	in	12	t	in	4	
千	tʰ	in	23	t	in	1	
前	tʰ	in	12	t	in	4	
展	ʦ	in	55	z	in	2	
氈	ʦ	in	23	z	in	1	
纏	ʦʰ	in	12	c	in	4	
羡	s	in	32	s	in	6	
扇	s	in	23	s	in	1	
蟬	s	in	12	s	in	4	
善	s	in	21	s	in	5	
聲	s	in	23	s	in	1	
鮮	ɬ	in	23	sl	in	1	新鮮
先	ɬ	in	23	sl	in	1	
星	ɬ	in	23	sl	in	1	
尖	k	in	23	g	in	1	
件	k	in	32	g	in	6	
建	k	in	32	g	in	6	
鍵	k	in	32	g	in	6	
健	k	in	32	g	in	6	
腱	k	in	32	g	in	6	
肩	k	in	23	g	in	1	
見	k	in	23	g	in	1	
驚	k	in	23	g	in	1	
競	k	in	32	g	in	6	
頸	k	in	55	g	in	2	
經	k	in	23	g	in	1	
乾	kʰ	in	12	k	in	4	乾坤
棉	m	in	12	m	in	4	
面	m	in	32	m	in	6	
面	m	in	32	m	in	6	
明	ᵐb	in	12	mb	in	4	
名	m	in	12	m	in	4	
銘	m	in	12	m	in	4	
凝	n	in	12	n	in	4	
連	l	in	12	l	in	4	
聯	l	in	12	l	in	4	
憐	l	in	12	l	in	4	
練	l	in	21	l	in	5	
戀	l	in	55	l	in	2	
菱	l	in	12	l	in	4	
領	l	in	21	l	in	5	
寧	l	in	12	l	in	4	
鈴	l	in	12	l	in	4	
然	j	in	12	j	in	4	
焉	j	in	12	j	in	4	心不在焉
筵	j	in	12	j	in	4	
言	j	in	12	j	in	4	
撚	j	in	21	j	in	5	
硯	j	in	12	j	in	4	
園	j	in	12	j	in	4	
跌		it	55		it	2+	
別	v	it	22	v	it	6+	區別
別	v	it	22	v	it	6+	離別
必	v	it	55	v	it	2+	
逼	v	it	3+	v	it	3+	
碧	v	it	12	v	it	4+	
壁	v	it	21	v	it	5+	
滑	v	it	22	v	it	6+	
挖	v	it	23	v	it	1+	
域	v	it	55	v	it	2+	
鐵	h	it	55	h	it	2+	
截	t	it	22	d	it	6+	
絕	t	it	22	d	it	6+	
折	t	it	23	d	it	1+	
捷	ʦ	it	22	z	it	6+	
節	ʦ	it	55	z	it	2+	
哲	ʦ	it	55	z	it	2+	
植	ʦ	it	22	z	it	6+	
席	ʦ	it	22	z	it	6+	
蟄	ʦ	it	22	z	it	6+	驚蟄
切	ʦʰ	it	23	c	it	1+	
徹	ʦʰ	it	55	c	it	2+	
設	ʦʰ	it	23	c	it	1+	
舌	s	it	22	s	it	6+	
薛	ɬ	it	23	sl	it	1+	
錫	ɬ	it	55	sl	it	2+	
傑	k	it	22	g	it	6+	
潔	k	it	55	g	it	2+	
揭	kʰ	it	23	k	it	1+	
滅	m	it	22	m	it	6+	
裂	l	it	23	l	it	1+	
劣	l	it	23	l	it	1+	
力	l	it	22	l	it	6+	
曆	l	it	22	l	it	6+	
熱	j	it	22	j	it	6+	
孽	j	it	12	j	it	4+	
悅	j	it	22	j	it	6+	
月	j	it	22	j	it	6+	
疫	j	it	22	j	it	6+	
釘		iŋ	23		iing	1	
迎		iŋ	12		iing	4	
影		iŋ	55		iing	2	
嬰		iŋ	23		iing	1	
贏		iŋ	12		iing	4	
形		iŋ	12		iing	4	
螢		iŋ	12		iing	4	
柄	v	iŋ	23	v	iing	1	
病	v	iŋ	32	v	iing	6	
餅	v	iŋ	55	v	iing	2	
萍	h	iŋ	12	h	iing	4	
亭	h	iŋ	12	h	iing	4	
艇	h	iŋ	12	h	iing	4	
聽	h	iŋ	23	h	iing	1	
浄	t	iŋ	32	d	iing	6	
清	tʰ	iŋ	23	t	iing	1	
青	tʰ	iŋ	23	t	iing	1	
鯨	kʰ	iŋ	12	k	iing	4	
傾	kʰ	iŋ	55	k	iing	2	
命	m	iŋ	32	m	iing	6	
笛		ik	22		iik	6+	
的		ik	55		iik	2+	目的
溺		ik	22		iik	6+	
劈	h	ik	55	h	iik	2+	
踢	h	ik	23	h	iik	1+	
撮	t	ik	55	d	iik	2+	一撮米
即	t	ik	55	d	iik	2+	
脊	t	ik	23	d	iik	1+	
籍	ʦ	ik	22	z	iik	6+	
績	ʦ	ik	55	z	iik	2+	
寂	ʦ	ik	22	z	iik	6+	
織	ʦ	ik	55	z	iik	2+	
隻	ʦ	ik	23	z	iik	1+	
尺	ʦʰ	ik	23	c	iik	1+	
適	s	ik	55	s	iik	2+	
石	s	ik	22	s	iik	6+	
惜	ɬ	ik	55	sl	iik	2+	
擊	k	ik	55	g	iik	2+	
劇	kʰ	ik	55	k	iik	2+	
匿	n	ik	22	n	iik	6+	
憶	j	ik	55	j	iik	2+	
翼	j	ik	22	j	iik	6+	
逆	j	ik	22	j	iik	6+	
益	j	ik	55	j	iik	2+	
易	j	ik	22	j	iik	6+	交易
點		im	55		im	2	
添	h	im	23	h	im	1	
甜	h	im	12	h	im	4	
欠	h	im	23	h	im	1	
喊	h	im	23	h	im	1	
鹹	h	im	12	h	im	4	
險	h	im	55	h	im	2	
簽	tʰ	im	23	t	im	1	
潛	tʰ	im	12	t	im	4	
漸	ʦ	im	21	z	im	5	
閃	s	im	55	s	im	2	
減	k	im	55	g	im	2	
檢	k	im	55	g	im	2	
劍	k	im	23	g	im	1	
念	n	im	32	n	im	6	
鐮	l	im	12	l	im	4	
染	j	im	21	j	im	5	
驗	j	im	32	j	im	6	
鹽	j	im	12	j	im	4	
嚴	j	im	12	j	im	4	
嫌	j	im	12	j	im	4	
碟		ip	22		ip	6+	
貼	h	ip	23	h	ip	1+	
脅	h	ip	23	h	ip	1+	
協	h	ip	22	h	ip	6+	
接	t	ip	55	d	ip	2+	
妾	tʰ	ip	55	t	ip	2+	
折	ʦ	ip	23	z	ip	1+	
涉	s	ip	22	s	ip	6+	
鴿	k	ip	23	g	ip	1+	
夾	k	ip	23	g	ip	1+	
挾	k	ip	23	g	ip	1+	
獵	l	ip	22	l	ip	6+	
葉	j	ip	22	j	ip	6+	
業	j	ip	22	j	ip	6+	
醃	j	ip	23	j	ip	1+	
入	j	ip	22	j	ip	6+	
棚	h	iaŋ	23	h	iaang	1	
棒	h	iaŋ	21	h	iaang	5	
行	h	iaŋ	12	h	iaang	4	行爲
增	ʦ	iaŋ	23	z	iaang	1	
爭	ʦ	iaŋ	23	z	iaang	1	
鄭	ʦ	iaŋ	32	z	iaang	6	
橙	ʦʰ	iaŋ	12	c	iaang	4	橙子
生	s	iaŋ	23	s	iaang	1	
逛	k	iaŋ	23	g	iaang	1	
更	k	iaŋ	23	g	iaang	1	更換
梗	k	iaŋ	55	g	iaang	2	
耕	k	iaŋ	23	g	iaang	1	
革	k	iaŋ	55	g	iaang	2+	
百	v	iak	55	v	iaak	2+	
白	v	iak	22	v	iaak	6+	
拍	h	iak	23	h	iaak	1+	
嚇	h	iak	23	h	iaak	1+	
則	ʦ	iak	55	z	iaak	2+	
側	ʦ	iak	55	z	iaak	2+	
擇	ʦ	iak	22	z	iaak	6+	
窄	ʦ	iak	23	z	iaak	1+	
摘	ʦ	iak	23	z	iaak	1+	
測	ʦʰ	iak	55	c	iaak	2+	
拆	ʦʰ	iak	23	c	iaak	1+	
策	ʦʰ	iak	55	c	iaak	2+	
格	k	iak	23	g	iaak	1+	
年	n	ian	22	n	iaan	6+	
鍘	ʦ	iat	22	z	iaat	6+	
當		iɔŋ	23		iong	1	當時
擋		iɔŋ	55		iong	2	
蕩		iɔŋ	21		iong	5	
羊		iɔŋ	12		iong	4	
養		iɔŋ	21		iong	5	
樣		iɔŋ	23		iong	1	
蚌	h	iɔŋ	21	h	iong	5	
湯	h	iɔŋ	23	h	iong	1	
堂	h	iɔŋ	12	h	iong	4	
糖	h	iɔŋ	12	h	iong	4	
康	h	iɔŋ	23	h	iong	1	
行	h	iɔŋ	12	h	iong	4	行列
葬	t	iɔŋ	23	d	iong	1	
髒	t	iɔŋ	32	d	iong	6	
藏	tʰ	iɔŋ	12	t	iong	4	隱藏
