序號	目次	聲	等	呼	韻部	調	反切	攝	字	古韻羅馬字	有女羅馬字	備註	正心擬音	推導拼音	小韻字數	hiunnOrder	平水韻目		說明：平聲31 上聲33 去聲15 入聲34
3054	去49宥	以	三	開	尤	去	余救	流	狖貁鼬𤍕柚蜼褎油猶𪕏櫾輶牰蜏|釉|	juh	jow		ʝɨuʰ	you4	14	下18	宥		
3055	去49宥	常	三	開	尤	去	承呪	流	授詶㖟壽售綬	zjuh	zjow		dʑɨuʰ	shou4	6	下18	宥		
3056	去49宥	日	三	開	尤	去	人又	流	輮蹂煣鞣	njuh	row		ȵɨuʰ	rou4	4	下18	宥		
3057	去49宥	明	三	開	尤	去	亡救	流	莓	miuh	miow		mɨuʰ	miu4	1	下18	宥		
3058	去49宥	疑	三	開	尤	去	牛救	流	𪖐	ngiuh	ngiow		ŋɨuʰ	you4	1	下18	宥		
3059	去49宥	溪	三	開	尤	去	丘救	流	𪖛	khiuh	qiow		kʰɨuʰ	qiu4	1	下18	宥		
3060	去49宥	清	三	開	尤	去	七溜	流	䞭	chiuh	ciow		tsʰɨuʰ	qiu4	1	下18	宥		
3061	去50候	匣	一	開	侯	去	胡遘	流	候鮜鄇逅訽睺后後堠鱟鍭厚䞧䞀𣣠	ghuh	how		ʁᵊuʰ	hou4	15	下19	宥		
3062	去50候	溪	一	開	侯	去	苦候	流	寇扣滱怐鷇(㜌)𡠆䍍簆=[筘]瞉詬	khuh	qow		qʰᵊuʰ	kou4	10	下19	宥		
3063	去50候	明	一	開	侯	去	莫候	流	茂懋貿鄮戊愗袤楙瞀䓮姆苺𦼪𠔼雺	muh	mow		mᵊuʰ	mou4	15	下19	宥		
3064	去50候	滂	一	開	侯	去	匹候	流	仆踣䞳㰴豧	phuh	phow		pʰᵊuʰ	pou4	5	下19	宥		
3065	去50候	定	一	開	侯	去	田候	流	豆竇窬逗酘荳脰郖梪餖浢䄈毭𩊪𤀨㛒[痘]|讀	duh	dow		dᵊuʰ	dou4	16	下19	宥		
3066	去50候	端	一	開	侯	去	都豆	流	鬥鬭闘噣䛠𧱦斣襡䬦	tuh	tow		tᵊuʰ	dou4	9	下19	宥		
3067	去50候	泥	一	開	侯	去	奴豆	流	搙鎒耨𣫌擩譳	nuh	now		nᵊuʰ	nou4	6	下19	宥		
3068	去50候	心	一	開	侯	去	蘇奏	流	瘶嗽欶漱鏉謏嗾	suh	sow		sᵊuʰ	sou4	7	下19	宥		
3069	去50候	精	一	開	侯	去	則候	流	奏走[揍]	cuh	zow		tsᵊuʰ	zou4	2	下19	宥		
3070	去50候	透	一	開	侯	去	他候	流	透咅㰯䟝𧺢	thuh	thow		tʰᵊuʰ	tou4	5	下19	宥		
3071	去50候	影	一	開	侯	去	烏候	流	漚䙔𠹝	quh	ow		ʔᵊuʰ	ou4	3	下19	宥		
3072	去50候	見	一	開	侯	去	古候	流	購!遘構媾覯姤䝭雊𢐙𤚼句軥㝤搆怐煹䃓冓㝅𢄇	kuh	kow	𢄇从句	qᵊuʰ	gou4	20	下19	宥		
3073	去50候	清	一	開	侯	去	倉奏	流	輳腠湊嗾𪉮蔟楱𧱪	chuh	cow		tsʰᵊuʰ	cou4	8	下19	宥		
3074	去50候	來	一	開	侯	去	盧候	流	陋漏鏤屚瘻𦸢𧷡𨫒蔄𣤋𧫞𠞭僂	luh	low		lᵊuʰ	lou4	13	下19	宥		
3075	去50候	曉	一	開	侯	去	呼漏	流	蔻豞䪷詬訽吼㰯㖃佝怐	huh	xow		χᵊuʰ	hou4	10	下19	宥		
3076	去50候	並	一	開	侯	去	蒲候	流	䏽𩌏	buh	bow		bᵊuʰ	bou4	2	下19	宥		
3077	去50候	疑	一	開	侯	去	五遘	流	偶	nguh	ngow		ɴᵊuʰ	ou4	1	下19	宥		
3078	去50候	從	一	開	侯	去	才奏	流	㔌楱䠫	zuh	dzow		dzᵊuʰ	zou4	3	下19	宥		
3079	去51幼	影	三	開	幽	去	伊謬	流	幼	qyh	yw		ˀiuʰ	you4	1	下20	宥		
3080	去51幼	明	三	開	幽	去	靡幼	流	謬繆	myh	myw		mɻiuʰ	miao4	2	下20	宥		
3081	去51幼	溪	三	開	幽	去	丘謬	流	䠗	khyh	qyw		kʰiuʰ	qiu4	1	下20	宥		
3082	去51幼	群	三	開	幽	去	巨幼	流	𧾻	gyh	gyw		ɡiuʰ	jiu4	1	下20	宥		
3083	去52沁	清	三	開	侵A	去	七鴆	深	沁𠖶吣(唚,吢)䈜	chimh	cimm		tsʰimʰ	qin4	4	下21A	沁		
3084	去52沁	精	三	開	侵A	去	子鴆	深	浸祲𡫏𥧲[圳]	cimh	zimm		tsimʰ	jin4	4	下21A	沁		
3085	去52沁	日	三	開	侵A	去	汝鴆	深	妊絍任衽鵀	njimh	rimm		ȵimʰ	ren4	5	下21A	沁		
3086	去52沁	澄	三	開	侵B	去	直禁	深	鴆沈㼉	drimh	dymm		ɖimʰ	zhen4	3	下21B	沁		
3087	去52沁	章	三	開	侵A	去	之任	深	枕針	cjimh	tjimm		tɕimʰ	zhen4	2	下21A	沁		
3088	去52沁	群	三	開	侵B	去	巨禁	深	𦧈䶖𤘡噤𦨽紟鈙凚笒齽|妗|	gimh	gymm		ɡɻimʰ	jin4	10	下21B	沁		
3089	去52沁	見	三	開	侵B	去	居蔭	深	禁僸㯲	kimh	kymm		kɻimʰ	jin4	3	下21B	沁		
