来源：	由Pekkhak（啵啵）整理自《抚州方言研究》								
p	［1］巴芭疤［3］把靶［5］坝霸壩爸								
pʰ	［2］爬琶杷耙［5］怕帕								
m	［2］麻蟆［3］马码［5］□	{~矮:很矮}［6］骂								
f	［1］花［2］华划桦［6］画话=								
t	［1］遮□{唢呐}［3］者打□{〜惯:娇惯}［5］蔗								
tʰ	［1］他她它车［3］扯-								
l	［1］拉［3］哪［5］那［6］□{〜肥:很肥}								
ts	［1］渣抓［4］诈榨炸乍								
tsʰ	［1］叉杈差［2］茶搽查［5］岔□{光线刺眼}								
s	［1］沙纱赊奢［2］蛇佘［3］洒舍傻［5］晒舍{宿～}□{牙齿飘在外面}［6］社射赦麝								
k	［1］家加痂佳枷嘉［3］假贾［5］架驾嫁稼价								
kʰ	［1］虾□{使劲吐出痰}抲{扼脖子}［6］□{~涩:很涩}								
ŋ	［1］□{张嘴}［2］牙芽衙伢［3］雅								
x	［2］霞瑕遐蝦［6］厦下夏								
Ø	［1］阿{～哥}鸦桠［3］哑［5］亚								
#ia									
t	［1］爹								
tʰ	［2］提								
tɕ	［1］□{吵}飷{~淡:很淡}［3］姐［5］借藉［6］□{〜油:蝉}								
tɕʰ	［2］斜［3］且［6］谢-{花蔫}								
ɕ	［2］邪［3］写［5］泻卸［6］谢={多~}								
ȵ	［3］惹								
Ø	［1］丫=耶［2］爷［3］也野［6］夜□{仅仅}								
#ua									
k	［1］瓜［3］寡剐［5］挂卦								
kʰ	［5］跨								
Ø	［1］蛙挖［3］瓦［6］话								
#ɛ									
m	［1］糜?{~烂：东西煮得很烂或东西很破旧}［2］眠？{~梦：做梦}								
t	［1］猪［5］□{蹬}								
tʰ	［1］□{～毛:起毛}	［6］苎								
tsʰ	［1］蛆［3］扯=								
s	［1］舐-□{稀，不密}［3］薯								
l	［1］□{~粗:很粗}□{~青:很青}	［2］□{~滑:很滑}								
k	［1］□{~kuŋ¹¹：二胡}［3］渠-{他}［5］锯-								
kʰ	［1］系-{动词}□{缠}［2］□{死板}［5］去-								
Ø	［1］许-{那}［2］如儒儿而［3］尔耳饵［6］二贰								
#iɛ									
ȵ	［2］鱼-渔-								
tɕʰ	［3］娶-								
ɕ	［1］些=［5］絮-								
Ø	［1］□{肥而腻}								
#uɛ									
kʰ	［2］□{扒拉手指关节}□{折树枝}								
Ø	［1］□{油~~:形容油而发腻}［2］□{~红:很红}								
#ɔ									
p	［1］波菠玻坡［3］跛［5］簸								
pʰ	［2］婆颇［5］破［6］薄{~荷}								
m	［2］魔磨{动词}摩馍摹嫫［6］磨{石～}								
f	［2］和={~气，~面}［3］火［5］货［6］祸								
t	［1］多［3］朵［5］剁								
tʰ	［1］拖［3］妥椭唾								
l	［2］挪罗锣箩骤螺脶［3］裸摞［6］糯								
ts	［3］左佐								
tsʰ	［1］搓矬坐-［5］锉堃错措莝{量词,段,一~木头}［6］座								
s	［1］蓑梭唆［2］□{差}［3］锁琐								
k	［1］歌哥［5］个								
kʰ	［3］可								
ŋ	［2］蛾鹅俄讹娥［3］我［6］饿								
x	［1］呵［2］河何荷驮驼［6］舵贺惰								
Ø	［1］阿{~胶}								
#iɔ									
tɕ	［3］□{抓一把}								
tɕʰ	［2］茄瘸								
ɕ	［1］靴								
ȵ	［1］□{~~干:半干半湿}								
#uɔ									
k	［1］锅［3］果馃裹［5］过								
kʰ	［1］戈科棵颗［5］课								
Ø	［1］倭踒窝［2］禾和-{~尚}［6］卧								
#ai									
p	［3］摆［5］拜								
pʰ	［2］牌排［5］派［6］败								
m	［2］埋［3］买［6］卖迈								
f	［2］怀槐淮［6］坏								
t	［1］呆［5］带戴								
tʰ	［2］台苔抬［5］太泰								
l	［2］来□{伸舌头}［3］乃奶［6］耐奈赖癞								
ts	［1］灾栽斋［3］宰［5］再载债								
tsʰ	［1］猜差{出~}钗［2］才材财裁［3］彩［5］菜蔡［6］在寨								
s	［1］腮鳃筛［2］柴豺□{逗乐}［3］□{~水:洒水}□{松散}［5］帅赛								
k	［1］街阶皆［3］解［5］介界芥戒								
kʰ	［1］揩［3］楷械								
ŋ	［1］埃挨［2］涯崖捱［5］艾								
x	［1］胎［2］谐鞋还{~有}［6］大懈蟹待怠代贷态								
Ø	［3］矮								
#uai									
s	［5］率{~领}								
k	［1］乖［3］拐［5］怪								
kʰ	［5］会{~计}块快								
Ø	［1］歪［6］外								
#øi									
p	［1］杯悲								
pʰ	［2］培［5］配佩［6］倍辈								
m	［2］梅枚［3］每								
f	［5］秽								
s	［5］遂隧								
#uøi									
t	［1］堆追锥［5］队对								
tʰ	［1］推吹炊［2］槌锤捶	［3］腿［5］退兑蜕［6］坠								
l	［3］儡累{积~}垒□{结}［6］内芮锐累{连~}								
ts	［5］最缀赘醉								
tsʰ	［1］催崔搓？{两手指搓}［5］脆翠［6］罪								
s	［1］虽衰［2］垂谁［3］水［5］岁税粹{纯~}［6］睡瑞								
#ɔi									
f	［1］灰								
p	［1］背{动词}［5］背{名词}								
pʰ	［1］胚坯［2］赔								
m	［2］媒煤［6］妹								
t	［3］□{统统}［5］碓								
l	［2］雷［6］累{~了}								
s	［5］碎								
k	［1］该□{喉结}［3］改［5］概溉盖丐								
kʰ	［1］开［3］凯［5］慨								
ŋ	［1］哀［3］蔼［5］隘［6］碍								
x	［2］孩□{〜个谁}［3］海［6］害亥袋								
Ø	［5］爱								
#uɔi									
Ø	［3］偎猥{玩}［6］会-{~不~}								
#ui									
k	［1］闺规龟归圭窥［3］诡轨鬼［5］鳜桂贵								
kʰ	［1］盔魁亏［2］奎逵葵［3］傀［5］溃刽愧［6］柜跪								
Ø	［1］微=威［2］微-桅为唯维惟违围苇薇［3］萎委伟纬［5］畏慰［6］伪味未魏位胃谓卫								
#au									
p	［1］包胞褒［3］保堡宝饱［5］报暴豹爆								
pʰ	［1］抛［2］袍刨［3］跑□{洪峰}［5］泡炮［6］抱鲍								
m	［2］毛茅猫矛锚［3］卯铆［6］冒帽貌								
t	［1］刀叨［3］褥岛倒{跌~}［5］到倒{~水}								
tʰ	［1］滔［2］萄［3］讨［5］套导［6］道稻								
l	［1］捞［2］劳唠牢［3］脑恼老［6］涝闹□{~死:毒死}								
ts	［1］蚤遭糟［3］早枣澡爪找［5］躁罩								
tsʰ	［1］操抄钞［2］曹槽巢［3］草炒吵［5］糙［6］皂造								
s	［1］骚躁捎稍筲{长形指纹}［3］扫嫂								
k	［1］高膏篙羔糕交郊胶茭［3］稿绞狡铰搞□{菜杆}［5］告教较窖觉								
kʰ	［1］敲［3］考烤巧拷［5］靠犒铐								
ŋ	［2］熬拗［3］袄咬{用盐浸}［5］懊奥［6］傲								
x	［1］涛蒿［2］逃桃淘陶豪毫壕［3］好{~坏}［5］好{喜~}耗孝酵［6］盗号浩效校								
Ø	［1］凹［5］坳□{一人抬}								
#ɛu									
pʰ	［1］剖								
m	［3］某亩牡［6］茂贸								
f	［2］浮［3］否								
t	［1］兜朝{今~}召沼昭诏蔸招［3］斗{~笠}抖陡［5］照斗{战~}								
tʰ	［1］超［2］朝{~代}潮［6］赵兆								
l	［1］□{抽~:抽屉}［2］挠楼耧［3］扰绕搂［6］漏陋								
ts	［1］邹［3］走［5］奏皱=绉								
tsʰ	［2］愁［3］□{兑水}［5］凑［6］骤								
s	［1］烧叟搜馊飕［2］韶［3］少{多~}［5］少{~年}嗽瘦［6］绍邵								
k	［1］沟勾钩［3］狗苟［5］够构购□{劝}								
kʰ	［1］抠眍丘□{莴~：莴苣}□{量词，一~池塘}［3］口［5］叩扣寇［6］□{霞~:妻子的兄弟的背称}								
ŋ	［2］牛［3］藕偶［5］沤怄{~气}								
x	［1］偷［2］头投侯喉猴瘊［3］吼{~气:喘气}［5］透逗□{哄}［6］豆后厚候								
Ø	［1］欧殴瓯［3］呕［5］怄-								
#iɛu									
p	［1］膘标彪［2］薸?{浮萍}［3］表錶								
pʰ	［1］飘漂{~洗}［2］瓢［5］票漂{~亮}								
m	［2］苗描［3］渺藐秒杳杪［6］庙妙谬								
t	［1］刁貂雕［2］燎療聊潦撩寥［3］瞭了［5］钓吊调{~动}［6］掉调{音~}料廖								
tʰ	［1］挑［2］条调{~和}［6］□{骗}								
ȵ	［2］饶尧［3］鸟								
tɕ	［1］焦蕉椒骄娇矫浇［3］剿缲{~边}缴饺［5］叫								
tɕʰ	［1］鍬［2］樵瞧乔侨桥［3］悄［5］鞘俏撬翘［6］轿□{嚼}								
ɕ	［1］梢消宵霄硝嚣箫萧销［3］小晓［5］笑								
Ø	［1］妖邀腰要{~求}幺吆［2］肴淆摇姚窑谣［3］舀□{泥很稀}［5］要{重~}［6］耀								
#iu									
pʰ	［1］□{被子}								
t	［1］丢周舟州洲溜［2］流刘留榴硫琉馏［3］柳帚［5］昼咒								
tʰ	［1］抽［2］绸稠酬筹［3］丑［5］臭								
ȵ	［2］柔［3］纽扭								
tɕ	［1］鸠纠揪［2］□{~酸:很酸}［3］酒九久韭炙［5］救究皱-{皱眉}								
tɕʰ	［1］秋［2］求球售［5］柩［6］舅旧袖就								
ɕ	［1］收修羞［2］囚洇仇□{~绿:很绿}［3］朽手首守［5］秀兽锈［6］寿受授								
Ø	［1］幽优忧悠［2］允邮由游犹［3］有友酉莠［5］幼［6］柚又右祐诱釉								
#am									
f	［2］帆［5］范犯								
t	［1］耽担{~负}沾［3］胆［5］担{挑~}								
tʰ	［1］贪［2］谭谈痰［3］毯［5］探								
l	［2］男南篮蓝［3］览缆揽榄［5］□{~扣：按扣}［6］□{~霉天：又出太阳又下雨的天}□{~被子:缝被子}								
ts	［3］斩［5］站蘸								
tsʰ	［1］参［2］谗馋搀惭□{~脚：硌脚}劖{用针剌}［3］惨□{~阶：台阶}［6］暂錾								
s	［1］三杉衫								
k	［1］监尴［2］□{~咸：很咸}［3］减								
kʰ	［2］□{~瘦:很瘦}［3］砍［5］嵌								
x	［1］淡［2］潭咸衔［3］喊［6］陷-								
#ɛm									
t	［1］沾瞻占{~卜}［2］□{~厚:很厚}［5］占{~有}								
l	［3］冉［5］□{踮脚}								
ts	［1］砧								
s	［1］森［3］陕闪								
k	［2］□{~浓：很稠}								
#iɛm									
p	［3］贬								
t	［2］廉镰簾［3］点脸楝［5］店								
tʰ	［1］添簟［2］甜［3］舔								
ȵ	［1］□{抓，拿}［2］严黏粘鲇拈［6］念鲶［3］染［5］验								
tɕ	［1］尖兼［3］敛检［5］剑								
tɕʰ	［1］歼签谦［2］潜钳搛{~菜}［3］□{~门：窗户}［5］歉芡［6］渐俭								
ɕ	［2］嫌［3］险［5］陷={~阱}								
Ø	［1］淹阉腌［2］炎阎簷醃［6］焰艳［3］掩靥［5］厌								
#ɔm									
ts	［1］簪								
tsʰ	［2］蚕□{钹}								
k	［1］甘泔柑［3］感敢橄								
kʰ	［1］堪龛勘□{甑~：甑}［3］□{咳嗽}								
x	［1］撼紺酣［2］含函□{饭在嘴里不吞下去}涵［5］憾								
Ø	［1］揞{用手~住}庵□{量词，一~豆子：一捧豆子}［5］暗								
#im									
p	［3］禀								
pʰ	［3］品								
t	［1］针斟［2］淋林临［3］枕								
tʰ	［2］沉［6］□{垂}								
ȵ	［6］任纴赁								
tɕ	［1］今金襟［3］锦［5］禁{~止}浸								
tɕʰ	［1］侵钦［2］寻岑琴禽擒［3］寝［6］妗								
ɕ	［1］心深参{人~}芯［3］沈审婶［5］渗［6］甚								
Ø	［1］音阴荫［2］吟淫［3］饮								
#an									
p	［1］班斑颁扳［3］板版［5］扮绊								
pʰ	［1］攀［2］□{量词，页}［3］瓣［5］盼绊襻［6］办								
m	［2］蛮埋{~怨：抱怨}［6］慢蔓								
f	［1］番翻藩［2］还={~原}环={~境}烦繁［3］反［5］贩［6］幻患饭宦								
t	［1］丹单［3］掸［5］旦								
tʰ	［1］滩摊［2］弹{~琴}痰檀［3］坦［6］弹{子~}但诞								
l	［1］□{涎}［2］兰拦栏难{艰~}	［3］懒［6］难{遇~}烂								
ts	［3］盏攒［5］赞								
tsʰ	［1］餐［2］残涎?{痰}［3］铲产［5］灿忏［6］栈赚								
s	［1］珊山删［3］伞散{~文}［5］散{~场}撒疝								
k	［1］艰奸间{房~}［3］简柬拣［5］间{~断}谏涧								
kʰ	［1］□{容器没有满}								
ŋ	［2］颜［3］眼［5］晏{晚}［6］雁								
x	［2］闲［5］炭叹碳［6］蛋限								
#uan									
k	［1］关鳏［5］惯								
Ø	［1］弯湾［2］还-顽环-{耳~}［3］晚挽［6］万								
#ɛn									
p	［1］崩冰								
pʰ	［1］喷□{~轻：很轻}								
m	［2］萌［3］猛=锰［6］孟								
f	［1］轰［2］宏横={蛮~}								
t	［1］灯登瞪睁筝［3］展等□{~平：很平}［5］战颤凳								
tʰ	［2］缠［3］□{~伸：形容衣服伸展不皱}								
l	［1］□{在皮肤上抓出的痕迹}［2］能［5］楞								
ts	［1］僧曾增憎筝争=砧［5］甑								
tsʰ	［2］曾{~经}层［6］赠								
s	［1］牲羶生=笙扇{动词}［2］□{~怕:生怕}［3］省={~长}［5］渗*扇［6］善单禅膳								
k	［1］跟根庚=耕=［3］梗=耿哽粳［5］更={~加}								
kʰ	［3］恳垦肯								
ŋ	［2］□{~子：傻子}［3］碾								
x	［1］吞亨［2］痕腾衡疼藤誊［3］很［5］□{~眼:红眼病}［6］苋恨邓杏幸□{~血：淤血}								
Ø	［1］恩［5］应-{表回应}								
#iɛn									
p	［1］鞭编边辫［3］蝙扁匾［5］变								
pʰ	［1］偏篇［2］便{~宜}［3］□{背着手}［5］骗遍片［6］辨辩汴便{方~}								
m	［2］棉绵眠［3］免勉娩缅渑□{量词，瓣，—~柚子}［6］面								
t	［1］颠［2］连怜莲［3］典腆［6］楝								
tʰ	［1］天［2］田填［6］淀电殿奠垫佃								
ȵ	［2］年研［3］辇*撚□{攒拳头}［5］□{个子矮小}［6］谚砚								
tɕ	［1］煎笺坚肩［3］剪趼［5］箭溅犍键建腱见荐醮								
tɕʰ	［1］迁千牵件-{一~衣服}［2］钱乾虔前［3］浅践遣癣［6］件{一件东西}贱饯健								
ɕ	［1］仙鲜轩掀先［2］贤［3］显［5］献骟［6］现								
Ø	［1］焉烟燕洇［2］涎然燃延筵［3］演［5］堰燕宴嚥								
#ɔn									
p	［1］般搬［5］半								
pʰ	［1］潘伴拌［2］盘［5］叛判								
m	［2］馒瞒［3］满漫								
f	［1］欢［2］桓完=□{~子：败家子}［3］皖［5］焕［6］唤缓								
t	［1］专砖端［3］短转［5］断转								
tʰ	［1］川穿［2］团传{宣~}［3］喘［5］串［6］段传{~记}篆								
k	［1］干{~旱}肝竿［3］扞赶擀［5］杆干{~部}								
kʰ	［1］刊［5］看								
ŋ	［1］安鞍［6］岸顉?{点头}玩{古~}								
x	［1］鼾憨［2］寒韩汗{~毛}［3］罕［5］汉［6］旱汗翰銲缎椴								
Ø	［1］鹌［5］按案								
#uɔn									
l	［2］鸾［3］暖卵揇?{抱}［6］乱								
ts	［3］纂［5］钻撰								
tsʰ	［1］□{~面:和面}［5］窜篡								
s	［1］酸闩拴［2］船［5］算蒜								
k	［1］官棺观{~察}冠{衣~}［3］管馆［5］贯冠{~军}观{道~}								
kʰ	［1］宽［3］款								
Ø	［2］完-［3］豌碗腕宛［6］换								
#yɔn									
t	［2］联［6］练炼恋								
ȵ	［2］元原源［3］软阮［6］愿								
tɕ	［1］捐绢［3］卷{~起}［5］眷券卷								
tɕʰ	［1］圈［2］全泉拳权颧［3］犬［5］劝［6］倦								
ɕ	［1］宣喧［2］弦玄旋悬［3］选［5］羡县眩								
Ø	［1］冤渊［2］丸圆员缘沿铅袁辕园援［3］远［5］怨［6］院								
#in									
p	［1］彬宾槟殡鬓兵乒［3］丙秉［5］迸并								
pʰ	［1］拚拼［2］凭贫频瓶屏萍平=评坪=［5］姘聘［6］□{~腥：很腥}								
m	［2］民铭鸣明=盟［3］闽悯敏皿［6］命=								
t	［1］珍真征蒸贞侦［2］邻鳞陵凌菱灵伶澄［3］吝趁诊疹拯顶=整=岭=鼎领=［5］镇振震娠证症订=正=政［6］另令								
tʰ	［1］称［2］陈尘亭停廷庭呈程={路~}［3］艇挺逞［5］秤［6］阵定=								
ȵ	［1］□{缩}［2］人银凝迎=［3］忍壬*［6］刃认韧□{~~念念：唠唠叨叨}								
tɕ	［1］斤巾筋经=精=晶京荆惊=［3］紧仅谨景警［5］进晋劲径=靖境敬竟竞								
tɕʰ	［1］亲蜻青=清=近卿［2］秦勤芹茎情擎鲸［5］庆磬［6］尽静								
ɕ	［1］辛新薪身申伸升声=锌欣兴{~旺}［2］行{~不~}辰晨臣乘绳承丞形型刑成=城=诚塍［5］信胜盛{兴~}兴{高~}性=［6］圣慎剩								
Ø	［1］因姻殷鹰莺鹦樱婴缨英应{~该}［2］仁寅仍蝇孕宁佞盈［3］引隐颖影=［5］印应{~对}映=［6］剩{賸，《广韵》以澄切}								
#un									
p	［1］奔［3］本［5］笨								
pʰ	［1］喷［2］盆								
m	［1］□{铜钱无字的一面}［2］抿门蚊［6］闷焖□{憋气}								
f	［1］昏婚浑分芬纷荤［2］魂馄焚坟［3］粉［5］愤忿粪奋［6］混份□{~名：绰号}								
t	［1］敦墩驐{阉猪}□{~牌：砌麻将}［2］论{~语}仑［3］准□{门榫}［5］饨顿囤□{车颠簸}								
tʰ	［1］春［2］屯肫臀［3］蠢［6］囤沌盾钝遁								
l	［6］嫩论润闰□{石~：田鸡}								
ts	［1］遵尊								
tsʰ	［1］村［2］存蹲［3］忖［5］寸								
s	［1］孙［2］荀殉纯醇鹑巡［5］舜［6］顺□{~子：动物的睾丸}								
k	［3］滚［5］棍								
kʰ	［1］昆坤［5］困								
Ø	［1］温瘟［2］文纹闻炆{~汤：煲}［3］稳吻刎［6］问								
#yn									
t	［2］伦沦轮								
tɕ	［1］津均钧君军皲［3］窘菌［5］俊郡□{~地：猪用嘴拱地}								
tɕʰ	［1］皴［2］裙群								
ɕ	［1］薰熏□{烤}［2］旬循［3］损［5］讯衅逊迅训								
Ø	［2］匀云［3］允尹永［5］熨［6］韵运晕泳								
#aŋ									
p	［1］□{~干：很干}								
pʰ	［1］㧸{赶走}膨{~松：很松}［2］彭膨{浮，或疑作“泛”}棚-{菜~}								
m	［1］蒙?{罩}［3］猛-{形容人高物长}□{菜无油}								
t	［1］正{~月}［3］整-{修理}［5］正{表示事情做好了}								
tʰ	［2］程-{姓}［6］郑								
l	［3］冷								
ts	［1］争-［5］挣{用力挣}								
tsʰ	［1］撑［2］橙［5］撑?{~人：挤兑人}								
s	［1］生-声-甥笙-［2］盛{~饭}成-城-［3］省-{节省}								
k	［1］更-{打~}庚-羹耕-{耕田}［2］□{~硬：很硬}								
kʰ	［1］坑□{被鱼剌卡}								
ŋ	［6］硬								
x	［2］行-{走}								
#iaŋ									
p	［3］饼［5］柄								
pʰ	［2］平-坪-［6］病								
m	［2］明-名［6］命								
t	［1］丁钉疔叮［2］零铃［3］领-岭-顶-［5］钉订-								
tʰ	［1］听□{床~：床沿}厅［6］定-								
ȵ	［2］迎-								
tɕ	［1］经-睛精-惊-{形容人睡觉容易惊醒}［3］井颈［5］镜径-								
tɕʰ	［1］青-清-轻□{天~：天井}［2］晴［3］请［6］净□{亲~：亲戚}								
ɕ	［1］兄腥星［3］醒［5］姓性-								
Ø	［1］萦{绕毛线}［2］赢［3］影-䁐{看着，看守}［5］映-［6］萤?{~花虫：萤火虫}								
#uaŋ									
k	［3］梗-{菜梗}								
Ø	［2］横{~直}								
#ɔŋ									
p	［1］帮邦乓［3］榜绑［5］谤棒								
pʰ	［2］滂旁螃傍庞［5］胖［6］蚌								
m	［2］忙芒茫盲虻［3］莽网-蟒［6］望忘-								
f	［1］荒慌方芳［2］黄=篁皇蝗肪妨防房［3］谎晃仿纺彷访□{甩手}［5］放								
t	［1］当张装章樟［3］挡长涨掌［5］当宕帐胀账障瘴仗{打~}壋{堤~：河堤}［6］荡?{~街：逛街}								
tʰ	［1］荡丈杖仗{仪~}昌菖［2］堂棠长肠场［3］倘躺闯厂［5］烫趟畅倡唱								
l	［2］囊郎廊狼蜋瓤壤［3］朗嚷□{修饰形容词，表示程度深；或在疑问句中，表示程度真的这么深吗}	［6］浪酿								
ts	［1］庄赃脏{肮脏}［5］葬脏{内~}壮								
tsʰ	［1］仓苍疮窗［2］藏{~蛋：咸蛋}［5］创［6］状撞藏{西藏}								
s	［1］桑霜商伤双丧［2］床常尝裳嫦［3］嗓赏爽［5］丧{~气}［6］尚上								
k	［1］江扛冈岗刚纲钢缸［3］讲港［5］降虹杠								
kʰ	［1］康糠［3］慷［5］抗航*囥{藏}								
ŋ	［2］昂								
x	［1］汤夯［2］唐糖行{银~}航杭降{投~}塘□{猪交配}［6］项巷								
#iɔŋ									
t	［2］良凉梁粱量{丈~}	［3］两辆［6］亮谅量{重~}								
ȵ	［2］娘［3］仰［6］让酿								
tɕ	［1］将{~军}浆缰疆僵礓姜薑［3］蒋奖桨［5］酱将{~帅}								
tɕʰ	［1］枪姜眶［2］墙强{~大}［3］抢强{勉~}［5］呛［6］匠像								
ɕ	［1］相{互~}箱厢湘襄镶香乡［2］详祥［3］想晌享响饷［5］像=向相{~声}［6］橡象								
Ø	［1］央泱秧殃［2］羊洋杨阳扬疡烊{融化}［3］养［6］样炀								
#uɔŋ									
k	［1］光［3］广［5］逛								
kʰ	［1］匡筐［2］狂［5］旷矿								
Ø	［1］汪［2］亡黄-王妄忘=隍［3］网=枉往［6］旺								
#uŋ									
p	［3］□{抱小孩}								
pʰ	［2］朋蓬篷棚=［3］捧								
m	［1］蒙?{蒙住口}［2］蒙□{描摹}［3］懵□{雾}［6］梦								
f	［1］烘风枫疯丰封蜂峰锋［2］红洪虹鸿冯逢弘缝{~衣服}［3］哄［5］讽［6］凤奉缝{~隙}								
t	［1］东冬中忠终钟盅舂［2］□{用拳头打}［3］董懂种肿［5］冻栋中{射~}众种								
tʰ	［1］通充重{轻~}冲［2］同铜桐筒重{~复}虫童瞳［3］桶捅统宠［5］痛铳［6］动洞仲								
l	［1］□{傀~崽戏:木偶戏}［2］聋齉笼农脓侬戎=绒=茸=隆［3］陇拢垅［6］弄								
ts	［1］棕宗鬃［3］总［5］粽综{~布}								
tsʰ	［1］聪囱匆葱［2］丛崇琼								
s	［1］松［3］怂耸［5］宋送［6］诵颂								
k	［1］公蚣工功攻［3］拱巩［5］贡供=汞								
kʰ	［1］空□{雷响的声音}［3］孔恐［5］控空								
x	［1］翁								
#yŋ									
t	［2］龙								
ȵ	［2］浓［6］□{皱}								
tɕ	［1］弓躬宫恭供{~养}踪［3］迥［5］纵								
tɕʰ	［1］从{~容}倾顷［2］松{~树}穷从{~来}［6］共								
ɕ	［1］嵩胸凶松［2］熊雄［5］嗅								
Ø	［1］拥雍壅［2］融容蓉镕庸荣萤莹荥熔茸-戎-绒-□{牙~：牙龈}□{溺爱}［3］勇［6］用□{~菜：浇菜}								
#ap									
f	［7］法［8］乏								
t	［7］答搭□{盖}								
tʰ	［7］踏坍塔榻塌遢								
l	［7］纳邋［8］腊蜡								
ts	［7］眨□{挽袖子}轧								
tsʰ	［7］插［8］杂闸煠								
k	［7］甲胛□{~米机:碾米机}［8］夹挟								
kʰ	［7］恰掐								
x	［8］狭峡洽								
Ø	［7］鸭押压								
#ɛp									
t	［7］摺								
s	［7］摄［8］涉涩								
#iɛp									
t	［7］跌［8］猎								
tʰ	［7］帖贴［8］叠碟牒谍蝶□{量词，一~药：一味药}								
ȵ	［7］聂镊蹑捏［8］业								
tɕ	［7］接荚劫								
tɕʰ	［7］妾怯［8］捷								
ɕ	［7］楔?{用木片等将桌椅等垫平}［8］胁协								
Ø	［7］𥣘{不饱满}［8］页叶								
#ɔp									
ts	［8］□{~药:抓药}								
k	［7］鸽合								
kʰ	［7］瞌［8］磕								
x	［7］喝［8］合盒								
#ip									
t	［7］执立［8］笠粒								
ȵ	［8］入								
tɕ	［7］急级给汁［8］吸?								
tɕʰ	［7］泣［8］及集缉辑								
ɕ	［7］湿吸［8］十拾什习袭								
Ø	［7］揖								
#at									
p	［7］八								
pʰ	［8］拔钹								
f	［7］发［8］罚伐筏								
t	［8］□{扔}澾?{~粘：很粘}								
