#符号说明：-白=文/书*俗?待考	
#调值	[1]⁴⁴ [2]³¹ [3]⁵⁴ [5]³⁵ [6]²¹³
#ɿ	
f	[1]风枫疯丰封峰蜂锋烽[2]冯逢缝[3]讽[5]凤奉俸
t	[1]东冬[2]垌[3]董懂[5]侗冻栋[6]动洞
tʰ	[1]通捅[2]同铜桐筒茼童瞳彤[3]桶统铳[5]痛
n	[1]燶哝[2]农脓浓[3]齈{鼻子不通}[5]□{水浑浊}[6]弄
l	[1]窿[2]龙咙珑笼聋胧隆[3]拢笼陇垄
ts	[1]宗综踪鬃棕鬃[3]总[5]粽[6]纵讼
tsʰ	[1]聪匆葱囱[2]从丛崇松{~树}
s	[1]松{~紧}鬆嵩[3]耸怂[5]送宋
tʃ	[1]中{当~}忠衷钟盅终[3]种{品~}肿仲[5]中{打~}众种{耕~}
tʃʰ	[1]冲充舂[2]虫重重复[3]揰宠[6]重{轻~}
k	[1]公蚣工功攻弓躬宫恭{供~}应龚[3]拱巩汞[5]贡供{上~}[6]共
kʰ	[1]空{天~}[3]孔恐[5]空{~缺}控
x	[1]轰烘[2]红虹讧弘宏洪鸿[3]哄[5]□{热闹}
Ø	[1]嗡翁瓮[3]□{推搡}[5]蕹

#ioŋ	
kʰ	[2]穷
x	[1]兄凶汹胸匈[2]雄
Ø	[1]壅臃邕痈拥{~护}庸[2]荣戎绒熊融茸容蓉镕溶熔[3]蛹踊勇涌恿俑[5]佣用
