#汉字	音标	解释
#来源	/	林德威《Problems in Comparative Chinese Dialectology》
#声调	/	1阴平455 2阳平22 3阴上35 5阴去14 6阳去阴入52 8阳上阳入43ʔ 9小称343
坐	tsɛʔ8	
罪	tsɛ6	
切	tsʰɛ6	
衰	sɛ1	倒霉，瘦
围	vɛ2	~身：身体
禾	vɛ2	
和	vɛ2	~尚
改	kɛ3	
怀	kuɛ2	麦子孕穗
胲	kɛ1	喉结
髻	kuɛ5	
怪	kuɛ5	
盖	kɛ5	
开	kʰɛ1	
快	kʰuɛ5	
外	ŋua6	
海	hɛ3	
亥	hɛʔ8	
灰	fɛ1	
䀁	fɛ2	瓷器
火	fɛ3	
会	fɛ6	
纸	tʃɨ3	
蜇	tʃɨ6	
汁	tʃɨ6	
织	tʃɨ6	
侄	tʃɨʔ8	
舌	ʃəiʔ8	
识	ʃɨ6	
十	ʃɨʔ8	
蚀	ʃɪʔ8	蚀本
结	kɛ6	打结
橘	kɛ9	
柿	kʰɛʔ8	
出	kʰʉi6	
月	ŋʉiʔ8	
平	pɪ2	
坪	pɪ2	
丙	pɪ3	
饼	pɪ3	
柄	pɪ5	
摒	pɪ5	藏
病	pɪ6	
名	mɪ2	
命	mɪ6	
晾	lɪ2	
岭	lɪ3	
领	lɪ3	
另	nɪ6	
精	tsɪ1	漂亮
晴	tsɪ2	
𫗚	tsɪ3	味淡
井	tsɪ3	
青	tsʰɪ1	
请	tsʰɪ3	
醒	tsʰɪ3	
生	tsʰɪ1	训，本字为青
姓	sɪ5	
猄	kɪ1	
颈	kɪ3	
镜	kɪ5	
跨	kɪ6	训
轻	kʰɪ1	
浸	tsə̃5	
真	tʃə̃1	太，非常
针	tʃə̃1	
真	tʃə̃1	
珍	tʃə̃1	~珠
沉	tʃʰə̃2	
尘	tʃə̃2	
枕	tʃə̃3	
针	tʃə̃5	叮
深	tʃʰə̃1	
寻	tsə̃2	一~
塍	tʃʰə̃2	
程	tʃʰə̃2	
称	tʃʰə̃5	
沉	tʃʰə̃6	训，鱼咬钩时提起鱼竿
升	ʃə̃1	量词
申	ʃə̃1	地支
升	ʃə̃1	动词
身	ʃə̃1	
神	ʃə̃2	
辰	ʃə̃2	地支
婶	ʃə̃5	
圣	ʃə̃5	~筊
籯	iə̃2	一种小畚箕
壬	iə̃2	天干
龈	fiə̃2	训，牙龈
永	viə̃3	
薳	viə̃9	树芽
闰	viə̃6	
今	kiə̃1	
金	kiə̃1	
跟	kiə̃1	
唇	fiə̃2	边缘
紧	kiə̃3	紧，越来越
妗	kiə̃ʔ8	
肾	kiə̃ʔ8	鸡胗
凝	ŋiə̃e6	训
淬	kiə̃5	训，淬火
根	kyə̃1	
斤	kyə̃1	
筋	kyə̃1	
振	kyə̃1	发抖
巾	kyə̃1	
准	kyə̃3	
近	kyə̃ʔ8	
圳	kyə̃5	
牵	kʰiə̃1	
琴	kʰiə̃2	
芹	kʰiə̃2	
肯	kʰiə̃3	
春	kʰyə̃1	
椿	kʰyə̃1	
伸	kʰyə̃1	
人	ŋiə̃2	
银	ŋyə̃2	
忍	ŋyə̃3	
韧	ŋyə̃6	
斑	pəiŋ1	
边	pəiŋ1	
反	pəiŋ3	
篇	pʰəiŋ1	
䘆	pʰəiŋ3	
办	pʰəiŋ6	烹饪
慢	məiŋ6	
甜	təiŋ2	
填	təiŋ2	
田	təiŋ2	
点	təiŋ3	
店	təiŋ5	
殿	təiŋ6	
靛	təiŋ6	
年	nəiŋ2	
踮	nəiŋ5	训
莲	ləiŋ2	
鲢	ləiŋ2	~鲤：穿山甲
瓣	ləiŋ5	训
前	tsəiŋ2	
剪	təiŋ3	买草药
盏	tsəiŋ3	
藓	tsʰəiŋ3	
先	səiŋ1	
毡	tʃəiŋ1	
□	tʃʰəiŋ5	高粱
辗	tʃʰəiŋ5	训，翻滚
闪	ʃəiŋ3	
鳝	ʃəiʔ8	
扇	ʃəiŋ5	
俺	əiŋ1	训，咱们
烟	əiŋ1	
盐	əiŋ2	
檐	əiŋ2	
援	əiŋ3	训，翻被子，翻页
踩	əŋ3	训，脚踩到东西痛
艾	əiŋ5	
燕	əiŋ5	
园	vəiŋ2	
圆	vəiŋ2	
铅	vəiŋ2	
䘼	vəiŋ3	袖子
远	vəiŋ3	
县	vəiŋ6	
肩	kəiŋ1	
间	kəiŋ1	
笕	kəiŋ3	
砖	kuəiŋ1	
转	kuəiŋ3	
牶	kʰuəiŋ5	牛鼻木
建	kuəiŋ5	
磕	kʰəiŋ3	训，用石头敲开
盖	kʰəiŋ5	训，盖住食物
缝	kʰəiŋ6	训，裂缝
穿	kʰuəiŋ1	
传	kʰuəŋ2	
串	kʰuəiŋ5	
劝	kʰuəiŋ5	
眼	ŋiəiŋ3	龙~
言	ŋuəiŋ2	
源	ŋuəiŋ2	赖~：地名
软	ŋuəiŋ3	
闲	həiŋ2	
苋	həiŋ5	
船	fəiŋ2	
献	fəiŋ5	训，摆动
编	pəiŋ1	名词
编	pəiʔ8	动词
变	pəiŋ5	
骗	pʰəiŋ5	
棉	məiŋ2	
面	məiŋ6	麪
癫	təiŋ1	
颠	təiŋ1	
缠	tʃəiŋ2	
掂	təiŋ5	
电	təiŋ6	
天	tʰəiŋ1	
添	tʰəiŋ1	
镰	ləiŋ2	~铁：肝
链	ləiŋ6	
炼	ləiŋ6	
煎	tsəiŋ1	
□	tsəiŋ1	行贿，塞住瓶子
尖	tsəiŋ1	
钱	tsəiŋ2	
吮	tsəiʔ8	
箭	tsəiŋ5	
旋	tsəiŋ6	
贱	tsəiŋ6	
千	tsʰəiŋ1	
浅	tsʰəiŋ3	
蹭	tsʰɪ5	训，刮下
鲜	səiŋ1	
先	səiŋ1	~生
线	səiŋ5	
碱	kəiŋ1	草木灰
囝	kəiŋ3	
件	kəiŋ6	
□	pa1	用于忘记
饱	pa3	
豹	pa5	
刨	pʋ2	
泡	pʰʋ5	
鳔	pʰʋ5	
茅	ma2	
猫	miɵ5	
多	ta1	人称复数标记，几~：多少
打	ta3	普化说法中用
大	ta6	
拖	tʰa1	~鞋
脱	tʰa6	
□	la2	用于蜘蛛
癞	la5	
焦	tsa1	训，干燥
爪	tsa3	
漈	tsa5	瀑布
扎	tsa6	把长细的东西绑起来
裁	tsʰa2	
炒	tsʰa3	
𢲵	tsʰa5	搅拌
蔡	tsʰa5	姓，本地没有
铝	sa1	用于铝的传统名称
沙	sa1	
酾	sa1	倒酒
畲	sa2	人
阿	a1	亲属的前缀
拗	a3	
铰	ka1	用剪刀剪，买布料
胶	ka1	
解	ka3	解毒
搅	ka3	手臂的圆周运动
蚧	ka5	
筊	ka5	
个	ka5	
个	ka5	
教	ka5	
较	ka5	
跤	kʰa1	脚
概	kʰa3	
我	ŋaʔ8	
哈	ha2	吹热气
包	pa1	
簸	pa5	
钵	pa6	大陶碗，花盆
柚	pʰa1	训
破	pʰa5	
炮	pʰa5	
泼	pʰa6	
劈	pʰa6	
挂	pʰaʔ8	训，挂在手臂上
磨	ma2	
卯	ma3	地支
抹	ma6	
带	ta5	
戴	ta5	~耳环，项链
笪	ta6	
拖	tʰa1	拖动
焫	na6	烫
箩	la2	
拉	la2	训，伸舌头，垂下
萝	lɵ2	萝卜
濑	la5	河滩
赖	la6	赖源
邋	laʔ8	用于脏
灾	tsa1	
斋	tsa1	
才	tsa2	奴~
扎	tsaʔ8	训，稳定
再	tsa5	
吸	tsa6	训，吸出
猜	tsʰa1	
抄	tsʰa1	
擦	tsʰa6	
獭	tsʰa6	
豺	sa2	馋，狼
萨	sa6	菩~
歪	va1	丑
交	ka1	~春：立春
割	ka6	收获，雕刻
葛	ka6	
□	kuaʔ8	一~痰
会	faʔ8	训，用于不会
条	ta2	
鸟	ta3	
钓	ta5	
铫	ta6	
粜	tʰa5	
寮	la2	
了	la3	
料	la6	
黏	ŋa2	训
壁	pia6	
撇	pʰia6	笔画
劈	pʰia6	
摸	mia1	
籴	taiʔ8	
舔	la2	训
历	liaʔ8	训，装谷物的篮子
姐	tsia3	
谢	tsʰia6	姓氏
□	tsia6	劈里啪啦
脊	tsia6	
迹	tsia6	
借	tsiɵ6	
斜	tsʰia2	
笡	tsʰia5	陡，斜
刺	tsʰia6	织，刺猪
蓆	tsʰiaʔ8	草席
鳍	sia1	训，鱼鳍
写	sia3	
谢	sia5	花谢，感谢
惜	siɵ6	疼爱
粞	sia6	训，面粉，浸泡
锡	sia6	
鹊	sia6	乌~：喜鹊
也	ia3	
毑	ia5	丈夫的妈妈，祖母
□	kia1	用于屎壳郎
帚	kia6	训，扫净
夹	kia6	训，黏
隔	kia6	~壁
屐	kiaʔ8	
擎	kʰia2	扛，拿笔，打伞
擎	kiaʔ8	训，鸡交配
□	kʰia2	蜘蛛
靴	ʃʋ1	
桸	fɪ1	瓢
褟	tʃʰʋ6	吊，捆住手
拆	tʃʰʋ6	
快	liu6	训
爷	iʋ2	
野	iʋ3	
叶	iaʔ8	训，拍打翅膀
搲	iʋ3	抓紧
拾	ŋiʋ6	训，弯腰用两手捡起东西
泡	pʰaiʔ8	训，泡沫
没	mai6	训，木头腐烂
凸	tʰaiʔ8	训，坍塌，凸出
艻	lai6	刺
脱	lai6	脱落
捋	laiʔ8	
卒	tsai9	棋子
拭	tsaiʔ8	训，擦
疾	tsɨʔ8	痛
塞	tsʰai6	塞粪
息	sai6	曾孙
戌	sai6	地支
熨	vi6	
滑	vaiʔ8	
捡	vai6	训，用畚箕捡
国	kuai6	
掘	kuaiʔ8	
窟	kʰuai6	
摔	fai6	训，摔倒
核	faiʔ8	果核
佛	faiʔ8	
笔	pai6	
必	pai6	裂开
北	pai6	
卜	paiʔ8	萝卜
墨	maiʔ8	
密	maiʔ8	
得	tai6	
直	tʃɨʔ8	
侄	tʃɨʔ8	
踢	tʰai6	
笠	lai6	
立	laiʔ8	用于节气
栗	laiʔ8	
力	laiʔ8	
测	tsai6	把脉
侧	tsai6	
七	tsʰai6	
漆	tsʰai6	
戚	tsʰai6	
塞	tsʰai6	放入，堵塞
膝	tsʰai6	
贼	tsʰaiʔ8	
翼	saiʔ8	
习	saiʔ8	~惯
事	sai6	用于东西
虱	sai6	
色	sai6	
一	ai6	
乙	ai6	
歇	haiʔ8	
冰	pə̃1	
兵	pə̃1	
崩	pə̃1	
瓶	pə̃2	
便	pən2	~宜
凭	pʰə̃6	靠
明	mə̃2	聪~
眠	mə̃2	
丁	tə̃1	天干
□	tə̃1	动词后缀，表示丢失或离开的动作
钉	tə̃1	
灯	tə̃1	
藤	tə̃2	
陈	tʃə̃2	
等	tə̃3	
顶	tə̃3	一~斗笠，最
凳	tə̃5	
定	tə̃6	定日子，必定
厅	tʰə̃1	
汀	tʰə̃1	~江
奶	nə̃1	
宁	nə̃2	~洋，地名
嫩	nə̃6	
捏	nə̃6	训，摘花
鳞	lə̃1	
凌	lə̃2	~冰：冰
林	lə̃2	
锅	lə̃2	训，铸造铁锅
零	lə̃2	
冷	lə̃3	
曾	tsə̃1	
昨	tsə̃2	
层	tsə̃2	
情	tsə̃2	行~
尽	tsə̃6	
亲	tsʰə̃1	
清	tsʰə̃1	水清澈
新	sə̃1	
心	sə̃1	
生	sə̃1	接~婆，先~
星	sə̃1	
辛	sə̃1	天干，~苦
参	sə̃1	人~
蝇	sə̃2	
省	sə̃3	
信	sə̃5	
擤	sə̃5	
性	sə̃5	
囟	sə̃5	额~：前额
烟	ə̃1	烟，熏蚊子
音	ə̃1	
阴	ə̃1	
印	ə̃5	
应	ə̃5	回应
屻	ə̃e6	山岗，用于地名
眩	ʃə̃2	眩晕
□	hə̃2	~朝：明天
恒	hə̃2	紧
杏	hə̃6	
剥	pɒo6	
腹	pɒo6	
缚	pɒoʔ8	
朴	pʰɒo6	小猪
覆	pʰɒo6	翻转
目	mɒoʔ8	
木	mɒoʔ8	
斫	tɒo6	
涿	tɒo6	淋雨
毒	tʰɒoʔ8	老的说法
读	tʰɒoʔ8	
脑	nɒoŋ3	
揉	nɒo6	训，揉，搅拌
漉	lɒo6	陷入泥中
摝	lɒo6	套上袋子保护
摝	lɒoʔ8	翻谷
鹿	lɒoʔ8	
竹	tʃɒo6	
烛	tʃɒo6	
畜	tʃʰɒo6	
甩	tʃʰɒoʔ8	训，甩干
叔	ʃɒo6	
熟	ʃɒoʔ8	
屋	ɒo6	
沃	ɒo6	浇水
菊	kɒo6	
鼓	kɒo6	训，结实
谷	kɒo6	
角	kɒo6	鸡~：小公鸡
哭	kʰɒo6	
盖	kʰɒoʔ8	覆盖
后	hia6	~生
福	fɒo6	福建
老	lɵ3	~虎，~鼠
落	lɵ6	角~
镯	tsʰɵʔ8	手镯
浞	tsʰɵʔ8	呛水
角	kɵ6	~落
靠	kʰɵ5	
藕	ŋɵ3	
六	liɒoʔ8	
绿	liɒoʔ8	
录	liɒoʔ8	
聚	tsʰiɒoʔ8	靠近，加入
刺	tsʰiɒo6	训
涩	siɒo6	
粟	siɒoʔ8	
翘	kʰiɵ5	
猫	ŋiɒoŋ1	
皱	ŋiɒo6	
玉	ŋiɒoʔ8	
翕	hɒoʔ8	闷热，湿热
枫	paŋ1	
枋	piɒoŋ1	
□	paŋ3	伯母合音
放	piɒoŋ5	
蜂	pʰaŋ1	
帆	pʰaŋ2	
冯	pʰaŋ2	
缝	pʰaŋ6	
幎	maŋ1	覆盖
咀	maŋ3	训，没牙的人咀嚼东西
梦	maŋ5	
冬	taŋ1	
东	taŋ1	
铜	taŋ2	
童	taŋ2	
筒	taŋ2	
同	taŋ2	
动	taŋʔ8	
重	taŋʔ8	
冻	taŋ5	
崠	taŋ5	山顶
通	tʰaŋ1	
虫	tʰaŋ2	
桶	tʰaŋ3	
脓	naŋ6	
聋	laŋ1	
窿	laŋ1	走廊，洞
笼	laŋ2	
砻	laŋ2	
笼	laŋ3	
弄	laŋ6	交合
棕	tsaŋ1	
鬃	tsaŋ1	
丛	tsaŋ2	
总	tsaŋ3	拢总
粽	tsaŋ5	
葱	tsʰaŋ1	
聪	tsʰaŋ1	
双	saŋ1	
松	saŋ1	
㧐	saŋ3	推
送	saŋ5	
宋	saŋ5	
舂	tʃaŋ1	
钟	tʃaŋ1	
种	tʃaŋ3	
肿	tʃaŋ3	
种	tʃaŋ5	芒种
着	tʃɵ6	穿衣服
冲	tʃʰaŋ1	
铳	tʃʰaŋ5	
