#符号说明：-白=文/书*俗?待考	
#调值	［1］21［2］35［3］212［5］53 ［7］5
#ɿ	
l	[1]拈[2]连莲廉镰帘联怜年粘[3]脸撵捻碾[5]练炼链恋殓敛念砚
tɕ	[1]肩奸间兼坚监艰笺煎尖[3]柬拣减碱俭检捡简剪[5]件间涧建健键鉴见舰剑谏箭践贱溅渐荐
tɕʰ	[1]牵谦千仟阡迁签铅纤[2]钱黔钳虔乾前[3]浅遣谴潜[5]欠歉纤堑嵌
ɕ	[1]掀先仙鲜[2]咸嫌闲贤衔[3]险显[5]现宪限县献线腺陷馅
	[1]烟咽胭淹腌[2]延蜒研檐严言炎颜盐沿[3]掩演眼筵[5]燕咽焰厌验艳谚宴堰雁
#yɪ̃	
tɕ	[1]捐鹃娟绢[3]卷茧[5]倦卷圈眷毽券
tɕʰ	[1]圈[2]拳权颧泉全[3]犬[5]劝
ɕ	[1]宣喧萱轩仙鲜渲[2]玄悬弦舷炫眩[3]选癣鲜[5]旋漩楦羡
	[1]渊冤鸳[2]元圆原源垣员袁猿辕援缘阎[3]远[5]院愿怨苑
#õ	
p	[1]搬[5]半伴拌
pʰ	[1]潘[2]盘[5]判-叛-
m	[1]满[2]瞒馒[3]满[5]漫-
t	[1]端[3]短[5]段缎锻断
tʰ	[1]贪[2]团-坛
l	[2]栾峦挛孪[3]卵暖[5]乱糯
ts	[1]钻专砖毡粘沾[3]转[5]钻传转篆撰
tsʰ	[1]氽川穿[2]船传椽蚕[3]喘[5]窜串篡
s	[1]酸扇膻[3]闪-[5]算蒜扇善-鳝
z	[3]软染
k	[1]官倌棺观-冠-干-肝-甘-[3]管馆赶-敢-[5]灌罐贯-冠-
kʰ	[1]宽看-[3]款-[5]看-
x	[1]欢-獾[2]涵-寒-[3]缓-[5]换唤-痪-汗-
	[1]豌安-鞍-庵-[2]丸完-[3]碗婉-皖-腕-[5]案-暗-
#ən	
p	[1]奔绷[3]本绷[5]笨奔
pʰ	[1]喷烹[2]盆
m	[1]闷扪[2]门们[5]闷
f	[1]分吩纷芬氛[2]坟焚[3]粉[5]奋粪愤忿份分畚
t	[1]登灯敦墩蹲吨[3]等盹[5]凳瞪澄邓钝顿囤炖盾遁
tʰ	[1]吞[2]疼滕藤腾誊屯臀[5]退褪
l	[1]愣[2]棱能仑沦伦轮纶囵[3]冷[5]愣楞论嫩
ts	[1]针珍贞侦真斟砧甄曾增正征争峥狰睁筝蒸尊遵臻[3]怎枕诊疹整拯[5]振震阵镇赠憎正政症证挣郑枕
tsʰ	[1]参称撑村皴[2]岑沉忱辰晨陈臣尘曾层成城诚盛呈程丞承乘橙澄惩存[3]逞骋[5]趁衬称蹭秤寸忖
s	[1]森申伸呻绅深参身僧升生牲笙甥声孙[2]神绳[3]审婶沈省笋损榫[5]甚葚渗慎肾胜剩盛圣
k	[1]根跟更耕庚羹[3]梗埂哽耿粳[5]更亘
kʰ	[1]坑吭铿[3]肯啃垦恳
x	[1]亨哼[2]痕恒衡[3]很狠[5]恨
	[1]恩樱扔[2]人壬任仁仍[3]忍[5]刃纫韧认任硬
#in	
p	[1]滨宾槟缤斌彬冰兵[3]丙炳饼禀秉[5]鬓殡并病柄
pʰ	[1]拼姘乒[2]贫频平评坪苹萍屏瓶凭[3]品评[5]聘
m	[2]民明名鸣[3]敏抿闵闽皿铭冥[5]命
t	[1]丁钉盯仃叮疔[3]顶鼎[5]定锭订钉
tʰ	[1]听厅[2]亭停廷庭蜓霆[3]挺艇
l	[1]拎[2]林淋邻磷鳞麟临伶零龄铃羚玲翎瓴凌陵绫菱灵棂宁咛狞柠凝[3]领岭拧[5]另令吝躏
tɕ	[1]今矜巾斤金筋襟津京惊鲸经荆兢旌睛精晶[3]仅谨紧锦景颈警井[5]近禁劲尽烬进晋竟竞境镜敬径净静靖茎
tɕʰ	[1]侵亲钦轻氢卿青清蜻浸[2]琴勤禽擒芹秦擎情晴[3]请寝[5]沁庆亲罄磬
ɕ	[1]欣心芯辛锌新薪星腥猩惺[2]形邢刑型行[3]醒[5]信衅囟幸杏兴姓性
	[1]因姻茵音殷阴荫英鹰婴樱缨鹦莺[2]银寅淫吟营萤荧茔萦盈迎蝇[3]引蚓隐瘾饮尹影颖[5]印窖映应
#uən	
ts	[1]谆[3]准
tsʰ	[1]春椿[2]醇淳唇纯[3]蠢
s	[2]纯[5]顺舜瞬
k	[3]滚[5]棍
kʰ	[1]昆坤[3]捆[5]困睏
x	[1]昏婚荤馄[2]魂浑横[5]混
	[1]温瘟[2]文蚊纹闻吻[3]稳紊[5]问
#yn	
tɕ	[1]君军均钧肫[5]俊竣峻骏郡菌
tɕʰ	[2]群裙唇琼[3]顷倾
ɕ	[1]熏薰醺勋[2]循旬询苟巡寻纯讯[5]逊汛迅讯殉
	[1]晕[2]云纭耘匀赢允[5]运酝蕴韵熨孕晕闰润
#oŋ	
p	[1]崩绷[5]蹦迸
pʰ	[1]怦抨砰[2]朋棚鹏彭澎膨蓬篷[3]捧[5]碰
m	[1]嚎壕[2]蒙檬朦萌[3]猛锰蒙盟[5]梦孟
f	[1]丰峰锋蜂烽风枫疯封[2]冯逢缝[3]讽[5]奉俸缝凤
t	[1]东冬[3]董懂[5]洞冻栋动
tʰ	[1]通[2]同铜桐童瞳筒[3]桶捅统[5]痛
l	[1]脓[2]龙咙聋笼胧珑隆农浓脓[3]拢垄陇笼[5]弄
ts	[1]宗棕踪综鬃中衷忠钟终[3]总种肿踵冢[5]纵粽仲种中重众
tsʰ	[1]匆葱囱聪冲充舂[2]从丛虫重崇[3]宠[5]冲
s	[1]松嵩[2]辰[3]耸怂[5]宋送讼颂诵
k	[1]工功攻公弓躬恭宫[3]巩拱[5]共供贡汞
kʰ	[1]空[3]孔恐[5]空控
x	[1]烘哄轰[2]红虹=鸿宏洪[3]哄[5]哄讧
	[1]翁嗡[5]瓮蕹
#ioŋ	
tɕ	[3]炯迥窘
tɕʰ	[2]穷琼
ɕ	[1]凶汹匈胸兄[2]雄熊
	[1]庸臃[2]容溶熔榕蓉荣嵘茸戎绒融冗[3]永泳咏勇涌踊恿拥[5]用佣
#aʔ	
p	[7]八捌拔跋
pʰ	[7]啪
m	[7]抹
f	[7]发乏伐筏阀罚法珐
t	[7]答搭达瘩
tʰ	[7]塌榻踏沓塔秃
l	[7]辣瘌蜡腊纳呐钠捺
ts	[7]砸咂扎杂札轧炸铡闸眨栅蔗
tsʰ	[7]察擦檫插
s	[7]撒飒萨卅杀刹煞霎
k	[7]夹挟胳轧
kʰ	[7]掐
x	[7]瞎
	[7]鸭押压阿
#iaʔ	
