音標	調類	調值	
kuɛ	1	22	捐鵑
kuɛ	3	53	捲
kuɛ	5	213	卷絹
kuɛ	7	45	厥憠掘決訣國
kuɤ	1	22	官棺觀冠鳏
kuɤ	3	53	管館
kuɤ	5	213	贯灌罐觀冠
kuɤ	7	45	骨郭
kuɔ	1	22	瓜
kuɔ	3	53	寡剮
kuɔ	5	213	掛卦
kyɔ	5	213	□（存疑，脆響聲，見於《湖北崇陽方言音系及特點》/kuiaC1/）
kɑŋ	1	22	岡崗剛綱鋼缸鋼羹（白）
kɑŋ	3	53	講港
kɑŋ	5	213	杠
kən	1	22	公蚣工功攻弓躬宫恭供
kən	3	53	汞拱鞏
kən	5	213	貢供
kiɛ	1	22	跟根更粳庚耕羹
kiɛ	3	53	哽埂梗耿整（訓讀）
kiɛ	5	213	更鋸
kiɛ	7	45	格革
kɤ	1	22	甘柑泔尷干肝竿乾
kɤ	3	53	感敢橄桿稈擀趕
kɤ	7	45	合蛤鴿割葛
kɔ	1	22	家痂
kɔ	3	53	假
kɔ	5	213	架駕嫁嗰（結構助詞，表修飾）
kɔ	7	45	隔
kʊ	1	22	歌哥戈
kʊ	3	53	果
kʊ	5	213	個嗰（結構助詞，表領屬）箇（kʊ˨˦，近指代詞）過
kʊ	7	45	各閣擱胳角
m̩	3	53	姆（～媽）
ma	2	21	埋蠻鰻
ma	3	53	買
ma	6	44	賣邁慢蔓
mɑu	2	21	毛茅矛錨
mɑu	3	53	卯
mɑu	6	44	冒帽貌冇
mi	2	21	迷梅枚媒煤糜彌眉楣黴
mi	3	53	米每靡美尾（或為「～巴儿」，mi pɑŋ）
mi	6	44	謎妹昧媚寐
mi	7	45	祕泌密蜜覓搣（撕開）
min	2	21	民明名鳴銘
min	3	53	閩憫敏抿皿
min	6	44	命
miɑŋ	2	21	明（白）名（白）
miɑŋ	6	44	命（白，革～）
miəu	6	44	謬
miɛ	2	21	綿棉眠
miɛ	3	53	免勉娩緬澠
miɛ	6	44	面麵
miɛ	7	45	滅篾搣（又讀，撕開）墨陌（～生）
miʊ	1	22	貓
miʊ	2	21	苗描謀眸
miʊ	3	53	藐渺秒某畝牡
miʊ	6	44	廟妙茂貿謬
mɑŋ	2	21	忙芒茫芒盲
mən	2	21	門萌盟蒙
mən	3	53	猛懵蠓
mən	6	44	悶孟夢
mɤ	2	21	瞞
mɤ	3	53	滿
mɤ	6	44	漫幔
mɤ	7	45	末沫抹
mɔ	1	22	媽
mɔ	2	21	麻痲蟆
mɔ	3	53	馬碼
mɔ	6	44	罵
mɔ	7	45	麥
mʊ	1	22	摸饃
mʊ	2	21	魔磨摩模模摹膜
mʊ	3	53	母拇麼（～時際：甚麼時候；～地方，甚麼地方）
mʊ	6	44	磨暮慕墓募
mʊ	7	45	莫幕寞摸木目穆牧
n̩	2	21	蜈吳
n̩	3	53	你爾五伍恁嗯
na	2	21	來攋藍籃難蘭攔欄難
na	3	53	乃奶覽攬欖纜懶
na	6	44	耐奈賴癩濫爛
na	7	45	拿納臘蠟捺辣瘌□（用嘴舔）□（眨眼）
nɑu	1	22	撈嘮
nɑu	2	21	勞牢撓
nɑu	3	53	腦惱老
nɑu	6	44	澇鬧
nɑŋ	2	21	囊郎廊狼蜋
nɑŋ	3	53	朗冷（白）
nɑŋ	6	44	浪
nən	1	22	聾
nən	2	21	論崙倫淪輪籠農膿儂隆濃龍凌（存疑，～包子：冰雹）□（或為「凌」，～包子：冰雹）
nən	6	44	嫩論弄
nəu	2	21	奴盧爐蘆（包～：玉米）鸕廬
nəu	6	44	怒路賂露鷺
nəu	7	45	鹿祿陸錄
nɤ	2	21	南男漤鸞
nɤ	3	53	暖卵
nɤ	6	44	亂
nɤ	7	45	捋
nɔ	1	22	拉
nɔ	3	53	哪（～呐，哪里）
nɔ	5	213	那（口語中用「渠」）哪（～个，～样：怎么）
nɔ	7	45	拿
nʊ	1	22	囉
nʊ	2	21	挪羅鑼籮騾螺
nʊ	3	53	裸
nʊ	7	45	洛烙珞笿絡落袼諾酪雒駱樂犖
pa	1	22	班斑扳
pa	3	53	擺跛板版
pa	5	213	拜扮
pa	7	45	八不
pa	1	22	班
pɑu	1	22	褒包胞
pɑu	3	53	保堡寶飽
pɑu	5	213	報鮑豹爆
pi	1	22	杯碑卑悲
pi	3	53	彼鄙比秕
pi	5	213	貝秘輩（一～[pi˨˦]輩）
pi	7	45	臂畢必逼碧璧
pin	1	22	彬賓檳冰兵
pin	3	53	禀丙秉柄餅
pin	5	213	殯鬢併
piɑŋ	3	53	柄（白）餅（白）
piɛ	1	22	鞭編邊（～弦：邊）
piɛ	3	53	貶蝙扁匾
piɛ	5	213	變
piɛ	7	45	屄别鼈憋北
piɔ	7	45	壁（白）
piʊ	1	22	臕標彪
piʊ	3	53	表錶
pu	3	53	補
pu	5	213	布
pɑŋ	1	22	幫邦巴（或為「尾～儿」，mi pɑŋ）
pɑŋ	3	53	榜綁
pɑŋ	5	213	謗棒
pən	1	22	奔錛崩
pən	3	53	本
pən	5	213	逩迸
pɤ	1	22	頒般搬
pɤ	5	213	半
pɤ	7	45	鉢撥
pɔ	1	22	巴（尾～，vi pɔ）芭疤
pɔ	3	53	把㞎
pɔ	5	213	霸欛壩垻
pɔ	7	45	爸百柏伯
pʊ	1	22	波菠玻
pʊ	3	53	簸（顛~）跛
pʊ	5	213	簸
pʊ	7	45	博剝駁
sa	1	22	腮鰓篩衰摔三衫珊山删
sa	3	53	甩散傘
sa	5	213	賽寨帥率（～領）釤散疝
sa	7	45	撒薩殺
sɑu	1	22	騷臊梢捎稍燒
sɑu	2	21	韶
sɑu	3	53	嫂少
sɑu	5	213	掃掃潲潲少
sɑu	6	44	邵紹
sɑŋ	1	22	生（白，陌～）牲（白）甥（白）聲（白）桑喪霜孀商傷雙雙
sɑŋ	2	21	成（白）盛（白）常嘗裳償
sɑŋ	3	53	省（白）嗓搡爽賞晌餉
sɑŋ	5	213	喪
sɑŋ	6	44	上尚
sən	1	22	深身申伸娠孫升勝鬆嵩
sən	2	21	神辰晨臣唇純蒓醇乘繩承丞
sən	3	53	沈審嬸損省慫
sən	5	213	遜勝聖送宋誦頌訟
sən	6	44	葚甚滲腎愼順舜剩盛
səu	1	22	疏書舒樞輸殊輸收蘇酥梳蔬
səu	3	53	數手首守
səu	5	213	素訴塑恕數戍漱獸授售
səu	6	44	鼠署豎樹受壽
səu	7	45	速叔熟淑束屬宿
sɤ	1	22	羶搧酸閂拴
sɤ	2	21	船蟬
sɤ	3	53	閃（存疑，曝～：閃電）塍（存疑，田～：田埂）堘（存疑，田～：田埂）
sɤ	5	213	扇算蒜涮
sɤ	6	44	善鱔
sɤ	7	45	濕十什拾實失室術述秫食蝕識飾適釋攝涉舌設折說
sɔ	1	22	沙紗奢賒杉
sɔ	2	21	蛇佘
sɔ	3	53	灑
sɔ	5	213	曬
sɔ	6	44	社射麝赦舍
sɔ	7	45	刷（～牆）石
sɿ	1	22	師絲斯廝撕施私師獅尸屍司絲思思詩梳（～吶：梳子）
sɿ	2	21	匙時（～際：時候）鰣
sɿ	3	53	所死矢屎使史駛始
sɿ	5	213	世勢四肆試式
sɿ	6	44	誓逝是氏示視嗜似祀巳士仕柿事市恃侍
sʊ	1	22	蓑梭唆
