#参考资料 《安康牛蹄乡赣语方言岛同音字汇》
#调值 [1]阴平22 [2]阳平24 [3]上55 [5]阴去31 [6]阳去33 [7]入214
#ɿ
ts [1]资姿咨滋兹 [3]紫姊子梓滓
pʰ [1] 扑铺{～设} [2]蒲菩部簿孵甫脯朴卜{～卦} [3]谱普浦捕卜{萝～}埠扑{～克} [5]铺{店～} [6]步赴讣 [7]仆{～人}曝瀑
f [1]夫肤敷俘麸楸芙 [2]孵扶浮复 [3]府腑俯斧釜腐辅否蝠附 [5]付赋傅富副幅 [6]服父妇负 [7] 福複腹覆伏復
k [1]姑孤 [3]古估{～计}牯股鼓 [5]故固锢雇顾 [7]谷穀骨核{～桃}
kʰ[1]枯箍 [3]苦 [5]库裤 [6]酷 [7]哭窟
x [1]呼乎 [2]胡符湖狐壶浒斛 [3]虎 [6]户滬互瓠护忽
Ø [1]乌污坞巫誣娱 [2]吴蜈梧无 [3]五伍午悟抚武舞侮鹉握 [6]误务雾戊勿 [7]屋
#a
p [1]巴芭疤 [5]霸把{刀～}坝壩罢{～工} [7]爸八拔
pʰ [2]爬琶杷耙 [5]怕帕罢{～免} [6]罢
m [2]麻癫蟆妈 [3]蟆马码 [6]骂 [7]抹
f [2]法 [6]乏罚 [7]发伐筏
t [1]爹 [2]答搭 [3]打 [5]大 [7]达
tʰ [2]沓踏塌 [7]塔榻塌溻
l [2]纳 [3]哪 [5]捺 [6]拉 [7]腊蜡辣瘌
ts [2]砸{打～抢} [7]杂咂
tsʰ [7]擦礤
s [3]洒萨撒
tʂ [1]渣□{张开：～开} [3]眨 [5]诈榨乍炸闸栅柞 [7]札絷紮铡
tʂ [1]叉杈差{～不多} [2]茶搽查插察楂 [5]岔茬
ʂ [1]沙纱杉 [3]傻 [7]杀
k [2]夹挟 [3]尬 [5]稼
kʰ [2]掐蛤{～蟆}
ŋ [1]桠 [2]牙曲芽{～菜}伢 [3]哑 [5]砑{～平} [6]轧 [7]砑鸭
x [1]哈 [3]下 [5]下 [6]害 [7]瞎
Ø [1]阿
#ia
t [2]滴
tɕ [1]家加痂嘉佳像 [2]挾 [3]假贾 [5]驾架价嫁 [7]甲胛夹
tɕʰ [3]恰洽
ɕ [2]霞瑕遐峡狭 [5]夏春下{～降}暇 [6]匣夏 [7]蝦辖
Ø [1]鸦丫{～头} [2]衙芽涯牙{～刷} [3]亚雅 [7]押压
#ua
k [1]瓜 [3]寡 [5]卦掛 [7]刮
kʰ [1]誇 [3]侉垮剐 [5]跨
x [1]花 [2]华{中～}山滑铧猾划{～船} [5]化 [6]话画划
Ø [1]洼 [3]瓦 [7]挖袜
#ʯa
tʂ [1]抓 [3]爪
ʂ [7]刷
#o
p [1]波菠玻 [3]跛簸 [7]钵帛剥驳博勃饽
pʰ [1]颇坡 [2]婆 [3]剖泊 [5]破 [6]钹薄{～荷}泊{停～ } [7]泼
m [1]摸 [2]模摹谋魔摩馍 [3]某亩母拇膜 [6]暮墓磨慕募莫幕寞 [7]末沫目木穆牧没
f [7]佛
t [1]多 [3]躲 [5]剁 [7]夺铎
tʰ [1]拖托 [2]驼驮 [3]妥椭 [6]舵惰 [7]脱
l [1]哕 [2]骡螺脶挪罗锣箩 [6]摞 [7]落烙洛骆酪络乐{快～}诺
ts [3]左佐掇 [5]做 [6]凿 [7]撮作
tsʰ [1]搓矬 [5]锉座措错 [6]坐昨
s [1]蓑梭唆 [3]锁琐所 [7]缩束捆索
tʂ [7]着{～衣}桌酌卓琢啄涿捉镯浞
tʂʰ [3]戳 [6]着睡
ʂ [7]芍
ʐ [7]若弱
k[1]歌哥锅{铁～} [2]戈 [3]果裹 [5]个过過 [7]鸽割郭廓葛揭角阁搁胳各
kʰ [1]科棵窠窝 [2]聒 [3]可颗 [5]课 [7]磕渴括阔壳扩
ŋ [2]蛾鹅俄讹 [3]我 [6]饿 [7]恶
x [2]河何荷和禾 [3]火伙 [6]贺赫祸合霍藿盒豁活鹤 [5]货 [7]喝惑郝
Ø [1]哦
#io
l [3]略掠 [7]虐疟
tɕ [5]饺 [7]角{～度}觉{知～}脚
tɕʰ [3]雀鹊確却 [6]嚼 [7]吝啬
ɕ [6]学 [7]削
Ø [7]岳乐{音～}药钥约
#uo
Ø [1]屙窝阿{～胶} [7]物卧諉沃
#e
p [7]百北柏伯泊
pʰ [6]白 [7]迫拍魄
m [7]陌墨默麦脉
t [7]得德
l [6]捋 [7]肋勒
ts [6]择{～菜} [7] 泽责则择选宅窄侧{侧卧：～到困}
tsʰ [2]厕 [6]贼 [7]拆册策测侧
s [7]涩瑟塞蟊色啬
tʂ [1]遮 [3]者 [7]蔗折{～断}褶哲蛰浙摘
tʂʰ [1]车 [3]扯撤 [7]徹
ʂ [1]奢赊摄 [2]蛇涉佘 [3]捨 [5]设 [6]社麝赦舍射舌折{～本}
k [7]格革隔
kʰ [2]渠 [7]刻克咳客
ŋ [7]额轭
x [6]核{~桃} [7]嚇黑核{审~}
#ie
p [2]鳖 [3]秕 [6]憋
pʰ [3]擘 [6]别 [7]撇
m [7]灭篾
t [1]爹 [7]叠蹀牒蝶谍跌
tʰ [3]腆 [7]帖贴铁
ȵ [7]聂镊蹑业孽捏
l [7]猎列烈裂劣
tɕ [1]皆階楷 [3]姐解{讲～} [5]借介届 [7]接妾捷劫杰揭节截结洁
tɕʰ [2]茄子 [3]且 [5]笡 [7]怯
ɕ [2]些邪胁斜 [3]写 [6]蠍谢泻卸懈穴协 [7]薛泄歇屑楔雪血
Ø [2]爷 [3]也野 [6]夜液 [7]叶页噎
#ue
k [7]虢国
x [6]活
#ʯe
tʂ [1]橛 [2]劂感 [3]决诀 [5]倔厥噘 [7]绝掘橛爵
tʂʰ [2]瘸 [7]缺缶
ʂ [1]靴 [7]说
Ø [3]惹 [7]热悦月阅越曰粤
#ai
p [3]摆 [5]拜
pʰ [2]排牌 [3]派{～别}[5]派{～出去}[6]稗败
m [2]埋 [3]买 [6]迈卖
t [1]呆{～子} [5]戴带大{～夫}
tʰ [1]胎 [2]台苔 [5]太代泰袋 [6]待怠殆态贷大{～小}
l [1]赖 [3]乃奶 [6]耐奈赖癞奶
ts [1]灾栽 [3]宰载 [5]再
tsʰ [1]猜 [2]才材财裁 [3]彩探睬 [5]菜蔡棵
s [1]腮鳃
tʂ [1]斋 [5]债
tʂʰ [1] 钗差{出～} [2]柴豺 [6]寨
ʂ [1]筛 [5]赛晒
k [1]该街 [3]改解{~开} [5]盖丐企界芥疥届戒
kʰ [1]开 [3]凯概溉慨楷
ŋ [1]哀挨{～近} [2]呆{～板}埃崖磴捱岩 [3] 碍蔼矮隘 [5]爱 [6]艾
x [2]孩鞋还{～有} [3]海蟹 [6]亥害骇
#iai
tɕ  [5]械
#uai
k [1]乖 [3]拐拐 [5]怪
kʰ [3]块刽会{～计} [5]快筷
x [2]怀槐淮 [2]或获 [6]坏
Ø [1]歪 [6]外
#ʯai
tʂ [3]拽
tʂʰ [3]揣
ʂ [1]衰 [3]摔 [5]帅蟀率{～领}
#ei
p [1]杯蓖背碑卑悲 [5]辈背{后～}被贝
pʰ [1]批胚坯披 [2]陪赔培裴 [5]沛配佩 [6]倍背{～诵}焙辔
m [2]梅煤枚媒霉 [3]每美 [6]妹昧寐媚
f [1]非飞妃 [2]肥 [3]匪翡 [5]废肺费痱
t [1]堆 [5]对{～错}队兑碓
tʰ [1]推 [2]抬 [3]腿 [5]退蜕褪
l [2]来雷 [3]儡累{～积}垒 [5]类泪嘞 [6]内累
ts [3]嘴 [5]最醉
tsʰ [1]催崔 [5]脆翠粹 [6]罪
s [1]虽绥 [2]随 [3]髓 [5]碎岁遂穗隧
#uei
k [1]圭闺规龟归 [3]诡鬼 [5]桂鳜桧贵癸 [6]转
kʰ [1]盔亏窥 [2]奎魁葵逵 [3]□{跪} [5]溃跪愧傀 [6]柜
x [1]恢灰麾挥辉徽 [2]回茴 [3]晦悔毁 [6]贿汇会绘惠慧秽讳
Ø [1]萎煨威 [2]微桅危为唯维惟围违 [3]尾伟萎单念委苇慰{安～} [5]伪 [6]卫位未味魏畏纬胃谓猬
#ʯei
tʂ [1]追锥 [5]綴点{～赘}墜拽
tʂʰ [1]吹炊 [2]垂槌锤捶
ʂ [2]谁 [3]水 [5]税睡瑞
Ø [3]锐蕊
#ɑu
p [1]褒包 [3]保堡饱宝 [5]报豹爆 [6]鲍雹
pʰ [1]抛 [2]袍刨胞 [3]跑 [5]泡炮 [6]抱暴菢
m [1]貓莫 [2]毛茅锚矛 [3]卯牡 [5]冒帽 [6]貌茂贸
t [1]刀叨 [3]岛祷倒{打～}导 [5]到倒{～水}
tʰ [1]滔掏涛 [2]桃逃淘陶萄 [3]讨 [5]套 [6]稻道盗
l [2]涝劳捞牢唠 [3]老脑恼 [6]闹
ts [1]糟遭 [3]早枣澡蚤 [5]灶
tsʰ [1]操 [2]曹槽巢 [3]草驊 [5]造皂躁糙
s [1]骚臊捎 [3]扫{～地}嫂 [5]扫{～帚}潲
tʂ [1]朝{今～}昭招 [3]找 [5]罩笊召照诏欏 [6]沼
tʂʰ [1]抄钞超 [2]朝{～代}潮绰 [3]炒吵 [6]赵
ʂ [1]梢烧 [2]韶绍邵苕 [3]少{多～} [5]稍少{～年} [6]兆
ʐ [2]饶桡 [3]扰绕
k [1]高篙羔糕膏 [3]稿搞 [5]告叫{～花子}窖觉{困～}
kʰ [1]敲 [3]考烤 [5]靠犒
ŋ [1]坳 [2]熬 [3]袄咬 [5]傲鏊奧懊
x [1]蒿薅 [2]毫豪号{呼～}壕耗 [3]好{～坏} [5]好{喜～} [6]浩号{～数}
#iɑu
p [1]標彪 [3]表錈錶
pʰ [1]飘漂{～流} [2]瓢嫖 [3]漂{～白} [5] 票漂鳔
m [2]苗描 [3]藐渺秒妙 [6]庙
t [1]刁貂雕 [5]钓串掉调
tʰ [1]挑 [2]条调{～和} [5]跳粜 [6]调{～动}
ȵ [3]鸟 [6]尿
l [2]燎聊辽撩寥 [3]嘹了{～结} [5]疗料尥 [6]廖
tɕ [1]交郊教{～书}焦娇蕉浇膠椒 [3]矫搅绞狡较铰剿骄侥饺{～子} [5]教{～室}酵缴叫
tɕʰ [1]锹 [2]桥侨乔荞瞧樵 [3]巧 [5]俏窍 [6]悄轿
ɕ [1]淆消肴{喝一～}宵霄硝销嚣萧箫 [3]小晓 [5]效孝笑鞘 [6]校
Ø[1]妖邀腰要{～求}幺吆 [2]肴{佳～}摇谣窑姚尧 [3]舀杳 [5]要耀鹞跃
#əu
t [1]都兜 [3]堵赌肚斗陡 [5]斗{～争} [6]逗 [7]笃督
tʰ [1]偷秃突 [2]徒屠途塗图秃头投犊 [3]吐土抖 [5]兔透 [6]豆杜炻度渡镀毒独读牍踱
l [2]奴卢炉芦庐鸬楼搂{～柴} [3]鲁櫓虏滷篓努搂{～抱} [6]漏陋怒路赂露鹭 [7]绿錄六陆鹿禄
ts [1]租邹 [3]祖组阻走 [7]足卒
tsʰ [1]粗初諏 [2]锄愁 [3]楚础聰 [5]醋助奏凑促 [6]族 [7]猝
s [1]苏酥梳蔬搜飕疏馊速 [3]数{动词} [5]数{名词}素诉塑嗽瘦漱朔肃宿{住～}束 [7]俗
tʂ [1]周舟州洲 [2]宙帚 [3]肘 [5]昼咒皱 [7]烛嘱触竹筑逐轴祝粥浊
tʂʰ [1]抽搊 [2]绸稠筹绉仇酬 [3]丑 [5]臭 [6]纣 [7]畜{～牲}
ʂ [1]收 [3]手首守 [5]受 [6]熟淑兽寿授售蜀属 [7] 叔
ʐ  [2]柔揉 [3]辱褥 [7]肉
k [1]勾钩沟 [3]狗苟{～且} [5]苟够构购彀
kʰ [1]抠眍 [5]叩扣寇
ŋ [1]欧瓯 [3]藕偶呕 [5]沤怄 [6]殴
x [1]駒 [2]侯喉猴瘊 [3]吼 [6]候后厚
#iəu
t [1]丟
ȵ [2]牛 [3]纽扭谬
l [2]流刘留硫琉馏 [3]榴柳 [6]溜
tɕ [1]鸠阄 [3]酒久九韭 [5]咎救柩纠 [6]灸究
tɕʰ [1]秋丘 [2]囚泅求球仇{姓}舅 [6]就旧
ɕ [1]修羞休 [3]嗅朽 [5]秀绣锈 [6]袖 [7]粟畜
Ø [1]忧优犹悠幽 [2]尤邮由油游 [3]有友酉 [6]又右祐柚鼬釉 [7]诱幼
#an
p [1]班斑颁扳般 [3]板版 [5]扮瓣
p [5]盼判叛继襻 [6]办蚌
m [2]蛮馒 [6]慢漫幔
f [1]帆翻藩番 [2]凡烦繁矾樊 [3]反 [5]贩 [6]范犯泛範饭
t [1]担任丹单{～独} [3]胆诞 [5]旦但担{挑～子}
tʰ [1]贪坍滩摊 [2]谈痰潭檀谭谭弹{～琴}翠 [3]毯坦掸 [5]探炭叹 [6]淡弹{子～}蛋
l [1]拿 [2]蓝篮兰拦栏恋难{～易} [3]缆览揽榄懒 [5]滥 [6]烂难
ts [3]攒 [5]赞渐潛
tsʰ [1]籴 [2]惭 [3]惨灿
s [1]三 [3]散伞 [5]散{分～}
tʂ [1]瞻沾粘占 [3]斩展盏 [5]站佔暂绽栈蘸战颤
tʂʰ [2]谗馋缠搀蟾 [3]产铲
ʂ [1]衫山刪膻珊 [2]蝉禅{～宗} [3]陕闪 [5]扇疝 [6]善膳单{姓}禅{～让}
k [1]竿尴间 [5]幹
kʰ [1]刊堪间{中～} [3]龛坎砍 [6]勘
ŋ [1]淹{~房子} [3]眼 [5]晏
x [1]憨酣鼾 [2]含函韩咸寒衔鹹 [3]罕喊撼 [6]翰鍀憾苋
#iɛn
p [1]鞭编边 [3]贬扁匾蝙 [5]变汴遍
pʰ [1]偏 [2]便{~宜} [3]片篇 [5]骗遍{～地} [6]辩辨辫便{方～}
m [2]绵棉眠 [3]免勉娩缅 [6]面
t [1]掂颠 [3]点典 [5]店电奠
tʰ [1]天添 [2]甜田填佃垫掭 [3]舔 [6]殿
ȵ [1]搛拈研{～究} [2]年黏阎鲇 [3]碾研撚撵 [5]验 [6] 念酽砚
l [2]廉镰簾连联莲 [3]脸辇敛 [5]练链 [6]殓
tɕ [1]尖兼艰奸煎肩坚监犍 [3]简裥柬涧揀谏涧锏剪茧笕碱减俭检 [5]箭溅饯键建见荐艦剑践健腱 [6]鎰监间
tɕʰ [1]谦迁牵千笺铅签嵌歼 [2]钳钱乾前全泉掮 [3]潜浅遣 [5]欠歉 [6]件贱
ɕ [1]仙鲜{新～}轩掀先宣喧 [2]嫌贤闲咸涎 [3]显选险癣鲜少也 [5]馅限线羡献现陷宪 [6]县
Ø [1]腌{～肉}阉淹{～没}焉烟湮 [2]俨严炎盐檐颜延筵谚言沿 [3]掩魇演 [5]厌艳焰验{～收}雁堰燕宴
#uan
ts [5]纂
k [1]观关 [5]惯
kʰ [3]款
x[1]欢 [2]环 [3]缓 [6]幻患宦
Ø [1]弯湾剜 [2]玩顽 [3]腕晚挽宛皖 [6]万蔓
#ʯan
tʂ [1]专砖捐 [3]转{～眼}摧卷 [5]篆转{～圈}眷绢卷{试～}券赚撰传{～记}
tʂʰ[1]川穿 [2]传{～达}椽船拳权颧 [3]犬喘 [5]串劝 [6]圈
ʂ [1]闩拴 [2]弦旋镟玄悬眩 [5]涮
Ø [1]冤渊 [2]然燃丸圆员缘阮元原源袁辕园援 [3]染冉软远 [6]院愿怨
#ən
p [1]奔锛崩 [3]本
pʰ [1]喷 [2]盆彭膨 [5]喷{～嚏} [6]笨
m [2]门 [3]蜢 [6]闷
f [1]分芬纷 [2]焚坟 [3]粉 [5]愤忿奋粪 [6]份
t [1]敦蹲饨登灯 [3]墩等 [5]顿沌纯盾凳镫瞪
tʰ [1]吞 [2]屯豚臀囤腾謄藤 [6]邓饨钝
l [1]论{~语} [2]仑伦沦轮能楞 [3]冷 [6]嫩论{议～}
ts [1]尊遵曾姓增睁争筝 [5]俊赠憎 [6]撙
tsʰ [1]参村撐皴 [2]岑存曾{～经}层 [3]揿 [5]寸
s [1]森蔘{人～}孙僧生牲甥笙 [3]损榫省笋 [5]渗
tʂ [1]针斟珍榛臻真诊徵蒸贞侦正{～月}征疹 [3]枕振震整= [5]镇证症正{～常}政
tʂʰ [1]称{～重}叠乘撑 [2]沉陈尘臣澄橙拯呈程成城诚盛{~饭} [3]惩称逞 [5]趁衬忖秤 [6]阵郑澄{水浑，～一～}
ʂ [1]深身申伸娠升声 [2]神辰晨绳承丞 [3]沈婶审 [5] 甚葚慎肾胜盛圣 [6]剩
ʐ [2]壬任{姓}人仁 [3]红 [6]任{责～}认韧
k [1]跟根更{～换}庚羹耕粳 [3]耿梗埂
kʰ [1]坑 [3]恳垦肯啃
ŋ [1]恩 [5]樱 [6]硬
x [1]亨 [2]痕恒衡 [3]很 [6]恨杏
#uən
k [3]滚 [5]棍
kʰ [1]昆坤昆 [3]捆 [5]困
x [1]昏婚荤 [2]魂横 [5]浑 [6]混馄
Ø [1]温瘟 [2]文纹蚊闻 [3]稳吻刎 [6]问
#ʯən
tʂ [1]均钧君军 [3]准準 [5]菌郡
tʂʰ [1]春樁 [2]纯醇群裙莼 [3]蠢
ʂ [1]熏勳薰 [2]寻荀旬循巡殉 [5]迅训舜 [6]顺
Ø [1]仍 [2]匀云雲 [3]允扔永忍咏 [5]熨{～衣服} [6]泳孕韵运晕润闰
#in
p [1]彬宾槟冰兵 [3]禀丙秉柄饼 [5]并並 [6]殡鬓
pʰ [1]拼姘 [2]贫频凭平坪评瓶屏萍 [3]品 [5]聘 [6]病
m [2]民明鸣名铭 [3]闽悯敏抿皿 [6]命
t [1]丁钉{铁～}疔 [3]鼎顶 [5]钉{～桌子}订
tʰ [1]厅汀 [2]亭停廷庭蜓 [3]艇挺铤 [5]听 [6]定
ȵ [2]宁
l [2]林淋临吟怜邻鳞憐陵凌菱灵零铃伶拎翎 [3]领岭檁 [6]赁吝另令
tɕ [1]今金襟津巾斤筋茎京荆惊鲸精晶睛经{～常} [3]锦紧仅谨景警井颈 [5]禁进晋劲境敬竟镜競靖 [6]径经
tɕʰ [1]侵钦亲{～人}卿清轻青蜻 [2]琴禽擒吣秦勤芹情晴 [3]寝请 [5]浸亲{～家}庆磬 [6]尽近静净
ɕ [1]心新辛薪欣兴{~旺}星馨 [2]行形型刑 [3]醒 [5]信兴幸性姓腥
Ø [1]音阴因姻殷鹰蝇莺鹦英婴缨 [2]淫银寅迎盈贏营茔颖萤荥 [3]饮引隐尹影 [5]印应映 [6]荫
#on
p [1]搬 [5]半
pʰ [1]蟠攀潘 [2]盘 [5]绊 [6]伴拌
m [2]瞒 [3]满
t [1]端 [3]短 [5]段锻
tʰ [2]团 [6]断缎椴段{姓}
l [2]鸾南男 [3]暖卵 [6]乱
ts [1]
tsʰ [1]参餐 [2]蚕 [5]窜篡
s [1]酸 [5]算蒜
k [1]干肝官棺冠甘柑泔 [3]感杆赶擀秆管馆敢橄 [5]贯灌罐观{寺～}冠{～军}
kʰ [1]看{～家}宽 [5]看{～见}
ŋ [1]庵安鞍 [5]按案岸揞暗 [6]埯 [2]完还{～原} [5]汉 [6]旱汗焕换唤
#uon
Ø[1]豌 [3]碗
#ɑŋ
p [1]帮邦 [3]榜绑 [5]棒
pʰ [2]滂旁螃庞 [5]胖
m [2]忙芒茫盲虻 [3]莽蟒
f [1]方芳 [2]肪妨房防 [3]做纺仿彷访 [5]放
t [1]耽当{～时}铛 [3]党 [5]挡当{典～}荡
tʰ [1]汤 [2]堂棠螳唐糖塘 [3]倘躺 [5]烫趟
l [2]廊狼鋃郎囊 [3]朗 [6]浪
ts [1]脏 [5]葬
tsʰ [1]仓苍菖 [2]藏{隐～} [6]藏{西～}脏{内～}
s [1]桑 [3]磉嗓操 [5]丧
tʂ [1]张章樟 [3]长{生～}涨掌 [5]仗胀杖帐账障瘴
tʂʰ [1]昌 [2]长{～短}肠场{打～}常 [3]场{～面}廠畅 [5]唱倡 [6]丈
ʂ [1]商伤裳 [2]尝 [3]赏晌偿尚{高～} [5]尚{和～} [6]上
ʐ [2]瓤穰 [3]壤攘嚷 [6]让
k [1]冈刚钢缸纲豇 [3]岗讲港 [5]杠
kʰ [1]康糠慷 [2]扛 [5]抗炕
ŋ [1]昂肮
x [2]行{～列}航杭 [3]夯 [6]项巷
#iɑŋ
ȵ [2]娘釀 [3]仰
l [2]良凉量粮梁粱 [3]两辆 [6]谅量{数～}亮
tɕ [1]将浆疆僵薑礓缰姜江 [3]蒋奖桨 [5]酱将{大～}降{下～}
tɕʰ [1]枪羌腔 [2]墙详祥强降{报～} [3]抢强 [6]匠
s [1]相{～互}箱廂湘襄镶香乡 [3]想响享 [5]相向 [6]象像橡
Ø [1]蔫央秧殃 [2]羊洋烊杨阳扬疡 [3]养痒 [6]样
#uɑŋ
k [1]光 [3]广 [5]逛
kʰ [1]匡筐眶 [2]狂 [5]旷况矿
x [1]荒慌 [2]黄簧皇蝗 [3]谎 [5]晃
Ø [1]汪 [2]亡芒王 [3]网辋 [6]忘妄望枉往旺
#ʯɑŋ
tʂ [1]庄装妆 [5]壮桩
tʂʰ [1]疮窗 [2]床 [3]闯创 [6]撞状
ʂ [1]霜孀双 [3]爽
#əŋ
p [1]烹 [2]朋棚篷蓬 [3]捧
m [2]盟蒙 [3]懵
f [1]封蜂 [2]锋峰逢缝{~衣} [6]奉俸
#oŋ
m [2]萌 [3]猛 [5]梦 [6]孟
f [1]风枫疯丰 [2]冯 [3]讽 [6]凤
t [1]东冬 [3]懂董 [5]冻栋
tʰ [1]通嗵 [2]同铜桐筒童瞳 [3]桶捅统 [5]痛 [6]动洞
l [2]农脓侬浓龙隆笼聋 [3]陇垅拢 [6]弄
ts [1]鬃棕宗蹤 [3]总 [5]皱粽纵 [6]综
tsʰ [1]聪葱忽 [2]囱从丛
s [1]松嵩鬆 [2]怂崇 [5]送宋诵颂讼
k [1]公蚣工功弓躬宫恭 [3]攻汞拱 [5]贡供
kʰ [1]空{～虚} [3]孔控巩恐 [5]空{～缺} [6]共
x [1]轰烘掏 [2]红洪鸿弘宏 [3]哄
#uoŋ
Ø[1]翁 [5]瓮
#ʯoŋ
tʂ [1]终中忠钟盅 [3]冢种肿 [5]众种
tʂʰ [1]椿充冲舂 [2]虫重{～复} [3]宠 [5]铳 [6]重轻仲
#ioŋ
tɕ [3]迥
tɕʰ [2]琼穷
ɕ [1]兄凶胸 [2]雄熊
Ø [1]雍痈庸 [2]荣戎绒融茸冗容蓉鎔 [3]拥勇毹涌甬 [6]用
#ɚ
Ø [2]儿而 [3]尔耳饵 [6]二贰
#n̩
Ø [2]嗯 [3]你 [7]那
