#<字彙音,/前爲字彙音，/後爲縣志音
#拼音	漢字
ni3	伱伲你旎濔禰祢䦵𨳴
ni5	殢眤膩㦐䛏𢄽
li1	利-痢-厲-
li2	剓剺劙厘喱嫠廲梨棃樆氂牦漓漦犁犂狸璃瓈筣篱籬罹蔾藜蘺貍醨釐離离驪鱺鬁鸝麗黎黧㒿㦒㴝䉫𡟋𢛮𢟢𤛿𥝫𥟦𥠖𥲪𩼽𬃗
li3	俚哩娌悝李浬欚澧理礼禮蠡裏裡逦邐醴里鋰鯉鱧
li5	例俐儷利勵厲吏唳巁捩攦曞栛棙沴沵涖濿痢=癘礪荔+莅莉蒞蜊詈隸隶麗㡂𠠫𢤆𨽾
ji1	丌乩几{～乎}刏嗘嘰基奇{～數}姬尗幾机機犄玑璣畸畿磯禨稽笄筓箕羁羇羈肌薺{～菜}萁覊譏賫躋錤鐖隮雞鞿飢饑饥鷄齎齏齑檵𪲛杞*㚻䇫𠚽𡋵𢁂𥡞𥭱𧅱
ji3	几己幾擠机穖紀{～律}虮蟣麂㚡㲹𢓄𥭱
ji5	伎偈冀嚌垍塈妓季寄既忌忮悸惎愒憇技摡旡旣既曁泲洎漈濟劑畁痵眥眦祭穄穊穧継縊紀{年～}繫系繼罽芰薊蘻覬計記際霽驥髻鰶鱖-罽{～花魚}鯚{～花魚}㗫㡭㲅㳵䀈𡜱𢌿𢗏𧚈𩼄
qi1	倛僛妻悽敧朞期栖棲欺淒凄萋蹊𠁭𣍠
qi2	俟其圻埼奇岐崎徛忯愭鰭懠旂旗棊棋檱歧淇濝猉玂琦琪畦璂畿疧碁碕示祁祇祈祺竒粸綦耆脐臍芪薺荠蕲蘄蜞蠐錡頎颀騎骑騏麒齊齐㫅𠁭𢁒𥇚𧯯
qi3	企啓啟岂圯屺杞棨玘盀綺芑豈起砌*鮆𠭎𤣱
qi5	企噐器嚌契弃愾憇憩暣棄气氣汽炁矵砌鱭𡬨𣓇𧱲
xi1	俙僖兮唏嘶嘻娭嬉屖希徆恓憘撕晞暿曦栖桸樨欷汦浠烯熈熙熹爔犀犧牺睎硒禧稀粞羲莃西覀豨郗醯㚀㺣㾷㿽𣢑𦻎
xi2	傒奚嵇徯携攜溪磎谿鸂㜎㩦𡗞𢹂𣒎
xi3	史喜壐嬉屣徙枲洒洗熹狶璽玺禧葸蓰蟢{～～蛛（蜘蛛）}蹝𢇌𪖥
xi5	嚊壻屭憙戏戲盻禊系細细係系繫餼饩㑶㐹㡜𣳦
i1	伊依勩{磨損}吚咿擬欹毉洢漪猗祎禕瑿衣醫医矣+㙠㛄𠁼𠂣
i2	仪儀匜咦夷姨宐宜峓崕嵇嶷彜彝忔怡恞懿扅栘椸沂洟溰珆疑痍眙移箷胰螘蟻訑詒诒誼谊貽贻跠迤迻遗遺酏頤颐飴饴饐*眙㝖䄬𠅌𠗺𡗝𢂒𢓡𣅿𣻗𦚟𧧼
i3	以倚儗已扆掎攺旖椅矣舣艤笖苡苢顗㕥㠯𢙇
i5	乂义亄刈劓医噫呓埶幆悘亿億忆+意憶+撎擬拟易曀曳+槸殪毅泄異异瘞瞖竩義羿翳肄蓺薏藝艺裔詣議议跇蚁蟻饐㛳㡼㱲㵝䆿𢖫𢘽𢳊𣿉𥧵𧙟
bv1	姑晡逋餔𡜵*{姑母}
bv3	哺圃圑捕补補䝵
bv5	佈哺埠+布怖抪步=歨篰簿部餔㳍㻉𡇊𤵗
pv1	呼誧步-潽孵-{～小雞}鋪餔𫗦𢽊
pv2	匍莆菩葡蒱蒲酺
pv3	普暜氆浦溥甫-潽脯譜谱輔-{～導}鐠镨酺
pv5	舖鋪{牀～}埠+㵗
fv1	伕夫敷枹泭稃肤糐膚肤衭麩麸麬𤿲㠸䊿
fv2	俘哹垺妋姇孚孵=巫扶旉无枹桴榑殕浮涪玞琈符膚肤芙芣苻蚨蜉誣诬撫-{～養}郛鈇鳧凫𢞦𣶀𣿆𥄑𦰮𦷰𦽏
fv3	俌俛俯圑府弣撫抚{巡～}拊捬斧暊柎滏甫盙簠脯腐腑輔辅釜黼䄮𣩇
fv5	仅仆付傅副咐坿婦妇媍富父祔胕袝訃讣負賦负赋賻赴敷+阜埠+附駙驸鮒㤔𢂆𢠲𧵐𮘟
dv1	嘟都{首～}闍阇
dv3	堵暏杜睹肚{鱼～}覩賭赌𡍨
dv5	喥妒妬度{温～}斁杜渡秅秺肚蠹鍍镀𣳥
tv1	肚-{桌～、～裏}
tv2	图圖塗屠峹廜徒梌涂瘏稌荼途酴㻌䅷𨢬
tv3	吐土釷
tv5	兎兔吐堍菟唾*
lv1	路-露-
lv2	偄儒卢嚅蠕垆嚧壚如嵐懦挐攎栌櫨洳泸濡瀘炉爐獹瓐盧筎籚纑罏胪臑臚舻艫芦茹薷蘆袽襦轤醹鑪顱颅鱸鴽黸鸕鸬孺𡄲𢖵
lv3	乳嚕噜塷女擄掳虜虏擩擼撸櫓橹汝滷瀂澛磠蕊蕋魯鲁鹵卤剆+㳶𡜃𢟧𢲸𪉖𪉣
lv5	孺挐潞璐簬茹袽賂赂路輅辂露鷺鹭
zv1	侏徂朱株櫫橥洙潴瀦猪珠硃租茱蛛誅诛諸诸豬邾銖铢㦵𢔪𣦁𤝹𧳯
zv3	丶主俎宔左拄殂渚煮砫祖組组阻㵭𠂇𠰍𤆯𥘭𥘲
zv5	佇住助宁柱泞注澍炷祚竚筯箸紵纻翥胙苧苎著蛀註詛貯贮跓鑄铸阼駐驻㧣㹥䝬做坐+𢁼𣋐𥩣
cv1	坐-住-箸-初怚粗芻刍觕閦麁麄麤𢀯𣦂𤙟𥼡
cv2	儲储幮廚徂搊櫉橱滁篨耡蒭蜍蹰躇鉏鋤锄除雏雛㕑厨𢊍
cv3	处憷措暑杵杼楚楮潻濋礎础處处褚黍鼠䑕䖏𣗂𥞆
cv5	厝措處处醋錯错
sv1	囌姝書梳樗樞枢檽櫯殊殳洙瑹甦疎疏秼穌紓纾抒絑舒芟薷蘇苏踈輸酥㢝㧧樹-𡚾𣓜𣩷𤼀
sv3	数數
sv5	傃嗉塐塑墅尌庶庻恕愫愬戍数數曙榡樹=树=泝溯漱澍濖竪素署薯蔬訴诉豎遡㨞㴑𠊪𠐊𣗳𣶮𥪛𥪡𥵟
gv1	呱姑孤柧沽咕泒笟箍箛苽菇菰觚辜鴣㼋䉉𠽿𡘎𢡇𢪿𦍬
gv2	鼓?{鼓起}
gv3	估古牯皷盬瞽罟羖股薣蠱蛊詁诂賈贾鼓𠑹𤅱𦊙𦍩𧵎
gv5	僱雇固堌故痼錮锢頋顧顾
kv1	刳枯郀骷
kv2	鼓?{鼓起}喖?{似哭未哭貌}
kv3	楛苦
kv5	庫库絝绔袴褲裤
hv1	乎呼嘑幠恗歑泘滹箶㦆烀烰*
hv2	壺壶弧楜湖煳狐猢瑚瓠胡葫和{～牌}蝴衚餬糊鬍鶘㗅䉿𠁕𣬣𥁖𩰯𪍒𪏹𪐉
hv3	岵戶汻滸浒火+琥箎萀虎唬䗂𣶉戽*{～水}胡{二～子}
hv5	互帍怙戶户戽扈滬沪摢槴沍瓠祜簄護护䉟𣶉𬇛
v1	嗚呜塢坞嵨弙杇歍汙汚污洿烏乌鄔隖𡜵*𠞆𣽏𦶀
v2	亡吳吴吾唔梧毋浯潕𣲘無无珸璑祦禑胡蕪芜蜈鋘齬龉㹳㻍𠥢𡙻𢓲
v3	五仵伍侮儛午塢娬嫵妩嵨幠廡忤憮旿武捂溩潕珷甒碔舞隖鵡鹉㵲戊𢇜𢎁𢜮𣺀
v5	俉務务噁埡堊塢坞奦寤悞悟惡恶戊敄晤窹誤误隖霧雾騖骛鶩鹜㜈㡔㦍𢄓𢤓𣊃𥦸𥧝𥧸
ny3	女
ny5	㵖
ly2	廬庐蔞蒌閭闾馿驢驴魚{木～}𡳬𢣻
ly3	侶侣呂吕履旅祣穭穞窶縷缕膂褸褛鋁铝㛎𢔃𢙲
ly5	屡屢慮虑濾滤鋁铝鑪𡀿
jy1	伹俱咀娵居拘据椐沮涺狙琚疽眗睢砠苣苴菹蛆裾趄車駒驹鶋齟㡹䏣䝻𡨢𥇛𧐅𩒐
jy3	佢屨擧举柜椇楀窶筥舉莒踽㪯𠔖𡲰𥱿
jy5	倨具句埧埾姖巨怇惧愳懅懼拒據昛洰澽炬矩秬聚苣詎距踞遽鉅钜鋸锯阻颶駏䀠䇫𥃲𥬙
qy1	佉區区嶇岖抾敺祛蛆袪覻觑趨趋軀躯驅驱
qy2	俆劬徐懅渠璩瞿籧蕖蘧衢鴝䞤𣸔𤥾𧾱
qy3	取娶
qy5	厺去覷覻觑趣袪
xy1	偦吁喣噓嘘墟壖姁帤憈旰旴歔浽湏湑煦盱糈綏绥胥荽{芫～}虗虛虚蝑袽諝谞需須须鬚䇓䇕𥪃𥪙𥪥𥬔𥳗
xy3	栩煦珝許许詡諝谞醑㥠
xy5	偦叙壻婿嶼屿序彗敘叙汿沀漵燧穗穟篲絮緖绪襚遂鐆鐩隧㐨㘧㵰酗緒绪𢢝𢣿𣁏
y1	歟淤璵紆與芋迂{～腐}醧飫餘饇遇=𡌧𩜏
y2	予于伃余圩妤娛娱媮寙嵎庾愉愚扵揄於旟杅歈渝湡漁渔澞狳瑜璵畬瘀盂禺窬竽腢腴臾萸虞覦諛踰輿舆轝逾俞榆邘隅雩餘髃魚鱼㥚㥥㳛迂{～回}𢹏𣿡𤀯𥁄𩦢
y3	与予{给～}偊傴伛圄圉宇敔瑀瘉禹窳羽與語语雨齬龉㙑𢌱𤆛
y5	俁喩嫗妪寓庽御忬悆愈玉=禦禺舁芋籲吁予与宇蕷裕諭喻譽誉豫遇=逾預预飫馭𠕦𡒊𡪾𣁎𣕃
bae1	爸*{～～：父亲}伯*{～～：父亲}
bae3	捭擺摆襬𤁣
bae5	憊惫懘扒拜敗败湃+稗𩋂嫑*
pae1	呸
pae2	俳徘排棑椑牌琲箄篺㧳㻗𥱼
pae3	矲?{踩}
pae5	泒派湃+稗粺𠂢
mae1	賣-䁲
mae2	埋霾㦟䨪𢠼
mae3	嘪買买
mae5	佅賣=卖=邁迈䜕𧱘
dae1	呆懛獃䐩𤶗𪒴
dae3	歹𣦶逮
dae5	代大岱帒帶带待怠=戴殆玳瑇袋=襶貸贷迨逮黛𠷂𢂸𢄔𥩳
dae	等{们：你～}
tae1	孡胎苔邰駘骀袋-怠-汏{漂洗}大-{～斧：斧子}
tae2	儓台嬯抬擡旲檯炱臺薹𡎲
tae3	奤{大～～}紿㘆
tae5	冭大太忕態态汰泰溙㥭𡇷
nae1	摨熋腉螚䍲䯮
nae3	乃奶妳嬭迺𠄕𡇲
nae5	佴奈柰渿耐褦鼐㖠㮈㴎𣉘𥉃
lae1	癩-賴-
lae2	來来徠徕淶涞萊莱逨郲騋麳䅘
lae3	唻*咧*懶攋兩两㚓𨦂
lae5	勑瀨濑癩=癞=睞睐籟籁賚赉賴=赖=
zae1	亝哉斋栽渽災灾烖菑葘齋㪰𡿧𢋿𤆋𥯒
zae3	宰崽者赭載载仔𣪮𤌊
zae5	債债儎再在=寨載汏*{清洗}𣿐𥩴𥰾
cae1	在-差猜釵=𢀠𢀩
cae2	儕侪喍才材柴犲祡纔裁豺財财𥈐𧴶
cae3	倸埰寀彩抂採睬綵跐跴躧踩采㥒䣋䜺𣠁
cae5	菜蔡躧
sae1	愢揌篩筛腮顋鰓鳃㩄
sae3	𢄌
sae5	僿塞晒曬洒簺賽赛㬠𣻑
gae1	佳侅垓姟皆-荄街-該该賅赅陔㚊㨟稭秸槩*
gae3	忋改解-
gae5	丐扢摡槩槪概檞溉界盖葢蓋薤㧉疥-戒-钙鈣
kae1	嘅奒愾忾慨揩開𢔡开
kae2	欬{～气}
kae3	凱凯塏愷慨揩暟楷欬鍇锴鎧
kae5	勓隑{斜倚}愒{拖延}慨𡢖甲{指～}
hae1	咳㨙㨟害-械?{𦌒～：渔具}桸?{𦌒～：渔具}
hae2	偕咍孩慀諧鞋鞵頦骸䀭还還
hae3	海澥獬蟹蠏醢駭𣖻𣴴𥁐𥂹𧴛𨡬
hae5	亥儗噧害=懈擬解邂駭骇㞒𠿇𡂖𡃤𢞐𤵽
ae1	哀埃挨敱竢艾
ae2	厓唉啀嘊埃娾岩崖嵒巖挨捱欸涯睚碞騃呆{～板}獃
ae3	也濭矮藹蔼靄霭餲
ae5	呃哎噯嗳愛爱曖暧璦瑷皧瞹硋碍礙艾隘㝵𡺬𢙴𢛄𨵏
jiae1	偕喈堦湝痎皆街=階阶𣅜
jiae3	解=
jiae5	丯介价妎尬屆届恝悈戒=械溉玠琾界疥=芥解誡诫魀魪㑘㠹㳦㾬𠌰𡗟𡯓𢌵𤘦𤸋𦬉𫒞
xiae2	偕孩諧谐鞋鞵骸
xiae5	懈解
zuae2	跩转{傲慢}
zuae3	拽𢶀𰀀{扁擔～子}橛{扁擔～子}
zuae5	拽𢶀
cuae1	扠搋猜揣膗+啐
cuae3	揣
cuae5	嘬囆膪蠆膗+
suae1	夂榱縗衰摔䙑𤸬𧽠
suae3	璀𰔜甩摵*
suae5	帥帅淬焠𣰚
guae1	乖㨟*{碰}𠂯𧱾
guae3	夬拐柺㗗𣐷𦫳
guae5	壞夬怪恠襘𡌪𣲾
kuae1	㔞㧟擓𲄗{背、斜挎}
kuae3	擓{鱼～子：放鱼具}㧟蒯
kuae5	儈劊刽會会噲块塊墤快檜澮獪璯禬筷膾駃㘨䈛𠜐𢼾𫂜
huae1	壞-
huae2	徊懷怀槐櫰淮瀤𤜄踝
huae3	㠢𡾝𡾨㩓{脱掉、挥弄}
huae5	壞=坏=𢸬𣩹𧱳
uae1	歪𱿯𲀊
uae2	蛙-{～子：青蛙}
uae3	箉𢱉𨂿崴
uae5	外孬𠨃
lui5	汭芮銳锐瑞+泪+
zui1	嗺睢觜追錐锥騅骓𡙭𣖱椎
zui3	嘴㭰𠿘𥼂𭉨𭪿
zui5	墜坠惴憝懟最檇硾縋罪膇蕞贅赘辠醉隊䃍𡈚𨰩缀綴
cui1	催吹崔慛炊鏙𠷕𢕘摧
cui2	垂{縣志音}捶搥摧棰椎槌沝湷箠錘锤鎚隨-瘸=
cui3	倅崒悴漼琗瘁萃㯜䤵𣿒𣿓
cui5	倅啐悴橇毳淬濢璀睟粹翠脃脆脺萃邃㯔
sui1	夂娞尿+浽滖濉綏绥荽蕤衰雖虽靴㳮𣻨
sui2	垂瀡誰谁辠隋隨髓㵦䭉
sui3	水綏绥𣸕
sui5	啐埣帨晬桵歲岁涗澻濊瑞-粹-璲睟睡碎祟稅税穗穟繀誶遂㱑㴚㽷𡻕𢅕𢇤𢇥𥝩𥠂
gui1	僞圭歸归珪硅瑰皈規规邽鄬閨闺龜龟䂓𣦨𨾚
gui3	佹姽宄恑晷癸祪簋詭诡軌轨鬼𣷾𤘧
gui5	劊刽撅桂檜櫃=柜=瑰貴贵劌刿跪=鱖𢈌𤡱
kui1	盔窺窥虧亏跪-櫃-柜-闚䯓
kui2	傀奎恢悝楏櫆烣犪睽葵逵馗騤魁䕫𠃳𢜽
kui3	傀揆跬䞨
kui5	匱愧憒愦櫃簣蕢虧<亏<餽饋馈潰溃㙺
hui1	幃幑徽恢拻揮挥撝暉晖楎洃灰煇翬翚虫虺豗輝辉隳麾㺔䖶𣸀𤟤𦭹盔{～堆甲：地名}會-
hui2	囘回徊恛檓洄痐茴迴𮞉
hui3	悔毀毁燬瘣芔𢙽
hui5	卉喙嚖寭恚惠慧憓晦會会檜桧櫘殨泋湏潰<溃<澮浍燘璯瘣穢秽篲繪绘膾脍芔蕙虫誨诲諱讳譓賄贿靧㜇㥣㬩䜋𠽡𣨶𣴵彙匯
ui1	倭偎唩喂威微=椳楲渨溾煨痿詴逶隈㙎𩗯萎{困倦}
ui2	危唯喡囗圍围壝峗嵬巍帷幃微-惟桅湋溦潿濰潍為爲为犩維维薇褘違违闈隗韋㣲㵟𨤒𮧮偉+伟+
ui3	亹偉伟偽僞伪委娓寪尾愇暐椲洧浘煒猥痿葦苇蔿薳諉韙韪㧪㬙䪘𣨙𥯤萎{枯～}
ui5	位偽僞伪叞叡味喂喟猬尉慰未渭畏磑穢緯纬罻胃菋蔚衛衞卫謂谓餧魏㥜㦣𢟬𣩪𦝩
ba1	妑巴扒爬疤笆芭葩豝鈀钯㿬爸吧
ba3	叭把粑㞎{～～：大便，儿语}㸭𢃳𥝧
ba5	垻壩坝弝杷罷罢耙覇霸靶䃻𢺞𣠽把{刀～}𥝧𩨜
ba	吧
pa1	耙趴𤆵{～蹄}
pa2	妑帕扒{～手}杷爬琶筢鈀𤧲
pa3	𥩙
pa5	帊帕怕派𢗌
ma1	媽妈駡-
ma2	痲蔴蟆蟇麻嘛
ma3	榪瑪玛碼码螞蚂馬马
ma5	傌嗎{～啡；俗骂字}吗{～啡；俗骂字}榪溤禡駡=䧞𢉿
ma	嗎吗嘛
da3	打
da5	大汏
da	咑
ta1	他她牠它
na2	拏拿挐𢮝
na3	那哪=𠈊
na5	那𢇵𢬻
la1	垃拉啦
la3	喇哪-{～块、～个}
la5	拉
za1	偧咱喳奓摣揸拃挓柤查楂槎樝渣皻蹅㗬㦋䵙遮
za3	吒蔗鮓砟𤯋𩻢
za5	咋乍夎怍昨柘柞榨溠灹炸砟笮蓌蔗蜡詐诈酢醡鷓䄍䋾䗪𣘻𣹧
ca1	乂叉嗏喳*差扠杈槎瘥艾車-{踏～：脚踏的水车}釵-𢩩
ca2	刹搽查茶㢉茬𡨀
ca3	𠻦𡗸𡛥
ca5	仛吒咤奓奼姹岔杈汊衩詫䟕𨀠
sa1	桬殺沙洒痧砂紗纱裟髿賒-鯋鯊鲨㠺㲚㸺䤬𡋷𣲓𣴷
sa2	蛇-佘-啥
sa3	傻儍洒灑𣳳𣶓
sa5	舍-厦=嗄𠚺𢇗沙{蚕～：蚕屎}
ga1	傢加-家-咖{～喱}
ga3	嘎尕
ga5	嫁-{寡妇再嫁}架-駕-尬嫁{寡妇再～}界{搭～}
ka1	抲{～脖子}揩{～油}咖{～啡}
ka2	咔{行动吃力}揢*{抢占}
ka3	卡
ka5	𧆠揢{握持}
ha1	下-{～雨、～劲}哈𨉣鰕
ha2	瘕*{鲁莽}
a1	丫-椏-砑□{～子：渔具}
a2	伢芽-牙-閕
a3	啞-
a5	挜垭*{～田}堊*{～田}
a	啊
dia1	爹
dia2	嗲
dia3	嗲
nia3	𰍧*𰍨*
jia1	伽佳傢加=嘉家=枷珈痂笳耞葭袈豭跏迦䈔
jia3	假{真～；暑～}嘏姐-椵賈贾假?{～腰}假?{～巴眼}
jia5	價嫁=借-幏斝架榢稼駕驾𢜿𤙑
qia1	㢒㰤{小睡}笡{相～}
qia2	斜-瘸笳茄邪-
qia3	欹㿲
qia5	㿲
xia1	虾蝦鰕𨉣
xia2	瑕瘕蝦遐霞㰺𢝅
xia3	下厦哈夏閕閜㗿些-写-寫-
xia5	下寫{笔不～}写{笔不～}厦{～门、大～}夏暇疜睱罅諕{嚇}泻-瀉-卸-
ia1	丫呀夜-孲曰椏桠爹爺爷琊耶邪鴉鸦㝞㭨椰𠜲𥮳丫=𬼸
ia2	枒涯漄牙=笌芽=衙𤘅
ia3	啞=哑=瘂痖雅野-
ia5	亜亞亚埡垭婭娅庌掗砑迓訝讶䃁䛩𢛟
zua1	抓
zua3	爪
sua1	靴<
sua3	耍
sua5	刷{～净：干净}䵘{～汤}
gua1	瓜㧓
gua3	冎剮剐叧寡{拉～：闲谈}𠆣
gua5	卦挂掛褂詿𦊱𧬮
kua1	咵夸姱誇垮+
kua2	爬㓤?划*
kua3	侉胯{骻}骻垮
kua5	胯跨銙㡁挎𢓢
hua1	花芲華华鏵化{叫～子、興～}𢪎
hua2	划嘩哗找樺桦華华譁驊骅㕦㦊㭉
hua5	化杹畫{名词}畵華华話𤱪
ua1	剜哇唲娃媧搲洼溛漥窊窪蛙=騧㧓𡗷
ua2	娃
ua3	咓掗搲瓦𣁳{舀取}
ua5	瓦{～匠、～刀}凹坳窊㘭𠹁𡗷𨥯洼
feu1	不吥芣
feu2	否坏抔殕缶裒𡜊罘
feu3	否痞缶𦈢
deu1	兜兠氀篼㨮𠱑𰚦
deu3	呌抖斗蚪鈄阧陡㪷𣁬
deu5	痘竇窦荳讀豆=逗酘鬦鬪鬭斗䇺𤀨𤅋𤞟𥥷𩰚
teu1	偷荳豆-
teu2	亠投頭頭𣪌骰
teu5	透
leu1	漏-瘘-
leu2	僂偻嘍喽娄搂{～取}婁廔慺揉柔楼樓漊熡縷羺螻蹂鏤髏㡞㺏䫫𡞔𧷡
leu3	嘍喽塿摟搂㧕{搅:～豆子}沑煣甊簍篓縷蔞蒌㝅𡗆𡭾𢔟𣫌
leu5	漏=獳瘺瘻耨肉=輮陋褥+𢉀𣤋𭼴
zeu1	侜周州徟掫洀洲淍緅舟譸賙週鄒邹鄹陬騶鯫鲰
zeu2	㥮㤘{脾气犟}扭?{物体没放平}
zeu3	帚箒肘菷走𢫧扭{双手拧}
zeu5	咒奏宙怞晝昼皺皱籀籒紂縐胄驟骤㵵𡘶𢃸𢓟𣻱𧛸
ceu1	惆抽搊煪瘳篘㮲
ceu2	儔俦圳幬帱惆愁懤㤽燽犨疇畴稠籌筹紬綢绸裯讎仇讐躊酧酬醻雔㘜㵞䊭䌧䲖𡕪𢛇𢤉𢥰𨞪𩯦絒?{清洗抹布}
ceu3	丑侴醜瞅𠹐
ceu5	凑揍湊簉腠臭蔟輳䔏𣽵
seu1	嗖廀廋搜摗收涑溲滫獀艘蒐醙鎪颼餿馊受-𠈅𢯱𣸈𤟫𨡻𩜯
seu3	傁叜叟嗾守手搜漱狩瞍藪首䈹𠻛𠻣𥈟
seu5	受=售嗖嗽壽夀寿授摗擻涑漱獸兽瘦瘶簉綬膄㖟䛵𠱔𤘀𤢚𤸂𤸃𥯴
geu1	勾句泃溝沟笱篝褠鈎鉤钩㡚㤎購+购+
geu3	枸狗耈苟㺃
geu5	个=個=冓坸垢夠够姤媾彀搆构構箇=購购覯詬豞逅遘雊㝤㨌㳶𣪬𤠼𥉇
keu1	彄摳抠瞘眍芤䁱𥱸
keu3	口𠮚
keu5	叩宼寇怐扣蔻𢽉𣻎𣿟𥲃𦸅
heu1	齁厚-後-
heu2	侯喉猴瘊睺□{～觉}矦篌鍭餱㺅䞀𠊱𣔹𣣠
heu3	佝吼吽犼𤘽
heu5	候厚后垕堠後=洉郈鱟㰯𠷋𨒥䞀□{朝前～}
eu1	剾塸慪摳敺歐欧毆殴漚熰甌瓯瞘蓲藲謳鷗鸥𣪅
eu2	牛-
eu3	偶嘔呕歐欧耦藕𣢨
eu5	漚沤𣽕怄
mieu2	繆缪
mieu3	繆缪
mieu5	謬谬
dieu1	丟丢
nieu1	妞
nieu2	汼牛=繆缪㖻䒜
nieu3	忸恧扭杻紐纽莥鈕钮
nieu5	忸衄謬谬䘐拗
lieu1	𤆀𧽖溜熘
lieu2	刘劉旒榴橊流瀏浏琉瑬留畱瘤硫磂遛鎏鎦镏鏐騮骝㻲𠗽𢞓𣹭𣹳𤥗𥆦
lieu3	柳桺橮綹绺𣒘
lieu5	塯溜磂窌遛㙀鎦镏餾馏𢕍𦉉
jieu1	啾□{～嘴}揪揫摎柩柾樛湫糾纠赳轇鬏鬮鳩鸠㸨䰗阄𩭓
jieu3	丩久乆九灸玖糾纠赳酒韭韮𡚮𨠊
jieu5	咎就廏廐慦救槱疚究臼=舅舊-旧-㾭{～筋：抽筋}𣪋𣸄𥦄𥦡
qieu1	丘丠坵媝楸湫犰秋秌臼-{碓～}舊=旧=蚯蝵邱鞦鰌鰍鳅鶖㚱㳋𤇫
qieu2	仇俅囚捄梂殏毬求汓泅浗渞湭球璆虬虯裘訄賕逑酋銶鼽㐜㛏㞗䤛𠗈𡲚𢛃𣭳𣰐𥭑𧺤𪖒
qieu3	倃搝□{瞎～}𢛃𩝠
qieu5	𪖛
