漢字	拼音方案		IPA	注釋	説明：兩種拼音方案的聲調，都遵循以下對應規則，即：陰平1，陰上2，陰去3，陰入4，陽平5，陽上6，陽去7，陽入8									
把	pe2	bê2	pe˥˨	白										
把	pa2	ba2	pa˥˨	文										
爸	pa5	ba5	pa˥˥											
爸	pa2	ba2	pa˥˨	又										
垻	pa3	ba3	pa˨˩˨											
霸	pa3	ba3	pa˨˩˨											
怕	phann3	pan3	pʰa ̃˨˩˨											
琶	pe5	bê5	pe˥˥											
爬	pe5	bê5	pe˥˥											
麻	mua5	mua5	mua˥˥											
蟆	po5	bo5	po˥˥	蛤~										
蟆	mo5	mo5	mo˥˥	又										
媽	ma5	ma5	ma˥˥	口										
媽	ma2	ma2	ma˥˨	奶奶，~祖										
媽	ma1	ma1	ma˧˧	文										
馬	be2	bhê2	ᵐbe˥˨											
馬	ma2	ma2	ma˥˨	文										
碼	be2	bhê2	ᵐbe˥˨											
罵	me7	mê7	me˧˩											
拿	na2	na2	na˥˨											
詫	theh8	têh8	tʰeʔ˥˦	俗										
詫	tsha3	ca3	tsʰa˨˩˨											
茶	te5	dê5	te˥˥											
搽	tsha5	ca5	tsʰa˥˥											
查	tshe5	cê5	tsʰe˥˥											
渣	tsa1	za1	tsa˧˧											
詐	tsa3	za3	tsa˨˩˨											
榨	tsa3	za3	tsa˨˩˨											
炸	tsa3	za3	tsa˨˩˨											
叉	tshe1	cê1	tsʰe˧˧											
杈	tshe1	cê1	tsʰe˧˧											
差	tsha1	ca1	tsʰa˧˧											
差	tshe1	cê1	tsʰe˧˧	欽~										
差	tshi1	ci1	tɕʰi˧˧	參~										
岔	tshe1	cê1	tsʰe˧˧											
岔	tsha1	ca1	tsʰa˧˧	又										
汊	tshe1	cê1	tsʰe˧˧											
查	tshe5	cê5	tsʰe˥˥											
查	tsa1	za1	tsa˧˧	姓氏										
乍	tsa3	za3	tsa˨˩˨											
沙	sua1	sua1	sua˧˧											
沙	sa1	sa1	sa˧˧	文										
紗	se1	sê1	se˧˧											
紗	sa1	sa1	sa˧˧	文										
灑	sa3	sa3	sa˨˩˨											
灑	sai3	sai3	sai˨˩˨	又										
嘉	kia1	gia1	kia˧˧											
家	ke1	gê1	ke˧˧											
加	ke1	gê1	ke˧˧	~減										
加	kia1	gia1	kia˧˧	文										
假	ke2	gê2	ke˥˨											
假	kiann2	gian2	kia ̃˥˨	文										
賈	kia2	gia2	kia˥˨											
賈	ku2	gu2	ku˥˨											
稼	ke3	gê3	ke˨˩˨											
價	ke3	gê3	ke˨˩˨											
架	ke3	gê3	ke˨˩˨											
駕	ke3	gê3	ke˨˩˨											
嫁	ke3	gê3	ke˨˩˨											
牙	ge5	ghê5	ᵑɡe˥˥											
芽	ge5	ghê5	ᵑɡe˥˥											
衙	ge5	ghê5	ᵑɡe˥˥											
雅	ngia2	ngia2	ŋia˥˨											
訝	gia3	ghia3	ᵑɡia˨˩˨											
迓	gia3	ghia3	ᵑɡia˨˩˨											
蝦	he5	hê5	he˥˥											
嚇	hennh4	hênh4	he ̃ʔ˨											
嚇	heh4	hêh4	heʔ˨	又										
霞	hia5	hia5	hia˥˥											
遐	hia5	hia5	hia˥˥											
瑕	hia5	hia5	hia˥˥											
下	ke6	gê6	ke˧˥	懸~										
下	e6	ê6	e˧˥	白										
下	hia6	hia6	hia˧˥	文										
夏	he7	hê7	he˧˩											
廈	he7	hê7	he˧˩											
暇	hia5	hia5	hia˥˥											
暇	hia3	hia3	hia˨˩˨	又										
丫	a1	a1	a˧˧											
鴉	a1	a1	a˧˧											
啞	e2	ê2	e˥˨											
亞	a1	a1	a˧˧											
亞	a3	a3	a˨˩˨	又										
姐	tsia2	zia2	tɕia˥˨	小~										
姐	tse2	zê2	tse˥˨	文										
借	tsioh4	zioh4	tɕioʔ˨											
且	tshiann2	cian2	tɕʰia ̃˥˨											
藉	tsia6	zia6	tɕia˧˥											
褯	tsoih4	zoih4	tsoiʔ˨											
褯	tsia6	zia6	tɕia˧˥	文										
些	se1	sê1	se˧˧											
寫	sia2	sia2	ɕia˥˨											
瀉	sia3	sia3	ɕia˨˩˨											
卸	sia3	sia3	ɕia˨˩˨											
邪	sia5	sia5	ɕia˥˥											
斜	sia5	sia5	ɕia˥˥											
斜	sia1	sia1	ɕia˧˧	又										
謝	tsia7	zia7	tɕia˧˩	白，姓氏										
謝	sia7	sia7	ɕia˧˩											
爹	tia1	dia1	tia˧˧											
遮	tsia1	zia1	tɕia˧˧											
者	tsia2	zia2	tɕia˥˨											
蔗	tsia3	zia3	tɕia˨˩˨											
車	kur1	ge1	kɯ˧˧											
車	tshia1	cia1	tɕʰia˧˧											
扯	tshe2	cê2	tsʰe˥˨											
蛇	tsua5	zua5	tsua˥˥											
射	sia7	sia7	ɕia˧˩											
奢	tshia1	cia1	tɕʰia˧˧											
賒	tshia1	cia1	tɕʰia˧˧											
舍	sia3	sia3	ɕia˨˩˨											
赦	sia3	sia3	ɕia˨˩˨											
社	sia	sia	ɕia											
惹	dzia2	ria2	dʑia˥˨											
耶	ia5	ia5	ia˥˥											
耶	ia7	ia7	ia˧˩	又										
耶	e7	ê7	e˧˩	又										
椰	ia5	ia5	ia˥˥											
爺	ia5	ia5	ia˥˥											
冶	ia2	ia2	ia˥˨											
也	ia2	ia2	ia˥˨											
野	ia2	ia2	ia˥˨											
夜	ia7	ia7	ia˧˩											
傻	sa6	sa6	sa˧˥											
耍	sng2	seng2	sŋ˥˨	俗										
瓜	kue1	guê1	kue˧˧											
蝸	ua1	ua1	ua˧˧											
寡	kua2	gua2	kua˥˨											
剮	kua2	gua2	kua˥˨											
咵	khua1	kua1	kʰua˧˧											
垮	khua1	kua1	kʰua˧˧											
跨	khua1	kua1	kʰua˧˧											
娃	ua1	ua1	ua˧˧											
瓦	hia6	hia6	hia˧˥	厝~										
瓦	hue2	huê2	hue˥˨	~刀										
瓦	ua1	ua1	ua˧˧	文										
瓦	ua2	ua2	ua˥˨	文										
花	hue1	huê1	hue˧˧											
花	hua1	hua1	hua˧˧	文										
化	hue3	huê3	hue˨˩˨											
化	hua3	hua3	hua˨˩˨	文										
華	hua5	hua5	hua˥˥											
華	hua1	hua1	hua˧˧	又										
蛙	ua1	ua1	ua˧˧											
窪	ua1	ua1	ua˧˧											
補	pou2	bou2	pou˥˨											
譜	phou2	pou2	pʰou˥˨											
布	pou3	bou3	pou˨˩˨											
布	pu3	bu3	pu˨˩˨	文										
鋪	phou1	pou1	pʰou˧˧	動詞										
鋪	phou3	pou3	pʰou˨˩˨	又，店~										
普	phou2	pou2	pʰou˥˨											
浦	phou2	pou2	pʰou˥˨											
怖	pu3	bu3	pu˨˩˨											
菩	phu5	pu5	pʰu˥˥											
菩	pho6	po6	pʰo˧˥	又										
蒲	phu5	pu5	pʰu˥˥											
脯	pou2	bou2	pou˥˨											
部	pou6	bou6	pou˧˥											
簿	phou6	pou6	pʰou˧˥											
步	pou7	bou7	pou˧˩											
捕	pu6	bu6	pu˧˥											
捕	pou2	bou2	pou˥˨	又										
埠	pou1	bou1	pou˧˧											
模	bou5	bhou5	ᵐbou˥˥	白										
模	mo5	mo5	mo˥˥											
暮	mo6	mo6	mo˧˥											
墓	mo6	mo6	mo˧˥											
募	mo6	mo6	mo˧˥											
慕	mo6	mo6	mo˧˥											
都	tou1	dou1	tou˧˧											
堵	tu2	du2	tu˥˨											
賭	tu2	du2	tu˥˨											
妒	kou3	gou3	kou˨˩˨											
妒	tou3	dou3	tou˨˩˨											
蠹	tsu3	zu3	tsu˨˩˨	俗										
蠹	tu3	du3	tu˨˩˨											
土	thou2	tou2	tʰou˥˨											
吐	thou3	tou3	tʰou˨˩˨											
兔	thou3	tou3	tʰou˨˩˨											
途	thu5	tu5	tʰu˥˥											
屠	tou5	dou5	tou˥˥											
圖	tou5	dou5	tou˥˥											
圖	thu5	tu5	tʰu˥˥	文										
徒	thu5	tu5	tʰu˥˥											
肚	tou2	dou2	tou˥˨											
肚	tou6	dou6	tou˧˥	牛~										
杜	tou6	dou6	tou˧˥											
度	tou7	dou7	tou˧˩											
渡	tou7	dou7	tou˧˩											
鍍	tou7	dou7	tou˧˩											
奴	nou5	nou5	nou˥˥											
奴	nou1	nou1	nou˧˧	又										
努	no3	no3	no˨˩˨											
怒	no3	no3	no˨˩˨											
盧	lou5	lou5	lou˥˥	白，姓氏										
盧	lu5	lu5	lu˥˥											
爐	lou5	lou5	lou˥˥											
鹵	lou2	lou2	lou˥˨											
魯	lu2	lu2	lu˥˨											
櫓	lou2	lou2	lou˥˨											
櫓	lou6	lou6	lou˧˥											
櫓	lu2	lu2	lu˥˨	文										
虜	lu2	lu2	lu˥˨											
露	lou3	lou3	lou˨˩˨	又										
露	lou7	lou7	lou˧˩											
路	lou7	lou7	lou˧˩											
賂	lu6	lu6	lu˧˥											
租	tsou1	zou1	tsou˧˧											
祖	tsou2	zou2	tsou˥˨											
組	tsu1	zu1	tsu˧˧											
做	tso3	zo3	tso˨˩˨											
粗	tshou1	cou1	tsʰou˧˧											
醋	tshou3	cou3	tsʰou˨˩˨											
錯	tsho3	co3	tsʰo˨˩˨											
措	tshu3	cu3	tsʰu˨˩˨											
蘇	sou1	sou1	sou˧˧											
酥	sou1	sou1	sou˧˧											
素	sou3	sou3	sou˨˩˨	白，味~										
素	su3	su3	su˨˩˨											
塑	sok4	sog4	sok˨											
訴	su3	su3	su˨˩˨											
嗉	su3	su3	su˨˩˨											
辜	kou1	gou1	kou˧˧	白，姓氏										
辜	ku1	gu1	ku˧˧											
孤	kou1	gou1	kou˧˧											
箍	khou1	kou1	kʰou˧˧											
姑	kou1	gou1	kou˧˧											
估	kou2	gou2	kou˥˨											
古	kou2	gou2	kou˥˨											
賈	kou2	gou2	kou˥˨											
股	kou2	gou2	kou˥˨											
鼓	kou2	gou2	kou˥˨											
蠱	ku2	gu2	ku˥˨											
故	ku3	gu3	ku˨˩˨											
顧	kou3	gou3	kou˨˩˨	白，姓氏										
顧	ku3	gu3	ku˨˩˨											
固	ku3	gu3	ku˨˩˨											
雇	kou3	gou3	kou˨˩˨											
枯	kou1	gou1	kou˧˧											
苦	khou2	kou2	kʰou˥˨											
庫	khou3	kou3	kʰou˨˩˨											
褲	khou3	kou3	kʰou˨˩˨											
梧	ngo5	ngo5	ŋo˥˥											
吾	u5	u5	u˥˥											
吳	gou5	ghou5	ᵑɡou˥˥											
五	ngou6	ngou6	ŋou˧˥											
五	ngom6	ngom6	ŋom˧˥	又										
五	ngou2	ngou2	ŋou˥˨	文										
午	ngou2	ngou2	ŋou˥˨											
伍	ngou2	ngou2	ŋou˥˨											
悟	ngo6	ngo6	ŋo˧˥											
誤	gou7	ghou7	ᵑɡou˧˩											
呼	khou1	kou1	kʰou˧˧											
呼	hu1	hu1	hu˧˧	文										
虎	honnunn2	houn2	ho ̃u ̃˥˨											
滸	hu2	hu2	hu˥˨											
戽	hou6	hou6	hou˧˥											
乎	hu1	hu1	hu˧˧											
壺	hu5	hu5	hu˥˥											
瓠	pu5	bu5	pu˥˥	俗										
瓠	hu6	hu6	hu˧˥											
胡	ou5	ou5	ou˥˥	白，姓氏										
胡	hou5	hou5	hou˥˥	舊文，~椒										
胡	hu5	hu5	hu˥˥	文										
狐	hou5	hou5	hou˥˥											
狐	hu5	hu5	hu˥˥	文										
湖	ou5	ou5	ou˥˥											
鈑	ponninn2	boin2	po ̃i ̃˥˨											
鈑	pang2	bang2	paŋ˥˨	文										
戶	hou6	hou6	hou˧˥											
滬	hu6	hu6	hu˧˥											
互	hu6	hu6	hu˧˥											
護	hu6	hu6	hu˧˥											
烏	ou1	ou1	ou˧˧											
汙	u1	u1	u˧˧											
塢	u1	u1	u˧˧											
惡	oh4	oh4	oʔ˨	難										
惡	ak4	ag4	ak˨											
女	nng2	neng2	nŋ˥˨											
女	ni2	ni2	ni˥˨	文，釣～										
廬	lou5	lou5	lou˥˥											
廬	lu5	lu5	lu˥˥	文										
驢	lur5	le5	lɯ˥˥											
呂	lur6	le6	lɯ˧˥											
侶	lur6	le6	lɯ˧˥											
旅	li2	li2	li˥˨											
慮	lur6	le6	lɯ˧˥											
濾	lur6	le6	lɯ˧˥											
鑢	lur3	le3	lɯ˨˩˨											
鑢	thur3	te3	tʰɯ˨˩˨	又										
蛆	tshur1	ce1	tsʰɯ˧˧											
蛆	tsu1	zu1	tsu˧˧	文										
疽	tsu1	zu1	tsu˧˧											
胥	su1	su1	su˧˧											
絮	su6	su6	su˧˥											
徐	tshur5	ce5	tsʰɯ˥˥											
序	su6	su6	su˧˥											
緒	su6	su6	su˧˥											
敘	su6	su6	su˧˥											
豬	tur1	de1	tɯ˧˧											
著	tu3	du3	tu˨˩˨											
著	tioh8	dioh8	tioʔ˥˦	又										
著	tioh4	dioh4	tioʔ˨	又，沉~										
著	toh8	doh8	toʔ˥˦	～火										
褚	su2	su2	su˥˨	姓氏										
褚	tu2	du2	tu˥˨											
除	tur5	de5	tɯ˥˥											
儲	thu5	tu5	tʰu˥˥											
苧	tiu6	diu6	tiu˧˥											
箸	tur7	de7	tɯ˧˩											
阻	tso2	zo2	tso˥˨											
初	tshiu1	ciu1	tɕʰiu˧˧											
初	tsho1	co1	tsʰo˧˧	文										
楚	tsho2	co2	tsʰo˥˨											
鋤	tur5	de5	tɯ˥˥											
鋤	thur5	te5	tʰɯ˥˥	又										
鋤	tsho5	co5	tsʰo˥˥	文										
疏	so1	so1	so˧˧											
蔬	so1	so1	so˧˧											
梳	siu1	siu1	ɕiu˧˧											
所	so2	so2	so˥˨											
諸	ta1	da1	ta˧˧	~夫（男性）										
諸	tsur1	ze1	tsɯ˧˧	白，~娘（女性）										
諸	tsu1	zu1	tsu˧˧											
煮	tsur5	ze5	tsɯ˥˥											
處	tshu3	cu3	tsʰu˨˩˨											
書	tsur1	ze1	tsɯ˧˧											
舒	tshur1	ce1	tsʰɯ˧˧	白，~開										
舒	su1	su1	su˧˧	文										
鼠	tshur2	ce2	tsʰɯ˥˨											
暑	su2	su2	su˥˨											
黍	su2	su2	su˥˨											
庶	su3	su3	su˨˩˨											
恕	su3	su3	su˨˩˨											
墅	su2	su2	su˥˨											
薯	tsur5	ze5	tsɯ˥˥											
署	su2	su2	su˥˨											
如	dzu5	ru5	dzu˥˥											
汝	lur2	le2	lɯ˥˨											
汝	dzur2	re2	dzɯ˥˨	文										
居	kur1	ge1	kɯ˧˧											
居	kur1	ge1	kɯ˧˧											
車	kur1	ge1	kɯ˧˧											
舉	kur2	ge2	kɯ˥˨											
鋸	kur3	ge3	kɯ˨˩˨											
據	kur6	ge6	kɯ˧˥											
墟	hur1	he1	hɯ˧˧											
去	khur3	ke3	kʰɯ˨˩˨											
渠	khur5	ke5	kʰɯ˥˥											
巨	kur6	ge6	kɯ˧˥											
距	kur6	ge6	kɯ˧˥											
拒	kur6	ge6	kɯ˧˥											
遽	kur6	ge6	kɯ˧˥											
魚	hur5	he5	hɯ˥˥											
漁	hur5	he5	hɯ˥˥											
語	gur2	ghe2	ᵑɡɯ˥˨											
禦	ur6	e6	ɯ˧˥											
禦	gur6	ghe6	ᵑɡɯ˧˥	又										
虛	hur1	he1	hɯ˧˧											
噓	hur1	he1	hɯ˧˧											
許	khou2	kou2	kʰou˥˨	白，姓氏										
許	hur2	he2	hɯ˥˨											
淤	ur3	e3	ɯ˨˩˨											
於	i1	i1	i˧˧											
餘	ur5	e5	ɯ˥˥											
與	ur2	e2	ɯ˥˨											
譽	ur6	e6	ɯ˧˥											
預	ur6	e6	ɯ˧˥											
豫	ur6	e6	ɯ˧˥											
夫	pou1	bou1	pou˧˧	白，諸~										
夫	hu1	hu1	hu˧˧	文										
膚	hu1	hu1	hu˧˧											
甫	phou2	pou2	pʰou˥˨											
斧	pou2	bou2	pou˥˨											
府	hu2	hu2	hu˥˨											
腑	hu2	hu2	hu˥˨											
俯	hu2	hu2	hu˥˨											
賦	hu3	hu3	hu˨˩˨											
傅	pou3	bou3	pou˨˩˨											
傅	hu3	hu3	hu˨˩˨	文										
付	hu3	hu3	hu˨˩˨											
敷	pou1	bou1	pou˧˧											
敷	hu1	hu1	hu˧˧	文										
俘	hu1	hu1	hu˧˧											
撫	bu2	bhu2	ᵐbu˥˨											
赴	hu3	hu3	hu˨˩˨											
訃	hu3	hu3	hu˨˩˨											
符	hu5	hu5	hu˥˥											
扶	hu5	hu5	hu˥˥											
釜	hu2	hu2	hu˥˨											
腐	hu1	hu1	hu˧˧											
腐	hu7	hu7	hu˧˩	又										
輔	hu6	hu6	hu˧˥											
父	pe6	bê6	pe˧˥	训“爸”										
父	hu6	hu6	hu˧˥	文										
父	hu2	hu2	hu˥˨	又										
附	hu3	hu3	hu˨˩˨											
毋	bo5	bho5	ᵐbo˥˥											
毋	m6	m6	m˧˥	又										
巫	bu5	bhu5	ᵐbu˥˥											
誣	bu5	bhu5	ᵐbu˥˥											
無	bo5	bho5	ᵐbo˥˥											
無	bu5	bhu5	ᵐbu˥˥											
舞	mou6	mou6	mou˧˥	白，~來~去										
舞	bu2	bhu2	ᵐbu˥˨											
侮	bu2	bhu2	ᵐbu˥˨											
武	bu2	bhu2	ᵐbu˥˨											
鵡	bu2	bhu2	ᵐbu˥˨											
霧	bu7	bhu7	ᵐbu˧˩											
務	bu6	bhu6	ᵐbu˧˥											
務	pu6	bu6	pu˧˥	新，任~										
縷	lu2	lu2	lu˥˨											
屢	lu2	lu2	lu˥˨											
趨	tshu1	cu1	tsʰu˧˧											
取	tshu2	cu2	tsʰu˥˨											
娶	tshua7	cua7	tsʰua˧˩	俗										
娶	tshu2	cu2	tsʰu˥˨											
趣	tshu3	cu3	tsʰu˨˩˨											
聚	tsu6	zu6	tsu˧˥											
需	su1	su1	su˧˧											
須	tshiu1	ciu1	tɕʰiu˧˧											
須	su1	su1	su˧˧	文										
鎢	ou1	ou1	ou˧˧											
續	sok8	sog8	sok˥˦											
蛛	tu1	du1	tu˧˧											
株	tu1	du1	tu˧˧											
株	tsu1	zu1	tsu˧˧	文										
誅	tu1	du1	tu˧˧											
誅	tsu1	zu1	tsu˧˧	文										
駐	tsu3	zu3	tsu˨˩˨											
注	tsu3	zu3	tsu˨˩˨											
廚	tou5	dou5	tou˥˥											
柱	thiau6	tiao6	tʰiau˧˥											
住	tiu7	diu7	tiu˧˩											
住	tsu6	zu6	tsu˧˥	文										
芻	tshu1	cu1	tsʰu˧˧											
雛	tshu1	cu1	tsʰu˧˧											
數	siau3	siao3	ɕiau˨˩˨											
數	su3	su3	su˨˩˨	文										
珠	tsiu1	ziu1	tɕiu˧˧	白										
珠	tsu1	zu1	tsu˧˧											
朱	tsu1	zu1	tsu˧˧											
主	tsu2	zu2	tsu˥˨											
注	tsu3	zu3	tsu˨˩˨											
鑄	tsu3	zu3	tsu˨˩˨											
樞	khu1	ku1	kʰu˧˧											
輸	su1	su1	su˧˧											
戍	sue3	suê3	sue˨˩˨											
殊	su5	su5	su˥˥											
豎	su6	su6	su˧˥											
樹	tshiu7	ciu7	tɕʰiu˧˩											
樹	su6	su6	su˧˥	文										
儒	dzu5	ru5	dzu˥˥											
乳	dzu2	ru2	dzu˥˨											
拘	khu1	ku1	kʰu˧˧											
駒	khu1	ku1	kʰu˧˧											
俱	ku6	gu6	ku˧˥											
矩	kur2	ge2	kɯ˥˨											
句	ku3	gu3	ku˨˩˨											
區	khu1	ku1	kʰu˧˧											
驅	khu1	ku1	kʰu˧˧											
瞿	khur5	ke5	kʰɯ˥˥	姓氏										
瞿	kur6	ge6	kɯ˧˥											
具	ku6	gu6	ku˧˥											
懼	ku6	gu6	ku˧˥											
虞	ngo5	ngo5	ŋo˥˥											
愚	ngo5	ngo5	ŋo˥˥											
娛	gu5	ghu5	ᵑɡu˥˥											
遇	ngo6	ngo6	ŋo˧˥											
寓	ngo6	ngo6	ŋo˧˥											
籲	u1	u1	u˧˧											
迂	u1	u1	u˧˧											
於	u1	u1	u˧˧											
盂	hu5	hu5	hu˥˥											
雨	hou6	hou6	hou˧˥											
雨	u2	u2	u˥˨	文										
禹	u2	u2	u˥˨											
宇	u2	u2	u˥˨											
羽	u2	u2	u˥˨											
芋	ou7	ou7	ou˧˩											
逾	dzu5	ru5	dzu˥˥											
榆	dzu5	ru5	dzu˥˥											
愉	dzu5	ru5	dzu˥˥											
愈	dzu2	ru2	dzu˥˨											
喻	dzu6	ru6	dzu˧˥											
裕	dzu6	ru6	dzu˧˥											
獃	tai1	dai1	tai˧˧											
獃	ngai5	ngai5	ŋai˥˥	又										
戴	ti3	di3	ti˨˩˨											
戴	to3	do3	to˨˩˨	又，姓氏										
戴	tai3	dai3	tai˨˩˨	文										
胎	tho1	to1	tʰo˧˧											
台	thai1	tai1	tʰai˧˧											
台	thai5	tai5	tʰai˥˥											
颱	thai1	tai1	tʰai˧˧											
態	thai3	tai3	tʰai˨˩˨											
貸	tai3	dai3	tai˨˩˨											
臺	thai5	tai5	tʰai˥˥											
苔	ti5	di5	ti˥˥											
抬	thai5	tai5	tʰai˥˥											
殆	tai6	dai6	tai˧˥											
待	thai6	tai6	tʰai˧˥											
怠	tai6	dai6	tai˧˥											
代	to7	do7	to˧˩											
代	thoi3	toi3	tʰoi˨˩˨	訓“替”										
代	tai3	dai3	tai˨˩˨	文										
袋	to7	do7	to˧˩											
乃	nai2	nai2	nai˥˨											
乃	nai6	nai6	nai˧˥	又										
耐	nai6	nai6	nai˧˥											
來	lai5	lai5	lai˥˥											
災	tso1	zo1	tso˧˧	白										
災	tsai1	zai1	tsai˧˧											
栽	tsai1	zai1	tsai˧˧											
宰	tsai2	zai2	tsai˥˨											
載	tsai2	zai2	tsai˥˨											
再	tsai3	zai3	tsai˨˩˨											
載	tsai3	zai3	tsai˨˩˨											
猜	tshai1	cai1	tsʰai˧˧											
采	tshai2	cai2	tsʰai˥˨											
睬	tshai2	cai2	tsʰai˥˨											
彩	tshai2	cai2	tsʰai˥˨											
菜	tshai3	cai3	tsʰai˨˩˨											
裁	tshai5	cai5	tsʰai˥˥											
材	tshai5	cai5	tsʰai˥˥											
才	tsai5	zai5	tsai˥˥	秀~										
才	tshai5	cai5	tsʰai˥˥											
纔	tshai5	cai5	tsʰai˥˥											
財	tshai5	cai5	tsʰai˥˥											
在	to6	do6	to˧˥	俗										
在	tsai6	zai6	tsai˧˥											
腮	sai1	sai1	sai˧˧											
賽	sai3	sai3	sai˨˩˨											
該	kai1	gai1	kai˧˧											
改	koi2	goi2	koi˥˨											
溉	khai3	kai3	kʰai˨˩˨											
概	khai3	kai3	kʰai˨˩˨											
開	khui1	kui1	kʰui˧˧											
開	khai1	kai1	kʰai˧˧	文										
凱	khai2	kai2	kʰai˥˨											
愷	khai2	kai2	kʰai˥˨											
慨	khai2	kai2	kʰai˥˨											
慨	khai3	kai3	kʰai˨˩˨	又										
