汉字	IPA	注释
热	dʒiɐ1	
约	dʒiɐ5	
协	hiɐ1	
极	kiɐ1	
□	kiɐ1	⿰氵局，稠
激	kiɐ5	文作“急”，生气
镜	kiɐ5	
桔	kiɐ5	
力	liɐ1	
历	liɐ1	
立	liɐ1	
日	liɐ1	
入	liɐ1	
逼	piɐ5	
笔	piɐ5	
习	siɐ1	
袭	siɐ1	
翼	siɐ1	翅膀
实	ʃiɐ1	
蚀	ʃiɐ1	
蜀	ʃiɐ1	一；~头行，~头讲，边走边说
翼	ʃiɐ1	
值	tiɐ1	
滴	tiɐ5	
直	tiɐ5	
竹	tiɐ5	
疾	tsiɐ1	
籍	tsiɐ1	
绝	tsiɐ1	
作	tsiɐ1	~母，女人
集	tsiɐ2	
积	tsiɐ5	
接	tsiɐ5	
叔	tsiɐ5	
执	tsiɐ5	
职	tʃiɐ5	
质	tʃiɐ5	
喙	tsʰiɐ5	~齿，牙齿
七	tsʰiɐ5	
出	tʃʰiɐ5	
油	dʒiɒ2	
有	dʒiɒ3	
幼	dʒiɒ5	细，嫩
杰	kiɒ1	
丘	kʰiɒ1	
立	liɒ1	
刘	liɒ2	
守	ʃiɒ3	
所	ʃiɒ3	~在，地方
受	ʃiɒ4	
抽	tʰiɒ1	
绸	tʰiɒ2	
柱	tʰiɒ4	
州	tʃiɒ1	
周	tʃiɒ1	
珠	tʃiɒ1	目~，眼睛
鳅	tsʰiɒ1	
鬚	tsʰiɒ1	胡~
手	tʃʰiɒ3	
树	tʃʰiɒ5	
命	biɐ̃5	
萤	dʒiɐ̃2	
惊	kiɐ̃1	怕
行	kiɐ̃2	走
岭	liɐ̃3	~级，台阶
领	liɐ̃3	(一)张(被)
鼎	tiɐ̃3	铁锅
窗	tʰiɐ̃1	
䭕	tsiɐ̃3	味淡
尖	tsiɐ̃9	末尖
烟	dʒiaŋ1	
淹	dʒiaŋ1	
央	dʒiaŋ1	
鞭	piaŋ1	
便	piaŋ5	
电	tiaŋ5	
尖	tsiaŋ1	尖端
煎	tsiaŋ1	
全	tsiaŋ2	~工，整天
毡	tʃiaŋ1	
詹	tʃiaŋ1	
羊	iɔŋ2	
养	dʒiɔŋ3	
业	dʒie1	
急	kie5	
别	pie1	
粟	tsʰie5	稻谷
荣	dʒiɤ2	
绒	dʒiɤ2	
容	dʒiɤ2	
用	dʒiɤ5	
雄	hiɤ2	
熊	hiɤ2	
龙	liɤ2	
隆	liɤ2	
中	tiɤ1	~间kɤ1
忠	tiɤ1	
