#备注：江宁方言语音研究 聂平  	
#调值	[1]³¹ [2]²⁴ [3]²¹² [4]⁴⁴ [5]⁵
#ɿ	
tsʰ	[1]猜差钗[2]才材财裁柴豺[3]彩采睬踩[5]蔡菜
s	[1]腮鳃筛[5]赛晒
k	[1]该街-[3]改解-[5]盖概溉丐
kʰ	[1]开揩[3]凯楷
x	[1]□{~：动词，用粗棍使劲抽打}[2]孩鞋-[3]海蟹-[5]害亥骇
ŋ	[1]哀[2]呆挨[3]矮[5]爱碍蔼艾隘

#iɛ	
tɕ	[1]街=[3]解=[5]介界戒芥疥
ɕ	[1]鞋=[3]蟹=[5]懈
Ø	[3]野=惹

#uɛ	
tʂ	[1]□{~子：手有残疾的人}[3]拽{~：傲慢}[5]拽
tʂʰ	[1]揣[2]□{~：①臃肿②做事拖沓}[5]踹□{~屁：坚强}
ʂ	[1]摔衰[3]甩[5]帅率
k	[1]乖[3]拐踝[5]怪
kʰ	[3]蒯{~痒：挠痒}[5]快块会筷
x	[1]□{~：翻找}[2]怀淮槐[5]坏
Ø	[1]歪[2]崴[5]外

#ei	
p	[1]卑碑悲杯[5]背臂被备贝辈倍
pʰ	[1]丕呸[2]陪赔[3]□{~：动词，用小力掰}[5]配佩
m	[2]梅枚媒煤眉霉[3]每美[5]妹昧
f	[1]非飞[2]肥[3]匪[5]费肺废痱
t	[1]堆[2]兑{一~：一对一勾销}[5]对队兑
tʰ	[1]推[3]腿[5]退
l	[2]雷[3]垒[5]内类累泪
ts	[1]遮[2]贼[3]者嘴[5]罪醉
tsʰ	[1]崔催车□{~咚~：石头剪子布}[3]扯[5]脆翠
s	[1]虽奢[2]蛇随隋谁[3]舍[5]碎岁穗舍社

#uei	
tʂ	[1]追锥[5]坠缀赘最
tʂʰ	[1]吹[2]槌垂锤
ʂ	[3]水[5]睡税
ʐ	[3]蕊[5]锐瑞睿
k	[1]归龟规圭闺[3]鬼轨诡癸[5]贵桂跪柜鳜
kʰ	[1]亏[2]葵傀魁奎逵[5]愧溃
x	[1]灰挥辉徽麾[2]回[3]悔毁晦[5]会贿汇惠慧讳绘秽
Ø	[1]威煨[2]围微危桅为维惟违苇[3]尾委伪伟纬[5]未卫喂为味畏胃谓

#ʊ	
t	[1]多[3]朵躲[5]柁舵惰垛剁
tʰ	[1]拖[2]驮驼陀[3]妥撱
l	[1]啰捋[2]罗锣箩骡挪螺[3]裸虏[5]糯
ts	[3]左佐[5]做坐座
tsʰ	[2]挫磋[5]错矬
s	[1]蓑梭梳[3]所锁琐
k	[1]哥歌锅[2]哥{~~：哥哥}[3]果裹[5]个
kʰ	[1]科棵颗{①量词②~~：粉刺、小脓包}[3]可[5]课
x	[1]呵□{动词，奉承}[2]何阿荷禾和[3]火伙[5]货贺祸
Ø	[1]倭窝蜗踒[2]俄蛾讹鹅[3]我[5]饿

#ɔ	
p	[1]包胞[3]保堡饱宝[5]报抱鲍豹暴爆雹刨
pʰ	[1]抛[2]袍跑[3]跑[5]泡炮
m	[1]猫[2]毛猫锚矛茅[3]卯冇{~~：没有}[5]貌冒帽茂贸
t	[1]刀叨[3]岛捣倒导祷[5]到倒道稻盗
tʰ	[1]掏涛[2]逃桃陶淘萄[3]讨[5]套
l	[1]孬捞[2]劳捞牢唠[3]老脑恼佬[5]闹涝
ts	[1]糟遭招昭朝脏-[3]早澡找爪-沼[5]造灶皂躁照罩赵兆
tsʰ	[1]操抄超钞[2]曹槽朝潮巢[3]草吵炒[5]糙
s	[1]骚搔臊烧梢稍[2]韶[3]扫少嫂[5]埽绍邵□{~：速度快}
ʐ	[2]佼挠[3]扰[5]绕
k	[1]高膏羔糕[3]稿搞[5]告觉-
kʰ	[1]敲-[3]考烤拷[5]靠犒铐
x	[1]蒿[2]毫豪土壕[3]好[5]号耗好浩
ŋ	[2]熬[3]袄咬[5]奥澳傲

#iɔ	
p	[1]标彪[3]表[5]瞟
pʰ	[1]漂飘[2]瓢嫖[5]票漂
m	[2]苗瞄描[3]秒藐渺[5]妙庙
t	[1]刁貂雕凋[5]掉钓吊调
tʰ	[1]挑[2]条调[3]挑[5]跳眺
l	[2]寥聊辽疗撩燎瞭[3]鸟了[5]料尿
tɕ	[1]焦蕉椒交郊胶娇教浇铰[3]剿绞狡搅缴侥[5]叫教校较觉=
tɕʰ	[1]锹缲悄敲=跷[2]樵瞧乔荞侨桥[3]巧[5]俏鞘窍翘{~：倔强}
ɕ	[1]消霄宵硝销萧嚣[2]淆[3]小晓[5]笑效校孝
Ø	[1]要腰妖邀吆[2]摇瑶窑遥姚肴尧[3]杳舀[5]要耀跃鹞

#iy	
t	[1]兜丢[3]斗抖陡[5]豆斗痘
tʰ	[1]偷[2]头投[5]透
l	[1]溜[2]楼流硫琉刘留榴瘤牛[3]搂篓纽扭柳[5]漏陋
tɕ	[1]邹周舟州洲揪纠灸阉鸠[2]轴{~：①旋转②倔强}[3]走肘帚洒九久韭[5]奏皱绉骤掐咒昼宙纣就旧臼救究舅咎柩
tɕʰ	[1]抽秋丘[2]愁绸稠筹酬囚泅求球[3]丑[5]凑臭
ɕ	[1]搜收修羞休[2]□{~：吸 }[3]叟手守首朽[5]瘦嗽受授寿售兽秀绣锈袖
k	[1]勾沟钩[3]狗苟[5]够构购
kʰ	[1]抠[2]抠{~：吝啬}[3]口[5]扣寇叩
x	[1]齁{~巴子：得气喘病的人}[2]侯喉猴瘊[3]吼[5]后厚候
ŋ	[1]欧殴沤瓯[3]偶呕藕[5]怄
Ø	[1]忧优悠幽[2]由邮油尤犹游铀柔揉[3]有友[5]诱肉右佑宥幼

#ɚ	
ŋ	[2]儿而[3]耳饵尔迩[5]二贰

#a᷉	
p	[1]班=斑=颁=扳=般=搬=[3]板=版=[5]办=半=伴=拌=绊=瓣=
pʰ	[1]潘=攀=[2]盘=檗=磐=蟠=[5]盼=判=叛=
m	[2]蛮=漫=瞒=馒=[3]满=[5]慢=蔓=漫=幔=
f	[1]翻帆番[2]凡矾烦繁[3]反返[5]饭贩犯范泛梵
t	[1]单丹担耽眈[3]胆咱{多~子：什么时候}[5]但担旦淡弹蛋诞
tʰ	[1]坍贪滩摊[2]谈痰谭弹潭坛=[3]毯坦袒[5]炭探叹
l	[2]南男难篮蓝兰拦栏婪岚澜[3]懒览揽[5]滥烂难
ts	[1]沾毡詹瞻簪=[3]盏斩展[5]赞蘸战栈占站暂绽
tsʰ	[1]参餐搀[2]残蚕=缠馋谗蟾潺蝉禅[3]惨铲阐[5]灿颤忏
s	[1]三山衫姗珊潸煽杉[3]伞陕散[5]散扇=善汕疝赡鳝缮膳
ʐ	[1]然燃[3]染=冉
k	[1]甘=肝柑干=间-[3]敢竿感秆杆赶[5]干
kʰ	[1]堪看=刊[3]坎侃[5]看勘
x	[1]酣鼾[2]寒韩含=函咸-衔-[3]喊[5]汉旱汗=撼捍焊翰
ŋ	[1]安鞍庵[2]严-[3]眼-[5]按案暗岸

#ie᷉	
p	[1]边鞭编[3]扁匾贬[5]变辨辩便遍
pʰ	[1]偏篇[2]便[5]片遍骗
m	[2]棉绵眠[3]免勉[5]面
t	[1]颠掂[3]点典[5]电店殿佃
tʰ	[1]天添[2]田甜填[3]舔[5]忝掭
l	[2]年粘连莲鲢廉镰帘联怜[3]脸碾[5]念恋敛练链炼
tɕ	[1]尖煎笺歼坚肩奸艰兼监间=[3]剪践减碱捡俭简柬拣茧检[5]箭贱渐荐见剑腱建健件涧
tɕʰ	[1]迁签牵谦铅[2]钱前乾钳[3]浅潜遣[5]欠
ɕ	[1]先仙鲜掀[2]弦舷咸=衔=嫌贤[3]癣险显宪[5]线泻卸现献县
Ø	[1]烟腌[2]言延严=研颜阎檐盐[3]眼=掩演[5]燕宴验厌雁晏砚咽

#ua᷉	
t	[1]端=[3]短=[5]段=断=锻=缎=
tʰ	[2]团=
l	[2]鸾=銮=峦=栾=[3]卵=暖=[5]乱=
tʂ	[1]簪=砖=专=[3]转=[5]钻=传=赚
tʂʰ	[1]穿=川=[2]船=椽=传=[3]喘=[5]串=窜=
ʂ	[1]酸=栓闩[5]蒜=算=
ʐ	[3]阮软=
k	[1]观关官=棺=倌=[3]管馆=[5]贯惯灌=罐=冠
kʰ	[1]宽=[3]款=
x	[1]欢=[2]环还[3]缓=[5]换=唤=幻患=
Ø	[1]弯=湾=豌=[2]完丸=顽玩[3]碗=晚挽=皖=婉[5]万

#ye᷉	
tɕ	[1]娟捐鹃[3]卷[5]倦劵眷圈
tɕʰ	[1]圈[2]全泉痊权颧拳[5]劝券
ɕ	[1]宣靴[2]玄旋悬[3]选[5]旋眩
Ø	[1]鸳冤[2]元员圆园原缘源袁辕援[3]远[5]怨院愿

#ɑŋ	
p	[1]邦帮[3]榜绑[5]棒磅谤
pʰ	[1]□{~：浮在水面上}[2]旁滂螃傍庞[5]胖
m	[2]忙芒虻[3]蟒莽
f	[1]方芳[2]防妨肪房[3]彷纺访仿[5]放
t	[1]当[3]党挡[5]当宕惮
tʰ	[1]汤[2]唐糖塘搪堂棠螳[3]倘躺[5]烫趟
l	[1]□{~：耷拉}[2]囊郎廊狼琅啷榔螂[3]朗攮[5]浪
ts	[1]脏=臧赃张章樟[3]掌长涨[5]藏脏葬丈仗杖帐胀涨障
tsʰ	[1]苍昌仓[2]长肠常偿藏尝[3]厂场[5]唱倡畅
s	[1]桑丧商伤裳[3]嗓搡赏[5]丧尚
ʐ	[2]瓤穰[3]嚷[5]让
k	[1]刚纲钢缸肛[3]港[5]杠
kʰ	[1]康糠慷[2]扛[3]□{~：咸肉变质}[5]抗炕
x	[1]夯[2]行航杭[5]巷-
ŋ	[1]肮[2]昂

#iɑŋ	
l	[1]娘{~：阿姨}[2]良娘粮凉量梁粱[3]两仰[5]亮谅辆量
tɕ	[1]将浆江疆偶姜礓缰[3]奖桨蒋讲[5]匠酱将降
tɕʰ	[1]枪羌腔[2]强墙详[3]抢[5]呛
ɕ	[1]相箱厢湘襄镶香乡[3]想享响[5]象蟓橡向项巷=
Ø	[1]央秧殃[2]扬杨羊洋佯阳[3]养痒[5]样恙漾

#uɑŋ	
tʂ	[1]庄装妆桩[3]奘{~：物体粗大}[5]状{~：强壮}状撞幢
tʂʰ	[1]窗疮[2]床[3]闯[5]创
ʂ	[1]双霜[3]爽
k	[1]光胱[3]广犷[5]逛
kʰ	[1]框筐眶[2]狂[5]矿况旷邝
x	[1]荒慌[2]黄皇蝗簧煌璜蝗惶凰[3]谎[5]晃
Ø	[1]汪枉[2]王亡[3]网往妄罔[5]忘妄旺望

#o᷉	
p	[1]班-斑-颁-扳-般-搬-[3]板-版-[5]办-半-伴-拌-绊-瓣-
pʰ	[1]潘-攀-[2]盘-檗-磐-蟠-[5]盼-判-叛-
m	[2]蛮-漫-瞒-馒-[3]满-[5]慢-蔓-漫-幔-
t	[1]端-[3]短-[5]段-断-锻-缎-
tʰ	[2]团-
l	[2]鸾-銮-峦-栾-[3]卵-暖-[5]乱-
ts	[1]簪-砖-专-[3]转-[5]钻-传-
tsʰ	[1]穿-川-[2]蚕-船-椽-传-[3]喘-[5]串-窜-
s	[1]酸-[5]蒜-算-
ʐ	[2]绒=融=蓉=戎=茸=[3]染-软-
k	[1]干-甘-官-棺-倌-[3]馆-[5]灌-罐-
kʰ	[1]看-宽-[2]含-[3]款-□{~：动词，盖}
x	[1]欢-獾[3]缓-[5]换-唤-患-汗-
Ø	[1]弯-湾-豌-[2]丸-[3]碗-挽-皖-

#ə᷉	
p	[1]奔崩[3]本[5]笨
pʰ	[1]烹喷[2]盆朋棚彭膨篷蓬[3]捧[5]碰
m	[2]门蒙扪[3]猛[5]孟闷梦
f	[1]风封峰锋蜂疯丰纷芬分吩[2]坟冯逢缝焚坟[3]粉讽[5]奉俸凤份奋粪愤
t	[1]灯登吨敦墩蹲东冬[3]等董懂[5]凳邓钝顿盾遁沌动冻洞
tʰ	[1]吞通[2]疼滕誊藤屯豚臀同铜桐童瞳[3]统捅筒桶[5]痛
l	[1]□{~~：将就}[2]能论伦抡沦纶轮仑农脓浓龙笼聋隆[3]陇垄拢冷[5]论嫩弄
ts	[1]曾筝睁争挣尊遵宗棕鬃踪综真珍斟侦贞蒸征砧箴臻[3]怎整疹诊枕[5]赠粽纵正证症政郑振震阵镇
tsʰ	[1]撑村皴聪葱囱称[2]层曾存从丛崇陈尘沉辰晨臣橙乘承丞呈程成城诚盛[3]逞=[5]寸忖衬趁称秤剩
s	[1]生参牲森僧甥孙狲松嵩声身申伸升深[2]神绳[3]省损耸审婶沈[5]渗送宋诵颂讼圣甚慎胜盛
k	[1]根跟更粳羹耕今-[3]耿梗[5]更□{冷~：①冷颤②淤青}
kʰ	[1]坑[3]肯啃恳垦[5]□{垢}
x	[1]哼[2]恒衡[3]狠很[5]恨
ŋ	[1]恩嗯[5]硬

#uə᷉	
tʂ	[1]淳中忠终钟衷盅[3]准种肿总[5]中仲种重众
tʂʰ	[1]冲充舂春[2]虫重唇纯醇淳鹑[3]蠢宠[5]冲铳
ʂ	[3]吮[5]顺舜瞬
ʐ	[1]晕-{中派}拥-{中派}庸-{中派}雍-{中派}慵-{中派}墉-{中派}臃-{中派}[2]云-{中派}匀-{中派}芸-{中派}耘-{中派}绒-{中派}融-{中派}荣-{中派}容-{中派}蓉-{中派}戎-{中派}茸-{中派} [3]陨-{中派}允-{中派}永-{中派}泳-{中派}勇-{中派}咏-{中派}蛹-{中派}涌-{中派}踊-{中派} [5]孕-{中派}运-{中派}用-{中派}佣-{中派}闰=润=
k	[1]公工功攻弓躬宫恭蚣[3]滚巩拱[5]棍共供贡
kʰ	[1]空昆坤[3]孔恐捆[5]困空控
x	[1]昏婚荤烘轰[2]红弘宏洪鸿魂浑横馄[5]混
Ø	[1]温瘟翁[2]文纹蚊闻[3]稳吻刎[5]问瓮

#yə᷉	
tɕ	[1]军均君菌[3]炯窘迥[5]俊郡骏峻
tɕʰ	[2]群裙穷琼穷
ɕ	[1]熏薰醺凶胸兄匈汹[2]寻询循巡荀旬浔熊雄[5]训逊讯迅驯殉
Ø	[1]晕-{老派}拥-{老派}庸-{老派}雍-{老派}慵-{老派}墉-{老派}臃-{老派}[2]云-{老派}匀-{老派}芸-{老派}耘-{老派}绒-{老派}融-{老派}荣-{老派}容-{老派}蓉-{老派}戎-{老派}茸-{老派} [3]陨-{老派}允-{老派}永-{老派}泳-{老派}勇-{老派}咏-{老派}蛹-{老派}涌-{老派}踊-{老派} [5]孕-{老派}运-{老派}用-{老派}佣-{老派}

#i᷉	
p	[1]兵冰宾鬓槟彬[3]丙饼秉[5]病并殡
pʰ	[1]拼[2]平评坪苹萍屏瓶贫频凭颦[3]品[5]聘
m	[2]名民明呜铭[3]敏闽悯皿[5]命
t	[1]丁钉疔[3]顶鼎[5]定订钉
tʰ	[1]听厅汀[2]停廷庭蜓[3]挺艇[5]听{~牌：麻将快赢了}
l	[1]拎[2]铃玲伶零灵凌菱陵宁凝林淋临鳞磷[3]领岭[5]令另吝
tɕ	[1]精津晶睛今金禁襟巾斤筋经京鲸惊荆[3]井锦紧仅谨景警颈[5]进尽净静晋浸靖禁近劲敬竞竟镜径
tɕʰ	[1]青清侵亲蜻钦轻卿[2]晴情秦寻琴禽擒芹勤[3]请寝顷倾[5]亲磬
ɕ	[1]心星腥辛新薪欣兴馨[2]行形刑型[3]省醒[5]信衅兴杏行幸姓性
Ø	[1]阴姻殷鹰应婴鹦樱蝇[2]银寅营萤迎盈赢淫[3]影引饮隐尹[5]印映

#ᴀʔ	
p	[7]八拔
pʰ	[7]叭
m	[7]抹
f	[7]发罚乏法伐筏阀
t	[7]达答搭
tʰ	[7]塔塌踏拓榻獭
l	[7]蜡腊辣纳捺癞
ts	[7]杂轧炸闸铡札眨
tsʰ	[7]擦插察
s	[7]杀撒
k	[7]夹-挟-胛-
kʰ	[7]掐-
x	[7]瞎-
ŋ	[7]阿压鸭押

#iᴀʔ	
tɕ	[7]脚甲夹=挟=胛=
tɕʰ	[7]雀鹊恰洽掐=
ɕ	[7]削瞎=辖狭峡
Ø	[7]药

#uᴀʔ	
tʂ	[7]刷
k	[7]刮
kʰ	[7]括
x	[7]滑划
Ø	[7]挖袜

#ieʔ	
p	[7]必逼笔毕壁蹙鼻碧弼别蹩瘪
pʰ	[7]劈匹譬僻撇
m	[7]密蜜觅灭
t	[7]的敌滴狄笛嫡叠跌碟谍
tʰ	[7]踢剔铁帖贴蝶
l	[7]力栗立粒笠律逆匿历烈列裂猎劣捏孽
tɕ	[7]节接捷截结洁杰劫揭积迹绩脊籍藉即鲫寂缉疾集及极级激击急吉屐
tɕʰ	[7]七漆膝戚泣乞讫切妾怯
ɕ	[7]血歇蜴恤协薛泄屑楔雪息媳熄箭惜席夕锡习袭悉吸
Ø	[7]乙壹益译亦逸抑揖叶业噎役疫

#yeʔ	
tɕ	[7]绝掘决觉局菊掬桔
tɕʰ	[7]缺曲屈
ɕ	[7]学蓄旭确却
Ø	[7]育狱欲约乐岳域

#əʔ	
ts	[7]足
tsʰ	[7]促
s	[7]速
k	[7]骨谷国郭
kʰ	[7]哭阔括扩
x	[7]获忽或

#uəʔ	
tʂ	[7]烛嘱祝轴粥筑竹妯拙桌捉着浊镯
tʂʰ	[7]触出畜戳
ʂ	[7]宿粟续俗叔赎属熟术述勺说
ʐ	[7]辱褥入
Ø	[7]屋物勿握
