#符号说明	-白=文?待考																									
#调值	［1］⁵⁵［2］²⁴［3］²¹［5］²¹³［6］³³																									
#ɿ																										
pʰ	［1］排{～日：每天}牌彭簰{木～}［5］魄拍［6］败白																									
m	［1］妈{姑婆～～：父之姑母}□{～开嘴：张嘴}□{～咸：很咸}［2］埋［3］买［5］妈{老～儿：老太婆}［6］卖迈{跨（过去）}孟{～姜女}麦脉妈{～～：祖母}																									
f	［5］□{～手～脚：形容走路时甩手甩脚，晃手晃脚}																									
t	［1］□{滴滴～～：雨滴声}［3］打{有～：会武术}［5］戴带																									
tʰ	［1］□{tʰi˥ tʰi˥～～：走路鞋蹭地的声音}［2］□{～动一下：临时挪借一下钱给某人}［3］□{～下儿～下儿：形容一种走路姿势}［5］态太泰［6］大{～小；～黄：中药名}待{～客}																									
n	［1］□{～短：很短；～miau˨˩˧ 小：形容很细；～狭：很窄；～薄：很薄；～浅：很浅；～矮：很矮；～低：形容很低}［2］□{～儿：乳房，乳汁}良凉量粮梁［3］两［6］量{饭～}																									
l	［5］□{～尿：尿床}［6］奈{～何我不得}赖癞喇{～叭儿花}																									
ts	［1］灾将浆{～衣裳：用米汤浆衣服}［3］宰{～相}将蒋桨奖［5］酱糨{～糊}																									
tsʰ	［1］枪［2］墙［3］抢［5］鹊{丫～儿：喜鹊}［6］像匠嚼{乱～：胡说}																									
s	［1］箱湘{～湖：地名}厢□{一～地：一大块地}［2］祥详［3］洒想［5］赛帅相{～貌儿}削［6］象橡{～皮}																									
k	［1］阶街更{半时年都不打一～：比喻长时间没有动静}庚耕［2］戆?{～木：形容反应迟钝}□{～～：儿语称呼鸡蛋}［3］解哽{～倒：噎住}［5］介界芥戒隔革解{～匠：以锯木料为职业的人}																									
kʰ	［1］坑{小溪流}［3］卡{鱼刺卡住喉咙}［5］客																									
ŋ	［1］挨{～到：挨着}樱{～桃}［2］矮［5］外{～后日：大后天}轭{牛～}［6］艾外{～公}硬																									
x	［1］□{～ɕi˥ ɚ˨˩ ma˥：粗心大意，稀里马虎}［2］行{～时：走运}孩{屎～片：褯子}桁{～条：檩}［5］吓［6］解{姓}幸{～运}																									
#ia																										
n	［1］央秧［2］娘{～老子：父母}瓤羊洋烊{～雪：雪融化}扬杨阳［3］痒养仰{撑～船儿：仰泳}［6］让																									
tɕ	［1］斋{吃～}张装章樟獐疆姜争踭{后～：鞋后跟}□{恰～儿：刚才}［3］长掌□{～mau˥ 儿：蝗虫}［5］债□{脾气犟}仗帐账胀{～到：吃撑}斫着{～衣裳：穿衣裳}脚摘责炙{～火：烤火}矺{鬼～倒：梦魇；～岁钱：压岁钱}																									
tɕʰ	［1］差{当～}昌菖{～蒲}撑腔{南～北调}［2］长肠场{一～雨；教～：地名}强橙{～儿：橙子}［3］厂□{～水：踩水，一种游泳姿势}［5］唱坼{裂缝}策册{点名～}撐{～碓：睡觉时平躺着把脚弓起来顶起被子}［6］丈杖着{睏～：睡着；～气：生气}泽																									
ɕ	［1］筛{米～}商伤香乡生牲甥丧{送～}［2］豺{～狗}柴常尝裳{衣～}［3］赏响享省［5］晒向䅴{禾～儿：稻穗；《集韵》陌韵色窄切：“禾穗”}［6］上																									
∅	［5］约{大～儿}［6］弱{loŋ˨˩˧～：小孩身体虚弱}药																									
#ua																										
ʂ	［6］□{～人：外人}																									
k	［1］乖［2］□{～软：形容人精神不好，疲软；～浑：形容（水）很浑}［3］拐{～子：瘸子}［5］怪刮{～风}																									
kʰ	［5］块快筷会{～计}																									
x	［1］□{～～儿响：动物跑动带动身边植物发出的声音}［2］槐衡{平～}［6］坏={好～}画{动词}划{笔～}																									
∅	［1］歪［2］怀横{一～}［6］外{～甥}坏{～了}																									
#o																										
p	［1］波菠玻{～璃}巴{～结}芭{～蕉}疤班扳{～笋儿：掰小竹笋；猫儿～ti⁰ 甑——害得狗一肚饱}斑{竹节～：银环蛇}□{～设法儿：捣鬼，搞小动作}［3］把板［5］笆{篱～}霸壩{塘～：池塘的堤}扮绊八□{～子：口吃的人}																									
pʰ	［2］婆爬扒{耳屎～儿}钯{铁～}［5］破怕［6］耙稗{～草}办拔																									
m	［1］摸［2］馍{～～：馒头}磨{动词}麻蛮母?{狗～：母狗}［3］马码{～头}蚂{～蚁儿}［6］骂慢{茉～莉花}																									
f	［1］翻［2］帆烦樊［3］反［5］法{变～：变魔术}贩发［6］范犯饭罚																									
t	［1］多耽单丹□{被，给，把}［3］朵躲胆［5］剁担{挑～儿}答搭□{跌}旦{花～}																									
tʰ	［1］拖贪滩摊［2］驼{～背佬儿：驼子}驮{～脉：把脉；～骂：挨骂；～起来：拿起来}谭谈弹{～棉花}檀{～木}佗{华～庙}砣{秤～}［3］毯坦{～儿：两山之间的平地}［5］炭踏塔遢{邋～：肮脏}荙{～菜：莙荙菜}［6］杳{一～纸}淡坦{～儿：房子门前的平地}弹{～子儿：小孩玩的玻璃球}□{～被：床单}																									
n	［2］南蓝篮难兰拦栏［3］懒［6］难烂糯																									
l	［2］罗锣箩螺{～蛳儿}□{～楂儿：野生山楂}［5］邋{～遢：肮脏}［6］蜡腊捺辣瘌{～痢子：瘌痢头}																									
ts	［3］左［5］做{～电影儿：放电影；～戏：演戏}																									
tsʰ	［1］搓参{～加}餐［2］残［5］锉莝{一～：一截儿}错擦［6］坐座杂昨{～日}																									
s	［1］蓑{～衣}梭三［2］□{人品次}［3］锁散伞{戴～：打伞}［5］散撒{～肥}																									
ʈʂ	［1］渣{猪油～}□{～额：前额空出；～毛儿：刘海儿}□{～螺蛳儿：用手指关节敲栗暴}［3］斩盏{灯～}□{～痒：挠痒}［5］榨{油～：油坊}诈炸{～弹}扎铡{～刀：药铺切中药用的器具}［6］煠{～油条}□{帽～儿：帽檐}□{鸡～米：鸡啄米}□{磨砻～：推动大型石磨的工具}□{洋～：洋镐}																									
ʈʂʰ	［1］叉{～士儿：上士，象棋术语}差搀{雨～雪：雨夹雪}［2］茶涎?{口～：睡沫}搽查［3］铲{洋～}［5］岔{分～路}插察□{水～：水獭}［6］□{～tʰo˧ 碗：一种碗，比当地蓝边碗略小}																									
ʂ	［1］沙纱鳃{鱼～}杉衫{～袖：衣袖}山痧{钳～：用手指关节掐捏脊背，治疗中暑}［2］涎?{流～：流涎}［3］产{做～妇：坐月子}［5］杀煞{退～：请木匠等驱邪}［6］□{汆}□{～饭：用剩饭煮的稀饭}																									
k	［1］家加嘉瓜间艰奸{偷～：做事偷懒}关枷{日头驮～：日晕}［2］□{～～：跟小孩儿说话时称呼果品点心等}［3］果裹{～粽儿：包粽子}馃{～子：点心}假{真～；放～}寡减简拣［5］过{传染，～麻儿：得了麻疹}架驾价嫁挂卦{占～}䀹{～眼：眨眼}夹甲挟{～菜}□{毛毛～儿：婴儿}□{～骚气儿：狐臭}																									
kʰ	［1］棵科窠{鸡～；猪～；鸟～}抲{用手捕捉}□{清～：（头脑）清楚}［2］□{跨}［3］舰{军～}㦿{～儿：窗户}［5］课恰{～定：刚好；刚刚}□{～秧虱儿：拔秧田的稗草}□{～窠：猪叼草整理自己的窝口}□{用指甲掐；节俭}［6］嵌{～牙齿：镶牙；～肚儿：孕穗；～锅：灶上换新锅}虾{～蟆：青蛙}																									
ŋ	［1］丫{～头：丫鬟}弯湾豌{～豆}□{pau˨˩˧～儿：台阶}［2］牙衙颜还{～愿}环{耳～儿}完{～工}伢{私～儿：私生子}□{胁～下：胳肢窝}［3］雅哑{～巴子}瓦眼晚{～辈}鲩{青～：青鱼}［5］亚{～洲}压押晏{迟}□{量词，块，瓣：一～橘子；一～大蒜子儿}［6］雁万																									
x	［1］虾花［2］和霞华划{～水}咸闲{有～：有空}还{～有}［3］火伙□{把粮食放在簸箕里上下簸动去糠皮的动作}［5］货化瞎□{狗～：狗吠}［6］祸下夏厦狭窄馅{～儿}苋画{名词}																									
∅	［3］我［2］□{语气词，表示出乎意料}																									
#uo																										
∅	［1］阿{～胶}锅屙{～血：得痔疮}莴{～苣}［2］禾［5］穵{～笋儿：挖大竹笋}［6］话{～事}袜{水～：袜子}																									
#e																										
p	［1］杯［5］背{手～}辈贝{宝～}拨钵{一～菜}																									
pʰ	［1］坯{身材}［2］陪赔培{茶～：地名}裴{姓}［3］□{在乱七八糟的杂物中寻找}［5］配［6］倍背{～书}垡{～头脑儿：耕翻的土块}																									
m	［2］梅枚{一～针；一～角：一个铜钱}煤媒霉{发～}［6］妹末{老～：排行最小}																									
f	［1］灰［2］回茴［3］悔［6］汇会={开～}																									
t	［1］堆［3］□{～下来：趸下来，包圆儿}［5］对碓队掇																									
tʰ	［1］胎推［2］台［3］腿［5］退蜕{～皮}脱褪{～色}［6］贷代袋夺																									
l	［2］来雷［3］□{妇人家～一～，抵不到男人一条腿：形容女人做事，再怎么努力也赶不上男人}［6］内累捋垃{～圾儿：垃圾}																									
ts	［1］□{猪脚～儿：猪蹄靠前有脚指甲的部分}［3］最［5］再撮{一～}																									
tsʰ	［1］猜催崔［2］才材财裁［3］彩［5］菜蔡撮{～箕：盛粮食的簸箕}［6］在罪□{一～雨：一阵雨}																									
s	［1］□{悄悄地塞（进去）}［5］碎																									
x	［2］河何{～个：哪个}荷［3］海［6］贺亥害{顽皮}合{～伙}盒																									
#ie																										
p	［5］鳖{女阴；辣毒～儿：一种毒蛇}																									
