聲	呼	等	韻	調	組	攝	單字	多音	罕度	檢	原註	聲母	韻母	聲調	次 聲母	次 韻母	次 聲調	新註	分韻(1782)	英華(1856)	分部(1914)	道漢(1939)	穗書	穗習				
澄	開	三	東	入	知	通	筑	0	0	0		ts	ʊk	5					zhuk1	zhuk3	zuk1	zuk1	zuk1					
初	開	三	東	入	莊	通	矗	0	1	0		tsʰ	ʊk	5					chuk1	chuk1	cuk1	zuk1	cuk1					
生	開	三	東	入	莊	通	縮	0	0	0		s	ʊk	5					shuk1	shuk1	suk1	suk1	suk1					
常	開	三	東	入	章	通	淑	0	1	0		s	ʊk	3					shuk6	shuk6	suk6	suk6	suk6					
常	開	三	東	入	章	通	熟	0	0	0		s	ʊk	3					shuk6	shuk6	suk6	suk6	suk6					
常	開	三	東	入	章	通	塾	0	2	0		s	ʊk	3					shuk6	shuk6	suk6	suk6	suk6					
常	開	三	東	入	章	通	孰	0	2	0		s	ʊk	3					shuk6	shuk6	suk6	suk6	suk6					
書	開	三	東	入	章	通	倏	0	2	0		s	ʊk	5					-	shuk1	-	suk1	suk1					
書	開	三	東	入	章	通	叔	0	0	0		s	ʊk	5					shuk1	shuk1	suk1	suk1	suk1					
日	開	三	東	入	日	通	肉	0	0	0		j	ʊk	3					njuk6	juk6	juk6	juk6	juk6					
見	開	一	東	入	見	通	穀	0	0	0		k	ʊk	5					guk1	guk1	guk1	guk1	guk1					
見	開	一	東	入	見	通	谷	1	0	0		k	ʊk	5				山谷	guk1	-	guk1	guk1	guk1					
以	開	三	鍾	入	以	通	谷	1	0	0		j	ʊk	3				吐谷渾					juk6					
來	開	一	東	入	來	通	谷	1	0	0													luk6					
見	開	三	東	入	見	通	掬	0	2	0		kʰ	ʊk	5					guk1	guk1	guk1	guk1	guk1					
見	開	三	東	入	見	通	鞠	0	0	0		kʰ	ʊk	5					guk1	guk1	guk1	guk1	guk1					
見	開	三	東	入	見	通	菊	0	0	0		kʰ	ʊk	5					guk1	guk1	guk1	guk1	guk1					
溪	開	一	東	入	見	通	哭	0	0	0		h	ʊk	5					huk1	huk1	huk1	huk1	huk1					
溪	開	三	東	入	見	通	麴	0	0	0		kʰ	ʊk	5					-	guk1	-	guk1	guk1	kuk1				
曉	開	三	東	入	影	通	蓄	0	0	0		tsʰ	ʊk	5					chuk1	chuk1	cuk1	cuk1	cuk1					
匣	開	一	東	入	影	通	斛	0	2	0		h	ʊk	3					huk6	huk6	huk6	fuk6	huk6					
影	開	一	東	入	影	通	屋	0	0	0			ʊk	5					uk1	uk1	uk1	nguk1	uk1					
影	開	三	東	入	影	通	郁	0	1	0		j	ʊk	5					juk1	juk1	juk1	juk1	juk1					
以	開	三	東	入	以	通	粥	0	0	0		ts	ʊk	5					zhuk1	zhuk1	zuk1	zuk1	zuk1					
以	開	三	東	入	以	通	鬻	0	2	0		j	ʊk	3					juk6	juk6	zuk1	zuk1	juk6					
以	開	三	東	入	以	通	育	0	0	0		j	ʊk	3					juk6	juk6	juk6	juk6	juk6					
以	開	三	東	入	以	通	昱	0	3	0		j	ʊk	5					juk1	juk1	juk1	juk1	juk1					
幫	開	一	東	入	幫	通	蹼	0	2	0		p	ʊk	3					-	buk6	-	pok3	buk6					
幫	開	一	東	入	幫	通	卜	0	0	0		p	ʊk	5					buk1	buk1	buk1	buk1	buk1					
幫	合	三	東	入	幫	通	腹	0	0	0		h	ʊk	5					fuk1	fuk1	fuk1	fuk1	fuk1					
幫	合	三	東	入	幫	通	蝠	0	1	0		h	ʊk	5					fuk1	fuk1	fuk1	fuk1	fuk1					
幫	合	三	東	入	幫	通	福	0	0	0		h	ʊk	5					fuk1	fuk1	fuk1	bik1	fuk1					
幫	合	三	東	入	幫	通	幅	0	0	0		h	ʊk	5					fuk1	fuk1	fuk1	fuk1	fuk1					
並	開	一	東	入	幫	通	僕	0	0	0		p	ʊk	3					buk6	buk6	buk6	buk6	buk6					
並	合	三	東	入	幫	通	服	0	0	0		h	ʊk	3					fuk6	fuk6	fuk6	fuk6	fuk6					
並	合	三	東	入	幫	通	匐	0	2	0		h	ʊk	3					baak6	-	baak6	baak6	uk6					
並	合	三	東	入	幫	通	馥	0	2	0		h	ʊk	5					fuk1	fuk1	fuk1	fuk1	fuk1					
明	開	一	東	入	幫	通	木	0	0	0		m	ʊk	3					muk6	muk6	muk6	muk6	muk6					
明	開	一	東	入	幫	通	沐	0	1	0		m	ʊk	3					muk6	muk6	muk6	muk6	muk6					
明	合	三	東	入	幫	通	睦	0	1	0		m	ʊk	3					muk6	-	muk6	muk6	muk6					
明	合	三	東	入	幫	通	穆	0	1	0		m	ʊk	3					muk6	muk6	muk6	muk6	muk6					
明	合	三	東	入	幫	通	目	0	0	0		m	ʊk	3					muk6	muk6	muk6	muk6	muk6					
明	合	三	東	入	幫	通	牧	0	0	0		m	ʊk	3					muk6	muk6	muk6	muk6	muk6					
滂	開	一	東	入	幫	通	撲	0	0	0		pʰ	ɔk	3					pok1	pok3	pok3	pok3	pok3					
端	合	一	冬	平	端	通	冬	0	0	0		t	ʊŋ	55					dung1	dung1	dung1	dung1	dung1					
定	合	一	冬	平	端	通	疼	1	0	0		tʰ	ɐŋ	51					tang4	tang4		tung4	tang4					
定	合	一	冬	平	端	通	疼	1	0	0											tung3	tung3	tung4	tang4				
定	合	一	冬	平	端	通	彤	0	1	0		tʰ	ʊŋ	51					tung4	tung4	tung4	-	tung4					
定	合	一	冬	平	端	通	鼕	0	0	0		tʰ	ʊŋ	51					tung4	tung4	dung1	dung1	tung4					
泥	合	一	冬	平	端	通	農	0	0	0		n	ʊŋ	51					nung4	nung4	nung4	nung4	nung4					
泥	合	一	冬	平	端	通	膿	0	1	0		n	ʊŋ	51					nung4	nung4	nung4	nung4	nung4					
精	合	一	冬	平	精	通	宗	0	0	0		ts	ʊŋ	55					zung1	zung1	zung1	zung1	zung1					
