來源		黃磊.邵東湘語語音研究[D].長沙:湖南師範大學,2005							
轉錄者		DaiDzao							
地點		湖南省-邵陽市-邵東市(縣城)							
分片		湘語-婁邵片B-武邵小片							
									
拼音	IPA	調號	單字		1阴平55	2阳平12	3上声32	5阴去35	6阳去24
	ɣəɯ	6	厚后候						
	tiəɯ	1	丢						
	tʰiəɯ	1	~[跟：莫~倒我]						
	liəɯ	1	溜榴馏流[二~子：流氓]						
	liəɯ	2	留流刘瘤浏琉硫						
	liəɯ	3	柳						
	liəɯ	5	六陆						
	ʨiəɯ	1	纠咎炙究						
	ʨiəɯ	3	酒九久韭						
	ʨiəɯ	5	救柩						
	ʨʰiəɯ	1	秋丘						
	ʥiəɯ	2	求囚泅球						
	ʥiəɯ	6	就舅臼旧						
	ȵiəɯ	2	牛						
	ȵiəɯ	3	扭纽						
	ɕiəɯ	1	休修羞粟[~米：小米]						
	ɕiəɯ	3	朽						
	ɕiəɯ	5	秀袖绣锈						
	iəɯ	1	优忧幽悠						
	iəɯ	2	尤犹由邮游油鱿[~鱼]						
	iəɯ	3	有友酉莠						
	iəɯ	5	幼佑柚诱又右釉						
	pən	1	奔崩						
	pən	3	本笨						
	pʰən	1	喷[~水]烹						
	bən	2	盆彭膨						
	bən	6	凭[倚：靠着]						
	mən	2	门明-						
	mən	5	闷						
	fən	1	分芬昏婚荤浑						
	fən	3	粉纷						
	fən	5	愤粪奋忿喷						
	vən	2	魂馄焚坟文纹蚊闻						
	vən	6	混份问						
	tən	1	登灯瞪墩敦钝针-珍-真-蒸-徵-贞-侦-征-正-[~月]						
	tən	3	等枕-诊-疹-整-						
	tən	5	镇-振-震-证-症-政-正-[~确]顿-凳镫						
	tʰən	1	吞称-[~呼]						
	tʰən	3	磴[~子：楼梯]						
	tʰən	6	趁-称-[相~]秤-						
	dən	2	藤誊腾滕屯豚陈-尘-澄-橙-乘-承-丞-盛-[~饭]成-城-诚-沉-						
	dən	6	囤盾-钝邓郑-阵-						
	nən	2	轮-仑-伦-能						
	nən	3	冷						
	nən	5	论-嫩						
	ʦən	1	尊-遵-增曾臻针=珍=真=蒸=争=筝=睁徵=征=贞=侦=正=						
	ʦən	3	枕=诊=疹=整=拯						
	ʦən	5	镇=振=震=证=症=政=正=挣赠俊-峻-竣-						
	ʦʰən	1	村-称=						
	ʦʰən	3	惩逞						
	ʦʰən	6	寸衬蹭撑趁=称=秤=						
	ʣən	2	存-层沉=辰晨臣曾呈程陈=尘=澄=橙=乘=丞=盛=成=城=诚=旬-荀-巡-循-唇						
	ʣən	6	赠憎阵=						
	sən	1	森参[人~]深身伸申孙僧升甥牲						
	sən	3	婶沈审省损-笋-						
	sən	5	渗肾胜圣逊-						
	zən	2	神人仁						
	zən	6	甚甚刃认韧剩慎盛兴盛任壬纫扔仍						
	kən	1	跟根耕庚羹更[~正]						
	kən	3	梗硬耿						
	kən	5	更[~加]						
	kʰən	1	坑						
	kʰən	3	肯恳垦啃						
	ŋən	1	恩						
	ŋən	5	硬-						
	xən	1	享						
	xən	3	很狠						
	ɣən	2	行[~路]痕横=[~直]衡恒						
	ɣən	1	恨杏						
	pin	1	彬缤宾殡鬓冰槟斌兵						
	pin	3	秉柄饼丙						
	pin	5	迸						
	pʰin	1	乒拼娇						
	pʰin	3	品						
	pʰin	6	聘						
	bin	2	贫频凭平瓶坪苹屏评						
	bin	6	病并						
	min	2	名明=名鸣铭瞑盟-						
	min	5	命						
	tin	1	丁盯钉[~子]砧-[~板]						
	tin	3	鼎顶						
	tin	5	订定=钉[~书]						
	tʰin	1	厅						
	tʰin	3	挺艇						
	tʰin	6	听						
	din	2	停亭庭婷蜓廷						
	din	6	定-锭						
	nin	1	~[非常亮:~光~光的]梁[高~:高粱]						
	nin	2	龄零灵伶凌铃陵玲羚林临淋磷邻鳞						
	nin	3	领岭擦						
	nin	5	令另						
	ʨin	1	今金斤津巾筋经京精惊晶茎睛鲸=荆禁[~不住]襟径						
	ʨin	3	紧谨仅锦警井景颈=						
	ʨin	5	进劲浸晋境竟竞镜敬禁[~止]						
	ʨʰin	1	亲钦青轻卿蜻清倾=						
	ʨʰin	3	请掀[按:压]顷=						
	ʨʰin	6	庆亲[~家]秤寝沁侵浸[~水]						
	ʥin	2	寻琴擒禽秦鲸-勤芹情晴						
	ʥin	6	近尽净静靖						
	ȵin	2	吟						
	ȵin	5	赁						
	ɕin	1	新心辛欣薪芯锌兴[~起]星腥馨猩						
	ɕin	3	醒						
