#注释	瑞安话语音研究，落橙抄
#调值	[1]55[2]31[3]35[4]214[5]53[6]22[7]434[8]323
#ɿ	
m	[2]磨瞒馒模{~子}[4]满[6]幔漫[8]抹{~布}末沫抹没{沉~}
t	[1]端墩[3]短[5]锻断{决~}[7]答
tʰ	[1]贪吞[3]□{形容烟雾很重，呛人}[5]探
d	[2]团臀饨=[4]断{~种}[6]段缎遁[8]夺=
n	[4]暖[6]嫩
l	[2]论{~语}[6]乱论{议~}[8]粒
ts	[1]钻{动词}尊[5]钻{木工用具}[7]□{形容伤口碰到盐时的感觉}
tsʰ	[1]参村[3]惨[5]寸
dz	[2]□{形容因脚下不稳把自己摔岀去}[6]□{形容一个瓶子的盖}
s	[1]酸闩拴孙[3]损[5]算蒜[7]刷
z	[2]存
k	[1]甘柑肝干{~湿}竿官棺观冠根[3]秆{稻~}管馆[5]干贯灌罐观{寺庙}冠{~军}[7]割葛骨{~头}
kʰ	[1]看{~守}刊[3]坎款[5]看{~见}[7]渴
h	[1]憨鼾[3]罕[5]汉[7]喝=
ɦ	[2]含寒韩痕[4]旱[6]岸汗焊翰[8]核-
∅	[1]安鞍恩[5]按案蔼
#ɔ	
p	[1]包胞班斑颁扳[3]饱板版[5]豹扮绊-
pʰ	[1]抛泡攀[3]跑=[5]炮泡{泡在水里}盼
b	[2]刨[4]鲍棒[6]办瓣[8]拔雹
m	[2]茅猫矛蛮[4]卯晚[6]骂=貌慢万[8]袜
f	[1]翻番方肪芳妨[3]反仿纺[5]泛放访[7]法发
v	[2]凡帆藩烦矶繁还房防亡忘妄患[4]范犯[6]饭望[8]乏
t	[1]耽担{~任}丹单{~独}[3]胆掸{鸡毛揮子}诞[5]担{挑~}旦[7]搭
tʰ	[1]饱坍摊[3]毯坦[5]炭叹[7]塔塌溻{汗溻滥爻}
d	[2]谈痰弹{~琴}[4]淡[6]但弹{子~}蛋[8]达
n	[2]拿难{~易}[4]哪[6]那闹难{患~}[8]捺
l	[1]拉
l	[2]蓝篮兰拦栏[4]览榄懒[6]滥缆烂[8]蜡腊辣拉
ts	[1]抓[3]爪斩盏[5]罩笊蘸赞[7]窄
tsʰ	[1]抄钞餐[3]炒吵铲[5]灿[7]插擦察
dz	[6]赚暂站{车~}栈
s	[1]三杉衫珊山删[3]伞散产[5]散{分~}[7]萨杀
z	[2]惭馋残[6]囋[8]闸{遮挡}铡煠甴{曱~：蟑螂}
k	[1]交郊膠教{~书}监{~ 视}艰间{空~}奸甴曱{~甴：蟑螂}[3]饺狡绞橄简拣[5]教{~育}校{~对}较酵窖监{国子~}间{~断}[7]峡夹被甲胛挟{~菜}
kʰ	[1]敲嵌[3]巧舰[5]嵌丐{给}[7]恰丐{给}
ɡ	[2]衔[6]夹{形容牙缝里塞了菜末}[8]夹{形容拥挤}
h	[1]譀{胃胀气}[3]喊慌[5]孝[7]呷瞎譀{说谎、说大话}
ɦ	[2]咸闲嫌黄{黄昏}[4]限[6]效馅陷还{~未}二{文读，用於一二一这种训练用语}[8]狭匣{盒}辖
ŋ	[2]涯崖岩颜昂[4]咬眼[6]雁[8]鹤
∅	[7]鸭押压
#iɔ	
tɕ	[7]着{~衣}酌脚
tɕʰ	[1]超[7]怯鹊{喜~}雀{麻~}却
dʑ	[8]着{睡~}
ȵ	[2]尧[4]鸟[8]捏虐疟
ɕ	[1]稍宵霄萧箫[3]晓[7]屑削
∅	[1]丫{~头}[7]约
j	[8]嚼若弱钥药跃
#uɔ	
t	[1]刁貂雕[5]钓吊
tʰ	[1]挑[3]□{形容挑选某物}[5]跳[7]贴帖
d	[2]条调{~和}[4]调[6]调{音~}[8]叠碟牒蝶
l	[2]燎聊辽撩{~起来}寥[4]燎{火~眉毛}了{~结}[6]疗料廖[8]猎捋掠略
k	[1]关[5]惯[7]扩{包~}聒刮
kʰ	[1]宽[7]阔
ɡ	[4]□{形容背上背着一个人}[6] □{形容拿一条状物打人}
ɦ	[2]凡帆顽还{~有}烦繁房防亡[4]范犯[6]换患饭万忘妄望[8]活猾滑伐罚
∅	[1]弯湾[3]挽[7]挖
#o	
p	[1]玻巴芭疤帮[3]把{~握}榜绑[5]霸壩[7]八博剥驳
pʰ	[5]怕
b	[2]爬琶杷旁螃[4]罢[6]耙
m	[2]馍忙芒摹麻[4]马码网[8]摸
t	[1]当{~时}[3]党[5]当{~作}
tʰ	[1]汤[3]躺[5]烫趟
d	[2]堂棠螳唐糖塘[4]荡[6]瞊{瞙瞊}[8]□{形容撕破一张纸等}
n	[2]囊[8]诺
l	[2]龙郎廊狼螂[4]朗[6]浪赂[8]绿录乐洛骆烙落乐
ts	[1]渣装庄[3]□{形容拿走一个东西}[5]榨炸诈葬壮[7]作{工~}
tsʰ	[1]叉杈车{马~}仓疮匡[3]闯[5]岔创[7]错
dz	[2]茶搽查{调~}
s	[1]蓑沙纱桑[3]嗓爽所[5]丧[7]索
z	[2]藏{隐~}[4]坐[6]座脏藏{西~}[8]昨
k	[1]瓜家加嘉佳岗刚缸钢光江扛[3]讲港{~口}广柬寡假{真~}贾觉[5]假架驾嫁稼价挂卦钢降[7]各阁郭觉{知~}角
kʰ	[1]康糠[3]可矿慷[5]抗炕囥旷[7]扩{~充}确壳
ɡ	[2]□{形容把东西靠在墙上}[4]□{形容有空闲时间}
h	[1]虾荒慌[3]谎=[7]霍
ɦ	[2] 霞华划{~船}杭航行{银~}黄皇蝗簧[4]下夏{姓}厦{~门}项[6]夏{春~}画话旺巷[8]镬学
ŋ	[2]牙芽衙[4]瓦雅[6]□{席子上有东西，睡不舒服}[8]岳
∅	[1]鸦蛙□{表示脏}[3]哑[5]亚恶
#yo	
tɕ	[1]钟恭供{~给}[3]种{~类}肿拱[5]种{~树}[7]桌卓捉足烛嘱
tɕʰ	[1]窗筐[3]恐[5]□{形容用大量的水泼地}[7]触曲戳{表示很刺}戳
dʑ	[2]重{~复}狂[4]重{轻~}[6]共状撞[8]局镯浊
ȵ	[2]浓[8]玉狱
ɕ	[1]胸凶{~恶}霜双[5]况[7]粟束属缩□
∅	[5]壅
j	[2]床王[4]勇湧往枉[6]诵用[8]赎欲浴俗续
#ʉ	
p	[1]□{把碗里的饭拨到嘴里}波{宁~}[3]补谱[5]怖布{~置}
pʰ	[1]铺{~设}[3]谱甫[5]铺{店~}破
b	[2]婆[4]□{古时候，用来扫米盛米的}[6]步埠
f	[1]夫麸[3]府腑[5]富副付附傅
v	[2]为遗维惟违围余符于愉榆巫芙[4]委唯伟苇妇与父腐雨宇羽禹[6]纬卫慧惠伪为芋位胃谓慰誉预豫务喻裕雾[8]疫役复{恢~}
ɕ	[1]挥辉虚[3]毁许
∅	[1]威萎[5]畏
#ai	
p	[1]杯碑卑悲[5]贝背辈
pʰ	[5]配
b	[2]赔培陪[4]倍[6]佩{~服}背{~诵}焙{~干}
f	[3]悔贿
v	[2] 回茴[6]会{~不~}
t	[1]堆[5]对
tʰ	[1]推[3]腿[5]退
d	[6]队兑
n	[6]内
l	[2]脶{手指纹路}雷[4]□{形容抚摸一个被打的人}[6]泪
ts	[5]醉
tsʰ	[1]催[5]翠
s	[3]小-[5]碎
z	[4]罪[6]锐睡
k	[1]归[5]个会{~计}桧
kʰ	[1]盔魁恢亏[5]块
ŋ	[6]饿魏
ʔʋ	[1]煨
#ei	
p	[1]□{形容一个人的生殖器官}[3]彼比秕[5]蔽闭臂痹[7]壁憋毕必逼碧璧
pʰ	[1]批披[3]□{形容就此作罢，不再追究}[5]譬屁[7]劈辟
b	[2]皮疲脾琵枇[4]被婢[6]币弊避备鼻[8]□{形容小孩子互相追赶}
m	[2]迷眉[4]米美尾[6]媚未味
f	[1]非飞妃[3]匪[5]废肺费
v	[2]肥微
t	[1]爹低[3]抵底[5]帝{上~}[7]的{目~}滴答
tʰ	[1]台{~州}胎梯[3]体[5]剃替屉涕[7]踢剔
d	[2]抬苔台题提蹄[4]弟[6]帝{皇~}第递地[8]笛敌狄
n	[2]南男[8]纳
l	[2]来黎犁离{~别}璃梨狸[4]礼累{~积}李里理鲤[6]丽隶励厉离{~开半寸}荔利痢[8]历力
ts	[1]遮支枝肢猪[3]姐{小~}纸姊煮[5]借蔗济祭际制[7]绩浙鲫侧织职迹绩只
tsʰ	[1]妻[3]且鼠[5]厕尺[7]戚测尺赤
dz	[2]池[6]箸[8]直值植殖
s	[1]些赊鳃西熙[3]写洗玺[5]泻舍赦赛细婿世势[7]锡析泄薛设悉媳熄息识饰式惜
z	[2]邪斜蛇齐脐匙徐[4]社芥[6]席谢射誓逝薯[8]蛰{惊~}食蚀籍席射石
#au	
t	[1]兜[3]斗抖[5]斗{~争}
tʰ	[1]偷[5]透
d	[2]投[6]□{形容羊毛衫的头}
l	[1]挖
l	[2]楼[4]篓[6]漏陋
ts	[1]□{形容一个人很烦躁}[3]走[5]奏皱
tsʰ	[5]凑
dz	[6]宙
s	[1]搜[5]嗽瘦=
z	[2]愁
k	[1]勾钩沟[3]狗苟[5]购够构
kʰ	[1]抠[3]口[5]扣寇
ɡ	[2]□{去除难消痕迹的办法}[4]厚
h	[3]吼
ɦ	[2]喉猴[4]后{皇~}[6]候
ŋ	[2]牛[4]藕偶
∅	[1]欧瓯[5]呕殴
#iau	
tɕ	[1]鸠阉纠{~缠}[3]九久韭纠{~正}[5]灸{针~}救
tɕʰ	[3]□{表示娶媳妇}
dʑ	[2]求球[4]舅臼[6]旧
ȵ	[4]纽扭
ɕ	[1]休[3]朽[5]□{形容打人的动作，特狠}
∅	[1]忧优幽[5]幼
j	[2]尤邮犹悠由游油[4]有友酉诱[6]又右佑
#əu	
t	[1]多[5]剁[7]笃督
tʰ	[1]拖[3]妥[7]秃
d	[2]头驼[4]舵惰[6]大豆[8]毒独读犊
n	[2]奴[4]努[6]怒[8]□{形容一个小孩没断奶，嘴巴一直在动}
l	[2]螺骡啰流刘留榴硫罗锣箩[4]鲁虏[6]溜[8]六陆鹿禄
ts	[1]周洲州舟[3]左酒帚组阻[5]昼咒做[7]竹筑祝粥
tsʰ	[1]秋{~天}抽初[3]丑楚[5]臭[7]促畜
dz	[2]囚绸稠筹仇酬柔售[4]纣[8]褥轴逐啄
s	[1]嗦梭靴修羞收 [3]锁手首守[5]秀绣锈兽数{名词}[7]蓄{储~}叔速肃宿缩
z	[2]锄[4]受[6]就袖寿授[8]族熟{~悉}淑辱褥
#iəu	
tɕ	[7]菊
ȵ	[8]肉
∅	[7]育
#əʉ	
t	[1]都{~是}[3]堵赌肚{猪~}[5]妒
tʰ	[3]土吐{~痰}[5]吐{呕~}
d	[2]图涂徒途[4]肚{腹~}杜[6]度渡镀
l	[2]炉芦庐驴[4]裸橹卤旅吕缕[6]类路露滤虑
ts	[1]追租株蛛朱珠[3]嘴祖主[5]著驻注蛀
tsʰ	[1]吹炊粗[3]处{相~}取娶[5]醋处{~所}趣
dz	[2]垂锤除储厨[4]柱[6]穗住
s	[1]虽苏酥蔬书舒须须{胡~}需输[3]水暑数{动词}[5]岁税素诉塑恕输
z	[2]随谁如儒殊[4]序叙绪竖聚乳[6]瑞树
#aŋ	
p	[1]奔[3]本
pʰ	[1]喷{~水}[5]喷{~香}
b	[2]□{形容灰尘很重}[4]笨[6]□{形容一个人很笨}
m	[1]闷
m	[2]门蚊[6]闷问
f	[1]分{~开}芬[3]粉[5]粪奋
v	[2]馄浑焚坟[4]混{~沌}愤刎[6]份{一~}
t	[1]蹲灯登[3]等[5]顿凳
tʰ	[1]□{形容牺牲自己的份，给他人多点}[3]□{形容睡姿不好踢到人}[5]□{有东西从水下浮上来}
d	[2]饨-腾藤疼[4]断{~绝}盾{矛~}[6]澄{~一~}遁
n	[2]能[4]暖[6]□{形容一个人的性别是女的}
l	[1]轮{圆滚滚}
l	[2]轮[4]卵
ts	[1]簪针津珍真增曾{姓}征{~求}[3]枕诊疹[5]浸进晋镇振震
tsʰ	[1]侵亲[3]寝[5]趁衬
dz	[2]沉陈尘[6]阵
s	[1]心森参{人~}深辛新薪身申伸僧[3]沈审[5]渗信讯迅
z	[2]寻秦神臣晨辰人仁层[4]甚尽肾[6]任{责~}慎赠
k	[1]跟昆[3]滚耿[5]□{形容骂人的动作}
kʰ	[1]坤[3]恳垦綑肯[5]困
ɡ	[6]□{形容要下暴雨前的天气情况}
h	[3]很
ɦ	[2]恒[6]恨
#iaŋ	
tɕ	[1]经巾今金襟斤筋均君军茎京荆惊[3]锦紧谨境景警颈[5]径禁{~止}劲敬竟镜
tɕʰ	[1]钦轻{年~}[5]庆
dʑ	[2]琴禽擒吟勤芹群裙鲸[4]近[6]妗{舅母}竞
ȵ	[2]宁{安~}银迎[4]忍[6]宁{~可}刃认
ɕ	[1]馨掀欣兴{~旺}[5]训兴{高~}
∅	[1]音阴因姻殷应{~当}鹰蝇莺鹦樱英婴[3]隐影[5]阴{树~}印应{~对}映
j	[2]形型刑淫寅云赢盈[4]饮{~酒}引[6]闰运晕孕
#əŋ	
p	[1]宾冰兵[3]丙秉饼[5]殡鬓柄并{合~}
pʰ	[1]拼{~命}姘拼[3]品[5]聘
b	[2]萍屏贫频凭平坪评[4]并[6]病[8]瓶
m	[2]民鸣明盟名[4]悯敏抿皿[6]命
t	[1]钉{铁~}丁疔[3]顶鼎[5]钉{~住}订
tʰ	[1]听{~话}厅[3]艇挺[5]听{~其自然}
d	[2]亭停庭廷蜓[4]锭[6]定
l	[2]林淋邻鳞陵凌菱零灵[4]领岭[6]令另外
ts	[1]蒸精晶睛侦正{~月}征{~求}[3]拯井整[5]证症正政
tsʰ	[1]青蜻称{~呼}清[3]请[5]称{相~}秤
dz	[2]惩橙呈程[6]剩郑
s	[1]星腥升胜{~任}声[3]醒[5]胜{~败}性姓圣
z	[2]乘绳仍情晴成城诚盛{~满了}[4]靖静[6]净
#ɔŋ	
p	[1]崩[5]迸
pʰ	[1]□{形容一个袋子等东西膨胀开来}[3]捧[5]□{碰到某人或某物}
b	[2]蓬篷朋棚[6]□{形容一个人披头散发}
m	[2]蒙[4]懵[6]梦
f	[1]封蜂锋峰风枫疯丰[5]讽
v	[2]缝{~衣服}逢[4]奉[6]缝{一条~}俸凤
t	[1]冬东[3]懂董[5]冻
tʰ	[1]通[3]捅[5]统痛
d	[2]同童筒铜桐瞳[4]桶动[6]洞
n	[2]农脓[5]糯
l	[2]龙=隆聋笼[6]弄
ts	[1]中{当~}忠终宗遵[3]总准[5]中{射~}众俊
tsʰ	[1]冲充聪葱囱匆春[3]宠蠢[5]串
s	[1]松[5]宋送舜
z	[2]崇绒戎旬循唇纯莼醇巡从[6]殉顺润
k	[1]公蚣工功攻[5]贡
kʰ	[1]空{~虚}[3]孔[5]空{~缺}控
h	[1]烘轰[3]哄{~骗}[5]嗅{用鼻子闻}
ɦ	[2] 冯红洪虹鸿{~毛}宏
∅	[1]瓮
#ioŋ	
tɕ	[1]弓躬宫[3]卷-
dʑ	[2]虫穷琼[4]盾{矛~}菌吮
ɕ	[1]兄[3]□{笋}
∅	[1]雍[3]允永[5]泳詠
j	[2]营莹荣容蓉镕熊雄融
#ŋ	
ŋ	[2]俄鹅儿梧吾吴蜈娱[4]我耳-五午伍[6]饿卧二误悟
