#y							
tɕ	①車｛~馬炮丨主城｝居｛主城｝琚｛主城｝跔｛主城｝駒｛主城｝拘｛主城｝俱｛主城｝具｛主城｝③舉｛主城｝莒｛主城｝矩｛主城｝鬼｛老~丨主城｝蒟｛主城｝櫸｛主城｝苣｛主城｝⑤句｛主城｝巨｛主城｝拒｛主城｝距｛主城｝劇｛主城｝據｛主城｝鋸｛主城｝踞｛主城｝懼｛主城｝颶｛主城｝聚｛主城｝俱｛~樂部丨主城｝						
tɕʰ	①區｛主城｝蛆｛主城｝驅｛主城｝趨｛主城｝疽｛主城｝軀｛主城｝②渠｛主城｝衢｛主城｝瞿｛主城｝③取｛新音丨主城｝娶｛主城｝⑤去｛主城｝趣｛主城｝覷｛主城｝						
ɕ	①噓｛主城｝虚｛主城｝胥｛主城｝須｛主城｝墟｛主城｝蕦｛主城｝需｛主城｝靴｛舊音丨主城｝②徐｛主城｝③許｛主城｝栩｛主城｝詡｛主城｝⑤煦｛主城｝敘｛主城｝酗｛主城｝緒｛主城｝絮｛主城｝序｛主城｝漱｛舊音丨主城｝						
ȵ	②廬｛主城丨~江｝驢｛主城｝③屢｛主城｝女｛主城｝簍｛主城｝吕｛主城｝旅｛主城｝侣｛主城｝鋁｛主城｝縷｛主城｝褸｛主城｝⑤慮｛主城｝濾｛主城｝						
j	①淤｛主城｝迂｛主城｝瘀｛主城｝②臾｛主城｝俞｛主城｝揄｛主城｝輿｛主城｝蜍｛主城｝余｛主城｝娛｛主城｝於｛主城｝魚｛主城｝漁｛主城｝予｛主城｝愚｛主城｝狳｛主城｝虞｛主城｝禺｛主城｝隅｛主城｝于｛主城｝餘｛主城｝盂｛主城｝腴｛主城｝覦｛主城｝瑜｛主城｝萸｛主城｝渝｛主城｝③羽｛主城｝與｛主城｝禹｛主城｝雨｛主城｝宇｛主城｝語｛主城｝庾｛主城｝預｛又音丨主城｝⑤與｛參~丨主城｝愈｛主城｝御｛主城｝馭｛主城｝癒｛主城｝愉｛主城｝喻｛主城｝預｛主城｝嫗｛主城｝玉｛舒化丨主城｝芋｛主城｝寓｛主城｝遇｛主城｝裕｛主城｝豫｛主城｝						
#ʮ							
ts	①車｛~馬炮｝居琚跔駒拘俱具③舉莒矩鬼｛老~｝蒟櫸苣⑤句巨拒距劇據鋸踞懼颶聚俱｛~樂部｝						
tsʰ	①區蛆驅趨疽軀②渠衢瞿③取｛新音｝娶⑤去趣覷						
s	①噓虚胥須墟蕦需靴｛舊音｝②徐③許栩詡⑤煦敘酗緒絮序漱｛舊音｝						
z	①淤迂瘀②臾俞揄輿蜍余娛於魚漁予愚狳虞禺隅于餘盂腴覦瑜萸渝廬｛~江｝驢③屢女簍吕旅侣鋁縷褸羽與禹雨宇語庾預｛又音｝⑤慮濾與｛參~｝愈御馭癒愉喻預嫗玉｛舒化｝芋寓遇裕豫						
#ʅ							
tʂ	①知芝肢之支梔枝脂③指枳咫旨止沚趾址芷⑤治｛~理｝雉峙痔智至致稚痣翅置制製彘識｛標~｝						
tʂʰ	①螭魑黐嗤蚩癡②治｛~魚｝匙豉池篪遲持③齒侈恥始⑤滞啻						
ʂ	①□｛不穩貌｝詩屍尸施②時鰣③屎矢⑤是示式氏舐視市恃嗜試侍｛~衛｝逝誓噬世勢弒						
ʐ	①□｛離行也｝						
#e							
p	①背碑杯卑悲③㗗｛~斷｝比⑤褙｛~褡｝避｛白讀｝閉｛白讀｝被幣背匕｛白讀｝弊貝備狽蔽輩倍臂婢						
pʰ	①㱟｛舊音：~肉｝②陪賠培裴③㱟｛~斷｝⑤配佩沛坯						
m	②梅眉嵋楣霉｛黴俗字｝枚黴｛俗字霉｝煤媒微｛白讀：輕~｝莓䤂玫酶③美每⑤妹未｛白讀｝魅媚昧						
f	①非飛菲啡蜚扉妃霏②肥淝③悱匪翡⑤沸肺費廢吠疿						
t	①堆③抵⑤碓隊對懟兌						
tʰ	②梯｛白讀：~子｝推②頹③腿⑤退蛻剃｛白讀：~頭｝						
l	①㔣｛又音｝②㔣｛~撞｝纍｛~贅｝雷羸儡｛~同｝嫘擂｛動詞｝捼③累｛~計｝磊儡｛傀~｝絫壘誄蕊｛又音｝耒餒蕾⑤累｛疲~｝淚擂｛~檯｝類內						
k	③給｛新音｝						
ts	②賊｛舒化｝③嘴⑤最罪醉蕞						
tsʰ	①催崔摧熣②隨③璀⑤脆翠粹淬瘁						
s	①尿雖睢荽綏②隋③徙｛~走｝簁｛俗字篩｝篩｛白讀：~酒｝使｛白讀｝駛｛白讀｝史｛白讀｝髓釃｛~酒丨或篩｝⑤歲碎遂隧邃穗祟						
tʂʰ	③逞｛有疑｝						
#uɪ							
k	①龜規歸閨圭皈③鬼詭晷宄｛內~｝癸⑤鱖貴桂櫃跪｛新音｝						
kʰ	①虧睽盔蝰奎窺②葵魁傀馗夔逵⑤跪䙡愧聵潰｛新音｝餽						
x	①灰麾揮恢輝豗｛豬食貌｝徽②回蛔茴迴廻詯䛛③虺毀潰｛舊音：~膿｝悔虫｛俗為「蟲」丨非也｝⑤賄匯卉繪惠慧喙晦誨穢會｛~晤｝諱						
tʂ	①追椎錐騅⑤綴贅墜𨒉｛不行貌丨犟也｝惴						
tʂʰ	①吹炊②錘鎚垂陲棰搥						
ʂ	②誰③水⑤稅說｛~服｝瑞睡						
ʐ	③蕊⑤睿叡芮銳						
	①煨威隈②為危微桅唯惟維薇圩峞嵬巍韋闈違圍帷③委尾偉苇緯｛~度｝猥萎⑤外｛又音｝餵畏位慰熨尉魏彙｛刺~｝謂胃緯｛象~｝味偽						
#i							
t	①爹｛呼祖父｝⑤適｛都歷切丨此也丨實無調平上去入皆可｝⑦的						
ȵ	①爾｛中指丨~箇｝③爾｛第二人稱俗字你「儞」｝						
k	①旡｛氣逆也｝						
kʰ	①□｛問物｝						
tɕ	⑤借｛又音｝						
tɕʰ	②斜｛又音｝③且						
ɕ	①些｛又音｝②斜邪③璽閃｛~腰丨脫鼻｝⑤謝洩瀉卸｛新音：~載｝						
j	②邪｛莫~｝爺姨｛阿~｝③也野冶⑤夜液｛又音｝						
ts	③姐｛蜀山區｝⑤借						
tsʰ	②斜｛蜀山區丨又音｝③且｛蜀山區｝						
s	①些｛舊音｝②錢｛白讀：贏~丨或「sĩ」丨東門以東｝斜｛蜀山區｝邪｛蜀山區丨此音從書｝③寫⑤謝｛蜀山區｝洩｛蜀山區｝瀉｛蜀山區｝卸｛蜀山區丨~載｝						
tʂ	①遮蜘③赭⑤柘蔗鷓樜適｛近指丨俗字「這」此也｝這⑤雉						
tʂʰ	①車③撦｛俗字「扯」｝扯｛「撦」俗字｝						
ʂ	①奢畬賒②蛇佘｛姓｝③捨⑤射赦社舍						
ʐ	③惹若｛新音：般~｝						
#yi							
tɕʰ	②茄瘸						
ɕ	①靴						
#a							
p	①巴粑疤芭③把靶｛槍~｝㞎｛俗字丨人穢｝⑤霸壩垻叭罷杷｛田具丨俗寫「䎱」｝爸｛俗字丨今用｝靶｛打~｝						
pʰ	①葩琶芭｛又音｝②爬杷｛農具丨俗寫耙｝琶杷⑤怕						
m	①媽摸｛閉眼~｝蟆②麻痲③螞碼馬瑪⑤罵						
t	①爹｛父親背稱｝③打⑤大						
tʰ	①他它						
l	①拉垃②拏｛俗字「拿」｝③哪⑤那娜䏧落｛灑~｝						
s	③灑						
tʂ	①渣查｛姓｝楂碴挓｛開也｝③鲊｛~肉｝奓｛一~丨手開之長也｝厏｛庌~｝⑤醡榨咤奓｛~開｝乍詐灹｛爆~丨俗寫「炸」｝炸｛「灹」俗字｝占｛又音｝						
tʂʰ	①差｛~錢｝叉杈□｛行難貌｝②茶塗｛又音｝茬查｛檢~｝⑤䟕｛俗字「岔」｝岔｛「䟕」俗字｝衩						
ʂ	①挱｛又音｝挲｛又音｝莎紗沙㸺砂鯊裟痧③傻⑤廈下｛《廬州方言考釋》載丨存疑｝						
k	①□｛~人：欺諞｝③尕｛俗字丨小也｝腉｛肉也丨《集韻》居佳切丨有疑｝⑤尬｛新音｝界｛搭~｝						
kʰ	③卡冚｛覆也丨俗字丨本字不詳｝⑤髂｛跨也｝跨｛訓｝						
x	①颬｛~氣｝𨉣｛躬身也｝呵｛同「㰤」丨氣出也｝②何｛白讀丨問人問物問地之所在｝還｛~有｝③下｛劣也｝何｛又音｝						
ʔ	①阿｛~爺：父也｝腌｛~臜｝②兒而③餌邇耳爾乳｛白讀｝汝｛白讀｝惹｛白讀｝⑤二						
#ia							
tɕ	①家葭加茄｛雪~｝痂｛文讀｝迦佳嘉枷袈③假賈｛姓｝⑤稼嫁架駕價						
tɕʰ	①掐｛舒化｝③□｛陷阱也｝⑤髂｛跨也｝跨｛訓｝						
ɕ	①蝦｛~子｝罅{縫出也丨有疑}②俠｛舒化｝遐瑕霞蝦｛~蟆｝③下｛又音丨~勁｝寫｛~意｝傻｛訓丨瘋~｝⑤夏下卸廈						
j	①氬椏掗鴉丫②琊揶｛~揄｝爺｛王~｝牙孲｛俗字「伢」｝伢衙耶｛~蘇｝崖｛新音｝蚜涯｛新音｝③啞雅⑤砑｛碾~｝亞訝						
#ua							
tʂ	①摣｛俗字「抓」｝抯｛通「摣」｝						
ʂ	③耍｛「傻」分化字丨動詞｝						
k	①瓜蝸③剮寡⑤掛罣卦褂						
kʰ	①誇③侉｛借字丨南人呼北人｝垮骻⑤胯跨						
x	①花②華划｛~船｝樺驊⑤華｛姓｝畫化話						
	①挖｛舒化丨「穵」俗字｝蛙媧｛訛｝穵｛舒化丨俗字「挖」｝②娃｛口語不用｝③瓦｛~片｝搲佤⑤漥瓦｛~匠｝洼						
#ɔ							
p	①包苞胞玻③保孢葆褓寶鴇飽褒⑤抱暴爆豹菢鉋｛俗刨｝鮑曝						
pʰ	①脬拋泡｛燈~｝②跑齙｛~牙｝咆袍狍⑤泡｛~飯｝炮礮皰						
m	①貓②毛茅楙矛錨髦牦③卯茆鉚⑤貌冒帽瑁貿｛新音｝茂｛新音｝						
t	①刀叨③島搗倒到｛望~｝道｛言也｝朵｛耳~｝⑤禱倒蹈｛新音：舞~｝悼稻鑄導到盜道｛~路｝						
tʰ	①道｛一~｝掏弢韜饕絛滔②濤陶逃堂{~屋}桃淘萄③討⑤蹈｛白讀：踐也｝套導道｛~~：又音tɔ tɔ｝						
l	①撈□｛俗寫「孬」｝玀｛喚豬丨俗字｝②牢癆勞嶗③老佬姥｛借字丨淮西人呼父之姊妹｝惱腦瑙⑤淖澇鬧腝｛同「臑」｝						
k	①高膏皋睾羔糕②毫｛又音：一~~丨微也少也｝③攪｛白讀｝稿藳絞｛~邊｝鎬⑤告郜教｛白讀｝						
kʰ	①敲撬｛白讀｝尻③考｛「攷」俗字｝攷｛俗字「考」｝烤拷⑤靠銬｛梏俗字｝犒						
x	①蒿薅②毫豪嗥｛~叫｝③好｛~處｝⑤好｛愛~｝號晧暭耗						
ʔ	②翱遨③媼⑤澳奧						
ts	①糟遭③早棗澡蚤藻⑤造｛創~｝灶皂躁燥						
tsʰ	①操②漕槽疛｛腹不適曰~心｝嘈③草⑤造｛~事｝慥｛急言也｝躁｛又音｝燥｛又音｝糙						
s	①騷臊搔艘𢔳｛~𢔇丨逸遊也丨有貶義｝③掃｛動詞｝嫂⑤瘙掃｛名詞｝潲𢜶｛快也｝						
tʂ	①招朝｛今~｝釗昭召｛號~｝③找｛「抓」俗字｝抓｛同「找」字｝爪沼菬⑤笊肇兆趙照詔罩著｛舒化丨應答語也｝召｛~喚｝						
tʂʰ	①超鈔抄剿䜈②潮巢嘲朝｛~向｝晁③訬｛俗字「吵」｝吵｛「訬」俗字｝炒煼｛同「炒」｝⑤䜈｛~話｝抄｛又音｝						
ʂ	①燒稍梢②紹｛介~｝韶③少｛多~｝⑤紹｛~興｝少｛年~｝邵哨						
ʐ	①繞②熬敖鰲饒③襖繞｛又音｝擾⑤傲繞｛又音｝懊耀						
#iɔ							
p	①瀌膘贆飆標驃彪③表婊裱⑤摽䞄｛~喫｝□{竊視也}						
pʰ	①鰾漂｛~浮｝飄殍螵嘌瞟②嫖螵瓢③縹瞟｛又音｝醥⑤票漂｛~亮｝剽						
m	②描苗瞄③藐淼秒眇渺⑤謬妙廟繆						
t	①叼刁雕貂鵰凋鯛③鳥｛詈語丨俗字「屌」｝⑤調掉釣弔銚｛燒水~｝吊						
tʰ	①挑｛~選｝②調｛~頭｝條迢苕笤髫③窕挑｛~釁｝⑤跳眺						
ȵ	②瞭遼燎聊寮寥鷯③鳥䩍｛面白曰~｝裊了潦⑤鐐溺｛俗字「尿」｝撂廖料箬｛~葉｝						
tɕ	①交澆｛~水｝膠嬌驕椒焦鷮鮫郊教｛~書｝跤蛟蕉佼③絞｛新音：~絲旁｝剿餃漅｛謂巢湖也｝繳皎狡攪｛~動｝矯嬌｛又音｝⑤叫教｛宗~｝㹾酵校｛學~｝窖轎覺｛睡~｝較噍｛咀嚼也｝						
tɕʰ	①鍫｛俗字「鍬」｝撬｛~鎖｝蹺｛~腿｝②瞧橋喬譙蕎轎｛小車｝僑樵③巧悄⑤翹俏鞘峭撬｛新音｝						
ɕ	①澆｛「枵」本字丨薄也｝枵｛薄也丨本字「澆」｝消銷囂霄逍蕭簫瀟硝宵肖｛姓丨分自「蕭」｝③小僥曉筱⑤肖笑孝校｛少~｝哮效嘯						
j	①幺吆妖腰要｛~求｝邀夭②姚堯遙徭繇窯瑤謠陶｛皋~｝搖肴窑｛「窯」俗字｝③窈杳咬｛「齩」訛寫｝舀⑤要｛索~｝鷂曜躍｛大~進｝						
#u							
p	①波菠播｛新音：~放｝③跛簸｛動詞｝⑤簸｛~箕｝播｛~籽｝						
pʰ	①坡頗②婆鄱③叵⑤破剖						
m	①摸｛~秋｝②魔磨｛~刀｝摩膜模摹③畝｛新音｝母｛新音｝⑤磨｛石~｝墓慕募暮						
t	①多③朵躲⑤剁舵惰跺墮垛｛一~｝						
tʰ	①拖②駝馱坨沱庹｛姓｝③妥橢⑤唾						
l	②羅儸騾哪｛~吒｝儸鑼螺邏儺挪蘿腡③摞裸⑤懦糯｛又音｝						
k	①歌哥戈鍋渦③果粿猓裹哿夥｛~計｝舸⑤個箇過						
kʰ	①顆科窠棵珂蝌稞軻③可坷⑤課嗑｛又音丨~瓜子｝						
x	①呵②禾何河和荷｛~花｝龢③火伙夥□｛潑灑｝⑤荷｛負~｝和｛附~｝禍賀貨						
ts	③佐左⑤坐做座柞						
tsʰ	①飵蹉搓初②鋤昨痤③楚础⑤錯措厝銼祚挫						
s	①梳挱｛~開丨同挲｝挲｛~開丨同挱｝𥆝｛略視也丨又「𥇇」｝梭蓑｛~衣｝娑唆③數｛動詞｝鎖瑣所⑤數｛~字｝						
	①屙阿｛~膠｝妸窩倭②俄鵝訛娥蛾峨③我⑤臥餓活｛快~｝						
#ʉ							
p	①□｛詈語丨童稚語｝③補哺捕⑤步布佈怖｛新音｝簿埠｛新音｝部						
pʰ	①鋪孵｛舊音：~小雞｝豧｛~氣｝②浮｛~泅｝葡蒲匍荸菩③甫普埔腐浦譜溥莆脯⑤鋪埠瀑｛訛｝訃						
m	③姥⑤墓慕募暮						
f	①夫麩孵｛新音：~化｝俘膚｛訛音｝敷②扶芙浮符③府斧釜輔撫阜膚⑤負富副父傅付附赴婦						
t	①都｛~市｝嘟③睹賭堵肚暏⑤杜肚｛又音｝渡妒度						
tʰ	②圖屠途徒涂荼③吐土杜｛~狗｝⑤吐｛又音｝兔						
l	②廬｛新音｝盧爐蘆奴鱸艫嚧③擼弩滷魯櫓擄虜鹵努⑤怒路露潞璐賂						
k	①沽辜姑菇咕酤孤③估牯古鼓賈｛商~｝蠱股⑤固故雇顧錮棝崮僱						
kʰ	①枯骷箍③苦⑤絝庫褲						
x	①呼烀｛俗字｝②胡鬍蝴湖乎｛在~｝糊壺瑚猢醐弧葫狐③虎琥滸⑤護滬互瓠戶扈謼｛敷衍｝						
ts	①租③組俎祖阻⑤助						
tsʰ	①粗⑤醋悇｛憂也｝						
s	①疏｛「踈」俗字｝踈｛俗字「疏」｝蔬｛菜~｝蘇甦酥⑤粟｛蘆~丨舒化｝素訴塑遡｛俗字「溯」｝溯嗉愫漱						
tʂ	①諸豬株誅朱蛛珠③煮渚主⑤著｛~書｝柱蛀住注駐註箸						
tʂʰ	①攄｛抒也丨予也丨通「捈」｝捈｛通「攄」｝②殊除蜍儲廚躕躇③杵薯暑鼠處｛相~｝褚黍⑤處｛~理｝悇｛又音｝						
ʂ	①書輸｛文讀｝舒樞抒③曙⑤樹竪庶恕戍墅署						
ʐ	①輸｛白讀｝②如濡蠕茹儒孺③乳｛新音｝汝｛新音｝						
	①污烏鎢鄔洿巫塢②吳蜈無梧吾③五伍武捂午焐舞鵡忤｛~逆｝仵⑤戊誤焐霧毋務惡｛厭~｝悟汙晤痦寤						
#ᴇ							
p	③擺捭排⑤拜敗別｛有疑｝稗						
pʰ	②牌排｛又音｝徘簰⑤派湃						
m	①□｛擬牛呼｝②埋霾③買⑤賣邁						
f	⑤□｛擬聲丨痛呼｝						
t	①懛｛俗字「呆」｝呆｛「懛」俗字｝③逮傣歹⑤呔｛俗字丨語氣詞丨呼人｝帶代大｛~王｝汏｛淘洗｝待戴貸袋黛殆岱怠						
tʰ	①台胎邰②臺檯颱抬苔⑤太態泰汰｛淘~丨「汏」分化字｝						
l	②來萊崍③乃廼嬭｛俗字「奶」｝扔｛引擢也如~草丨有疑｝奶｛「嬭」俗字｝⑤耐癩奈賴籟瀨藾睞						
k	①該賅③改⑤蓋丐鈣痂｛白讀丨~渣｝						
kʰ	①揩開③鎧凱楷⑤愾慨概溉						
x	②孩骸③蟹海亥｛辛~｝⑤害亥｛又音｝						
ts	①哉栽災③載宰⑤在再						
tsʰ	①猜②才纔財裁材③采採彩睬⑤菜蔡						
s	①腮揌｛予也｝⑤賽塞｛~外｝						
tʂ	①齋③者⑤債寨砦側｛眼~｝柘						
tʂʰ	①釵②柴豺③跐｛俗字「踩」｝踩｛「跐」俗字｝⑤虿						
ʂ	①篩⑤曬						
ʐ	①挨｛觸也｝哀埃②捱癌獃｛「俗」字呆｝呆｛「獃」俗字｝涯｛舊音｝崖｛舊音｝岩｛白讀｝③矮挨｛~打｝⑤愛艾礙						
#uᴇ							
k	①乖③拐詭｛性異也丨存疑｝踝｛骨~｝⑤劊怪						
kʰ	②攜③蒯澮⑤膾塊快會｛~計｝筷						
x	②踝｛新音：腳~｝淮懷徊槐⑤壞						
tʂ	①□｛手足僵也｝③跩｛本字不詳｝轉｛傲也丨字有疑｝⑤□｛拉也｝						
tʂʰ	①搋③跐｛又音｝踩｛又音｝揣⑤膪｛胖而行動不便｝踹						
ʂ	①衰③甩｛本字不詳｝⑤率｛俗｝帥｛將~｝						
	①竵｛俗字歪丨曉蟹合二平訛為烏乖切｝歪｛「竵」俗字｝偎②□｛身壓也｝③踝｛傾倒不起丨有疑｝⑤喂｛呼人｝外						
#iᴇ							
tɕ	①皆稭街階③解｛~開｝⑤介｛又音｝械戒誡屆界解｛押~｝疥						
ɕ	②鞋諧③蟹｛新音｝⑤懈						
j	①椰③也｛新音｝冶｛新音｝						
#ɤɯ							
m	①冇｛或「沒有」合音｝②謀｛新音｝眸｛新音｝③某⑤謬繆						
f	③否缶						
t	①都兜②團｛歡~丨不明本調｝③抖斗蚪陡⑤鬥逗豆痘竇鬭｛聚也合也｝						
tʰ	①偷②頭投骰⑤透						
l	①摟②樓劉｛姓氏｝婁髅③僂｛佝~｝⑤漏鏤陋瘻						
k	①溝勾鈎篝③狗枸苟垢詬後｛門~，或可去聲｝⑤媾購夠逅訽｛~病｝構彀						
kʰ	①摳眍③口扣⑤扣｛又音｝寇蔻叩						
x	①齁②侯猴喉篌䗔瘊③候｛舊音｝吼呴｛牛鳴呼也｝⑤候｛新音：時~｝后後厚佝						
ʔ	①歐甌區｛姓｝③偶毆						
ts	①鄒謅③走⑤奏驟皺縐						
tsʰ	①搊②愁③瞅⑤湊						
s	①艘｛又｝捜餿蒐颼③叟擻⑤瘦瘶｛欬~｝						
tʂ	①周週州洲舟沾｛~水｝③扭肘帚⑤咒胄宙晝紂						
tʂʰ	①抽②籌酬綢仇稠③丑｛地支｝醜⑤臭						
ʂ	①收③手首守捨｛~得｝⑤受壽綬狩獸授售						
ʐ	②揉柔蹂③藕熰｛緩焚也｝⑤慪漚毆肉｛舒化｝						
#iɤɯ							
t	①丟						
ȵ	②蟟遛劉牛留流瘤瀏榴餾鎏騮③柳扭鈕忸紐⑤謬						
tɕ	①鳩㽱糾赳揫鬮｛拈~｝灸③久酒玖韭九⑤舊臼救就舅疚咎究柩廄蹴樞｛又音丨存疑｝						
tɕʰ	①秋鞦鳅煪㞗邱丘坵蚯②求球泅裘仇捄裘犰③取｛白讀丨~毫毫米｝						
ɕ	①修羞脩饈貅休②□③朽⑤秀嗅繡銹宿｛星~｝						
j	①優憂幽悠②油尤疣郵猶由蚰蝣游遊牛③有黝友酉莠⑤右又宥佑祐侑柚幼鼬釉						
#ɐ̃							
p	①般班斑頒扳②板版拌｛棄也｝坂⑤瓣辦範扮						
pʰ	①翻攀②藩⑤襻盼番｛一~｝						
m	①眽蠻｛不~｝②蠻⑤慢漫｛浪~｝嫚蔓謾曼						
f	①翻番藩帆幡②凡煩樊繁③反返⑤畈范犯泛販梵飯						
t	①單丹擔耽鄲③膽撣疸⑤誕擔但蛋淡氮憚搭｛又音丨「tɐʔ」之轉也｝彈｛動~｝痰｛黏~｝						
tʰ	①貪灘癱攤坍②談彈｛~簧｝譚痰覃壇潭壇罈③袒坦毯⑤歎炭碳探						
l	②藍難｛困~｝南楠攔籣蘭斕喃襤嵐腩婪欄瀾③懶攬懶爁覽纜漤⑤難｛災~｝爛濫						
k	①乾甘柑竿肝③趕感桿橄衦｛俗字「擀」｝⑤幹贛淦						
kʰ	①看｛~門｝堪刊龕磡③砍坎侃檻艦⑤闞瞰看｛~見｝						
x	①憨②寒韓涵函晗閒｛白讀：~食｝銜酣蝦｛水~丨蛙也｝③罕｛「䍐」俗字｝䍐喊｛文讀｝⑤翰汗漢瀚悍焊熯｛~飯｝						
ʔ	①鞍鵪						
ts	①簪②㜺｛美也丨字從俗有疑｝③攢｛新音｝⑤讚鏨䟅｛相磓也｝						
tsʰ	①參餐䱗摻②殘蠶③慘慚⑤燦澯						
s	①三③散傘饊糝｛米~｝⑤散						
tʂ	①□｛割也｝□｛言相弄也｝③斬盞⑤綻站蘸栈戰湛暫						
tʂʰ	①攙②嚵潺饞孱蟬禪｛新音｝蟾③產鏟剷⑤懺						
ʂ	①山刪杉衫珊姍⑤單｛姓｝疝｛又音｝汕訕						
ʐ	①安庵②然燃髯③冉唵｛食手持物貌｝苒⑤暗案岸按						
#uɐ̃							
k	①關瘝鰥⑤慣摜貫						
kʰ	①擐②踡⑤擐｛又音｝						
x	②還環寰嬛横⑤幻宦患豢						
ʂ	①栓閂⑤涮疝						
	①灣彎②玩頑③晚皖｛訛音｝挽綰⑤萬						
#ʊ̃							
t	①端③短斷⑤斷｛兩~｝段鍛緞鍛						
tʰ	①湍②團摶						
l	②巒鑾圝𢺈｛使聚之｝欒③卵暖⑤亂糯						
k	①官冠｛衣~｝觀棺倌③管館莞⑤貫灌罐冠｛~軍｝盥串｛今與「穿」混｝觀｛道~｝						
kʰ	①寬髖③款						
x	①渙｛散也｝歡獾②橫｛訛音｝桓含③缓⑤換浣奐唤焕渙｛又音｝幻｛訛音｝宦｛訛音｝患｛訛音｝豢｛訛音｝						
ts	①鑚｛動詞｝③纂｛集聚也｝䂎攢｛集聚也｝⑤鑽｛器也｝						
tsʰ	①攛｛誘人爲｝⑤篡｛又音｝竄躥｛同「竄」｝						
s	①酸痠｛腰~背痛｝⑤算蒜						
tʂ	①磚顓專③轉｛~身｝⑤饌轉｛~圈｝傳｛~記｝撰篆賺						
tʂʰ	①穿｛~衣｝川②船傳｛~說｝③喘⑤釧穿｛俗字「串」｝篡						
ʐ	③軟｛一讀｝阮｛東門以東｝						
	①豌莞｛~爾｝剜②完烷丸③婉碗皖菀宛腕⑤玩｛古~｝						
#ĩ							
p	①邊編鞭鳊蝙蹁③扁貶匾㗗｛~斷丨鼻韻增生｝⑤變便｛~利｝汴辮辯辨昪						
pʰ	①偏片｛又音丨一大~｝篇翩②便｛~宜｝駢⑤遍騙｛諞之訛｝片						
m	②棉眠綿③勉免娩冕緬沔⑤麵面						
t	①巔顛癲滇瘨敁｛俗字「掂」｝掂｛「敁」俗字｝③點典碘⑤店電墊殿甸淀奠佃						
tʰ	①天添②甜田填恬③舔腆						
ȵ	①拈②年黏連蓮聯鐮鏈廉戀璉鯰粘帘憐簾漣蠊③蹨｛俗字攆｝碾殮｛又音｝撚瀲輦撿臉斂輾⑤殮練念煉戀錬						
tɕ	①尖間｛中~｝兼肩奸姦搛箋煎箴監堅緘艱蒹菅慳｛吝嗇也｝②前｛頭~丨變調丨不明本調｝③簡揀瞼剪減趼鹼儉茧踐檢餞翦戩⑤毽｛新音｝劍間｛~諜｝見建鍵薦僭腱｛新音｝箭澗漸健賤鑒濺諫鐧						
tɕʰ	①千簽殲先｛舊音｝鉛箋｛又音｝鹐韆遷阡牽謙芊纖籤杴｛木~丨俗字「鍁」｝鍁｛「杴」俗字｝②錢前潛鉗乾黔虔③遣淺芡⑤譴歉欠倩堑餡｛舊音｝茜檻｛白讀｝						
