#来源：湖南省宜章县栗源镇土话语音研究，作者：王颖，湖南师范大学硕士论文，2018年6月，导师：罗昕如 教授			
#转录者：DaiDzao			
IPA	調號	調值	單字
sai	2	41	□[好~:形容很厉害]
sai	5	22	晒
kai	1	35	街-该
kai	3	55	改解-[~开]
kai	5	22	介-界-戒-械-锯-
kʰai	1	35	揩
kʰai	3	55	凯
ŋai	1	35	挨
ŋai	2	41	□[形容一个人做事喜欢拖拉]
ŋai	5	22	爱隘=[窄]
xai	2	41	鞋还
xai	3	55	海
xai	5	22	害蟹
Øai	3	55	矮
Øai	5	22	隘-[窄]
ʦuai	3	55	拽
suai	5	22	帅
kuai	1	35	乖
kuai	3	55	拐拐
kuai	5	22	怪
kʰuai	1	35	□[圈]
kʰuai	3	55	块□[遭~子:遭殃]
kʰuai	5	22	快筷
xuai	1	35	坏
xuai	2	41	槐怀
xuai	3	55	甩□[好~嘚:很能吃，能吃很多]
Øuai	1	35	□[~哉:形容多手多脚]挖
Øuai	3	55	歪崴
pei	1	35	杯
pei	2	41	背[~胛]
pei	5	22	辈
pʰei	1	35	坯倍佩
pʰei	2	41	培陪赔
pʰei	3	55	呸
pʰei	5	22	背[~诵:动词]配
mei	1	35	霉[动词]
mei	2	41	梅媒煤枚霉
mei	3	55	每
mei	5	22	妹
fei	3	55	匪
fei	5	22	飞=肺=费=废
lei	2	41	来
ʦei	2	41	啧[语气词]
ʦei	3	55	籽
ʦʰei	1	35	在-
Øei	1	35	□[~ia;妈妈]
Øei	2	41	诶
tuei	1	35	堆
tuei	5	22	对队兑
tʰuei	1	35	推袋
tʰuei	2	41	台-[~桌:桌子]
tʰuei	3	55	腿
tʰuei	5	22	退蜕
nuei	1	35	内
luei	1	35	累-类=
luei	2	41	雷蕤[低着头]
luei	3	55	垒
luei	5	22	累泪=
ʦuei	1	35	追□[~猪肉:死猪肉]
ʦuei	5	22	最罪
ʦʰuei	1	35	催崔翠
ʦʰuei	5	22	菜脆
suei	1	35	□[形客一个人没本事，很窝囊]虽=
suei	2	41	随
suei	3	55	水=
suei	5	22	碎税隧
kuei	1	35	规龟
kuei	3	55	鬼
kuei	5	22	桂贵
kʰuei	1	35	亏开窥
kʰuei	2	41	葵柜
kʰuei	3	55	跪
kʰuei	5	22	愧
xuei	1	35	恢灰挥徽
xuei	2	41	回茴
xuei	3	55	毁
xuei	5	22	贿会[开~]
Øuei	1	35	威煨喂胃
Øuei	2	41	危为违围
Øuei	3	55	委伟尾=
Øuei	5	22	位卫味
pau	1	35	包煲-
pau	3	55	保堡宝饱煲=
pau	5	22	报豹爆
pʰau	1	35	炮抛
pʰau	2	41	袍刨
pʰau	3	55	跑
pʰau	5	22	泡
mau	1	35	冇贸猫=
mau	2	41	毛矛茅[~茨]
mau	3	55	卯
mau	5	22	帽貌
tau	1	35	刀
tau	3	55	岛倒[~水]
tau	5	22	倒颠[~到]稻
tʰau	1	35	掏
tʰau	2	41	桃逃淘陶萄
tʰau	3	55	讨
tʰau	5	22	道套盗导
nau	1	35	□[~药:毒药]
nau	3	55	脑
nau	5	22	闹[~子:集市]
lau	2	41	劳捞牢痨
lau	3	55	老□[□lau:弟弟]
ʦau	1	35	遭糟招召
ʦau	3	55	早枣蚤澡皂爪沼
ʦau	5	22	罩照邵灶躁赵兆
ʦʰau	1	35	操抄超汆
ʦʰau	2	41	曹朝潮槽
ʦʰau	3	55	草炒吵
sau	1	35	臊捎稍骚
sau	3	55	扫嫂少
sau	5	22	潲
kau	1	35	高膏糕胶-
kau	3	55	稿搞□[嬉~:玩耍]
kau	5	22	告觉睡教-[~书]窖□[用东西交换]
kʰau	1	35	敲-
kʰau	3	55	考烤
kʰau	5	22	铐
ŋau	2	41	熬-
ŋau	3	55	袄咬-
ŋau	5	22	拗
xau	1	35	薅淆搅-耗-[浪费]
xau	2	41	豪耗-毫[~子:硬币]
xau	3	55	好
xau	5	22	号
Øau	2	41	熬=
Øau	3	55	拗[~断:折断]
Øau	5	22	拗[回执]
piau	1	35	标彪
piau	3	55	表婊裱
piau	5	22	□[给]
pʰiau	1	35	飘
pʰiau	2	41	嫖
pʰiau	3	55	漂[~洗]
pʰiau	5	22	票漂[~亮]
miau	1	35	猫-
miau	2	41	苗描
miau	3	55	秒渺藐
miau	5	22	庙
tiau	1	35	刁貂雕叼
tiau	3	55	鸟
tiau	5	22	钓吊
tʰiau	1	35	挑
tʰiau	2	41	条调
tʰiau	3	55	斢换
tʰiau	5	22	跳
liau	1	35	料撩廖[姓]
liau	2	41	聊=
ʨiau	1	35	交郊胶=浇娇教=[~室]
ʨiau	3	55	狡绞铰缴搅=
ʨiau	5	22	叫蕉椒较酵
ʨʰiau	1	35	轿悄嚼敲=
ʨʰiau	2	41	桥
ʨʰiau	3	55	巧
ʨʰiau	5	22	撬翘窍荞[~脑:藠头]
ȵiau	1	35	尿
ɕiau	1	35	消宵硝销削肖箫校-□[~梨:梨子]
ɕiau	3	55	晓
ɕiau	5	22	笑孝效
Øiau	1	35	妖腰
Øiau	2	41	窑摇
Øiau	3	55	舀咬=
Øiau	5	22	要
pʰou	1	35	抔[~起:浮肿]
mou	2	41	谋
mou	3	55	某
fou	3	55	否
ʦou	1	35	□[~倒:蹲着]
ʦou	3	55	走
ʦou	5	22	咒皱
ʦʰou	1	35	搊
ʦʰou	2	41	愁筹
ʦʰou	5	22	凑
sou	1	35	搜馊
sou	5	22	嗽瘦
fiou	2	41	浮
tiou	1	35	兜蔸[~脑:植物的根部]丢竹逗
tiou	3	55	抖陡□[同脚踩好]
tiou	5	22	斗[拼合好]
tʰiou	1	35	偷豆
tʰiou	2	41	投头
tʰiou	3	55	喘-
tʰiou	5	22	□[把液体倒入瓶子里]
liou	1	35	溜绿
liou	2	41	楼留硫流刘
liou	3	55	搂篓柳□[~倒:绊倒]
liou	5	22	漏六
ʨiou	1	35	周舟州洲阉纠
ʨiou	2	41	揪
ʨiou	3	55	酒帚九久韭灸
ʨiou	5	22	救
ʨʰiou	1	35	秋抽就旧[~年]
ʨʰiou	2	41	囚-仇酬求
ʨʰiou	3	55	丑舅
ʨʰiou	5	22	凑臭
ȵiou	1	35	肉拗
ȵiou	2	41	牛
ȵiou	3	55	扭纽
ɕiou	1	35	削修收休寿叔-
ɕiou	3	55	手首守袖秀
ɕiou	5	22	受绣寿嗅
kiou	1	35	钩沟
kiou	3	55	狗苟
kiou	5	22	够
kʰiou	5	22	扣
ŋiou	1	35	欧
ŋiou	3	55	藕-偶-
xiou	1	35	后厚
xiou	2	41	喉猴
xiou	3	55	口
Øiou	1	35	优又诱釉忧
Øiou	2	41	尤邮由油游
Øiou	3	55	有友酉佑
Øiou	5	22	右
Øəiu	3	55	呕藕=偶=
Øəiu	5	22	沤怄
pan	1	35	班斑颁般扳
pan	3	55	板版
pan	5	22	办
pʰan	1	35	攀□[把东西用力摔在地上]
pʰan	5	22	盼绊
man	1	35	馒慢
man	2	41	蛮
man	3	55	满[~姑:对妇女的一种蔑称]
fan	1	35	翻范犯饭帆
fan	2	41	凡烦繁
fan	3	55	反
fan	5	22	贩
tan	1	35	担[动词]耽丹单
tan	3	55	胆
tan	5	22	担旦
tʰan	1	35	贪摊淡
tʰan	2	41	谭潭谈痰弹檀
tʰan	3	55	毯坦
tʰan	5	22	炭叹探[~舌:多管他人事]
nan	1	35	□[小孩子用手拿菜吃]
nan	2	41	南男难
lan	2	41	兰蓝篮拦栏烂
lan	3	55	榄-懒
ʦan	1	35	暂赞
ʦan	3	55	攒[~劲:形容一个人做事很努力]斩
ʦan	5	22	站-
ʦʰan	1	35	参餐
ʦʰan	2	41	残蚕
ʦʰan	3	55	铲产惨
san	1	35	三杉删
san	3	55	散伞
kan	1	35	监-奸肩-间-奸-量词
kan	3	55	减-赶感橄-敢=赶=
kʰan	1	35	堪
kʰan	3	55	砍坎
kʰan	5	22	看
ŋan	1	35	安-暗
ŋan	2	41	岩-
ŋan	3	55	埯眼
ŋan	5	22	岸-案-按-
xan	1	35	鼾汉汗□[用水泡着]
xan	2	41	咸韩含
xan	3	55	喊
xan	5	22	旱-
Øan	1	35	安=痷
Øan	3	55	□[身体往后仰]
Øan	5	22	岸=案=按=□[锅子暂时不用时装些水浸泡着]
pian	1	35	鞭编边蝙辫
pian	3	55	扁匾
pian	5	22	变辨=
pʰian	1	35	篇偏遍
pʰian	2	41	便[~宜]
pʰian	3	55	□[蘸一点]
pʰian	5	22	骗片
mian	1	35	面[~条]
mian	2	41	棉
mian	3	55	免勉
mian	5	22	面[脸]
tian	1	35	颠电
tian	3	55	点掂典
tian	5	22	店
tʰian	1	35	添天簟[~莚:用于晾晒谷物的竹席]
tʰian	2	41	甜田填
tʰian	5	22	垫
lian	2	41	镰连联怜莲鲢
lian	3	55	敛
lian	5	22	练炼捡-
ʨian	1	35	尖煎艰监=间=奸=肩=
ʨian	3	55	检捡=简剪减=
ʨian	5	22	剑件箭毽健占
ʨʰian	1	35	签千牵铅歉贱
ʨʰian	2	41	钳钱前
ʨʰian	3	55	浅
ʨʰian	5	22	欠掮
ȵian	1	35	研
ȵian	2	41	严燃言年
ȵian	3	55	染撚
ȵian	5	22	谚
ɕian	1	35	掀先善仙
ɕian	2	41	嫌闲贤
ɕian	3	55	陕=险显
ɕian	5	22	羡扇
Øian	1	35	淹阉烟验
Øian	2	41	然沿盐岩=
Øian	3	55	演□[~皮:用来阻挡气流的很薄很小的一层塑料膜]
Øian	5	22	燕敥[以手撒物]
puan	1	35	搬
puan	5	22	半
pʰuan	1	35	叛
pʰuan	2	41	盘
pʰuan	5	22	判
muan	2	41	瞒
muan	3	55	满
muan	5	22	□[没有牙齿而用口腔慢慢研磨食物]
tuan	1	35	端
tuan	3	55	短断-[折~，~豆角]
tuan	5	22	锻段缎断=[决~]
tʰuan	1	35	断-[~哩:断了]
tʰuan	2	41	团
nuan	1	35	暖
luan	3	55	卵
luan	5	22	乱
luan	2	41	圞[圆]
ʦuan	3	55	钻[~人:扎人]
ʦuan	5	22	钻
ʦʰuan	1	35	蹿
ʦʰuan	2	41	船=
ʦʰuan	5	22	赚
suan	1	35	酸闩拴
suan	5	22	算蒜
kuan	1	35	干肝官棺
kuan	3	55	敢-管-杆-
kuan	5	22	惯灌
kʰuan	1	35	宽关
kʰuan	3	55	款
xuan	1	35	欢换
xuan	2	41	完还环
xuan	3	55	缓
Øuan	1	35	弯万
Øuan	2	41	顽[~皮]
Øuan	3	55	碗晚挽
tyan	5	22	旋转圈
ʨyan	1	35	专砖捐绢
ʨyan	3	55	卷
ʨyan	5	22	娟
ʨʰyan	1	35	串
ʨʰyan	2	41	全泉传拳权颧
ʨʰyan	3	55	喘=
ʨʰyan	5	22	劝券
ȵyan	1	35	软
ɕyan	1	35	宣
ɕyan	2	41	船-
ɕyan	3	55	选穴[~公;蚯蚓]
ɕyan	5	22	鲜
Øyan	1	35	冤
Øyan	2	41	袁原
Øyan	3	55	远
Øyan	5	22	院愿怨
pen	1	35	崩
pen	3	55	本
pen	5	22	绷
pʰen	1	35	喷
pʰen	2	41	盆彭湓[水满了流出来]
men	1	35	蚊-[~虫]虻
men	2	41	门
men	5	22	闷焖扪
fen	1	35	分
fen	2	41	坟
fen	3	55	粉
fen	5	22	粪份畚[~箕]
ten	1	35	登灯墩吨□[~猪:劁猪]邓
ten	3	55	等
ten	5	22	凳瞪竳
tʰen	2	41	藤
tʰen	3	55	蹬[道路中高于路面的一道块]
tʰen	5	22	腾[~手:帮忙]吞
nen	1	35	那嫩
nen	2	41	能□[用手用力提]
len	2	41	轮人=
ʦen	1	35	曾增证政征震镇
ʦen	5	22	挣郑
ʦʰen	1	35	村寸
ʦʰen	2	41	存橙层陈乘
ʦʰen	5	22	蹭趁
sen	1	35	撕孙
sen	3	55	笋桦省[~份]
ken	1	35	跟根
ken	5	22	迳[~口;地名]更
kʰen	1	35	坑
kʰen	3	55	□[~紧:盖紧]
ŋen	1	35	恩
ŋen	5	22	硬
xen	1	35	哼
xen	2	41	痕
xen	3	55	很狠肯
xen	5	22	恨
Øen	1	35	□[~出去;抱出去]
Øen	3	55	□[被什么东西梗着，不舒服]
Øen	5	22	嗯
pin	1	35	槟冰
pin	3	55	饼=
pʰin	1	35	乒拼
pʰin	2	41	贫凭瓶屏萍
pʰin	3	55	品
min	2	41	明民
min	3	55	敏抿
tin	1	35	盯
tin	3	55	项
tin	5	22	定订丁[~囊古:树墩]
tʰin	1	35	厅听=
tʰin	2	41	亭停婷廷庭
lin	1	35	拎
lin	2	41	林淋临灵零铃麟
lin	3	55	领
lin	5	22	另
ʨin	1	35	针今金珍真斤筋蒸鲸证震=
ʨin	3	55	枕巾紧睛整诊
ʨin	5	22	进镇阵敬镜正政浸症静
ʨʰin	1	35	侵亲近称[~呼,~量]逞青=
