# Ideographic Description Sequences (IDS) for BabelStone Han PUA
# URL: https://babelstone.co.uk/CJK/IDS_PUA.TXT
# Font: https://www.babelstone.co.uk/Fonts/PUA.html
# Version 1.428 (2024-06-19)
#
U+E080		^⿰斑鳥$
U+E3E3		^⿰羊帛$
U+E3E4		^⿸广𩾏$
U+E3E5		^⿰山庂$
U+E3E6		^⿰𤣩賽$
U+E3E7		^⿰石酉$
U+E3E8		^⿰鱼追$
U+E3E9		^⿰鱼宾$
U+E3EA		^⿰鱼麻$
U+E3EB		^⿰鱼乃$
U+E3EC		^⿰魚乃$
U+E3ED		^⿰鱼敏$
U+E3EE		^⿰鱼步$
U+E3EF		^⿰鱼孱$
U+E3F0		^⿰鱼戋$
U+E3F1		^⿰鱼尼$
U+E3F2		^⿰鱼梨$
U+E3F3		^⿰鱼罔$
U+E3F4		^⿰鱼朋$
U+E3F5		^⿰鱼氐$
U+E3F6		^⿰鱼盾$
U+E3F7		^⿰魚盾$
U+E3F8		^⿰鱼池$
U+E3F9		^⿰鱼赤$
U+E3FA		^⿰鱼画$
U+E3FB		^⿰鱼佥$
U+E3FC		^⿰鱼忌$
U+E3FD		^⿰鱼奥$
U+E3FE		^⿱为虫$
U+E3FF		^⿱爲虫$
U+E400		^⿹𢎘干$
U+E401		^⿰口剛$
U+E402		^⿰口根$
U+E403		^⿰口胯$
U+E404		^⿰口逛$
U+E405		^⿰口凌$
U+E406		^⿰口懦$
U+E407		^⿰口㤶$
U+E408		^⿰口咩$
U+E409		^⿰口骯$
U+E40A		^⿰口扭$
U+E40B		^⿰口塕$
U+E40C		^⿰口爬$
U+E40D		^⿰口叛$
U+E40E		^⿰口膀$
U+E40F		^⿰口砒$
U+E410		^⿰口劈$
U+E411		^⿰口仆$
U+E412		^⿰口弸$
U+E413		^⿰口讓$
U+E414		^⿰口搡$
U+E415		^⿰口掃$
U+E416		^⿰口笋$
U+E417		^⿺九于$
U+E418		^⿱山徍$
U+E419		^⿰口搜$
U+E41A		^⿲左右⿰开弓$
U+E41B		^⿰口梢$
U+E41C		^⿰口鰕$
U+E41D		^⿰口嘘$
U+E41E		^⿰口厮$
U+E41F		^⿰口硝$
U+E420		^⿰口囚$
U+E421		^⿰口松$
U+E422		^⿰口旋$
U+E423		^⿰口膽$
U+E424		^⿰𤣩翟$
U+E425		^⿰口擡$
U+E426		^⿰口燙$
U+E427		^⿰口腯$
U+E428		^⿰口叮$
U+E429		^⿰口懂$
U+E42A		^⿰口髒$
U+E42B		^⿰口慚$
U+E42C		^⿰口搶$
U+E42D		^⿰口誚$
U+E42E		^⿰口𣀒$
U+E42F		^⿰口唧$
U+E430		^⿰口揪$
U+E431		^⿰口總$
U+E432		^⿰口膨$
U+E433		^⿳大目又$
U+E434		^⿰⿱𢆸止斤$
U+E435		^⿺辶𠁅$
U+E436		^⿱宀互$
U+E437		^⿰馬几$
U+E438		^⿰𤣩⿸𡰱冋$
U+E439		^⿰虫迷$
U+E43A		^⿱艹阾$
U+E43B		^⿱艹⿵门东$
U+E43C		^⿱艹⿵门乐$
U+E43D		^⿰山牽$
U+E43E		^⿰山屯$
U+E43F		^⿱艹𭑃$
U+E440		^⿸𭤨伐$
U+E441		^⿱容衣$
U+E442		^⿰𤣩𣓨$
U+E443		^⿱雨丹$
U+E444		^⿰氵滕$
U+E445		^⿱非山$
U+E446		^⿸户九$
U+E447		^⿰木廇$
U+E448		^⿱艹𬈶$
U+E449		^⿰氵𩕆$
U+E44A		^⿺風色$
U+E44B		^⿰⿱𠦄兀⿱𠦄兀$
U+E44C		^⿱山褁$
U+E44D		^⿺辶眘$
U+E44E		^⿱山𡕰$
U+E44F		^⿱艹劈$
U+E450		^⿰鳥卜$
U+E451		^⿱牧⿸厂攴$
U+E452		^⿰虫寂$
U+E453		^⿰虫寥$
U+E454		^⿱艹彭$
U+E455		^⿰木再$
U+E456		^⿱秝木$
U+E457		^⿰土斷$
U+E458		^⿰馬𣏋$
U+E459		^⿰忄崩$
U+E45A		^⿰矛非$
U+E45B		^⿰舟覽$
U+E45C		^⿰𣬉刃$
U+E45D		^⿰氵宕$
U+E45F		^⿰亢刂$
U+E460		^⿰禾龙$
U+E462		^⿰𤣩臬$
U+E463		^⿸麻鸟$
U+E464		^⿰讠民$
U+E465		^⿰纟夫$
U+E466		^⿰纟隺$
U+E467		^⿰鱼咸$
U+E468		^⿸疒孪$
U+E469		^⿰钅㐌$
U+E46A		^⿰纟桑$
U+E46B		^⿰酉安$
U+E46C		^⿰鸟巫$
U+E46D		^⿱匀田$
U+E46E		^⿰页兆$
U+E46F		^⿰鱼麦$
U+E470		^⿰石安$
U+E471		^⿱朔王$
U+E472		^⿱艹革$
U+E473		^⿰马庸$
U+E474		^⿰鸟吉$
U+E475		^⿰鸟元$
U+E476		^⿰山鸟$
U+E478		^⿰钅肃$
U+E479		^⿰钅遣$
U+E47A		^⿱𰃮昔$
U+E47C		^⿱奈田$
U+E47D		^⿰氵绦$
U+E47F		^⿰钅夕$
U+E480		^⿱一几$
U+E481		^⿱不地$
U+E482		^⿰土嶴$
U+E483		^⿺乙曲$
U+E485		^⿸厂树$
U+E486		^⿿蛤$
U+E487		^⿰亻凢$
U+E488		^⿱兹一$
U+E489		^⿰冫麦$
U+E48A		^⿱冖参$
U+E48C		^⿱㓁卖$
U+E48E		^⿰讠⿱穴白$
U+E48F		^⿺廴太$
U+E490		^⿰土厄$
U+E493		^⿰土𫡢$
U+E494		^⿰土仝$
U+E495		^⿰土产$
U+E497		^⿰土两$
U+E498		^⿰土㕅$
U+E499		^⿰土围$
U+E49A		^⿱沥土$
U+E49B		^⿱良土$
U+E49C		^⿰土⿱㓁山$
U+E49D		^⿱𪣆土$
U+E49E		^⿰口𫚥$
U+E49F		^⿰口烫$
U+E4A0		^⿰土府$
U+E4A3		^⿰土恶$
U+E4A5		^⿰土𭻍$
U+E4A6		^⿰土断$
U+E4A7		^⿱断土$
U+E4A8		^⿰土婴$
U+E4AA		^⿱⿰京丸土$
U+E4AC		^⿰土窑$
U+E4AD		^⿰土斯$
U+E4AE		^⿰土𪩃$
U+E4AF		^⿰土富$
U+E4B0		^⿰土孱$
U+E4B1		^⿰土罂$
U+E4B2		^⿰土廖$
U+E4B5		^⿰空刂$
U+E4B6		^⿱艹庒$
U+E4B7		^⿱艹软$
U+E4B9		^⿱艹垒$
U+E4BA		^⿱艹耙$
U+E4BB		^⿱艹𮄮$
U+E4BC		^⿱艹⿰氵𫔴$
U+E4BD		^⿺⿱口兀寸$
U+E4BE		^⿱考口$
U+E4BF		^⿴囗牛$
U+E4C0		^⿴囗林$
U+E4C3		^⿱山办$
U+E4C4		^⿱山刅$
U+E4C5		^⿱山包$
U+E4C7		^⿱山永$
U+E4C8		^⿱山任$
U+E4C9		^⿸尸醮$
U+E4CA		^⿸尸𬋕$
U+E4CB		^⿰山察$
U+E4CC		^⿰彳孟$
U+E4CD		^⿰犭敕$
U+E4CE		^⿰犭窖$
U+E4CF		^⿰火魁$
U+E4D0		^⿵门切$
U+E4D1		^⿵门在$
U+E4D2		^⿵门决$
U+E4D3		^⿵门⿱𰁜大$
U+E4D4		^⿰氵冈$
U+E4D5		^⿰氵⿵冂下$
U+E4D6		^⿰氵⿱龸水$
U+E4D7		^⿰氵顿$
U+E4D8		^⿰氵榃$
U+E4D9		^⿱草⿰草草$
U+E4DA		^⿱宀瓜$
U+E4DB		^⿱应马$
U+E4DC		^⿰马祭$
U+E4DE		^⿲纟言纟$
U+E4E0		^⿰𤣩⿱㓁缶$
U+E4E1		^⿲𤣩章月$
U+E4E4		^⿰木买$
U+E4E5		^⿰木岗$
U+E4E6		^⿰木岺$
U+E4E8		^⿲木同亍$
U+E4E9		^⿰木弯$
U+E4EA		^⿰木阁$
U+E4EB		^⿰木凿$
U+E4EC		^⿱日⿹勹衣$
U+E4ED		^⿺乙牛$
U+E4EF		^⿱汤手$
U+E4F0		^⿺毛土$
U+E4F2		^⿺爪孚$
U+E4F3		^⿱⿰虫旡灬$
U+E4F4		^⿳䒑旧心$
U+E4F5		^⿺乙母$
U+E4F6		^⿱水见$
U+E4F7		^⿰石犬$
U+E4F8		^⿰石化$
U+E4FC		^⿰石伏$
U+E4FD		^⿱舟石$
U+E4FF		^⿰石瓮$
U+E500		^⿰石卷$
U+E501		^⿰石屈$
U+E502		^⿰石奏$
U+E504		^⿰石贵$
U+E505		^⿰石音$
U+E506		^⿰石舂$
U+E508		^⿰石蕉$
U+E509		^⿰目马$
U+E50A		^⿰田几$
U+E50C		^⿰田勾$
U+E50D		^⿰田佥$
U+E50E		^⿰田狂$
U+E50F		^⿺乙禾$
U+E511		^⿰缶鸟$
U+E512		^⿱应鸟$
U+E513		^⿰冒鸟$
U+E514		^⿱穴山$
U+E515		^⿱穴加$
U+E516		^⿰名页$
U+E517		^⿰⿸广另页$
U+E518		^⿰虫争$
U+E519		^⿰虫竻$
U+E51A		^⿰缶安$
U+E51D		^⿱𥫗刖$
U+E51F		^⿰米色$
U+E520		^⿰赤鸟$
U+E521		^⿰𧾷而$
U+E522		^⿰氵室$
U+E523		^⿰与青$
U+E524		^⿱涂甘$
U+E525		^⿰口紧$
U+E526		^⿰缶付$
U+E527		^⿰鱼团$
U+E528		^⿰祟蚤$
U+E529		^⿱艹暗$
U+E52A		^⿸疒普$
U+E52B		^⿱⿰来攵心$
U+E52C		^⿱⿰攴又力$
U+E52D		^⿺风英$
U+E52E		^⿰𧾷赖$
U+E52F		^⿰𧾷脱$
U+E530		^⿰𧾷前$
U+E531		^⿰虫覺$
U+E532		^⿰扌郁$
U+E533		^⿰鱼孟$
U+E534		^⿰春鸟$
U+E535		^⿵门栾$
U+E536		^⿰口純$
U+E537		^⿰月遂$
U+E538		^⿰石舊$
U+E539		^⿰氵棘$
U+E53A		^⿸疒贅$
U+E53B		^⿰氵匧$
U+E53C		^⿰彳匡$
U+E53D		^⿰虫卡$
U+E53E		^⿰女呢$
U+E53F		^⿰口坭$
U+E540		^⿰金𠫡$
U+E541		^⿰忽風$
U+E542		^⿱𠂹⿸丆二$
U+E543		^⿰扁頁$
U+E544		^⿰冓犮$
U+E545		^⿰飠厭$
U+E546		^⿰日䖍$
U+E547		^⿰禾隻$
U+E548		^⿰氵屰$
U+E549		^⿰赤包$
U+E54A		^⿱雨翳$
U+E54B		^⿸厂戯$
U+E54C		^⿰口夔$
U+E54D		^⿰泰累$
U+E54E		^⿺鬼女$
U+E54F		^⿱𢆶胜$
U+E550		^⿱炇𣅀$
U+E551		^⿺爪或$
U+E552		^⿰黑戈$
U+E553		^⿰忄𭀰$
U+E554		^⿰罌瓦$
U+E555		^⿱髟逄$
U+E556		^⿰糹慮$
U+E557		^⿰車⿳口冖月$
U+E558		^⿰牜悤$
U+E559		^⿰訁羅$
U+E55A		^⿰讠罗$
U+E55B		^⿰石召$
U+E55C		^⿰戎鳥$
U+E55D		^⿰氵⿱穴文$
U+E55E		^⿰山戛$
U+E55F		^⿰口茂$
U+E560		^⿰口夙$
U+E561		^⿰口眸$
U+E562		^⿰口乂$
U+E563		^⿰口形$
U+E564		^⿰口刑$
U+E565		^⿳亠𣍹𧘇$
U+E566		^⿱马十$
U+E567		^⿰口塗$
U+E568		^⿰口智$
U+E569		^⿱大立$
U+E56A		^⿱𥫗次$
U+E56B		^⿱熠耳$
U+E56C		^⿱艹𠁊$
U+E56D		^⿱艹覇$
U+E56E		^⿰扌麽$
U+E56F		^⿱𥫗秔$
U+E570		^⿰衤溪$
U+E571		^⿰衤領$
U+E572		^⿰貝康$
U+E573		^⿰釒辣$
U+E574		^⿱雨杰$
U+E575		^⿱雨欽$
U+E576		^⿺鬼神$
U+E577		^⿺鬼陽$
U+E578		^⿰鼠圭$
U+E579		^⿰鼠立$
U+E57A		^⿱水牛$
U+E57B		^⿰𧾷遟$
U+E57C		^⿱艹𭏲$
U+E57D		^⿰虫鳳$
U+E57E		^⿰虫甴$
U+E57F		^⿰虫曱$
U+E580		^⿱亠甾$
U+E581		^⿰口𫨸$
U+E582		^⿲口禾乔$
U+E583		^⿰口佗$
U+E584		^⿰口蟻$
U+E585		^⿰口柯$
U+E586		^⿰口矮$
U+E587		^⿰口裔$
U+E588		^⿰口租$
U+E589		^⿰糹東$
U+E58A		^⿰木朮$
U+E58B		^⿰鱼过$
U+E58C		^⿰鳥巤$
U+E58D		^⿸尸侨$
U+E58E		^⿱玨黑$
U+E58F		^⿰口闊$
U+E590		^⿰口病$
U+E591		^⿰口痕$
U+E592		^⿰骨間$
U+E593		^⿰口遷$
U+E594		^⿰口⿸尸𭣖$
U+E595		^⿰口揑$
U+E596		^⿰口搭$
U+E597		^⿰口濕$
U+E598		^⿰口駒$
U+E599		^⿰口蠟$
U+E59A		^⿰口頜$
U+E59B		^⿰口踢$
U+E59C		^⿰口椏$
U+E59D		^⿰口僻$
U+E59E		^⿰口捫$
U+E59F		^⿰口簍$
U+E5A0		^⿰口殷$
U+E5A1		^⿰口偏$
U+E5A2		^⿰口嫌$
U+E5A3		^⿰口挽$
U+E5A4		^⿰⿱旦來阝$
U+E5A5		^⿰口豁$
U+E5A6		^⿰阝畱$
U+E5A7		^⿰口换$
U+E5A8		^⿰口虲$
U+E5A9		^⿰口培$
U+E5AA		^⿰口蓆$
U+E5AB		^⿰口氊$
U+E5AC		^⿰口脇$
U+E5AD		^⿰口筴$
U+E5AE		^⿰口捐$
U+E5AF		^⿰口衫$
U+E5B0		^⿰口爛$
U+E5B1		^⿰口輕$
U+E5B2		^⿰口塔$
U+E5B3		^⿰口枷$
U+E5B4		^⿰口嬌$
U+E5B5		^⿰口粒$
U+E5B6		^⿰口扒$
U+E5B7		^⿰口漣$
U+E5B8		^⿰扌夺$
U+E5B9		^⿰口餞$
U+E5BA		^⿰口桮$
U+E5BB		^⿰口篇$
U+E5BC		^⿰口堪$
U+E5BD		^⿰口規$
U+E5BE		^⿰口蟄$
U+E5BF		^⿰口慎$
U+E5C0		^⿰口刼$
U+E5C1		^⿰口裁$
U+E5C2		^⿰口羕$
U+E5C3		^⿰贝婁$
U+E5C4		^⿰口邈$
U+E5C5		^⿰口蠻$
U+E5C6		^⿰口鴿$
U+E5C7		^⿰口隲$
U+E5C8		^⿰口乸$
U+E5C9		^⿰口𡧾$
U+E5CA		^⿰口巒$
U+E5CB		^⿰口墜$
U+E5CC		^⿰口⿰木⿱臤見$
U+E5CD		^⿰口迄$
U+E5CE		^⿰口⿰土蒦$
U+E5CF		^⿰口貂$
U+E5D0		^⿰口扶$
U+E5D1		^⿰口陟$
U+E5D2		^⿰口墳$
U+E5D3		^⿰石泵$
U+E5D4		^⿱𥫗𭀖$
U+E5D5		^⿰口𭀖$
U+E5D6		^⿰口⿰革匕$
U+E5D7		^⿰口隙$
U+E5D8		^⿰口俄$
U+E5D9		^⿰口鵝$
U+E5DA		^⿰口瞞$
U+E5DB		^⿰口餓$
U+E5DC		^⿰口𥧌$
U+E5DD		^⿰口拆$
U+E5DE		^⿰口鰲$
U+E5DF		^⿰口們$
U+E5E0		^⿰口復$
U+E5E1		^⿰口衰$
U+E5E2		^⿰口沫$
U+E5E3		^⿰口耸$
U+E5E4		^⿰氵⿱土力$
U+E5E5		^⿰口畓$
U+E5E6		^⿰口環$
U+E5E7		^⿰口𠩵$
U+E5E8		^⿱⿻千⿰万万千$
U+E5E9		^⿰口寍$
U+E5EA		^⿰口擭$
U+E5EB		^⿰钅兰$
U+E5EC		^⿱艹迭$
U+E5ED		^⿰片瓦$
U+E5EE		^⿰普鳥$
U+E5EF		^⿺辶窵$
U+E5F0		^⿰角亥$
U+E5F1		^⿰馬申$
U+E5F2		^⿱雨樹$
U+E5F3		^⿰山匧$
U+E5F4		^⿰犭岑$
U+E5F5		^⿰土樊$
U+E5F6		^⿰亻⿱火女$
U+E5F7		^⿰土厲$
U+E5F8		^⿰日𣋓$
U+E5F9		^⿰𧾷矣$
U+E5FA		^⿺辶巵$
U+E5FB		^⿰氵磳$
U+E5FC		^⿰氵𥐪$
U+E5FD		^⿸鹿虚$
U+E5FE		^⿱山臯$
U+E5FF		^⿰矢隻$
U+E600		^⿰山鬯$
U+E601		^⿰釒剳$
U+E602		^⿱艮寸$
U+E603		^⿰彳爾$
U+E604		^⿰訁⿱弋皿$
U+E605		^⿱賁心$
U+E606		^⿰貫力$
U+E607		^⿱𦍌𧰨$
U+E608		^⿰亻⿱𦍌𧰨$
U+E609		^⿰訁⿱𦍌𧰨$
U+E60A		^⿰口㳫$
U+E60B		^⿰金鄉$
U+E60C		^⿰舟遠$
U+E60D		^⿰木遠$
U+E60E		^⿰舟㥯$
U+E60F		^⿱輿𠀆$
U+E610		^⿰扌爬$
U+E611		^⿰亻𬙙$
U+E612		^⿷匚化$
U+E613		^⿰土忽$
U+E614		^⿰土契$
U+E615		^⿱宓角$
U+E616		^⿺九小$
U+E617		^⿱山卜$
U+E618		^⿱仇山$
U+E619		^⿳山口了$
U+E61A		^⿱山⿰亻鸟$
U+E61B		^⿱山𦉷$
U+E61C		^⿱山𠌵$
U+E61D		^⿱仇心$
U+E61E		^⿰忄表$
U+E61F		^⿲手八手$
U+E620		^⿱今𢪒$
U+E621		^⿱日化$
U+E622		^⿰日麥$
U+E623		^⿰木⿱𠆢番$
U+E624		^⿺𠃊水$
U+E625		^⿲氵身见$
U+E626		^⿱⿰未成牛$
U+E627		^⿰𤣩乌$
U+E628		^⿱金田$
U+E629		^⿰石冝$
U+E62A		^⿰石采$
U+E62B		^⿰石逢$
U+E62C		^⿰石凳$
U+E62D		^⿱穴化$
U+E62E		^⿰⿱穴亏包$
U+E62F		^⿱𥫗乜$
U+E630		^⿱𥫗收$
U+E631		^⿱𥫗禺$
U+E632		^⿱𥫗焦$
U+E633		^⿰缶咼$
U+E634		^⿱艹坸$
U+E635		^⿰虫册$
U+E636		^⿰釒疐$
U+E637		^⿰虫盒$
U+E638		^⿱覀猢$
U+E639		^⿺辶丫$
U+E63A		^⿰馬益$
U+E63B		^⿰马益$
U+E63C		^⿱髟崇$
U+E63D		^⿱牝口$
U+E63E		^⿰口𣣶$
U+E63F		^⿰口僞$
U+E640		^⿳䒑⿰丬工乙$
U+E641		^⿰口缶$
U+E642		^⿰口笳$
U+E643		^⿰𧾷遲$
U+E644		^⿰𡨼刂$
U+E645		^⿰釒運$
U+E646		^⿺廴占$
U+E647		^⿱山虫$
U+E648		^⿰木宵$
U+E649		^⿰犭颉$
U+E64A		^⿰土⿱乃土$
U+E64B		^⿰土宽$
U+E64C		^⿱禾龰$
U+E64D		^⿱𥫗俛$
U+E64E		^⿴囗亦$
U+E64F		^⿱孔手$
U+E650		^⿱𥫗绝$
U+E651		^⿰土教$
U+E652		^⿰鱼炎$
U+E653		^⿰米费$
U+E654		^⿰山仓$
U+E655		^⿰纟昔$
U+E656		^⿰羊东$
U+E657		^⿱𫥑石$
U+E658		^⿰虫鸟$
U+E659		^⿰车扁$
U+E65A		^⿵门豖$
U+E65B		^⿰⿱石石欠$
U+E65C		^⿰木匮$
U+E65D		^⿰纟困$
U+E65E		^⿰马𱅑$
U+E65F		^⿱执鱼$
U+E660		^⿰鱼尃$
U+E661		^⿰鱼巢$
U+E662		^⿰鸟大$
U+E663		^⿰丘鸟$
U+E664		^⿱次鸟$
U+E665		^⿹㇯鸟一宛$
U+E666		^⿰贲鸟$
U+E667		^⿱般鸟$
U+E668		^⿰習鸟$
U+E669		^⿰鸟蜀$
U+E66A		^⿰詹鸟$
U+E66B		^⿰叠鸟$
U+E66C		^⿰薨鸟$
U+E66D		^⿰口斐$
U+E66E		^⿰口河$
U+E66F		^⿰口珥$
U+E670		^⿰口璧$
U+E671		^⿰口鐸$
U+E672		^⿰角小$
U+E673		^⿰口嘉$
U+E674		^⿰口旺$
U+E675		^⿰口庭$
U+E676		^⿰口柏$
U+E677		^⿸厂丫$
U+E678		^⿰禾𬜯$
U+E679		^⿸鹿吾$
U+E67A		^⿰馬牢$
U+E67B		^⿰馬豕$
U+E67C		^⿰夜馬$
U+E67D		^⿰衤𧄐$
U+E67E		^⿰口辨$
U+E67F		^⿰口縻$
U+E680		^⿰山员$
U+E681		^⿰舟离$
U+E682		^⿺呪召$
U+E683		^⿱田一$
U+E684		^⿰纟车$
U+E685		^⿲口炎鬲$
U+E686		^⿱玨丁$
U+E68A		^⿱艹碣$
U+E694		^⿰钅宜$
U+E695		^⿱咋會$
U+E696		^⿰皮䔡$
U+E697		^⿰米夬$
U+E698		^⿰日仓$
U+E699		^⿰忄态$
U+E69A		^⿰饣夏$
U+E69B		^⿰扌嚣$
U+E69C		^⿰𧾷闹$
U+E69D		^⿰口舒$
U+E69E		^⿰米畾$
U+E69F		^⿸虍耎$
U+E6A0		^⿱忒虫$
U+E6A1		^⿰禾散$
U+E6A2		^⿰訁匽$
U+E6A3		^⿱𡉁土$
U+E6A4		^⿰皮𬝁$
U+E6A5		^⿰田乏$
U+E6A6		^⿰氵败$
U+E6A7		^⿰土董$
U+E6A8		^⿱渐金$
U+E6A9		^⿰山申$
U+E6AB		^？$
U+E6AC		^⿱丶？$
U+E6AD		^⿱艹马$
U+E6AE		^⿰扌⿱艹坔$
U+E6B0		^⿰纟太$
U+E6B1		^⿺瓦万$
U+E6B2		^⿰扌㕘$
U+E6B3		^⿰今巨$
U+E6B4		^⿱艹宧$
U+E6B5		^⿱艹反$
U+E6B6		^⿸麻金$
U+E6B7		^⿰火竟$
U+E6B8		^⿱日革$
U+E6B9		^⿰衤便$
U+E6BA		^⿰𤣩伏$
U+E6BB		^⿰土侍$
U+E6BC		^⿰飠求$
U+E6BD		^⿰糹嚴$
U+E6BE		^⿰飠寺$
U+E6BF		^⿱艹洊$
U+E6C0		^⿰鱼並$
U+E6C1		^⿰鱼鬼$
U+E6C2		^⿰鱼雯$
U+E6C3		^⿰魚雯$
U+E6C4		^⿰鱼爱$
U+E6C5		^⿱纳鱼$
U+E6C6		^⿰鱼田$
U+E6C7		^⿰魚田$
U+E6C8		^⿰鱼致$
U+E6C9		^⿰鱼泰$
U+E6CA		^⿰魚泰$
U+E6CB		^⿰鱼葛$
U+E6CC		^⿰鱼右$
U+E6CD		^⿰魚右$
U+E6CE		^⿰鱼威$
U+E6CF		^⿰鱼某$
U+E6D0		^⿰鱼候$
U+E6D1		^⿰豆歷$
U+E6D2		^⿰亻畬$
U+E6D3		^⿱少兒$
U+E6D4		^⿱小兒$
U+E6D5		^⿰鱼因$
U+E6D6		^⿰鱼虏$
U+E6D7		^⿰沙鸟$
U+E6D8		^⿰氵𱉐$
U+E6D9		^⿰㳄鸟$
U+E6DA		^⿰吹鸟$
U+E6DB		^⿰利鸟$
U+E6DC		^⿱龸旦$
U+E6DD		^⿸手丶$
U+E6DE		^⿰饣含$
U+E6DF		^⿰飠含$
U+E6E0		^⿰扌窣$
U+E6E1		^⿰口牤$
U+E6E2		^⿰氵夐$
U+E6E3		^⿰片辰$
U+E6E4		^⿰犭贵$
U+E6E5		^⿺克肖$
U+E6E6		^⿰日卂$
U+E6E7		^⿰魚卡$
U+E6E8		^⿰魚仂$
U+E6E9		^⿰魚邪$
U+E6EA		^⿰口霸$
U+E6EB		^⿳𥫗⿴北白几$
U+E6EC		^⿰米达$
U+E6ED		^⿰米達$
U+E6EE		^⿰口尿$
U+E6EF		^⿰古衣$
U+E6F0		^⿸厂賏$
U+E6F1		^⿸厂𲂻$
U+E6F2		^⿸厂赑$
U+E6F3		^⿸厂⿱賏賏$
U+E6F4		^⿸厂⿱𲂻𲂻$
U+E6F5		^⿰口助$
U+E6F6		^⿱艹⿰木侌$
U+E6F7		^⿰𧾷𬉿$
U+E6F8		^⿰忄人$
U+E6F9		^⿸疒抄$
U+E6FA		^⿰礻區$
U+E6FB		^⿰委人$
U+E6FC		^⿱雔鳥$
U+E6FD		^⿺毛曲$
U+E6FE		^⿰鱼奚$
U+E6FF		^⿰卤咸$
U+E700		^⿰勿是$
U+E701		^⿰月開$
U+E702		^⿰星勞$
U+E703		^⿱𠆢備$
U+E704		^⿰犭则$
U+E705		^⿰署负$
U+E706		^⿰署負$
U+E707		^⿵门丅$
U+E708		^⿰车奔$
U+E709		^⿰土觜$
U+E70A		^⿱覀之$
U+E70B		^⿸疒攻$
U+E70C		^⿰口厖$
U+E70D		^⿰乡邦$
U+E70E		^⿰堯鳥$
U+E70F		^⿰亢鳥$
U+E710		^⿱亠⿲刀丫𱍸$
U+E711		^⿰⿳⺊冖米攵$
U+E712		^⿰口欖$
U+E713		^⿰石憑$
U+E714		^⿱代石$
U+E715		^⿰目叔$
U+E716		^⿰亻䘚$
U+E717		^⿱宀䘚$
U+E718		^⿱山䘚$
U+E719		^⿰扌䘚$
U+E71A		^⿰氵䘚$
U+E71B		^⿰火䘚$
U+E71C		^⿱犭䘚$
U+E71D		^⿰米䘚$
U+E71E		^⿰訁䘚$
U+E71F		^⿰酉䘚$
U+E720		^⿰䘚隹$
U+E721		^⿰享包$
U+E722		^⿰犭費$
U+E723		^⿰舟衝$
U+E724		^⿰魚体$
U+E725		^⿰目鬱$
U+E726		^⿵门弄$
U+E727		^⿰土𨈣$
U+E728		^⿱㚘土$
U+E729		^⿰氵状$
U+E72A		^⿰扌迫$
U+E72B		^⿰口匏$
U+E72C		^⿰山品$
U+E72D		^⿰魚卸$
U+E72E		^⿰石弟$
U+E72F		^⿰土道$
U+E730		^⿱艹帮$
U+E731		^⿺乙平$
U+E732		^⿰火菜$
U+E733		^⿱潘灬$
U+E734		^⿰亻仄$
U+E735		^⿰畜定$
U+E736		^⿰忄廉$
U+E737		^⿵门贡$
U+E738		^⿱𥫗丕$
U+E739		^⿰亻囝$
U+E73A		^⿱艹媽$
U+E73B		^⿰石裴$
U+E73C		^⿰扌豹$
U+E73D		^⿱入子$
U+E73E		^⿰土九$
U+E73F		^⿰土刃$
U+E740		^⿰身大$
U+E741		^⿰虫予$
U+E742		^⿰虫矛$
U+E743		^⿱叔土$
U+E744		^⿱亠丿$
U+E745		^⿰土𤲞$
U+E746		^⿱薮土$
U+E747		^⿰氵⿸厂元$
U+E748		^⿱𥫗勃$
U+E749		^⿰米圓$
U+E74A		^⿱地⿰地地$
U+E74B		^⿺鼠如$
U+E74C		^⿰石窄$
U+E74D		^⿰氵兩$
U+E74E		^⿰氵两$
U+E74F		^⿺鬼文$
U+E750		^⿺鬼只$
U+E751		^⿺鬼泉$
U+E752		^⿺鬼徒$
U+E753		^⿺鬼徙$
U+E754		^⿺鬼明$
U+E755		^⿺鬼日$
U+E756		^⿰車焱$
U+E757		^⿰月苔$
U+E758		^⿰口夯$
U+E759		^⿰𧾷勾$
U+E75A		^⿰鸟鸟$
U+E75B		^⿱⿰角角⿰角角$
U+E75C		^⿱⿰鸟鸟⿰鸟鸟$
U+E75D		^⿱𡫥𡫥$
U+E75E		^⿰纟厚$
U+E75F		^⿰氵篦$
U+E760		^⿰扌琶$
U+E761		^⿰呆易$
U+E762		^⿱错六$
U+E763		^⿵门录$
U+E764		^⿰石匱$
U+E765		^⿶凵灵$
U+E766		^⿰曾等$
U+E767		^⿰皮兄$
U+E768		^⿰石㖾$
U+E769		^⿰石𦈯$
U+E76A		^⿰亻律$
U+E76B		^⿰虗亢$
U+E76C		^⿺辶勅$
U+E76D		^⿰山朁$
U+E76E		^⿰厓见$
U+E76F		^⿰扌⿱𠆢疌$
U+E770		^⿱雨黯$
U+E771		^⿱雨黮$
U+E772		^⿰齒蜀$
U+E773		^⿱山險$
U+E774		^⿰口譍$
U+E775		^⿰革匝$
U+E776		^⿱雨晻$
U+E777		^⿺虎孝$
U+E778		^⿺鼠虎$
U+E779		^⿰車夷$
U+E77A		^⿰⿱肉米产$
U+E77B		^⿰车允$
U+E77C		^⿰月夺$
U+E77D		^⿰口挛$
