简体	声母	韵母	声调	注释	录者注	[1]⁵⁵[2]³¹[3]³⁵[4]²⁴[5]⁵²[6]²²[7]³²³[8]²¹²
去	tɕʰ	y	[5]	文读		
处	tɕʰ	y	[5]			
醋	tɕʰ	y	[5]			
巨	dʑ	y	[2]			
拒	dʑ	y	[2]			
渠	dʑ	y	[2]			
距	dʑ	y	[2]			
葵	dʑ	y	[2]			
除	dʑ	y	[2]			
厨	dʑ	y	[2]			
槌	dʑ	y	[2]			
锤	dʑ	y	[2]			
储	dʑ	y	[2]			
跪	dʑ	y	[4]			
柱	dʑ	y	[4]			
蕊	dʑ	y	[4]			
具	dʑ	y	[6]			
柜	dʑ	y	[6]			
住	dʑ	y	[6]			
鱼	ȵ	y	[2]			
渔	ȵ	y	[2]			
伪	ȵ	y	[2]			
女	ȵ	y	[4]			
语	ȵ	y	[4]			
遇	ȵ	y	[6]			
愚	ȵ	y	[6]			
寓	ȵ	y	[6]			
危	ȵ	y	[6]			
虚	ɕ	y	[1]			
嘘	ɕ	y	[1]			
余	ɦ	y	[2]			
榆	ɦ	y	[2]			
俞	ɦ	y	[2]			
与	ɦ	y	[2]			
盂	ɦ	y	[2]			
遗	ɦ	y	[2]			
围	ɦ	y	[2]			
为	ɦ	y	[2]			
维	ɦ	y	[2]			
惟	ɦ	y	[2]			
违	ɦ	y	[2]			
雨	ɦ	y	[4]			
委	ɦ	y	[4]			
胃	ɦ	y	[6]			
谓	ɦ	y	[6]			
位	ɦ	y	[6]			
卫	ɦ	y	[6]			
惠	ɦ	y	[6]			
慧	ɦ	y	[6]			
喻	ɦ	y	[6]			
誉	ɦ	y	[6]			
预	ɦ	y	[6]			
裕	ɦ	y	[6]			
役	ɦ	y	[8]			
疫	ɦ	y	[8]			
于	Ø	y	[1]			
威	Ø	y	[1]			
畏	Ø	y	[1]			
喂	Ø	y	[5]			
都	t	əy	[1]			
赌	t	əy	[3]			
堵	t	əy	[3]			
肚	t	əy	[3]	猪～		
土	tʰ	əy	[3]			
吐	tʰ	əy	[3]	～痰		
兔	tʰ	əy	[5]			
吐	tʰ	əy	[5]	呕～		
途	d	əy	[2]			
涂	d	əy	[2]			
图	d	əy	[2]			
屠	d	əy	[2]			
杜	d	əy	[4]			
肚	d	əy	[4]	～皮		
度	d	əy	[6]			
渡	d	əy	[6]			
镀	d	əy	[6]			
卢	l	əy	[2]			
芦	l	əy	[2]			
炉	l	əy	[2]			
驴	l	əy	[2]			
吕	l	əy	[4]			
旅	l	əy	[4]			
卤	l	əy	[4]			
路	l	əy	[6]			
露	l	əy	[6]			
虑	l	əy	[6]			
滤	l	əy	[6]			
类	l	əy	[6]			
苏	s	əy	[1]			
书	s	əy	[1]			
须	s	əy	[1]			
需	s	əy	[1]			
输	s	əy	[1]			
舒	s	əy	[1]			
虽	s	əy	[1]			
尿	s	əy	[1]			
辉	s	əy	[1]			
挥	s	əy	[1]			
水	s	əy	[3]			
许	s	əy	[3]			
讳	s	əy	[3]			
毁	s	əy	[3]			
税	s	əy	[5]			
岁	s	əy	[5]			
暑	s	əy	[5]			
诉	s	əy	[5]			
絮	s	əy	[5]			
塑	s	əy	[5]			
如	z	əy	[2]			
谁	z	əy	[2]			
垂	z	əy	[2]			
随	z	əy	[2]			
隋	z	əy	[2]			
遂	z	əy	[2]			
儒	z	əy	[2]			
殊	z	əy	[2]			
汝	z	əy	[4]			
乳	z	əy	[4]	文读		
聚	z	əy	[4]			
署	z	əy	[4]			
竖	z	əy	[4]			
叙	z	əy	[4]			
序	z	əy	[4]			
树	z	əy	[6]			
瑞	z	əy	[6]			
爸	p	a	[1]			
摆	p	a	[3]			
拜	p	a	[5]			
百	p	a	[7]			
柏	p	a	[7]			
伯	p	a	[7]			
迫	p	a	[7]			
不	p	a	[7]			
烹	pʰ	a	[1]			
派	pʰ	a	[5]			
拍	pʰ	a	[7]			
魄	pʰ	a	[7]			
擘	pʰ	a	[7]	～开		
排	b	a	[2]			
彭	b	a	[2]			
膨	b	a	[2]			
牌	b	a	[2]			
棚	b	a	[2]			
败	b	a	[6]			
白	b	a	[8]			
妈	m	a	[1]	白读		
虻	m	a	[1]	牛～		
埋	m	a	[2]			
盲	m	a	[2]			
迈	m	a	[2]			
买	m	a	[4]			
孟	m	a	[4]			
猛	m	a	[4]			
卖	m	a	[6]			
麦	m	a	[8]			
陌	m	a	[8]			
脉	m	a	[8]			
歪	v	a	[1]			
淮	v	a	[2]			
横	v	a	[2]			
衡	v	a	[2]			
怀	v	a	[2]			
槐	v	a	[2]			
坏	v	a	[6]			
外	v	a	[6]			
佛	v	a	[8]			
或	v	a	[8]			
获	v	a	[8]			
划	v	a	[8]	计～		
打	t	a	[3]			
带	t	a	[5]			
戴	t	a	[5]	白读，～帽		
拖	tʰ	a	[1]	白读，鞋～		
太	tʰ	a	[5]			
泰	tʰ	a	[5]			
大	d	a	[6]	文读		
奶	n	a	[1]	母亲		
奶	n	a	[4]			
奈	n	a	[6]			
冷	l	a	[4]			
两	l	a	[4]	～个		
赖	l	a	[6]			
争	ts	a	[1]			
睁	ts	a	[1]			
筝	ts	a	[1]			
债	ts	a	[5]			
摘	ts	a	[7]			
差	tsʰ	a	[1]	～别		
撑	tsʰ	a	[1]			
蔡	tsʰ	a	[5]			
册	tsʰ	a	[7]			
策	tsʰ	a	[7]			
拆	tsʰ	a	[7]			
撮	tsʰ	a	[7]			
寨	dz	a	[6]			
宅	dz	a	[8]			
生	s	a	[1]			
牲	s	a	[1]			
甥	s	a	[1]			
省	s	a	[3]			
洒	s	a	[3]			
驶	s	a	[3]			
柴	z	a	[2]			
㾹	z	a	[6]			
耕	k	a	[1]			
皆	k	a	[1]			
阶	k	a	[1]			
街	k	a	[1]			
庚	k	a	[1]			
羹	k	a	[1]			
更	k	a	[1]	～改		
粳	k	a	[1]			
梗	k	a	[3]			
拐	k	a	[3]			
解	k	a	[3]			
耿	k	a	[3]			
哽	k	a	[3]			
介	k	a	[5]			
芥	k	a	[5]			
疥	k	a	[5]			
