简体	声母	韵母	声调	注释	录者注	[1]⁵⁵[2]³¹[3]³⁵[4]²⁴[5]⁵²[6]²²[7]³²³[8]²¹²
篮	l	ɔ	[2]			
览	l	ɔ	[4]			
揽	l	ɔ	[4]			
榄	l	ɔ	[4]			
懒	l	ɔ	[4]			
滥	l	ɔ	[6]			
缆	l	ɔ	[6]			
烂	l	ɔ	[6]			
辣	l	ɔ	[8]			
腊	l	ɔ	[8]			
蜡	l	ɔ	[8]			
抓	ts	ɔ	[1]			
爪	ts	ɔ	[3]			
找	ts	ɔ	[3]			
盏	ts	ɔ	[3]			
斩	ts	ɔ	[3]			
罩	ts	ɔ	[5]			
赞	ts	ɔ	[5]			
蘸	ts	ɔ	[5]			
札	ts	ɔ	[7]			
扎	ts	ɔ	[7]			
紮	ts	ɔ	[7]			
抄	tsʰ	ɔ	[1]			
餐	tsʰ	ɔ	[1]			
吵	tsʰ	ɔ	[3]			
炒	tsʰ	ɔ	[3]			
铲	tsʰ	ɔ	[3]			
灿	tsʰ	ɔ	[5]			
察	tsʰ	ɔ	[7]			
擦	tsʰ	ɔ	[7]			
插	tsʰ	ɔ	[7]			
暂	dz	ɔ	[6]			
站	dz	ɔ	[6]			
栈	dz	ɔ	[6]			
三	s	ɔ	[1]			
山	s	ɔ	[1]			
衫	s	ɔ	[1]			
杉	s	ɔ	[1]			
删	s	ɔ	[1]			
珊	s	ɔ	[1]			
姗	s	ɔ	[1]			
稍	s	ɔ	[1]	～微		
伞	s	ɔ	[3]			
散	s	ɔ	[3]	～开		
产	s	ɔ	[3]			
散	s	ɔ	[5]	～会		
哨	s	ɔ	[5]			
稍	s	ɔ	[5]	～息		
杀	s	ɔ	[7]			
煞	s	ɔ	[7]			
萨	s	ɔ	[7]			
残	z	ɔ	[2]			
馋	z	ɔ	[2]			
谗	z	ɔ	[2]			
巢	z	ɔ	[2]			
闸	z	ɔ	[8]			
铡	z	ɔ	[8]			
交	k	ɔ	[1]			
胶	k	ɔ	[1]			
郊	k	ɔ	[1]			
间	k	ɔ	[1]			
奸	k	ɔ	[1]			
艰	k	ɔ	[1]			
监	k	ɔ	[1]			
减	k	ɔ	[3]			
简	k	ɔ	[3]			
绞	k	ɔ	[3]			
狡	k	ɔ	[3]			
皎	k	ɔ	[3]			
柬	k	ɔ	[3]			
拣	k	ɔ	[3]			
教	k	ɔ	[5]			
碱	k	ɔ	[5]			
较	k	ɔ	[5]			
校	k	ɔ	[5]	～对		
甲	k	ɔ	[7]			
胛	k	ɔ	[7]			
夹	k	ɔ	[7]			
挟	k	ɔ	[7]			
敲	kʰ	ɔ	[1]			
巧	kʰ	ɔ	[3]			
嵌	kʰ	ɔ	[5]			
掐	kʰ	ɔ	[7]			
恰	kʰ	ɔ	[7]			
衔	g	ɔ	[2]			
轧	g	ɔ	[8]			
岩	ŋ	ɔ	[2]			
颜	ŋ	ɔ	[2]			
咬	ŋ	ɔ	[4]			
眼	ŋ	ɔ	[4]			
雁	ŋ	ɔ	[6]			
喊	h	ɔ	[3]			
孝	h	ɔ	[5]			
喝	h	ɔ	[7]	白读		
咸	ɦ	ɔ	[2]			
闲	ɦ	ɔ	[2]			
嫌	ɦ	ɔ	[2]			
函	ɦ	ɔ	[2]			
限	ɦ	ɔ	[4]			
效	ɦ	ɔ	[4]			
校	ɦ	ɔ	[6]			
陷	ɦ	ɔ	[6]			
匣	ɦ	ɔ	[8]			
晏	ˀ	ɔ	[3]			
鸭	ˀ	ɔ	[7]			
压	ˀ	ɔ	[7]			
押	ˀ	ɔ	[7]			
脚	tɕ	iɔ	[7]			
着	tɕ	iɔ	[7]	～裤		
超	tɕʰ	iɔ	[1]			
鹊	tɕʰ	iɔ	[1]	喜～		
却	tɕʰ	iɔ	[7]			
怯	tɕʰ	iɔ	[7]			
雀	tɕʰ	iɔ	[7]	麻～		
饶	ȵ	iɔ	[2]			
尧	ȵ	iɔ	[2]			
鸟	ȵ	iɔ	[4]	文读		
虐	ȵ	iɔ	[8]			
疟	ȵ	iɔ	[8]			
捏	ȵ	iɔ	[8]			
萧	ɕ	iɔ	[1]			
箫	ɕ	iɔ	[1]			
霄	ɕ	iɔ	[1]			
宵	ɕ	iɔ	[1]			
晓	ɕ	iɔ	[3]			
削	ɕ	iɔ	[7]			
药	ɦ	iɔ	[2]			
弱	ɦ	iɔ	[2]			
钥	ɦ	iɔ	[2]			
嚼	ɦ	iɔ	[2]			
若	ɦ	iɔ	[2]			
跃	ɦ	iɔ	[2]			
约	ˀ	iɔ	[7]			
貂	t	uɔ	[1]			
雕	t	uɔ	[1]			
刁	t	uɔ	[1]			
鸟	t	uɔ	[3]	白读		
钓	t	uɔ	[5]			
吊	t	uɔ	[5]			
挑	tʰ	uɔ	[1]			
挑	tʰ	uɔ	[3]	选		
跳	tʰ	uɔ	[5]			
粜	tʰ	uɔ	[5]			
贴	tʰ	uɔ	[7]			
帖	tʰ	uɔ	[7]			
条	d	uɔ	[2]			
调	d	uɔ	[6]			
掉	d	uɔ	[6]			
叠	d	uɔ	[8]			
蝶	d	uɔ	[8]			
谍	d	uɔ	[8]			
碟	d	uɔ	[8]			
辽	l	uɔ	[2]			
疗	l	uɔ	[2]			
聊	l	uɔ	[2]			
撩	l	uɔ	[2]	捞		
了	l	uɔ	[4]	～解		
料	l	uɔ	[6]			
略	l	uɔ	[8]			
猎	l	uɔ	[8]			
关	k	uɔ	[1]			
惯	k	uɔ	[5]			
刮	k	uɔ	[7]			
括	k	uɔ	[7]			
宽	kʰ	uɔ	[1]			
夸	kʰ	uɔ	[1]			
垮	kʰ	uɔ	[1]			
跨	kʰ	uɔ	[1]			
阔	kʰ	uɔ	[7]			
还	ɦ	uɔ	[2]			
环	ɦ	uɔ	[2]			
亡	ɦ	uɔ	[2]			
忘	ɦ	uɔ	[2]	文读		
幻	ɦ	uɔ	[4]			
晚	ɦ	uɔ	[4]	文读		
患	ɦ	uɔ	[6]			
宦	ɦ	uɔ	[6]			
换	ɦ	uɔ	[6]			
万	ɦ	uɔ	[6]	文读		
望	ɦ	uɔ	[6]			
活	ɦ	uɔ	[8]			
滑	ɦ	uɔ	[8]			
猾	ɦ	uɔ	[8]			
顽	ɦ	uɔ	[8]			
弯	ˀ	uɔ	[1]			
湾	ˀ	uɔ	[1]			
挽	ˀ	uɔ	[3]			
挖	ˀ	uɔ	[7]			
半	p	ø	[5]			
钵	p	ø	[7]			
拨	p	ø	[7]			
潘	pʰ	ø	[1]			
判	pʰ	ø	[5]			
泼	pʰ	ø	[7]			
盘	b	ø	[2]			
盆	b	ø	[2]			
般	b	ø	[2]			
搬	b	ø	[2]			
伴	b	ø	[4]			
拌	b	ø	[4]			
绊	b	ø	[4]			
叛	b	ø	[4]			
勃	b	ø	[8]			
钹	b	ø	[8]			
瞒	m	ø	[2]			
馒	m	ø	[2]	～头		
满	m	ø	[4]			
幔	m	ø	[6]	布～		
末	m	ø	[8]			
沫	m	ø	[8]			
抹	m	ø	[8]			
没	m	ø	[8]			
端	t	ø	[1]			
敦	t	ø	[1]			
墩	t	ø	[1]			
短	t	ø	[3]			
断	t	ø	[5]	决～		
锻	t	ø	[5]	～炼		
答	t	ø	[7]			
掇	t	ø	[7]	端		
吞	tʰ	ø	[1]			
贪	tʰ	ø	[1]			
探	tʰ	ø	[5]			
脱	tʰ	ø	[7]			
托	tʰ	ø	[7]			
讬	tʰ	ø	[7]			
团	d	ø	[2]			
屯	d	ø	[2]			
豚	d	ø	[2]			
臀	d	ø	[2]			
断	d	ø	[4]	～绝		
段	d	ø	[6]			
缎	d	ø	[6]			
钝	d	ø	[6]			
遁	d	ø	[6]			
夺	d	ø	[8]			
突	d	ø	[8]			
暖	n	ø	[4]			
嫩	n	ø	[6]			
鸾	l	ø	[2]			
乱	l	ø	[6]			
论	l	ø	[6]			
粒	l	ø	[8]			
尊	ts	ø	[1]			
钻	ts	ø	[1]			
钻	ts	ø	[5]	～石		
村	tsʰ	ø	[1]			
参	tsʰ	ø	[1]	～考		
惨	tsʰ	ø	[3]			
忖	tsʰ	ø	[3]			
寸	tsʰ	ø	[5]			
孙	s	ø	[1]			
酸	s	ø	[1]			
闩	s	ø	[1]			
栓	s	ø	[1]			
损	s	ø	[3]			
算	s	ø	[5]			
蒜	s	ø	[5]			
刷	s	ø	[7]			
存	z	ø	[2]			
蚕	z	ø	[2]			
凿	z	ø	[8]			
甘	k	ø	[1]			
根	k	ø	[1]			
干	k	ø	[1]			
竿	k	ø	[1]			
肝	k	ø	[1]			
赶	k	ø	[3]			
秆	k	ø	[3]	稻～		
杆	k	ø	[3]			
干	k	ø	[5]	～部		
割	k	ø	[7]			
葛	k	ø	[7]			
刊	kʰ	ø	[1]			
堪	kʰ	ø	[1]			
勘	kʰ	ø	[1]			
坎	kʰ	ø	[3]			
砍	kʰ	ø	[3]			
款	kʰ	ø	[3]			
看	kʰ	ø	[5]	文读		
渴	kʰ	ø	[7]			
瞌	kʰ	ø	[7]			
鼾	h	ø	[1]	～声		
憨	h	ø	[1]	痴		
罕	h	ø	[3]			
汉	h	ø	[5]			
喝	h	ø	[7]	～釆		
喝	h	ø	[7]	～水		
寒	ɦ	ø	[2]			
韩	ɦ	ø	[2]			
含	ɦ	ø	[2]			
痕	ɦ	ø	[2]			
旱	ɦ	ø	[4]			
汗	ɦ	ø	[6]			
岸	ɦ	ø	[6]			
安	ˀ	ø	[1]			
鞍	ˀ	ø	[1]			
恩	ˀ	ø	[1]			
案	ˀ	ø	[5]			
按	ˀ	ø	[5]			
辖	ˀ	ø	[7]			
捐	tɕ	yø	[1]			
绢	tɕ	yø	[1]			
焦	tɕ	yø	[1]			
蕉	tɕ	yø	[1]			
樵	tɕ	yø	[1]			
招	tɕ	yø	[1]			
昭	tɕ	yø	[1]			
朝	tɕ	yø	[1]	明天		
专	tɕ	yø	[1]			
砖	tɕ	yø	[1]			
椒	tɕ	yø	[1]			
浇	tɕ	yø	[1]			
娇	tɕ	yø	[1]			
骄	tɕ	yø	[1]			
转	tɕ	yø	[3]			
卷	tɕ	yø	[3]	～心菜		
缴	tɕ	yø	[3]			
叫	tɕ	yø	[5]			
照	tɕ	yø	[5]			
眷	tɕ	yø	[5]			
卷	tɕ	yø	[5]			
这	tɕ	yø	[7]			
决	tɕ	yø	[7]			
诀	tɕ	yø	[7]			
拙	tɕ	yø	[7]			
川	tɕʰ	yø	[1]			
穿	tɕʰ	yø	[1]			
圈	tɕʰ	yø	[1]			
犬	tɕʰ	yø	[3]			
喘	tɕʰ	yø	[3]			
劝	tɕʰ	yø	[5]			
钏	tɕʰ	yø	[5]			
券	tɕʰ	yø	[5]			
出	tɕʰ	yø	[7]			
缺	tɕʰ	yø	[7]			
乔	dʑ	yø	[2]			
侨	dʑ	yø	[2]			
桥	dʑ	yø	[2]			
权	dʑ	yø	[2]			
拳	dʑ	yø	[2]			
椽	dʑ	yø	[2]			
篆	dʑ	yø	[2]			
朝	dʑ	yø	[2]	～代		
潮	dʑ	yø	[2]			
传	dʑ	yø	[2]			
赵	dʑ	yø	[4]			
兆	dʑ	yø	[4]			
轿	dʑ	yø	[6]			
倦	dʑ	yø	[6]			
传	dʑ	yø	[6]	水浒～		
元	ȵ	yø	[2]			
源	ȵ	yø	[2]			
原	ȵ	yø	[2]			
完	ȵ	yø	[2]			
软	ȵ	yø	[4]			
阮	ȵ	yø	[4]			
玩	ȵ	yø	[4]			
愿	ȵ	yø	[6]			
月	ȵ	yø	[8]			
消	ɕ	yø	[1]			
销	ɕ	yø	[1]			
硝	ɕ	yø	[1]			
烧	ɕ	yø	[1]			
欢	ɕ	yø	[1]			
宣	ɕ	yø	[1]			
喧	ɕ	yø	[1]			
昏	ɕ	yø	[1]			
婚	ɕ	yø	[1]			
荤	ɕ	yø	[1]			
嚣	ɕ	yø	[1]			
小	ɕ	yø	[3]			
少	ɕ	yø	[3]			
选	ɕ	yø	[3]			
笑	ɕ	yø	[5]			
唤	ɕ	yø	[5]			
焕	ɕ	yø	[5]			
楦	ɕ	yø	[5]			
说	ɕ	yø	[7]			
血	ɕ	yø	[7]			
恤	ɕ	yø	[7]			
雪	ɕ	yø	[7]			
戌	ɕ	yø	[7]			
忽	ɕ	yø	[7]			
官	k	yø	[1]			
棺	k	yø	[1]			
观	k	yø	[1]			
冠	k	yø	[1]	衣～		
管	k	yø	[3]			
馆	k	yø	[3]			
贯	k	yø	[5]			
灌	k	yø	[5]			
罐	k	yø	[5]			
冠	k	yø	[5]	～军		
骨	k	yø	[7]			
睏	kʰ	yø	[5]	睡		
窟	kʰ	yø	[7]			
摇	ɦ	yø	[2]			
谣	ɦ	yø	[2]			
窑	ɦ	yø	[2]			
韶	ɦ	yø	[2]			
姚	ɦ	yø	[2]			
全	ɦ	yø	[2]			
丸	ɦ	yø	[2]			
泉	ɦ	yø	[2]			
员	ɦ	yø	[2]			
圆	ɦ	yø	[2]			
园	ɦ	yø	[2]			
玄	ɦ	yø	[2]			
旋	ɦ	yø	[2]			
悬	ɦ	yø	[2]			
魂	ɦ	yø	[2]			
远	ɦ	yø	[4]			
缓	ɦ	yø	[4]			
援	ɦ	yø	[4]			
袁	ɦ	yø	[4]			
猿	ɦ	yø	[4]			
绕	ɦ	yø	[4]			
皖	ɦ	yø	[4]			
县	ɦ	yø	[6]			
院	ɦ	yø	[6]			
绍	ɦ	yø	[6]			
邵	ɦ	yø	[6]			
阅	ɦ	yø	[8]			
越	ɦ	yø	[8]			
穴	ɦ	yø	[8]			
悦	ɦ	yø	[8]			
粤	ɦ	yø	[8]			
术	ɦ	yø	[8]			
述	ɦ	yø	[8]			
绝	ɦ	yø	[8]			
温	ˀ	yø	[1]			
瘟	ˀ	yø	[1]			
冤	ˀ	yø	[1]			
妖	ˀ	yø	[1]			
腰	ˀ	yø	[1]			
要	ˀ	yø	[1]	～求		
渊	ˀ	yø	[1]			
碗	ˀ	yø	[3]			
剜	ˀ	yø	[3]			
邀	ˀ	yø	[3]			
舀	ˀ	yø	[3]			
稳	ˀ	yø	[3]			
要	ˀ	yø	[5]			
怨	ˀ	yø	[5]			
北	p	e	[7]			
笔	p	e	[7]			
梅	m	e	[2]			
媒	m	e	[2]			
煤	m	e	[2]			
霉	m	e	[2]			
每	m	e	[4]			
妹	m	e	[6]			
昧	m	e	[6]			
墨	m	e	[8]			
戴	t	e	[5]	姓		
德	t	e	[7]			
得	t	e	[7]			
胎	tʰ	e	[1]			
台	tʰ	e	[1]	～州		
态	tʰ	e	[5]			
贷	tʰ	e	[5]			
台	d	e	[2]			
抬	d	e	[2]			
潭	d	e	[2]			
待	d	e	[4]			
代	d	e	[6]			
袋	d	e	[6]			
怠	d	e	[6]			
特	d	e	[8]			
南	n	e	[2]			
男	n	e	[2]			
纳	n	e	[8]			
旦	n	e	[8]			
来	l	e	[2]	文读		
劣	l	e	[8]			
勒	l	e	[8]			
栗	l	e	[8]			
肋	l	e	[8]			
灾	ts	e	[1]			
栽	ts	e	[1]			
宰	ts	e	[3]			
再	ts	e	[5]			
载	ts	e	[5]			
则	ts	e	[7]			
猜	tsʰ	e	[1]			
参	tsʰ	e	[1]	～加		
采	tsʰ	e	[3]			
彩	tsʰ	e	[3]			
睬	tsʰ	e	[3]			
菜	tsʰ	e	[5]			
测	tsʰ	e	[7]			
厕	tsʰ	e	[7]			
侧	tsʰ	e	[7]			
腮	s	e	[1]			
赛	s	e	[5]			
塞	s	e	[5]	边～		
色	s	e	[7]			
塞	s	e	[7]	～住		
啬	s	e	[7]			
才	z	e	[2]			
材	z	e	[2]			
财	z	e	[2]			
裁	z	e	[2]			
在	z	e	[4]			
贼	z	e	[8]			
杂	z	e	[8]			
该	k	e	[1]			
柑	k	e	[1]			
泔	k	e	[1]			
改	k	e	[3]			
感	k	e	[3]			
敢	k	e	[3]			
橄	k	e	[3]	～榄		
几	k	e	[3]	～个		
盖	k	e	[5]			
概	k	e	[5]			
溉	k	e	[5]			
国	k	e	[7]			
鸽	k	e	[7]			
开	kʰ	e	[1]			
凯	kʰ	e	[3]			
慨	kʰ	e	[5]	慷～		
克	kʰ	e	[7]			
刻	kʰ	e	[7]	时～		
刻	kʰ	e	[7]	～刀		
呆	ŋ	e	[2]			
碍	ŋ	e	[6]			
海	h	e	[3]			
黑	h	e	[5]			
孩	ɦ	e	[4]			
亥	ɦ	e	[4]			
害	ɦ	e	[6]			
核	ɦ	e	[8]			
合	ɦ	e	[8]			
盒	ɦ	e	[8]			
哀	ˀ	e	[1]			
庵	ˀ	e	[1]			
爱	ˀ	e	[5]			
暗	ˀ	e	[5]			
要	ˀ	e	[5]	～不～	就是爱字	
标	p	ie	[1]			
彪	p	ie	[1]			
边	p	ie	[1]			
鞭	p	ie	[1]			
编	p	ie	[1]			
表	p	ie	[3]			
扁	p	ie	[3]			
匾	p	ie	[3]			
贬	p	ie	[3]			
变	p	ie	[5]			
遍	p	ie	[5]			
飘	pʰ	ie	[1]			
漂	pʰ	ie	[1]	～亮		
篇	pʰ	ie	[1]			
偏	pʰ	ie	[1]			
漂	pʰ	ie	[3]	～白		
票	pʰ	ie	[5]			
骗	pʰ	ie	[5]			
片	pʰ	ie	[5]			
撇	pʰ	ie	[7]			
匹	pʰ	ie	[7]			
瓢	b	ie	[2]			
嫖	b	ie	[2]			
辨	b	ie	[4]			
辩	b	ie	[4]			
辫	b	ie	[4]			
便	b	ie	[6]			
别	b	ie	[8]			
鼻	b	ie	[8]			
苗	m	ie	[2]			
描	m	ie	[2]			
绵	m	ie	[2]			
棉	m	ie	[2]			
眠	m	ie	[2]			
秒	m	ie	[4]			
妙	m	ie	[4]			
藐	m	ie	[4]			
免	m	ie	[4]			
勉	m	ie	[4]			
庙	m	ie	[6]			
谬	m	ie	[6]			
面	m	ie	[6]			
密	m	ie	[8]			
蜜	m	ie	[8]			
默	m	ie	[8]			
灭	m	ie	[8]			
觅	m	ie	[8]			
颠	t	ie	[1]			
癫	t	ie	[1]			
跌	t	ie	[7]			
天	tʰ	ie	[1]			
铁	tʰ	ie	[7]			
田	d	ie	[2]			
佃	d	ie	[2]			
填	d	ie	[2]			
钱	d	ie	[2]	白读	又写作钿	
电	d	ie	[6]			
殿	d	ie	[6]			
连	l	ie	[2]			
莲	l	ie	[2]			
廉	l	ie	[2]			
镰	l	ie	[2]			
恋	l	ie	[2]			
帘	l	ie	[2]			
联	l	ie	[2]			
脸	l	ie	[4]			
敛	l	ie	[4]			
练	l	ie	[6]			
炼	l	ie	[6]			
鍊	l	ie	[6]			
立	l	ie	[8]			
笠	l	ie	[8]			
列	l	ie	[8]			
烈	l	ie	[8]			
裂	l	ie	[8]			
例	l	ie	[8]			
律	l	ie	[8]			
率	l	ie	[8]	效～		
肩	tɕ	ie	[1]			
坚	tɕ	ie	[1]			
尖	tɕ	ie	[1]			
煎	tɕ	ie	[1]			
兼	tɕ	ie	[1]			
沾	tɕ	ie	[1]			
遮	tɕ	ie	[1]			
剪	tɕ	ie	[3]			
茧	tɕ	ie	[3]			
检	tɕ	ie	[3]			
展	tɕ	ie	[3]			
拣	tɕ	ie	[3]	文读		
见	tɕ	ie	[5]			
剑	tɕ	ie	[5]			
建	tɕ	ie	[5]			
箭	tɕ	ie	[5]			
荐	tɕ	ie	[5]			
战	tɕ	ie	[5]			
荐	tɕ	ie	[5]			
溅	tɕ	ie	[5]			
节	tɕ	ie	[7]			
结	tɕ	ie	[7]			
洁	tɕ	ie	[7]			
接	tɕ	ie	[7]			
哲	tɕ	ie	[7]			
折	tɕ	ie	[7]			
击	tɕ	ie	[7]			
即	tɕ	ie	[7]			
揭	tɕ	ie	[7]			
激	tɕ	ie	[7]			
急	tɕ	ie	[7]			
级	tɕ	ie	[7]			
吉	tɕ	ie	[7]			
扁	tɕ	ie	[7]			
给	tɕ	ie	[7]			
千	tɕʰ	ie	[1]			
迁	tɕʰ	ie	[1]			
歼	tɕʰ	ie	[1]			
牵	tɕʰ	ie	[1]			
签	tɕʰ	ie	[1]			
笺	tɕʰ	ie	[1]			
谦	tɕʰ	ie	[1]			
浅	tɕʰ	ie	[3]			
歉	tɕʰ	ie	[3]			
欠	tɕʰ	ie	[5]			
彻	tɕʰ	ie	[7]			
撤	tɕʰ	ie	[7]			
切	tɕʰ	ie	[7]			
窃	tɕʰ	ie	[7]			
妾	tɕʰ	ie	[7]			
泣	tɕʰ	ie	[7]			
屈	tɕʰ	ie	[7]			
钱	dʑ	ie	[2]	文读		
钳	dʑ	ie	[2]			
乾	dʑ	ie	[2]	～坤		
虔	dʑ	ie	[2]			
件	dʑ	ie	[4]			
俭	dʑ	ie	[4]			
缠	dʑ	ie	[6]			
健	dʑ	ie	[6]			
键	dʑ	ie	[6]			
践	dʑ	ie	[6]			
杰	dʑ	ie	[8]			
剧	dʑ	ie	[8]			
及	dʑ	ie	[8]			
掘	dʑ	ie	[8]			
年	ȵ	ie	[2]			
染	ȵ	ie	[4]			
碾	ȵ	ie	[4]			
热	ȵ	ie	[6]			
业	ȵ	ie	[6]			
逆	ȵ	ie	[6]			
日	ȵ	ie	[6]	生～		
先	ɕ	ie	[1]			
仙	ɕ	ie	[1]			
鲜	ɕ	ie	[1]			
险	ɕ	ie	[3]			
癣	ɕ	ie	[3]			
显	ɕ	ie	[3]			
扇	ɕ	ie	[5]			
线	ɕ	ie	[5]			
宪	ɕ	ie	[5]			
苑	ɕ	ie	[5]			
献	ɕ	ie	[5]			
歇	ɕ	ie	[7]			
吸	ɕ	ie	[7]			
延	ɦ	ie	[2]			
然	ɦ	ie	[2]			
燃	ɦ	ie	[2]			
蝉	ɦ	ie	[2]			
前	ɦ	ie	[2]			
贤	ɦ	ie	[2]			
盐	ɦ	ie	[2]			
阎	ɦ	ie	[2]			
檐	ɦ	ie	[2]			
善	ɦ	ie	[4]			
演	ɦ	ie	[4]			
渐	ɦ	ie	[6]			
现	ɦ	ie	[6]			
贱	ɦ	ie	[6]			
腌	ɦ	ie	[6]			
舌	ɦ	ie	[8]			
涉	ɦ	ie	[8]			
截	ɦ	ie	[8]			
协	ɦ	ie	[8]			
叶	ɦ	ie	[8]			
页	ɦ	ie	[8]			
烟	ˀ	ie	[1]			
淹	ˀ	ie	[3]			
掩	ˀ	ie	[3]			
燕	ˀ	ie	[3]			
宴	ˀ	ie	[3]			
厌	ˀ	ie	[5]			
噎	ˀ	ie	[7]			
一	ˀ	ie	[7]			
乙	ˀ	ie	[7]			
保	p	ɛ	[3]			
堡	p	ɛ	[3]			
宝	p	ɛ	[3]			
报	p	ɛ	[5]			
剖	pʰ	ɛ	[3]			
袍	b	ɛ	[2]			
暴	b	ɛ	[2]			
爆	b	ɛ	[2]			
抱	b	ɛ	[4]			
毛	m	ɛ	[2]			
谋	m	ɛ	[2]			
亩	m	ɛ	[4]			
冒	m	ɛ	[6]			
帽	m	ɛ	[6]			
茂	m	ɛ	[6]			
贸	m	ɛ	[6]			
否	f	ɛ	[3]			
浮	v	ɛ	[2]	文读		
物	v	ɛ	[8]			
刀	t	ɛ	[1]			
岛	t	ɛ	[3]			
捣	t	ɛ	[3]			
倒	t	ɛ	[3]	打～		
倒	t	ɛ	[5]	～水		
到	t	ɛ	[5]			
滔	tʰ	ɛ	[1]			
讨	tʰ	ɛ	[3]			
套	tʰ	ɛ	[5]			
逃	d	ɛ	[2]			
陶	d	ɛ	[2]			
道	d	ɛ	[4]			
稻	d	ɛ	[4]			
盗	d	ɛ	[6]			
导	d	ɛ	[6]			
掏	d	ɛ	[6]			
脑	n	ɛ	[4]			
恼	n	ɛ	[4]			
瑙	n	ɛ	[4]	玛～		
劳	l	ɛ	[2]			
牢	l	ɛ	[2]			
老	l	ɛ	[4]			
糟	ts	ɛ	[1]			
遭	ts	ɛ	[1]			
早	ts	ɛ	[3]			
枣	ts	ɛ	[3]			
蚤	ts	ɛ	[3]			
躁	ts	ɛ	[5]			
灶	ts	ɛ	[5]			
汁	ts	ɛ	[7]			
质	ts	ɛ	[7]			
卒	ts	ɛ	[7]			
责	ts	ɛ	[7]			
执	ts	ɛ	[7]			
操	tsʰ	ɛ	[1]	体～		
草	tsʰ	ɛ	[3]			
糙	tsʰ	ɛ	[5]			
七	tsʰ	ɛ	[7]			
漆	tsʰ	ɛ	[7]			
侄	dz	ɛ	[8]			
泽	dz	ɛ	[8]			
择	dz	ɛ	[8]			
骚	s	ɛ	[1]			
嫂	s	ɛ	[3]			
扫	s	ɛ	[5]			
失	s	ɛ	[7]			
湿	s	ɛ	[7]			
室	s	ɛ	[7]			
虱	s	ɛ	[7]			
涩	s	ɛ	[7]			
率	s	ɛ	[7]	～领		
曹	z	ɛ	[2]			
槽	z	ɛ	[2]			
造	z	ɛ	[4]			
皂	z	ɛ	[4]			
十	z	ɛ	[8]			
拾	z	ɛ	[8]			
实	z	ɛ	[8]			
入	z	ɛ	[8]			
集	z	ɛ	[8]			
习	z	ɛ	[8]			
疾	z	ɛ	[8]			
日	z	ɛ	[8]	文读		
高	k	ɛ	[1]			
羔	k	ɛ	[1]			
糕	k	ɛ	[1]			
膏	k	ɛ	[1]			
稿	k	ɛ	[3]			
镐	k	ɛ	[3]			
告	k	ɛ	[5]			
烤	kʰ	ɛ	[1]			
考	kʰ	ɛ	[3]			
靠	kʰ	ɛ	[5]			
熬	ŋ	ɛ	[2]	忍受		
鳌	ŋ	ɛ	[2]			
傲	ŋ	ɛ	[6]			
蒿	h	ɛ	[1]			
好	h	ɛ	[3]			
好	h	ɛ	[5]	爱～		
耗	h	ɛ	[5]			
豪	ɦ	ɛ	[2]			
壕	ɦ	ɛ	[2]			
毫	ɦ	ɛ	[2]			
浩	ɦ	ɛ	[4]			
号	ɦ	ɛ	[6]			
熬	ˀ	ɛ	[1]	烧菜		
袄	ˀ	ɛ	[3]			
奥	ˀ	ɛ	[5]			
懊	ˀ	ɛ	[5]	～悔		
点	t	iɛ	[3]			
典	t	iɛ	[3]			
店	t	iɛ	[5]			
添	f	iɛ	[1]			
舔	f	iɛ	[3]			
甜	d	iɛ	[2]			
良	l	iɛ	[2]			
粮	l	iɛ	[2]			
梁	l	iɛ	[2]			
粱	l	iɛ	[2]			
凉	l	iɛ	[2]			
量	l	iɛ	[2]	衡～		
两	l	iɛ	[4]	斤～		
辆	l	iɛ	[4]			
亮	l	iɛ	[6]			
谅	l	iɛ	[6]			
量	l	iɛ	[6]	重～		
章	tɕ	iɛ	[1]			
樟	tɕ	iɛ	[1]			
障	tɕ	iɛ	[1]			
张	tɕ	iɛ	[1]			
姜	tɕ	iɛ	[1]			
疆	tɕ	iɛ	[1]			
僵	tɕ	iɛ	[1]			
将	tɕ	iɛ	[1]	～军		
蒋	tɕ	iɛ	[3]			
掌	tɕ	iɛ	[3]			
奖	tɕ	iɛ	[3]			
桨	tɕ	iɛ	[3]			
者	tɕ	iɛ	[3]			
涨	tɕ	iɛ	[3]			
长	tɕ	iɛ	[3]	生～		
浆	tɕ	iɛ	[5]			
酱	tɕ	iɛ	[5]			
帐	tɕ	iɛ	[5]			
胀	tɕ	iɛ	[5]			
将	tɕ	iɛ	[5]	大～		
枪	tɕʰ	iɛ	[1]			
昌	tɕʰ	iɛ	[1]			
腔	tɕʰ	iɛ	[1]			
抢	tɕʰ	iɛ	[3]			
厂	tɕʰ	iɛ	[3]			
唱	tɕʰ	iɛ	[5]			
倡	tɕʰ	iɛ	[5]			
畅	tɕʰ	iɛ	[5]			
呛	tɕʰ	iɛ	[5]			
强	dʑ	iɛ	[2]			
场	dʑ	iɛ	[2]			
肠	dʑ	iɛ	[2]			
长	dʑ	iɛ	[2]	～短		
丈	dʑ	iɛ	[4]			
仗	dʑ	iɛ	[4]			
杖	dʑ	iɛ	[4]			
犟	dʑ	iɛ	[4]			
娘	ȵ	iɛ	[2]			
仰	ȵ	iɛ	[4]			
