简体	音標	注释	[1]⁵⁵
艺	ȵi6		
呓	ȵi6		
刈	ȵi6		
诣	ȵi6		
义	ȵi6		
毅	ȵi6		
验	ȵi6		
酽	ȵi6		
碾	ȵi6		
谚	ȵi6		
砚	ȵi6		
聂	ȵi8		
镊	ȵi8		
业	ȵi8		
热	ȵi8		
孽	ȵi8		
昵	ȵi8		
匿	ȵi8		
逆	ȵi8		
日	ȵi8	日头	
□	ɕi0	□儿：小房子	
牺	ɕi1		
嘻	ɕi1		
嬉	ɕi1		
禧	ɕi1		
熙	ɕi1		
希	ɕi1		
稀	ɕi1		
暹	ɕi1		
纤	ɕi1		
锨	ɕi1		
仙	ɕi1		
鲜	ɕi1		
轩	ɕi1		
掀	ɕi1		
先	ɕi1		
沿	ɕi1	边埏：旁边	
埏	ɕi1	边埏：旁边	
喜	ɕi3		
髓	ɕi3		
陕	ɕi3		
险	ɕi3		
鲜	ɕi3		
癣	ɕi3		
显	ɕi3		
系	ɕi5		
戏	ɕi5		
戏	ɕi5		
苋	ɕi5		
线	ɕi5		
扇	ɕi5		
宪	ɕi5		
献	ɕi5		
携	ɕi7		
摄	ɕi7		
胁	ɕi7		
亵	ɕi7		
歇	ɕi7		
蝎	ɕi7		
色	ɕi7	乜色	
个	i0	的、地	
椰	i1		
伊	i1		
医	i1		
依	i1		
衣	i1		
淹	i1		
阉	i1		
焉	i1		
蔫	i1		
烟	i1		
燕	i1		
椅	i3		
掩	i3		
演	i3		
燕	i3		
迆	i3		
缢	i5		
瞖	i5		
意	i5		
厌	i5		
堰	i5		
燕	i5		
咽	i5		
宴	i5		
忆	i5		
亿	i5		
靥	i7		
谒	i7		
噎	i7		
一	i7		
抑	i7		
弋	i7		
渠	ji0	渠弱化	
耶	ji2		
爷	ji2		
兮	ji2		
奚	ji2		
携	ji2		
移	ji2		
懿	ji2		
夷	ji2		
姨	ji2		
怡	ji2		
贻	ji2		
祈	ji2		
渐	ji2		
炎	ji2		
盐	ji2		
阎	ji2		
盐	ji2		
崦	ji2		
涎	ji2		
蝉	ji2		
禅	ji2		
然	ji2		
燃	ji2		
延	ji2		
筵	ji2		
前	ji2		
贤	ji2		
弦	ji2		
沿	ji2		
降	ji2		
冶	ji4		
也	ji4		
野	ji4		
矣	ji4		
已	ji4		
以	ji4		
□	ji4	又…	
染	ji4	文读	
冉	ji4		
单	ji4		
膳	ji4		
夜	ji6		
系	ji6		
系	ji6		
易	ji6		
懿	ji6		
肄	ji6		
异	ji6		
赡	ji6		
檐	ji6		
艳	ji6		
焰	ji6		
盐	ji6		
单	ji6		
践	ji6		
贱	ji6		
羡	ji6		
善	ji6		
擅	ji6		
禅	ji6		
现	ji6		
涉	ji8		
叶	ji8		
协	ji8		
侠	ji8		
挟	ji8		
折	ji8		
舌	ji8		
翼	ji8		
益	ji8		
亦	ji8		
译	ji8		
易	ji8		
液	ji8		
腋	ji8		
呼	fʋ1		
夫	fʋ1		
敷	fʋ1		
俘	fʋ1		
孵	fʋ1		
火	fʋ3		
脯	fʋ3		
虎	fʋ3		
浒	fʋ3		
甫	fʋ3		
斧	fʋ3		
抚	fʋ3		
釜	fʋ3		
辅	fʋ3		
父	fʋ3		
否	fʋ3		
□	fʋ3 	食上生白毛	
货	fʋ5		
戽	fʋ5		
赴	fʋ5		
讣	fʋ5		
腹	fʋ7		
弗	fʋ7		
福	fʋ7		
幅	fʋ7		
蝠	fʋ7		
复	fʋ7		
腹	fʋ7		
覆	fʋ7		
何	vʋ2		
河	vʋ2		
荷	vʋ2		
禾	vʋ2		
和	vʋ2		
乎	vʋ2		
壶	vʋ2		
瓠	vʋ2		
胡	vʋ2		
狐	vʋ2		
湖	vʋ2		
扶	vʋ2		
毋	vʋ2		
无	vʋ2		
伙	vʋ4		
祸	vʋ4		
户	vʋ4		
沪	vʋ4		
舞	vʋ4		
侮	vʋ4		
武	vʋ4		
鹉	vʋ4		
负	vʋ4		
荷	vʋ6		
贺	vʋ6		
和	vʋ6		
互	vʋ6		
护	vʋ6		
瓠	vʋ6		
雾	vʋ6		
务	vʋ6		
彗	vʋ6		
复	vʋ8		
勿	vʋ8		
斛	vʋ8		
服	vʋ8		
伏	vʋ8		
袱	vʋ8		
歌	kʋ1		
哥	kʋ1		
锅	kʋ1		
戈	kʋ1		
辜	kʋ1		
孤	kʋ1		
箍	kʋ1		
姑	kʋ1		
估	kʋ1		
果	kʋ3		
裹	kʋ3		
古	kʋ3		
贾	kʋ3		
股	kʋ3		
鼓	kʋ3		
蛊	kʋ3		
过	kʋ5		
故	kʋ5		
顾	kʋ5		
固	kʋ5		
雇	kʋ5		
谷	kʋ7		
苛	kʰʋ1		
科	kʰʋ1		
棵	kʰʋ1		
窠	kʰʋ1		
颗	kʰʋ1		
枯	kʰʋ1		
苦	kʰʋ3		
课	kʰʋ5		
库	kʰʋ5		
裤	kʰʋ5		
哭	kʰʋ7		
酷	kʰʋ7		
阿	ʋ1	阿胶	
倭	ʋ1		
窝	ʋ1		
乌	ʋ1		
污	ʋ1		
坞	ʋ1		
恶	ʋ1		
巫	ʋ1		
诬	ʋ1		
钨	ʋ1		
涴	ʋ5	屎，涴臀：屁股	
屋	ʋ7		
居	tɕy1		
车	tɕy1		
拘	tɕy1		
驹	tɕy1		
俱	tɕy1		
圭	tɕy1		
闺	tɕy1		
规	tɕy1		
龟	tɕy1		
归	tɕy1	当归	
焦	tɕy1		
椒	tɕy1		
朝	tɕy1		
召	tɕy1		
昭	tɕy1		
招	tɕy1		
骄	tɕy1		
娇	tɕy1		
矫	tɕy1		
浇	tɕy1		
专	tɕy1		
砖	tɕy1		
捐	tɕy1		
涓	tɕy1		
举	tɕy3		
矩	tɕy3		
诡	tɕy3		
轨	tɕy3		
癸	tɕy3		
晷	tɕy3		
愧	tɕy3		
鬼	tɕy3		
剿	tɕy3		
沼	tɕy3		
缴	tɕy3		
转	tɕy3		
卷	tɕy3		
锯	tɕy5		
据	tɕy5		
句	tɕy5		
鳜	tɕy5		
桂	tɕy5		
季	tɕy5		
贵	tɕy5		
照	tɕy5		
诏	tɕy5		
叫	tɕy5		
转	tɕy5		
传	tɕy5		
眷	tɕy5		
卷	tɕy5		
绢	tɕy5		
辍	tɕy7		
拙	tɕy7		
厥	tɕy7		
孓	tɕy7		
阙	tɕy7		
决	tɕy7		
诀	tɕy7		
卒	tɕy7		
绌	tɕy7		
区	tɕʰy1		
驱	tɕʰy1		
锹	tɕʰy1		
缲	tɕʰy1		
瞧	tɕʰy1		
痊	tɕʰy1		
川	tɕʰy1		
穿	tɕʰy1		
圈	tɕʰy1		
圈	tɕʰy1		
揣	tɕʰy3		
喘	tɕʰy3		
舛	tɕʰy3		
犬	tɕʰy3		
去	tɕʰy5		
俏	tɕʰy5		
翘	tɕʰy5		
窍	tɕʰy5		
串	tɕʰy5		
劝	tɕʰy5		
券	tɕʰy5		
缺	tɕʰy7		
出	tɕʰy7		
瘸	dʑy2		
渠	dʑy2		
瞿	dʑy2		
具	dʑy2		
葵	dʑy2		
逵	dʑy2		
夔	dʑy2		
樵	dʑy2		
朝	dʑy2		
潮	dʑy2		
乔	dʑy2		
桥	dʑy2		
轿	dʑy2		
缠	dʑy2		
传	dʑy2		
椽	dʑy2		
权	dʑy2		
拳	dʑy2		
鬈	dʑy2		
巨	dʑy4		
距	dʑy4		
拒	dʑy4		
跪	dʑy4		
揆	dʑy4		
赵	dʑy4		
兆	dʑy4		
肇	dʑy4		
篆	dʑy4		
遽	dʑy6		
惧	dʑy6		
柜	dʑy6		
倦	dʑy6		
拙	dʑy8		
掘	dʑy8		
橛	dʑy8		
倔	dʑy8		
鱼	ȵy2		
渔	ȵy2		
虞	ȵy2		
愚	ȵy2		
娱	ȵy2		
危	ȵy2		
玩	ȵy2		
完	ȵy2	吃完罢	
元	ȵy2		
原	ȵy2		
源	ȵy2		
女	ȵy4		
语	ȵy4		
御	ȵy4		
绕	ȵy4		
软	ȵy4		
阮	ȵy4		
御	ȵy6		
遇	ȵy6		
寓	ȵy6		
伪	ȵy6		
绕	ȵy6		
愿	ȵy6		
月	ȵy8		
墟	ɕy1		
虚	ɕy1		
嘘	ɕy1		
麾	ɕy1		
挥	ɕy1		
辉	ɕy1		
悄	ɕy1		
消	ɕy1		
宵	ɕy1		
霄	ɕy1		
硝	ɕy1		
销	ɕy1		
烧	ɕy1		
嚣	ɕy1		
枵	ɕy1		
箫	ɕy1		
萧	ɕy1		
欢	ɕy1		
宣	ɕy1		
喧	ɕy1		
悬	ɕy1		
昏	ɕy1	黄昏	
婚	ɕy1		
许	ɕy3		
毁	ɕy3		
小	ɕy3		
少	ɕy3		
选	ɕy3		
讳	ɕy5		
卉	ɕy5		
笑	ɕy5		
鞘	ɕy5		
少	ɕy5		
啸	ɕy5		
唤	ɕy5		
焕	ɕy5		
楦	ɕy5		
薛	ɕy7		
雪	ɕy7		
说	ɕy7		
血	ɕy7		
忽	ɕy7		
戌	ɕy7		
恤	ɕy7		
官	ky1		
观	ky1		
冠	ky1		
管	ky3		
馆	ky3		
冠	ky5		
观	ky5		
灌	ky5		
罐	ky5		
贯	ky5		
昆	ky1		
骨	ky7		
棺	ky1	棺材长险：非常长	
捆	kʰy3		
困	kʰy5	睡觉	
窟	kʰy7		
妖	y1		
邀	y1		
腰	y1		
要	y1		
夭	y1		
冤	y1	冤深	
渊	y1		
温	y1		
瘟	y1		
杳	y3		
豌	y3		
碗	y3		
宛	y3		
婉	y3		
要	y5		
怨	y5		
韶	jy2		
摇	jy2		
谣	jy2		
窑	jy2		
姚	jy2		
舀	jy2		
桓	jy2		
完	jy2		
丸	jy2		
纨	jy2		
全	jy2		
泉	jy2		
旋	jy2		
船	jy2		
员	jy2		
圆	jy2		
缘	jy2		
袁	jy2		
园	jy2	田	
援	jy2		
垣	jy2		
悬	jy2		
玄	jy2		
魂	jy2		
扰	jy4		
缓	jy4		
远	jy4		
绍	jy6		
邵	jy6		
饶	jy6		
耀	jy6		
旋	jy6		
旋	jy6		
院	jy6	未有婚嫁的女生	
县	jy6		
眩	jy6		
绝	jy8		
悦	jy8		
阅	jy8		
越	jy8		
曰	jy8		
粤	jy8		
穴	jy8		
术	jy8		
述	jy8		
秫	jy8		
域	jy8		
役	jy8		
疫	jy8		
叭	pa1	喇叭	
爸	pa1		
欛	pa5		
坝	pa5		
坝	pa5		
霸	pa5		
摆	pa5		
不	pa7		
百	pa7		
柏	pa7		
伯	pa7		
迫	pa7	靠近	
□	pʰa1	柚子	
烹	pʰa1		
派	pʰa5		
破	pʰa5		
拍	pʰa7		
魄	pʰa7		
擘	pʰa7	掰	
排	ba2		
牌	ba2		
彭	ba2		
膨	ba2		
踫	ba2	大步迈，跨	
罢	ba4		
蚌	ba4		
稗	ba6		
败	ba6		
珀	ba8		
白	ba8		
帛	ba8		
妈	ma1	妈妈	
□	ma2	□□ma³¹ ȵiɛ²¹嚣张，桀骜不驯的	
埋	ma2		
盲	ma2		
萌	ma2		
妈	ma3	妈妈	
买	ma4		
猛	ma4		
卖	ma6		
迈	ma6		
孟	ma6		
埋	ma8	藏	
陌	ma8		
麦	ma8		
脉	ma8		
□	fa0	fʋ ʔa和音，语气词类似于“吗”	
□	fa1	软烂	
淮	va2		
怀	va2		
槐	va2		
横	va2		
坏	va6		
物	va8		
或	va8		
惑	va8		
获	va8		
划	va8		
打	ta3		
戴	ta5		
带	ta5		
拖	tʰa1	鞋拖：拖鞋	
泰	tʰa5		
太	tʰa5		
大	da6	旧称，爸爸	
□	da6	一条地儿	
达	da8		
女	na0	女儿（含贬义），死女儿	
奶	na1	旧称，妈妈	
能	na2	几能：什么时候	
□	na2	占为己有	
乃	na4		
奶	na4	奶	
女	na4	女儿	
耐	na6		
奈	na6		
拉	la1		
拉	la1		
两	la4	两爷儿，两娘儿	
冷	la4		
赖	la6		
癞	la6		
赖	la6		
捋	la8	揉	
□	tsa1	姐姐	
斋	tsa1		
争	tsa1		
睁	tsa1		
争	tsa1	争	
债	tsa5		
□	tsa5	□起：支楞起来	
汁	tsa7		
执	tsa7		
窒	tsa7		
质	tsa7		
择	tsa7		
泽	tsa7		
窄	tsa7		
摘	tsa7		
责	tsa7		
争	tsa7	死争	
只	tsa7		
差	tsʰa1		
钗	tsʰa1		
差	tsʰa1		
撑	tsʰa1		
铛	tsʰa1		
蔡	tsʰa5		
缉	tsʰa7		
辑	tsʰa7		
撮	tsʰa7	摘	
七	tsʰa7		
漆	tsʰa7		
拆	tsʰa7		
策	tsʰa7		
册	tsʰa7		
栅	tsʰa7		
争	dza2	强争	
寨	dza6		
争	dza6		
争	dza6	争吵	
侄	dza8		
秩	dza8		
宅	dza8		
筛	sa1		
摔	sa1		
生	sa1		
牲	sa1		
笙	sa1		
甥	sa1		
洒	sa3		
洒	sa3		
驶	sa3		
省	sa3		
晒	sa5		
帅	sa5		
率	sa5		
率	sa5		
涩	sa7		
湿	sa7		
膝	sa7		
瑟	sa7		
虱	sa7		
失	sa7		
室	sa7		
蟀	sa7		
率	sa7		
狮	sa7	狮子	
皆	ka1		
偕	ka1		
秸	ka1		
街	ka1		
阶	ka1		
街	ka1		
乖	ka1		
庚	ka1		
羹	ka1		
更	ka1		
耕	ka1		
解	ka3		
拐	ka3		
哽	ka3		
耿	ka3		
戒	ka5		
芥	ka5		
尬	ka5		
界	ka5		
介	ka5		
疥	ka5		
届	ka5		
怪	ka5		
更	ka5		
届	ka7	能届：现在	
芥	ka7	芥菜饭	
格	ka7		
革	ka7		
隔	ka7		
虢	ka7		
揩	kʰa1		
铅	kʰa1	铅角：硬币	
坑	kʰa1		
楷	kʰa3		
卡	kʰa3		
蒯	kʰa5		
快	kʰa5		
筷	kʰa5		
客	kʰa7		
茄	ɡa2	西红柿	
鹅	ɡa2	鹅儿	
解	ɡa4	锯	
蚁	ŋa4		
外	ŋa6		
硬	ŋa6		
额	ŋa8		
蟹	ha3		
㧸	ha5	敲打、捶打	
亨	ha5		
赫	ha7		
吓	ha7		
谐	ɦa2		
鞋	ɦa2		
行	ɦa2		
行	ɦa2		
衡	ɦa2		
也	ɦa4		
骇	ɦa4		
解	ɦa4		
杏	ɦa4		
幸	ɦa4		
械	ɦa6		
懈	ɦa6		
阿	a1	张嘴	
挨	a1		
阿	a3	疑问	
唉	a3		
矮	a3		
阿	a5	惊讶	
隘	a5		
阿	a7	阿缀名词	
□	a7	也	
厄	a7		
扼	a7		
轭	a7		
螠	a7	螠儿：小螃蟹	
歪	ʋa1		
哇	ʋa5		
急	tɕia7		
级	tɕia7		
汲	tɕia7		
给	tɕia7		
吉	tɕia7		
诘	tɕia7		
橘	tɕia7		
泣	tɕʰia7		
讫	tɕʰia7		
乞	tɕʰia7		
迄	tɕʰia7		
屈	tɕʰia7		
及	dʑia8		
掘	dʑia8	倔地：耕地，倔人：打人	
曰	ia3		
邑	ia7		
揖	ia7		
一	ia7	～二三四	
乙	ia7		
逸	ja8		
曰	ja8		
褒	pɛ1		
保	pɛ3		
堡	pɛ3		
宝	pɛ3		
报	pɛ5		
剖	pʰɛ1		
袍	bɛ2		
抱	bɛ4		
暴	bɛ6		
毛	mɛ2		
蟊	mɛ2	坏，温州方言志用此字表示	
谋	mɛ2		
矛	mɛ2		
眸	mɛ2		
亩	mɛ4		
冒	mɛ6		
帽	mɛ6		
茂	mɛ6		
戊	mɛ6		
贸	mɛ6		
否	fɛ3		
否	fɛ7		
浮	vɛ2		
阜	vɛ4		
复	vɛ6		
佛	vɛ8		
刀	tɛ1		
叨	tɛ1		
倒	tɛ3		
岛	tɛ3		
祷	tɛ3		
到	tɛ5		
倒	tɛ5		
掏	tʰɛ1		
滔	tʰɛ1		
讨	tʰɛ3		
套	tʰɛ5		
脱	tʰɛ7	脱衣裳	
桃	dɛ2		
逃	dɛ2		
陶	dɛ2		
萄	dɛ2		
涛	dɛ2		
稻	dɛ4		
道	dɛ4		
导	dɛ4		
盗	dɛ6		
夺	dɛ8	抢夺	
脑	nɛ4		
恼	nɛ4		
□	nɛ6	打人的一種方法	
耨	nɛ6		
劳	lɛ2		
捞	lɛ2		
唠	lɛ2		
牢	lɛ2		
老	lɛ4		
笠	lɛ8		
遭	tsɛ1		
糟	tsɛ1		
早	tsɛ3		
枣	tsɛ3		
蚤	tsɛ3		
澡	tsɛ3		
躁	tsɛ5		
灶	tsɛ5		
燥	tsɛ5		
操	tsʰɛ1		
糙	tsʰɛ1		
造	tsʰɛ1		
草	tsʰɛ3		
骚	sɛ1		
臊	sɛ1		
扫	sɛ3		
嫂	sɛ3		
扫	sɛ3		
扫	sɛ5		
曹	zɛ2		
皂	zɛ4		
造	zɛ4		
高	kɛ1		
膏	kɛ1		
羔	kɛ1		
糕	kɛ1		
稿	kɛ3		
告	kɛ5		
烤	kʰɛ1		
考	kʰɛ3		
烤	kʰɛ3		
靠	kʰɛ5		
犒	kʰɛ5		
□	ɡɛ2	灌飲	
靠	ɡɛ6	靠牆	
熬	ŋɛ2		
傲	ŋɛ6		
蒿	hɛ1		
薅	hɛ1		
好	hɛ3		
好	hɛ5		
耗	hɛ5		
豪	ɦɛ2		
毫	ɦɛ2		
号	ɦɛ4		
浩	ɦɛ4		
号	ɦɛ6		
爊	ɛ1		
袄	ɛ3		
懊	ɛ3		
奥	ɛ5		
懊	ɛ5		
□	ɛ5	表示應承	
掂	tiɛ1		
点	tiɛ3		
典	tiɛ3		
店	tiɛ5		
添	tʰiɛ1		
忝	tʰiɛ3		
舔	tʰiɛ3		
忝	tʰiɛ5		
甜	diɛ2		
垫	diɛ6		
良	liɛ2		
凉	liɛ2		
量	liɛ2		
粮	liɛ2		
梁	liɛ2		
粱	liɛ2		
两	liɛ4	量词	
亮	liɛ6		
辆	liɛ6		
量	liɛ6		
谅	liɛ6		
掠	liɛ8		
略	liɛ8		
将	tɕiɛ1		
浆	tɕiɛ1		
张	tɕiɛ1		
樟	tɕiɛ1		
疆	tɕiɛ1		
僵	tɕiɛ1		
姜	tɕiɛ1		
姜	tɕiɛ1		
蒋	tɕiɛ3		
桨	tɕiɛ3		
奖	tɕiɛ3		
长	tɕiɛ3		
章	tɕiɛ3		
掌	tɕiɛ3		
将	tɕiɛ5		
酱	tɕiɛ5		
涨	tɕiɛ5		
帐	tɕiɛ5		
账	tɕiɛ5		
胀	tɕiɛ5		
丈	tɕiɛ5		
杖	tɕiɛ5		
仗	tɕiɛ5		
障	tɕiɛ5		
枪	tɕʰiɛ1		
昌	tɕʰiɛ1		
羌	tɕʰiɛ1		
腔	tɕʰiɛ1		
抢	tɕʰiɛ3		
倡	tɕʰiɛ3		
厂	tɕʰiɛ3		
响	tɕʰiɛ3		
畅	tɕʰiɛ5		
怅	tɕʰiɛ5		
唱	tɕʰiɛ5		
倡	tɕʰiɛ5		
长	dʑiɛ2		
肠	dʑiɛ2		
场	dʑiɛ2		
常	dʑiɛ2		
强	dʑiɛ2		
强	dʑiɛ4		
娘	ȵiɛ1	對於，姑姑的稱呼	
拈	ȵiɛ2		
鲶	ȵiɛ2		
娘	ȵiɛ2		
瓤	ȵiɛ2	瓤兒：果核	
娘	ȵiɛ2	對於，奶奶的稱呼	
乜	ȵiɛ2		
仰	ȵiɛ4		
念	ȵiɛ6		
酿	ȵiɛ6		
壤	ȵiɛ6		
攘	ȵiɛ6		
让	ȵiɛ6		
廿	ȵiɛ6		
娘	ȵiɛ8	對於，阿姨的稱呼	
相	ɕiɛ1		
厢	ɕiɛ1		
镶	ɕiɛ1		
箱	ɕiɛ1		
襄	ɕiɛ1		
商	ɕiɛ1		
伤	ɕiɛ1		
瓤	ɕiɛ1		
香	ɕiɛ1		
乡	ɕiɛ1		
想	ɕiɛ3		
鲞	ɕiɛ3	鰻鯗	
赏	ɕiɛ3		
饷	ɕiɛ3		
享	ɕiɛ3		
相	ɕiɛ5		
向	ɕiɛ5		
央	iɛ1		
秧	iɛ1		
殃	iɛ1		
胦	iɛ1		
鉠	iɛ1		
鸯	iɛ1		
样	iɛ5		
□	iɛ7	衣裳和音	
墙	jɛ2		
戕	jɛ2		
详	jɛ2		
祥	jɛ2		
常	jɛ2		
尝	jɛ2		
偿	jɛ2		
裳	jɛ2		
羊	jɛ2		
洋	jɛ2		
杨	jɛ2		
扬	jɛ2		
阳	jɛ2		
烊	jɛ2	融化	
像	jɛ4		
象	jɛ4		
上	jɛ4		
养	jɛ4		
痒	jɛ4		
匠	jɛ6		
尚	jɛ6		
上	jɛ6		
嚷	jɛ6		
样	jɛ6		
恙	jɛ6		
嫑	fe1	不愛合音	
耽	te1		
答	te7		
胎	tʰe1		
台	tʰe1		
贪	tʰe1		
态	tʰe5		
贷	tʰe5		
探	tʰe5		
忒	tʰe7		
