繁體	简体	吳拼	備註
支	支	tsɿ⁵³	
枝	枝	tsɿ⁵³	
肢	肢	tsɿ⁵³	
吱	吱	tsɿ⁵³	
衼	衼	tsɿ⁵³	
鳷	𫛛	tsɿ⁵³	
資	资	tsɿ⁵³	
貲	资	tsɿ⁵³	
姿	姿	tsɿ⁵³	
咨	咨	tsɿ⁵³	
諮	咨	tsɿ⁵³	
趦	趦	tsɿ⁵³	
粢	粢	tsɿ⁵³	
脂	脂	tsɿ⁵³	
甾	甾	tsɿ⁵³	古同「淄」
菑	菑	tsɿ⁵³	
鯔	鲻	tsɿ⁵³	
緇	缁	tsɿ⁵³	
輜	辎	tsɿ⁵³	
淄	淄	tsɿ⁵³	
㿳	㿳	tsɿ⁵³	黑㿳㿳
錙	锱	tsɿ⁵³	
湽	湽	tsɿ⁵³	
葘	葘	tsɿ⁵³	
輺	輺	tsɿ⁵³	
鍿	鍿	tsɿ⁵³	
茲	兹	tsɿ⁵³	
兹	兹	tsɿ⁵³	
滋	滋	tsɿ⁵³	
嗞	嗞	tsɿ⁵³	
嵫	嵫	tsɿ⁵³	
鰦	𫚤	tsɿ⁵³	
滓	滓	tsɿ⁵³	
幟	帜	tsɿ⁵³	
孳	孳	tsɿ⁵³	
之	之	tsɿ⁵³	
芝	芝	tsɿ⁵³	
卮	卮	tsɿ⁵³	
巵	巵	tsɿ⁵³	
栀	栀	tsɿ⁵³	
梔	栀	tsɿ⁵³	
孜	孜	tsɿ⁵³	
窒	窒	tsɿ⁵³	
膣	膣	tsɿ⁵³	
氏	氏	tsɿ⁵³	「閼氏」「月氏」
胝	胝	tsɿ⁵³	
祗	祗	tsɿ⁵³	
疷	疷	tsɿ⁵³	
秪	秪	tsɿ⁵³	
秖	祇	tsɿ⁵³	古同「祇」
眦	眦	tsɿ⁵³	
眥	眦	tsɿ⁵³	
髭	髭	tsɿ⁵³	
頾	頾	tsɿ⁵³	
頿	頿	tsɿ⁵³	
鮆	𫚖	tsɿ⁵³	
呲	呲	tsɿ⁵³	
齜	龇	tsɿ⁵³	
孖	孖	tsɿ⁵³	
鼒	鼒	tsɿ⁵³	
鎡	镃	tsɿ⁵³	
黹	黹	tsɿ⁵³	
齍	齍	tsɿ⁵³	
厜	厜	tsɿ⁵³	
鄑	鄑	tsɿ⁵³	
榰	榰	tsɿ⁵³	
胑	胑	tsɿ⁵³	
瓻	瓻	tsɿ⁵³	
癡	痴	tsɿ⁵³	「假癡假呆」中，「癡」快讀時有時讀成[tsɿ53]
痴	痴	tsɿ⁵³	「假癡假呆」中，「癡」快讀時有時讀成[tsɿ53]
稵	稵	tsɿ⁵³	
姕	姕	tsɿ⁵³	
媊	媊	tsɿ⁵³	
嫢	嫢	tsɿ⁵³	
纗	𫄹	tsɿ⁵³	
鴜	𪉈	tsɿ⁵³	
澬	𫞚	tsɿ⁵³	
蒫	蒫	tsɿ⁵³	
汥	汥	tsɿ⁵³	
疻	疻	tsɿ⁵³	
禔	禔	tsɿ⁵³	
馶	馶	tsɿ⁵³	
臸	臸	tsɿ⁵³	
栺	栺	tsɿ⁵³	
汦	汦	tsɿ⁵³	
鴲	𪉆	tsɿ⁵³	
椔	椔	tsɿ⁵³	
鶅	鶅	tsɿ⁵³	
煮	煮	tsɿ³⁵	
煑	煮	tsɿ³⁵	
翥	翥	tsɿ³⁵	
止	止	tsɿ³⁵	
趾	趾	tsɿ³⁵	
址	址	tsɿ³⁵	
阯	址	tsɿ³⁵	
芷	芷	tsɿ³⁵	
沚	沚	tsɿ³⁵	
子	子	tsɿ³⁵	
仔	仔	tsɿ³⁵	
籽	籽	tsɿ³⁵	
耔	耔	tsɿ³⁵	
虸	虸	tsɿ³⁵	
紫	紫	tsɿ³⁵	
旨	旨	tsɿ³⁵	
指	指	tsɿ³⁵	
酯	酯	tsɿ³⁵	化學用字
紙	纸	tsɿ³⁵	
帋	纸	tsɿ³⁵	
梓	梓	tsɿ³⁵	
只	只	tsɿ³⁵	只有
祇	只	tsɿ³⁵	只有
咫	咫	tsɿ³⁵	
枳	枳	tsɿ³⁵	
軹	轵	tsɿ³⁵	
夂	夂	tsɿ³⁵	
齒	齿	tsɿ³⁵	牙齒
歯	齿	tsɿ³⁵	牙齒
鼠	鼠	tsɿ³⁵	限於「老鼠」「黃鼠狼」等
笫	笫	tsɿ³⁵	
胏	胏	tsɿ³⁵	
訾	訾	tsɿ³⁵	
徵	徵	tsɿ³⁵	五音之一
徴	徴	tsɿ³⁵	五音之一
茈	茈	tsɿ³⁵	
詝	詝	tsɿ³⁵	
呰	呰	tsɿ³⁵	
訿	訿	tsɿ³⁵	
杍	杍	tsɿ³⁵	
坁	坁	tsɿ³⁵	
扺	扺	tsɿ³⁵	
抧	抧	tsɿ³⁵	
恉	恉	tsɿ³⁵	
茋	茋	tsɿ³⁵	
飳	飳	tsɿ³⁵	又音 僅限於「窩飳」
啙	啙	tsɿ³⁵	
恀	恀	tsɿ³⁵	
汦	汦	tsɿ³⁵	
厎	厎	tsɿ³⁵	
洔	洔	tsɿ³⁵	
茝	茝	tsɿ³⁵	
至	至	tsɿ⁴⁴	
致	致	tsɿ⁴⁴	
緻	致	tsɿ⁴⁴	
輊	轾	tsɿ⁴⁴	
識	识	tsɿ⁴⁴	標識
熾	炽	tsɿ⁴⁴	
志	志	tsɿ⁴⁴	
誌	志	tsɿ⁴⁴	
痣	痣	tsɿ⁴⁴	
摯	挚	tsɿ⁴⁴	
贄	贽	tsɿ⁴⁴	
鷙	鸷	tsɿ⁴⁴	
質	质	tsɿ⁴⁴	
觶	觯	tsɿ⁴⁴	
躓	踬	tsɿ⁴⁴	
胾	胾	tsɿ⁴⁴	
啻	啻	tsɿ⁴⁴	
𢴨	𢴨	tsɿ⁴⁴	
懥	懥	tsɿ⁴⁴	
恣	恣	tsɿ⁴⁴	
娡	娡	tsɿ⁴⁴	
倳	倳	tsɿ⁴⁴	
剚	剚	tsɿ⁴⁴	
杘	杘	tsɿ⁴⁴	
駤	𫘠	tsɿ⁴⁴	
騺	騺	tsɿ⁴⁴	
寘	寘	tsɿ⁴⁴	
忮	忮	tsɿ⁴⁴	
伿	伿	tsɿ⁴⁴	
礩	礩	tsɿ⁴⁴	
鴲	𪉆	tsɿ⁴⁴	
椔	椔	tsɿ⁴⁴	
鶅	鶅	tsɿ⁴⁴	
懫	懫	tsɿ⁴⁴	
嗤	嗤	tsʰɿ⁵³	
差	差	tsʰɿ⁵³	參差
鈭	鈭	tsʰɿ⁵³	
趑	趑	tsʰɿ⁵³	
蠀	𧏗	tsʰɿ⁵³	
趀	趀	tsʰɿ⁵³	
妛	妛	tsʰɿ⁵³	
胵	胵	tsʰɿ⁵³	
鵄	鵄	tsʰɿ⁵³	
姕	姕	tsʰɿ⁵³	
胔	胔	tsʰɿ⁵³	
訵	訵	tsʰɿ⁵³	
辴	辴	tsʰɿ⁵³	
此	此	tsʰɿ³⁵	
雌	雌	tsʰɿ³⁵	
齒	齿	tsʰɿ³⁵	齒輪
歯	齿	tsʰɿ³⁵	齒輪
疵	疵	tsʰɿ³⁵	
跐	跐	tsʰɿ³⁵	
泚	泚	tsʰɿ³⁵	
㧗	㧗	tsʰɿ³⁵	
玼	玼	tsʰɿ³⁵	
佌	佌	tsʰɿ³⁵	
垑	垑	tsʰɿ³⁵	
袳	袳	tsʰɿ³⁵	
欼	欼	tsʰɿ³⁵	
侈	侈	tsʰɿ³⁵	
姼	姼	tsʰɿ³⁵	
恀	恀	tsʰɿ³⁵	
懘	懘	tsʰɿ³⁵	
袲	袲	tsʰɿ³⁵	
誃	誃	tsʰɿ³⁵	
鉹	鉹	tsʰɿ³⁵	
次	次	tsʰɿ⁴⁴	
粢	粢	tsʰɿ⁴⁴	粢飯
刺	刺	tsʰɿ⁴⁴	
莿	莿	tsʰɿ⁴⁴	
蛓	蛓	tsʰɿ⁴⁴	
翅	翅	tsʰɿ⁴⁴	
翄	翅	tsʰɿ⁴⁴	
廁	厕	tsʰɿ⁴⁴	
厠	厕	tsʰɿ⁴⁴	
庛	庛	tsʰɿ⁴⁴	
朿	朿	tsʰɿ⁴⁴	
螆	螆	tsʰɿ⁴⁴	
佽	佽	tsʰɿ⁴⁴	
絘	絘	tsʰɿ⁴⁴	
糦	糦	tsʰɿ⁴⁴	
饎	饎	tsʰɿ⁴⁴	
痓	痓	tsʰɿ⁴⁴	
㓨	刾	tsʰɿ⁴⁴	
訵	訵	tsʰɿ⁴⁴	
誺	𫍧	tsʰɿ⁴⁴	
跮	跮	tsʰɿ⁴⁴	
瓷	瓷	dzɿ²⁴	
茨	茨	dzɿ²⁴	
兹	兹	dzɿ²⁴	
茲	兹	dzɿ²⁴	
磁	磁	dzɿ²⁴	
慈	慈	dzɿ²⁴	
鶿	鹚	dzɿ²⁴	
鷀	鹚	dzɿ²⁴	
辭	辞	dzɿ²⁴	
辤	辞	dzɿ²⁴	
辝	辝	dzɿ²⁴	
詞	词	dzɿ²⁴	
祠	祠	dzɿ²⁴	
濨	濨	dzɿ²⁴	
礠	礠	dzɿ²⁴	
飺	飺	dzɿ²⁴	
薋	薋	dzɿ²⁴	
柌	柌	dzɿ²⁴	
胔	胔	dzɿ²⁴	
骴	骴	dzɿ²⁴	
鴜	𪉈	dzɿ²⁴	
垐	垐	dzɿ²⁴	
澬	𫞚	dzɿ²⁴	
齹	齹	dzɿ²⁴	
遲	迟	dzɿ²⁴	新讀
遅	迟	dzɿ²⁴	新讀
墀	墀	dzɿ²⁴	新讀
蚳	蚳	dzɿ²⁴	新讀
持	持	dzɿ²⁴	新讀
池	池	dzɿ²⁴	新讀
馳	驰	dzɿ²⁴	新讀
嗣	嗣	dzɿ²⁴	
篪	篪	dzɿ²⁴	新讀
踟	踟	dzɿ²⁴	新讀
彽	彽	dzɿ²⁴	新讀
泜	泜	dzɿ²⁴	新讀
貾	貾	dzɿ²⁴	新讀
阺	阺	dzɿ²⁴	新讀
岻	岻	dzɿ²⁴	新讀
謘	謘	dzɿ²⁴	新讀
遟	遟	dzɿ²⁴	新讀
攺	攺	dzɿ²¹³	
洍	洍	dzɿ²¹³	
褫	褫	dzɿ²¹³	新讀
峙	峙	dzɿ²¹³	新讀
恃	恃	dzɿ²¹³	
痔	痔	dzɿ²¹³	新讀
跱	跱	dzɿ²¹³	新讀
豸	豸	dzɿ²¹³	新讀
雉	雉	dzɿ²¹³	新讀
廌	廌	dzɿ²¹³	新讀
滍	滍	dzɿ²¹³	新讀
庤	庤	dzɿ²¹³	新讀
歭	歭	dzɿ²¹³	新讀
洔	洔	dzɿ²¹³	新讀
秲	秲	dzɿ²¹³	新讀
稚	稚	dzɿ²¹³	幼稚園
稺	稚	dzɿ²¹³	幼稚園
穉	稚	dzɿ²¹³	幼稚園
滯	滞	dzɿ²¹³	新讀
彘	彘	dzɿ²¹³	新讀
飼	饲	dzɿ²¹³	
飤	饲	dzɿ²¹³	
伺	伺	dzɿ²¹³	
髊	髊	dzɿ²¹³	
芓	芓	dzɿ²¹³	
茡	茡	dzɿ²¹³	
胔	胔	dzɿ²¹³	
骴	骴	dzɿ²¹³	
謘	謘	dzɿ²¹³	新讀
遟	遟	dzɿ²¹³	新讀
師	师	sɿ⁵³	
獅	狮	sɿ⁵³	
篩	筛	sɿ⁵³	
螄	蛳	sɿ⁵³	
鶳	鶳	sɿ⁵³	
溮	浉	sɿ⁵³	
蓍	蓍	sɿ⁵³	
詩	诗	sɿ⁵³	
絲	丝	sɿ⁵³	
鷥	鸶	sɿ⁵³	
噝	咝	sɿ⁵³	
思	思	sɿ⁵³	
緦	缌	sɿ⁵³	
偲	偲	sɿ⁵³	
鍶	锶	sɿ⁵³	化學元素
楒	楒	sɿ⁵³	
罳	罳	sɿ⁵³	
𥯨	𥯨	sɿ⁵³	
騦	騦	sɿ⁵³	
颸	飔	sɿ⁵³	
司	司	sɿ⁵³	
笥	笥	sɿ⁵³	土笥
呞	呞	sɿ⁵³	
泀	泀	sɿ⁵³	
屍	尸	sɿ⁵³	
尸	尸	sɿ⁵³	
鳲	鸤	sɿ⁵³	
施	施	sɿ⁵³	
箷	箷	sɿ⁵³	
𪓿	𪓿	sɿ⁵³	
禠	禠	sɿ⁵³	
厶	厶	sɿ⁵³	
私	私	sɿ⁵³	
俬	私	sɿ⁵³	
斯	斯	sɿ⁵³	
撕	撕	sɿ⁵³	
嘶	嘶	sɿ⁵³	
廝	厮	sɿ⁵³	
厮	厮	sɿ⁵³	
釃	酾	sɿ⁵³	
恖	恖	sɿ⁵³	
禗	禗	sɿ⁵³	
蕬	蕬	sɿ⁵³	
凘	凘	sɿ⁵³	
榹	榹	sɿ⁵³	
燍	燍	sɿ⁵³	
磃	磃	sɿ⁵³	
虒	虒	sɿ⁵³	
蜤	蜤	sɿ⁵³	
蟴	蟴	sɿ⁵³	
鋖	鋖	sɿ⁵³	
絁	𫄟	sɿ⁵³	
葹	葹	sɿ⁵³	
邿	邿	sɿ⁵³	
蒒	蒒	sɿ⁵³	
鰤	𫚕	sɿ⁵³	
覗	覗	sɿ⁵³	
傂	傂	sɿ⁵³	
螔	螔	sɿ⁵³	
謕	謕	sɿ⁵³	
鐁	鐁	sɿ⁵³	
鼶	鼶	sɿ⁵³	
鍦	鍦	sɿ⁵³	
鸍	鸍	sɿ⁵³	
齝	齝	sɿ⁵³	
欐	𪲔	sɿ⁵³	
籭	籭	sɿ⁵³	
襹	襹	sɿ⁵³	
始	始	sɿ³⁵	
𦰯	𦰯	sɿ³⁵	
史	史	sɿ³⁵	
使	使	sɿ³⁵	
駛	驶	sɿ³⁵	
鉂	鉂	sɿ³⁵	
死	死	sɿ³⁵	文讀
梳	梳	sɿ³⁵	白讀 梳頭
矢	矢	sɿ³⁵	
豕	豕	sɿ³⁵	
屎	屎	sɿ³⁵	
弛	弛	sɿ³⁵	
阤	阤	sɿ³⁵	
諰	𫍰	sɿ³⁵	
矖	矖	sɿ³⁵	
躧	躧	sɿ³⁵	
籔	䉤	sɿ³⁵	
賜	赐	sɿ⁴⁴	
澌	澌	sɿ⁴⁴	
四	四	sɿ⁴⁴	
亖	四	sɿ⁴⁴	
𦉭	四	sɿ⁴⁴	
泗	泗	sɿ⁴⁴	
駟	驷	sɿ⁴⁴	
肆	肆	sɿ⁴⁴	
試	试	sɿ⁴⁴	
弑	弑	sɿ⁴⁴	
弒	弑	sɿ⁴⁴	
㳏	㳏	sɿ⁴⁴	
儩	儩	sɿ⁴⁴	
杫	杫	sɿ⁴⁴	
柶	柶	sɿ⁴⁴	
牭	牭	sɿ⁴⁴	
肂	肂	sɿ⁴⁴	
蕼	蕼	sɿ⁴⁴	
僿	僿	sɿ⁴⁴	
時	时	sɿ⁴⁴	僅限於「日長時久」
旹	时	sɿ⁴⁴	僅限於「日長時久」
覗	覗	sɿ⁴⁴	
卶	卶	sɿ⁴⁴	
翨	翨	sɿ⁴⁴	
鍦	鍦	sɿ⁴⁴	
馶	馶	sɿ⁴⁴	
襹	襹	sɿ⁴⁴	
時	时	zɿ²⁴	
旹	时	zɿ²⁴	
鰣	鲥	zɿ²⁴	
塒	埘	zɿ²⁴	
蒔	莳	zɿ²⁴	
榯	榯	zɿ²⁴	
溡	𪶄	zɿ²⁴	
鼭	鼭	zɿ²⁴	
匙	匙	zɿ²⁴	
㖷	㖷	zɿ²⁴	
鶗	𫛸	zɿ²⁴	
鋤	锄	zɿ²⁴	白讀
耡	锄	zɿ²⁴	白讀
鉏	锄	zɿ²⁴	白讀
餈	糍	zɿ²⁴	𩞁餈
糍	糍	zɿ²⁴	𩞁餈
𩝐	𩝐	zɿ²⁴	同「糍」
俟	俟	zɿ²⁴	
竢	俟	zɿ²⁴	
氏	氏	zɿ²⁴	
似	似	zɿ²⁴	
佀	似	zɿ²⁴	
祀	祀	zɿ²⁴	
禩	祀	zɿ²⁴	
視	视	zɿ²⁴	
眡	视	zɿ²⁴	
眎	视	zɿ²⁴	
侍	侍	zɿ²⁴	
逝	逝	zɿ²⁴	
嗜	嗜	zɿ²⁴	
誓	誓	zɿ²⁴	
茌	茌	zɿ²⁴	
如	如	zɿ²⁴	「譬如」及「譬如勿得」快讀时，「如」有時讀成[zɿ˨˦]
姼	姼	zɿ²⁴	
忯	忯	zɿ²⁴	
眂	眂	zɿ²⁴	
禔	禔	zɿ²⁴	
峕	峕	zɿ²⁴	
示	示	zɿ²¹³	
礻	礻	zɿ²¹³	
士	士	zɿ²¹³	
仕	仕	zɿ²¹³	
市	市	zɿ²¹³	
鈰	铈	zɿ²¹³	化學元素
涘	涘	zɿ²¹³	
諟	諟	zɿ²¹³	
舐	舐	zɿ²¹³	
姒	姒	zɿ²¹³	
巳	巳	zɿ²¹³	
汜	汜	zɿ²¹³	
兕	兕	zɿ²¹³	
柿	柿	zɿ²¹³	
柹	柿	zɿ²¹³	
𣏕	𣏕	zɿ²¹³	同「柿」
枾	枾	zɿ²¹³	
是	是	zɿ²¹³	
昰	是	zɿ²¹³	
耜	耜	zɿ²¹³	
戺	戺	zɿ²¹³	
泤	泤	zɿ²¹³	
鈶	鈶	zɿ²¹³	
舓	舓	zɿ²¹³	
姼	姼	zɿ²¹³	
媞	媞	zɿ²¹³	
徥	徥	zɿ²¹³	
恀	恀	zɿ²¹³	
褆	褆	zɿ²¹³	
羠	羠	zɿ²¹³	
字	字	zɿ²¹³	
牸	牸	zɿ²¹³	
事	事	zɿ²¹³	
亊	事	zɿ²¹³	
自	自	zɿ²¹³	文讀
祠	祠	zɿ²¹³	祠堂
寺	寺	zɿ²¹³	
豉	豉	zɿ²¹³	豆豉
筮	筮	zɿ²¹³	
噬	噬	zɿ²¹³	
謚	谥	zɿ²¹³	
諡	谥	zɿ²¹³	
食	食	zɿ²¹³	
澨	澨	zɿ²¹³	
簭	簭	zɿ²¹³	
觢	觢	zɿ²¹³	
遾	遾	zɿ²¹³	
孠	孠	zɿ²¹³	
豎	竖	zɿ²¹³	「橫豎」的「豎」快讀時常讀成[zɿ˨˩˧]
竪	竖	zɿ²¹³	「橫豎」的「豎」快讀時常讀成[zɿ˨˩˧]
慈	慈	zɿ²¹³	又音 僅限於「粉慈慈」
秲	秲	zɿ²¹³	
眂	眂	zɿ²¹³	
醏	醏	zɿ²¹³	
支	支	tsʮ⁵³	量詞
枝	枝	tsʮ⁵³	量詞
朱	朱	tsʮ⁵³	
硃	硃	tsʮ⁵³	
誅	诛	tsʮ⁵³	
蛛	蛛	tsʮ⁵³	
株	株	tsʮ⁵³	
珠	珠	tsʮ⁵³	
侏	侏	tsʮ⁵³	短侏侏
袾	袾	tsʮ⁵³	
銖	铢	tsʮ⁵³	
邾	邾	tsʮ⁵³	
茱	茱	tsʮ⁵³	
洙	洙	tsʮ⁵³	
玍	玍	tsʮ⁵³	俗字，玍掃帚，「生」字不出頭，表示禿義
知	知	tsʮ⁵³	
蜘	蜘	tsʮ⁵³	
智	智	tsʮ⁵³	
䝷	䝷	tsʮ⁵³	
炷	炷	tsʮ⁵³	
諸	诸	tsʮ⁵³	
瀦	潴	tsʮ⁵³	
褚	褚	tsʮ⁵³	
渚	渚	tsʮ⁵³	
櫫	橥	tsʮ⁵³	
且	且	tsʮ⁵³	文言助詞
岨	岨	tsʮ⁵³	
苴	苴	tsʮ⁵³	
疽	疽	tsʮ⁵³	
雎	雎	tsʮ⁵³	
沮	沮	tsʮ⁵³	
菹	菹	tsʮ⁵³	
蛆	蛆	tsʮ⁵³	
趄	趄	tsʮ⁵³	
置	置	tsʮ⁵³	
櫧	槠	tsʮ⁵³	
蠩	蠩	tsʮ⁵³	
絑	絑	tsʮ⁵³	
鮢	鮢	tsʮ⁵³	
娵	娵	tsʮ⁵³	
鼅	鼅	tsʮ⁵³	
跦	跦	tsʮ⁵³	
鼄	鼄	tsʮ⁵³	
致	致	tsʮ⁵³	情致
滋	滋	tsʮ⁵³	又音 僅限於「酸滋滋」
癡	痴	tsʮ⁵³	「假癡假呆」中，「癡」快讀時有時讀成[tsʮ53]
痴	痴	tsʮ⁵³	「假癡假呆」中，「癡」快讀時有時讀成[tsʮ53]
咮	咮	tsʮ⁵³	
秼	秼	tsʮ⁵³	
鴸	鴸	tsʮ⁵³	
嗺	嗺	tsʮ⁵³	
藸	藸	tsʮ⁵³	
猪	猪	tsʮ³⁵	
豬	猪	tsʮ³⁵	
主	主	tsʮ³⁵	
飳	飳	tsʮ³⁵	窩飳
麈	麈	tsʮ³⁵	
砫	砫	tsʮ³⁵	
觜	觜	tsʮ³⁵	
嘴	嘴	tsʮ³⁵	
丶	丶	tsʮ³⁵	
咀	咀	tsʮ³⁵	
陼	陼	tsʮ³⁵	
沝	沝	tsʮ³⁵	
宔	宔	tsʮ³⁵	
子	子	tsʮ³⁵	僅限於「釘子」一詞
注	注	tsʮ⁴⁴	
註	注	tsʮ⁴⁴	
拄	拄	tsʮ⁴⁴	
蛀	蛀	tsʮ⁴⁴	
疰	疰	tsʮ⁴⁴	
霔	霔	tsʮ⁴⁴	
㹥	㹥	tsʮ⁴⁴	
跓	跓	tsʮ⁴⁴	
鉒	鉒	tsʮ⁴⁴	
紸	紸	tsʮ⁴⁴	
著	著	tsʮ⁴⁴	著名
鑄	铸	tsʮ⁴⁴	
鋳	铸	tsʮ⁴⁴	
制	制	tsʮ⁴⁴	
製	制	tsʮ⁴⁴	
𦥐	𦥐	tsʮ⁴⁴	𦥐鞋
㨖	㨖	tsʮ⁴⁴	㨖鞋
𩋩	𩋩	tsʮ⁴⁴	𩋩鞋
𡟹	𡟹	tsʮ⁴⁴	
䀸	䀸	tsʮ⁴⁴	
疐	疐	tsʮ⁴⁴	
淛	淛	tsʮ⁴⁴	
狾	狾	tsʮ⁴⁴	
迣	迣	tsʮ⁴⁴	
祩	祩	tsʮ⁴⁴	
馵	馵	tsʮ⁴⁴	
壴	壴	tsʮ⁴⁴	
軴	軴	tsʮ⁴⁴	
窒	窒	tsʮ⁴⁴	堵塞 又音
罜	罜	tsʮ⁴⁴	
潪	潪	tsʮ⁴⁴	
咮	咮	tsʮ⁴⁴	
趨	趋	tsʰʮ⁵³	
痴	痴	tsʰʮ⁵³	
癡	痴	tsʰʮ⁵³	
笞	笞	tsʰʮ⁵³	
魑	魑	tsʰʮ⁵³	
黐	黐	tsʰʮ⁵³	
螭	螭	tsʰʮ⁵³	
蚩	蚩	tsʰʮ⁵³	
嗤	嗤	tsʰʮ⁵³	
𠷣	嗤	tsʰʮ⁵³	
媸	媸	tsʰʮ⁵³	
𡟎	𡟎	tsʰʮ⁵³	
吹	吹	tsʰʮ⁵³	白讀
蛆	蛆	tsʰʮ⁵³	
鴟	鸱	tsʰʮ⁵³	
𩶅	𩶅	tsʰʮ⁵³	
絺	𫄨	tsʰʮ⁵³	
眵	眵	tsʰʮ⁵³	
哆	哆	tsʰʮ⁵³	
攄	摅	tsʰʮ⁵³	
處	处	tsʰʮ⁵³	處暑
砠	砠	tsʰʮ⁵³	
彲	彨	tsʰʮ⁵³	
摛	摛	tsʰʮ⁵³	
摴	摴	tsʰʮ⁵³	
樗	樗	tsʰʮ⁵³	
貙	䝙	tsʰʮ⁵³	
趍	趍	tsʰʮ⁵³	
齝	齝	tsʰʮ⁵³	
誺	𫍧	tsʰʮ⁵³	
筡	筡	tsʰʮ⁵³	
處	处	tsʰʮ³⁵	相處
処	处	tsʰʮ³⁵	相處
鼠	鼠	tsʰʮ³⁵	文讀
癙	癙	tsʰʮ³⁵	
取	取	tsʰʮ³⁵	
娶	娶	tsʰʮ³⁵	
耻	耻	tsʰʮ³⁵	
恥	耻	tsʰʮ³⁵	
祉	祉	tsʰʮ³⁵	
杵	杵	tsʰʮ³⁵	
褚	褚	tsʰʮ³⁵	姓
楮	楮	tsʰʮ³⁵	
柠	柠	tsʰʮ³⁵	
處	处	tsʰʮ⁴⁴	到處
処	处	tsʰʮ⁴⁴	到處
趣	趣	tsʰʮ⁴⁴	
覷	觑	tsʰʮ⁴⁴	
覰	觑	tsʰʮ⁴⁴	
刞	刞	tsʰʮ⁴⁴	
痸	痸	tsʰʮ⁴⁴	
粢	粢	tsʰʮ⁴⁴	粢飯
懘	懘	tsʰʮ⁴⁴	
瘛	瘛	tsʰʮ⁴⁴	
卶	卶	tsʰʮ⁴⁴	
佁	佁	tsʰʮ⁴⁴	
誺	𫍧	tsʰʮ⁴⁴	
悇	悇	tsʰʮ⁴⁴	
廚	厨	dzʮ²⁴	
厨	厨	dzʮ²⁴	
櫥	橱	dzʮ²⁴	
橱	橱	dzʮ²⁴	
躕	蹰	dzʮ²⁴	
蹰	蹰	dzʮ²⁴	
躇	躇	dzʮ²⁴	
𨮿	𨮿	dzʮ²⁴	
除	除	dzʮ²⁴	
篨	篨	dzʮ²⁴	
蜍	蜍	dzʮ²⁴	
滁	滁	dzʮ²⁴	
蒢	蒢	dzʮ²⁴	
錘	锤	dzʮ²⁴	秤錘
捶	捶	dzʮ²⁴	
搥	捶	dzʮ²⁴	
𩣷	𩣷	dzʮ²⁴	
垂	垂	dzʮ²⁴	白讀 僅限「耳朵垂」一詞
炷	炷	dzʮ²⁴	量詞。用於點着的香
幮	幮	dzʮ²⁴	
趎	趎	dzʮ²⁴	
傂	傂	dzʮ²⁴	
簃	簃	dzʮ²⁴	
誃	誃	dzʮ²⁴	
趍	趍	dzʮ²⁴	
荎	荎	dzʮ²⁴	
菭	菭	dzʮ²⁴	
藸	藸	dzʮ²⁴	
杼	杼	dzʮ²¹³	
柱	柱	dzʮ²¹³	
宁	㝉	dzʮ²¹³	
佇	伫	dzʮ²¹³	
竚	伫	dzʮ²¹³	
貯	贮	dzʮ²¹³	
眝	𪾣	dzʮ²¹³	
紵	纻	dzʮ²¹³	
羜	羜	dzʮ²¹³	
嵀	嵀	dzʮ²¹³	
跙	跙	dzʮ²¹³	
傂	傂	dzʮ²¹³	
徥	徥	dzʮ²¹³	
杝	杝	dzʮ²¹³	
褆	褆	dzʮ²¹³	
陊	陊	dzʮ²¹³	
袓	袓	dzʮ²¹³	
治	治	dzʮ²¹³	
住	住	dzʮ²¹³	
駐	驻	dzʮ²¹³	
縋	缒	dzʮ²¹³	縋落
槌	槌	dzʮ²¹³	練槌
牏	牏	dzʮ²¹³	
墜	坠	dzʮ²¹³	耳朵墜
滯	滞	dzʮ²¹³	滯膯
樹	树	dzʮ²¹³	僅限於「解樹螂」
璏	璏	dzʮ²¹³	
蹛	蹛	dzʮ²¹³	
書	书	sʮ⁵³	
輸	输	sʮ⁵³	輸贏
絮	絮	sʮ⁵³	文讀
抒	抒	sʮ⁵³	
庶	庶	sʮ⁵³	
庻	庶	sʮ⁵³	
恕	恕	sʮ⁵³	
樞	枢	sʮ⁵³	
舒	舒	sʮ⁵³	
紓	纾	sʮ⁵³	
貰	贳	sʮ⁵³	貰《廣韻》舒制切，賖也，貸也。湯版記陰平，朱版記陰去。盛益民、李旭平, 2018 認爲本字是「稅」
稅	税	sʮ⁵³	借；賃。湯版記陰平，朱版記陰去。俗作「貰」
税	税	sʮ⁵³	借；賃。湯版記陰平，朱版記陰去。俗作「貰」
需	需	sʮ⁵³	
濡	濡	sʮ⁵³	
胥	胥	sʮ⁵³	
諝	谞	sʮ⁵³	
蝑	蝑	sʮ⁵³	
湑	湑	sʮ⁵³	
䈝	䈝	sʮ⁵³	
䱬	𩾊	sʮ⁵³	
揟	揟	sʮ⁵³	
須	须	sʮ⁵³	文讀
鬚	须	sʮ⁵³	文讀
尿	尿	sʮ⁵³	白讀
姝	姝	sʮ⁵³	
瑹	瑹	sʮ⁵³	
鵨	鵨	sʮ⁵³	
嬃	媭	sʮ⁵³	
蕦	蕦	sʮ⁵³	
鑐	鑐	sʮ⁵³	
鄃	鄃	sʮ⁵³	
隃	隃	sʮ⁵³	
緰	𦈕	sʮ⁵³	
