来源：	管文慧 2018《孝义下堡方言语音研究》Hynuza 整理
t	［3］赌堵［5］肚度镀杜
tʰ	［2］图［3］土吐
m	［2］毛［3］母［5］墓
k	［3］股古鼓［5］固故顾雇
kʰ	［3］苦［5］库
f	［1］敷夫肤呼［2］孵芙符扶胡壶湖狐［3］府辅斧虎浒［5］互付附父
v	［1］巫［2］蜈吴无［3］舞武［5］误雾务
#n̩	
Ø	［3］你
#əu	
p	［5］布
tʰ	［5］兔
l	［2］驴
ts	［5］猪{母~}座{没~}
tsʰ 	［5］虫{起~}
s	［5］树
z	［2］鱼
k	［5］□{表示老鼠}姑{二~}锅
kʰ	［5］裤
#iu	
p	［1］膘{~子肉}
pʰ	［1］漂-飘-［2］瓢-［5］票-
m	［2］苗-描-［5］庙-
t	［5］钓-吊-调{~换}
tʰ	［1］挑-［2］条-调-{~和}［5］跳-
l	［2］燎-撩-{~斗}［3］了-{表示完}［5］□{用水表示冲洗}
tɕ	［1］浇-娇-{~气}椒-{花~}［3］卷{~住}［5］卷{~子}轿
tɕʰ	［1］圈{圆~}悄［2］桥荞
ȵ	［5］尿
ɕ	［1］箫消-靴-［3］小-［5］笑-
Ø	［1］腰-邀-{~庄村}［2］窑-摇-圆-{~圈}［3］舀远［5］院-要-{想~}
#u	
p	［1］搬{~住}玻［5］簸半-{~个}拌{~家汤}
pʰ	［1］坡［2］盘{~子}婆［5］破
m	［2］磨模{~特}摩{~托}［3］满-{装~}
t	［1］端{~午}［3］躲朵短{长~}［5］断-□{表示追上}
tʰ	［2］团{~圆}［5］唾
n	［3］暖-{~和}
l	［5］乱-
ts	［1］砖-钻-{~不进去}［3］左［5］坐转-{~圆圈}
tsʰ 	［1］穿-［5］串{一~~}
s	［1］酸{~枣}［3］所{派出~}锁［5］算{~账}蒜
z	［3］软{~硬}
k	［1］锅［3］管-果［5］过灌-{~水}罐-{水~子}
kʰ	［1］颗科棵宽-［5］课嗑{~瓜子}
x	［2］和{~平}［3］火［5］货祸唤-换-和{暖~}
Ø	［1］窝巫［2］完-丸-［3］碗［5］卧{~铺}
#a	
p	［1］巴爬-{~起来}疤笆芭{~比娃娃}［3］把{~住}靶［5］霸爸罢把{笤帚~子}
pʰ	［2］爬-{~山}趴琶［5］怕
m	［1］妈蟆{癞蛤~}［2］麻［3］码马[55]骂
t	［1］爹［3］打
tʰ	［1］他托-{~梦}
n	［5］捺
l	［2］拉垃［5］落{~下}
ts	［1］渣睁-{~眼}［5］诈炸{爆~}榨{~汁机}乍{~一看}
tsʰ 	［1］叉{~子}差{~别}［2］茶楂查{检~}［3］叉{~开}杈{树~}［5］差{~生}
s	［1］生-{~的}沙纱［3］洒傻撒甥{外~子}［5］萨厦{大~}□{表示挑拣}
k	［5］尬{尴~}
kʰ	［1］咖{~啡}［3］卡{皮~}
ŋ	［3］哑
x	［1］哈{~气}［5］下{~雨}吓{~人}夏{~天}
Ø	［1］啊阿{~哥}
#ia	
p	［1］□{~被子，表示缝被子}
pʰ	［1］□{~啦，表示水溢出来了}［2］棚{~~}［3］□{开腿，表示叉开}
m	［1］□{~蝇，表示吸血的苍蝇}
l	［2］梁{~庄，地名}［3］两{~个}俩{哥~好}
tɕ	［1］家痂佳嘉加稼［3］假{~钱}贾{~家庄}［5］架驾嫁价假{~期}
tɕʰ 	［3］卡{~住}
ȵ	［2］牙芽［5］押{~金}亚{~州}硬{~纸}
ɕ	［1］虾［2］霞峡侠遐［5］夏={老~}厦{~门}下={~贱}卸={~货}
Ø	［2］爷［3］雅［5］亚={~军}鸦={乌~}
#ua	
k	［1］瓜［3］寡［5］挂卦
kʰ	［1］夸［5］跨挎
x	［1］花华{中~}［2］划{~划}［5］画话化划{规~}华{~山}
ts	［1］抓［3］爪{鸡~}
tsʰ 	［2］欻{水流得~~字}
s	［3］耍
Ø	［1］蛙挖{~土}［3］瓦{~斯}挖{~面}
#ya	
tɕ	［3］倔{~巴巴}
ɕ	［2］横-
Ø	［3］哕{要吐而吐不出东西}
#io	
l	［2］良量{~角器}凉粮粱［3］两{二~}［5］亮量{分~}谅
tɕ	［1］将{~来}姜缰僵疆［3］讲蒋奖［5］酱匠将{大~}犟{~脾气}浆{~子}
tɕʰ 	［1］腔枪［2］强{要~}墙［3］强{勉~}抢［5］呛
ȵ	［2］奶{~~，称呼}娘
ɕ	［1］箱相{互~}香乡湘厢镶［3］享响想［5］象像橡相{照~}向
Ø	［1］央［2］羊杨扬阳［3］养［5］样
#uo	
p	［1］帮波菠［3］绑膀{肩~}榜［5］棒
pʰ	［5］胖-{表示肿}
m	［2］馍忙
f	［1］方-芳-［2］房防［3］仿纺［5］放
t	［1］当{应~}裆{裤~}［3］挡{~风}档{~次}党［5］当{~成}挡{~住}
tʰ	［2］螳棠堂唐糖［3］椭躺淌［5］烫趟
n	［2］挪{~威}□{表示话多}
l	［2］萝罗狼［5］浪
ts	［1］章庄装张［3］涨长{~大}［5］丈仗杖账帐胀状障葬壮-{~胆}
tsʰ 	［1］窗疮双{一~}昌［2］长{~短}尝偿肠常［3］厂场［5］唱
s	［1］霜裳伤桑［3］嗓［5］上
z	［2］瓤{瓜~}［3］嚷［5］让
k	［1］哥-光-刚-［5］□{口语，拿干抹布再擦一遍}
kʰ	［1］糠筐眶{眼~}［5］炕
x	［1］慌荒［2］簧{弹~}黄皇蝗行{银~}［5］巷晃{~眼}□{口语，表示让对方同意自己的观点}
Ø	［1］蜗喔［2］王［3］网枉往{来~}［5］旺{兴~}忘望-
#ai	
p	［2］白=［3］摆［5］败=拜
pʰ	［2］排牌［5］派
m	［3］买［5］卖迈
f	［5］□{表示疼的时候所发出的叫声}
t	［1］呆［5］贷袋=大{~夫}待代
tʰ	［2］台={~湾}抬{~头}［5］太=泰态
n	［3］奶={牛~}乃［5］耐={~克}
l	［2］来=［5］赖癞
ts	［1］斋灾［2］宅{大~门}［3］宰［5］债寨再={~见}
tsʰ 	［1］猜钗差{出~}［2］豺柴才裁={~员}财={发~}［3］彩踩采［5］蔡
s	［1］筛□{表示走的很慢}腮{~腺炎}［5］赛晒
k	［3］改={涂~液}［5］丐概溉盖={~饭}
kʰ	［1］开={~水}［3］凯楷慨
ŋ	［1］挨埃［3］蔼{和~}矮［5］爱={~情}碍
x	［2］鞋［3］海［5］害={危~}亥□{表示能听懂}
#iai	
tɕ	［1］街［3］解{~开}［5］介界芥届戒
tɕʰ 	［1］擦
ɕ	［5］蟹懈
ȵ	［1］捱{找~}［2］崖
#uai	
ts	［5］拽{~住}
tsʰ 	［1］□{摸~，表示摸}［5］踹
s	［1］衰［5］帅率
k	［1］乖［3］拐［5］怪
kʰ	［5］块会{~计}块快筷
x	［1］个{一~}［2］怀槐淮［5］坏
Ø	［1］歪［3］崴［5］外={~国人}
#ei	
p	［1］卑悲杯背{~包}［5］败-背{~书}辈贝倍碑备=被{被打}
pʰ	［2］陪赔培［5］配佩
m	［2］埋梅枚煤霉媒莓眉={~目}［3］每镁美［5］妹媚昧魅
f	［1］非飞妃菲啡［2］肥［3］匪翡［5］废肺费吠痱
v	［1］微［2］维［3］尾=［5］味
t	［3］逮［5］带戴{~帽}袋-{麻~}
tʰ	［2］台{戏~}抬{~起来}□{表示藏起来}［5］太{~大}
n	［5］内耐-{不~}
l	［2］来{将~}磊
ts	［1］贼栽［5］在再
tsʰ 	［2］裁{~缝}财{~礼}才{刚~}材{~地}［3］彩{云~}［5］菜
k	［1］该{活~}［3］给改-［5］盖-{~章}
kʰ	［1］开-{~会}
ŋ	［5］爱-{~画画}
x	［5］害-{~人}
#uei	
t	［1］堆［5］对队兑
tʰ	［1］推［3］腿［5］退蜕
l	［2］雷［3］儡［5］累类
ts	［1］锥追［3］嘴［5］最碎罪坠赘缀
tsʰ 	［1］吹猜催炊崔［2］锤槌捶垂［5］脆随{~它吧}粹翠萃
s	［1］虽［2］髓谁［3］水绥［5］税岁=睡隧碎
z	［3］蕊［5］锐瑞
k	［1］规龟圭闺归［3］鬼轨［5］桂柜贵
kʰ	［1］盔{头~}亏［2］奎魁逵葵［3］傀［5］跪愧溃
x	［1］挥灰辉恢徽［2］茴蛔回［3］毁悔［5］汇会{开~}绘晦贿慧惠讳卉
Ø	［1］威危［2］为{~人}违围桅惟唯［3］委伟猥萎{~缩}猬伪纬［5］外-卫-为{因~}位魏畏慰胃谓
#au	
p	［1］包雹胞［2］刨{~红薯}［3］宝饱保堡=［5］报爆豹鲍抱{拥~}暴
pʰ	［1］剖抛［2］袍［3］跑［5］炮泡
m	［2］毛{~病}茅猫锚［3］铆卯［5］冒帽貌贸茂
t	［1］刀叨［3］捣倒{颠~}岛祷导［5］到道稻盗倒{~水}
tʰ	［1］涛滔掏［2］桃逃淘萄陶［3］讨［5］套
n	［3］脑恼［5］闹
l	［1］捞唠［2］牢劳［3］姥老［5］涝烙骆酪
ts	［1］遭招{~人}糟［2］着{~急}［3］澡蚤早枣沼［5］灶皂造罩赵兆召照焯{把菜放到开水里面煮}
tsʰ 	［1］糙抄超钞操［2］曹巢朝{~阳}潮={~水}槽［3］吵炒草
nᶻ	［2］挠
s	［1］捎稍骚烧{~烤}梢［3］扫嫂晌{~午}［5］邵少{~林寺}臊潲哨{放~}
z	［2］饶［3］扰［5］绕={围~}
k	［1］糕{蛋~}高{~考}膏{~~}羔［3］稿［5］告{被~}
kʰ	［3］考烤［5］靠{背~背}
ŋ	［2］熬{煎~}［3］袄□{~价，表示讲价}［5］傲奥撬={~开}拗
x	［1］蒿{茼~}［2］豪嚎壕毫［3］好［5］耗浩号{~召}
#iau	
p	［1］标镖彪［3］表裱
pʰ	［1］漂={~流}飘=［2］瓢={七星~虫}嫖［5］漂={~亮}
m	［2］苗=描={素~}［3］秒藐渺［5］妙庙=
t	［1］雕貂刁［5］钓=吊=
tʰ	［2］条={~件}调={~料}［5］跳={~~糖}
l	［2］聊辽燎={~原}疗僚［3］了{~解}［5］料{~理}□{表示把东西扔掉}
tɕ	［1］教{~书}交蕉骄娇郊胶［3］狡绞缴侥饺矫搅［5］教{~室}觉{睡~}酵较窖叫
tɕʰ 	［1］跷{~~板}敲［2］侨瞧樵桥乔［3］巧［5］俏窍翘
ȵ	［3］咬鸟［5］尿{~不湿}
ɕ	［1］宵萧肖潇逍霄销消=［3］晓小=［5］孝效校笑=
Ø	［1］邀{~请}要{~求}妖腰{~椎}［2］姚谣遥尧摇{~一~}［3］杳［5］耀
#ou	
m	［2］谋［3］某
f	［3］否
t	［1］都兜［3］陡抖［5］豆逗斗痘窦
tʰ	［1］偷［2］头投［5］透
n	［2］奴［3］努
l	［2］炉芦庐卢楼［3］搂篓虏鲁［5］露路漏陋
ts	［1］粥诌州租周洲邹［2］轴［3］肘祖走［5］就-{~是}宙昼纣奏揍咒
tsʰ 	［1］抽粗［2］筹愁绸稠酬仇{~人}［3］丑［5］醋臭凑就={~近}
nᶻ	［3］扭
s	［1］收苏酥艘飕搜［3］擞手守首［5］寿售受瘦嗽诉{起~}素
z	［2］揉柔蹂［5］肉
k	［1］钩勾沟[]狗枸苟［5］构够购
kʰ	［1］抠［3］口［5］扣叩寇□{表示东西洒了}
ŋ	［1］殴欧［3］呕偶藕［5］沤
x	［2］瘊喉猴［3］吼［5］后候厚
#iou	
m	［5］谬
t	［1］丢
n	［2］□{~~，小虫虫}
l	［1］溜{~冰}［2］留流刘琉硫榴［3］柳［5］六遛{圪~}馏{~馍馍}
tɕ	［1］究纠［3］酒久玖九灸韭［5］救旧舅就{~菜}臼
tɕʰ 	［1］秋球求丘［2］囚仇{姓}
ȵ	［2］牛
ɕ	［1］羞休修［5］锈宿{星~}绣秀袖
Ø	［1］幽悠优［2］邮油游莜由尤［3］酉有友［5］右佑柚幼又
#ã	
p	［1］颁班斑般扳搬=［3］版板扁-［5］扮办瓣绊榜谤傍邦半=
pʰ	［1］潘攀［2］庞旁螃{~蟹}［5］盼判叛
m	［2］妈=馒盲瞒芒茫［3］满={自~}［5］慢漫
f	［1］翻番［2］帆繁樊矾凡烦［3］返反［5］范犯泛贩饭
v	［3］挽晚［5］万蔓{瓜~子}
t	［1］丹单耽担{~水}［3］党胆［5］担{一~}淡诞弹{~弓}旦蛋但荡{放~}铛{烙饼用具}□{表示跨过去}
tʰ	［1］贪滩瘫摊［2］檀谭弹{~琴}棠塘坛谈痰［3］坦毯［5］探炭叹碳
n	［2］男南楠喃难{~受}［5］难{遇~}
l	［2］蓝篮阑兰郎廊拦栏［3］朗缆懒榄览［5］烂浪滥
ts	［1］簪毡赃沾={~边}［3］攒斩展={~览}盏［5］暂站蘸赞战藏{西~}
ʦh	［1］参{~加}搀餐苍仓［2］蟾馋藏{隐~}残惭蚕{~丝}［3］铲产惨［5］灿
s	［1］三珊山删衫［3］散{~称}伞闪{~光}陕［5］膳散{解~}善扇={风~}
z	［2］然燃［3］染={传~}冉
k	［1］纲冈甘柑钢缸尴干={~净}肝={猪~}［3］岗感赶={~紧}敢港［5］干{~活}
kʰ	［1］看={~守}刊勘康慷抗
ŋ	［1］庵淹-安{~全}［5］按暗案{~子}
x	［1］憨［2］还{adv}杭航寒韩函含［3］喊［5］汉=汗憾焊旱=
#iã	̃
p	［1］鞭=蝙边编［3］匾贬扁={~桃体}［5］遍=辩便{小~}辨变=汴卞
pʰ	［1］偏={~旁}［5］骗片={~面}
m	［2］眠棉{纯~}绵{~山}［3］冕免勉缅［5］面={~包}
t	［1］滇巅癫［3］碘典点{~心}［5］电淀殿店=
tʰ	［1］天{~气预报}添{~加剂}［2］甜填{~空}田{~字格}［3］腆{腼~}
l	［2］连={~长}镰=莲=廉怜良联梁{栋~}［3］脸{~谱}敛［5］练亮=炼辆谅恋
tɕ	［1］监间{一~}坚尖{顶~}肩{~带}艰兼奸［3］减碱拣简检茧蒋江奖{~品}讲=［5］鉴舰件箭=键建健荐间{~开}
tɕʰ 	［1］迁铅腔谦签牵{~引}［2］虔钱强{小~}乾［3］潜谴［5］嵌歉欠{~费}倩
ȵ	［2］颜-{~色}娘［3］眼［5］念{纪~}酿
ɕ	［1］鲜{新~}仙={~人掌}嫌{表示抱怨}［2］嫌{~弃}咸闲贤详祥降{投~}［3］显=险［5］馅陷限线=羡宪献现项县{~志}
Ø	［1］秧{~歌}［2］延岩严言阎=颜={~料}研洋炎羊{~毛衫}杨［3］演氧［5］验艳厌雁谚堰燕宴砚焰赝
#uã	̃
t	［1］端={~正}［3］短={~跑}［5］锻段
tʰ	［2］团{~长}
n	［3］暖{~气}
ts	［1］钻{~研}专［3］转{~眼}［5］壮钻{~石}转{~盘}
tsʰ 	［1］川［2］传{~达}船床［3］闯喘［5］创篡串=
s	［1］酸={老坛~菜}拴［3］爽［5］涮算={计~}
z	［3］软{~件}
k	［1］官观关［3］广馆管{~子}［5］贯冠惯逛罐={~头}
kʰ	［1］匡宽{~容}［3］狂{~犬病}款［5］旷况矿
x	［1］荒欢［2］还{~钱}环蝗［3］谎缓［5］幻患宦换{兑~}
Ø	［1］弯湾［2］王完{~美}丸=顽［3］婉碗{~~腔}网晚{~会}［5］望=妄腕={大~儿}
#yã	̃
tɕ	［1］捐娟［3］卷={~闸}
tɕʰ 	［2］拳权全泉［3］犬［5］劝券
ɕ	［1］喧轩宣［2］旋玄悬［3］选［5］炫绚
Ø	［1］渊冤［2］圆缘园员元原袁源［3］远［5］愿怨院
#əŋ	
p	［1］奔{~驰}崩绷［3］本［5］笨奔{投~}
pʰ	［1］喷烹［2］盆朋膨彭棚蓬［3］捧［5］碰
m	［1］蒙［2］门萌盟［3］懵猛［5］闷孟梦
f	［1］风锋封枫疯蜂峰丰分{~开}芬纷［2］汾冯缝{~补}逢坟［3］讽粉［5］愤粪奋份凤奉俸缝{~~}
v	［2］文蚊闻纹［5］问
t	［1］登蹬灯［3］等［5］凳邓澄{~~}
tʰ	［2］吞腾疼藤
n	［2］能
l	［2］棱［3］冷［5］楞
ts	［1］针贞真增正{~月}征蒸{~汽}争筝珍［3］诊怎整疹拯［5］枕震振镇阵憎赠郑政证
tsʰ 	［1］称{~斤}撑［2］曾臣沉陈尘层橙{~子}呈程成城诚盛{~满}［3］惩逞［5］衬趁蹭称{对~}
s	［1］深参{人~}申伸森僧身牲笙声升生{花~}［2］绳晨神［3］审婶省沈［5］渗{~水}慎肾娠圣盛{昌~}胜甚
z	［2］任{姓~}仁人［3］忍［5］认刃任{~务}
k	［1］跟根庚更{~新}［3］耿梗埂［5］更{~好}
kʰ	［1］坑［3］恳垦肯
ŋ	［1］恩{感~}［5］摁{~住}
x	［2］恒痕横衡［3］很狠［5］恨
Ø	［1］恩{表示应答}
#iŋ	
p	［1］彬冰兵槟滨宾［3］丙柄饼禀［5］鬓病并殡
pʰ	［1］乒拼［2］平坪评凭苹瓶萍屏{~幕}贫频［3］品［5］聘喷{~香}
m	［2］民名=鸣=铭明={小~}［3］闽敏悯［5］命={~令}
t	［1］丁［3］鼎顶［5］订定
tʰ	［1］厅听={打~}［2］蜓{蜻~}停=婷庭廷［3］艇挺［5］听{~口，打麻将用语}
n	［2］宁银［5］硬=
l	［2］零灵铃=林淋临鳞邻凌伶［3］领岭［5］令另
tɕ	［1］今金津巾斤茎精=晶惊京筋鲸茎禁{~不住}襟{连~子}经［3］颈尽紧警井仅景锦［5］禁{~止}靳浸妗进仅近劲静靖净竞境晋
tɕʰ 	［1］青=卿倾轻亲{~人}侵钦清=［2］擎勤芹秦琴情睛禽［3］请寝［5］亲{~家}
ɕ	［1］芯星={~~}新欣薪辛腥心馨［2］形型刑行{~为}寻［3］醒省{反~}［5］信杏幸性姓兴{高~}
Ø	［1］音英应{~该}鹰因姻殷鹦樱莺阴［2］淫赢迎盈萤营［3］瘾影尹隐颖引饮［5］淫荫印映应{~付}
#uŋ	
t	［1］冬东蹲敦［3］懂董吨［5］饨盾顿动洞冻栋
tʰ	［1］通［2］豚囤屯同童彤铜梧［3］捅桶筒统［5］痛
n	［2］农脓浓［5］嫩
l	［2］轮聋隆论龙［5］论弄
ts	［1］宗综中{~间}忠终遵踪棕［3］总种{~子}肿准［5］众仲中{~奖}种{~树}重{轻~}
tsʰ 	［1］充春村冲葱［2］醇唇纯崇从虫存重{~复}［3］宠蠢［5］寸
s	［1］嵩松孙［3］损笋［5］顺送宋诵颂讼
z	［2］容绒茸蓉融荣［5］润闰
k	［1］工弓躬宫恭公功蚣供{~不起}［3］汞拱巩滚［5］棍共贡供{~奉}
kʰ	［1］昆空{~气}坤［3］孔恐啃捆［5］困空{~没~}控
x	［1］烘昏荤轰婚［2］红洪鸿虹馄弘宏魂［3］哄{~人}［5］混哄{起~}
Ø	［1］翁温瘟［3］稳吻［5］瓮
#yŋ	
tɕ	［1］军君均菌［3］窘迥［5］粽骏竣郡峻
tɕʰ 	［2］穷琼裙群
ɕ	［1］凶胸熏兄［2］寻巡循荀旬熊雄［5］训迅殉驯汛
Ø	［1］雍拥晕庸［2］容云芸匀［3］蛹涌永允泳咏勇［5］用孕熨运韵
#aʔ	
p	［7］剥八［8］拔{~草}脖
pʰ	［7］胖
m	［7］拔{~出来}
f	［7］法发［8］乏罚
v	［8］袜{~子}
t	［7］瘩答搭［8］达
tʰ	［7］沓{一~子}塔塌托{~梦}遢{邋`}
l	［8］喇乐{~趣}腊蜡辣勒
n	［7］捺{~鞋垫}
ts	［7］扎{~针}杂则摘责泽趾眨{~眼}［8］闸炸{~油条}轧砸窄
tsʰ 	［7］插察册测擦拆{~开}厕侧策
s	［7］涩萨杀虱色
z	［7］热
ŋ	［7］鸭压［8］哑{~子}
x	［7］盒{烟~}瞎
#iaʔ	
p	［7］掰伯柏［8］百白
pʰ	［7］拍□{鬼~，骗人}
m	［8］麦脉
tɕ	［7］甲觉{~得}夹角隔
tɕʰ 	［7］掐洽恰客{~人}
ɕ	［8］学
ȵ	［7］押{抵~}
Ø	［7］爷
#uaʔ	
ts	［7］桌抓捉
tsʰ 	［7］撞蹉
s	［7］刷缩镯{手~}蟀{蟋~}
k	［7］刮
kʰ	［7］扩括
x	［8］滑猾划获
Ø	［7］挖握
#yaʔ	
Ø	［7］确育越阅
#əʔ	
p	［7］不北［8］拨博薄
pʰ	［7］泼瀑{~布}朴泡{~茶}
m	［8］沫没{~有}摸木目漠陌
f	［7］复福幅［8］服伏袱缚腹
v	［7］物
t	［7］德得
tʰ	［7］特
ts	［7］汁蛰{惊~}哲蜇折{~断}浙秩执质植职值则［8］侄直者殖
tsʰ 	［7］彻赤娶撤吃尺着{睡~}
s	［7］湿设识失塞式释[]十拾舌实室食石饰
z	［8］日
k	［7］鸽割各阁格隔革［8］葛核{~桃}疙胳{~膊}
kʰ	［7］磕渴刻克咳客{~车}壳
ŋ	［7］恶
x	［7］喝合鹤黑赫核{~对}
#iəʔ	
p	［7］逼壁憋笔毕必［8］别鼻
pʰ	［7］撇匹{七~狼}僻辟
m	［8］灭蜜密墨秘泌
t	［7］跌的{目~}滴［8］碟叠蝶谍敌笛狄
tʰ	［7］帖贴铁踢剔
ȵ	［8］镊聂孽捏业逆匿
l	［8］猎立粒烈裂列栗力
tɕ	［7］接集辑急级及杰揭节截结洁疾吉脚极籍积迹脊绩击激
tɕʰ 	［7］妾切七漆乞迄戚
ɕ	［7］协吸歇蝎悉熄媳息惜夕锡析［8］习席
Ø	［7］噎乙一［8］药钥{~匙}叶
#uəʔ	
t	［8］夺铎独读毒
tʰ	［7］脱突囱{烟~}秃
l	［8］律率{效~}洛络鹿绿录
ts	［7］作族竹祝做筑
tsʰ 	［7］出葱畜{~生}触
s	［7］说速束叔［8］勺{~子}熟赎属
z	［8］褥入
k	［7］骨郭国谷
kʰ	［7］括窟{~窿}廓扩{~充}哭
x	［7］藿霍豁劐{用刀~开}或惑［8］活
Ø	［8］五
#yəʔ	
n	［8］虐
l	［8］略掠
tɕ	［7］橘［8］绝倔决诀䦆足局掘
tɕʰ 	［7］缺屈却曲黢雀菊
ɕ	［7］薛雪血削肃宿{~舍}续俗穴
Ø	［8］阅悦越粤约跃月狱
