#符号说明：-白=文/书*俗?待考																																													
#调值	［1］323［2］31［3］44［5］412 ［0］轻声																																												
#ɿ																																													
s	[1]骚搔臊捎艄 [2]扫嫂 [5]扫{～帚}臊{害～}哨																																												
tʂ	[1]朝{～阳}着{高～}钊召沼招昭诏 [5]赵棹兆照肇																																												
tʂʰ	[2]朝嘲潮绍-{介～} [0]绰{宽～}																																												
ʂ	[1]烧 [2]韶苕绍 [3]少稍 [5]邵少																																												
ʐ	[3]挠绕娆饶 [5]绕{～圈子}																																												
k	[1]高篙羔糕镐 [3]搞稿呆皋 [5]告膏{～油}诰																																												
kʰ	[1]尻 [3]考拷烤 [5]靠搞铐																																												
x	[1]蒿薅 [2]豪濠壕毫号{～叫}耗 [3]好 [5]号好{爱～}浩皓																																												
	[1]熬{～菜}凹=□{熬时间} [2]熬{～夜}聱鳌翱 [3]袄拗{～断}媪 [5]傲鏊坳拗奥澳懊遨																																												
#iɔ																																													
p	[1]标彪飙骠镖膘 [3]表裱婊 [5]鳔																																												
pʰ	[1]漂飘 [2]朴殍瓢嫖剽 [3]瞟 [5]票漂																																												
m	[2]苗描瞄 [3]秒眇渺藐邈 [5]妙缪庙																																												
t	[1]刁叼貂凋碉雕 [5]掉吊钓调																																												
tʰ	[1]挑佻 [2]条迢笤调{～味} [3]挑{枪～小梁王} [5]眺跳粜																																												
n	[3]鸟袅 [5]尿																																												
l	[2]辽撩{～拨}燎僚聊镣 [3]燎{头发～了}了{明～}寥 [5]料廖撂尥{～蹄}																																												
tɕ	[1]交跤胶郊浇椒教{～书}骄娇焦蕉礁矫{～健} [3]狡佼绞铰皎矫搅缴剿 [5]觉{睡～}较教{～师}叫轿窖校{～对}																																												
tɕʰ	[1]敲悄锹橇跷 [2]乔侨桥养瞧憔 [3]巧 [5]俏诮鞘峭窍撬{～开}翘																																												
ɕ	[1]肖消逍硝宵霄销嚣潇萧箫 [2]淆肴-{酒～} [3]小晓筱 [5]笑孝哮校效啸																																												
	[1]要{～挟}腰夭妖吆凹邀窈 [2]遥摇窑谣尧姚蕉 [3]咬舀杳 [5]要耀																																												
#ə																																													
f	[5]□{被烫疼时发出的叫声}																																												
tʂ	[1]折蜇哲浙遮褶 [2]辙辄蛰蔗 [3]者 [5]这																																												
tʂʰ	[1]车彻掣澈撤 [3]扯 [5]坼																																												
ʂ	[1]奢赊设涉慑摄{～政} [2]蛇=舌折{打～腿}佘 [3]舍{～弃} [5]社舍赦射																																												
ʐ	[1]热 [2]苶{软下来} [3]惹																																												
k	[1]割歌鸽疙各阁骼搁胳咯{～登一声}葛嗝 [2]硌{～脚}搁{～不住} [3]哥 [5]个																																												
kʰ	[1]磕瞌咳蝌疴坷柯苛壳渴 [2]□{皱缩起来：～起脸} [3]可 [5]嗑{～瓜子}																																												
x	[1]喝呵郝 [2]河何合盒涸荷 [5]贺鹤貉褐																																												
	[1]恶额屙噩鳄 [2]俄鹅峨蛾阿{～腔}婀讹遏愕鄂 [5]饿																																												
#iə																																													
p	[1]憋鳖 [2]别 [3]瘪 [5]蹩别{～不过他}																																												
pʰ	[1]撇{一～} [3]瞥																																												
m	[1]灭蔑篾末{～将} [2]□{精神不振，身子发软}																																												
t	[1]爹跌 [2]谍碟蝶喋叠迭 [3]嗲{娇气，撒娇}																																												
tʰ	[1]贴帖{请～}铁																																												
n	[1]捏聂摄蹑涅臬																																												
l	[1]列烈冽裂劣猎 [3]咧{～嘴}□{干，弄} [5]趔																																												
tɕ	[1]接结节揭竭碣嗟洁劫 [2]截杰桀捷睫 [3]姐[5]借																																												
tɕʰ	[1]切且 [2]茄 [5]妾怯窃锲																																												
ɕ	[1]楔歇蝎血 [2]协邪斜挟胁携 [3]些写泻{～酒} [5]谢榭泄泻亵																																												
	[1]掖{～藏}噎叶业页 [2]爷 [3]也耶椰冶野 [5]夜液腋																																												
#uə																																													
p	[1]波玻菠播钵拨剥博搏驳泊箔铂舶膊{赤～} [2]勃渤鹁脖薄{浅～} [3]簸{～粮食}跛 [5]簸{～箕} [0]卜{萝～}																																												
pʰ	[1]坡泼泊粕 [2]婆 [3]叵颇坡{倾斜：板子～着放} [5]破																																												
m	[1]摸莫{～邪}末=茉沫 [2]磨蘑摩魔莫模馍膜漠摹寞 [3]抹{涂～} [5]磨{石～}																																												
t	[1]多 [2]夺踱陀{～螺}哆 [3]朵垛躲 [5]垛{麦～}跺隋堕舵 [0]掇{拾～}																																												
tʰ	[1]脱拖托拓{开～} [2]沱佗驼跎驮砣 [3]妥椭 [5]□{农用运输工具．像雪橇}																																												
n	[1]搦 [2]挪娜 [3]诺喏 [5]懦糯																																												
l	[1]罗{～嗦}洛落乐烙络酪 [2]罗箩锣逻骡螺 [3]裸掠 [5]摞 [0]螺{陀～}																																												
ts	[1]作捉卓 [2]昨凿啄琢 [3]左佐嘬撮{一～毛}攥{～住} [5]做={～作}坐																																												
tsʰ	[1]搓蹉磋撮 [5]措错挫																																												
s	[1]唆梭蓑索 [3]琐锁唢索{～性} [0]嗦{罗～}																																												
tʂ	[1]桌 [2]浊茁着{～火}灼酌出 [0]着																																												
tʂʰ	[1]初 [2]戳 [5]辍																																												
ʂ	[1]说 [2]勺芍烁硕 [3]所数 [5]数{～字}																																												
ʐ	[1]弱若 [5]偌																																												
k	[1]郭锅戈括 [3]果裹 [5]过																																												
kʰ	[1]扩廓阔科颗棵蝌{～蚪} [5]课阔{～气}																																												
x	[1]豁霍获{收～} [2]活禾和□{棺材} [3]火伙豁{～亮} [5]祸货和{洗两～}																																												
	[1]涡窝莴蜗喔{～～啼}沃握 [3]我 [5]卧																																												
#yə																																													
tɕ	[1]嗟撅獗蹶觉{～悟}爵角决抉诀脚倔崛掘 [2]橛嚼绝 [0]苣{莴～}																																												
tɕʰ	[1]缺榷却鹅雀确 [2]瘸 [3]撧																																												
ɕ	[1]薛靴削雪 [2]学穴																																												
	[1]约日悦阅越岳月钥乐{音～}药虐疟 [3]哕																																												
#ɛ																																													
p	[3]摆 [5]败拜																																												
pʰ	[1]矲 [2]排牌徘 [3]□{用脚踹} [5]派湃																																												
m	[2]埋霾 [3]买 [5]卖迈																																												
f	[5]□{叫疼的声音}																																												
t	[1]呆待{～一会儿} [3]歹逮 [5]待戴代袋贷带怠殆																																												
tʰ	[1]胎苔 [2]抬台 [5]太汰态泰																																												
n	[3]乃 [5]奈耐																																												
l	[2]来莱睐 [5]赖癞																																												
ts	[1]灾栽载哉斋 [3]宰患 [5]在再寨债载{满～}																																												
tsʰ	[1]猜钗差{出～} [2]才财材裁柴豺 [3]采睬踩 [5]菜蔡																																												
s	[1]腮筛 [2]赛{好} [5]晒塞{～外}赛																																												
k	[1]该该 [3]改 [5]盖丐钙赅溉概																																												
kʰ	[1]开 [3]凯楷慨 [5]汽慨{～叹}																																												
x	[1]咳{～声叹气}海{大～} [2]骸核{～心}阂还{～是} [3]海{～洋} [5]亥骇害																																												
	[1]哀哎埃挨 [2]癌呆{～板} [3]蔼嗳霭 [5]爱艾隘碍唉																																												
#iɛ																																													
tɕ	[1]街阶皆秸 [3]解 [5]介芥疥界戒械诫届																																												
tɕʰ	[3]遣谴 [5]倩{推脱，依赖别人}																																												
ɕ	[2]鞋 [3]偕谐蟹 [5]卸懈																																												
	[2]挨{～打}崖捱 [3]矮 [5]咽																																												
#uɛ																																													
tʂʰ	[1]搋{～面} [2]膗 [3]揣 [5]踹																																												
ʂ	[1]衰摔= [3]甩 [5]帅蟀率{～领}																																												
k	[1]乖 [3]拐 [5]怪																																												
kʰ	[3]蒯 [5]快会{～计}侩哙块筷																																												
x	[2]怀淮槐徊 [3]□{摇动} [5]坏																																												
	[1]歪 [2]□ [3]□{量词：一～屎} [5]外																																												
#e																																													
p	[1]杯悲卑碑掰北百柏伯笔 [2]白 [5]背悖 [0]臂{胳～}贝{宝～}																																												
pʰ	[1]拍 [2]培陪赔 [3]迫魄{气～} [5]沛霈配佩																																												
m	[1]麦脉墨 [2]煤媒玫枚霉梅莓眉嵋媚 [3]美 [5]昧寐魅																																												
t	[1]得德 [2]特-																																												
tʰ	[2]特=																																												
n	[5]内																																												
l	[1]勒肋{～骨} [2]雷擂檑镭蕾 [3]儡磊垒累馁{气～} [5]泪类累																																												
ts	[1]责喷则摘窄测-{～准} [2]泽择贼宅翟																																												
tsʰ	[1]侧测=恻策册拆																																												
s	[1]塞涩瑟啬色																																												
k	[1]革格隔 [2]给																																												
kʰ	[1]克刻客 [2]剋{～架}																																												
x	[1]赫吓{～唬}黑嘿																																												
	[3]厄扼																																												
#ue																																													
t	[1]堆 [5]对队兑																																												
tʰ	[1]推 [2]颓 [3]腿 [5]蜕退煺褪																																												
ts	[1]追堆-{论～} [3]嘴 [5]最罪醉																																												
tsʰ	[1]崔摧催炊 [5]萃悴粹瘁啐翠脆																																												
s	[1]虽睢尿{～脬} [2]遂随隋绥髓谁 [3]□{打开，解开} [5]碎岁穗																																												
tʂ	[1]椎锥 [5]赘惴缀坠																																												
tʂʰ	[1]吹 [2]垂捶锤																																												
ʂ	[3]水 [5]睡税																																												
ʐ	[3]蕊 [5]锐瑞																																												
k	[1]规归龟轨国 [3]鬼瑰{～丽} [5]桂贵柜刿刽跪瑰{玫～}																																												
kʰ	[1]亏盔 [2]奎喹逵葵 [3]跬 [5]溃馈愧喟窥岿																																												
x	[1]挥晖辉灰恢徽 [2]回洄茴蛔 [3]悔毁诲晦获{～得} [5]会荟绘汇慧卉惠蕙贿秽讳 [0]讳{忌～}																																												
	[1]威偎煨巍 [2]为{作～}围惟维帷唯{～一}微薇圩 [3]委萎危桅韦伟苇纬违猥伪尾娓唯{～～诺诺}嵬 [5]为未味畏胃渭谓猬魏位卫尉慰蔚																																												
#ou																																													
t	[1]都兜 [3]斗抖蚪陡 [5]斗{争～}豆逗痘窦																																												
tʰ	[1]偷 [2]头投 [5]透 [0]头{木～}																																												
l	[2]搂{～柴火}娄楼 [3]搂{～抱}篓 [5]镂陋漏露{～马脚} [0]喽																																												
ts	[1]邹诌 [3]走 [5]奏揍骤皱做-																																												
tsʰ	[2]愁[5]凑																																												
s	[1]叟搜 [3]擞[5]瘦 [0]嗽{咳～}																																												
tʂ	[1]州洲舟周粥= [3]帚肘扭{双手拧} [5]纣宙咒昼																																												
tʂʰ	[1]抽 [2]酬筹畴踌仇惆稠绸 [3]丑[5]臭 [0]酬{应～}																																												
ʂ	[1]收 [3]守首手 [5]兽售寿受授绶																																												
ʐ	[1]□{用力扔} [2]揉蹂 [5]肉褥																																												
k	[1]勾沟钩苟 [3]狗枸 [5]诟垢够构购媾																																												
kʰ	[1]抠[3]口 [5]寇扣叩筘																																												
x	[1]吼 [2]侯候喉猴 [5]后厚																																												
	[1]区{姓}讴沤欧殴鸥呕 [3]偶藕																																												
#iou																																													
t	[1]丢																																												
n	[1]妞[2]牛 [3]扭纽 [5]拗{执～}谬																																												
l	[1]溜 [2]留榴刘流硫浏瘤骝 [3]柳绺 [5]六陆{大写的六}溜{随大～}馏{～饭}																																												
tɕ	[1]赳纠究鸠{～山}揪啾柩咎 [3]九艽韭酒久灸玖{大写的九}疚鸠{斑～} [5]就旧救臼舅																																												
tɕʰ	[1]秋丘蚯邱揪鳅湫 [2]求裘球酋囚泅 [3]瞅朽-{不～}																																												
ɕ	[1]羞休修宿 [3]朽 [5]袖秀锈绣臭{无色无～}嗅																																												
	[1]优忧攸悠幽 [2]游尤犹酉由油邮 [3]友有 [5]右佑又宥囿诱幼																																												
#ã																																													
p	[1]班斑颁般搬扳{～子} [3]板版 [5]半伴拌绊办扮瓣																																												
pʰ	[1]潘攀 [2]盘磐蟠蹒 [5]畔判叛泮																																												
m	[2]瞒蛮馒 [3]满 [5]曼漫慢谩熳蔓鳗缦幔																																												
f	[1]番翻帆 [2]蕃烦凡繁返{～阳} [3]反返 [5]饭贩泛犯范																																												
t	[1]单耽丹担 [3]掸胆疸 [5]旦但担{～子}淡石{一～}惮弹诞蛋																																												
tʰ	[1]贪滩摊瘫 [2]谈痰坛檀潭谭弹{～琴} [3]毯坦袒忐 [5]探叹炭碳																																												
n	[2]南楠难男喃 [3]奶赧 [5]难{～民}																																												
l	[2]兰拦栏阑澜斓篮 [3]览榄揽缆懒婪槛 [5]烂滥																																												
ts	[1]簪 [2]咱攒 [3]暂赞																																												
tsʰ	[1]餐参惨掺搀 [2]蚕惭残谗馋 [3]产铲 [5]灿孱璨																																												
s	[1]三叁山衫珊杉 [3]伞散馓 [5]散{分～}																																												
tʂ	[1]占{～卜}沾粘{～上}毡詹瞻 [3]斩崭展搌辗盏 [5]占{～领}战站绽颤湛栈蘸																																												
tʂʰ	[1]□{耽搁，停留} [2]缠单{～于}禅蝉婵 [5]忏颤{～动}																																												
ʂ	[1]苫{草～子}删跚煽芟 [3]闪陕 [5]善膳缮鳝赡擅扇苫{～屋}																																												
ʐ	[2]然燃 [3]染冉																																												
k	[1]干{～杯}竿肝杆甘柑 [3]赶秆杆{笔～}敢感 [5]干赣绀淦																																												
kʰ	[1]看{～门}刊堪龛勘戡 [3]坎砍侃槛 [5]看憨																																												
x	[1]酣憨犴鼾蚶 [2]寒邯韩含=函涵 [3]喊 [5]汗罕汉旱悍焊捍翰瀚憾撼																																												
	[1]安鞍庵 [3]俺 [5]按案岸暗谙黯																																												
#iã																																													
p	[1]煸蝙编鞭边 [3]扁匾贬 [5]辩辨辫汴变遍便																																												
pʰ	[1]篇偏 [2]便{～宜} [3]谝 [5]骗片																																												
m	[2]棉绵眠 [3]免勉娩挽=冕渑丐湎腼 [5]面																																												
t	[1]颠掂 [3]点典碘 [5]淀奠垫电店惦玷佃甸殿																																												
tʰ	[1]天添 [2]田填恬甜 [3]腆舔																																												
n	[1]拈蔫{性子慢，行动拖沓} [2]年黏 [3]辇撵捻碾 [5]念捻{～子}																																												
l	[2]帘廉镰联连莲涟怜 [3]敛脸 [5]恋炼练链																																												
tɕ	[1]兼奸肩煎监歼尖坚间艰 [3]剪柬碱拣茧检俭简笺践 [5]箭贱溅饯渐荐鉴见舰剑件建健键毽间{～隔}涧																																												
tɕʰ	[1]千迁仟纤{化～}铅佥签牵谦潜 [2]前掮钳乾钱虔 [3]浅 [5]欠嵌歉																																												
ɕ	[1]鲜先仙掀锨 [2]嫌贤咸衔涎闲 [3]冼{姓}鲜{～见}显险 [5]见{～原形}现=县宪腺馅陷限羡献线																																												
	[1]焉燕{幽～}淹烟咽 [2]言彦颜谚炎严俨盐岩延筵檐沿阎焰衍 [3]演眼掩 [5]宴唁燕堰厌雁艳验咽{～气}																																												
#uã																																													
t	[1]端 [3]短断{～路} [5]断段缎锻																																												
tʰ	[2]团 [3]䜝{～人} [5]湍																																												
n	[3]暖卵																																												
l	[2]峦栾脔挛孪 [5]乱																																												
ts	[1]钻 [3]缵 [5]纂攥钻{十七～}																																												
tsʰ	[1]窜撺汆蹿 [2]攒{～射} [5]篡																																												
s	[1]酸 [5]算蒜																																												
tʂ	[1]专砖颛 [3]转{～身} [5]赚转{～向}传{～记}撰篆																																												
tʂʰ	[1]穿川 [2]传{～授}船椽 [3]喘舛 [5]串遄																																												
ʂ	[1]栓拴闩 [5]涮																																												
ʐ	[3]软阮																																												
k	[1]官倌棺关冠{衣～}观 [3]管馆 [5]冠{～军}灌罐观{台～}贯惯掼																																												
kʰ	[1]宽 [3]款																																												
x	[1]欢 [2]桓环还{回～} [3]缓浣 [5]宦豢患奂唤涣焕换痪幻																																												
	[1]弯湾剜 [2]完玩顽丸纨 [3]皖宛惋婉蜿腕挽晚 [5]万																																												
#yã																																													
tɕ	[1]捐涓娟鹃镌蠲 [3]卷 [5]眷卷{试～}圈{猪～}倦绢																																												
tɕʰ	[1]圈 [2]全诠痊泉拳权醛荃铨 [3]犬畎蜷 [5]劝																																												
ɕ	[1]宣喧暄渲轩 [2]旋漩悬玄泫炫眩 [3]选癣 [5]楦现-{～洋}																																												
	[1]渊冤鸳 [2]元园原源袁辕员圆援嫒{蝉～}缘垣苑 [3]远 [5]院愿怨																																												
#ẽ																																													
p	[1]奔锛贲 [3]本苯畚 [5]笨奔{～头儿}																																												
pʰ	[1]喷{～泉} [2]盆 [5]喷{～香}喷{正：～吃饭来}																																												
m	[1]闷{～声～气}默 [2]门扪们 [3]每 [5]闷妹焖																																												
f	[1]分芬吩纷汾 [2]坟 [3]粉酚焚 [5]分{本～}粪愤奋份忿																																												
n	[3]您恁																																												
l	[2]林淋霖麟磷嶙鳞凛邻临 [5]吝赁蔺																																												
ts	[1]粘-{～起来} [3]怎																																												
tsʰ	[1]参{～差} [2]岑涔 [3]碜 [5]衬称{不～}																																												
s	[1]森参{人～}莘 [5]渗葚{桑～}																																												
tʂ	[1]真针斟珍诊贞 [3]枕稹缜疹 [5]震振赈阵镇																																												
