#注释	平阳方言记略，落橙抄
#调值	[1]44[2]31[3]54[4]24[5]32[6]22[7]35[8]213
#a	
tɕ	[1]沾毡张章樟薑姜疆僵煎笺尖兼肩坚障将[3]检茧剪浆掌长{生~}涨{~水}展者[5]帐账胀涨见剑建箭溅荐将奖酱仗占战[7]折结洁接节即辄摺劫揭
tɕʰ	[1]昌枪腔籤签迁千歼牵谦 [3]浅抢厂[5]欠嗆唱倡畅[7]切挈{提~}
dʑ	[2]场强钱乾{~坤}虔钳[4]件俭丈杖[6]健长{~短}肠贱[8]彻撤杰截
ȵ	[1]粘研[2]泥尼宜疑壤攘嚷严年言娘倪[3]仰染[6]砚验念让义议艺腻[8]热业聂孽
ɕ	[1]商伤箱厢湘襄镶香乡先鲜仙轩[3]险享响想赏陕癣[5]线饷向相據扇宪献显苋闪[7]歇
ʑ	[2]然蝉燃尚當尝偿详祥翔墙前[4]像象橡善[6]渐匠上[8]蚀舌涉
ʔ	[1]央秧殃烟淹蔫{食物不新鲜}[3]演养痒野[5]醃嫌厌掩燕咽宴晏[7]噎谒
∅︀	[2]羊洋杨阳扬贤延盐簷阎炎[6]现样恙[8]协叶翼
#ɔ	
p	[1]包班斑颁扳[3]饱板版[5]扮豹爆
pʰ	[1]拋攀[3]跑[5]盼泡炮
b	[2]爿瓣[4]棒鲍[6]办刨[8]拔{又读}
m	[1]猫[2]茅锚矛蛮漫[3]网卯[6]幔漫貌慢[8]袜
f	[1]芳方翻番[3]反贩妨访纺彷仿[5]放[7]髪发法
v	[1]弯湾[2]亡房防还环帆烦繁矾凡[3]晚挽[4]范犯[6]饭患宦顽万换忘望[7]挖[8]滑活罚乏
t	[1]担{~任}丹单[3]胆[5]旦担{挑~}[7]搭
tʰ	[1]它他{又读}坍滩摊[3]坦毯[5]炭叹[7]塔塌
d	[2]檀弹{~琴}谈痰谭[4]淡[6]但弹{子~}蛋[8]踏达
n	[2]挠难{~易}[3]那赧[6]闹难{患~}[8]拿
l	[1]拉{又读}[2]篮兰拦栏蓝[3]懒览揽[6]烂滥[8]腊辣
ts	[1]抓[3]斩盏爪找[5]罩蘸赞[7]窄札紮扎
tsʰ	[1]抄钞搀餐[3]铲产炒吵[5]□{咒骂}[7]擦插察
dz	[2]残惭[6]暂栈站赚
s	[1]稍山衫三删[3]伞散鞋{鞋带~了}晓-{~得}散[7]杀
z	[2]馋[8]弱若闸鍘
k	[1]艰间涧交郊胶关监姦奸[3]减绞狡简柬拣搅{玩玩叫~~}[5]碱惯教校{~对}较酵鉴[7]刮括甲夹袂
kʰ	[1]敲宽[3]巧舰[5]嵌[7]阔恰掐
ɡ	[2]啣[1]甩[8]轧
ŋ	[2]颜岩衔涯崖[3]眼咬[6]雁
h	[3]喊[5]孝[7]瞎喝
ɦ	[2]函闲閒衔{又读}咸[4]限[6]陷馅效校{学~}[8]匣辖洽狭
ʔ	[1]凹[5]□{答应的声音}[7]压鸭押
#iɔ	
tɕ	[7]脚着
tɕʰ	[7]鹊怯却
dʑ	[8]着{又读}
ȵ	[3]鸟=[7]捏[8]虐瘧
ɕ	[3]晓[7]削
ʑ	[8]嚼
ʔ	[7]约
∅︀	[8]钥药跃
#œ	
p	[1]褒[3]宝堡保[5]报
b	[2]袍[4]暴抱[6]暴{又读}
m	[2]谋毛[3]亩[6]冒帽贸茂
f	[3]否[7]□{“不好”的合音}
v	[2]浮[6]复
t	[1]刀[3]祷岛倒捣[5]到倒{~水}
tʰ	[1]滔{3}讨=[5]套
d	[2]逃陶桃涛[4]稻道[6]盗导
n	[3]恼脑
l	[1]捞[2]劳牢[3]老
ts	[1]遭糟脏[3]早枣澡[5]灶躁
tsʰ	[1]操[3]草[5]糙
s	[1]骚臊[3]嫂[5]扫
z	[2]槽曹[4]皂造
k	[1]高膏羔糕[3]稿[5]告
kʰ	[1]烤[3]考[5]靠
ŋ	[2]熬[6]傲
h	[1]蒿[3]好[5]好{喜~}耗
ɦ	[2]豪毫[4]浩[6]号
ʔ	[1]熬{𤏶}[3]袄[5]奥
#ɿ	
ts	[1]知资智蜘脂之芝姿兹滋[3]紫姊旨指止址子[5]置至志誌痣致[7]只
tsʰ	[1]雌[3]此耻齿翅[5]刺次看-
dz	[2]迟[6]治
s	[1]思师施诗狮尸屍斯撕私司丝梳[3]始史使驶矢死[5]赐四肆试
z	[2]匙时辞词祠瓷糍慈磁[4]恃柿士市是而 [6]自饲寺似祀事示字视
#i	
p	[3]彼比[5]臂篦祕蔽鄙闭
pʰ	[1]披批[5]屁譬
b	[2]皮疲脾肥-[4]被{棉~}[6]被备避敝弊币毙[8]鼻
m	[1]□{眼闭起来}[2]迷谜弥糜[3]米[6]未-味-
f	[1]飞非[3]匪[5]废疿费肺
v	[2]微肥[4]尾=[6]未=味=
t	[1]低[3]底抵[5]帝[7]的滴
tʰ	[1]梯[3]体[5]替涕剃
d	[2]堤题提啼蹄[2]第弟[6]递第{门~}隶地[6]敌狄笛
l	[2]梨厘狸离篱犁黎来-[3]礼李里裏理鲤[6]利痢吏丽例厉励泪[8]力历曆
ts	[1]猪遮支枝肢[3]纸煮[5]祭际济剂借制[7]浙哲脊迹绩蹟积职隻
tsʰ	[1]妻凄[3]鼠且[7]赤尺
dz	[2]池驰[4]苧[8]直值植
s	[1]希牺西犀熙嬉[3]洗写舍捨喜[5]细卸泻世势赦壻些系戏[7]释识适式惜息熄析锡啬设泄薛
z	[2]脐齐邪蛇徐[4]社[6]射誓谢逝[6]席食石籍
tɕ	[1]猪遮枝肢支机讥饥鸡基羁[3]挤己几纪纸煮[5]祭际济剂计继系寄既季记借制冀[7]浙积脊迹蹟绩织职隻哲
tɕʰ	[1]溪欺妻凄[3]启起岂鼠且企[5]器契弃[7]吃赤尺
dʑ	[2]池驰茄棋麒期其奇骑旗[4]苧[6]技妓忌[8]直值植
ȵ	[3]你
ɕ	[1]希牺西犀熙嬉[3]洗写喜[5]细卸泻壻系戏[7]释识适式惜息熄析锡啬设泄薛
ʑ	[2]齐脐邪蛇徐[4]社[6]射誓谢逝[8]席食石籍
kʰ	[5]去-
ɡ	[2]渠-{他}
ʔ	[1]衣依医[3]倚椅已以[5]意亿[7]一{又读}
∅︀	[2]夷姨移怡贻[6]异易{容~}夜肄[8]易{交~}亦译
#u	
p	[1]波玻[3]补谱[5]佈播布[7]卜
pʰ	[1]坡铺[3]普颇浦[5]铺{店~}破=[7]撲{又读}
b	[2]婆蒲葡[4]簿部[6]步埠捕孵[8]□{被蚊子等咬后而起的块儿}
m	[2]模磨{~刀}摩魔[1]母某[6]磨{~粉}幕暮慕墓募[6]木目牧
f	[1]呼敷簌肤夫[3]府腑俯甫斧辅[5]傅富付[7]福腹複
v	[2]符扶[4]妇负父[6]附腐[8]服伏
t	[1]多[5]剁[7]督笃
tʰ	[1]拖[3]妥[7]忒-
d	[2]驼驮[4]惰堕[6]大-[8]独牍读毒
n	[2]努奴[6]怒糯
l	[2]罗锣箩骡[3]鲁橹滷裸[8]陆鹿
ts	[3]组阻左[5]做[7]粥竹祝筑菊{又读}
tsʰ	[1]初搓[3]楚础[7]畜{~牲}麯{又读}
s	[1]蓑梭[3]锁琐[5]数{名词}素{平~}[7]畜{~牧}蓄叔宿速粟{又读}缩{又读}朔{又读}束{又读}
z	[2]锄[6]助[8]熟=褥族辱俗{又读}续{又读}赎{又读}
k	[1]歌锅姑辜孤估哥戈[3]古股鼓果裹[5]故固雇顾过[7]谷穀
kʰ	[1]科窠枯[3]苦[5]库裤颗课[7]哭
ŋ	[2]蛾=鹅=俄=[6]卧饿=
h	[3]火伙虎[5]货
ʔ	[1]乌污[5]恶{可~}[7]握屋
∅	[2]河何荷禾和{~气}无=湖糊{浆~}狐葫壶鬍胡[4]武舞户祸[6]糊{粥~}护务雾互和贺
#y	
t	[1]都[3]赌堵肚{猪~}[5]妒
tʰ	[3]吐土[5]兎
d	[2]徒途涂图屠[4]肚[6]度渡镀杜
l	[2]卢炉芦驴[3]吕旅[6]露路虑滤类
ts	[1]追朱硃珠株蛛诸[3]祖咀[5]注蛀驻铸著醉
tsʰ	[1]吹炊粗[5]处醋趣
dz	[2]除厨[4]柱储[6]住
s	[1]尿虽须鬚需虚苏舒输书酥疏[3]数{动~}许水[5]素{荤~}诉塑黍暑絮税岁
z	[2]随隋谁如[4]乳竖殊序叙绪聚[6]树穂瑞
tɕ	[1]龟规轨追锥拘驹居租朱硃珠株蛛诸车[3]祖主举咀鬼[5]注蛀驻铸著醉-锯句据桂贵
tɕʰ	[1]吹炊粗区驱[3]取娶[5]去=醋处趣
dʑ	[2]槌锤垂葵渠厨除[4]柱储巨拒距跪[6]住具柜
ȵ	[2]危鱼愚虞娱渔[3]女语[6]遇寓伪御禦
ɕ	[1]须鬚虽需虚书[3]许[5]塑黍暑絮税岁
ʑ	[2]如隋[4]殊序叙绪聚[6]树穗瑞
ʔ	[1]威[3]与{给~}[5]餵畏
∅︀	[2]余馀遗围违维惟于盂[4]雨宇禹[6]榆愉与{参~}誉预裕喻胃谓蜩伟苇卫惠慧位羽
#ai	
p	[1]悲卑碑杯[5]辈背贝[7]北{又读}
pʰ	[1]坯[5]配
b	[2]培陪赔[4]倍[6]佩
m	[1]媄{小孩}[2]霉梅玫媒[1]每尾-美[6]妹味[7]墨默
f	[1]挥辉徽灰[3]毁悔[5]贿讳晦
v	[1]煨[2]回桅[3]委[6]魏汇会绘
t	[1]堆[3]□{拉}[5]对
tʰ	[1]推[3]腿[5]退
d	[2]颓[6]队兑
n	[2]□{用手揉面}[6]内
l	[2]雷擂[3]累儡[6]泪{又读}𨀤{摔了}
ts	[1]□{打睏~，打瞌睡}[5]醉=最
tsʰ	[1]崔催[5]脆翠
dz	[6]□{〜嵌，摔倒}
s	[1]衰[3]□{小}[5]碎
z	[4]罪[6]锐蕊睡
k	[1]归[5]会{~计}个[7]□{这}
kʰ	[1]亏恢盔奎魁[3]傀[5]块
ɡ	[6]溃愧
ŋ	[6]饿
h	[3]□{那}
#au	
t	[1]兜[3]斗抖陡[5]鬥
tʰ	[1]偷[5]透
d	[2]投[6]□{~死，用毒药毒死}
l	[2]楼[3]搂篓[6]漏陋
ts	[1]邹[3]走[5]皱绉奏
tsʰ	[5]凑
dz	[6]骤
s	[1]搜馊[3]漱叟[5]嗽
z	[2]愁
k	[1]勾钩沟[3]狗苟[5]够构购媾
kʰ	[3]口 [5]扣寇叩
ɡ	[2]□{刨}[4]厚
ŋ	[2]牛[3]偶藕
h	[1]□{~背，驼背}[3]□{那边}[5]□{重重地打}
ɦ	[2]侯喉猴[6]候
ʔ	[1]欧呕[3]后後
#iau	
tɕ	[1]纠鸠[3]久韭九[5]救灸究
tɕʰ	[1]丘[3]讨-
ɕ	[2]囚求球[4]舅咎臼[6]旧
ȵ	[1]扭[3]纽[6]□{哪儿}
ɕ	[1]休[5]朽
ʔ	[1]幼忧优悠幽[3]有友
∅︀	[2]尤邮由油游遊犹[6]又右祐
#eu	
t	[1]丢
d	[2]头骰[6]豆痘
l	[1]溜[2]流刘留榴琉硫[3]柳[8]六
ts	[1]揫周舟州洲[3]酒帚[5]昼咒
ts	[1]秋抽[3]醜丑[5]臭
dz	[2]绸稠筹酬仇售
s	[1]收修羞[3]手首守[5]瘦兽秀繡锈
z	[2]柔揉[4]受[6]袖寿授就{~义}[8]就熟-
#iu	
tɕ	[7]菊
tɕʰ	[7]麯
dʑ	[8]□{摇撼}
ȵ	[8]肉
ʔ	[7]育
∅︀	[8]域疫役
#aŋ	
p	[1]奔畚[3]本
pʰ	[1]喷[5]喷{~香}
b	[6]笨
m	[2]门[6]闷
f	[1]分芬纷[3]粉[5]粪奋
v	[2]文纹坟[4]愤忿[6]混浑闻问份
t	[1]登灯[3]等[5]顿瞪凳
tʰ	[3]□{用脚踢}[5]褪{脱壳叫~壳}
d	[2]謄腾藤[6]盾邓
n	[2]能人-[3]暖-[7]□{这样}
