單字	聲紐	攝	韻部	呼	等	聲調	組	(斗山墟) 聲母	(斗山墟) 韻母	(斗山墟) 聲調號	(斗山墟) 聲調名	IPA	備註						
匾	幫	山	先	開	四	上	幫	b	en	2		pɛn⁵⁵							
扁	幫	山	先	開	四	上	幫	b	en	2		pɛn⁵⁵	扁平						
扁	滂	山	仙A	開	三	平	幫	p	en	2		pʰɛn³³	一葉扁舟						
貶	幫	咸	鹽B	開	三	上	幫	b	en	2		pɛn⁵⁵							
便	並	山	仙A	開	三	平	幫	p	en	4		pʰɛn²²	便宜						
便	並	山	仙A	開	三	去	幫	b	en	5(6)		pɛn¹¹	便利						
汴	並	山	仙B	開	三	去	幫	b	en	5(6)		pɛn¹¹							
變	幫	山	仙B	開	三	去	幫	b	en	1(3)		pɛn³³							
辨	並	山	仙B	開	三	上	幫	b	en	5(6)		pɛn¹¹							
辮	並	山	先	開	四	上	幫	b	en	5(6)		pɛn¹¹							
辯	並	山	仙B	開	三	上	幫	b	en	5(6)		pɛn¹¹							
遍	幫	山	先	開	四	去	幫	p	en	1(3)		pʰɛn³³							
彪	幫	流	幽	開	三	平	幫	b	iu	1(3)		piu³³							
標	幫	效	宵A	開	三	平	幫	b	iu	1(3)		piu³³							
鑣	幫	效	宵B	開	三	平	幫	b	iu	1(3)		piu³³							
飆	幫	效	宵A	開	三	平	幫	b	iu	1(3)		piu³³							
表	幫	效	宵B	開	三	上	幫	b	iu	2		piu⁵⁵							
錶	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	b	iu	1(3)	陰平（陰去）	piu³³	鐘錶						
癟	並	山	先	開	四	入	幫	p	aat	8		pʰat³							
別	並	山	仙B	開	三	入	幫	b	et	9		pɛt¹							
彆	幫	蟹	祭A	開	三	去	幫												
彬	幫	臻	真B	開	三	平	幫	b	en	1(3)		pɛn³³							
檳	幫	臻	真A	開	三	平	幫	b	en	1(3)		pɛn³³							
濱	幫	臻	真A	開	三	平	幫	b	en	1(3)		pɛn³³							
瀕	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A												
繽	滂	臻	真A	開	三	平	幫	b	en	1(3)		pɛn³³							
賓	幫	臻	真A	開	三	平	幫	b	en	1(3)		pɛn³³							
臏	並	臻	真A	開	三	上	幫	b	en	1(3)		pɛn³³							
鬢	幫	臻	真A	開	三	去	幫	b	en	1(3)		pɛn³³							
兵	幫	梗	庚	開	三	平	幫	b	ing	1(3)		pɪŋ³³							
冰	幫	曾	蒸	開	三	平	幫	b	ing	1(3)		pɪŋ³³							
丙	幫	梗	庚	開	三	上	幫	b	ing	2		pɪŋ⁵⁵					背書		
柄	幫	梗	庚	開	三	去	幫	b	ieng	5(6)	低變調	piɛŋ¹¹	低變調						
炳	幫	梗	庚	開	三	上	幫	b	ing	2		pɪŋ⁵⁵							
秉	幫	梗	庚	開	三	上	幫	b	ing	2		pɪŋ⁵⁵							
稟	幫	深	侵B	開	三	上	幫	b	en	2		pɛn⁵⁵							
餅	幫	梗	清A	開	三	上	幫	b	ieng	2		piɛŋ⁵⁵							
並	並	梗	青	開	四	上	幫	b	ing	5(6)		pɪŋ¹¹							
併	幫	梗	清A	開	三	上	幫	b	ing	5(6)		pɪŋ¹¹							
并	幫	梗	清A	開	三	平	幫	b	ing	5(6)		pɪŋ¹¹							
摒	幫	梗	清A	開	三	去	幫	b	ing	2		pɪŋ⁵⁵							
病	並	梗	庚	開	三	去	幫	b	ieng	5(6)		piɛŋ¹¹							
蔔	並	曾	登	開	一	入	幫	b	aak	9		pak¹	蘿蔔luɔ²² pak¹¹⁵						
剝	幫	江	江	開	二	入	幫	m	ok	8	下陰入	mɔk³	剝皮						
剝								m	ok	7	上陰入	mɔk⁵	剝削mɔk⁵ ɬiɛk⁵						
撥	幫	山	寒	開	一	入	幫	b	uot	7		puɔt⁵	文讀。撥款puɔt⁵ fuɔn⁵⁵						
撥	幫	山	寒	開	一	入	幫	b	uot	9	低變調	puɔt¹	白讀，名詞及動詞						
播	幫	果	歌	開	一	去	幫	b	uo	1(3)		puɔ³³							
波	幫	果	歌	開	一	平	幫	b	uo	1(3)		puɔ³³							
玻	滂	果	歌	開	一	平	幫	b	uo	1(3)		puɔ³³	玻璃有puɔ³³ li²²⁵及puɔ⁵⁵ li⁵⁵兩讀。						
缽	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	b	uot	9		puɔt¹	陶瓷製作之缽讀低調						
缽	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	b	uot	7		puɔt⁵	金屬製作之缽讀高調						
菠	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	b	uo	1(3)		puɔ³³							
伯	幫	梗	庚	開	二	入	幫	b	aak	7		pak⁵	文讀，人名用字						
伯	幫	梗	庚	開	二	入	幫	b	aak	9		pak¹	伯公，阿伯,西伯利亞						
伯	幫	梗	庚	開	二	入	幫	b	aa	2		pa⁵⁵	阿拉伯						
勃	並	臻	魂	合	一	入	幫	b	uot	9		puɔt¹							
博	幫	宕	唐	開	一	入	幫	b	ok	7		pɔk⁵							
帛	並	梗	庚	開	二	入	幫	b	aak	9		pak¹							
搏	幫	遇	虞	合	三	去	幫	b	ok	8		pɔk³							
柏	幫	梗	庚	開	二	入	幫	p	aak	7		pʰak⁵							
泊	並	宕	唐	開	一	入	幫	b	ok	9		pɔk¹							
渤	並	臻	魂	合	一	入	幫	b	uot	9		puɔt¹							
礴	並	宕	唐	開	一	入	幫	b	ok	9		pɔk¹							
箔	並	宕	唐	開	一	入	幫	b	ok	9		pɔk¹							
脖	並	臻	魂	合	一	入	幫	b	uot	9		puɔt¹							
膊	滂	宕	唐	開	一	入	幫	b	ok	8		pɔk³							
薄	並	宕	唐	開	一	入	幫	b	ok	9		pɔk¹							
駁	幫	江	江	開	二	入	幫	b	ok	8		pɔk³							
跛	幫	止	支B	開	三	去	幫												
跛	幫	果	歌	開	一	上	幫	b	aai	2		pai⁵⁵	跛腳						
