繁体字	简体字	国际音标	吴语拼音	备注	调类	调值					
廟	庙	miɔ213	miau6		6	213		m	iau	m	iɔ
妙	妙	miɔ213	miau6		6	213		m	iau	m	iɔ
燎	燎	liɔ24	liau2		2	24		l	iau	l	iɔ
療	疗	liɔ24	liau2		2	24		l	iau	l	iɔ
焦	焦	tsiɔ53	tsiau1		1	53		ts	iau	ts	iɔ
蕉	蕉	tsiɔ53	tsiau1		1	53		ts	iau	ts	iɔ
椒	椒	tsiɔ53	tsiau1		1	53		ts	iau	ts	iɔ
鍬	锹	tsʰiɔ53	tshiau1		1	53		tsh	iau	tsʰ	iɔ
繰	缲	tsʰiɔ53	tshiau1		1	53		tsh	iau	tsʰ	iɔ
消	消	siɔ53	siau1		1	53		s	iau	s	iɔ
宵	宵	siɔ53	siau1		1	53		s	iau	s	iɔ
霄	霄	siɔ53	siau1		1	53		s	iau	s	iɔ
銷	销	siɔ53	siau1		1	53		s	iau	s	iɔ
小	小	siɔ44	siau3		3	44		s	iau	s	iɔ
笑	笑	siɔ423	siau5		5	423		s	iau	s	iɔ
朝	朝	tsɔ53	tsau1	明~（明天）。	1	53		ts	au	ts	ɔ
朝	朝	dzɔ24	dzau2	~鲜；~向；~代。	2	24		dz	au	dz	ɔ
超	超	tsʰɔ53	tshau1		1	53		tsh	au	tsʰ	ɔ
潮	潮	dzɔ24	dzau2		2	24		dz	au	dz	ɔ
趙	赵	dzɔ31	dzau4		4	31		dz	au	dz	ɔ
兆	兆	dzɔ31	dzau4		4	31		dz	au	dz	ɔ
昭	昭	tsɔ53	tsau1		1	53		ts	au	ts	ɔ
照	照	tsɔ423	tsau5		5	423		ts	au	ts	ɔ
少	少	sɔ423	sau5	~年。	5	423		s	au	s	ɔ
少	少	sɔ44	sau3	多~。	3	44		s	au	s	ɔ
紹	绍	zɔ31	zau4		4	31		z	au	z	ɔ
邵	邵	zɔ213	zau6		6	213		z	au	z	ɔ
饒	饶	ȵiɔ24	gniau2		2	24		gn	iau	ȵ	iɔ
繞	绕	ȵiɔ213	gniau6		6	213		gn	iau	ȵ	iɔ
喬	乔	dʑiɔ24	jiau2		2	24		j	iau	dʑ	iɔ
橋	桥	dʑiɔ24	jiau2		2	24		j	iau	dʑ	iɔ
僑	侨	dʑiɔ24	jiau2		2	24		j	iau	dʑ	iɔ
轎	轿	dʑiɔ213	jiau6		6	213		j	iau	dʑ	iɔ
妖	妖	iɔ53	iau1		1	53			iau		iɔ
邀	邀	iɔ53	iau1		1	53			iau		iɔ
要	要	iɔ53	iau1	~求。	1	53			iau		iɔ
要	要	iɔ423	iau5	重~。	5	423			iau		iɔ
揺	揺	ɦiɔ24	yau2		2	24		y	au	ɦ	iɔ
謠	谣	ɦiɔ24	yau2		2	24		y	au	ɦ	iɔ
窯	窑	ɦiɔ24	yau2		2	24		y	au	ɦ	iɔ
姚	姚	ɦiɔ24	yau2		2	24		y	au	ɦ	iɔ
舀	舀	ɦiɔ31	yau4		4	31		y	au	ɦ	iɔ
耀	耀	ɦiɔ213	yau6		6	213		y	au	ɦ	iɔ
鷂	鹞	ɦiɔ213	yau6		6	213		y	au	ɦ	iɔ
刁	刁	tiɔ53	tiau1		1	53		t	iau	t	iɔ
貂	貂	tiɔ53	tiau1		1	53		t	iau	t	iɔ
雕	雕	tiɔ53	tiau1		1	53		t	iau	t	iɔ
鳥	鸟	tiɔ44	tiau3		3	44		t	iau	t	iɔ
鳥	鸟	ȵiɔ44	gniau3	模仿北方官话的发音。	3	44		gn	iau	ȵ	iɔ
釣	钓	tiɔ423	tiau5		5	423		t	iau	t	iɔ
吊	吊	tiɔ423	tiau5		5	423		t	iau	t	iɔ
挑	挑	tʰiɔ53	thiau1		1	53		th	iau	tʰ	iɔ
跳	跳	tʰiɔ423	thiau5		5	423		th	iau	tʰ	iɔ
條	条	diɔ24	diau2		2	24		d	iau	d	iɔ
調	调	diɔ24	diau2		2	24		d	iau	d	iɔ
調	调	diɔ213	diau6		6	213		d	iau	d	iɔ
掉	掉	diɔ213	diau6		6	213		d	iau	d	iɔ
尿	尿	ȵiɔ44	gniau3	~素；糖~病。	3	44		gn	iau	ȵ	iɔ
尿	尿	sɿ53	sy1	拆~（小便）。	1	53		s	y	s	ɿ
遼	辽	liɔ24	liau2		2	24		l	iau	l	iɔ
聊	聊	liɔ24	liau2		2	24		l	iau	l	iɔ
撩	撩	liɔ24	liau2		2	24		l	iau	l	iɔ
寥	寥	liɔ24	liau2		2	24		l	iau	l	iɔ
了	了	liɔ31	liau4		4	31		l	iau	l	iɔ
料	料	liɔ213	liau6		6	213		l	iau	l	iɔ
蕭	萧	siɔ53	siau1		1	53		s	iau	s	iɔ
簫	箫	siɔ53	siau1		1	53		s	iau	s	iɔ
澆	浇	tɕiɔ53	ciau1		1	53		c	iau	tɕ	iɔ
繳	缴	kɔ53	kau1	【白读】~费。	1	53		k	au	k	ɔ
繳	缴	tɕiɔ53	ciau1	【文读】~枪。	1	53		c	iau	tɕ	iɔ
叫	叫	tɕiɔ423	ciau5		5	423		c	iau	tɕ	iɔ
叫	叫	kɔ423	kau5	~花子。	5	423		k	au	k	ɔ
曉	晓	ɕiɔ44	shiau3		3	44		sh	iau	ɕ	iɔ
麼	幺	iɔ53	iau1		1	53			iau		iɔ
剖	剖	pʰᴇ53	phei1		1	53		ph	ei	pʰ	ᴇ
剖	剖	pʰu53	phu1	~开。	1	53		ph	u	pʰ	u
某	某	mᴇ31	mei4		4	31		m	ei	m	ᴇ
母	母	mu53	mu1	【文读】~亲。	1	53		m	u	m	u
母	母	mu31	mu4		4	31		m	u	m	u
母	母	m̩31	m4	【白读】丈~；伯~。	4	31			m		m̩
姆	姆	mu31	mu4	【文读】保~。	4	31		m	u	m	u
姆	姆	m̩53	m1	【白读】~妈（母亲）。	1	53			m		m̩
畝	亩	mᴇ31	mei4	【文读】~产。	4	31		m	ei	m	ᴇ
畝	亩	m̩31	m4	【白读】面积单位。	4	31			m		m̩
拇	拇	mu53	mu1		1	53		m	u	m	u
茂	茂	mᴇ213	mei6		6	213		m	ei	m	ᴇ
貿	贸	mᴇ213	mei6		6	213		m	ei	m	ᴇ
兜	兜	tᴇ53	tei1		1	53		t	ei	t	ᴇ
鬥	斗	tᴇ423	tei5		5	423		t	ei	t	ᴇ
斗	斗	tᴇ44	tei3		3	44		t	ei	t	ᴇ
抖	抖	tᴇ44	tei3		3	44		t	ei	t	ᴇ
陡	陡	tᴇ44	tei3		3	44		t	ei	t	ᴇ
偷	偷	tʰᴇ53	thei1		1	53		th	ei	tʰ	ᴇ
透	透	tʰᴇ423	thei5		5	423		th	ei	tʰ	ᴇ
頭	头	dᴇ24	dei2		2	24		d	ei	d	ᴇ
投	投	dᴇ24	dei2		2	24		d	ei	d	ᴇ
豆	豆	dᴇ213	dei6		6	213		d	ei	d	ᴇ
樓	楼	lᴇ24	lei2		2	24		l	ei	l	ᴇ
漊	溇	lᴇ24	lei2		2	24		l	ei	l	ᴇ
婁	娄	lᴇ24	lei2		2	24		l	ei	l	ᴇ
婁	娄	liɯ24	liou2	~塘（上海嘉定地名）。	2	24		l	iou	l	iɯ
浏	浏	liɯ24	liou2		2	24		l	iou	l	iɯ
疁	疁	lᴇ24	lei2	嘉定的别称。	2	24		l	ei	l	ᴇ
摟	搂	lᴇ31	lei4		4	31		l	ei	l	ᴇ
簍	篓	lᴇ24	lei2		2	24		l	ei	l	ᴇ
漏	漏	lᴇ213	lei6		6	213		l	ei	l	ᴇ
陋	陋	lᴇ213	lei6		6	213		l	ei	l	ᴇ
走	走	tsᴇ44	tsei3		3	44		ts	ei	ts	ᴇ
奏	奏	tsᴇ423	tsei5		5	423		ts	ei	ts	ᴇ
湊	凑	tsʰᴇ423	tshei5		5	423		tsh	ei	tsʰ	ᴇ
勾	勾	kᴇ53	kei1		1	53		k	ei	k	ᴇ
勾	勾	kᴇ423	kei5	~当。	5	423		k	ei	k	ᴇ
鉤	钩	kᴇ53	kei1		1	53		k	ei	k	ᴇ
溝	沟	kᴇ53	kei1		1	53		k	ei	k	ᴇ
狗	狗	kᴇ44	kei3		3	44		k	ei	k	ᴇ
夠	够	kᴇ423	kei5		5	423		k	ei	k	ᴇ
購	购	kᴇ44	kei3		3	44		k	ei	k	ᴇ
構	构	kᴇ44	kei3		3	44		k	ei	k	ᴇ
口	口	kʰᴇ44	khei3		3	44		kh	ei	kʰ	ᴇ
扣	扣	kʰᴇ423	khei5		5	423		kh	ei	kʰ	ᴇ
藕	藕	ŋᴇ31	ngei4		4	31		ng	ei	ŋ	ᴇ
偶	偶	ŋᴇ31	ngei4		4	31		ng	ei	ŋ	ᴇ
吼	吼	hᴇ44	hei3		3	44		h	ei	h	ᴇ
侯	侯	ɦᴇ24	ghei2		2	24		gh	ei	ɦ	ᴇ
喉	喉	ɦᴇ24	ghei2		2	24		gh	ei	ɦ	ᴇ
猴	猴	ɦᴇ24	ghei2		2	24		gh	ei	ɦ	ᴇ
厚	厚	ɦᴇ31	ghei4		4	31		gh	ei	ɦ	ᴇ
後	后	ɦᴇ31	ghei4	前~；先~；以~。	4	31		gh	ei	ɦ	ᴇ
后	后	ɦᴇ31	ghei4	皇~。	4	31		gh	ei	ɦ	ᴇ
候	候	ɦᴇ213	ghei6		6	213		gh	ei	ɦ	ᴇ
歐	欧	ᴇ53	ei1		1	53			ei		ᴇ
甌	瓯	ᴇ53	ei1		1	53			ei		ᴇ
嘔	呕	ᴇ44	ei3	吐。	3	44			ei		ᴇ
毆	殴	ᴇ53	ei1		1	53			ei		ᴇ
否	否	fᴇ44	fei3		3	44		f	ei	f	ᴇ
富	富	fu423	fu5		5	423		f	u	f	u
副	副	fu423	fu5		5	423		f	u	f	u
浮	浮	vᴇ24	vei2		2	24		v	ei	v	ᴇ
浮	浮	vu24	vu2	大~（江苏无锡地名）；~桥（江苏太仓地名）。	2	24		v	u	v	u
婦	妇	vu31	vu4		4	31		v	u	v	u
負	负	vᴇ31	vei4		4	31		v	ei	v	ᴇ
謀	谋	mᴇ24	mei2		2	24		m	ei	m	ᴇ
矛	矛	mᴇ24	mei2		2	24		m	ei	m	ᴇ
扭	扭	ȵiɯ44	gniou3		3	44		gn	iou	ȵ	iɯ
流	流	liɯ24	liou2		2	24		l	iou	l	iɯ
劉	刘	liɯ24	liou2		2	24		l	iou	l	iɯ
留	留	lᴇ24	lei2		2	24		l	ei	l	ᴇ
瘤	瘤	lᴇ24	lei2		2	24		l	ei	l	ᴇ
榴	榴	liɯ24	liou2		2	24		l	iou	l	iɯ
柳	柳	liɯ31	liou4		4	31		l	iou	l	iɯ
溜	溜	liɯ53	liou1		1	53		l	iou	l	iɯ
酒	酒	tsiɯ44	tsiou3		3	44		ts	iou	ts	iɯ
秋	秋	tsʰiɯ53	tshiou1		1	53		tsh	iou	tsʰ	iɯ
就	就	dziɯ213	dziou6	【文读】~业。	6	213		dz	iou	dz	iɯ
就	就	zɯ213	zou6	【白读】副词；~近。	6	213		z	ou	z	ɯ
修	修	siɯ53	siou1		1	53		s	iou	s	iɯ
羞	羞	siɯ53	siou1		1	53		s	iou	s	iɯ
秀	秀	siɯ423	siou5		5	423		s	iou	s	iɯ
繡	绣	siɯ423	siou5		5	423		s	iou	s	iɯ
銹	锈	siɯ423	siou5		5	423		s	iou	s	iɯ
宿	宿	siɯ423	siou5	星~。	5	423		s	iou	s	iɯ
囚	囚	dziɯ24	dziou2		2	24		dz	iou	dz	iɯ
泅	泅	dziɯ24	dziou2		2	24		dz	iou	dz	iɯ
袖	袖	ziɯ213	ziou6		6	213		z	iou	z	iɯ
抽	抽	tsʰɯ53	tshou1		1	53		tsh	ou	tsʰ	ɯ
醜	丑	tsʰɯ44	tshou3		3	44		tsh	ou	tsʰ	ɯ
丑	丑	tsʰɯ44	tshou3		3	44		tsh	ou	tsʰ	ɯ
綢	绸	dzɯ24	dzou2		2	24		dz	ou	dz	ɯ
稠	稠	dzɯ24	dzou2		2	24		dz	ou	dz	ɯ
籌	筹	dzɯ24	dzou2		2	24		dz	ou	dz	ɯ
鄒	邹	tsᴇ53	tsei1		1	53		ts	ei	ts	ᴇ
皺	皱	tsᴇ423	tsei5		5	423		ts	ei	ts	ᴇ
愁	愁	zᴇ24	zei2		2	24		z	ei	z	ᴇ
搜	搜	sᴇ53	sei1		1	53		s	ei	s	ᴇ
餿	馊	sᴇ53	sei1		1	53		s	ei	s	ᴇ
瘦	瘦	sᴇ423	sei5		5	423		s	ei	s	ᴇ
週	周	tsɯ53	tsou1		1	53		ts	ou	ts	ɯ
舟	舟	tsɯ53	tsou1		1	53		ts	ou	ts	ɯ
州	州	tsɯ53	tsou1		1	53		ts	ou	ts	ɯ
洲	洲	tsɯ53	tsou1		1	53		ts	ou	ts	ɯ
帚	帚	tsɯ44	tsou3		3	44		ts	ou	ts	ɯ
咒	咒	tsɯ423	tsou5		5	423		ts	ou	ts	ɯ
臭	臭	tsʰɯ423	tshou5		5	423		tsh	ou	tsʰ	ɯ
收	收	sɯ53	sou1		1	53		s	ou	s	ɯ
手	手	sɯ44	sou3		3	44		s	ou	s	ɯ
首	首	sɯ44	sou3		3	44		s	ou	s	ɯ
守	守	sɯ44	sou3		3	44		s	ou	s	ɯ
獸	兽	sɯ423	sou5		5	423		s	ou	s	ɯ
仇	仇	dzɯ24	dzou2		2	24		dz	ou	dz	ɯ
仇	仇	dʑiɯ24	jiou2	姓。	2	24		j	iou	dʑ	iɯ
酬	酬	dzɯ24	dzou2		2	24		dz	ou	dz	ɯ
受	受	zɯ31	zou4		4	31		z	ou	z	ɯ
壽	寿	zɯ213	zou6		6	213		z	ou	z	ɯ
授	授	zɯ213	zou6		6	213		z	ou	z	ɯ
售	售	zɯ213	zou6		6	213		z	ou	z	ɯ
糾	纠	tɕiɯ53	ciou1		1	53		c	iou	tɕ	iɯ
鳩	鸠	tɕiɯ53	ciou1		1	53		c	iou	tɕ	iɯ
九	九	tɕiɯ44	ciou3		3	44		c	iou	tɕ	iɯ
久	久	tɕiɯ44	ciou3		3	44		c	iou	tɕ	iɯ
韭	韭	tɕiɯ44	ciou3		3	44		c	iou	tɕ	iɯ
究	究	tɕiɯ423	ciou5		5	423		c	iou	tɕ	iɯ
救	救	tɕiɯ423	ciou5		5	423		c	iou	tɕ	iɯ
丘	丘	tɕʰiɯ53	chiou1		1	53		ch	iou	tɕʰ	iɯ
求	求	dʑiɯ24	jiou2		2	24		j	iou	dʑ	iɯ
球	球	dʑiɯ24	jiou2		2	24		j	iou	dʑ	iɯ
舅	舅	dʑiɯ31	jiou4		4	31		j	iou	dʑ	iɯ
舊	旧	dʑiɯ213	jiou6		6	213		j	iou	dʑ	iɯ
牛	牛	ȵiɯ24	gniou2		2	24		gn	iou	ȵ	iɯ
休	休	ɕiɯ53	shiou1		1	53		sh	iou	ɕ	iɯ
朽	朽	ɕiɯ44	shiou3		3	44		sh	iou	ɕ	iɯ
嗅	嗅	ɕiɯ423	shiou5		5	423		sh	iou	ɕ	iɯ
嗅	嗅	hŋ̍423	hng5		5	423		h	ng	h	ŋ̍
憂	忧	iɯ53	iou1		1	53			iou		iɯ
優	优	iɯ53	iou1		1	53			iou		iɯ
尤	尤	ɦiɯ24	you2		2	24		y	ou	ɦ	iɯ
郵	邮	ɦiɯ24	you2		2	24		y	ou	ɦ	iɯ
有	有	ɦiɯ31	you4		4	31		y	ou	ɦ	iɯ
友	友	ɦiɯ31	you4		4	31		y	ou	ɦ	iɯ
又	又	ɦiɯ213	you6	【文读】	6	213		y	ou	ɦ	iɯ
又	又	ɦi213	yi6	【白读】	6	213		y	i	ɦ	i
右	右	ɦiɯ213	you6		6	213		y	ou	ɦ	iɯ
悠	悠	iɯ53	iou1		1	53			iou		iɯ
猶	犹	ɦiɯ24	you2		2	24		y	ou	ɦ	iɯ
由	由	ɦiɯ24	you2		2	24		y	ou	ɦ	iɯ
油	油	ɦiɯ24	you2		2	24		y	ou	ɦ	iɯ
遊	游	ɦiɯ24	you2		2	24		y	ou	ɦ	iɯ
釉	釉	ɦiɯ213	you6		6	213		y	ou	ɦ	iɯ
彪	彪	piɔ53	piau1		1	53		p	iau	p	iɔ
謬	谬	miɔ213	miau6		6	213		m	iau	m	iɔ
丟	丢	tiɯ53	tiou1		1	53		t	iou	t	iɯ
糾	纠	tɕiɯ53	ciou1		1	53		c	iou	tɕ	iɯ
幽	幽	iɯ53	iou1		1	53			iou		iɯ
幼	幼	iɯ423	iou5		5	423			iou		iɯ
耽	耽	tᴇ̃53	ten1		1	53		t	en	t	ᴇ̃
貪	贪	tʰᴇ̃53	then1		1	53		th	en	tʰ	ᴇ̃
探	探	tʰᴇ̃423	then5		5	423		th	en	tʰ	ᴇ̃
譚	谭	dᴇ̃24	den2		2	24		d	en	d	ᴇ̃
潭	潭	dᴇ̃24	den2		2	24		d	en	d	ᴇ̃
覃	覃	dᴇ̃24	den2		2	24		d	en	d	ᴇ̃
男	男	nᴇ̃24	nen2		2	24		n	en	n	ᴇ̃
南	南	nᴇ̃24	nen2		2	24		n	en	n	ᴇ̃
南	南	nɑ24	na2	~无阿弥陀佛。	2	24		n	a	n	ɑ
參	参	tsʰᴇ̃53	tshen1	~加。	1	53		tsh	en	tsʰ	ᴇ̃
慘	惨	tsʰᴇ̃44	tshen3		3	44		tsh	en	tsʰ	ᴇ̃
蠶	蚕	zᴇ̃24	zen2		2	24		z	en	z	ᴇ̃
感	感	kᴇ̃44	ken3		3	44		k	en	k	ᴇ̃
淦	淦	kᴇ̃423	ken5		5	423		k	en	k	ᴇ̃
赣	赣	kᴇ̃423	ken5		5	423		k	en	k	ᴇ̃
紺	绀	kᴇ̃423	ken5		5	423		k	en	k	ᴇ̃
堪	堪	kʰᴇ̃53	khen1		1	53		kh	en	kʰ	ᴇ̃
坎	坎	kʰᴇ̃44	khen3		3	44		kh	en	kʰ	ᴇ̃
砍	砍	kʰᴇ̃44	khen3		3	44		kh	en	kʰ	ᴇ̃
勘	勘	kʰᴇ̃423	khen5		5	423		kh	en	kʰ	ᴇ̃
含	含	ɦᴇ̃24	ghen2		2	24		gh	en	ɦ	ᴇ̃
庵	庵	ᴇ̃53	en1		1	53			en		ᴇ̃
暗	暗	ᴇ̃423	en5		5	423			en		ᴇ̃
搭	搭	taʔ5	taeq7		7	5		t	aeq	t	aʔ
答	答	tᴇʔ5	teq7		7	5		t	eq	t	ᴇʔ
踏	踏	daʔ23	daeq8		8	23		d	aeq	d	aʔ
納	纳	nᴇʔ23	neq8		8	23		n	eq	n	ᴇʔ
拉	拉	lɑ53	la1		1	53		l	a	l	ɑ
雜	杂	dzᴇʔ23	dzeq8		8	23		dz	eq	dz	ᴇʔ
鴿	鸽	kᴇʔ5	keq7		7	5		k	eq	k	ᴇʔ
喝	喝	haʔ5	haeq7	~汤。本字或为“呷”。	7	5		h	aeq	h	aʔ
合	合	ɦᴇʔ23	gheq8		8	23		gh	eq	ɦ	ᴇʔ
合	合	kᴇʔ5	keq7	~算；~伙。共同：~买一本书。容积单位，十合为一市升。	7	5		k	eq	k	ᴇʔ
盒	盒	ɦᴇʔ23	gheq8		8	23		gh	eq	ɦ	ᴇʔ
儋	儋	tæ53	tae1		1	53		t	ae	t	æ
擔	担	tæ53	tae1	~任。	1	53		t	ae	t	æ
擔	担	tæ423	tae5	挑~。	5	423		t	ae	t	æ
膽	胆	tæ44	tae3		3	44		t	ae	t	æ
毯	毯	tʰæ44	thae3		3	44		th	ae	tʰ	æ
談	谈	dæ24	dae2		2	24		d	ae	d	æ
痰	痰	dæ24	dae2		2	24		d	ae	d	æ
澹	澹	dæ31	dae4		4	31		d	ae	d	æ
淡	淡	dæ31	dae4		4	31		d	ae	d	æ
藍	蓝	læ24	lae2		2	24		l	ae	l	æ
籃	篮	læ24	lae2		2	24		l	ae	l	æ
覽	览	læ31	lae4		4	31		l	ae	l	æ
攬	揽	læ31	lae4		4	31		l	ae	l	æ
欖	榄	læ31	lae4		4	31		l	ae	l	æ
濫	滥	læ213	lae6		6	213		l	ae	l	æ
纜	缆	læ213	lae6		6	213		l	ae	l	æ
暫	暂	dzæ213	dzae6		6	213		dz	ae	dz	æ
三	三	sæ53	sae1		1	53		s	ae	s	æ
甘	甘	kᴇ̃53	ken1		1	53		k	en	k	ᴇ̃
柑	柑	kᴇ̃53	ken1		1	53		k	en	k	ᴇ̃
敢	敢	kᴇ̃44	ken3		3	44		k	en	k	ᴇ̃
喊	喊	hæ44	hae3		3	44		h	ae	h	æ
塔	塔	tʰaʔ5	thaeq7		7	5		th	aeq	tʰ	aʔ
臘	腊	laʔ23	laeq8		8	23		l	aeq	l	aʔ
蠟	蜡	laʔ23	laeq8		8	23		l	aeq	l	aʔ
磕	磕	kʰᴇʔ5	kheq7		7	5		kh	eq	kʰ	ᴇʔ
站	站	dzæ213	dzae6	车~。	6	213		dz	ae	dz	æ
賺	赚	dzæ213	dzae6		6	213		dz	ae	dz	æ
斬	斩	tsæ44	tsae3		3	44		ts	ae	ts	æ
蘸	蘸	tsæ423	tsae5		5	423		ts	ae	ts	æ
饞	馋	zæ24	zae2		2	24		z	ae	z	æ
杉	杉	sæ53	sae1		1	53		s	ae	s	æ
減	减	kæ44	kae3		3	44		k	ae	k	æ
鹼	碱	kæ44	kae3		3	44		k	ae	k	æ
鹹	咸	ɦæ24	ghae2	~味。	2	24		gh	ae	ɦ	æ
咸	咸	ɦæ24	ghae2	【白读】~阳（陕西地名）。	2	24		gh	ae	ɦ	æ
咸	咸	ɦie24	ye2	【文读】~丰（清朝年号）。	2	24		y	e	ɦ	ie
餡	馅	ɦæ31	ghae4	【白读】	4	31		gh	ae	ɦ	æ
餡	馅	ɦie31	ye4	【文读】	4	31		y	e	ɦ	ie
插	插	tsʰaʔ5	tshaeq7		7	5		tsh	aeq	tsʰ	aʔ
閘	闸	zaʔ23	zaeq8		8	23		z	aeq	z	aʔ
炸	炸	zaʔ23	zaeq8		8	23		z	aeq	z	aʔ
夾	夹	kaʔ5	kaeq7		7	5		k	aeq	k	aʔ
掐	掐	kʰaʔ5	khaeq7		7	5		kh	aeq	kʰ	aʔ
狹	狭	ɦaʔ23	ghaeq8		8	23		gh	aeq	ɦ	aʔ
峽	峡	ɦiaʔ23	yaeq8	【文读】三~。	8	23		y	aeq	ɦ	iaʔ
攙	搀	tsʰæ53	tshae1		1	53		tsh	ae	tsʰ	æ
衫	衫	sæ53	sae1		1	53		s	ae	s	æ
監	监	kæ53	kae1		1	53		k	ae	k	æ
鑑	鉴	kæ423	kae5	【白读】	5	423		k	ae	k	æ
鑑	鉴	tɕie423	cie5	【文读】	5	423		c	ie	tɕ	ie
岩	岩	ŋæ24	ngae2		2	24		ng	ae	ŋ	æ
癌	癌	ŋæ24	ngae2		2	24		ng	ae	ŋ	æ
銜	衔	ɦæ24	ghae2	含在嘴里。	2	24		gh	ae	ɦ	æ
銜	衔	ŋæ24	ngae2	~头（头衔）。	2	24		ng	ae	ŋ	æ
艦	舰	kʰæ44	khae3		3	44		kh	ae	kʰ	æ
甲	甲	kaʔ5	kaeq7	【白读】盔~；~板。	7	5		k	aeq	k	aʔ
甲	甲	tɕiaʔ5	ciaeq7	【文读】天干名：~乙丙丁；~基睾丸酮。	7	5		c	iaeq	tɕ	iaʔ
鴨	鸭	aʔ5	aeq7		7	5			aeq		aʔ
押	押	aʔ5	aeq7		7	5			aeq		aʔ
壓	压	aʔ5	aeq7		7	5			aeq		aʔ
貶	贬	pie44	pie3		3	44		p	ie	p	ie
黏	黏	ȵie53	gnie1		1	53		gn	ie	ȵ	ie
鐮	镰	lie24	lie2		2	24		l	ie	l	ie
斂	敛	lie31	lie4		4	31		l	ie	l	ie
尖	尖	tsie53	tsie1		1	53		ts	ie	ts	ie
殲	歼	tsie53	tsie1		1	53		ts	ie	ts	ie
簽	签	tsʰie53	tshie1		1	53		tsh	ie	tsʰ	ie
塹	堑	tsʰie423	tshie5		5	423		tsh	ie	tsʰ	ie
潛	潜	dzie24	dzie2		2	24		dz	ie	dz	ie
漸	渐	dzie31	dzie4		4	31		dz	ie	dz	ie
詹	詹	tsᴇ53	tsei1		1	53		ts	ei	ts	ᴇ
瞻	瞻	tsᴇ53	tsei1		1	53		ts	ei	ts	ᴇ
沾	沾	tsᴇ53	tsei1		1	53		ts	ei	ts	ᴇ
占	占	tsᴇ53	tsei1	~卜。	1	53		ts	ei	ts	ᴇ
占	占	tsᴇ423	tsei5	~领。	5	423		ts	ei	ts	ᴇ
占	占	tsie423	tsie5	~便宜。	5	423		ts	ie	ts	ie
陝	陕	sᴇ44	sei3		3	44		s	ei	s	ᴇ
閃	闪	sᴇ44	sei3		3	44		s	ei	s	ᴇ
閃	闪	ɕie44	shie3	霍~（闪电）。	3	44		sh	ie	ɕ	ie
染	染	ȵie31	gnie4	【白读】	4	31		gn	ie	ȵ	ie
染	染	zᴇ31	zei4	【文读】	4	31		z	ei	z	ᴇ
檢	检	tɕie44	cie3		3	44		c	ie	tɕ	ie
臉	脸	lie31	lie4		4	31		l	ie	l	ie
鉗	钳	dʑie24	jie2		2	24		j	ie	dʑ	ie
儉	俭	dʑie31	jie4		4	31		j	ie	dʑ	ie
驗	验	ȵie213	gnie6		6	213		gn	ie	ȵ	ie
險	险	ɕie44	shie3		3	44		sh	ie	ɕ	ie
淹	淹	ie53	ie1		1	53			ie		ie
醃	腌	ie53	ie1		1	53			ie		ie
閹	阉	ie53	ie1		1	53			ie		ie
掩	掩	ie44	ie3		3	44			ie		ie
厭	厌	ie423	ie5		5	423			ie		ie
炎	炎	ɦie24	ye2		2	24		y	e	ɦ	ie
鹽	盐	ɦie24	ye2		2	24		y	e	ɦ	ie
閻	阎	ȵie24	gnie2		2	24		gn	ie	ȵ	ie
艷	艳	ɦie213	ye6		6	213		y	e	ɦ	ie
焰	焰	ɦie213	ye6		6	213		y	e	ɦ	ie
聶	聂	ȵiɪʔ23	gniq8		8	23		gn	iq	ȵ	iɪʔ
獵	猎	laʔ23	laeq8		8	23		l	aeq	l	aʔ
接	接	tsiɪʔ5	tsiq7		7	5		ts	iq	ts	iɪʔ
妾	妾	tsʰiɪʔ5	tshiq7		7	5		tsh	iq	tsʰ	iɪʔ
捷	捷	dziɪʔ23	dziq8		8	23		dz	iq	dz	iɪʔ
折	折	tsᴇʔ5	tseq7		7	5		ts	eq	ts	ᴇʔ
攝	摄	sᴇʔ5	seq7		7	5		s	eq	s	ᴇʔ
涉	涉	zᴇʔ23	zeq8		8	23		z	eq	z	ᴇʔ
葉	叶	ɦiɪʔ23	yiq8	树~。	8	23		y	iq	ɦ	iɪʔ
叶	叶	ɦiaʔ23	yaeq8	~韵。	8	23		y	aeq	ɦ	iaʔ
劍	剑	tɕie423	cie5		5	423		c	ie	tɕ	ie
欠	欠	tɕʰie423	chie5		5	423		ch	ie	tɕʰ	ie
嚴	严	ȵie24	gnie2		2	24		gn	ie	ȵ	ie
業	业	ȵie23	gnie8		8	23		gn	ie	ȵ	ie
點	点	tie44	tie3		3	44		t	ie	t	ie
店	店	tie423	tie5		5	423		t	ie	t	ie
添	添	tʰie53	thie1		1	53		th	ie	tʰ	ie
舔	舔	tʰie44	thie3		3	44		th	ie	tʰ	ie
甜	甜	die24	die2		2	24		d	ie	d	ie
拈	拈	ȵie53	gnie1		1	53		gn	ie	ȵ	ie
念	念	ȵiæ213	gniae6		6	213		gn	iae	ȵ	iæ
兼	兼	tɕie53	cie1		1	53		c	ie	tɕ	ie
謙	谦	tɕʰie53	chie1		1	53		ch	ie	tɕʰ	ie
歉	歉	tɕʰie423	chie5		5	423		ch	ie	tɕʰ	ie
貼	贴	tʰiɪʔ5	thiq7		7	5		th	iq	tʰ	iɪʔ
帖	帖	tʰiɪʔ5	thiq7		7	5		th	iq	tʰ	iɪʔ
