	资料来源《福建省武平县东流乡所属上四乡（六个自然村）客家话调查研究》	声调1阴平24 2阳平22 3上升31 5去声52 7阴入4 8阳入35
pʰ	[1]批-[2]培陪[3]备倍[5]配佩沛肥-	
m	[1]尾□{婶婶}㜷{母亲，面称}妇[5]味	
f	[1]茴[5]会	
v	[1]娭{母亲}	
t	[3]抵[5]对队在兑	
tʰ	[1]推[5]退褪{脱衣服}	
n	[3]蕊	
l	[1]雷儡[2]□{群起攻击}[3]另[5]来-	
ts	[1]追猪□{长得瘦小}[3]煮仔姊[5]嘴醉	
tsʰ	[1]催吹苎梳[2]锤捶[3]罪垂[5]脆槌坠	
s	[1]随隧[3]水薯鼠[5]碎税睡瑞	
k	[2]□{鸡叫的声音}[5]个	
#ɔ		
p	[1]包胞[3]饱宝保堡[5]报豹	
pʰ	[1]袍抛[2]刨[3]抱[5]泡炮爆暴	
m	[1]毛[2]矛茅[3]冒[5]貌冇	
t	[1]刀叨[3]岛倒{倒水}[5]到都	
tʰ	[1]桃萄□{用菜汁浇饭}[2]涛[3]讨道导稻[5]套	
n	[3]脑[5]闹	
l	[1]牢劳[2]唠[3]老[5]寥{稀疏}	
ts	[1]糟[3]枣早蚤找[5]灶罩	
tsʰ	[1]操抄超[2]曹槽朝[3]草吵赵[5]造糙	
s	[1]骚稍捎[3]嫂[5]扫潲{潲水}	
k	[1]高膏篙羔糕膏[3]稿校[5]教	
kʰ	[3]考[5]烤靠	
x	[2]豪-[3]效好{好人}[5]孝好{好事}耗号	
ŋ	[1]咬[3]傲戆{傻}[5]熬昂{偏头}	
0	[1]□{诬陷}[3]袄拗[5]坳奥	
#ʉ		
p	[1]夫哺晡[3]补斧[5]布	
pʰ	[1]普铺[2]菩浮[5]扶部布	
m	[1]模[3]母[5]墓募帽	
f	[3]虎[5]傅护	
v	[2]巫[3]武舞鹉[5]雾	
t	[3]堵肚赌	
tʰ	[1]徒[3]土度[5]杜兔吐	
n	[2]奴努	
l	[1]炉庐芦[2]黸{生锈}[5]鹭路露	
ts	[1]朱柱珠{目~}[3]主柱[5]注蛀著住	
tsʰ	[1]除[2]储厨[5]树	
s	[1]书输舒=殊[5]竖	
k	[1]姑估[3]古牯[5]故固顾	
kʰ	[1]枯箍[3]苦[5]库	
#iu		
pʰ	[2]匏	
t	[1]刘=[2]留流-[3]丢[5]刘-溜-	
l	[1]柳[2]流=琉硫[5]溜=	
tɕ	[1]周州洲[3]酒久九韭走[5]㾭{~螺风}纠救究昼	
tɕʰ	[1]揪丘舅球秋馊[2]求抽[3]就旧[5]瘦-臭兽仇	
ɕ	[1]修收休[3]朽手守受首[5]袖秀绣	
ȵ	[2]扭[5]牛	
0	[1]有[2]由邮游悠忧优[3]右[5]友又油游	
#i		
p	[1]陂{河坝}[2]□{滤酒}[3]比[5]闭痹蓖毙	
pʰ	[1]脾被[3]敝避[5]屁皮鼻	
m	[1]眉[2]迷谜[3]米[5]眯沕{潜水}	
f	[1]飞=挥匪辉[3]□{扔东西}[5]费肺废慧	
v	[1]威维徽微[2]为危违[3]位伟[5]慰卫委胃芋	
t	[1]知里-[2]□{~tia5：不懂礼貌}[3]李鲤[5]帝梨狸	
tʰ	[1]提[3]第[5]体地俐	
n	[3]泥=	
l	[3]礼理励[5]利虑璃痢	
tɕ	[1]基枝饥拘机[3]几姊举拒据距[5]寄句纪祭际计记既髻	
tɕʰ	[1]齐奇骑糍徛[2]欺区其[3]技起具取挤{排挤}启企糍[5]气汽器戏趣棋弃	
ɕ	[1]希稀墟{集市}牺[3]许序喜[5]去戏	
k	[1]佢[2]解{解开}[5]锯	
kʰ	[1]茄□{指人言行暴躁}[5]□{累}	
x	[5]系{判断词}	
ŋ	[5]鱼	
ȵ	[2]尼[3]女	
0	[1]衣依医[2]移姨余矣[3]雨预倚[5]以意誉易	
#ia		
tɕ	[1]街鸡[3]解	
#iɑ		
pʰ	[1]□{飞快地扑过来}	
m	[1]摸-[2]吗{叹词}	
f	[3]□{草率地扫地}[5]□{洒水}	
v	[5]□{大声地喊}	
t	[5]□{ti2~:不懂礼貌}	
l	[2]□{~tɕʰiɑ：蜘蛛}	
tɕ	[5]借	
tɕʰ	[1]斜揭{用力地扛物体}[2]□{liɑ~：蜘蛛}[3]谢-蟹[5]□{用竹器扫物，也指该竹器}	
ɕ	[1]□{呼唤同伴前行}[3]写[5]泻	
ȵ	[1]唉{叹词}[3]惹	
0	[1]涯野[3]也[5]夜爷晏□{芋头刺激皮肤}搲{抓紧}	
#iə		
p	[1]猋{跳}标[3]表[5]俵{赠送分配}	
pʰ	[1]飘鳔彪[2]嫖薸[3]浇[5]票	
m	[1]描瞄[2]猫[3]秒妙[5]猫苗庙□{嘴馋}	
tɕ	[1]娇[5]叫{哭}	
tɕʰ	[3]撬跷[5]翘桥轿	
ɕ	[1]唉{叹词}[3]晓[5]妖姣{风骚}	
ȵ	[1]□{叹词，引起议论}	
0	[1]邀腰[2]□{湿，不解释}[3]摇[5]窑	
#iɔ		
t	[1]刁{蛮横}叨鸟雕□{把脚移开}[3]鸟{性交}[5]钓吊调{调动}	
tʰ	[1]条[2]挑[3]调{调查}[5]跳粜	
l	[1]撩{用铲子挖起物体}[2]寮[3]辽□{玩弄人}[5]了掉料嬲{玩}撩{用脚踢人}	
tɕ	[1]椒骄焦蕉焦{干燥}爪	
tɕʰ	[1]敲[2]炒[3]小	
ɕ	[1]消宵硝销[3]小[5]笑樵噍	
ȵ	[1]饶[3]箬[5]尿	
#u		
p	[1]波菠玻[3]簸	
pʰ	[1]坡剖	
m	[1]摸=[2]魔[5]磨	
v	[1]屙{~糟：肮脏}	
t	[1]多[3]朵[5]剁惰	
tʰ	[1]拖[2]驮[5]驼	
n	[1]揉[5]□{踩}糯	
l	[1]罗螺[2]锣□{混合}[5]□{大吃，带有贬义}箩脶	
ts	[3]左[5]做奏	
tsʰ	[1]坐初-[3]座[5]锉错措	
s	[1]蓑梭唆[3]锁琐	
k	[1]哥歌瘑{器物钝了}[3]果裹[5]过	
kʰ	[1]可克苛[5]课	
x	[3]伙贺火[5]货荷何	
ŋ	[2]蜈[5]饿鹅	
0	[1]屙窝乌[2]和[5]禾	
#ui		
k	[1]规龟归[3]傀鬼轨诡[5]贵季桂	
kʰ	[1]亏[2]坤葵捆菌[3]跪[5]裙柜块会{会计}	
x	[1]恢	
ŋ	[1]危[3]伪[5]魏	
#ua		
k	[1]乖[3]拐□{青蛙}[5]怪	
kʰ	[5]快	
#uɑ		
k	[1]瓜呱{优秀}[3]寡[5]挂	
kʰ	[1]夸[2]□{风吹干燥物的声音}[5]跨	
#uɛ		
p	[3]□{池塘放水}□{兴旺发达}[5]背	
pʰ	[1]胚[2]赔[3]背[5]吠	
m	[1]梅煤[5]妹枚	
t	[1]堆[5]对-碓{粉碎谷物或食物}	
tʰ	[1]胎惰{~懒：偷懒}[2]台[3]贷代[5]袋蜕	
l	[5]*剁	
ts	[5]载	
tsʰ	[2]才材裁[3]睬[5]财撮{~斗：装垃圾或谷物的用具}	
s	[1]衰[2]刷[5]菜赛帅岁	
k	[1]该颏{脖子}[3]改[5]盖钙	
kʰ	[1]开=	
x	[1]开-灰埃[3]海[5]害	
ŋ	[3]呆[5]外碍	
0	[1]哀[3]镬[5]会爱围	
#an		
p	[1]搬班般边-[3]板扳反-粄[5]半	
pʰ	[1]攀潘[2]盘[3]爿{一半一边}[5]拌判襻{衣扣}扮盼办	
m	[1]满[2]馒[3]㿸{体垢}[5]蛮慢*谁{物人合音}	
f	[1]翻帆□{小孩好动}[2]凡繁[3]犯犯反=[5]泛饭=	
v	[1]弯湾[2]还[5]范万	
t	[1]担单丹耽[2]袒{把碎的东西缝合}[3]胆但旦	
tʰ	[1]贪摊滩檀淡-[3]弹毯淡=诞[5]探炭潭蛋	
n	[1]男[2]南[5]难□{身体上隆起的小包}	
l	[1]懒蓝兰澜{口水}[2]拦[5]烂滥栏	
ts	[3]站盏斩暂展㜺{好，优秀}转[5]占赞战	
tsʰ	[1]餐=参衫[2]蚕[3]铲产[5]绽赚□{用针刺}杉	
s	[1]山三[3]伞闪陕[5]散删糁{米粒}	
k	[1]甘柑间-{中间}[3]敢橄简感减[5]监鉴	
kʰ	[1]勘刊[3]砍[5]坎擐{提}	
x	[1]含还[2]限[3]蚬{蚌}[5]喊闲-苋	
ŋ	[1]岩颜[3]眼[5]研颔{点头}	
0	[1]庵焰腌啱{刚好}[3]□{道路不平}[5]暗	
#en		
p	[1]崩冰[5]笨	
pʰ	[2]朋[5]凭-	
m	[2]眠{平躺}	
v	[1]冤[3]远[5]怨园	
t	[1]丁灯钉蹲登墩[3]等顿饨顶订[5]凳瞪	
tʰ	[1]听庭汀[2]趁{跟随}[5]藤邓盾幐{帮忙}	
n	[1]能[3]奶奶{儿女对母亲的昵称}[5]□{摁压}	
l	[1]冷零[2]伶{~俐：漂亮整洁利索}凌[3]另[5]□{程度副词，非常}	
tsʰ	[2]传丞成=[5]蹭层	
ts	[1]筝	
s	[1]善森参{人参}僧生=星鳝[3]肾省=[5]扇船神	
k	[1]跟[3]捡拣□{~碗：上下相扣的碗}[5]更	
kʰ	[1]圈噙{用罩子罩住鸡鸭}[2]*盖[5]*健{身体好}*凝{凝结}	
x	[1]牵䘆{黄~：蚯蚓}[2]衔衡[3]恨肯-[5]咸緪{紧，旺}	
ŋ	[5]□{人或物健康状况不佳}	
0	[1]恩揞{用手盖住眼睛}[3]□{用双手捧}	
#ɑŋ		
p	[1]㧍{牵拉}[2]□{衣服穿在身上紧绷感觉}[3]□{拟声词，枪响}[5]□{把衣物胡乱地缝起来}	
pʰ	[1]膨{吹气}[3]棚{搭建棚}[5]泛{不充实}	
m	[1]虻	
v	[1]横	
ts	[1]㬹{脚后跟}粳争-[2]成[3]正整-[5]成-	
tsʰ	[1]生牲[2]呈[3]郑-[5]撑-锃	
s	[1]声-生[3]省-净[5]晴-	
k	[3]哽[5]降{下降}	
x	[1]坑[2]桁[5]茎{量词}	
ŋ	[3]硬	
0	[5]罂	
#ɔŋ		
p	[1]帮[3]绑绑{配菜}[5]□{拟声词，敲打声}	
pʰ	[2]旁[3]傍	
m	[1]忙=盲[3]膜[5]□{形容人头脑不清醒}	
f	[1]方荒芳[2]皇妨仿[3]晃[5]房	
v	[3]枉[5]楻{木桶}王黄	
t	[1]当{担当}噹[3]挡[5]当{认为}	
tʰ	[1]汤{菜汤}[2]堂唐[5]宕{误时}糖烫塘	
n	[1]瓤[3]浪{浪费}[5]囊	
l	[1]狼廊[2]□{捶打}[5]浪郎	
ts	[1]装张庄章樟[3]掌涨[5]帐账壮仗障	
tsʰ	[1]霜仓昌疮[2]尝常[3]丈[5]唱倡床-丈撞藏肠闯创厂场	
s	[1]伤商双=桑[2]兄[3]上[5]爽赏尚	
k	[1]岗缸江光*扛□{~~ka3ka3：液体晃荡}[3]讲广港[5]杠钢虹	
kʰ	[1]康刚[2]狂[5]矿况抗	
x	[1]糠行{银行}[2]杭降{投降}[3]亢{~床：起床}	
#iɛn		
p	[1]鞭编边辫[3]扁[5]变遍	
pʰ	[1]篇偏[2]便[3]片辩辨[5]骗	
m	[2]棉[3]勉[5]面	
f	[5]□{狠狠地打人}	
t	[1]镰[2]癫颠鲢[3]点典[5]店	
tʰ	[1]天添[2]填舔[3]电垫[5]甜田	
l	[1]莲连联[2]怜[3]潋{水干}[5]联	
tɕ	[1]艰坚捐尖煎肩间{一~屋}[3]键剪卷检渐蘸溅笕毽[5]健箭见剑櫼{拥挤}	
tɕʰ	[1]千签谦迁[2]前全权泉钳[3]件贱践拳[5]钱劝欠歉嵌炫	
ɕ	[1]千嫌舷{岸}[2]蝉仙贤鲜先弦宣前-[3]显选浅癣[5]献宪舷{鞋帮}险羡线钱-	
ȵ	[1]软研[2]严粘原[3]愿验[5]年念染	
0	[1]烟[2]延炎圆缘阎魇[3]演掩[5]县燕宴厌盐丸然	
#in		
p	[1]彬兵槟宾殡分-[3]本[5]粪并{合并}	
pʰ	[1]萍评笨{厚}[2]盆平=[3]拼品并{并且}[5]聘姘喷瓶	
m	[1]蚊闽[2]民铭[5]问门忞{摇头}	
f	[1]痕{痕迹}婚荤芬分文[2]昏魂[3]份粉晕[5]混□{勤奋}	
v	[1]温瘟[2]匀永炆{慢慢煮}[3]稳耘{施肥}[5]云运炆	
t	[1]鳞[2]□{~tsʰan3：批评人}丁林=[3]膦{男性生殖器}[5]淋林-	
tʰ	[1]吞[2]停亭艇[3]定	
n	[5]嫩	
l	[2]铃[3]轮[5]令灵	
ts	[1]亲-针真蒸珍贞[3]镇准枕整=[5]甑{饭~：盛饭用的器物}圳证症浸正政	
tsʰ	[1]清亲=春村[2]沉陈=尘存曾[3]阵蠢□{搓}[5]称情寸衬秤	
s	[1]辛新心兴{兴旺}深身生甥孙伸星[2]寻形型刑神[3]笋肾剩[5]顺唇信兴{高兴}塍{田埂}	
tɕ	[1]津今军均精禁襟君京晶经[3]景紧锦警碾[5]境敬竟	
tɕʰ	[1]钦卿秦群[2]琴禽芹肾[3]静[5]寝庆静揿{用手按}	
ȵ	[1]忍[3]认[5]人韧	
k	[1]斤筋根	
kʰ	[1]近	
0	[1]音阴英因应鹰晕[2]萤仁营=[3]引任隐闰润[5]印蝇	
#iɑŋ		
p	[3]饼丙柄[5]偋{藏}	
pʰ	[1]□{量词，一堆小物体}[2]坪[3]□{拟声词，枪响}[5]平病	
m	[1]幎[5]名命	
t	[1]岭领{衫领}[3]□{抬头}[5]□{~死古：丢脸}量=	
tɕ	[1]精-[3]井颈讲=[5]□{坚持}镜	
tɕʰ	[1]青轻[2]晴=擎[3]请-[5]儆	
ɕ	[3]醒[5]性	
ȵ	[2]□{~~走：轻松地走}[3]孽[5]映{放牧}	
0	[1]萦{绕线}[2]营-[3]影□{闪电闪动}[5]赢-	
#iɔŋ		
p	[1]坊{地名}[5]放	
m	[2]芒[3]网[5]忘{添~}	
t	[1]辆两{量词}[2]量{量米}[3]两{数词}[5]凉	
l	[2]良粮梁[3]量{肚量}	
tɕ	[1]姜将浆[3]蒋奖□{挑着轻物摇摆不定地走}[5]酱	
tɕʰ	[1]枪腔框□{往四处摊开}[2]墙强[3]抢响[5]像向-	
ɕ	[1]香乡相箱镶[2]详祥[3]享响想[5]向相-匠象	
ȵ	[1]仰{身体转动或抖动}酿{刚出水的酒}[5]让娘酿	
0	[1]痒羊阳[2]秧央[3]旺{热闹}[5]样养	
#iuŋ		
tɕ	[1]弓供宫攻	
tɕʰ	[1]穷[2]松{松树}	
ɕ	[1]胸凶[2]熊[3]颂[5]雄	
ȵ	[2]浓	
0	[1]茸容荣蓉[2]勇[5]用融熔	
#uan		
k	[5]贯惯	
#uɛn		
pʰ	[1]翻{呕吐}番[5]饭	
m	[2]晚{排行最小的}	
t	[1]端[3]短断{堵塞液体围菜园}[5]塅{台阶}	
tʰ	[3]段锻断[5]团	
n	[1]暖	
l	[1]鸾[3]卵僆[5]乱	
ts	[1]专{形容人聪明}[3]□{收集稻料地动作}[5]钻	
tsʰ	[1]餐-川[5]窜汆串闩	
s	[1]酸[5]蒜算	
k	[1]官观肝干-冠[2]赶[3]干=管馆稈{稻草}[5]灌冠罐	
kʰ	[1]宽坤关[3]款[5]看	
x	[1]欢[2]旱[3]换[5]汉寒汗焊	
ŋ	[1]顽	
0	[1]安[3]碗[5]案按	
#uŋ		
p	[5]□{用大火炸食品}	
pʰ	[1]枫蜂[2]逢{碰到}[5]蓬缝{裤缝}	
m	[2]蒙朦[3]懵	
f	[1]凤风封丰[3]讽梦	
v	[1]蕹{~菜：空心菜}	
t	[1]冬东□{四处慌乱地奔走}崠{山脊}[3]董懂[5]冻栋龙	
tʰ	[1]通动-[2]同童桐[3]动=桶洞统[5]铜捅	
n	[1]□{~~行：大摇大摆地走}[2]农[5]脓{鼻疾}	
l	[1]笼聋[3]弄[5]窿	
ts	[1]钟宗中棕忠[2]终[3]种总肿[5]粽种	
tsʰ	[1]冲葱重-[2]从崇窗囱双-[3]宠重=[5]铳虫聪充	
s	[1]怂松=[3]诵颂㩳{推}[5]送宋	
k	[1]公蚣工攻功弓宫恭[3]拱巩[5]降{生}贡供□{伤结疤生脓}	
kʰ	[1]空{空手}[2]□{象声词}[3]恐共[5]烘控空{空缺}	
x	[1]洪[2]轰逢[5]红	
#ɿʔ		
ts	[7]汁执执{拿}质=	
tsʰ	[7]七植[5]拭{擦}直值	
s	[7]塞湿识式析息悉膝惜=熄漆息{曾孙}[8]十实出习席食	
#aʔ		
p	[7]八钵	
pʰ	[7]泼	
m	[7]袜抹	
f	[7]法发=[8]罚	
v	[8]滑猾	
t	[7]□{~satɕʰ7:意思}答搭笪{谷~}褡	
tʰ	[7]塔□{双脚浮游}[8]踏达□{腌肉}	
n	[7]纳□{把食物炒干使之保存时间长}[8]捺	
l	[7]蜡[8]辣腊	
ts	[7]铡□{勤快}	
tsʰ	[7]插察擦[8]煠杂獭蚻{黄~：蟑螂}	
s	[7]杀□{tatɕʰ7~：意思}	
k	[7]合{介词，和}甲合{等于}鸽	
kʰ	[7]夹{被夹住}	
x	[7]瞎核[8]狭合{合适}	
ŋ	[7]颔{头被撞破}□{垫平}齧{咬牙}□{~tatɕʰ7：蠢，呆滞}[8]□{吃的贬称}	
0	[7]压押鸭	
#ɑʔ		
p	[7]□{叉开腿}百伯擘{扒开}	
pʰ	[7]□{鞭炮响声}[8]白	
m	[7]脉麦拍{打}	
n	[7]□{握紧}	
t	[7]□{搀扶}	
tʰ	[7]䋵{用绳子捆住}	
l	[7]坜{坑洼}	
f	[7]□{搅}[8]划	
ts	[7]只摘褶炙笮{用重物压}迹-	
tsʰ	[7]赤拆册尺坼{裂缝}	
s	[7]粞{米粉，面粉}[8]石蓆	
k	[7]隔格掐{卡住}	
kʰ	[7]客揢{捕}	
x	[7]吓	
ŋ	[7]额	
0	[7]轭	
#eʔ		
p	[7]北[8]鄙{差}	
m	[7]物{着弄}墨[8]密墨	
f	[7]或[8]佛	
n	[7]捏{用手指掐}	
t	[7]的得德[8]顿{车很颠}	
tʰ	[7]踢籴笛特忒	
l	[7]肋勒苈{刺}[8]揽{抱}	
ts	[7]侧责浙秩则织职	
tsʰ	[7]择=彻彻测[8]贼	
s	[7]释室嘬设色蚀[8]舌疾{痛}惜{关心人}	
k	[7]革羯{阉割家禽}咳	
kʰ	[7]刻克	
x	[7]黑暍{闷热}	
ŋ	[8]月{一月}	
0	[7]□{大人}	
#ɔʔ		
p	[7]剥博□{使劲打}驳{把断裂的物体连起来}	
pʰ	[7]拍扑泊朴[8]薄雹	
m	[7]幕膜□{覆盖}	
f	[7]□{礼节性的，不真诚地对待}	
v	[7]握□{打人}	
t	[8]□{厉害}	
tʰ	[7]托[8]择-	
l	[7]落	
ts	[7]桌捉着{着衫}作斫	
tsʰ	[7]着{着棋}□{趿拉着鞋走路的样子}龊{龌~：脏}[8]凿戳镯着{睡~，~唔~}	
s	[7]索塑□{干燥}[8]勺□{神经不正常，呆滞}	
k	[7]斛{一斗米的十分之一}角郭各□{拼凑}桷	
kʰ	[7]确扩搉{木棍打人}	
x	[7]壳烘[8]学	
ŋ	[7]□{神经不正常，呆滞}[8]岳	
0	[7]恶	
#iʔ		
p	[7]必{皮肤开裂}□{女阴}笔必毕逼碧滗	
pʰ	[7]僻辟	
m	[7]没{沉没}□{抿嘴}[8]蜜	
f	[7]□{掷扔}	
v	[7]□{气愤}	
t	[7]笠栗滴笛[8]力	
tʰ	[8]敌	
n	[7]逆[8]粒	
l	[8]立历	
tɕ	[7]激击绩积迹=集急级吉即	
tɕʰ	[7]屈[8]□{极拥挤}	
ɕ	[7]熄翕{焖制食品}	
ȵ	[7]日入	
0	[7]一益翼译	
#iɑʔ		
p	[7]壁□{用巴掌打人}	
pʰ	[7]劈	
m	[7]□{微小}	
l	[7]□{快}	
f	[7]□{马虎的做事}	
tɕʰ	[7]掐□{强制性地把食物吐出来}[8]屐	
ɕ	[7]鹊-锡-	
ŋ	[7]额-	
ȵ	[7]孽	
0	[7]疫[8]*掖{招手}	
#iɛʔ		
p	[7]憋牝{女阴}	
pʰ	[7]撇[8]别	
m	[7]灭[8]篾	
t	[7]跌贴	
tʰ	[7]铁忒帖□{~目：瞪眼睛}[8]叠□{用刀斧修正}	
l	[7]烈列裂	
tɕ	[7]截决接劫挟揭节结[8]夹	
tɕʰ	[7]杰绝缺[8]□{双脚胡乱地挣扎}	
ɕ	[7]切血协歇楔{垫平}□{~财，积攒财务}	
ȵ	[7]捏摄镊蹑眨{闪动}□{折叠式卷起袖子}[8]业热月{月光}	
0	[7]叶乙挖[8]越页	
#iɔʔ		
tɕ	[7]脚钁{锄头}	
tɕʰ	[7]□{跑}	
ɕ	[7]削	
ȵ	[7]箬[8]弱	
0	[7]约[8]药□{匀液体的动作}	
#uiʔ		
k	[7]骨	
kʰ	[8]□{根除，也作形容词}	
0	*打	
#uʔ		
pʰ	[7]伏{卧躺}[8]𦢊{身体上的小疙瘩}	
m	[7]木目穆	
f	[7]服复[8]伏	
v	[7]屋	
t	[7]啄涿{淋雨}□{底部}六督	
tʰ	[7]独[8]突读毒	
n	[7]□{~~：漫无边际不经心的样子}	
l	[7]禄录=摝{搅拌}[8]鹿熝{烫}	
ts	[7]粥竹祝筑烛	
tsʰ	[8]触轴浊族	
s	[7]速束缩叔粟[8]赎熟	
k	[7]谷□{液体在瓶内晃荡}[8]□{四处晃荡}	
x	[7]蓄{养}	
0	[7]龌{~龊：脏}	
#uaʔ		
k	[7]□{拉屎的贬称}括刮□{小气}擖{划火柴}	
#uɑʔ		
k	[7]□{副词，指人夸夸其谈或气势嚣张}	
#uɛʔ		
p	[7]发-	
t	[7]□{批量地出售或出现}	
tʰ	[7]脱夺	
l	[7]捋□{不可一世的样子}[8]□{大口咬固体食物}	
ts	[7]□{傲慢，不可一世的样子}	
tsʰ	[7]啜{大口喝}□{顺手牵羊偷东西}□{骗}	
s	[7]刷□{理人}	
k	[7]割葛国□{挖}	
x	[7]渴阔	
0	[7]镬	
#ŋ		
h	[1]你[3]哼	
0	[1]吴蜈[3]唔五误蚁耳	
#iuʔ		
tɕ	[7]*追	
tɕʰ	[7]菊	
