ŋ	零	aŋ		彭砰【2】				争【1】	生【1】		惊【1】镜【2】整【3】	声兄【1】	轻【1】				梗【3】	坑【1】	行【2】			坑【1】硬【4】	冷【3】	
		ɤŋ		朋棚蓬【2】	烘风封蜂丰【1】红缝【2】凤【4】	东冬【1】冻【2】懂【3】	通【1】痛同童佟瞳酮曈铜【2】桶筒捅统【3】动洞【4】	粽宗综踪鬃	松【1】送宋【2】	葱聪【1】从丛囱【2】	中终【1】肿种【3】	胸凶【1】熊雄【2】	冲充【1】虫穷【2】重【4】							猛【3】梦【4】			脓龙【2】弄【4】	
		oŋ	帮【2】绑【3】棒【4】	胖【4】	慌方【1】黄放房防【2】纺【3】	当铛【1】档挡党【3】	汤【1】糖塘堂烫【2】躺【3】	装壮桩	霜双【1】	仓疮窗【1】床【2】撞【4】	张章姜装【1】账仗【2】长涨【3】	伤【1】尝【2】上【3】	长唱【2】厂【3】帐账丈【4】				钢江扛【1】降【2】讲【3】	糠康【1】抗亢伉【2】	项巷【4】	忙【2】			浪【4】	
	i	iaŋ	饼【3】	平【2】坪【3】萍蘋病【4】		钉盯叮丁【1】	厅听【1】定订【4】	井【3】	星【1】姓【2】	清青【1】										明名【2】命【4】			零【2】领【3】	赢【2】影【3】
		iɤŋ																			浓【2】			拥【1】容【2】用【4】
		ioŋ						浆【2】	想像【3】象【4】相箱享翔祥镶向	抢【3】匠【2】											娘【2】		两【3】亮【4】	秧【1】荣【2】痒【3】样让【4】
	u	uaŋ															茎【3】	筐【1】						横【2】
		uɤŋ															公宫恭工供攻功【2】拱【3】	孔【3】共【4】					聋【1】龙拢陇龍胧【2】垄拢【3】	翁嗡【1】蕹【2】瓮【4】
		uoŋ															光【1】逛【2】广胱咣犷【3】	框匡眶【1】狂【2】矿况旷【4】						王【2】旺汪望【4】往枉惘魍【3】
ʔ	零	aʔ	百	拍白				窄摘		拆		石	尺吃					客		麦陌			拿	
		eʔ	北伯百	白		得德	特	侧择	塞色	贼测策	折浙结	舌设歇虱	撤					刻	黑	墨		额	肋	
		oʔ	剥箔帛舶脖膊渤泊驳	薄	霍缚		托	作桌镯	缩		脚	勺	着				鸽各郭角	壳磕	鹤学			恶渥	落	
		uʔ			福服	底	读毒	足	宿	族	竹粥菊烛	叔熟赎属	畜曲局				谷	哭		木目			入鹿六绿褥	物屋
		iʔ	贝笔逼	鼻匹	佛	滴迪		积吸	习吸息惜席	集七				击						密	日		立栗力历	一益
		yʔ												橘		出							律	育
		aiʔ	八		法发罚	搭	踏塔达	闸扎	杀	杂插擦							夹甲格隔		瞎			鸭	蜡辣垃	
		øʔ	拨	泼	活	端短	脱夺断		刷		决	血	缺				割	阔	盒	末				
		ɪʔ									汁急及吉织极	十实失食	侄直											
	i	iaʔ	壁	劈			踢笛	迹	锡												额			额
		ieʔ	憋哔	别		跌	贴碟铁	接节结绝	协雪	杰切截										灭篾	业热孽捏		列	叶
		ioʔ							削							雀					弱			约药
		iuʔ								袖											肉			浴
	u	uoʔ																						握
		uiʔ	不	呸				卒									骨							
		uaiʔ															刮							滑挖袜
		uøʔ			或												国							活
	y	yøʔ																			月			越
