	注释：-白读，=文读
∅	[3]与宇羽禹汝雨=乳[7]郁
#iu	
p	[1]彪
m	[5]谬
t	[1]丢[2]绸稠[4]纣[5]住-昼=
tʰ	[1]抽[2]筹畴[4]柱=[5]□{tʰi～：调皮}
l	[1]遛[2]流=硫琉留=榴刘[5]□{聪明，滑稽}
ts	[1]周州洲舟[2]囚[5]就
tsʰ	[1]秋鍬鬚{胡～}[2]仇酬[5]树-臭嗅
s	[1]修羞休[2]泅□{收取绳网}[4]受授[5]秀绣锈袖售兽韭-
k	[1]跔{缩回}鸠[2]求球虬[4]舅[5]救旧究柩咎
kʰ	[1]丘邱
∅	[1]优忧悠幽[2]牛由油邮尤犹游柔揉[5]幼釉右祐柚又莠囿
#io	
t	[3]拄
tʰ	[3]丑
l	[3]柳纽扭
ts	[3]酒帚肘
tsʰ	[3]醜手
s	[3]首守朽
k	[3]久九纠灸韭=
∅	[3]有宥友酉诱
#ui	
p	[1]悲碑杯[2]肥[5]贝辈痱-吠-
pʰ	[2]培陪[5]屁配佩珮
b	[2]□{勿}[4]没[5]昧寐
t	[1]堆追[2]捶[5]对碓队
tʰ	[1]推-[2]槌锤[5]退蜕
l	[1]□{堆叠、充斥，如堆门洞}[2]雷擂[4]律[5]类=戾泪唳累{连～}锐
ts	[1]锥椎[2]醉-[3]嘴[4]罪[4]最赘醉=晬{岁}瘁□{啄}
tsʰ	[1]崔摧催推=[5]碎脆翠粹□{块、元}
s	[1]虽绥□{瘦}[2]随隋[5]岁睡
k	[4]掘滑-[5]溃馈桧
kʰ	[1]魁奎[2]逵[4]□{手指背叩人头}[5]愧
ɡ	[1]危桅[4]勿物[5]秽伪
x	[2]回廻茴徊[4]佛或获[5]会汇
#ue	
p	[7]不
pʰ	[7]□{掸去}
b	[3]每
t	[7]□{放置、歇肩}
tʰ	[3]腿
l	[3]垒儡累{积～}蕊[7]脱{脱落}
ts	[7]卒
tsʰ	[3]揣喘
s	[7]刷□{击}
k	[7]国骨
kʰ	[7]窟
ɡ	[7]兀
x	[3]悔=[7]忽惚笏弗佛拂
#yi	
ʃ	[1]飞=非绯菲辉挥晖徽[2]垂陲痱=匪贿毁[5]费=肺废吠=慧彗惠穗
k	[1]龟圭闺规窥[4]跪-[5]桂贵季癸
kʰ	[1]亏[4]瘸
∅	[1]威葳猥[2]为{作～}唯惟帷维围微[5]未味位畏喂胃喟猬谓为{～了}
#ye	
tʃʰ	[7]出
ʃ	[3]水
k	[3]鬼诡[7]轨
kʰ	[3]豨{猪}[7]屈崛曲{二十八～：地名}
∅	[7]熨郁委伟萎倭纬苇韦
#o	
p	[1]波簸=褒[2]婆袍[4]薄泊舶瀑爆[5]报播
pʰ	[1]坡[2]浮-[4]抱[5]破=
b	[2]毛=磨={～擦}摩魔[4]膜[5]冒帽耗磨{石～}
t	[1]刀多=[2]舵驼佗驮逃淘萄陶焘涛[4]稻道盗惰铎择-{择类}[5]到导倒{～水}
tʰ	[1]拖[2]桃[5]套唾
l	[1]□{焦了}[2]罗箩=锣螺=牢劳痨崂[4]乐诺洛落络骆烙[5]糯□{呆}
ts	[1]遭[2]曹槽[4]坐=座凿镯石{一～，十斗}[5]做
tsʰ	[1]搓臊操烧-[4]蓆{草～}[5]厝造糙燥躁剉笑-
s	[1]梭唆蓑骚
k	[1]哥歌锅戈羔糕高篙膏[5]过告诰[4]□{痴呆}
kʰ	[1]科窠[5]去-
ɡ	[2]鹅俄蛾峨熬遨[4]乐{音～}[5]饿卧
x	[1]号{～哭}[2]和何河荷{～花}豪毫禾=[4]祸合{～格}盒鹤[5]货贺荷{负～}号{～数}浩皓好{爱～}
∅	[1]窝[2]喉[4]学[5]奥澳懊
#ɔ	
p	[3]保宝保葆堡鸨[7]剥=
pʰ	[7]粕朴扑
b	[7]幕漠寞毛={毛孔}
t	[3]朵躲倒{打～}岛祷[7]啄
tʰ	[3]讨[7]托妥荽
l	[3]老脑恼䇭
ts	[3]左佐早[7]作卓桌
tsʰ	[3]草[7]尺错
s	[3]锁琐嫂[7]索嗽{吮吸}缩朔
k	[3]果馃稿犒[7]各阁搁合{开～}鸽蛤郭廓
kʰ	[3]考拷可棵[7]磕扩酷确
ɡ	[3]我=[7]鄂颚萼锷鳄谔
x	[3]夥好[7]霍藿阖
∅	[3]祆稿{麦秆}[7]恶□{乖}握沃={肥～}
#io	
p	[1]标镖飙
pʰ	[1]飘鑣[2]瓢嫖薸{浮萍}[4]票漂{～白}
b	[2]苗猫瞄描[5]庙妙缪
t	[1]凋调{风～雨顺}雕朝{今～}[2]朝{～代}潮[4]兆赵肇着{火着}[5]钓吊召调□{路}
tʰ	[1]挑超刁迢[5]跳粜
l	[2]辽嫽疗寮聊寥蟟[4]略掠[5]料
ts	[1]招昭焦蕉樵礁椒[4]嚼[5]照诏蘸
tsʰ	[1]锹缲[5]肖俏□{铺垫}
s	[1]肖消硝销霄宵箫萧嚣靴[2]泅[4]石{～头}[5]少{～年}鞘绍邵
k	[1]娇=骄[2]乔侨桥荞茄[4]撬[5]轿
kʰ	[1]娇{幼儿多事难养}[5]窍翘
∅	[1]要{～求}腰夭妖邀幺吆[2]摇瑶窑遥谣鹞姚饶尧[4]弱若箬{叶子}药钥[5]要耀跃尿
#iɔ	
p	[3]表婊
pʰ	[3]漂{～亮}
b	[3]秒杪{木细}渺杳淼藐
tʰ	[3]窕
ts	[7]着{～落}勺芍灼妁酌借-
tsʰ	[7]雀鹊爵惜{好~：可爱}
s	[3]小少{多～}晓[7]削=
k	[3]缴矫[7]脚{～色}
kʰ	[7]却怯
∅	[3]舀鸟□{刀砍}[7]约
#e	
p	[1]□{竹片}[2]排牌[4]拔
pʰ	[4]□{蹲}[5]稗杮{斧下木片}
m	[2]埋[5]卖
t	[2]蹄[4]碟蝶谍蝶喋
tʰ	[5]替
l	[1]□{好～：好多}[2]犁-泥-尼{～姑}
ts	[2]齐-侪[4]截[5]□{多}
s	[5]细
∅	[1]挨[2]鞋[4]解-{会，晓}狭-[5]睨{守畜禽}
#ɛ	
p	[7]八
pʰ	[7]僻癖
m	[3]买[7]□{凹下}
t	[3]底-[7]得
tʰ	[7]帖贴
l	[3]奶{母，伯母亦称}
ts	[7]节-{过～}
s	[3]洗徙
∅	[3]矮[7]薆
#ie	
p	[4]别[5]避
pʰ	[1]批
m	[4]灭篾蔑
t	[1]爹[2]池-[4]弟-[5]滴-
tʰ	[1]□{删除枝桠}[2]啼[4]叠泽{过滤，滴干}□{～痢：拉痢，骂人语}[5]剃
l	[2]篱[4]裂列[5]例
ts	[1]支=斋[4]捷绝[5]祭寨债
tsʰ	[1]钗差[2]□{扫，亦作名词扫帚}[4]蠘{梭子蟹}[5]砌脆
s	[1]西{～霞：地名}茜{一种水草}[4]匙奚[5]涉胁协势□{晒笑}
k	[1]鸡街羁{系带子}[2]鲑{～油}[4]杰桀竭碣狭=[5]汁
kʰ	[1]溪蹊[2]瘸[5]契
∅	[2]倪霓[4]食{吃}叶页业[5]□{眨眼，啃一角}
#iɛ	
p	[7]必{干裂，裂开}屄{女阴}
pʰ	[7]撇劈
t	[7]迭跌
tʰ	[3]□{鸡爪扒}[7]铁
l	[7]烈=
ts	[7]接渍折节=摺
tsʰ	[3]妾彻澈窃[7]湿切撒
s	[3]玺□{袜扣}[7]髓雪歇蝎
k	[7]劫挟荚洁结揭
kʰ	[7]缺{～角}□{人压住人}
∅	[3]椅[7]聂摄镊蹑孽蘖
#ue	
p	[1]飞-陂-[2]赔[4]背倍[5]焙
pʰ	[1]胚坯[2]皮[4]被{棉～}□{泡沫}[5]配
b	[2]霉梅莓枚媒煤糜-{泥浆，稀饭}[5]妹
t	[2]台-[4]夺[5]袋
tʰ	[1]梯[4]□{行贿}[5]退
l	[4]捋[5]类{整理，搬动}
ts	[1]朘{男阴}[4]坐-
tsʰ	[1]催
s	[1]鳃腮[2]螺-脶-
k	[1]□{鸡鸭胃}[5]髻怪
kʰ	[1]开-
x	[1]灰=恢[2]□{瓷}□{糟蹋掉}[4]核
∅	[4]煨[2]禾-{稻}[5]爱-
#uɛ	
p	[7]髪{头～}
b	[3]尾[7]糜{烂}
t	[3]短[7]掇{端物}
tʰ	[7]脱
l	[7]劣□{拐骗}
ts	[7]撮
tsʰ	[7]切{～菜}
s	[7]屑-{米～}
k	[3]馃
x	[3]火
#ye	
tʃʰ	[1]吹炊
ʃ	[4]穴[5]税
k	[1]饥[4]□{浓，稠}
∅	[4]月越悦阅[5]魏秽{杂草}
#yɛ	
tʃ	[3]拙
tʃʰ	[7]啜{大口喝}
ʃ	[7]说血粟=
k	[3]蕨[7]决□{阉割}
kʰ	[7]乞缺=
∅	[7]□{掰}
#a	
p	[1]巴芭疤爸[2]爬耙杷琶扒{～手，～进}[3]把[4]白[5]坝霸[7]百伯柏擘
pʰ	[1]扒{～进}[5]怕帕[7]拍
b	[1]□{抓一把}[2]麻-蔴{黄～}蟆嬷[3]马码妈{祖母}[4]𢫦{打}麦
t	[1]爹{父}[3]打[4]踏=[7]答搭达
tʰ	[1]他[4]叠-[7]塔沓塌踏-
l	[1]拉[4]蜡腊猎纳拿[7]癞
ts	[1]查渣楂[4]杂[5]乍炸诈榨砸[7]扎闸铡
tsʰ	[1]叉权岔差[5]䖳[7]插册察擦
s	[1]沙=砂纱傻[4]煠{清水煮}
k	[1]加枷痂嘉家傢佳[3]假贾{姓}[5]架驾嫁稼价[1]甲䘥夹峡觉槅
kʰ	[7]客卡
ɡ	[2]牙芽蚜衙[4]岳[5]迓讶
x	[2]虾霞瑕[3]□{东西}[4]学=[5]夏厦暇[7]洽喝辖郝
∅	[1]阿鸦-[3]哑[4]下[5]亚桠[7]鸭押压轭
#ia	
p	[4]啪{拟声}[7]壁-
pʰ	[7]僻
t	[3]硩{压}
tʰ	[3]獭拆
l	[4]历□{晒器}列{梅～：地名}[7]烈-{快}
ts	[1]遮[2]斜茶[3]姐{婶婶}者[4]籍[5]蔗漈磜谢{姓}[7]藉{～口}脊隻迹
tsʰ	[1]车-[4]勺□{踩}[7]赤
s	[1]赊奢[2]邪佘[3]写舍[4]翼{翅}口{背负}[5]社舍射麝谢{感～}卸[7]削
k	[1]伽迦袈kia2[1]剧屐□{攀登}
kʰ	[1]欺-{蒙骗}
∅	[1]鸦=□{用指甲抓，手抓}[2]耶爷椰揶[3]野冶也[4]疫役[5]夜
#ua	
p	[2]𢆓{山～：地名}[4]跋{跌}[5]簸-[7]钵拨
pʰ	[5]破-派-{～水}[7]泼
b	[2]磨{～刀}麻蔴{芝～}[4]末沫袜[7]抹
t	[1]多-{几～}[5]大-
tʰ	[1]拖[7]□{脚在地上摩擦}
l	[2]箩-[4]辣[7]濑-{搁浅}烙-
ts	[1]抓[3]纸[4]舵-[7]□{粟~：晒谷席}
tsʰ	[4]□{歪}
s	[1]沙-[2]蛇[3]耍洒[4]舌[5]癞{病～：麻风}[7]杀煞撒刹
k	[1]瓜过-{菜老}[2]盖{～子}桦-[3]寡剐[4]荷{提}[5]挂卦褂芥-[7]割刮葛豁
kʰ	[1]夸跨垮[7]渴阔
ɡ	[1]我-娲挖娃蛙洼[3]瓦[4]画{动词}划{计～}[5]话=
x	[1]花[2]华桦=譁哗[4]乏伐罚筏滑=猾=活[5]化画{名词}话=[7]法发
#ya	
k	[5]寄[4]崎{陡坡}
kʰ	[1]桸{勺}[4]徛{立}
ɡ	[2]鹅-[3]蚁-[4]热[5]外艾
#ai	
p	[3]摆[4]卜{萝～}[5]拜败[7]北
pʰ	[3]痞{坏}[5]派[7]迫
b	[4]脉墨密-[5]迈
t	[1]呆[2]台□{要}[3]歹[4]待怠殆直-特[5]代袋=贷带戴[7]德
tʰ	[1]胎苔{舌～}[2]抬[5]态太泰[7]踢
l	[2]来[3]乃奶=[4]肋勒[5]奈捺奈耐癞赖濑
ts	[1]灾栽[2]才财材裁[3]子{儿}宰[4]在宅泽择[5]再载[7]节{竹～}摘窄则
tsʰ	[1]猜[2]柴脐谗馋采彩採踩[4]贼[5]菜蔡[7]漆策拆=斥
s	[1]狮-筛=[3]李{～子}使{～得}[4]笠-力-□{刺}[5]赛婿事-{话～}[7]萨塞铎锡虱
k	[1]皆阶=该偕[3]改解[5]介界疥芥届丐盖[7]格革
kʰ	[1]开=[3]凯楷[5]溉概慨[7]克刻-级
ɡ	[2]呆崖涯[4]额逆[5]艾=碍
x	[2]孩谐骇[3]海[4]亥懈蟹械核=[5]害[7]黑赫吓
∅	[1]埃挨=哀[3]霭[5]爱=[7]蔼扼厄呃{打嗝}
#uai	
s	
k	[1]衰[5]帅
kʰ	[1]乖[3]拐[5]块=快喟=
ɡ	[1]歪
x	[2]怀淮槐[5]坏
#au	
p	[1]包胞孢[3]饱[5]豹
pʰ	[1]抛[3]否跑剖[4]泡雹鲍[5]炮
b	[2]猫谋矛茅蟊[3]某亩[4]茂=[5]茂{夏～：地名}貌
t	[1]兜[2]投条[3]斗{容器}[5]豆斗{争}脰昼-痘
tʰ	[1]偷滔[2]头[3]敨{～气}[5]透
l	[2]楼-流-[5]漏闹
ts	[1]糟[2]愁𦄧[3]找爪走[5]灶罩奏骤揍
tsʰ	[1]抄[2]樵-{柴火}[3]砂炒[5]凑钞
s	[1]捎梢搜[2]留[5]扫瘦嗽找[7]涩馊
k	[1]交郊茭铰胶沟阄[2]猴[3]绞搞搅垢苟[4]咬厚-{～薄}[5]教较窖遘{到}□{杯}
kʰ	[1]骹{脚}[3]巧口[5]靠铐
ɡ	[2]肴淆[5]傲=
x	[1]薅[2]侯[4]后厚=[5]孝酵哮效[7]熻{焖}
∅	[1]欧瓯[2]喉[3]狗[5]坳-傲-
#iau	
p	[7]□{亲吻}
l	[3]了
k	[3]饺[5]叫
kʰ	[1]敲[5]翘蹻
#ŋ	
k	[1]光洸觥[3]广
x	[1]方坊=芳荒谎慌[2]防妨楻{大木桶}[3]访
∅	[2]黄癀璜[5]唔{不}毋{不}
#aŋ	
p	[1]邦帮[2]旁螃涛傍磅[3]榜绑[5]谤泵
b	[2]忙芒茫盲[3]网莽蟒
t	[1]当噹[2]堂瞠膛棠唐塘肠长{～短}[3]党档挡[4]荡盪宕[5]当{上～，典～}
tʰ	[1]汤[2]糖[3]淌躺倘[5]探烫趟
l	[2]郎狼螂廊琅烺瓤[3]朗□{扔}[5]浪
ts	[1]脏{肮～}簪赃庄妆装[2]藏[4]□{手压下}[5]葬壮状藏脏{内～}
tsʰ	[1]仓苍疮沧囱窗=[2]蚕床[3]惨
s	[1]桑丧霜孀[2]笼1{炊～}□{盛谷器}[3]嗓磉[5]丧{～失}㝗{稀疏}浪晾{晾晒}
k	[1]甘柑疳扛缸肛豇冈纲刚岗[2]鹹{～淡}憨[3]敢橄讲[4]干{～部}[5]杠钢淦
kʰ	[1]康糠慷[3]圹{穴}[4]项[5]囥{藏}坎
x	[1]蚶酣[2]颔杭航咸
∅	[1]庵淹秧[2]行-{一～}[3]影-[5]暗
#uaŋ	
kʰ	[2]狂[5]矿况旷圹{～地}
ɡ	[1]汪[2]王亡忘[3]枉往妄[5]旺望
∅	[3]晃榥幌[5]放
#ɛiŋ	
p	[1]宾滨彬斌傧殡槟频濒冰兵[2]凭贫平=苹评=屏便{～宜}[3]禀丙炳柄秉[4]并[5]鬓病=摒=拼=膑
pʰ	[3]品[5]聘盼[7]□{打水漂}
b	[2]民明萌盟冥=鸣铭[3]敏闵悯皿茗[5]命=
t	[1]砧珍丁征{特～}[2]沉尘=陈廷霆庭[3]鼎=[5]镇阵定订
tʰ	[1]汀[3]挺艇[5]趁-听{～任}
l	[2]林淋临吟怜邻鳞=磷人迎凝灵陵[3]耳-忍[5]认吝韧令
ts	[1]针斟箴真津贞征惩晴精=[3]枕振震诊疹整[4]尽烬静靖净[5]浸进晋正证症政
tsʰ	[1]深侵亲青清晴氰称[2]堘{旧}[3]寝请[5]衬趁=称{相～}秤
s	[1]心芯辛新薪锌申呻=伸砷身升声=[2]神辰晨臣蝇=忱成诚城乘承[3]审婶沈[4]肾[5]信讯迅慎剩胜性=圣乘{～机}
k	[1]今金襟京经荆[2]禽擒琴琼鲸[3]锦谨仅馑紧景境[4]妗腱[5]禁劲竟颈茎敬
kʰ	[1]钦轻=倾卿[5]庆罄
x	[1]兴馨[5]兴{高～}衅
#iɛiŋ	
∅	[1]应{～该}音阴因茵絪蝇咽姻婴缨樱鹰英瑛[2]淫阎壬仁盈庸镛[3]饮掩引尹隐演堰影=颖[5]荫任印孕应{～答}映
#yɛiŋ	
∅	[1]殷晕雍邕莺[2]云荣莹萤容溶榕绒蓉融[3]允永甬勇涌踊恿俑拥[5]闰润运韵泳咏用
#ɔuŋ	
p	[1]枋{木板}[2]房[3]捧[5]放
pʰ	[1]蜂-[2]冯蓬篷[5]碰缝{～隙}
b	[1]朦{凸起}[2]蒙濛蠓朦[3]蠓{蚊}懵[5]梦
t	[1]东冬[2]同铜筒童僮瞳[3]董懂[4]动重{轻～}[5]冻栋洞
tʰ	[1]通捅[2]桐虫[3]桶统[5]痛恸
l	[2]聋=珑胧笼{灯～}窿农浓=侬砻[3]拢笼{箱～}[5]脓弄
ts	[1]宗综棕鬃踪{～迹}[2]从崇总[5]粽
tsʰ	[1]怱葱聪
s	[1]双松=13聋=[3]耸𢱤[5]送宋颂=诵
k	[1]公蚣工功攻汞[3]港[5]贡杠
kʰ	[1]空[3]孔[5]空{～缺}控
ŋ	[3]戆{傻}
x	[1]烘风疯枫封丰峰锋[2]红洪缝{裁～}逢鸿虹=皇轰[3]哄[4]奉凤俸[5]港
∅	[1]翁嗡蓊[5]瓮
#œyŋ	
t	[1]中忠衷[2]重{～复}尘[4]仲[5]中{打~}[7]□{水溢，水动状}
tʰ	[1]窗[3]冢笼
l	[2]龙浓-隆[3]陇垅崙
ts	[1]盅钟鍾春终[2]存从情松-[3]准种{～子}肿[5]圳众纵{～队}种{～植}颂{穿衣}
tsʰ	[1]春椿充冲[3]蠢怂{放纵}[5]铳
k	[1]弓宫供{口～}恭躬[2]穷[3]拱[5]共供{～佛}
kʰ	[1]窘[3]巩恐[4]虹-□{乌桕}
x	[1]胸凶[2]刑形型宏熊雄
#iŋ	
t	[1]张[2]肠场[3]长{～官}[4]丈仗[5]胀[7]长{余剩}
tʰ	[1]杖[5]畅
l	[2]良桹凉量梁梁[3]两[5]量{数～}
ts	[1]将浆[2]墙[3]奖桨掌蒋[4]痒[5]将{大～}匠酱
tsʰ	[1]枪昌菖猖娼[3]抢厂[4]绱[5]唱
s	[1]相箱廂湘襄镶伤殇乡香[2]祥详裳常尝[3]想赏饷偿鲞[4]象像橡尚向[5]上相{丞～}
k	[1]姜羌疆僵缰[2]强[3]强{勉～}[5]□{胀}
kʰ	[1]匡筐眶腔[5]□{赠送}
∅	[1]央殃鸯[2]羊洋烊疡阳杨扬溶娘[3]养痒=嚷壤攘酿[5]样漾让
#ɪ̃	
p	[1]边笾鞭辫{名词}[4]辫{动词}辩辨卞汴[5]变便{～利}
pʰ	[1]篇偏编翩[5]片骗遍
m	[1]眠岷[2]棉绵[5]面砚
t	[1]甜颠巅癫[2]田缠传[4]佃□{门～}懒
tʰ	[1]天添[4]□{挑拣}[5]䋎{缝}
n	[2]镰帘连莲联奁邻[5]炼练楝恋
ts	[1]尖詹瞻煎歼[2]钱泉全[4]□{吮吸}[5]占战贱荐箭渐钻-
tsʰ	[1]千迁阡笺銓□{刺入竹丝}[2]前
s	[1]先=仙鲜宣喧萱[2]嫌蝉禅贤旋[4]善膳缮赡单{姓}[5]扇煽献线县现羡㮼
k	[1]兼蒹坚悭[4]俭件[5]剑见
kʰ	[1]谦牵=[2]钳虔乾{～坤}[5]欠歉
ŋ	[1]黏研[2]严言年宜元仪疑[4]入日[5]念砚彦二谊义
∅	[1]烟焉[2]盐檐炎然燃延筵[5]厌焰艳宴燕瘾
#ẽ	
p	[3]扁匾贬砭
pʰ	[3]□{打耳光}
m	[3]免勉娩{分～}缅
t	[3]典转
tʰ	[3]忝舔
n	[3]敛脸殓
ts	[3]践饯溅
tsʰ	[3]浅
s	[3]癣闪险选
k	[3]捡拣
kʰ	[3]遣谴
ŋ	[3]染软
#uɪ̃	
p	[1]奔般搬[2]盆盘[4]范{姓}[5]笨粪-半畔饭-谤
pʰ	[1]潘[2]㖹[4]伴拦判叛[5]喷
m	[2]门明{～日}瞒鳗[5]闷焖问
t	[1]敦墩钝单[2]弹{～琴}坛檀鱣[4]断[5]断{～定}顿吨段煅锻缎
tʰ	[1]吞滩摊[2]团[4]□{重煮}[5]炭碳□{掉下}
n	[2]仑伦轮纶银兰拦阑难峦鸾[1]腻{吃～}[5]嫩乱烂
ts	[1]尊遵[2]荐{草垫}残[4]撰馔[5]钻{～洞}
tsʰ	[1]村[5]寸灿
s	[1]孙荪酸拴闩山姗跚珊删芟[2]唇纯旬荀循巡寻醇淳绳[4]卵-[5]逊殉顺散算蒜僆{鸡～：小母鸡}
k	[1]君军斤官关[2]拳群裙勤悬{高}寒[4]近郡[5]贯惯
kʰ	[1]昆锟坤宽[5]困
ŋ	[1]温瘟安鞍弯湾[2]文纹闻[4]旱[5]问{学～}阮万
x	[1]分=纷芬汾氛番翻蕃肝-薰-[2]荤痕坟焚横还环凡鼾烦繁韩矾寒=[4]混范犯远-[5]份粪=训奂唤换幻贩饭=泛汉汗
#uẽ	
p	[3]本
m	[3]满
t	[3]盾
n	[3]卵=暖
ts	[3]钻={～石}
tsʰ	[3]忖喘
s	[3]损笋榫产伞
k	[3]滚管-{～子}
kʰ	[3]菌睏{睡}
ŋ	[3]稳挽菀娩{～婆}晚碗
x	[3]粉愤反=返
#yɪ̃	
tʃ	[1]专砖颛
tʃʰ	[1]穿川[4]鳝[5]串窜
ʃ	[1]薰勋欣掀=轩[2]船玄炫眩舷悬=[4]术-述[5]楦
k	[1]根筋捐娟鹃[2]权颧墘{上～：地名}[5]建健键卷捲倦券眷
kʰ	[1]圈[5]劝
ŋ	[1]颤{颤抖}
∅	[1]冤渊[2]丸完原源员圆沿铅袁园辕猿缘椽援垣[5]院愿宛怨[4]□{翻书}
#yẽ	
tʃ	[3]展
tʃʰ	[3]䘆{蚯蚓}
ʃ	[3]掀-
k	[3]囝
kʰ	[3]犬
∅	[3]箢腕远
#ɔ̃	
p	[1]棚[5]病
pʰ	[1]甏{水缸}[2]彭膨澎[4]蚌[5]胖冇{空}
m	[2]暝{夜}[5]骂
t	[1]担躭眈[2]谈[3]胆[4]啖淡
tʰ	[1]贪[2]覃潭谭蕈痰[3]毯[5]探-
