字	声	韵	调	注释	原拼音	原字头
桥	kʰ	iɜu	11		kieu*	桥
藠	kʰ	iɜu	21		kieu>	藠
扩	kʰ	ɔ	55		ko-	扩}
该	kʰ	ɔ	21		ko>	该o
豁	kʰ	ɔt	33		kod'	豁1
涸	kʰ	ɔk	33		kog'	涸1
郭	kʰ	ɔk	55		kog-	郭
该	kʰ	ɔi	33		koi'	该1
该	kʰ	ɔi	21		koi>	该3
抗	kʰ	ɔŋ	33		kong'	抗
港	kʰ	ɔŋ	55		kong-	港
狂	kʰ	ɔŋ	11		kong*	狂
佢	kʰ	øy	33		koui'	佢
渠	kʰ	øy	11		koui*	渠
拒	kʰ	øy	21		koui>	拒
枯	kʰ	u	33		ku'	枯
箍	kʰ	u	21		ku>	箍
屈	kʰ	ut	55		kud-	屈1
规	kʰ	ui	33		kui'	规
葵	kʰ	ui	11		kui*	葵1
逵	kʰ	ui	21		kui>	逵>
葵	kʰ	ui	215		kui>-	葵2
坤	kʰ	un	33		kun'	坤
滚	kʰ	un	55		kun-	滚1
裙	kʰ	un	11		kun*	裙
喇	l	a	33		la'	喇
拉	l	a	55		la-	拉1
腌	l	a	21		la>	腌2
腊	l	ap	33		lab'	腊'
笠	l	ap	55		lab-	笠1
垃	l	ap	32		lab`	垃
甩	l	at	55		lad-	甩1
辣	l	at	32		lad`	辣
簕	l	ak	33		lag'	簕
旯	l	ak	55		lag-	旯
勒	l	ak	32		lag`	勒1
勒	l	ak	21		lag>	勒>
拉	l	ai	33		lai'	拉2
孻	l	ai	55		lai-	孻
犁	l	ai	11		lai*	犁
荔	l	ai	32		lai`	荔
礼	l	ai	21		lai>	礼
蘸	l	am	33		lam'	蘸
揽	l	am	55		lam-	揽
蓝	l	am	11		lam*	蓝
揽	l	am	32		lam`	揽`
览	l	am	21		lam>	览
懒	l	an	33		lan'	懒2
栏	l	an	11		lan*	栏
烂	l	an	32		lan`	烂1
懒	l	an	21		lan>	懒1
冷	l	aŋ	33		lang'	冷2
冷	l	aŋ	55		lang-	冷-
冷	l	aŋ	32		lang`	冷`
冷	l	aŋ	21		lang>	冷1
捞	l	au	33		lao'	捞3
褛	l	au	335		lao'-	褛2
搂	l	au	55		lao-	搂1
蒌	l	au	11		lao*	蒌
漏	l	au	32		lao`	漏
篓	l	au	21		lao>	篓1
粒	l	ɜp	55		leb-	粒
立	l	ɜp	32		leb`	立1
沥	l	ɜt	55		led-	沥
历	l	ɜt	32		led`	历
碌	l	ək	55		leg-	碌2
六	l	ək	32		leg`	六
李	l	ɛi	55		lei-	李
离	l	ɛi	11		lei*	离
利	l	ɛi	32		lei`	利
理	l	ɛi	21		lei>	理
林	l	ɜm	11		lem*	林
凛	l	ɜm	21		lem>	凛
鳞	l	ɜn	11		len*	鳞
另	l	ɜn	32		len`	另
领	l	ɜn	21		len>	领
笼	l	əŋ	55		leng-	笼4
龙	l	əŋ	11		leng*	龙
弄	l	əŋ	32		leng`	弄1
笼	l	əŋ	21		leng>	笼2
溜	l	ɜu	33		leu'	溜1
溜	l	ɜu	55		leu-	溜3
流	l	ɜu	11		leu*	流
柳	l	ɜu	21		leu>	柳
咧	l	iɛ	21		lie>	咧3
猎	l	iɜp	32		lieb`	猎
裂	l	iɜt	33		lied'	裂3
裂	l	iɜt	55		lied-	裂1
烈	l	iɜt	32		lied`	烈
叻	l	iɛk	55		lieg-	叻
略	l	iɛk	32		lieg`	略
舔	l	iɜm	55		liem-	舔
镰	l	iɜm	11		liem*	镰
脸	l	iɜm	21		liem>	脸
恋	l	iɜn	55		lien-	恋
连	l	iɜn	11		lien*	连
练	l	iɜn	32		lien`	练
辇	l	iɜn	21		lien>	辇
靓	l	iɛŋ	33		lieng'	靓1
两	l	iɛŋ	55		lieng-	两
梁	l	iɛŋ	11		lieng*	梁1
亮	l	iɛŋ	32		lieng`	亮
岭	l	iɛŋ	21		lieng>	岭2
撩	l	iɜu	55		lieu-	撩1
辽	l	iɜu	11		lieu*	辽
料	l	iɜu	32		lieu`	料
捞	l	ɔ	33		lo'	捞2
老	l	ɔ	55		lo-	老1
劳	l	ɔ	11		lo*	劳
涝	l	ɔ	21		lo>	涝}
捋	l	ɔt	33		lod'	捋3
捋	l	ɔt	32		lod`	捋1
咯	l	ɔk	33		log'	咯2
咯	l	ɔk	55		log-	咯1
落	l	ɔk	32		log`	落
落	l	ɔk	21		log>	落5
来	l	ɔi	11		loi*	来
睐	l	ɔi	32		loi`	睐
卵	l	ɔn	55		lon-	卵
乱	l	ɔn	32		lon`	乱
浪	l	ɔŋ	33		long'	浪'
狼	l	ɔŋ	11		long*	狼
浪	l	ɔŋ	32		long`	浪
朗	l	ɔŋ	21		long>	朗
撸	l	ou	33		lou'	撸
卤	l	ou	55		lou-	卤
炉	l	ou	11		lou*	炉
露	l	ou	32		lou`	露1
螺	l	ou	21		lou>	螺2
栗	l	ɵt	32		loud`	栗1
篓	l	øy	55		loui-	篓2
雷	l	øy	11		loui*	雷
类	l	øy	32		loui`	类
旅	l	øy	21		loui>	旅
轮	l	ɵn	11		loun*	轮1
论	l	ɵn	32		loun`	论1
轮	l	ɵn	21		loun>	轮3
圾	ɬ	ap	55		lhab-	圾
卅	ɬ	ap	32		lhab`	卅
撒	ɬ	at	33		lhad'	撒1
塞	ɬ	ak	55		lhag-	塞2
西	ɬ	ai	33		lhai'	西
洗	ɬ	ai	55		lhai-	洗1
婿	ɬ	ai	21		lhai>	婿
三	ɬ	am	33		lham'	三
糁	ɬ	am	55		lham-	糁
伞	ɬ	an	33		lhan'	伞
散	ɬ	an	55		lhan-	散2
僧	ɬ	aŋ	33		lhang'	僧
嗽	ɬ	au	33		lhao'	嗽
搜	ɬ	au	55		lhao-	搜
膝	ɬ	ɜp	55		lheb-	膝
卌	ɬ	ɜp	32		lheb`	卌
息	ɬ	ɜt	55		lhed-	息
粟	ɬ	ək	55		lheg-	粟
四	ɬ	ɛi	33		lhei'	四
死	ɬ	ɛi	55		lhei-	死
心	ɬ	ɜm	33		lhem'	心
沁	ɬ	ɜm	55		lhem-	沁
芯	ɬ	ɜm	21		lhem>	芯2
新	ɬ	ɜn	33		lhen'	新
醒	ɬ	ɜn	55		lhen-	醒1
烬	ɬ	ɜn	21		lhen>	烬2
送	ɬ	əŋ	33		lheng'	送
耸	ɬ	əŋ	55		lheng-	耸
餸	ɬ	əŋ	21		lheng>	餸
修	ɬ	ɜu	33		lheu'	修
些	ɬ	iɛ	33		lhie'	些
写	ɬ	iɛ	55		lhie-	写
楔	ɬ	iɜp	33		lhieb'	楔2
楔	ɬ	iɜp	21		lhieb>	楔3
楔	ɬ	iɜt	55		lhied-	楔1
锡	ɬ	iɛk	33		lhieg'	锡1
鹊	ɬ	iɛk	55		lhieg-	鹊
先	ɬ	iɜn	33		lhien'	先
选	ɬ	iɜn	55		lhien-	选
旋	ɬ	iɜn	11		lhien*	旋1
羡	ɬ	iɜn	32		lhien`	羡
相	ɬ	iɛŋ	33		lhieng'	相1
想	ɬ	iɛŋ	55		lhieng-	想
星	ɬ	iɛŋ	21		lhieng>	星2
消	ɬ	iɜu	33		lhieu'	消
小	ɬ	iɜu	55		lhieu-	小
扫	ɬ	ɔ	33		lho'	扫1
嫂	ɬ	ɔ	55		lho-	嫂
扫	ɬ	ɔ	215		lho>-	扫3
索	ɬ	ɔk	55		lhog-	索2
索	ɬ	ɔk	21		lhog>	索>
赛	ɬ	ɔi	33		lhoi'	赛
髓	ɬ	ɔi	55		lhoi-	髓
酸	ɬ	ɔn	33		lhon'	酸
蒜	ɬ	ɔn	21		lhon>	蒜
桑	ɬ	ɔŋ	33		lhong'	桑2
桑	ɬ	ɔŋ	21		lhong>	桑1
率	ɬ	ɵt	55		lhoud-	率2
虽	ɬ	øy	33		lhoui'	虽
瑞	ɬ	øy	32		lhoui`	瑞
绪	ɬ	øy	21		lhoui>	绪
孙	ɬ	ɵn	33		lhoun'	孙
损	ɬ	ɵn	55		lhoun-	损
苏	ɬ	u	33		lhu'	苏
锁	ɬ	u	55		lhu-	锁
瓷	ɬ	u	11		lhu*	瓷
事	ɬ	u	32		lhu`	事
似	ɬ	u	21		lhu>	似
须	ɬ	u	215		lhu>-	须3
吾	m		11		m*	吾
孖	m	a	33		ma'	孖
妈	m	a	55		ma-	妈
麻	m	a	11		ma*	麻1
骂	m	a	32		ma`	骂
马	m	a	21		ma>	马1
袜	m	at	32		mad`	袜
脉	m	ak	33		mag'	脉
唛	m	ak	55		mag-	唛
墨	m	ak	32		mag`	墨
墨	m	ak	21		mag>	墨>
买	m	ai	33		mai'	买
米	m	ai	55		mai-	米
迷	m	ai	11		mai*	迷
卖	m	ai	32		mai`	卖
蛮	m	an	11		man*	蛮
慢	m	an	32		man`	慢
晚	m	an	21		man>	晚
猛	m	aŋ	33		mang'	猛2
蜢	m	aŋ	55		mang-	蜢1
盲	m	aŋ	11		mang*	盲1
孟	m	aŋ	32		mang`	孟
猛	m	aŋ	21		mang>	猛
踎	m	au	33		mao'	踎
貌	m	au	55		mao-	貌-
矛	m	au	11		mao*	矛
茂	m	au	32		mao`	茂
某	m	au	21		mao>	某
密	m	ɜt	32		med`	密
密	m	ɜt	21		med>	密>
木	m	ək	33		meg'	木'
卜	m	ək	55		meg-	卜1
木	m	ək	32		meg`	木1
木	m	ək	21		meg>	木2
尾	m	ɛi	55		mei-	尾
眉	m	ɛi	11		mei*	眉
未	m	ɛi	32		mei`	未
味	m	ɛi	325		mei`-	味2
美	m	ɛi	21		mei>	美
明	m	ɜn	55		men-	明-
民	m	ɜn	11		men*	民
