字	声	韵	调	注释	原拼音	原字头
那	n	ak	33		nag'	那k'
粘	n	ak	55		nag-	粘)
那	n	ak	32		nag`	那k
尼	n	ai	55		nai-	尼-
呢	n	ai	11		nai*	呢2
鼐	n	ai	32		nai`	鼐
乃	n	ai	21		nai>	乃3
乃	n	ai	215		nai>-	乃6
腩	n	am	33		nam'	腩'
谂	n	am	55		nam-	谂2
南	n	am	11		nam*	南1
南	n	am	115		nam*-	南*-
腩	n	am	21		nam>	腩1
撚	n	an	55		nan-	撚
难	n	an	11		nan*	难1
难	n	an	32		nan`	难2
赧	n	an	21		nan>	赧}
能	n	aŋ	11		nang*	能
镫	n	aŋ	21		nang>	镫)
挠	n	au	11		nao*	挠
闹	n	au	32		nao`	闹
呐	n	ɛ	11		ne*	呐2
凹	n	ɜp	33		neb'	凹3
凹	n	ɜp	21		neb>	凹4
捏	n	ɜt	33		ned'	捏)
匿	n	ɜt	55		ned-	匿-
匿	n	ɜt	32		ned`	匿1
捏	n	ɜt	21		ned>	捏>
按	n	ək	33		neg'	按)
衄	n	ək	32		neg`	衄
你	n	ɛi	33		nei'	你2
饵	n	ɛi	32		nei`	饵
腻	n	ɛi	325		nei`-	腻2
你	n	ɛi	21		nei>	你1
你	n	ɛi	215		nei>-	你}
稔	n	ɜm	21		nem>	稔2
拎	n	ɜn	55		nen-	拎
柠	n	ɜn	11		nen*	柠
拧	n	ɜn	32		nen`	拧1
恁	n	ɜn	21		nen>	恁1
燶	n	əŋ	33		neng'	燶1
农	n	əŋ	11		neng*	农
燶	n	əŋ	21		neng>	燶2
怒	n	ɜu	33		neu'	怒)
扭	n	ɜu	55		neu-	扭
呢	n	i	55		ni-	呢1
捏	n	it	55		nid-	捏-
乜	n	iɛ	55		nie-	乜1
捏	n	iɜp	55		nieb-	捏1
镊	n	iɜp	32		nieb`	镊
偌	n	iɛk	33		nieg'	偌'
偌	n	iɛk	55		nieg-	偌-
偌	n	iɛk	21		nieg>	偌2
拈	n	iɜm	33		niem'	拈
粘	n	iɜm	11		niem*	粘2
念	n	iɜm	32		niem`	念
捻	n	iɜm	21		niem>	捻
年	n	iɜn	11		nien*	年
奶	n	iɜn	215		nien>-	奶)
娘	n	iɛŋ	11		nieng*	娘
袅	n	iɜu	33		nieu'	袅2
溺	n	iɜu	32		nieu`	溺2
鸟	n	iɜu	21		nieu>	鸟
脑	n	ɔ	55		no-	脑
稠	n	ɔ	11		no*	稠)
骂	n	ɔ	32		no`	骂)
恼	n	ɔ	21		no>	恼
诺	n	ɔk	32		nog`	诺
耐	n	ɔi	32		noi`	耐
暖	n	ɔn	33		non'	暖2
暖	n	ɔn	21		non>	暖1
囔	n	ɔŋ	55		nong-	囔-
囊	n	ɔŋ	11		nong*	囊1
裆	n	ɔŋ	32		nong`	裆
囊	n	ɔŋ	21		nong>	囊3
努	n	ou	55		nou-	努
奴	n	ou	11		nou*	奴
怒	n	ou	32		nou`	怒1
弩	n	ou	21		nou>	弩
胖	n	ɵt	55		noud-	胖)
栗	n	ɵt	32		noud`	栗]
女	n	øy	55		noui-	女
内	n	øy	32		noui`	内
馁	n	øy	21		noui>	馁
嫩	n	ɵn	32		noun`	嫩
五	ŋ		55		ng-	五
蜈	ŋ		11		ng*	蜈
唔	ŋ		115		ng*-	唔3
晤	ŋ		32		ng`	晤
午	ŋ		21		ng>	午1
瓦	ŋ	a	55		nga-	瓦1
芽	ŋ	a	11		nga*	芽
讶	ŋ	a	32		nga`	讶
雅	ŋ	a	21		nga>	雅
噏	ŋ	ap	55		ngab-	噏2
臊	ŋ	at	33		ngad'	臊)
啮	ŋ	at	32		ngad`	啮2
呃	ŋ	ak	55		ngag-	呃}
额	ŋ	ak	32		ngag`	额1
蚁	ŋ	ai	55		ngai-	蚁
捱	ŋ	ai	11		ngai*	捱
艾	ŋ	ai	32		ngai`	艾1
外	ŋ	ai	325		ngai`-	外2
啱	ŋ	am	55		ngam-	啱
癌	ŋ	am	11		ngam*	癌
颔	ŋ	am	21		ngam>	颔
眼	ŋ	an	55		ngan-	眼
顽	ŋ	an	11		ngan*	顽
雁	ŋ	an	32		ngan`	雁
硬	ŋ	aŋ	32		ngang`	硬
钩	ŋ	au	33		ngao'	钩4
咬	ŋ	au	55		ngao-	咬
熬	ŋ	au	11		ngao*	熬4
牛	ŋ	au	32		ngao`	牛`
钩	ŋ	au	21		ngao>	钩2
廿	ŋ	ɜp	32		ngeb`	廿
日	ŋ	ɜt	33		nged'	日2
抑	ŋ	ɜt	55		nged-	抑
逆	ŋ	ɜt	32		nged`	逆
日	ŋ	ɜt	21		nged>	日3
兀	ŋ	ək	55		ngeg-	兀]
肉	ŋ	ək	32		ngeg`	肉1
肉	ŋ	ək	21		ngeg>	肉2
耳	ŋ	ɛi	55		ngei-	耳1
而	ŋ	ɛi	11		ngei*	而
二	ŋ	ɛi	32		ngei`	二
尔	ŋ	ɛi	21		ngei>	尔1
饮	ŋ	ɜm	55		ngem-	饮1
壬	ŋ	ɜm	11		ngem*	壬
赁	ŋ	ɜm	32		ngem`	赁
妊	ŋ	ɜm	21		ngem>	妊1
韧	ŋ	ɜn	33		ngen'	韧
楹	ŋ	ɜn	11		ngen*	楹
认	ŋ	ɜn	32		ngen`	认
忍	ŋ	ɜn	21		ngen>	忍
浓	ŋ	əŋ	11		ngeng*	浓2
耳	ŋ	i	55		ngi-	耳2
惹	ŋ	iɛ	55		ngie-	惹2
惹	ŋ	iɛ	21		ngie>	惹1
业	ŋ	iɜp	32		ngieb`	业
孽	ŋ	iɜt	55		ngied-	孽
啮	ŋ	iɜt	32		ngied`	啮1
月	ŋ	iɜt	21		ngied>	月2
疟	ŋ	iɛk	55		ngieg-	疟1
虐	ŋ	iɛk	32		ngieg`	虐
严	ŋ	iɜm	11		ngiem*	严
验	ŋ	iɜm	32		ngiem`	验
染	ŋ	iɜm	21		ngiem>	染
软	ŋ	iɜn	33		ngien'	软
燃	ŋ	iɜn	11		ngien*	燃
彦	ŋ	iɜn	32		ngien`	彦
阮	ŋ	iɜn	21		ngien>	阮
壤	ŋ	iɛŋ	11		ngieng*	壤
酿	ŋ	iɛŋ	32		ngieng`	酿
仰	ŋ	iɛŋ	21		ngieng>	仰
尧	ŋ	iɜu	11		ngieu*	尧
扰	ŋ	iɜu	21		ngieu>	扰
敖	ŋ	ɔ	11		ngo*	敖
熬	ŋ	ɔ	32		ngo`	熬2
我	ŋ	ɔ	21		ngo>	我1
截	ŋ	ɔt	21		ngod>	截)
鄂	ŋ	ɔk	55		ngog-	鄂
岳	ŋ	ɔk	32		ngog`	岳}
我	ŋ	ɔi	33		ngoi'	我2
呆	ŋ	ɔi	11		ngoi*	呆
碍	ŋ	ɔi	32		ngoi`	碍
我	ŋ	ɔi	21		ngoi>	我i
岸	ŋ	ɔn	32		ngon`	岸
昂	ŋ	ɔŋ	11		ngong*	昂
戆	ŋ	ɔŋ	32		ngong`	戆1
娥	ŋ	ou	11		ngou*	娥
饿	ŋ	ou	32		ngou`	饿
兀	ŋ	ɵt	55		ngoud-	兀3
兀	ŋ	ɵt	32		ngoud`	兀2
如	ŋ	øy	11		ngoui*	如
鱼	ŋ	øy	115		ngoui*-	鱼2
遇	ŋ	øy	32		ngoui`	遇
乳	ŋ	øy	21		ngoui>	乳
鱼	ŋ	øy	215		ngoui>-	鱼4
吧	p	a	33		ba'	吧
爸	p	a	55		ba-	爸1
爸	p	a	11		ba*	爸*
罢	p	a	32		ba`	罢3
拜	p	ai	33		bai'	拜
摆	p	ai	55		bai-	摆
败	p	ai	32		bai`	败
颁	p	an	33		ban'	颁
瓣	p	an	32		ban`	瓣1
嘣	p	aŋ	55		bang-	嘣
鲍	p	au	33		bao'	鲍
镤	p	ək	32		beg`	镤
贲	p	ɛi	33		bei'	贲1
俾	p	ɛi	55		bei-	俾
彬	p	ɜn	33		ben'	彬
屏	p	ɜn	55		ben-	屏2
泵	p	əŋ	55		beng-	泵1
啤	p	iɛ	55		bie-	啤
扁	p	iɜn	55		bien-	扁2
卞	p	iɜn	32		bien`	卞
标	p	iɜu	33		bieu'	标1
博	p	ɔk	55		bog-	博2
缚	p	ɔk	32		bog`	缚
搬	p	ɔn	33		bon'	搬
伴	p	ɔn	32		bon`	伴1
梆	p	ɔŋ	55		bong-	梆
镑	p	ɔŋ	32		bong`	镑
哺	p	ou	32		bou`	哺
钋	p	u	55		bu-	钋
钚	p	ut	55		bud-	钚
怕	pʰ	a	33		pa'	怕
趴	pʰ	a	55		pa-	趴
扒	pʰ	a	11		pa*	扒1
拍	pʰ	ak	33		pag'	拍
柏	pʰ	ak	55		pag-	柏1
派	pʰ	ai	33		pai'	派
牌	pʰ	ai	11		pai*	牌
稗	pʰ	ai	21		pai>	稗1
颁	pʰ	an	33		pan'	颁2
澎	pʰ	aŋ	11		pang*	澎1
棒	pʰ	aŋ	21		pang>	棒1
炮	pʰ	au	33		pao'	炮
跑	pʰ	au	55		pao-	跑1
刨	pʰ	au	11		pao*	刨
辟	pʰ	ɜt	55		ped-	辟1
仆	pʰ	ək	55		peg-	仆3
披	pʰ	ɛi	33		pei'	披
鄙	pʰ	ɛi	55		pei-	鄙
琵	pʰ	ɛi	11		pei*	琵
睥	pʰ	ɛi	21		pei>	睥
骋	pʰ	ɜn	33		pen'	骋2
平	pʰ	ɜn	11		pen*	平2
碰	pʰ	əŋ	33		peng'	碰
蓬	pʰ	əŋ	11		peng*	蓬1
撇	pʰ	iɜt	33		pied'	撇1
撇	pʰ	iɜt	21		pied>	撇3
劈	pʰ	iɛk	33		pieg'	劈3
劈	pʰ	iɛk	21		pieg>	劈>
编	pʰ	iɜn	33		pien'	编1
片	pʰ	iɜn	335		pien'-	片2
飘	pʰ	iɜu	33		pieu'	飘
瓢	pʰ	iɜu	11		pieu*	瓢
殍	pʰ	iɜu	21		pieu>	殍
牝	pʰ	in	21		pin>	牝
袍	pʰ	ɔ	11		po*	袍
抱	pʰ	ɔ	21		po>	抱2
泼	pʰ	ɔt	55		pod-	泼2
扑	pʰ	ɔk	55		pog-	扑
配	pʰ	ɔi	33		poi'	配
培	pʰ	ɔi	11		poi*	培
潘	pʰ	ɔn	33		pon'	潘
盘	pʰ	ɔn	11		pon*	盘
旁	pʰ	ɔŋ	11		pong*	旁
颇	pʰ	ou	33		pou'	颇1
谱	pʰ	ou	55		pou-	谱
蒲	pʰ	ou	11		pou*	蒲
沙	s	a	33		sa'	沙
洒	s	a	55		sa-	洒1
啥	s	a	11		sa*	啥
砂	s	a	21		sa>	砂
唼	s	ap	33		sab'	唼
涩	s	ap	55		sab-	涩1
煮	s	ap	32		sab`	煮)
杀	s	at	33		sad'	杀
刹	s	at	55		sad-	刹1
嗦	s	ak	55		sag-	嗦]
晒	s	ai	33		sai'	晒1
筛	s	ai	55		sai-	筛1
誓	s	ai	32		sai`	誓
筛	s	ai	21		sai>	筛2
渗	s	am	33		sam'	渗
掺	s	am	55		sam-	掺3
森	s	am	11		sam*	森
衫	s	am	21		sam>	衫
山	s	an	33		san'	山
潺	s	an	11		san*	潺1
闩	s	an	21		san>	闩2
生	s	aŋ	33		sang'	生
省	s	aŋ	55		sang-	省1
生	s	aŋ	21		sang>	生2
鞘	s	au	33		sao'	鞘2
稍	s	au	55		sao-	稍1
愁	s	au	11		sao*	愁
扔	s	au	32		sao`	扔)
色	s	ɜt	55		sed-	色1
食	s	ɜt	32		sed`	食1
缩	s	ək	33		seg'	缩3
叔	s	ək	55		seg-	叔
熟	s	ək	32		seg`	熟
缩	s	ək	21		seg>	缩>
忱	s	ɜm	11		sem*	忱
升	s	ɜn	33		sen'	升1
成	s	ɜn	11		sen*	成
盛	s	ɜn	32		sen`	盛
升	s	ɜn	21		sen>	升3
崇	s	əŋ	11		seng*	崇
所	s	ɔ	55		so-	所
傻	s	ɔ	11		so*	傻
说	s	ɔt	55		sod-	说1
嗍	s	ɔk	33		sog'	嗍1
朔	s	ɔk	55		sog-	朔
索	s	ɔk	21		sog>	索}
驶	s	ɔi	55		soi-	驶
船	s	ɔn	11		son*	船
霜	s	ɔŋ	33		song'	霜
爽	s	ɔŋ	55		song-	爽1
蔬	s	ou	33		sou'	蔬
数	s	ou	55		sou-	数2
梭	s	ou	21		sou>	梭2
术	s	ɵt	32		soud`	术
衰	s	øy	33		soui'	衰1
水	s	øy	55		soui-	水
垂	s	øy	11		soui*	垂
睡	s	øy	32		soui`	睡
谁	s	øy	215		soui>-	谁3
舜	s	ɵn	33		soun'	舜
纯	s	ɵn	11		soun*	纯
顺	s	ɵn	32		soun`	顺
肾	s	ɵn	21		soun>	肾
打	t	a	55		da-	打2
袭	t	ap	32		dab`	袭
哒	t	tat	33		dad'	哒}
得	t	ak	33		dag'	得5
则	t	ak	55		dag-	则
祭	t	ai	33		dai'	祭
际	t	ai	335		dai'-	际2
挤	t	ai	55		dai-	挤
济	t	ai	32		dai`	济`
谮	t	am	33		dam'	谮
赞	t	an	33		dan'	赞
缵	t	an	55		dan-	缵
增	t	aŋ	33		dang'	增
赠	t	aŋ	32		dang`	赠
甑	t	aŋ	21		dang>	甑1
奏	t	au	33		dao'	奏
走	t	au	55		dao-	走2
绩	t	ɜt	55		ded-	绩
夕	t	ɜt	32		ded`	夕
足	t	ək	33		deg'	足'
足	t	ək	55		deg-	足2
牍	t	ək	32		deg`	牍
螆	t	ɛi	33		dei'	螆1
姊	t	ɛi	55		dei-	姊
地	t	ɛi	32		dei`	地3
地	t	ɛi	325		dei`-	地4
螆	t	ɛi	21		dei>	螆2
浸	t	ɜm	33		dem'	浸1
泵	t	ɜm	55		dem-	泵）
精	t	ɜn	33		den'	精
井	t	ɜn	55		den-	井2
静	t	ɜn	32		den`	静
踪	t	əŋ	33		deng'	踪
总	t	əŋ	55		deng-	总
颂	t	əŋ	32		deng`	颂
粽	t	əŋ	21		deng>	粽1
粽	t	əŋ	215		deng>-	粽2
召	t	ɜu	33		deu'	召]
酒	t	ɜu	55		deu-	酒
袖	t	ɜu	32		deu`	袖
借	t	iɛ	33		die'	借
姐	t	iɛ	55		die-	姐
谢	t	iɛ	32		die`	谢
接	t	iɜp	33		dieb'	接2
接	t	iɜp	55		dieb-	接1
捷	t	iɜp	32		dieb`	捷
节	t	iɜt	33		died'	节3
节	t	iɜt	55		died-	节2
截	t	iɜt	32		died`	截1
节	t	iɜt	21		died>	节4
嵴	t	iɛk	33		dieg'	嵴
爵	t	iɛk	55		dieg-	爵
席	t	iɛk	32		dieg`	席2
雀	t	iɛk	21		dieg>	雀3
尖	t	iɜm	33		diem'	尖1
簟	t	iɜm	55		diem-	簟
渐	t	iɜm	32		diem`	渐1
尖	t	iɜm	21		diem>	尖>
荐	t	iɜn	33		dien'	荐
翦	t	iɜn	55		dien-	翦
饯	t	iɜn	32		dien`	饯1
将	t	iɛŋ	33		dieng'	将2
井	t	iɛŋ	55		dieng-	井1
象	t	iɛŋ	32		dieng`	象
钉	t	iɛŋ	21		dieng>	钉3
焦	t	iɜu	33		dieu'	焦
剿	t	iɜu	55		dieu-	剿1
蕉	t	iɜu	21		dieu>	蕉1
糟	t	ɔ	33		do'	糟
早	t	ɔ	55		do-	早
造	t	ɔ	32		do`	造3
灶	t	ɔ	21		do>	灶
嘬	t	ɔt	33		dod'	嘬1
作	t	ɔk	33		dog'	作3
作	t	ɔk	55		dog-	作2
昨	t	ɔk	32		dog`	昨1
再	t	ɔi	33		doi'	再
宰	t	ɔi	55		doi-	宰
在	t	ɔi	32		doi`	在1
钻	t	ɔn	33		don'	钻1
钻	t	ɔn	55		don-	钻-
葬	t	ɔŋ	33		dong'	葬
挡	t	ɔŋ	55		dong-	挡2
藏	t	ɔŋ	32		dong`	藏2
昨	t	ɔŋ	21		dong>	昨2
做	t	ou	33		dou'	做
卒	t	ɵt	55		doud-	卒
醉	t	øy	33		doui'	醉
嘴	t	øy	55		doui-	嘴
罪	t	øy	32		doui`	罪
尊	t	ɵn	33		doun'	尊
樽	t	ɵn	21		doun>	樽2
姿	t	u	33		du'	姿
祖	t	u	55		du-	祖
字	t	u	32		du`	字
猪	ʨ	i	33		ji'	猪
主	ʨ	i	55		ji-	主
治	ʨ	i	32		ji`	治
珠	ʨ	i	21		ji>	珠
汁	ʨ	ip	55		jib-	汁
质	ʨ	it	55		jid-	质1
侄	ʨ	it	32		jid`	侄
遮	ʨ	iɛ	33		jie'	遮1
遮	ʨ	iɛ	335		jie'-	遮2
者	ʨ	iɛ	55		jie-	者
蔗	ʨ	iɛ	21		jie>	蔗
摺	ʨ	iɜp	33		jieb'	摺
辄	ʨ	iɜp	55		jieb-	辄
褶	ʨ	iɜp	21		jieb>	褶
折	ʨ	iɜt	33		jied'	折'
折	ʨ	iɜt	55		jied-	折1
只	ʨ	iɛk	33		jieg'	只2
桌	ʨ	iɛk	55		jieg-	桌
着	ʨ	iɛk	32		jieg`	着1
占	ʨ	iɜm	33		jiem'	占
战	ʨ	iɜn	33		jien'	战
张	ʨ	iɛŋ	33		jieng'	张
长	ʨ	iɛŋ	55		jieng-	长2
杖	ʨ	iɛŋ	32		jieng`	杖
照	ʨ	iɜu	33		jieu'	照
沼	ʨ	iɜu	55		jieu-	沼
赵	ʨ	iɜu	32		jieu`	赵
针	ʨ	im	33		jim'	针
枕	ʨ	im	55		jim-	枕
浸	ʨ	im	32		jim`	浸)
针	ʨ	im	21		jim>	针}
针	ʨ	im	215		jim>-	针2
真	ʨ	in	33		jin'	真
展	ʨ	in	55		jin-	展
阵	ʨ	in	32		jin`	阵
周	ʨ	iu	33		jiu'	周
昼	ʨ	iu	21		jiu>	昼2
咒	ʨ	iu	215		jiu>-	咒2
塔	tʰ	ap	55		tab-	塔}
遢	tʰ	at	33		tad'	遢
贼	tʰ	ak	32		tag`	贼
妻	tʰ	ai	33		tai'	妻
锑	tʰ	ai	55		tai-	锑
齐	tʰ	ai	11		tai*	齐
参	tʰ	am	33		tam'	参1
参	tʰ	am	55		tam-	参-
蚕	tʰ	am	11		tam*	蚕2
蚕	tʰ	am	21		tam>	蚕1
餐	tʰ	an	33		tan'	餐
灿	tʰ	an	55		tan-	灿
残	tʰ	an	11		tan*	残1
残	tʰ	an	21		tan>	残>
层	tʰ	aŋ	11		tang*	层
凑	tʰ	au	33		tao'	凑
辑	tʰ	ɜp	55		teb-	辑
七	tʰ	ɜt	55		ted-	七
促	tʰ	ək	55		teg-	促
塞	tʰ	ɛi	33		tei'	塞)
糍	tʰ	ɛi	11		tei*	糍
脐	tʰ	ɛi	21		tei>	脐
参	tʰ	ɜm	33		tem'	参3
寝	tʰ	ɜm	55		tem-	寝
寻	tʰ	ɜm	11		tem*	寻1
寻	tʰ	ɜm	21		tem>	寻>
亲	tʰ	ɜn	33		ten'	亲1
请	tʰ	ɜn	55		ten-	请1
情	tʰ	ɜn	11		ten*	情
聪	tʰ	əŋ	33		teng'	聪
怂	tʰ	əŋ	55		teng-	怂2
从	tʰ	əŋ	11		teng*	从1
葱	tʰ	əŋ	21		teng>	葱1
揪	tʰ	ɜu	33		teu'	揪1
囚	tʰ	ɜu	11		teu*	囚
揪	tʰ	ɜu	21		teu>	揪>
斜	tʰ	iɛ	11		tie*	斜
妾	tʰ	iɜp	55		tieb-	妾
切	tʰ	iɜt	33		tied'	切4
切	tʰ	iɜt	55		tied-	切1
疼	tʰ	iɛk	33		tieg'	疼)
签	tʰ	iɜm	33		tiem'	签
潜	tʰ	iɜm	11		tiem*	潜
堑	tʰ	iɜm	21		tiem>	堑
千	tʰ	iɜn	33		tien'	千
浅	tʰ	iɜn	55		tien-	浅1
全	tʰ	iɜn	11		tien*	全
枪	tʰ	iɛŋ	33		tieng'	枪
抢	tʰ	iɛŋ	55		tieng-	抢1
详	tʰ	iɛŋ	11		tieng*	详
悄	tʰ	iɜu	33		tieu'	悄1
峭	tʰ	iɜu	55		tieu-	峭
樵	tʰ	iɜu	11		tieu*	樵
锹	tʰ	iɜu	21		tieu>	锹
操	tʰ	ɔ	33		to'	操
草	tʰ	ɔ	55		to-	草
槽	tʰ	ɔ	11		to*	槽
锉	tʰ	ɔ	21		to>	锉
撮	tʰ	ɔt	55		tod-	撮1
凿	tʰ	ɔk	21		tog>	凿2
菜	tʰ	ɔi	33		toi'	菜
睬	tʰ	ɔi	55		toi-	睬
裁	tʰ	ɔi	11		toi*	裁
爨	tʰ	ɔn	33		ton'	爨
苍	tʰ	ɔŋ	33		tong'	苍
怆	tʰ	ɔŋ	55		tong-	怆
藏	tʰ	ɔŋ	11		tong*	藏1
粗	tʰ	ou	33		tou'	粗
挫	tʰ	ou	21		tou>	挫
擦	tʰ	ɵt	33		toud'	擦)
趣	tʰ	øy	33		toui'	趣
取	tʰ	øy	55		toui-	取
徐	tʰ	øy	11		toui*	徐
寸	tʰ	ɵn	33		toun'	寸
存	tʰ	ɵn	11		toun*	存
村	tʰ	ɵn	21		toun>	村1
翅	ʨʰ	i	33		qi'	翅
齿	ʨʰ	i	55		qi-	齿
迟	ʨʰ	i	11		qi*	迟
嚏	ʨʰ	i	32		qi`	嚏
恃	ʨʰ	i	21		qi>	恃2
车	ʨʰ	iɛ	33		qie'	车1
扯	ʨʰ	iɛ	55		qie-	扯
撤	ʨʰ	iɜt	55		qied-	撤
尺	ʨʰ	iɛk	33		qieg'	尺1
卓	ʨʰ	iɛk	55		qieg-	卓
尺	ʨʰ	iɛk	21		qieg>	尺2
缠	ʨʰ	iɜn	11		qien*	缠
蝉	ʨʰ	iɜn	21		qien>	蝉1
倡	ʨʰ	iɛŋ	33		qieng'	倡
畅	ʨʰ	iɛŋ	55		qieng-	畅
场	ʨʰ	iɛŋ	11		qieng*	场1
丈	ʨʰ	iɛŋ	21		qieng>	丈2
超	ʨʰ	iɜu	33		qieu'	超
潮	ʨʰ	iɜu	11		qieu*	潮
揸	ʦ	a	33		za'	揸
喳	ʦ	a	55		za-	喳1
乍	ʦ	a	32		za`	乍
渣	ʦ	a	21		za>	渣
执	ʦ	ap	55		zab-	执2
闸	ʦ	ap	32		zab`	闸
喋	ʦ	ap	21		zab>	喋2
砸	ʦ	at	33		zad'	砸
匝	ʦ	at	55		zad-	匝1
匝	ʦ	at	21		zad>	匝2
窄	ʦ	ak	33		zag'	窄
侧	ʦ	ak	55		zag-	侧1
择	ʦ	ak	32		zag`	择
制	ʦ	ai	33		zai'	制
赍	ʦ	ai	55		zai-	赍
寨	ʦ	ai	32		zai`	寨
缄	ʦ	am	33		zam'	缄
眨	ʦ	am	55		zam-	眨
站	ʦ	am	32		zam`	站
盏	ʦ	an	55		zan-	盏
栈	ʦ	an	32		zan`	栈
咱	ʦ	an	21		zan>	咱3
争	ʦ	aŋ	33		zang'	争
挣	ʦ	aŋ	32		zang`	挣`
罩	ʦ	au	33		zao'	罩1
找	ʦ	au	55		zao-	找
宙	ʦ	au	32		zao`	宙
罩	ʦ	au	21		zao>	罩2
织	ʦ	ɜt	55		zed-	织
直	ʦ	ɜt	32		zed`	直
嘱	ʦ	ək	33		zeg'	嘱2
属	ʦ	ək	55		zeg-	属2
逐	ʦ	ək	32		zeg`	逐
证	ʦ	ɜn	33		zen'	证
整	ʦ	ɜn	55		zen-	整
剩	ʦ	ɜn	32		zen`	剩
中	ʦ	əŋ	33		zeng'	中
种	ʦ	əŋ	55		zeng-	种1
重	ʦ	əŋ	32		zeng`	重1
盅	ʦ	əŋ	215		zeng>-	盅2
拙	ʦ	ɔt	55		zod-	拙
捉	ʦ	ɔk	33		zog'	捉1
浞	ʦ	ɔk	55		zog-	浞
擢	ʦ	ɔk	32		zog`	擢
喙	ʦ	ɔi	33		zoi'	喙)
专	ʦ	ɔn	33		zon'	专
转	ʦ	ɔn	55		zon-	转1
传	ʦ	ɔn	32		zon`	传2
妆	ʦ	ɔŋ	33		zong'	妆
撞	ʦ	ɔŋ	32		zong`	撞
阻	ʦ	ou	55		zou-	阻
助	ʦ	ou	32		zou`	助
追	ʦ	øy	33		zoui'	追
坠	ʦ	øy	32		zoui`	坠
锥	ʦ	øy	215		zoui>-	锥2
津	ʦ	ɵn	33		zoun'	津1
准	ʦ	ɵn	55		zoun-	准1
津	ʦ	ɵn	32		zoun`	津`
圳	ʦ	ɵn	21		zoun>	圳2
差	ʦʰ	a	33		ca'	差
查	ʦʰ	a	11		ca*	查
杈	ʦʰ	a	21		ca>	杈2
插	ʦʰ	ap	33		cab'	插
刷	ʦʰ	at	33		cad'	刷1
察	ʦʰ	at	55		cad-	察
刷	ʦʰ	at	215		cad>-	刷4
拆	ʦʰ	ak	33		cag'	拆1
策	ʦʰ	ak	55		cag-	策
猜	ʦʰ	ai	33		cai'	猜
踩	ʦʰ	ai	55		cai-	踩
豺	ʦʰ	ai	11		cai*	豺
踹	ʦʰ	ai	32		cai`	踹
柴	ʦʰ	ai	21		cai>	柴
杉	ʦʰ	am	33		cam'	杉1
篸	ʦʰ	am	55		cam-	篸
搀	ʦʰ	am	11		cam*	搀
铲	ʦʰ	an	55		can-	铲
撑	ʦʰ	aŋ	33		cang'	撑
橙	ʦʰ	aŋ	11		cang*	橙
抽	ʦʰ	au	33		cao'	抽
炒	ʦʰ	au	55		cao-	炒
巢	ʦʰ	au	11		cao*	巢
彳	ʦʰ	ɜt	55		ced-	彳
触	ʦʰ	ək	55		ceg-	触
谄	ʦʰ	ɜm	33		cem'	谄
碜	ʦʰ	ɜm	55		cem-	碜1
沉	ʦʰ	ɜm	11		cem*	沉
衬	ʦʰ	ɜn	33		cen'	衬
逞	ʦʰ	ɜn	55		cen-	逞
陈	ʦʰ	ɜn	11		cen*	陈
秤	ʦʰ	ɜn	21		cen>	秤
冲	ʦʰ	əŋ	33		ceng'	冲
宠	ʦʰ	əŋ	55		ceng-	宠
虫	ʦʰ	əŋ	11		ceng*	虫1
虫	ʦʰ	əŋ	215		ceng>-	虫2
臭	ʦʰ	ɜu	33		ceu'	臭
丑	ʦʰ	ɜu	55		ceu-	丑3
筹	ʦʰ	ɜu	11		ceu*	筹
搓	ʦʰ	ɔ	33		co'	搓
矬	ʦʰ	ɔ	11		co*	矬
戳	ʦʰ	ɔk	55		cog-	戳1
戳	ʦʰ	ɔk	21		cog>	戳2
穿	ʦʰ	ɔn	33		con'	穿
喘	ʦʰ	ɔn	55		con-	喘
传	ʦʰ	ɔn	11		con*	传1
串	ʦʰ	ɔn	21		con>	串2
厂	ʦʰ	ɔŋ	55		cong-	厂
床	ʦʰ	ɔŋ	11		cong*	床
疮	ʦʰ	ɔŋ	21		cong>	疮
初	ʦʰ	ou	33		cou'	初
楚	ʦʰ	ou	55		cou-	楚1
锄	ʦʰ	ou	11		cou*	锄
出	ʦʰ	ɵt	55		coud-	出
吹	ʦʰ	øy	33		coui'	吹
处	ʦʰ	øy	55		coui-	处2
除	ʦʰ	øy	11		coui*	除
杵	ʦʰ	øy	21		coui>	杵
春	ʦʰ	ɵn	33		coun'	春
蠢	ʦʰ	ɵn	55		coun-	蠢
凹	ʋ	a	33		va'	凹2
把	ʋ	a	55		va-	把1
哗	ʋ	a	11		va*	哗1
罢	ʋ	a	32		va`	罢
八	ʋ	at	33		vad'	八
八	ʋ	at	55		vad-	八-
滑	ʋ	at	32		vad`	滑
百	ʋ	ak	33		vag'	百1
北	ʋ	ak	55		vag-	北
白	ʋ	ak	32		vag`	白
伯	ʋ	ak	21		vag>	伯1
拜	ʋ	ai	33		vai'	拜1
歪	ʋ	ai	55		vai-	歪
怀	ʋ	ai	11		vai*	怀
坏	ʋ	ai	32		vai`	坏
斑	ʋ	an	33		van'	斑
板	ʋ	an	55		van-	板
环	ʋ	an	11		van*	环1
患	ʋ	an	32		van`	患
挽	ʋ	an	21		van>	挽
崩	ʋ	aŋ	33		vang'	崩1
绷	ʋ	aŋ	55		vang-	绷2
横	ʋ	aŋ	11		vang*	横1
