来源：	郭建荣 2013《孝义文化丛书 - 乡言研究》；Hynuza 整理录入
t	［1］呆{书~子}［3］逮=［5］代=袋=贷=岱{~宗}戴=待吠{语气}词
tʰ	［1］台=抬=胎=苔=［3］□{~下一堆屎}［5］太汰态泰
n	［1］奶{~~：乳房或乳汁}［3］奶{~孩儿：给小孩儿喂奶}［5］内耐={能~}奈
l	［1］来{~往}［3］□{薄~：摆}□［5］赖
ts	［1］灾栽=斋［3］载宰崽{狗~子}□{~文：咬文嚼字}［5］再={~三往四}在=寨=
tsʰ	［1］才=材={木~}财=豺{~狗儿}差{-事}柴=揣{~到怀里}猜=裁=搋{~面：以拳揉面}□{牛以头角抵人}［3］采彩踩□{使公母交配}［5］蔡{姓~}菜□{~包儿~：一种儿童决定输赢的游戏}
s	［1］柴-筛{~灰}［3］□{摇摆舞动；~秧歌}筛{~锣}［5］晒赛
k	［1］该=［3］改=［5］概溉钙盖=
kʰ	［1］开{~~办法}［3］凯楷［5］快-慨
ŋ	［1］哀挨［3］碍矮癌隘［5］爱=
x	［1］鞋-孩咳{~声叹气}［3］海嗨{表惊异}［5］亥解{~下(懂得)}嗨{表呼唤}害澥{使溶解：~下一锅糊糊}
Ø	［1］唉
#iai
tɕ	［1］阶街秸［3］解{~毒}［5］戒介疥芥界届械
tɕʰ	［1］揩
ȵ	［1］捱{~打}崖［5］□{忍耐}
x	［1］鞋=［5］解{姓~}蟹{螃~}懈{~怠}媟{~待}
#uai
ts	［1］□{~~地：象嚼物之声}［5］拽
tsʰ	［1］膗{拙笨}□{~掇：硬性售出}［5］膪{懦~：肥肉，拙笨的样子}
nᶻ	［1］□{~~地：象嚼物之声}
s	［1］衰甩摔［3］揣［5］帅率
z	［3］□{~垫：行贿}
k	［1］乖□{~狗，凶狗}［3］拐柺［5］怪
kʰ	［1］会{~计}［3］□{~哄：假言安慰}［5］快=筷
x	［1］淮怀槐［3］块{通用量词：一~，两~}［5］坏
Ø	［1］歪［3］崴{~住足啦}□{「兀一块」的合音，代词，那}［5］外=喂{呼唤声}□{死坐}
#ɿ
ts	［1］支枝肢资姿之芝□{~静：寂静}吱{~儿}瓷-{~~：碎陶片；瓷实}慈-{~悲}［3］紫姊妹子籽纸脂旨指止此址只［5］字自志口度量伺{~侯}至剚{以刀截断}
tsʰ	［1］跐{~踏：践踏}磁-词辞［3］此齿［5］刺赐次翅
nᶻ	［1］□{压碎}［5］腻{油~}□{打~：打扊}
s	［1］施龇{~牙}师狮思私诗丝斯撕厮{~儿}匙时辞燍{~气：食物变味}［3］史使驶屎始死尸齿-{~~}［5］市柿视示士仕寺侍什{家~}是似氏肆四饲嗣
z	［1］□{~~：象车轮飞转声}
#i
p	［1］屄{女阴}批-{~头：耳光}贬-{~低}［3］比秕彼鄙饼-{煎~}□{~汤}［5］毙篦{~梳}敝敉蔽避闭币病被备鞴{~马}箅{隔~儿：蒸食物的工具}
pʰ	［1］批{~评}砒{~霜}痞{地~}□{山土脱落}琵啤皮疲{~草}披□{~茶：冷茶}乒-{~乓球}［3］脾痹擗{使离开原物体：~柴叶子}僻{~静}［5］屁辔{~头}
m	［1］鸣-{叫~}糜{~粟}迷名-{~字}眉-{眼}葞{~~：禾茎上的一层硬皮}冥-{~婚}［3］米［5］命-谜{猜~}□{假~：假装}
t	［1］□{~当中：正当中}靪-{~鞋}低羝{圪~：公羊}钉-{~~}蹄{~~}［3］底抵{~事}抵{用角~}［5］地帝蒂弟递第
tʰ	［1］听-停-{~~儿地}提梯题［3］体［5］涕剃替嚏{打~喷}
tɕ	［1］几{茶~}骑-菁{蔓~}基机嫉欺-{狗~：玩赌时捣鬼}霁-{~风硬日}鸡饥精-{~明：清醒}脐齐-{~楚}［3］几{~块}己挤虮{~子}箕{簸~}［5］既季忌祭际计继寄技妓记冀净-{干~}痣-镜-杞{枸~}
tɕʰ	［1］青-{~马}清-{~汤寡水}妻欺{-侮}期其麒旗棋岂企倾-{以水泼地}奇祁{~县}骑=齐=［3］起启吡{~花凉水：刚出井的冷水}［5］气汽弃器砌跻{人们都往这合里圪~咧}
ȵ	［1］尼泥疑倪［3］你［5］泥{~匠}宜腻{~歪人：烦人}义-{~棠(地名)}
ɕ	［1］西恓{~惶：可怜}牺饧{~油}希稀星{~宿}腥{鱼~气}奚溪兴-{宜~}肥-{足~}畦{~~}玺{玉~}［3］洗喜蟢{~蛛蛛}擤{-鼻涕}□{打：~炭}［5］戏系细婿{女~}费{耗费}性-{使~子}
Ø	［1］应-{答~：应声}宜{便~}赢衣依医遗{~留}移蝇-{~子}营-{~里(地名)}姨［3］椅倚{~倚老卖老}以已尾{~巴}委{~托}溢{水因沸动而流出}［5］意易义议肄毅亿忆艺异翼颐和园懿邑译应-{这件事~上你说的话啦}影-{~虎子：影子}噫{感叹词}
#u
p	［1］脯-{~子}［3］补捕堡［5］布怖步部簿抱菢{~鸡娃儿}
pʰ	［1］□{喷吐}铺{~排}葡浦菩［3］普谱仆{农作物经雨后大面积仆倒}［5］铺{~子}埔{~头(地名)}扑{~克儿}
m	［1］谋模{~子}毛-{~~：碎毛}摹{-仿}［3］亩牡母姆{保~}拇{~指}［5］墓暮幕慕牧□{着谜：~书}□{~糊：觉睡得很死}
t	［1］嘟{象声词}都{首~}葖{花蕾：一圪~~}□{圪~：拳头}［3］堵赌睹肚{羊~子}［5］度渡肚{大~}杜
tʰ	［1］徒屠图涂途［3］土吐［5］兔{~子}□{指~头：没良心的人}
n	［1］努{~筋暴力}
ts	［1］朱诛株诸珠蛛铢猪厨-□{起：(用铲子等)堆起}［3］主拄煮组阻帚［5］住驻柱炷{一~儿香}蛀著助铸箸{火~：捅火器}如-{不~}苧{~麻线}
tsʰ	［1］初□{~~炮：哑炮}厨=橱=除锄储□{伸：~出手来}［3］楚础褚{姓}处{相~}［5］处{办事~}黜{黑~~地}
nᶻ	［3］女-{~子}
s	［1］书梳疏输舒抒殊锄-［3］数{~伏}暑薯秫{䵚~}鼠署黍［5］树竖庶数{~目}恕戍
z	［1］如榆-{~木}蠕{~~地：慢慢移动}［3］汝乳嚅{口~白沫}蠕{圪~：虫子爬动的样子}［5］擩{塞：~进的}
k	［1］姑咕蛄菇箍{围：搭脑上~得圪瘩手巾儿}［3］鼓臌{水-}古股□{催迫}［5］雇顾故固
kʰ	［1］骷枯［3］苦［5］库裤□{~子：为防木板变形而加的横木}
x	［1］麸{~子}乎{一起~子}呼跗{脚面：~高}符{鬼画~}□{~落落地：轻放不稳的样子}夫芙扶浮{~头：上面}俘壶胡湖蝴糊{~子}狐狐洑{~上水：巴结有权势的人}瑚{~石}肤［3］虎唬府腐腑辅斧缹{~肉：慢火炖肉}［5］父傅富副赋赴付负妇户护扈{姓}糊{~弄}互敷侮{欺~}符{~合}□{浑浊不清}
Ø	［1］乌钨吾吴巫无梧蜈{~蚣}呜［3］武舞五={~毒}伍捂=午焐={闷着}□{掷出(砖头、石块等)}［5］误悟戊务雾诬污晤□{猪狗交配}□{~儿：玩具，形似陀螺，以板击之，可比远近}
#y
tɕ	［1］车{~马炮}具{家~}拘驹渠-给-{~~兀家一本儿书}［3］举嘴-{~头子}［5］巨矩{规~}炬柜-聚具{~体}惧句拒锯苣{甜~}醉-
tɕʰ	［1］区驱趋渠呿{赶鸟声}觑{~~眼：近视眼}蛆{~儿}椿{~树儿}［3］取娶趣［5］去脆-{~枣}
ȵ	［3］女=
ɕ	［1］需须虚兄-{~弟}徐随-{~手：顺手}遂-{半身不~}［3］许髓-{骨~}［5］序絮叙绪续{~女，《集韵》去声遇韵「辞屡切」}婿=岁-穗-
Ø	［1］于淤{~没，~下血啦}圩{~土：以土围堤}予与愚愉榆{~次}余渔茔-{~里}盂{~县}鱼-［3］雨宇语羽禹舆苇-腴{红圪~~：红润柔软的样子}［5］玉吁{停(喝令牲畜的声音)}誉寓言遇御预豫娱{~乐}谕喂-{~猪儿}□{~血：住外渗血}逾{过~：过分}
#ʅ
tʂ	［1］知蒸-迟-［3］整{~拉：整理}［5］治致智置滞阵-{一~}正-制
tʂʰ	［1］痴池驰持［5］称-{量具}□{铺~：破布条}
ʂ	［1］声-{~音}升-{~子：量具}盛-{~饭}绳-{头~}城-{~东}禅{~房头(地名)}嗤{~~：小儿溺尿}身-{囫囵~睡觉和衣而睡}□{订(婚)}［3］婶-食-{打野~}十{十天：请~}［5］世逝誓势剩
ɻ	［5］日
#ɚ
Ø	［1］儿而□{象声词：暖壶响得~~地}［3］耳尔［5］二贰
#ei
p	［1］卑碑悲背{~书包}杯败-{~兴}北=赔-{~本儿}陪-{~随：陪嫁}培-{~埋出送：办理丧事}［5］贝倍辈背{手~}焙{火烤使熟}臂褙{裱：再~上一张纸}被=
pʰ	［1］胚{好~子：好种，好苗苗}坯培=赔=陪=［3］裴{姓}［5］配佩呸
m	[1]煤媒玫{~瑰}梅霉楣{倒~}埋-{~人}［3］美每［5］妹昧没{淤~}
t	［1］□{藏}台-{圪~~：台阶}□{~火：生火}苔-{蒜~}［3］逮-歹□{小气}［5］戴-带-胎-{车~}袋-
tʰ	［1］胎-
n	［5］耐{结实}
l	［1］离{~开}篱{柴薄~~：篱笆}剺{划开}厘狸{圪~：一种松鼠}梨{~儿}犁黎铃-{~~}凌{冻~：冰块}［3］李礼里理娌{妯~}鲤［5］吏利痢例励隶丽离{~外：分家}
ts	［1］贼□{不值~害：起不了作用}栽-材-{棺~}裁-{~缝}［3］□{偷窃}［5］在-再-
tsʰ	［1］才-{~刚些(刚才)}［3］棌-{~木}采-{~花}［5］菜-
s	［1］腮-
k	［1］该-{应~}给=［3］改-［5］盖-
kʰ	［1］开-
ŋ	［5］爱-艾-
x	［1］嘿{笑声}［5］害-
#uei
t	［1］堆□{~儿：睾丸}［5］对兑队
tʰ	［1］推抬-［3］腿［5］退褪煺蜕{蛇~皮}
l	［1］驴雷擂瘰{-疬核儿：淋巴结}［3］吕铝旅屡磊［5］类虑滤累泪擂{~台}□{口吐食物}
ts	［1］追椎锥槌捶{~洗：打}［5］缀赘{累~}最罪醉=
tsʰ	［1］炊垂崔{姓~}猜{~谜}吹催［5］翠粹脆=
tʂ	［1］虽谁随=隋遂=［3］水［5］税睡碎岁=穗=祟{鬼~}
z	［5］锐瑞蕊芮{~城}
k	［1］轨规闺归龟□{驯服}□{鐾：~刀子}［3］鬼诡癸［5］桂贵柜=
kʰ	［1］窥逵{李~}盔魁葵亏［5］愧跪溃=
x	［1］非飞挥徵灰恢茴妃肥=［3］匪诽讳悔毁［5］肺废费卉彗惠汇烩绘会{理~}溃-{发~：感染}和{~搅}桧{秦~}
