kʰuen	5	35	困		
kʰui	1	55	盔魁虧窺愧逵葵		
kʰui	3	21	櫃跪(白)		
kʰui	5	35	潰奎		
ki	3	21	渠(第三人称代词)		
ki	5	35	鋸(白)		
kiɛ	1	55	格((白)～子)隔(白)		
kiɛ	2	213	格(文)革隔		
ko	1	55	歌哥鍋戈鴿割葛胳(～臂)		
ko	2	213	各阁搁郭廓		
ko	3	21	果裹		
ko	5	35	個過		
koŋ	1	55	公蚣(蜈～)工功攻弓躬宮恭		
koŋ	3	21	汞拱(～手)鞏(～固)		
koŋ	5	35	貢		
koŋ	5	35	供共(文)		
ku	1	55	姑孤箍估(～计)牯穀		
ku	2	213	□(蹲)		
ku	3	21	古股鼓骨(文)		
ku	5	35	故固錮雇顧		
kua	1	55	瓜刮		
kua	3	21	寡剮括(包～)		
kua	5	35	卦掛		
kuɑ̃	1	55	光		
kuɑ̃	3	21	廣		
kuɑ̃	5	35	逛		
kuæ̃	1	55	官棺觀(参～)冠(衣～)干(白)肝(白)鰥關		
kuæ̃	3	21	管館敢(白)		
kuæ̃	5	35	貫灌罐冠慣		
kuai	1	55	乖		
kuai	2	213	國		
kuai	3	21	拐		
kuai	5	35	怪		
kuen	3	21	滾		
kuen	5	35	棍		
kui	1	55	圭閨規龜歸骨(白)		
kui	3	21	軌鬼詭		
kui	5	35	鱖(～鱼)桂癸貴跪(文)		
la	1	55	拉捺(撇～)納咬(训读)		
la	2	213	拿蠟納臘爬(白)𤔀(爬)		
la	3	21	哪惹(～禍)		
la	5	35	辣那		
lɑ̃	1	55	讓晾(～衣衫)䁁(看；～见)䀶(看；～见)		
lɑ̃	2	213	囊郎廊狼蜋瓤(瓜～)		
lɑ̃	3	21	冷(白)朗壤(土～)攘嚷		
lɑ̃	5	35	浪		
læ̃	1	55	濫爛		
læ̃	2	213	南男藍籃難(～易)蘭攔欄然(文)燃(文)		
læ̃	3	21	覽攬欖(橄～)纜染(文)冉懶		
læ̃	5	35	難(患～)		
lai	1	55	奶奈(～何)		
lai	2	213	來(文)		
lai	3	21	乃		
lai	5	35	耐賴癩瘌		
lau	2	213	勞撈牢嘮(～叨)澇(洪～)饒撓橈(桨)繞(围～)		
lau	3	21	腦惱老擾		
lau	5	35	鬧		
len	1	55	嫩		
len	2	213	壬任(姓)人(文)仁能零(白)		
len	3	21	忍冷(文)		
len	5	35	任(责～)刃認(文)韌楞仍扔另		
li	2	213	黎犁離(～别)籬璃(玻～)荔(～枝)梨厘狸來(白)		
li	3	21	禮李裏理鯉		
li	5	35	例粒厲勵麗(美～)隸利痢吏立笠粒栗力曆		
lia	2	213	苶((存疑)累)		
lia	3	21	舔(以舌取物)		
liɑ̃	1	55	亮		
liɑ̃	2	213	良凉量糧梁粱		
liɑ̃	3	21	兩(～个)輛領(白)		
liɑ̃	5	35	諒量(数～)		
liau	1	55	料廖(姓)		
liau	2	213	燎療聊遼撩(～起来)瞭		
liau	3	21	了(～结)		
liau	5	35	寥		
liəu	1	55	溜餾漏		
liəu	2	213	樓流劉留榴(石～)硫(～磺)琉(～璃)柔(白)揉(白)簍摟		
liəu	3	21	柳裏(～頭)陋六綠((白)～豆)		
liɛ	1	55	𠢠(刺)		
liɛ	5	35	獵列烈(热～)裂劣肋勒		
liɛ̃	1	55	鏈(～子)		
liɛ̃	2	213	廉鐮簾斂殮蓮戀憐連		
liɛ̃	3	21	臉		
liɛ̃	5	35	練煉楝(～树)		
lin	2	213	林淋(～漓)臨鄰鱗燐淩菱靈零(文)陵鈴伶拎翎		
lin	3	21	檁領(文)		
lin	5	35	賃(租～)吝(～啬)令		
lio	5	35	捋		
lo	1	55	囉糯(～米)烙		
lo	2	213	挪羅鑼籮騾螺(～蛳)摞(～起来)若		
lo	3	21	裸卵		
lo	5	35	諾落駱酪洛絡樂		
loŋ	1	55	聾		
loŋ	2	213	籠齈(多涕)膿儂隆濃農		
loŋ	3	21	攏隴壟攏		
loŋ	5	35	弄		
lu	1	55	路賂鷺		
lu	2	213	奴魯爐蘆(～苇)鸕(～鸟)廬(茅～)驢如祿綠(文)辱褥		
lu	3	21	努魯櫓鹵虜汝乳		
lu	5	35	怒露入鹿陸(～地)錄		
luæ̃	1	55	亂(～来)		
luæ̃	2	213	鸞		
luæ̃	3	21	暖卵(文)		
luæ̃	5	35	亂(文)		
luen	2	213	侖倫輪		
luen	5	35	論		
lui	1	55	累(～了)		
lui	2	213	雷		
lui	3	21	儡累(积～)蕊壘履縷屢擩(～进去)		
lui	5	35	內銳類淚		
ly	5	35	虑律率(速～)绿(文)		
lyɛ̃	3	21	軟		
ma	1	55	媽罵抹(～布)蟆(蛤～)		
ma	2	213	抹麻		
ma	3	21	馬碼(～子)		
ma	5	35	麥(白)		
mɑ̃	1	55	忘(白)望((白)打～)		
mɑ̃	2	213	忙芒茫芒盲虻(牛～)		
mɑ̃	3	21	莽蟒網(白)		
mæ̃	1	55	慢		
mæ̃	2	213	蠻瞞饅		
mæ̃	3	21	滿		
mæ̃	5	35	瓣(白)漫幔蔓(瓜～子)		
mai	1	55	賣		
mai	2	213	埋麥(文)脉(文)		
mai	3	21	買		
mai	5	35	邁		
mau	1	55	帽猫冇(～去：别去)貌帽		
mau	2	213	毛矛猫		
mau	3	21	卯冇(没)		
mau	5	35	冒茂貿		
mei	2	213	梅枚媒煤		
mei	3	21	每美畝(白)牡(白)		
mei	5	35	妹昧寐		
men	1	55	蚊(白)		
men	2	213	門萌(白)		
men	5	35	悶謀某		
məu	3	21	畝(文)牡(文)		
miɑ̃	1	55	命(白)		
miɑ̃	2	213	明(白)名(白)		
miau	2	213	苗描		
miau	3	21	藐渺秒		
miau	5	35	廟妙		
miɛ	2	213	墨脉(白)沒		
miɛ	5	35	篾月((存疑)～光)滅		
miɛ̃	1	55	面(～盆)		
miɛ̃	2	213	綿		
miɛ̃	3	21	棉眠免勉(分～)娩緬湎(～池)		
miɛ̃	5	35	面(臉～)		
min	2	213	民鳴盟明(文)名(文)銘		
min	3	21	閩(～越)憫敏抿皿		
min	5	35	命(文)		
mo	1	55	磨(石～)摸		
mo	2	213	魔摩膜磨(面～)模		
mo	5	35	暮墓慕募末沫抹寞膜陌(～生)		
moŋ	1	55	夢(白)木(～匠)		
moŋ	2	213	萌(文)蒙		
moŋ	3	21	猛懵(～懂)		
moŋ	5	35	孟夢(文)穆(～桂英)		
mɿ	1	55	謎		
mɿ	2	213	迷糜(～粥)彌眉媚密蜜楣		
mɿ	3	21	米靡		
mɿ	5	35	覓		
mu	1	55	木		
mu	3	21	母拇		
mu	5	35	目牧穆		
n̩	1	55	日(白)		
n̩	2	213	人(白)		
ȵia	1	55	黏(①触碰，②挨着，贴着)		
ȵia	2	213	黏(粘贴)		
ȵiɑ̃	1	55	釀		
ȵiɑ̃	2	213	娘		
ȵiau	1	55	尿		
ȵiau	3	21	鳥(文)杳(～无音信)		
ȵiəu	1	55	肉		
ȵiəu	2	213	牛		
ȵiəu	3	21	紐扭		
ȵiɛ	1	55	日((白)～头)捏		
ȵiɛ	2	213	聶(姓)鑷(～子)躡(～脚走)業		
ȵiɛ	5	35	熱(很～)孽		
ȵiɛ̃	1	55	驗念研硯		
ȵiɛ̃	2	213	然(白)燃(白)嚴儼(～然)鯰(～鱼)年閻		
ȵiɛ̃	3	21	染(白)碾輦撚攆		
ȵin	1	55	認(白)		
ȵin	2	213	寧(安～)人		
ȵio	2	213	瘧(～疾)弱(白)虐掠		
ȵɿ	2	213	泥宜儀尼疑擬逆		
ȵɿ	3	21	你		
ȵɿ	5	35	蟻(蚂～)藝倪誼義議膩毅匿溺		
ȵy	3	21	女		
ȵyɛ	5	35	月((白)正～)		
ŋa	1	55	鴉(白)椏(～杈)鴨(白)壓(白)		
ŋa	2	213	牙(白)牙(白)芽(白)伢((白)小孩子)崖((白)悬～)		
ŋa	3	21	啞(白)		
ŋa	5	35	砑(～平)		
ŋɑ̃	1	55	肮硬		
ŋɑ̃	2	213	昂		
ŋɑ̃	3	21	仰影		
ŋæ̃	1	55	庵安鞍		
ŋæ̃	3	21	眼		
ŋæ̃	5	35	按(～住)暗(文)醃案晏(晚)		
ŋai	1	55	哀埃(尘～)挨(～近)礙(妨～)		
ŋai	2	213	岩額癌捱		
ŋai	3	21	蟹(白)矮		
ŋai	5	35	艾愛藹隘		
ŋau	1	55	傲		
ŋau	2	213	熬		
ŋau	3	21	襖咬(白)		
ŋau	5	35	懊(～悔)坳(山～)奧		
ŋəu	1	55	欧瓯殴		
ŋəu	3	21	藕偶嘔		
ŋəu	5	35	漚(久浸水中)慪(～气)		
ŋen	1	55	恩		
ŋen	5	35	硬(文)		
ŋiɛ	2	213	扼		
o	1	55	餓倭窩		
o	2	213	訛鄂蛾鵝俄禾		
o	3	21	我耳(（白）～朵)		
o	5	35	惡(可～)臥握沃		
oŋ	1	55	翁瓮		
pa	1	55	巴芭扒疤爸八		
pa	2	213	粑把(給)		
pa	3	21	把(～握)		
