正體	省写	/IPA/	[IPA]	注释
番	番	pʰan˥	pʰɐ̃˦˥	白读
潘	潘	pʰan˥	pʰɐ̃˦˥	
蟠	蟠	pʰan˥	pʰɐ̃˦˥	
攀	攀	pʰan˥	pʰɐ̃˦˥	
盤	盘	pʰan˨˩	pʰɐ̃˨˩	
磐	磐	pʰan˨˩	pʰɐ̃˨˩	
螃	螃	pʰan˨˩	pʰɐ̃˨˩	
襻	襻	pʰan˩˧	pʰɐ̃˨˦	
盼	盼	pʰan˩˧	pʰɐ̃˨˦	
叛	叛	pʰan˩˧	pʰɐ̃˨˦	
判	判	pʰan˩˧	pʰɐ̃˨˦	
絆	绊	pʰan˩˧	pʰɐ̃˨˦	
畔	畔	pʰan˩˧	pʰɐ̃˨˦	
蠻	蛮	man˨˩	mᵇɐ̃˨˩	
瞞	瞒	man˨˩	mᵇɐ̃˨˩	
饅	馒	man˨˩	mᵇɐ̃˨˩	
滿	满	man˨˩	mᵇɐ̃˨˩	文读
螨	螨	man˦˨	mᵇɐ̃˦˧	
曼	曼	man˩˧	mᵇɐ̃˨˦	
慢	慢	man˩˧	mᵇɐ̃˨˦	
漫	漫	man˩˧	mᵇɐ̃˨˦	
幔	幔	man˩˧	mᵇɐ̃˨˦	
鰻	鳗	man˩˧	mᵇɐ̃˨˦	
蔓	蔓	man˩˧	mᵇɐ̃˨˦	
番	番	fan˥	fɐ̃˦˥	文读
幡	幡	fan˥	fɐ̃˦˥	
翻	翻	fan˥	fɐ̃˦˥	
凡	凡	fan˨˩	fɐ̃˨˩	
帆	帆	fan˨˩	fɐ̃˨˩	
梵	梵	fan˨˩	fɐ̃˨˩	
煩	烦	fan˨˩	fɐ̃˨˩	
藩	藩	fan˨˩	fɐ̃˨˩	
繁	繁	fan˨˩	fɐ̃˨˩	
反	反	fan˦˨	fɐ̃˦˧	
返	返	fan˦˨	fɐ̃˦˧	
范	范	fan˩˧	fɐ̃˨˦	
犯	犯	fan˩˧	fɐ̃˨˦	
氾	泛	fan˩˧	fɐ̃˨˦	
泛	泛	fan˩˧	fɐ̃˨˦	
飯	饭	fan˩˧	fɐ̃˨˦	
販	贩	fan˩˧	fɐ̃˨˦	
梵	梵	fan˩˧	fɐ̃˨˦	~净山
蕃	蕃	fan˩˧	fɐ̃˨˦	
耽	耽	tan˥	d̥ɐ̃˦˥	
擔	担	tan˥	d̥ɐ̃˦˥	
丹	丹	tan˥	d̥ɐ̃˦˥	
單	单	tan˥	d̥ɐ̃˦˥	
膽	胆	tan˦˨	d̥ɐ̃˦˧	
泹	泹	tan˦˨	d̥ɐ̃˦˧	
撣	掸	tan˦˨	d̥ɐ̃˦˧	
丼	丼	tan˦˨	d̥ɐ̃˦˧	
擔	担	tan˩˧	d̥ɐ̃˨˦	
澹	澹	tan˩˧	d̥ɐ̃˨˦	
淡	淡	tan˩˧	d̥ɐ̃˨˦	
談	谈	tan˩˧	d̥ɐ̃˨˦	扯~
誕	诞	tan˩˧	d̥ɐ̃˨˦	
旦	旦	tan˩˧	d̥ɐ̃˨˦	
但	但	tan˩˧	d̥ɐ̃˨˦	
蛋	蛋	tan˩˧	d̥ɐ̃˨˦	
彈	弹	tan˩˧	d̥ɐ̃˨˦	
丈	丈	tan˩˧	d̥ɐ̃˨˦	城门城门几~高
貪	贪	tʰan˥	tʰɐ̃˦˥	
探	探	tʰan˥	tʰɐ̃˦˥	
灘	滩	tʰan˥	tʰɐ̃˦˥	
攤	摊	tʰan˥	tʰɐ̃˦˥	
潭	潭	tʰan˨˩	tʰɐ̃˨˩	
譚	谭	tʰan˨˩	tʰɐ̃˨˩	
鐔	镡	tʰan˨˩	tʰɐ̃˨˩	~成，即今黎平
覃	覃	tʰan˨˩	tʰɐ̃˨˩	
坍	坍	tʰan˨˩	tʰɐ̃˨˩	
談	谈	tʰan˨˩	tʰɐ̃˨˩	
痰	痰	tʰan˨˩	tʰɐ̃˨˩	
壇	坛	tʰan˨˩	tʰɐ̃˨˩	
檀	檀	tʰan˨˩	tʰɐ̃˨˩	
彈	弹	tʰan˨˩	tʰɐ̃˨˩	
毯	毯	tʰan˦˨	tʰɐ̃˦˧	
坦	坦	tʰan˦˨	tʰɐ̃˦˧	
談	谈	tʰan˩˧	tʰɐ̃˨˦	~话
歎	叹	tʰan˩˧	tʰɐ̃˨˦	
炭	炭	tʰan˩˧	tʰɐ̃˨˦	
碳	碳	tʰan˩˧	tʰɐ̃˨˦	
探	探	tʰan˩˧	tʰɐ̃˨˦	~花
呢	呢	lan˥	lɐ̃˦˥	疑问语气词
南	南	lan˨˩	l̃ɐ̃˨˩	
楠	楠	lan˨˩	l̃ɐ̃˨˩	
喃	喃	lan˨˩	l̃ɐ̃˨˩	
男	男	lan˨˩	l̃ɐ̃˨˩	
婪	婪	lan˨˩	l̃ɐ̃˨˩	
藍	蓝	lan˨˩	l̃ɐ̃˨˩	
籃	篮	lan˨˩	l̃ɐ̃˨˩	
難	难	lan˨˩	l̃ɐ̃˨˩	
蘭	兰	lan˨˩	l̃ɐ̃˨˩	
攔	拦	lan˨˩	l̃ɐ̃˨˩	文读
欄	栏	lan˨˩	l̃ɐ̃˨˩	
然	然	lan˨˩	l̃ɐ̃˨˩	~后
覽	览	lan˦˨	l̃ɐ̃˦˧	
攬	揽	lan˦˨	l̃ɐ̃˦˧	
㰖	榄	lan˦˨	l̃ɐ̃˦˧	
䌫	缆	lan˦˨	l̃ɐ̃˦˧	
懶	懒	lan˦˨	l̃ɐ̃˦˧	
婪	婪	lan˦˨	l̃ɐ̃˦˧	贪~
漤	漤	lan˦˨	l̃ɐ̃˦˧	
罱	罱	lan˦˨	l̃ɐ̃˦˧	
哪	哪	lan˦˨	l̃ɐ̃˦˧	“哪样”合音
呢	呢	lan˦˨	l̃ɐ̃˦˧	语气助词，表示惊讶
濫	滥	lan˩˧	l̃ɐ̃˨˦	
難	难	lan˩˧	l̃ɐ̃˨˦	
爛	烂	lan˩˧	l̃ɐ̃˨˦	
簪	簪	tsan˥	tsɐ̃˦˥	
沾	沾	tsan˥	tsɐ̃˦˥	
粘	粘	tsan˥	tsɐ̃˦˥	
占	占	tsan˥	tsɐ̃˦˥	
瞻	瞻	tsan˥	tsɐ̃˦˥	
氈	氈	tsan˥	tsɐ̃˦˥	
咋	咋	tsan˨˩	tsɐ̃˨˩	~个
暫	暂	tsan˦˨	tsɐ̃˦˧	白读
斬	斩	tsan˦˨	tsɐ̃˦˧	
嶄	崭	tsan˦˨	tsɐ̃˦˧	
盞	盏	tsan˦˨	tsɐ̃˦˧	
展	展	tsan˦˨	tsɐ̃˦˧	
暫	暂	tsan˩˧	tsɐ̃˨˦	文读
站	站	tsan˩˧	tsɐ̃˨˦	
佔	佔	tsan˩˧	tsɐ̃˨˦	
鑽	钻	tsan˩˧	tsɐ̃˨˦	~石
讚	赞	tsan˩˧	tsɐ̃˨˦	
贊	赞	tsan˩˧	tsɐ̃˨˦	
蘸	蘸	tsan˩˧	tsɐ̃˨˦	
綻	绽	tsan˩˧	tsɐ̃˨˦	
棧	栈	tsan˩˧	tsɐ̃˨˦	
餞	饯	tsan˩˧	tsɐ̃˨˦	
濺	溅	tsan˩˧	tsɐ̃˨˦	
戰	战	tsan˩˧	tsɐ̃˨˦	
鏨	錾	tsan˩˧	tsɐ̃˨˦	
叄	叁	tsʰan˥	tsʰɐ̃˦˥	及“参”
參	参	tsʰan˥	tsʰɐ̃˦˥	
摻	掺	tsʰan˥	tsʰɐ̃˦˥	
餐	餐	tsʰan˥	tsʰɐ̃˦˥	
歺	歺	tsʰan˥	tsʰɐ̃˦˥	及“餐”
蠶	蚕	tsʰan˨˩	tsʰɐ̃˨˩	
慚	惭	tsʰan˨˩	tsʰɐ̃˨˩	
殘	残	tsʰan˨˩	tsʰɐ̃˨˩	
纏	缠	tsʰan˨˩	tsʰɐ̃˨˩	
饞	馋	tsʰan˨˩	tsʰɐ̃˨˩	
慘	惨	tsʰan˦˨	tsʰɐ̃˦˧	
產	产	tsʰan˦˨	tsʰɐ̃˦˧	
摌	摌	tsʰan˦˨	tsʰɐ̃˦˧	
𫼪	𫼪	tsʰan˦˨	tsʰɐ̃˦˧	即“摌”
𢱟	𢱟	tsʰan˦˨	tsʰɐ̃˦˧	即“摌”
懺	忏	tsʰan˩˧	tsʰɐ̃˨˦	
燦	灿	tsʰan˩˧	tsʰɐ̃˨˦	
顫	颤	tsʰan˩˧	tsʰɐ̃˨˦	文读
孱	孱	tsʰan˩˧	tsʰɐ̃˨˦	
羼	羼	tsʰan˩˧	tsʰɐ̃˨˦	
三	三	san˥	sɐ̃˦˥	
叄	叁	san˥	sɐ̃˦˥	
衫	衫	san˥	sɐ̃˦˥	
山	山	san˥	sɐ̃˦˥	
羶	羶	san˥	sɐ̃˦˥	
膻	膻	san˥	sɐ̃˦˥	
搧	搧	san˥	sɐ̃˦˥	
扇	扇	san˥	sɐ̃˦˥	
蟬	蝉	san˨˩	sɐ̃˨˩	
禪	禅	san˨˩	sɐ̃˨˩	
單	单	san˨˩	sɐ̃˨˩	~于
顫	颤	san˨˩	sɐ̃˨˩	白读
陝	陕	san˦˨	sɐ̃˦˧	
閃	闪	san˦˨	sɐ̃˦˧	
散	散	san˦˨	sɐ̃˦˧	
傘	伞	san˦˨	sɐ̃˦˧	
贍	赡	san˩˧	sɐ̃˨˦	
散	散	san˩˧	sɐ̃˨˦	
善	善	san˩˧	sɐ̃˨˦	
膳	膳	san˩˧	sɐ̃˨˦	
鱔	鳝	san˩˧	sɐ̃˨˦	
扇	扇	san˩˧	sɐ̃˨˦	
煽	煽	san˩˧	sɐ̃˨˦	
騸	骟	san˩˧	sɐ̃˨˦	
擅	擅	san˩˧	sɐ̃˨˦	
單	单	san˩˧	sɐ̃˨˦	姓氏
撣	掸	san˩˧	sɐ̃˨˦	~邦
然	然	zan˨˩	zɐ̃˨˩	
燃	燃	zan˨˩	zɐ̃˨˩	
染	染	zan˦˨	zɐ̃˦˧	
冉	冉	zan˦˨	zɐ̃˦˧	
苒	苒	zan˦˨	zɐ̃˦˧	
甘	甘	kan˥	ɟ̊ɐ̃˦˥	
柑	柑	kan˥	ɟ̊ɐ̃˦˥	
乾	干	kan˥	ɟ̊ɐ̃˦˥	
干	干	kan˥	ɟ̊ɐ̃˦˥	
肝	肝	kan˥	ɟ̊ɐ̃˦˥	
杆	杆	kan˥	ɟ̊ɐ̃˦˥	
竿	竿	kan˥	ɟ̊ɐ̃˦˥	
迀	迀	kan˥	ɟ̊ɐ̃˦˥	
間	间	kan˥	ɟ̊ɐ̃˦˥	房~；一~房
艱	艰	kan˥	ɟ̊ɐ̃˦˥	~难
尷	尴	kan˥	ɟ̊ɐ̃˦˥	
感	感	kan˦˨	ɟ̊ɐ̃˦˧	
敢	敢	kan˦˨	ɟ̊ɐ̃˦˧	
橄	橄	kan˦˨	ɟ̊ɐ̃˦˧	
桿	杆	kan˦˨	ɟ̊ɐ̃˦˧	
趕	赶	kan˦˨	ɟ̊ɐ̃˦˧	
揀	拣	kan˦˨	ɟ̊ɐ̃˦˧	白读
幹	干	kan˩˧	ɟ̊ɐ̃˨˦	
間	间	kan˩˧	ɟ̊ɐ̃˨˦	~隔
堪	堪	kʰan˥	cʰɐ̃˦˥	
勘	勘	kʰan˥	cʰɐ̃˦˥	
龕	龛	kʰan˥	cʰɐ̃˦˥	
刊	刊	kʰan˥	cʰɐ̃˦˥	
嵌	嵌	kʰan˥	cʰɐ̃˦˥	文读
瞰	瞰	kʰan˥	cʰɐ̃˦˥	
看	看	kʰan˥	cʰɐ̃˦˥	白读
坎	坎	kʰan˦˨	cʰɐ̃˦˧	
莰	莰	kʰan˦˨	cʰɐ̃˦˧	
砍	砍	kʰan˦˨	cʰɐ̃˦˧	
冚	冚	kʰan˦˨	cʰɐ̃˦˧	即“㝩”
侃	侃	kʰan˦˨	cʰɐ̃˦˧	文读
看	看	kʰan˩˧	cʰɐ̃˨˦	文读
庵	庵	ŋan˥	ɲᶡɐ̃˦˥	
淹	淹	ŋan˥	ɲᶡɐ̃˦˥	白读
鵪	鹌	ŋan˥	ɲᶡɐ̃˦˥	
安	安	ŋan˥	ɲᶡɐ̃˦˥	
鞍	鞍	ŋan˥	ɲᶡɐ̃˦˥	
顏	颜	ŋan˨˩	ɲᶡɐ̃˨˩	姓氏
諳	谙	ŋan˨˩	ɲᶡɐ̃˨˩	估计
嚴	严	ŋan˨˩	ɲᶡɐ̃˨˩	白读
諳	谙	ŋan˦˨	ɲᶡɐ̃˦˧	~恰恰，指控制得刚刚好
俺	俺	ŋan˦˨	ɲᶡɐ̃˦˧	
唵	唵	ŋan˦˨	ɲᶡɐ̃˦˧	
暗	暗	ŋan˩˧	ɲᶡɐ̃˨˦	
諳	谙	ŋan˩˧	ɲᶡɐ̃˨˦	
岸	岸	ŋan˩˧	ɲᶡɐ̃˨˦	
按	按	ŋan˩˧	ɲᶡɐ̃˨˦	
案	案	ŋan˩˧	ɲᶡɐ̃˨˦	
晏	晏	ŋan˩˧	ɲᶡɐ̃˨˦	迟
雁	雁	ŋan˩˧	ɲᶡɐ̃˨˦	白读
酣	酣	xan˥	çɐ̃˦˥	
鼾	鼾	xan˥	çɐ̃˦˥	
憨	憨	xan˥	çɐ̃˦˥	
含	含	xan˨˩	çɐ̃˨˩	
函	函	xan˨˩	çɐ̃˨˩	
邯	邯	xan˨˩	çɐ̃˨˩	
咸	咸	xan˨˩	çɐ̃˨˩	
鹹	咸	xan˨˩	çɐ̃˨˩	白读
銜	衔	xan˨˩	çɐ̃˨˩	
閑	闲	xan˨˩	çɐ̃˨˩	扯~谈
汗	汗	xan˨˩	çɐ̃˨˩	
寒	寒	xan˨˩	çɐ̃˨˩	
韓	韩	xan˨˩	çɐ̃˨˩	
喊	喊	xan˦˨	çɐ̃˦˧	
罕	罕	xan˦˨	çɐ̃˦˧	
撼	撼	xan˩˧	çɐ̃˨˦	
憾	憾	xan˩˧	çɐ̃˨˦	
陷	陷	xan˩˧	çɐ̃˨˦	白读
限	限	xan˩˧	çɐ̃˨˦	~定
楦	楦	xan˩˧	çɐ̃˨˦	塞进空腔使之膨大
鼾	鼾	xan˩˧	çɐ̃˨˦	打伏~
旱	旱	xan˩˧	çɐ̃˨˦	
蔊	蔊	xan˩˧	çɐ̃˨˦	
汗	汗	xan˩˧	çɐ̃˨˦	
漢	汉	xan˩˧	çɐ̃˨˦	
翰	翰	xan˩˧	çɐ̃˨˦	
瀚	瀚	xan˩˧	çɐ̃˨˦	
莧	苋	xan˩˧	çɐ̃˨˦	
咹	咹	Øan˥	Øɐ̃˦˥	表示没听清，希望对方重复
邊	边	pien˥	b̥iɛ̃˦˥	
鞭	鞭	pien˥	b̥iɛ̃˦˥	
編	编	pien˥	b̥iɛ̃˦˥	
扁	扁	pien˦˨	b̥iɛ̃˦˧	
揙	揙	pien˦˨	b̥iɛ̃˦˧	殴打；蹭
惼	惼	pien˦˨	b̥iɛ̃˦˧	
蝙	蝙	pien˦˨	b̥iɛ̃˦˧	
煸	煸	pien˦˨	b̥iɛ̃˦˧	
褊	褊	pien˦˨	b̥iɛ̃˦˧	
匾	匾	pien˦˨	b̥iɛ̃˦˧	
貶	贬	pien˦˨	b̥iɛ̃˦˧	
遍	遍	pien˩˧	b̥iɛ̃˨˦	一~
辮	辫	pien˩˧	b̥iɛ̃˨˦	
辯	辩	pien˩˧	b̥iɛ̃˨˦	
辨	辨	pien˩˧	b̥iɛ̃˨˦	
變	变	pien˩˧	b̥iɛ̃˨˦	
便	便	pien˩˧	b̥iɛ̃˨˦	
偏	偏	pʰien˥	pʰiɛ̃˦˥	
翩	翩	pʰien˥	pʰiɛ̃˦˥	
篇	篇	pʰien˥	pʰiɛ̃˦˥	
片	片	pʰien˥	pʰiɛ̃˦˥	电影
駢	骈	pʰien˨˩	pʰiɛ̃˨˩	
諞	谝	pʰien˨˩	pʰiɛ̃˨˩	
片	片	pʰien˦˨	pʰiɛ̃˦˧	白读
片	片	pʰien˩˧	pʰiɛ̃˨˦	文读
騙	骗	pʰien˩˧	pʰiɛ̃˨˦	
遍	遍	pʰien˩˧	pʰiɛ̃˨˦	~地
面	面	mien˥	mᵇiɛ̃˦˥	里~；后~；上~
眠	眠	mien˨˩	mᵇiɛ̃˨˩	
綿	绵	mien˨˩	mᵇiɛ̃˨˩	
棉	棉	mien˨˩	mᵇiɛ̃˨˩	
免	免	mien˦˨	mᵇiɛ̃˦˧	
勉	勉	mien˦˨	mᵇiɛ̃˦˧	
緬	缅	mien˦˨	mᵇiɛ̃˦˧	
麵	面	mien˩˧	mᵇiɛ̃˨˦	
面	面	mien˩˧	mᵇiɛ̃˨˦	
顛	颠	tien˥	d̥iɛ̃˦˥	
巔	巅	tien˥	d̥iɛ̃˦˥	
滇	滇	tien˥	d̥iɛ̃˦˥	
癲	癫	tien˥	d̥iɛ̃˦˥	
典	典	tien˦˨	d̥iɛ̃˦˧	
碘	碘	tien˦˨	d̥iɛ̃˦˧	
點	点	tien˦˨	d̥iɛ̃˦˧	
電	电	tien˩˧	d̥iɛ̃˨˦	
殿	殿	tien˩˧	d̥iɛ̃˨˦	
澱	淀	tien˩˧	d̥iɛ̃˨˦	
奠	奠	tien˩˧	d̥iɛ̃˨˦	
佃	佃	tien˩˧	d̥iɛ̃˨˦	
鈿	钿	tien˩˧	d̥iɛ̃˨˦	
墊	垫	tien˩˧	d̥iɛ̃˨˦	
店	店	tien˩˧	d̥iɛ̃˨˦	
天	天	tʰien˥	tʰiɛ̃˦˥	
添	添	tʰien˥	tʰiɛ̃˦˥	
田	田	tʰien˨˩	tʰiɛ̃˨˩	
鈿	钿	tʰien˨˩	tʰiɛ̃˨˩	
填	填	tʰien˨˩	tʰiɛ̃˨˩	
甜	甜	tʰien˨˩	tʰiɛ̃˨˩	
恬	恬	tʰien˨˩	tʰiɛ̃˨˩	
舔	舔	tʰien˦˨	tʰiɛ̃˦˧	
搛	搛	nien˥	nᵈiɛ̃˦˥	
拈	拈	nien˥	nᵈiɛ̃˦˥	夹菜
黏	黏	nien˥	nᵈiɛ̃˦˥	文读
研	研	nien˥	nᵈiɛ̃˦˥	
妍	妍	nien˥	nᵈiɛ̃˦˥	
年	年	nien˨˩	nᵈiɛ̃˨˩	
憐	怜	nien˨˩	nᵈiɛ̃˨˩	
連	连	nien˨˩	nᵈiɛ̃˨˩	
蓮	莲	nien˨˩	nᵈiɛ̃˨˩	
鏈	链	nien˨˩	nᵈiɛ̃˨˩	~接
廉	廉	nien˨˩	nᵈiɛ̃˨˩	
鐮	镰	nien˨˩	nᵈiɛ̃˨˩	
簾	帘	nien˨˩	nᵈiɛ̃˨˩	
奩	奁	nien˨˩	nᵈiɛ̃˨˩	
鮎	鲇	nien˨˩	nᵈiɛ̃˨˩	
聯	联	nien˨˩	nᵈiɛ̃˨˩	
閻	阎	nien˨˩	nᵈiɛ̃˨˩	
閆	闫	nien˨˩	nᵈiɛ̃˨˩	
嚴	严	nien˨˩	nᵈiɛ̃˨˩	文读
攆	撵	nien˦˨	nᵈiɛ̃˦˧	
撚	捻	nien˦˨	nᵈiɛ̃˦˧	
碾	碾	nien˦˨	nᵈiɛ̃˦˧	
輾	辗	nien˦˨	nᵈiɛ̃˦˧	
臉	脸	nien˦˨	nᵈiɛ̃˦˧	
練	练	nien˩˧	nᵈiɛ̃˨˦	
煉	炼	nien˩˧	nᵈiɛ̃˨˦	
鏈	链	nien˩˧	nᵈiɛ̃˨˦	
斂	敛	nien˩˧	nᵈiɛ̃˨˦	
殮	殓	nien˩˧	nᵈiɛ̃˨˦	
驗	验	nien˩˧	nᵈiɛ̃˨˦	
唁	唁	nien˩˧	nᵈiɛ̃˨˦	
念	念	nien˩˧	nᵈiɛ̃˨˦	
唸	念	nien˩˧	nᵈiɛ̃˨˦	
戀	恋	nien˩˧	nᵈiɛ̃˨˦	
釅	酽	nien˩˧	nᵈiɛ̃˨˦	
諺	谚	nien˩˧	nᵈiɛ̃˨˦	
喭	喭	nien˩˧	nᵈiɛ̃˨˦	
硯	砚	nien˩˧	nᵈiɛ̃˨˦	
肩	肩	tɕien˥	tɕiɛ̃˦˥	
堅	坚	tɕien˥	tɕiɛ̃˦˥	
艱	艰	tɕien˥	tɕiɛ̃˦˥	
間	间	tɕien˥	tɕiɛ̃˦˥	
監	监	tɕien˥	tɕiɛ̃˦˥	
尖	尖	tɕien˥	tɕiɛ̃˦˥	
兼	兼	tɕien˥	tɕiɛ̃˦˥	
姦	奸	tɕien˥	tɕiɛ̃˦˥	
煎	煎	tɕien˥	tɕiɛ̃˦˥	
涓	涓	tɕien˥	tɕiɛ̃˦˥	
捐	捐	tɕien˥	tɕiɛ̃˦˥	
絹	绢	tɕien˥	tɕiɛ̃˦˥	
娟	娟	tɕien˥	tɕiɛ̃˦˥	
鵑	鹃	tɕien˥	tɕiɛ̃˦˥	
捲	卷	tɕien˥	tɕiɛ̃˦˥	白读
減	减	tɕien˦˨	tɕiɛ̃˦˧	
鹼	碱	tɕien˦˨	tɕiɛ̃˦˧	
鹼	堿	tɕien˦˨	tɕiɛ̃˦˧	
檢	检	tɕien˦˨	tɕiɛ̃˦˧	
儉	俭	tɕien˦˨	tɕiɛ̃˦˧	
簡	简	tɕien˦˨	tɕiɛ̃˦˧	
柬	柬	tɕien˦˨	tɕiɛ̃˦˧	
揀	拣	tɕien˦˨	tɕiɛ̃˦˧	文读
踐	践	tɕien˦˨	tɕiɛ̃˦˧	实~
趼	趼	tɕien˦˨	tɕiɛ̃˦˧	即“茧”
繭	茧	tɕien˦˨	tɕiɛ̃˦˧	
捲	卷	tɕien˦˨	tɕiɛ̃˦˧	文读
監	监	tɕien˩˧	tɕiɛ̃˨˦	
鑒	鉴	tɕien˩˧	tɕiɛ̃˨˦	
鑑	鑑	tɕien˩˧	tɕiɛ̃˨˦	
鑑		tɕien˩˧	tɕiɛ̃˨˦	
艦	舰	tɕien˩˧	tɕiɛ̃˨˦	
漸	渐	tɕien˩˧	tɕiɛ̃˨˦	
劍	剑	tɕien˩˧	tɕiɛ̃˨˦	
間	间	tɕien˩˧	tɕiɛ̃˨˦	
踐	践	tɕien˩˧	tɕiɛ̃˨˦	
賤	贱	tɕien˩˧	tɕiɛ̃˨˦	
箭	箭	tɕien˩˧	tɕiɛ̃˨˦	
件	件	tɕien˩˧	tɕiɛ̃˨˦	
薦	荐	tɕien˩˧	tɕiɛ̃˨˦	
建	建	tɕien˩˧	tɕiɛ̃˨˦	
健	健	tɕien˩˧	tɕiɛ̃˨˦	
腱	腱	tɕien˩˧	tɕiɛ̃˨˦	
鍵	键	tɕien˩˧	tɕiɛ̃˨˦	
毽	毽	tɕien˩˧	tɕiɛ̃˨˦	
見	见	tɕien˩˧	tɕiɛ̃˨˦	
圈	圈	tɕien˩˧	tɕiɛ̃˨˦	
倦	倦	tɕien˩˧	tɕiɛ̃˨˦	
卷	卷	tɕien˩˧	tɕiɛ̃˨˦	
眷	眷	tɕien˩˧	tɕiɛ̃˨˦	
桊	桊	tɕien˩˧	tɕiɛ̃˨˦	
券	券	tɕien˩˧	tɕiɛ̃˨˦	
簽	签	tɕʰien˥	tɕʰiɛ̃˦˥	
僉	佥	tɕʰien˥	tɕʰiɛ̃˦˥	
殲	歼	tɕʰien˥	tɕʰiɛ̃˦˥	
纖	纤	tɕʰien˥	tɕʰiɛ̃˦˥	
籤	籤	tɕʰien˥	tɕʰiɛ̃˦˥	
籖	籖	tɕʰien˥	tɕʰiɛ̃˦˥	
遷	迁	tɕʰien˥	tɕʰiɛ̃˦˥	
芊	芊	tɕʰien˥	tɕʰiɛ̃˦˥	
千	千	tɕʰien˥	tɕʰiɛ̃˦˥	
謙	谦	tɕʰien˥	tɕʰiɛ̃˦˥	
箋	笺	tɕʰien˥	tɕʰiɛ̃˦˥	
牽	牵	tɕʰien˥	tɕʰiɛ̃˦˥	
圈	圈	tɕʰien˥	tɕʰiɛ̃˦˥	
鉛	铅	tɕʰien˥	tɕʰiɛ̃˦˥	文读
前	前	tɕʰien˥	tɕʰiɛ̃˦˥	白读
潛	潜	tɕʰien˨˩	tɕʰiɛ̃˨˩	~水；~泳；~艇；~江
鉗	钳	tɕʰien˨˩	tɕʰiɛ̃˨˩	
錢	钱	tɕʰien˨˩	tɕʰiɛ̃˨˩	
乾	乾	tɕʰien˨˩	tɕʰiɛ̃˨˩	
虔	虔	tɕʰien˨˩	tɕʰiɛ̃˨˩	
前	前	tɕʰien˨˩	tɕʰiɛ̃˨˩	文读
痊	痊	tɕʰien˨˩	tɕʰiɛ̃˨˩	
全	全	tɕʰien˨˩	tɕʰiɛ̃˨˩	
泉	泉	tɕʰien˨˩	tɕʰiɛ̃˨˩	
權	权	tɕʰien˨˩	tɕʰiɛ̃˨˩	
顴	颧	tɕʰien˨˩	tɕʰiɛ̃˨˩	
拳	拳	tɕʰien˨˩	tɕʰiɛ̃˨˩	
黔	黔	tɕʰien˨˩	tɕʰiɛ̃˨˩	
挦	挦	tɕʰien˨˩	tɕʰiɛ̃˨˩	
淺	浅	tɕʰien˦˨	tɕʰiɛ̃˦˧	
遣	遣	tɕʰien˦˨	tɕʰiɛ̃˦˧	
潛	潜	tɕʰien˦˨	tɕʰiɛ̃˦˧	
犬	犬	tɕʰien˦˨	tɕʰiɛ̃˦˧	
欠	欠	tɕʰien˩˧	tɕʰiɛ̃˨˦	
歉	歉	tɕʰien˩˧	tɕʰiɛ̃˨˦	
勸	劝	tɕʰien˩˧	tɕʰiɛ̃˨˦	
嵌	嵌	tɕʰien˩˧	tɕʰiɛ̃˨˦	倒~，即倒刺
塹	堑	tɕʰien˩˧	tɕʰiɛ̃˨˦	
仙	仙	ɕien˥	ɕiɛ̃˦˥	
氙	氙	ɕien˥	ɕiɛ̃˦˥	
鮮	鲜	ɕien˥	ɕiɛ̃˦˥	
先	先	ɕien˥	ɕiɛ̃˦˥	
酰	酰	ɕien˥	ɕiɛ̃˦˥	
醯	醯	ɕien˥	ɕiɛ̃˦˥	
軒	轩	ɕien˥	ɕiɛ̃˦˥	
掀	掀	ɕien˥	ɕiɛ̃˦˥	
宣	宣	ɕien˥	ɕiɛ̃˦˥	
揎	揎	ɕien˥	ɕiɛ̃˦˥	
渲	渲	ɕien˥	ɕiɛ̃˦˥	
喧	喧	ɕien˥	ɕiɛ̃˦˥	
星	星	ɕien˥	ɕiɛ̃˦˥	~宿
鹹	咸	ɕien˨˩	ɕiɛ̃˨˩	文读
嫌	嫌	ɕien˨˩	ɕiɛ̃˨˩	
閒	闲	ɕien˨˩	ɕiɛ̃˨˩	
涎	涎	ɕien˨˩	ɕiɛ̃˨˩	
賢	贤	ɕien˨˩	ɕiɛ̃˨˩	
弦	弦	ɕien˨˩	ɕiɛ̃˨˩	
炫	炫	ɕien˨˩	ɕiɛ̃˨˩	
眩	眩	ɕien˨˩	ɕiɛ̃˨˩	
玄	玄	ɕien˨˩	ɕiɛ̃˨˩	
旋	旋	ɕien˨˩	ɕiɛ̃˨˩	
懸	悬	ɕien˨˩	ɕiɛ̃˨˩	
險	险	ɕien˦˨	ɕiɛ̃˦˧	
鮮	鲜	ɕien˦˨	ɕiɛ̃˦˧	
蘚	藓	ɕien˦˨	ɕiɛ̃˦˧	
癬	癣	ɕien˦˨	ɕiɛ̃˦˧	
顯	显	ɕien˦˨	ɕiɛ̃˦˧	
選	选	ɕien˦˨	ɕiɛ̃˦˧	
憲	宪	ɕien˦˨	ɕiɛ̃˦˧	~法
陷	陷	ɕien˩˧	ɕiɛ̃˨˦	文读
餡	馅	ɕien˩˧	ɕiɛ̃˨˦	
限	限	ɕien˩˧	ɕiɛ̃˨˦	
線	线	ɕien˩˧	ɕiɛ̃˨˦	
