t0用字	记音	备注																
乍	ʦa5																	
沙	sa1																	
紗	sa1																	
痧	sa1																	
砂	sa1																	
鲨	sa1																	
裟	sa1																	
灑	sa3																	
廈	xia5																	
家	ʨia1																	
家	ka1																	
傢	ʨia1																	
加	ʨia1																	
枷	ʨia1																	
痂	ʨia1																	
嘉	ʨia1																	
袈	ʨia1																	
假	ʨia3																	
賈	ʨia3																	
架	ʨia5																	
駕	ʨia5																	
嫁	ʨia5																	
稼	ʨia5																	
價	ʨia5																	
揢	kʰa5																	
牙	ŋa2																	
牙	ia2																	
蚜	ŋa2																	
芽	ŋa2																	
衙	ŋa2																	
伢	ŋa2																	
雅	ŋa3																	
雅	ia3																	
砑	ŋa5																	
蝦	ɕia1																	
𨉣	ɕia1																	
嚇	xa2																	
霞	ɕia2																	
瑕	ɕia2																	
遐	ɕia2																	
蝦	ɕia2																	
下	xa1																	
下	ɕia5																	
下	xa5																	
夏	ɕia5																	
廈	sua3																	
暇	ɕia2																	
鴉	ia1																	
鴉	ŋa1																	
丫	ŋa1																	
椏	ŋa1																	
啞	ŋa5																	
亞	ia5																	
姐	ʨie3																	
借	ʨie5																	
且	ʦʰe3																	
且	ʨʰie3																	
笡	ʦʰe5																	
藉	ʨi5																	
褯	ʨi5																	
些	ɕi1																	
寫	ɕie3																	
瀉	ɕie5																	
卸	ɕie5																	
邪	ɕie2																	
邪	ie2																	
斜	ɕie2																	
斜	ɕia2																	
謝	ɕie5																	
爹	tie1																	
遮	ʨie1																	
者	ʨie3																	
蔗	ʦa1																	
車	ʦʰe1																	
車	ʨʰie1																	
扯	ʨʰie3																	
蛇	ɕie2																	
射	ɕie5																	
麝	ɕie5																	
奢	ɕie1																	
賒	ɕie1																	
捨	ɕie3																	
赦	ɕie2																	
舍	ɕie3																	
騇	ɕie3																	
佘	ɕie1																	
畲	ɕie1																	
社	ɕie5																	
惹	ze3																	
惹	ie3																	
耶	ie1																	
椰	ie1																	
爺	ie2																	
也	ie3																	
野	ie3																	
夜	ie5																	
髽	ʦua1																	
傻	sa3																	
傻	xa3																	
耍	sua3																	
瓜	kua1																	
蝸	kua1																	
寡	kua3																	
剮	kua3																	
誇	kʰua1																	
侉	kʰua3																	
垮	kʰua3																	
跨	kʰua5																	
跨	kʰa2																	
娃	ua2																	
瓦	ua3																	
瓦	ua5																	
花	xua1																	
化	xua5																	
華	xua2																	
鏵	xua2																	
划	xua2																	
華	xua5																	
樺	xua5																	
蛙	ua1																	
窪	ua1																	
補	pu3																	
譜	pʰu3																	
哺	pʰu3																	
布	pu5																	
佈	pu5																	
鋪	pʰu1																	
普	pʰu3																	
浦	pʰu3																	
鋪	pʰu5																	
怖	pu5																	
蒲	pʰu2																	
菩	pʰu2																	
葡	pʰu2																	
莆	pʰu2																	
脯	pʰu2																	
部	pu5																	
簿	pʰu5																	
步	pu5																	
捕	pu3																	
埠	pu5																	
模	mo1																	
模	mo2																	
摹	mo2																	
姥	mu3																	
暮	mo5																	
慕	mo5																	
墓	mo5																	
募	mo5																	
睦	mo5																	
都	tu1																	
都	təu1																	
堵	tu3																	
賭	tu3																	
肚	tu3																	
睹	tu3																	
妬	tu5																	
土	tʰu3																	
吐	tʰu3																	
吐	tʰu5																	
兔	tʰu5																	
徒	tʰu2																	
屠	tʰu2																	
途	tʰu2																	
塗	tʰu2																	
圖	tʰu2																	
杜	tu5																	
肚	tu5																	
度	tu5																	
渡	tu5																	
鍍	tu5																	
奴	lu2																	
努	lu3																	
怒	lu5																	
盧	lu2																	
爐	lu2																	
蘆	lu2																	
鸕	lu2																	
顱	lu2																	
魯	lu3																	
櫓	lu3																	
虜	lu3																	
滷	lu3																	
路	lu5																	
賂	lo5																	
露	lu5																	
鷺	lu5																	
租	ʦu1																	
祖	ʦu3																	
組	ʦu3																	
做	ʦu5																	
粗	ʦʰu1																	
醋	ʦʰu5																	
措	ʦʰo5																	
錯	ʦʰo5																	
蘇	su1																	
酥	su1																	
素	su5																	
訴	su5																	
塑	so2																	
塑	su5																	
嗉	su5																	
姑	ku1																	
孤	ku1																	
辜	ku1																	
菇	ku1																	
箍	kʰu1																	
古	ku3																	
估	ku3																	
盬	ku3																	
贾	ku3																	
牯	ku3																	
股	ku3																	
鼓	ku3																	
蠱	ku3																	
故	ku5																	
固	ku5																	
錮	ku5																	
雇	ku5																	
顧	ku5																	
枯	kʰu1																	
苦	kʰu3																	
庫	kʰu5																	
褲	kʰu5																	
吳	vu2																	
蜈	vu2																	
吾	vu2																	
梧	vu2																	
五	vu3																	
伍	vu3																	
午	vu3																	
忤	vu3																	
誤	vu5																	
悟	vu5																	
悟	vu3																	
呼	fu1																	
虎	fu3																	
滸	fu3																	
戽	fu5																	
胡	fu2																	
湖	fu2																	
狐	fu2																	
壺	fu2																	
乎	fu2																	
瓠	fu2																	
鬍	fu2																	
糊	fu2																	
蝴	fu2																	
瑚	fu2																	
户	fu5																	
滬	fu5																	
互	fu5																	
護	fu5																	
瓠	fu5																	
糊	fu5																	
烏	vu1																	
污	vu1																	
塢	vu1																	
惡	ŋo2																	
女	ȵy3																	
廬	lu2																	
驢	ly2																	
吕	luei3																	
稆	luei3																	
旅	ly3																	
榈	ly3																	
慮	luei5																	
濾	lu2																	
濾	luei5																	
蛆	ʨʰy1																	
胥	ɕy1																	
絮	ɕy5																	
絮	suei5																	
徐	ɕy2																	
序	ɕy5																	
叙	ɕy5																	
緒	ɕy5																	
屿	ɕy5																	
屿	y3																	
豬	ʦu1																	
贮	ʦu5																	
著	ʦu5																	
褚	ʦu3																	
除	ʦʰu2																	
儲	ʨʰiu2																	
苧	ʦʰu3																	
箸	ʦu5																	
阻	ʦu3																	
初	ʦʰu1																	
楚	ʦʰu3																	
礎	ʦʰu3																	
鋤	ʦʰu2																	
助	ʦu5																	
梳	su1																	
疏	su1																	
蔬	su1																	
所	so3																	
疏	su1																	
諸	ʦu1																	
渚	ʦu3																	
槠	ʦu1																	
煮	ʦu3																	
處	ʦʰu3																	
杵	ʦʰu3																	
處	ʦʰu5																	
書	su1																	
舒	su1																	
暑	su3																	
鼠	su3																	
黍	su3																	
庶	su5																	
恕	su5																	
𧄔	su1																	
墅	su5																	
墅	ie3																	
署	su3																	
薯	su3																	
如	zu2																	
汝	zu3																	
居	ʨy1																	
車	ʨy1																	
裾	ʨy1																	
擧	ʨy3																	
據	ʨy5																	
鋸	ʨy5																	
鋸	ke5																	
墟	ɕy1																	
去	ʨʰy5																	
去	ʨi5																	
渠	ʨʰiu2																	
𠍲	ʨʰy2																	
巨	ʨy5																	
拒	ʨy5																	
距	ʨy5																	
魚	y2																	
漁	y2																	
語	y3																	
御	y5																	
禦	y5																	
虚	ɕy1																	
嘘	ɕy1																	
許	ɕy3																	
於	y2																	
淤	y1																	
余	y2																	
餘	y2																	
舁	y2																	
與	y3																	
譽	y5																	
預	y5																	
豫	y5																	
夫	fu1																	
膚	fu1																	
跗	fu5																	
府	fu3																	
腑	fu3																	
俯	fu3																	
甫	pʰu3																	
脯	pʰu3																	
斧	fu3																	
付	fu5																	
賦	fu5																	
傅	fu5																	
傅	fu1																	
咐	fu5																	
敷	fu1																	
俘	fu2																	
孵	fu1																	
麩	fu1																	
撫	fu3																	
殕	fu3																	
赴	fu5																	
訃	fu5																	
符	fu2																	
扶	fu2																	
芙	fu2																	
父	fu5																	
釜	fu3																	
腐	fu3																	
輔	fu3																	
附	fu5																	
無	vu2																	
蕪	vu2																	
巫	vu1																	
誣	vu1																	
武	vu3																	
舞	vu3																	
侮	vu3																	
鵡	vu3																	
務	vu5																	
霧	vu5																	
縷	luei3																	
屢	ly3																	
趨	ʦʰuei1																	
取	ʨʰy3																	
娶	ʨʰy3																	
趣	ʨʰy5																	
聚	ʨiu2																	
須	ɕy1																	
鬚	ɕy1																	
需	ɕy1																	
續	ɕiu2																	
誅	ʦu1																	
蛛	ʦu1																	
株	ʦu1																	
拄	ʦʰu3																	
駐	ʦu5																	
註	ʦu5																	
廚	ʦʰu2																	
櫥	ʦʰu2																	
柱	ʦu5																	
住	ʦu5																	
雛	ʦʰu2																	
數	su3																	
數	su5																	
朱	ʦu1																	
硃	ʦu1																	
珠	ʦu1																	
主	ʦu3																	
注	ʦu5																	
蛀	ʦu5																	
鑄	ʦu5																	
疰	ʦu5																	
樞	su1																	
輸	su1																	
戍	su5																	
輸	su5																	
殊	su1																	
豎	su5																	
樹	su5																	
儒	zu2																	
乳	zu3																	
擩	zu3																	
拘	ʨy1																	
駒	ʨy1																	
俱	ʨy2																	
跔	ʨy1																	
矩	ʨy3																	
句	ʨy5																	
區	ʨʰy1																	
驅	ʨʰy1																	
軀	ʨʰy1																	
嶇	ʨʰy1																	
瞿	ʨʰy2																	
衢	ʨʰiu2																	
具	ʨy5																	
懼	ʨy5																	
愚	y2																	
虞	y2																	
娛	y2																	
遇	y5																	
寓	y5																	
吁	y2																	
迂	y1																	
于	y2																	
盂	y2																	
雨	y3																	
宇	y3																	
禹	y3																	
羽	y3																	
芋	y5																	
俞	y2																	
榆	y2																	
逾	y2																	
愉	y2																	
愈	y2																	
喻	y5																	
裕	y5																	
獃	tai1																	
獃	ŋai2																	
戴	tai5																	
胎	tʰai1																	
台	tʰai2																	
台	tʰai1																	
奤	tʰai3																	
態	tʰai5																	
貸	tai5																	
臺	tʰai2																	
苔	tʰai2																	
抬	tʰai2																	
待	tai5																	
待	tʰai5																	
待	tʰai1																	
怠	tai5																	
殆	tai5																	
代	tai5																	
袋	tai5																	
袋	tʰai5																	
玳	tai5																	
黛	tai5																	
埭	tai5																	
逮	tai2																	
逮	ti5																	
绐	tʰai2																	
乃	lai3																	
耐	lai5																	
來	lai2																	
災	ʦai1																	
栽	ʦai1																	
宰	ʦai3																	
載	ʦai3																	
再	ʦai5																	
載	ʦai5																	
猜	ʦʰai1																	
彩	ʦʰai3																	
採	ʦʰai3																	
睬	ʦʰai3																	
踩	ʦʰai3																	
菜	ʦʰai5																	
棌	ʦʰai5																	
才	ʦʰai2																	
才	tʰai2																	
材	ʦʰai2																	
財	ʦʰai2																	
裁	ʦʰai2																	
纔	ʦʰai2																	
在	ʦai5																	
在	tai5																	
腮	sai1																	
鳃	sai1																	
賽	sai5																	
該	kai1																	
改	kai3																	
概	kʰai3																	
概	kʰai5																	
溉	kʰai5																	
開	kʰai1																	
凱	kʰai3																	
慨	kʰai5																	
咳	kʰe2																	
呆	ŋai2																	
磑	ŋai2																	
礙	ŋai5																	
海	xai3																	
孩	xai2																	
亥	xai5																	
哀	ŋai1																	
埃	ŋai1																	
唉	ŋai3																	
愛	ŋai5																	
貝	pei5																	
狽	pei5																	
沛	pʰei5																	
帶	tai5																	
太	tʰai5																	
泰	tʰai5																	
大	ta5																	
大	tai5																	
奈	lai5																	
賴	lai5																	
癩	lai5																	
蔡	ʦʰai5																	
蓋	kai5																	
蓋	kʰai5																	
丐	kai5																	
艾	ŋai5																	
害	xai5																	
藹	ŋai3																	
拜	pai5																	
排	pʰai2																	
韛	pai5																	
埋	mai2																	
攋	lai5																	
䍉	ʦai3																	
搋	ʦʰuai1																	
齋	ʦai1																	
豺	ʦʰai2																	
皆	kai1																	
階	ʨiai1																	
階	kai1																	
稭	kai1																	
偕	kai1																	
介	kai5																	
界	ʨiai5																	
芥	ʨiai5																	
芥	kai5																	
尬	ka5																	
疥	ʨiai5																	
屆	ʨiai5																	
戒	kai5																	
庎	kai5																	
揩	kʰai1																	
楷	kʰai3																	
諧	ɕiai2																	
駭	xai5																	
械	ʨiai5																	
挨	ŋai2																	
擺	pai3																	
派	pʰai5																	
牌	pʰai2																	
簰	pʰai2																	
罷	pa5																	
稗	pai5																	
買	mai3																	
賣	mai5																	
奶	lai3																	
奶	lai1																	
債	ʦai5																	
釵	ʦʰai1																	
差	ʦʰai1																	
差	ʦʰa1																	
柴	ʦʰai2																	
篩	sai1																	
灑	sa3																	
曬	sai5																	
佳	ʨia1																	
街	kai1																	
解	kai3																	
懈	ɕiai5																	
涯	ŋai2																	
崖	ŋai2																	
捱	ŋai2																	
鞋	xai2																	
解	xiai5																	
蟹	kʰai3																	
蟹	ɕiai5																	
矮	ŋai3																	
隘	ŋai5																	
敗	pai5																	
邁	mai5																	
寨	ʦai5																	
蔽	pei5																	
敝	pei5																	
弊	pi5																	
幣	pi5																	
斃	pi5																	
例	li5																	
厲	li5																	
勵	li5																	
祭	ʨi5																	
際	ʨi5																	
穄	ʨi5																	
漈	ʨi5																	
滯	ʦʰɿ5																	
制	ʦɿ5																	
製	ʦɿ5																	
世	sɿ5																	
贳	sɿ5																	
勢	sɿ5																	
誓	sɿ5																	
逝	sɿ5																	
藝	ȵi5																	
刈	ȵi5																	
蓖	pi5																	
閉	pi5																	
箅	pi5																	
批	pʰei1																	
砒	pʰei1																	
陛	pi5																	
鐾	pi5																	
迷	mi2																	
米	mi3																	
謎	mi2																	
低	ti1																	
堤	tʰi2																	
底	ti3																	
抵	ti3																	
帝	ti5																	
渧	ti5																	
蒂	ti5																	
嚏	tʰi2																	
梯	tʰi1																	
體	tʰi3																	
替	tʰi5																	
涕	tʰi5																	
剃	tʰi5																	
剃	tʰi1																	
屜	tʰi5																	
題	tʰi2																	
提	tʰi2																	
提	tia1																	
蹄	tʰi2																	
啼	tʰi2																	
弟	ti5																	
第	ti5																	
遞	ti5																	
泥	ȵi2																	
犁	li2																	
黎	li2																	
禮	li3																	
麗	li5																	
隸	ti5																	
莉	li5																	
擠	ʨi3																	
擠	ʨy3																	
濟	ʨi5																	
妻	ʨʰi1																	
淒	ʨʰi1																	
悽	ʨʰi1																	
砌	ʨʰi5																	
沏	ʨʰi5																	
磜	ʨʰi5																	
齊	ʨʰi2																	
臍	ʨi5																	
薺	ʨi5																	
劑	ʨi5																	
西	ɕi1																	
棲	ɕi1																	
犀	ɕi1																	
粞	ɕi1																	
洗	ɕi3																	
細	ɕi5																	
婿	ɕi2																	
雞	ʨi1																	
稽	ʨi1																	
計	ʨi5																	
繼	ʨi5																	
繋	ʨi5																	
髻	ʨi5																	
溪	ʨʰi1																	
啟	ʨʰi3																	
契	ʨʰi5																	
倪	ȵi2																	
诣	ȵi2																	
奚	ɕi1																	
兮	ɕi1																	
系	ɕi5																	
繫	ɕi5																	
係	ɕi5																	
縊	i5																	
瞖	i5																	
杯	pei1																	
輩	pei5																	
背	pei1																	
褙	pei5																	
胚	pʰi																	
坯	pʰei1																	
配	pʰei5																	
培	pʰei2																	
陪	pʰei2																	
賠	pʰei2																	
裴	pʰei2																	
倍	pei5																	
佩	pʰei5																	
背	pʰei5																	
焙	pʰei2																	
梅	mei2																	
枚	mei2																	
媒	mei2																	
煤	mei2																	
莓	mei2																	
玫	mei2																	
每	mei3																	
妹	mei5																	
昧	mi5																	
堆	tuei1																	
對	tuei5																	
碓	tuei5																	
推	tʰuei1																	
㷟	tʰuei1																	
腿	tʰuei3																	
退	tʰuei5																	
隊	tuei5																	
頹	tʰuei2																	
馁	luei3																	
内	luei5																	
雷	luei2																	
儡	luei3																	
蕾	luei3																	
累	luei5																	
擂	luei5																	
擂	luei2																	
脧	ʨyɛn1																	
催	ʦʰuei1																	
崔	ʦʰuei1																	
摧	ʦʰuei1																	
罪	ʦuei5																	
碎	suei5																	
瑰	kuei1																	
盔	kʰuei1																	
魁	kʰuei2																	
魁	kʰuei1																	
恢	xuei1																	
诙	xuei1																	
傀	kʰuei3																	
塊	kʰuai3																	
桅	uei2																	
灰	xuei1																	
賄	xuei5																	
悔	xuei3																	
晦	xuei5																	
回	xuei2																	
茴	xuei2																	
蛔	xuei2																	
徊	xuei2																	
匯	xuei5																	
潰	kʰuei5																	
煨	uei1																	
蜕	tʰuei5																	
兑	tuei5																	
最	ʦuei5																	
會	xuei5																	
劊	xuei5																	
檜	xuei5																	
外	uai5																	
會	kʰuai5																	
繪	xuei5																	
燴	xuei5																	
𢶀	ʦʰuei5																	
乖	kuai1																	
怪	kuai5																	
蒯	kʰuai5																	
塊	kʰuai3																	
懷	xuai2																	
槐	xuai2																	
淮	xuai2																	
壞	xuai5																	
枴	kuai3																	
掛	kua5																	
卦	kua5																	
褂	kua5																	
歪	uai1																	
畫	xua5																	
蛙	ua1																	
快	kʰuai5																	
筷	kʰuai5																	
話	xua5																	
脆	ʦʰuei5																	
歲	suei5																	
綴	ʦue2																	
綴	ʦuei5																	
贅	ʦuei5																	
喙	xuei5																	
税	suei5																	
芮	zuei5																	
鱖	kuei5																	
衛	uei5																	
鋭	zuei5																	
廢	fei5																	
肺	fei5																	
杮	fei5																	
吠	fei5																	
穢	xuei5																	
圭	kuei1																	
閨	kuei1																	
桂	kuei5																	
奎	kuei1																	
攜	ɕie2																	
畦	ʨʰi2																	
惠	xuei5																	
慧	xuei5																	
碑	pei1																	
卑	pei1																	
彼	pei3																	
俾	pei3																	
臂	pei5																	
披	pʰei1																	
譬	pʰi5																	
皮	pʰi2																	
疲	pʰi2																	
脾	pʰi2																	
被	pi5																	
婢	pi5																	
被	pei5																	
避	pi5																	
糜	mi2																	
彌	mi2																	
籋	mi2																	
靡	mi2																	
離	li2																	
籬	li2																	
璃	li2																	
漓	li2																	
荔	li5																	
離	li5																	
紫	ʦɿ3																	
雌	ʦʰɿ2																	
此	ʦʰɿ3																	
刺	ʦʰɿ5																	
疵	ʦʰɿ1																	
斯	sɿ1																	
廝	sɿ1																	
撕	sɿ1																	
璽	ɕi2																	
徙	ɕi2																	
賜	ʦʰɿ5																	
知	ʦɿ1																	
蜘	ʦɿ1																	
智	ʦɿ5																	
池	ʦʰɿ2																	
馳	ʦʰɿ2																	
龇	ʦɿ1																	
差	ʦʰɿ1																	
篩	sai1																	
支	ʦɿ1																	
枝	ʦɿ1																	
肢	ʦɿ1																	
梔	ʦɿ1																	
紙	ʦɿ3																	
只	ʦɿ3																	
眵	ʦʰɿ1																	
侈	ʦʰɿ3																	
舐	sɿ5																	
施	sɿ1																	
豕	sɿ3																	
翅	ʦɿ5																	
翅	ʦʰɿ5																	
施	sɿ1																	
匙	sɿ2																	
是	sɿ5																	
氏	sɿ5																	
豉	sɿ2																	
兒	ɭ2																	
爾	ɭ2																	
羁	ʨi1																	
奇	ʨʰi2																	
寄	ʨi5																	
企	ʨʰi5																	
奇	ʨi1																	
騎	ʨʰi2																	
崎	ʨʰi2																	
岐	ʨʰi2																	
徛	ʨʰi5																	
技	ʨi5																	
妓	ʨi5																	
宜	ȵi2																	
儀	ȵi2																	
蟻	i2																	
誼	ȵi2																	
義	ȵi5																	
議	ȵi5																	
犧	ɕi2																	
桸	ɕi1																	
戲	ɕi5																	
倚	i3																	
椅	i3																	
移	i2																	
易	i5																	
悲	pi1																	
屄	pʰi1																	
鄙	pʰi3																	
比	pi3																	
秕	pi3																	
袐	pi5																	
泌	mi5																	
轡	pi5																	
庇	pi5																	
痹	pei5																	
丕	pʰei1																	
屁	pʰi5																	
琵	pʰi2																	
枇	pʰi2																	
痞	pʰi3																	
備	pi5																	
憊	pei5																	
鼻	pi2																	
篦	pi5																	
眉	mi2																	
楣	mi2																	
黴	mei2																	
美	mei3																	
媚	mei5																	
寐	mi5																	
胝	ʦɿ1																	
地	ti5																	
尼	ȵi2																	
呢	ȵi2																	
呢	le1																	
膩	ȵi5																	
梨	li2																	
履	ly3																	
利	li5																	
痢	li5																	
資	ʦɿ1																	
姿	ʦɿ1																	
咨	ʦɿ1																	
姊	ʦɿ3																	
次	ʦʰɿ5																	
瓷	ʦʰɿ2																	
餈	ʦʰɿ2																	
自	ʦɿ5																	
私	sɿ1																	
死	sɿ3																	
四	sɿ5																	
肆	sɿ5																	
黹	ʦɿ3																	
致	ʦɿ5																	
遲	ʦʰɿ2																	
雉	ʦɿ5																	
稚	ʦɿ5																	
致	ʦɿ5																	
師	sɿ1																	
獅	sɿ1																	
螄	sɿ1																	
脂	ʦɿ1																	
旨	ʦɿ3																	
指	ʦɿ3																	
至	ʦɿ5																	
示	sɿ5																	
尸	sɿ1																	
屍	sɿ1																	
矢	sɿ3																	
屎	sɿ3																	
視	sɿ5																	
嗜	sɿ5																	
二	ɭ5																	
貳	ɭ5																	
飢	ʨi1																	
肌	ʨi1																	
几	ʨi3																	
麂	ʨi3																	
冀	ʨi5																	
器	ʨʰi5																	
棄	ʨʰi5																	
祁	ʨʰi2																	
鰭	ʨʰi2																	
伊	i1																	
懿	i5																	
夷	i2																	
姨	i2																	
胰	i2																	
肄	i5																	
你	ȵi3																	
釐	li2																	
狸	li2																	
李	li3																	
里	li3																	
裏	i3																	
理	li3																	
鯉	li3																	
吏	li5																	
兹	ʦɿ3																	
滋	ʦɿ3																	
子	ʦɿ3																	
梓	ʦɿ3																	
慈	ʦʰɿ2																	
磁	ʦʰɿ2																	
鹚	ʦʰɿ2																	
字	ʦɿ5																	
牸	ʦɿ5																	
司	sɿ1																	
絲	sɿ1																	
思	sɿ1																	
伺	sɿ5																	
思	sɿ5																	
辭	ʦʰɿ2																	
詞	ʦʰɿ2																	
祠	ʦʰɿ2																	
似	ʦʰɿ5																	
似	sɿ5																	
祀	sɿ5																	
巳	sɿ5																	
寺	sɿ5																	
嗣	sɿ5																	
飼	sɿ5																	
置	ʦɿ2																	
癡	ʦʰɿ1																	
恥	ʦʰɿ3																	
持	ʦʰɿ2																	
痔	ʦɿ5																	
峙	ʦɿ5																	
治	ʦɿ5																	
輜	ʦɿ1																	
淄	ʦɿ1																	
滓	ʦɿ3																	
廁	sɿ1																	
廁	ʦʰe2																	
士	sɿ5																	
仕	sɿ5																	
柿	sɿ5																	
俟	sɿ5																	
事	sɿ5																	
使	sɿ3																	
史	sɿ3																	
駛	sɿ3																	
之	ʦɿ1																	
芝	ʦɿ1																	
止	ʦɿ3																	
趾	ʦɿ3																	
址	ʦɿ3																	
志	ʦɿ5																	
誌	ʦɿ5																	
痣	ʦɿ5																	
嗤	ʦʰɿ2																	
齒	ʦʰɿ3																	
詩	sɿ1																	
始	sɿ3																	
試	sɿ5																	
時	sɿ2																	
鰣	sɿ2																	
市	sɿ5																	
恃	sɿ5																	
侍	sɿ5																	
而	ɭ2																	
耳	ɭ3																	
餌	ɭ3																	
基	ʨi1																	
萁	ʨi1																	
箕	ʨi1																	
姬	ʨi1																	
己	ʨi3																	
紀	ʨi3																	
記	ʨi5																	
欺	ʨʰi1																	
起	ʨʰi3																	
杞	ʨi2																	
其	ʨʰi2																	
棋	ʨʰi2																	
期	ʨʰi1																	
旗	ʨʰi2																	
忌	ʨi5																	
疑	ȵi2																	
擬	ȵi2																	
嬉	ɕi1																	
熙	ɕi1																	
嘻	ɕi1																	
禧	ɕi1																	
熹	ɕi1																	
喜	ɕi3																	
蟢	ɕi3																	
醫	i1																	
意	i5																	
矣	i3																	
飴	i2																	
怡	i2																	
贻	i2																	
已	i3																	
以	i3																	
異	i5																	
幾	ʨi1																	
機	ʨi1																	
譏	ʨi1																	
饑	ʨi1																	
幾	ʨi3																	
既	ʨi5																	
豈	ʨʰi3																	
氣	ʨʰi5																	
汽	ʨʰi5																	
祈	ʨʰi2																	
沂	ȵi2																	
毅	i5																	
希	ɕi1																	
稀	ɕi1																	
衣	i1																	
依	i1																	
累	luei3																	
累	luei5																	
嘴	ʦuei3																	
髓	suei3																	
隨	suei2																	
隋	suei2																	
揣	ʦʰuai3																	
吹	ʦʰuei1																	
炊	ʦʰuei1																	
垂	ʦʰuei2																	
睡	suei5																	
瑞	suei5																	
蘂	suei3																	
規	kuei1																	
詭	kuei3																	
虧	kʰuei1																	
窺	kʰuei1																	
跪	kʰuei3																	
跪	kuei5																	
危	uei2																	
偽	uei3																	
麾	xuei1																	
毁	xuei3																	
萎	uei3																	
委	uei3																	
餧	uei5																	
為	uei2																	
為	uei5																	
壘	luei3																	
類	luei5																	
淚	luei5																	
醉	ʦuei5																	
翠	ʦʰuei5																	
悴	ʦʰuei5																	
雖	ɕy1																	
綏	ɕy1																	
粹	suei5																	
粹	ʦʰuei5																	
遂	suei5																	
隧	ɕy5																	
穗	suei5																	
追	ʦuei1																	
追	luei1																	
槌	ʦʰuei2																	
錘	ʦʰuei																	
椎	ʦʰuei																	
墜	ʦuei5																	
衰	suai1																	
摔	suai1																	
摔	ʦuai1																	
帥	suai5																	
錐	ʦuei1																	
錐	ʦy1																	
水	suei3																	
誰	suei2																	
龜	kuei1																	
軌	kuei3																	
癸	kuei3																	
愧	kʰuei5																	
季	ʨi5																	
逵	kʰuei2																	
葵	kʰuei2																	
櫃	kʰuei5																	
饋	kʰuei5																	
位	uei5																	
維	uei2																	
惟	uei2																	
濰	uei2																	
帷	uei2																	
遺	uei2																	
遺	i2																	
