来源：	任冲 2018《山西偏关方言语音研究》；sainirwuu, Skanda, Hynuza 整理录入
m	［1］猫［2］矛{～盾}毛茅锚［3］卯{～眼不对：不和}□{那～：上次}峁{：凸}［5］冒帽貌茂贸□{丢弃：这个东西坏了，～了它}□{投掷：比一比谁～得远}
t	［1］刀叨{唠～}［3］祷岛倒{打～，颠～}□{～歇：聊天儿}［5］道稻到倒{～水}盗道
tʰ	［1］滔掏{～出来}［2］桃逃淘{～米}陶萄涛［3］讨［5］套
n	［2］挠铙［3］脑恼［5］闹
l	［1］捞唠{～叨}［2］劳牢［3］老□{眉～骨：额头}［5］落{～枕}烙骆{老}酪涝{旱～}
ts	［1］遭糟［2］凿［3］早枣蚤澡爪{～子}找［5］皂造躁罩棹笊{～篱}
tsʰ	［1］操{～作，～演}抄钞巢［2］曹槽䄚{：脏，不干净}［3］草吵炒［5］糙{粗～，～米}□{～噘：骂}
s	［1］骚臊{～气}梢捎稍［3］扫{～帚：扫地用}嫂［5］潲{～雨}
tʂ	［1］朝{今～}昭招［3］沼{～泽}召［5］照诏赵兆
tʂʰ	［1］超［2］朝{～代}潮［3］焯{把菜放在开水里～}［5］□{：翘}
ʂ	［1］烧［2］勺韶{～光}［3］少{多～}绍［5］少{～年}邵
ʐ	［2］饶桡{桨}［3］扰［5］绕
k	［1］高膏{牙～}篙羔糕［3］稿［5］告膏{～油}
kʰ	［3］考烤［5］靠犒
ŋ	［2］熬［3］襖［5］傲鏊{烙饼用具}懊{～恼}奥懊{～悔}
x	［1］蒿{蓬～}薅{～田草}［2］豪壕毫号{呼～}［3］好{～坏}［5］浩好{喜～}耗号{～数}
Ø	［3］坳{山～}
#iɔo
p	［1］膘{肥～}标［3］表婊{～子：妓女}［5］鳔嫑{：不要}
pʰ	［1］飘［2］瓢嫖漂{～浮}［5］票漂{～亮}
m	［2］苗描矛{～子}［3］藐渺秒［5］庙妙
t	［1］刁貂雕［5］钓吊掉调{音～}调{～动}
tʰ	［1］挑［2］条调{～和}笤{～帚：扫床、扫粮食用}［5］跳糶
n	［2］□{：女人打扮得很漂亮}［3］鸟［5］尿
l	［1］撩{～起来}［2］燎{～原}疗聊遼撩{春色～人}寥［3］燎{火～眉毛}了{～结}［5］瞭料
tɕ	［1］交郊胶教{～书}焦蕉{芭～}椒骄娇浇［3］绞狡绞搅剿矫缴嚼侥{～幸}［5］教{～育}校{～对}较窖觉{睡～}噍{牛倒～}轿叫
