#调值	[1]33 [2]31 [3]242 [5]214 [6]35 [7]411
p	
so31 □{吮吸}	
so411 朔硕塑索	
soŋ214 宋送讼颂诵	
soŋ31 怂	
soŋ33 松嵩	
sɛ411 塞色瑟啬涩虱	
tʂ	
tʂa31 闸铡炸{炸东西}	
tʂa33 楂渣张{张开}	
tʂa214 乍炸{轰炸}诈榨	
tʂa411 扎札栅	
tʂai214 债寨	
tʂan33 瞻	
tʂan214 占站站栈绽战	
tʂan242 展	
tʂan33 沾粘毡占	
tʂʯ214 拘句拒苣距剧剧据锯惧	
tʂʯ242 矩举主拄煮	
tʂʯ33 车驹鞠朱珠株硃蛛诛猪诸	
tʂʯ35 具俱住苎注柱	
tʂʯ411 局菊橘	
tʂʯa242 爪	
tʂai33 斋	
tʂʯan214 传倦绢	
tʂʯan33 捐	
tʂʯan242 卷	
tʂʯan35 眷圈	
tʂɑŋ214 仗杖帐胀账瘴障	
tʂɑŋ242 掌涨	
tʂɑŋ33 章张樟蟑	
tʂɑŋ35 丈	
tʂau214 笊诏照罩	
tʂau242 找沼	
tʂau33 朝招昭召	
tʂau35 兆赵櫂	
tʂʯɛ214 憠倔	
tʂɛ242 者褶	
tʂɛ33 蜇遮	
tʂɛ411 折哲蛰浙蔗	
tʂʯɛ411 决掘诀厥	
tʂʯei33 炊	
tʂʯən214 圳镇症正政证	
tʂən242 枕枕疹诊振震拯整	
tʂʯən214 菌	
tʂʯən33 均君军钧郡	
tʂən33 臻征蒸正征珍贞真砧针侦斟榛	
tʂən35 阵郑	
tʂəu214 咒纣昼	
tʂəu31 轴肘宙帚	
tʂəu33 舟州周洲周	
tʂəu411 粥竹逐烛嘱祝	
tʂo31 着	
tʂoŋ214 中种重众	
tʂoŋ242 冢肿	
tʂoŋ33 中忠盅衷终钟	
tʂoŋ35 仲	
tʂʅ411 汁织侄值执植殖稙职质掷	
tʂʅ33 之支芝枝知肢只蜘	
tʂʅ214 志制炙治峙致痔智痣置雉稚製志致	
tʂʅ242 指	
tʂʅ242 脂止旨址纸趾	
tʂʅ31 栀直	
tʂʰ	
tʂʰʯ214 处去	
tʂʰʯ242 杵褚处	
tʂʰʯ31 除厨橱雏储渠瞿衢	
tʂʰʯ33 区岖躯驱舒	
tʂʰʯ411 出屈曲黢曲瘸	
tʂʰa214 岔	
tʂʰa31 茶查察	
tʂʰa33 叉杈差差	
tʂʰa35 茬	
tsʰa411 擦搽	
tʂʰa411 插	
tsʰai242 采彩睬踩	
tʂʰʅ33 痴嗤□{伸}	
tʂʰʅ411 迟尺侈赤	
tʂʰʅ31 池持驰秩	
tʂʰʅ214 斥翅饬匙滞	
tʂʰʯai242 喘	
tʂʰai33 差钗	
tʂʰʯan214 串券劝	
tʂʰʯan33 川穿圈	
tʂʰʯan31 船椽传拳权颧	
tʂʰʯan242 犬	
tʂʰan214 忏	
tʂʰan31 禅蝉蟾缠	
tʂʰɑŋ214 倡唱怅畅	
tʂʰɑŋ242 长场厂闯	
tʂʰɑŋ31 长肠	
tʂʰɑŋ33 昌菖娼窗	
tʂʰau242 吵炒	
tʂʰau31 朝潮	
tʂʰau33 抄超钞焯㪕	
tʂʰɛ242 扯	
tʂʰɛ33 车	
tʂʰɛ31□{白~子：傻子}	
tʂʰɛ411㿭撤彻澈辙	
tʂʰʯɛ411 缺	
tʂʰʯei31 垂槌锤	
tʂʰʯei33 吹	
tʂʰən214 趁称秤	
tʂʰən242 惩逞	
tʂʰʯən242 蠢	
tʂʰən31 臣沉陈尘成丞呈承城乘程塍诚澄澄橙	
tʂʰʯən31唇裙群	
tʂʰən33 称伸	
tʂʰʯən33 春椿	
tʂʰəu214 臭	
tʂʰəu242 丑{地支第二位，子“丑”寅卯辰巳午未申酉戌亥}丑	
tʂʰəu31 仇酬稠绸筹	
tʂʰəu33 抽初	
tʂʰəu411 畜触	
tʂʰo411 绰	
tʂʰoŋ214 铳	
tʂʰoŋ242 宠	
tʂʰoŋ31 虫囱重	
tʂʰoŋ33 充舂冲	
ʂ	
ʂɛ31 舌佘蛇	
ʂʅ31 十石拾时实	
ʂɛ33 奢赊	
ʂʯɛ33 靴	
ʂʅ33 尸施诗	
ʂʅ214 世式逝舐视势试誓释	
ʂɛ35 舍射	
ʂʅ35 示市嗜	
ʂɛ411 涉设摄	
ʂʯɛ411 说	
ʂʅ411 失湿食蚀识室饰适	
ʂʅ242 眵矢始屎粪便氏	
ʂɿ35 是	
ʂʯ214 述恕庶戌	
ʂʯ242 许暑黍署蜀鼠薯	
ʂʯ31 殊穴	
ʂʯ33 书输虚墟嘘	
ʂʯ35 戍术墅竖树	
ʂʯ411 淑术	
ʂa242 傻耍	
ʂa33 沙砂纱痧	
ʂa411 杀刷	
ʂʯai214 率帅蟀	
ʂʯai33 衰摔	
ʂan214 单扇	
ʂan242 陕闪	
ʂan31 禅	
ʂan33 山杉衫珊钐膻拴	
ʂan35 善膳	
ʂɑŋ214 上	
ʂɑŋ242 晌赏	
ʂɑŋ31 常尝偿	
ʂɑŋ33 商伤尚裳双孀	
ʂau214 哨绍	
ʂau242 少	
ʂau31 勺芍韶	
ʂau33 捎梢稍筲烧	
ʂɛ214 社赦麝	
ʂɛ242 舍	
ʂʯei214 税睡	
tʂʰʅ242 耻齿	
ʂʯei242 水	
ʂʯei31 谁	
ʂən214 甚葚盛剩胜圣	
ʂʯən214 舜训巽驯	
ʂən242 沈审婶	
ʂən31 辰晨什神绳盛	
ʂʯən31 纯醇	
ʂən33 申身娠深升声胜	
ʂʯən33 熏勋薰熏	
ʂən35 肾慎	
ʂʯən35 吮顺	
ʂəu214 受授售兽	
ʂəu242 手守首	
ʂəu31 熟	
ʂəu33 收	
ʂəu35 寿	
ʂəu411 叔属	
ʂo214□{歪}	
ʐ	
ʐɑŋ214 让	
ʐɑŋ242 壤攘嚷	
ʐɑŋ31 穰瓤	
ʐau214 绕绕	
ʐau242 扰	
ʐau31 挠铙饶	
ʐən214 刃	
ʐən242 忍	
ʐən31 人壬仁仍	
ʐən33 扔	
ʐən35 任任纴韧认	
ʐəu31 柔揉	
ʐəu411 肉辱褥	
ʐo411 若弱箬	
ʐoŋ242 氄甬勇涌恿踊	
ʐoŋ31 戎茸容绒蓉溶荣熔融	
ʐoŋ33 庸雍壅臃痈	
ʐoŋ35 拥用	
tɕ	
tɕʯ33 居掬	
tɕʰi214 汽契砌气讫弃器趣	
tɕʰi242 起岂启娶	
tɕʰi31 祁岐其奇祈萁畦棋齐旗骑脐鰭	
tɕʰi33 妻凄悽期欺蛆趋	
tɕʰi411 吃七漆乞	
tɕi214 忌季既记祭寄迹际稷髻冀穄剂济鲫系继	
tɕi242 己几挤虮纪企杞	
tɕi31 寂	
tɕi33 肌饥屐姬基箕稽机讥饥鸡羁几	
tɕi35 技妓计徛	
tɕi411 缉积激击及吉即急级疾极棘集辑藉藉籍脊戟几绩聚吸	
tɕʰ	
tɕʰei214 碎	
tɕʰəu411 束	
tɕʰia411 恰	
tɕʰian214 欠嵌歉	
tɕʰian242 浅遣	
tɕʰian31 前虔掮乾钳潜钱全泉	
tɕʰian33 千牵迁谦签纤	
tɕʰiɑŋ214 呛	
tɕʰiɑŋ242 抢	
tɕʰiɑŋ31 强强墙	
tɕʰiɑŋ33 羌腔枪	
tɕʰiau214 俏翘窍	
tɕʰiau242 巧	
tɕʰiau31 乔侨荞桥樵瞧	
tɕʰiau33 悄锹	
tɕʰiɛ242 且	
tɕʰiɛ31 茄	
tɕʰiɛ411 切{切开}切{一切}妾怯窃	
tɕʰiəu31 囚求泅球	
tɕʰiəu33 鞦鳅	
tɕʰin214 凊庆磬亲{亲家}	
tɕʰin242 寝倾顷请苘	
tɕʰin31 芹秦琴禽勤擒情晴	
tɕʰin33 青卿清轻蜻亲	
tɕʰin411 荠	
tɕʰio411 却雀确鹊	
tɕʰioŋ31 穷琼	
tɕʰu242 取	
tɕia214 架嫁稼价驾	
tɕia242 假贾	
tɕia33 加佳痂家傢嘉	
tɕia411 夹荚甲胛洽	
tɕiai214 界	
tɕiai242 解	
tɕiai33 阶	
tɕian214 见建健毽腱箭剑涧荐键饯谏溅舰锏鉴	
tɕian242 柬趼减剪拣笕俭检裥茧简碱锏	
tɕian33 尖奸肩兼坚间搛煎监笺艰歼铅	
tɕian35 件渐贱践	
tɕiɑŋ214 将降酱	
tɕiɑŋ242 蒋奖桨耩讲	
tɕiɑŋ33 江姜将僵浆姜礓疆缰	
tɕiɑŋ35 匠像□{漂亮}	
tɕiau214 叫教觉觉撬鞘	
tɕiau242 狡剿侥铰饺矫缴搅	
tɕiau33 交郊茭椒焦蕉骹胶浇娇骄教较	
tɕiau35 轿醮	
tɕiɛ214 借	
tɕiɛ242 姐解	
tɕiɛ411 接揭疖劫捷杰结节截竭洁绝蕨	
tɕiəu214 灸臼救	
tɕiəu242 九久韭	
tɕiəu33 究纠纠揪鸠鬏阄丘秋	
tɕiəu35 酒咎柩就舅	
tɕin214 尽劲劲晋浸进禁禁茎净径竟敬靖镜竞俊浚	
tɕin242 紧锦谨井景颈警境䞍	
tɕin33 金巾斤今金津筋襟京荆晶睛经经精鲸惊侵钦	
tɕin35 仅近妗尽静	
tɕio31 嚼爵	
tɕio411 脚	
tɕioŋ35 迥窘	
ɕ	
ɕi214 岁细隙戏絮	
ɕi242 嘻洗徙喜禧蟢玺	
ɕi31 徐	
