声母	韵母	声调	字	注释	
k	uẽ	5	罐	汤瓶〜	1
零	uẽ	1	湾	台〜，下〜（地名）	1
dʑ	ỹ	2	椽	文	1
ɦ	ỹ	2	完	〜成	1
ɦ	ỹ	2	圆	方〜	1
ɦ	ỹ	2	园	公〜	1
p	ɔ̃	3	榜	〜样,〜文，放〜	1
m	ɔ̃	2	芒	〜种	1
m	ɔ̃	2	磨	〜刀	1
m	ɔ̃	3	姥	斋〜	1
m	ɔ̃	6	冒	感〜	1
m	ɔ̃	6	莫	文	1
d	ɔ̃	6	丈	一〜	1
n	ɔ̃	6	闹	〜等,〜洞房	1
ts	ɔ̃	1	脏	肮〜	1
ts	ɔ̃	1	桩	文	1
ts	ɔ̃	1	踪	〜影	1
ts	ɔ̃	5	壮	～丁	1
tsʰ	ɔ̃	1	窗	文	1
dz	ɔ̃	6	脏	心〜	1
k	ɔ̃	1	框	镜〜	1
k	ɔ̃	5	供	〜桌	1
kʰ	ɔ̃	5	扩	〜大，〜散，～充	1
h	ɔ̃	3	纺	〜织	1
h	ɔ̃	5	放	解〜	1
t	iɔ̃	1	张	姓,岸底〜（地名）,一〜纸	1
t	iɔ̃	1	章	姓	1
tɕ	iɔ̃	3	掌	手～	1
tɕ	iɔ̃	5	仗	拍〜	1
tɕʰ	iɔ̃	1	框	门〜	1
dʑ	iɔ̃	6	浆	动词	1
ȵ	iɔ̃	2	裳	衣〜	1
ɕ	iɔ̃	1	商	〜量	1
ɕ	iɔ̃	1	乡	〜下	1
ɕ	iɔ̃	3	享	〜福	1
ʑ	iɔ̃	6	尚	和〜	1
ɦ	iɔ̃	2	扬	表〜,衣〜	1
零	iɔ̃	3	痒	文	1
p	ø̃	1	分	〜开	1
d	ø̃	6	锻	〜炼	1
n	ø̃	3	暖	又	1
l	ø̃	1	卵	蛋	1
l	ø̃	3	卵	男阴	1
ts	ø̃	1	钻	～研	1
tsʰ	ø̃	1	参	〜加	1
z	ø̃	6	拵	赠送	1
k	ø̃	1	观	参〜，～音	1
k	ø̃	1	冠	衣〜	1
k	ø̃	3	管	水～	1
k	ø̃	5	灌	〜溉	1
k	ø̃	5	罐	～头	1
h	ø̃	1	欢	〜迎	1
h	ø̃	1	婚	〜姻，结〜	1
h	ø̃	2	园	菜〜	1
ɦ	ø̃	2	圆	汤〜	1
零	ø̃	1	温	〜州,〜度,气〜	1
d	ãi	2	沉	白	1
d	ãi	2	陈	姓	1
s	ãi	1	参	人〜	1
s	ãi	1	先	你〜去	1
k	ãi	1	间	时〜，房〜	1
ɦ	ãi	6	限	〜制,有〜	1
m	aŋ	5	问	动词,〜号	1
