#符号说明：-白=文/书*俗?待考	
#调值	[1]⁴⁴ [2]²¹ [3]⁵² [5]³⁵ [6]¹¹²
#ɿ	
f	[1]夫肤敷俘孵芙腐[2]扶葡{白}[3]府腑俯斧抚釜[5]付赋傅咐父附驸富副妇负[6]符佛復福幅蝠複腹辐覆服伏栿复
t	[1]都都[2]读督毒[3]堵赌肚[6]杜妒度渡镀踱独
tʰ	[2]徒屠途涂图[3]土[5]吐吐兔[6]突秃
n	[2]奴[3]努[6]怒
l	[2]卢炉芦鸬庐驴六陆陸[3]鲁虏卤[6]路赂露露鹭鹿禄绿录
ts	[1]租[3]祖组阻[6]助族
tsʰ	[1]粗初[2]锄[3]楚础[5]醋[6]速
s	[1]苏酥梳疏蔬[3]数[5]素诉塑庶数宿{文}漱数[6]恕肃宿{白}缩俗
tʃ	[6]竹逐轴祝粥足烛
tʃʰ	[6]筑促触
ʃ	[6]叔熟淑孰塾续嘱赎束蜀属
k	[1]姑孤箍鸪辜[3]古估牯股鼓[5]故固锢雇顾[6]骨穀谷
kʰ	[1]枯[3]苦[5]库裤酷[6]哭
h	[1]呼乎[2]胡湖狐壶葫鬍蝴糊瓠[3]虎[5]戽户沪互护握{白}
Ø	[1]乌污坞诬[2]无吴蜈梧[3]武舞侮鹉五伍午[5]务雾误悟[6]戊忽物勿屋沃

#y	
n	[3]女
l	[3]吕稆旅履[6]虑滤律率
s	[1]蛆须鬚荽需[5]嗉序绪戍[6]殊悉蟋戌婿{白}
tʃ	[1]猪褚诛蛛株朱硃珠[3]煮主[6]储诸聚拄柱注蛀铸著驻註住卒卒
tʃʰ	[2]徐叙除厨橱瞿[3]处取娶[5]处趣[6]出
ʃ	[1]书舒输[2]薯[3]暑鼠署[5]竖树[6]蟀术述
k	[1]居车拘驹[3]举矩[5]锯句{文}[6]巨拒距俱据橘{文}倔具剧惧局
kʰ	[1]区驱[2]渠[5]句{白}[6]掘窟屈菊鞠麯麴曲橘{白}
h	[1]墟虚嘘[3]浒许与
Ø	[2]鱼渔愚虞娱如於余馀于盂逾愉愈[3]语汝儒乳雨宇禹羽[5]玉御禦遇寓誉预豫芋榆喻裕入鬱域疫役郁浴欲

#ɤ	
p	[2]白[6]泊泊北百柏伯
pʰ	[6]帕迫拍魄
m	[6]没墨默陌麦脉
t	[6]得德
tʰ	[6]特
l	[6]肋勒
ts	[6]则贼泽择择窄责
tsʰ	[6]厕侧测拆摘策册栅
s	[6]虱塞色
k	[6]阁搁胳格革隔
kʰ	[5]去[6]刻克客
ŋ	[6]额扼轭
h	[1]吓[6]核黑嚇核
Ø	[2]儿而[3]尔耳饵[5]二贰

#a	
p	[1]巴芭疤笆爸[2]八[3]把[5]霸欛壩[6]罢拔
pʰ	[2]爬琶杷耙[6]怕
m	[1]蟆妈[2]麻痲[3]马码[6]骂抹
f	[6]法乏髮发伐筏罚阀
t	[3]沓打[6]答搭达大
tʰ	[1]他它[6]踏搨塔榻塌溻遢
n	[2]拿[3]哪[5]那[6]纳捺
l	[1]拉[6]腊蜡邋辣
ts	[1]楂渣[2]杂煠[5]诈榨炸[6]劄扎闸砸铡
tsʰ	[6]搽擦
s	[1]萨[3]洒厦撒撒
tʃ	[5]乍[6]眨札紮轧
tʃʰ	[1]叉杈差岔茬查差[2]茶[5]汊[6]插察
ʃ	[1]莎沙纱杉[3]傻[6]霎杀煞煞
k	[5]尬
kʰ	[3]卡
ŋ	[1]桠[3]哑
h	[1]哈蛤
Ø	[1]阿
ʝ	[1]鸦丫亚{白}[2]牙芽衙[3]雅[5]亚{文}[6]砑鸭押压
v	[1]蛙洼挖[3]瓦[6]袜
	
#ia	
k	[1]家加痂嘉傢佳[3]假贾[5]架驾嫁稼价[6]夹裌甲胛匣挟
kʰ	[6]恰掐洽
h	[1]虾霞[2]遐[5]下夏厦暇[6]蝦狭峡侠瞎辖

#ua	
l	[6]捋
tʃ	[1]抓[3]爪
ʃ	[3]耍[6]刷
k	[1]瓜[3]寡剐[5]挂卦[6]刮
kʰ	[1]夸跨胯[3]垮[6]括
h	[1]花[2]华铧划华桦滑猾[5]化画话劃

#iɛ	
p	[1]憋[6]别鳖
pʰ	[6]撇
m	[6]灭篾
t	[1]爹[2]叠碟蝶谍[6]跌
tʰ	[6]帖贴铁
n	[5]奶吃奶[6]聂镊蹑孽捏业
l	[6]例猎列烈裂劣
ts	[3]姐[5]借[6]接捷摺褶节疖截
tsʰ	[5]藉妾[6]切窃
s	[1]些[2]邪斜[3]写泻[5]卸谢泄[6]袭{白}
tʃ	[1]遮[3]且者[5]蔗鹧[6]哲蜇折浙
tʃʰ	[1]车奢[3]扯[5]翅[6]彻撤
ʃ	[1]赊嗜[2]蛇舌[3]捨[5]射麝舍社设{文}[6]摄涉折设{白}
k	[6]劫给杰揭竭结洁
kʰ	[2]茄
h	[6]胁协挟歇蝎穴
	
#ɛ	
ʝ	[1]椰噎[2]爷[3]惹也野[5]夜[6]叶页热

#yɛ	
s	[6]薛屑
tʃ	[2]绝
ʃ	[5]率[6]说雪说
kʰ	[2]瘸[6]决诀缺
h	[1]靴[6]血恤
Ø	[1]越[6]月悦阅粤

#ᵘo	
p	[1]波菠玻[3]簸[5]簸播薄[6]拨勃饽博薄剥驳擘
pʰ	[1]坡[2]婆菩[3]跛[5]破[6]泼
m	[1]魔摩馍摸[2]磨膜[6]磨末沫莫寞漠
t	[1]多[3]朵躲[5]剁[6]舵堕惰夺
tʰ	[1]拖[2]驼驮驮[3]妥[5]唾[6]脱託托
n	[2]挪[6]糯懦
l	[2]罗锣箩萝骡螺脶囉萝[3]卵[5]摞[6]乐落烙骆酪洛络乐略掠
ts	[2]凿[3]左佐[6]坐座作昨柞
tsʰ	[1]搓[2]着[5]措挫锉矬错[6]鹊撮雀
s	[1]蓑梭唆[2]索{文}[3]锁琐所[6]索{白}
tʃ	[6]酌绰卓桌琢啄浊捉镯
tʃʰ	[2]着
ʃ	[2]朔硕
k	[1]歌哥锅戈[3]裸果裹餜[5]个过[6]葛各郭霍角国割
kʰ	[1]科蝌[3]可棵颗[5]课[6]坷磕瞌渴阔腭廓扩藿确壳
ŋ	[1]阿[2]蛾鹅俄[3]我[6]卧饿
h	[1]荷喝豁[2]河何荷和禾[3]火夥伙[5]贺货祸和和[6]合鸽合盒活鹤穫或惑获
	
#o	
Ø	[1]倭踒窝涡莴蜗凹[2]讹握{文}[6]恶鄂
	
#yo	
n	[6]虐
s	[6]削
k	[6]脚
kʰ	[6]却觉
ŋ	[2]溺{文}[6]弱溺{白}
h	[2]学
Ø	[6]嶽岳诺若约药钥跃

#yu	
Ø	[6]狱畜肉畜蓄育辱褥旭

#ai	
p	[3]摆[5]拜[6]稗败
pʰ	[2]排牌簰[5]派
m	[2]埋[3]买[6]卖迈
t	[1]獃[5]戴带[6]贷待怠殆代袋大
tʰ	[1]胎[2]台臺苔苔抬[5]态太泰
n	[1]奶奶奶[6]乃耐奈
l	[2]来[6]赖癞
ts	[1]栽[2]宅[3]宰崽[5]载载债[6]在再
tsʰ	[1]猜钗差[2]才材财裁柴[3]彩采睬[5]菜蔡
s	[1]腮鳃
tʃ	[1]灾斋[6]寨
tʃʰ	[2]豺
ʃ	[1]筛[5]赛晒
k	[1]该皆阶谐街[3]改解解解[5]盖丐介界芥疥届戒械
kʰ	[1]开揩[3]凯楷[5]概溉慨
ŋ	[1]挨[2]捱[3]矮[5]爱隘[6]碍
h	[2]鞋[3]海蟹[5]亥害
Ø	[1]哀埃[5]艾
v	[1]歪[6]外
ʝ	[2]孩涯崖[3]蔼[5]懈

#uai	
tʃ	[1]揣
ʃ	[1]衰[5]帅
k	[1]乖[3]拐[5]怪
kʰ	[3]块[5]会刽桧快筷
h	[2]怀槐淮[5]坏

#əi	
p	[1]杯揹碑卑悲[5]贝背背[6]倍辈
pʰ	[1]胚坯裴[2]培陪赔[5]沛配佩焙
m	[1]糜[2]梅枚玫媒煤莓楣霉[3]每美[6]妹昧媚
f	[1]非飞妃[2]肥[3]匪翡[5]废肺痱费
t	[1]堆[5]对碓队兑
tʰ	[1]推[3]腿[5]退蜕
n	[6]内
l	[2]雷擂硙[3]儡儽累累垒[6]类泪
ts	[3]嘴[5]最醉[6]罪
tsʰ	[1]催崔[2]随[5]淬脆翠粹
s	[1]虽[3]髓[5]碎岁遂隧
k	[6]给
v	[1]煨微威[2]为为维惟唯围违苇[3]萎委尾伟纬[5]伪魏卫餵位未畏胃谓猬[6]味

#uəi	
tʃ	[1]追锥[6]赘坠
tʃʰ	[1]吹炊[2]垂槌锤
ʃ	[2]谁[3]水[5]税睡瑞
k	[1]规龟归圭{文}[3]诡轨癸鬼[5]桂贵[6]跪柜
kʰ	[1]圭{白}闺亏窥[2]奎畦逵葵[3]傀愧[5]魁溃殨
ŋ	[2]危[3]桅[5]锐
h	[1]盔恢灰麾挥辉徽[2]回茴[3]悔毁[5]贿晦汇会绘彗秽惠慧穗讳慰彙

#au	
p	[1]褒包胞苞[3]保堡宝饱[5]报暴豹爆雹曝瀑[6]抱菢
pʰ	[1]抛脬[2]袍刨鉋[3]跑[5]泡炮泡
m	[2]毛茅矛[3]卯[6]冒帽貌
t	[1]刀叨祷[3]岛倒捣导[5]到倒[6]道稻盗悼
tʰ	[1]滔涛[2]桃逃淘陶萄[3]掏讨[5]套
n	[2]挠[3]脑恼[6]闹
l	[2]劳捞牢唠痨涝[3]老姥
ts	[1]遭糟[3]早枣蚤澡藻[5]躁{文}灶皂罩
tsʰ	[1]操操[2]曹槽巢[3]草[5]糙造燥躁{白}
s	[1]骚臊搔[3]扫嫂[5]扫
tʃ	[1]朝召招[3]找[5]兆肇照[6]赵
tʃʰ	[1]抄钞超[2]嘲朝潮[3]炒吵
ʃ	[1]捎稍{文}烧[2]韶勺[3]少[5]潲昭少绍邵[6]芍
k	[1]高膏篙羔糕膏[3]稿搞[5]告
kʰ	[1]敲[3]考烤拷[5]靠犒
ŋ	[2]熬袄熬[3]咬[5]奥懊坳傲
h	[1]蒿[2]豪壕毫嚎[3]好[5]好耗浩号郝
ʝ	[1]妖邀腰要幺吆[2]肴饶摇谣窑姚遥鹞尧[3]扰舀[5]要[6]耀
	
#iau	
p	[1]膘标飘彪[3]表錶[6]鳔
pʰ	[1]漂[2]瓢嫖[5]漂票漂
m	[1]猫[2]锚苗描渺[3]藐秒[6]庙妙
t	[1]刁貂雕[3]鸟[5]钓吊[6]掉调
tʰ	[1]挑挑[2]条调[5]跳
n	[3]鸟杳[6]尿尿
l	[1]撩[2]燎疗聊辽僚嘹[3]了瞭[6]料廖镣
ts	[1]焦蕉椒樵[3]剿[6]嚼
tsʰ	[1]锹[2]瞧
s	[1]梢筲悄俏消宵霄硝销逍萧箫稍{白}[3]小[5]笑鞘
k	[1]交郊胶教茭骄娇矫浇[3]绞铰搅缴饺狡{文}[5]教窖觉叫[6]轿
kʰ	[1]蹻[2]乔侨桥[3]狡{白}巧[5]翘窍
h	[1]嚣侥[2]淆{文}[3]淆{白}绕绕晓[5]校较酵孝效校

#əu	
m	[2]谋[3]某亩牡[5]茂贸
f	[2]浮[3]剖否
t	[1]兜逗{白}[3]斗抖陡鬥[6]豆逗{文}痘
tʰ	[1]偷[2]头投[5]透
l	[1]耧[2]楼[3]缕屡搂篓搂[6]漏陋
ts	[3]走[5]做
tsʰ	[5]奏凑
s	[1]艘搜飕馊蒐[5]嗽瘦
tʃ	[1]周舟州洲[3]帚[5]昼纣宙皱骤咒
tʃʰ	[1]抽搊[2]绸稠筹愁仇酬[3]丑醜[5]臭嗅
ʃ	[1]收[3]手首守[5]兽受寿授售
k	[1]勾钩沟阄[3]狗苟垢够[5]构购
kʰ	[1]抠[3]口[5]叩扣寇
ŋ	[1]欧瓯鸥[3]呕藕
h	[2]侯喉猴瘊[5]後厚后候
Ø	[1]殴沤[3]怄偶
ʝ	[1]优忧悠幽[2]柔揉尤邮由油游犹[3]有友酉[5]又右祐诱柚鼬釉幼
	
#iəu	
t	[1]丢
n	[2]牛[3]纽扭钮
l	[1]溜[2]流刘留榴硫琉馏[3]柳
ts	[1]鬏[2]揪[3]酒[6]就
tsʰ	[1]秋鞦鳅
s	[1]修羞[5]秀绣锈袖
tʃʰ	[2]仇
k	[1]鸠纠{文}[3]九久韭灸[5]救究臼{文}[6]舅旧柩
kʰ	[1]丘蚯纠{白}[2]囚求球[5]臼{白}
h	[1]休[3]朽

#an	
p	[1]班斑扳般搬[3]板版[6]扮瓣办
pʰ	[1]攀[5]盼襻叛
m	[2]蛮[6]慢蔓曼漫{文}幔{文}馒{文}
f	[1]藩翻番[2]凡帆烦繁矾[3]反返[5]泛范範犯贩[6]饭
t	[1]耽担丹单[3]胆疸[5]担[6]旦诞淡但蛋
tʰ	[1]贪坍滩摊瘫[2]潭谭谈痰掸檀坛弹弹[3]毯坦[5]探炭叹
n	[2]男南难[6]难
l	[2]漤蓝篮兰拦栏[3]览揽榄缆懒[6]滥烂
ts	[1]簪{文}錾[3]斩[5]站{文}[6]赞栈暂攒站{白}
tsʰ	[1]参参餐簪{白}[2]蚕惭谗馋搀忏残禅禅[3]惨[5]灿
s	[1]三[3]散伞[5]散
tʃ	[1]瞻[3]绽盏
tʃʰ	[2]缠蝉[3]铲产
ʃ	[1]衫珊山删
k	[1]甘柑泔尴干肝竿艰{白}间{白}[3]感敢橄减杆秆桿擀赶[5]幹
kʰ	[1]堪勘刊[3]坎砍[5]看看
ŋ	[1]鹌安鞍[2]癌岩[5]雁揞暗按案岸
h	[1]憨酣鼾[2]含函衔寒韩[3]喊罕[5]撼憾陷汉旱汗焊翰限
Ø	[1]庵
v	[1]豌剜弯湾[2]玩翫[3]碗惋腕晚挽宛婉[6]万

#ien	
p	[1]鞭边[3]蝙扁匾[5]变辨辩徧{文}[6]便辫
pʰ	[1]编篇偏[2]便[5]骗遍片徧{白}
m	[2]绵棉眠[3]免勉娩缅[6]面麺
t	[1]颠癫[3]点典[6]店掂电殿奠垫
tʰ	[1]添天[2]甜田填[3]舔腆
n	[1]拈研[2]鲇年严[3]碾碾辇撵俨[6]念验艳
l	[2]廉镰帘连联鲢怜莲恋[3]敛脸[6]练鍊炼楝
ts	[1]尖歼煎[3]剪践[5]箭溅荐[6]贱饯
tsʰ	[1]鉴籤签纤迁韆笺千[2]潜钱前[3]浅[5]渐
s	[1]仙先[5]线羡
tʃ	[1]蘸{文}沾粘砧毡[3]展蘸{白}[5]占佔战颤
ʃ	[1]搧[3]陕闪[5]扇善鳝膳
k	[1]监兼奸姦肩坚艰{文}间{文}[3]碱检俭简柬拣谏茧[5]舰剑建键健腱见[6]件
kʰ	[1]谦牵[2]钳乾虔[3]遣[5]芡欠歉
h	[2]咸鹹檐嫌闲贤舷[3]险显[5]苋现县

#en	
ʝ	[1]淹阉腌焉烟胭嚥[2]颜言炎盐阎然燃延筵[3]眼染冉掩魇演衍[5]谚厌焰宪献堰燕燕宴砚

#uan	
tʃ	[6]赚
k	[1]官棺观关[3]管馆[5]冠贯灌罐观冠惯
kʰ	[1]宽[3]款
ŋ	[2]顽
h	[1]欢[2]完丸还还环[3]缓皖[5]唤焕换幻患宦

#yen	
s	[1]鲜轩闩拴栓[3]癣
tʃ	[1]专砖[3]转[5]转传
tʃʰ	[1]川穿[2]全泉椽船传[3]喘[5]串窜{文}
ʃ	[1]宣喧[2]旋旋[3]选
k	[1]捐鹃[3]捲卷眷{白}[5]眷{文}券{文}
kʰ	[1]绢圈圈[2]拳权颧[3]犬[5]倦劝劵{白}
ŋ	[3]软
h	[1]掀[2]弦玄悬眩
Ø	[1]冤鸳渊[2]元原源阮圆员缘沿铅袁辕园援猿[3]远[5]愿院怨

#on	
p	[5]半绊[6]伴拌
pʰ	[1]潘[2]盘[5]判
m	[2]瞒[3]满[6]漫{白}幔{白}馒{白}
t	[1]端[3]短[6]断锻段缎
tʰ	[2]团
n	[3]暖
l	[2]鸾銮[6]乱
ts	[1]钻钻
tsʰ	[5]窜{白}篡
s	[1]酸[5]算蒜

#ən	
p	[3]本[6]笨
pʰ	[1]奔喷[2]盆
m	[2]门[5]闷
f	[1]颁分吩芬纷忿[2]焚坟[3]粉[5]粪奋愤份
t	[1]敦墩蹲[5]顿{文}扽沌盾钝遁[6]肫顿{白}
tʰ	[1]吞饨[2]屯豚臀
n	[6]嫩
l	[2]林淋临邻鳞燐磷崙伦轮[6]论论
ts	[1]斟尊遵[5]浸进晋俊骏[6]儘
tsʰ	[1]亲村[2]寻秦存[3]寝[5]侵渗衬寸[6]尽
s	[1]心辛新薪孙甥[3]损笋榫[5]信讯逊迅
k	[1]跟根
kʰ	[3]恳垦啃肯
ŋ	[1]恩
h	[2]痕[3]很[5]恨
v	[1]温瘟[2]文纹蚊闻[3]稳吻刎[5]问
	
#in	
p	[1]宾槟殡鬓冰
pʰ	[1]拚拼{文}[3]品[5]聘拼{白}
m	[3]敏
tʃ	[1]针津珍臻真贞侦[3]枕诊疹[5]镇{又}振{又}震{又}[6]阵镇{又}振{又}震{又}
tʃʰ	[2]沉陈尘臣澄[5]趁
ʃ	[1]森参深身申伸[2]神辰晨唇绳[3]沈审婶
k	[1]今金钦巾斤筋[3]锦紧仅谨[5]禁襟禁劲[6]近
kʰ	[1]倾[2]琴禽擒吟勤芹琼[3]顷
h	[5]衅
Ø	[1]音阴荫因姻殷[2]银壬淫人仁寅[3]饮饮忍引蚓隐尹[5]任印[6]刃认韧任

#uən	
tsʰ	[1]椿春鹑[3]蠢
k	[3]滚[5]棍
kʰ	[1]昆崑坤[3]捆[5]困睏
h	[1]昏婚荤浑{白}[2]魂馄浑{文}横横[5]混

#yn	
tʃ	[3]准準
ʃ	[2]荀旬循巡殉纯醇[5]甚肾慎顺舜
k	[1]均钧军君{文}[6]菌
kʰ	[1]君{白}[2]群裙
h	[1]欣熏勋薰[5]驯训
Ø	[1]晕[2]匀酝云耘[3]允永泳咏[5]润闰韵运孕

#aŋ	
p	[1]帮邦[3]榜谤绑[6]棒
pʰ	[1]滂[2]旁螃膀庞彭膨[5]胖[6]傍
m	[2]忙芒茫亡盲氓[3]莽蟒
f	[1]方芳[2]坊妨房防[3]肪倣纺仿访[5]放
t	[1]当铛裆[3]党挡档[5]当荡
tʰ	[1]汤[2]堂棠螳唐糖塘[3]倘躺[5]烫趟
n	[2]囊瓤
l	[2]郎廊狼螂榔[3]朗[6]浪
ts	[1]赃脏[5]葬[6]脏
tsʰ	[1]仓苍舱[2]藏藏长
s	[1]桑丧磉[3]嗓搡[5]丧
tʃ	[1]张章樟[3]长涨涨掌[5]帐账胀障瘴[6]丈仗杖
tʃʰ	[1]昌菖[2]肠场[3]厂敞[5]畅唱倡
ʃ	[1]商伤[2]常尝裳偿[3]赏晌[6]尚上
k	[1]冈岗刚纲钢缸钢豇肛[3]港[5]杠
kʰ	[1]康糠[2]扛[3]慷[5]抗炕
ŋ	[2]昂
h	[2]行航杭行[3]饷{白}[5]项巷
v	[1]汪[2]黄簧皇蝗凰隍蟥王[3]网枉往[6]忘妄望旺
ʝ	[1]央秧殃鸯[2]羊洋烊杨阳扬疡[3]养痒[6]让恙样壤攘嚷
	
#iaŋ	
n	[2]娘[3]仰[5]酿
l	[2]良凉量粮梁粱[3]两俩[6]亮谅辆量
ts	[1]将浆将[3]蒋奖桨[5]酱[6]匠
tsʰ	[1]枪[2]墙翔{白}详{白}[3]抢
s	[1]相箱厢湘镶[2]详{文}祥翔{文}[3]想[5]相象像橡
k	[1]姜江[3]讲[5]降[6]勥{文}
kʰ	[1]疆僵薑礓缰羌腔[2]强[3]勥{白}[6]降{白}
h	[1]香乡[2]降{文}[3]享响饷{文}[5]向

#uaŋ	
tʃ	[1]庄装妆桩[5]壮[6]状
tʃʰ	[1]疮窗[2]床[3]闯[5]创创撞
ʃ	[1]霜孀双双[3]爽
k	[1]光胱
kʰ	[1]匡筐眶框[2]逛狂[3]广[5]旷况矿
h	[1]荒慌[3]谎恍晃幌

#oŋ	
p	[1]崩
pʰ	[2]朋鹏棚蓬{文}篷[3]捧[5]碰
m	[1]懵[2]萌盟蒙[3]猛孟[6]梦
f	[1]风枫疯丰封峰蜂锋[2]冯逢缝缝蓬{白}[3]讽[5]凤奉
t	[1]东冬[3]董懂[5]冻栋{文}洞[6]动栋{白}
tʰ	[1]通[2]同铜桐筒童瞳[3]桶捅统[5]痛
n	[2]农脓浓
l	[1]聋[2]笼胧笼隆窿龙[3]拢陇垄[6]弄
ts	[1]棕鬃宗综踪[2]崇[3]总[5]粽[6]诵颂{白}
tsʰ	[1]聪匆葱囱[2]丛纵纵从松怂
s	[1]鬆[5]送宋[6]讼颂{文}
tʃ	[1]中忠衷中终钟锺盅[3]种肿[5]种仲众种[6]重
tʃʰ	[1]冲充铳衝舂[2]虫重[3]宠
k	[1]公蚣工功攻弓躬宫恭龚[3]拱巩{文}[5]贡汞供[6]共
kʰ	[1]空[3]吼孔恐巩{白}[5]控空
h	[1]烘[2]弘宏红洪鸿虹[3]哄
Ø	[1]轰揈翁瓮
ʝ	[1]壅臃庸[2]荣戎绒熊融容蓉镕溶榕熔[3]拥勇涌恿踊[5]用
	
#ioŋ	
kʰ	[2]穷
h	[1]兄胸匈凶兇[2]雄

#əŋ	
t	[1]登灯[3]等[5]凳瞪[6]邓澄
tʰ	[2]腾誊藤疼
n	[2]能
l	[3]冷
ts	[1]曾增僧争筝睁[6]赠憎
tsʰ	[1]撑[2]曾层[5]牚
s	[1]生牲笙[3]省
tʃ	[1]徵蒸正征[3]拯整[5]证症正政[6]郑
tʃʰ	[1]称称秤[2]橙乘乘承丞呈程成城诚盛[3]惩逞
ʃ	[1]升声馨[5]剩胜圣盛
k	[1]更粳庚羹耕[3]哽埂梗耿[5]更
kʰ	[1]坑
ŋ	[6]硬
h	[1]亨哼[2]恒衡

#iŋ	
Ø	[1]英[2]迎仍扔盈莹营萤[3]影颖
	
#eŋ	
p	[1]兵[3]禀丙秉柄饼[6]病
pʰ	[2]贫频凭平坪评苹瓶屏萍[5]并並
m	[2]民抿鸣明名铭冥螟[6]命
t	[1]丁钉疔钉汀[3]顶鼎[5]订{文}锭[6]淀定订{白}
tʰ	[1]听厅[2]亭停廷庭蜓[3]艇挺铤
n	[2]凝寕{文}甯{文}
l	[2]棱陵凌菱绫灵零铃伶拎{文}翎龄甯{白}寕{白}[3]岭领[5]令[6]另
ts	[1]晶精睛[3]井[6]净静靖
tsʰ	[1]清青蜻[2]情晴[3]请
s	[1]星腥猩[3]醒[5]性姓
k	[1]京惊鲸经[3]景警颈[5]茎境敬竟镜竞劲径
kʰ	[1]荆卿轻[5]杏庆
h	[1]兴[2]行赢形型刑[5]兴幸
Ø	[1]应鹰蝇莺鹦樱婴缨[3]映
